,NFTY,BICK,FSZ,FGM,FNI,US Dollar,First Trust Chindia ETF,Us Dollars,FKU,n/a,FEUZ,SUM
08/06/2021,22.01,19.18,21.07,19.97,0.0,0.0,17.6,0.17,0.0,0.0,0.0,100.0
08/26/2021,20.72,20.53,19.43,19.36,19.8,0.0,0.0,0.0,0.0,0.0,0.0,99.84
09/03/2021,20.46,20.24,19.64,19.89,0.0,0.0,0.0,0.0,19.73,0.04,0.0,100.0
09/07/2021,20.61,19.89,19.24,19.52,0.0,0.0,0.0,0.0,19.44,1.29,0.0,99.99
09/08/2021,20.61,19.89,19.24,19.52,0.0,0.0,0.0,0.0,19.44,1.29,0.0,99.99
09/09/2021,20.61,19.89,19.24,19.52,0.0,0.0,0.0,0.0,19.44,1.29,0.0,99.99
09/10/2021,20.62,20.46,19.49,19.8,0.0,0.0,0.0,0.0,19.6,0.04,0.0,100.01
09/13/2021,20.84,20.1,19.52,19.92,0.0,0.0,0.0,0.0,19.61,0.01,0.0,100.0
09/14/2021,20.84,20.1,19.52,19.92,0.0,0.0,0.0,0.0,19.61,0.01,0.0,100.0
09/15/2021,20.8,20.1,19.52,19.87,0.0,0.0,0.0,0.0,19.71,0.01,0.0,100.01000000000002
09/16/2021,20.88,19.93,19.46,19.93,0.0,0.0,0.0,0.0,19.8,0.01,0.0,100.01
09/17/2021,20.9,19.81,19.61,19.98,0.0,0.0,0.0,0.0,19.68,0.01,0.0,99.99
09/20/2021,21.25,19.66,19.55,19.79,0.0,0.0,0.0,0.0,19.74,0.01,0.0,100.0
09/21/2021,21.24,19.78,19.49,19.81,0.0,0.0,0.0,0.0,19.67,0.01,0.0,100.0
09/22/2021,21.24,19.78,19.49,19.81,0.0,0.0,0.0,0.0,19.67,0.01,0.0,100.0
09/23/2021,21.41,19.61,19.53,19.74,0.0,0.0,0.0,0.0,19.7,0.01,0.0,100.0
09/24/2021,21.37,19.61,19.59,19.71,0.0,0.0,0.0,0.0,19.7,0.01,0.0,99.99
09/27/2021,21.46,19.65,19.48,19.63,0.0,0.0,0.0,0.0,19.77,0.01,0.0,100.0
09/28/2021,21.6,19.54,19.54,19.65,0.0,0.0,0.0,0.0,19.66,0.01,0.0,100.0
09/29/2021,21.6,19.54,19.54,19.65,0.0,0.0,0.0,0.0,19.66,0.01,0.0,100.0
09/30/2021,21.62,19.74,19.31,19.69,0.0,0.0,0.0,0.0,19.63,0.01,0.0,100.0
10/01/2021,21.76,19.7,19.15,19.75,0.0,0.0,0.0,0.0,19.54,0.11,0.0,100.01
10/04/2021,21.8,19.85,19.14,19.64,0.0,0.0,0.0,0.0,19.45,0.11,0.0,99.99
10/05/2021,21.93,19.89,19.14,19.51,0.0,0.0,0.0,0.0,19.41,0.11,0.0,99.99
10/06/2021,21.93,19.89,19.14,19.51,0.0,0.0,0.0,0.0,19.41,0.11,0.0,99.99
10/07/2021,22.02,19.49,19.23,19.58,0.0,0.0,0.0,0.0,19.56,0.11,0.0,99.99
10/08/2021,22.02,19.49,19.23,19.58,0.0,0.0,0.0,0.0,19.56,0.11,0.0,99.99
10/11/2021,21.95,19.74,19.36,19.43,0.0,0.0,0.0,0.0,19.43,0.09,0.0,100.0
10/12/2021,21.85,19.78,19.37,19.46,0.0,0.0,0.0,0.0,19.45,0.09,0.0,100.0
10/13/2021,21.85,19.78,19.37,19.46,0.0,0.0,0.0,0.0,19.45,0.09,0.0,100.0
10/14/2021,21.85,19.78,19.37,19.46,0.0,0.0,0.0,0.0,19.45,0.09,0.0,100.0
10/15/2021,22.05,19.72,19.43,19.37,0.0,0.0,0.0,0.0,19.35,0.09,0.0,100.01
10/18/2021,22.14,19.72,19.45,19.28,0.0,0.0,0.0,0.0,19.32,0.09,0.0,100.0
10/19/2021,21.85,19.92,19.35,19.39,0.0,0.0,0.0,0.0,19.4,0.09,0.0,100.0
10/20/2021,21.85,19.92,19.35,19.39,0.0,0.0,0.0,0.0,19.4,0.09,0.0,100.0
10/21/2021,19.93,0.0,20.23,19.84,0.0,0.0,0.0,0.0,20.01,0.09,19.91,100.01
10/22/2021,19.58,0.0,19.98,20.02,0.0,0.0,0.0,0.0,20.24,0.09,20.09,100.0
10/25/2021,19.45,0.0,20.14,20.08,0.0,0.0,0.0,0.0,20.21,0.12,20.0,100.0
10/26/2021,19.25,0.0,20.18,20.15,0.0,0.0,0.0,0.0,20.13,0.11,20.18,100.0
10/27/2021,19.25,0.0,20.18,20.15,0.0,0.0,0.0,0.0,20.13,0.11,20.18,100.0
10/28/2021,19.15,0.0,20.14,20.21,0.0,0.0,0.0,0.0,20.24,0.11,20.14,99.99
10/29/2021,19.12,0.0,20.17,20.23,0.0,0.0,0.0,0.0,20.27,0.12,20.09,100.0
11/01/2021,18.99,0.0,20.34,20.12,0.0,0.0,0.0,0.0,20.17,0.11,20.26,99.99
11/02/2021,19.13,0.0,20.37,20.0,0.0,0.0,0.0,0.0,20.33,0.12,20.05,100.0
11/03/2021,19.13,0.0,20.37,20.0,0.0,0.0,0.0,0.0,20.33,0.12,20.05,100.0
11/04/2021,19.13,0.0,20.37,20.0,0.0,0.0,0.0,0.0,20.33,0.12,20.05,100.0
11/05/2021,19.29,0.0,20.43,20.25,0.0,0.0,0.0,0.0,19.96,0.11,19.95,99.99
11/08/2021,19.27,0.0,20.53,20.13,0.0,0.0,0.0,0.0,19.78,0.11,20.17,99.99
11/09/2021,19.34,0.0,20.33,20.11,0.0,0.0,0.0,0.0,19.86,0.11,20.25,100.0
11/10/2021,19.34,0.0,20.33,20.11,0.0,0.0,0.0,0.0,19.86,0.11,20.25,100.0
11/11/2021,19.68,0.0,20.38,19.9,0.0,0.0,0.0,0.0,19.87,0.09,20.07,99.99
11/12/2021,19.44,0.0,20.57,20.0,0.0,0.0,0.0,0.0,19.86,0.09,20.03,99.99
11/15/2021,19.39,0.0,20.45,19.99,0.0,0.0,0.0,0.0,20.1,0.09,19.98,100.0
11/16/2021,19.39,0.0,20.45,19.99,0.0,0.0,0.0,0.0,20.1,0.09,19.98,100.0
11/17/2021,19.5,0.0,20.51,19.97,0.0,0.0,0.0,0.0,20.0,0.09,19.94,100.01
11/18/2021,19.53,0.0,20.48,20.0,0.0,0.0,0.0,0.0,20.03,0.09,19.87,100.0
11/19/2021,19.41,0.0,20.54,20.04,0.0,0.0,0.0,0.0,20.03,0.09,19.9,100.01
11/22/2021,19.33,0.0,20.6,20.06,0.0,0.0,0.0,0.0,20.03,0.09,19.89,100.0
11/23/2021,19.33,0.0,20.6,20.06,0.0,0.0,0.0,0.0,20.03,0.09,19.89,100.0
11/24/2021,19.21,0.0,20.61,20.12,0.0,0.0,0.0,0.0,20.26,0.09,19.72,100.01000000000002
11/25/2021,18.75,0.0,20.32,19.92,0.0,0.0,0.0,0.0,20.22,0.09,20.7,100.0
11/26/2021,18.75,0.0,20.32,19.92,0.0,0.0,0.0,0.0,20.22,0.09,20.7,100.0
11/29/2021,19.37,0.0,20.38,19.91,0.0,0.0,0.0,0.0,20.44,0.09,19.8,99.99
11/30/2021,19.09,0.0,20.78,20.01,0.0,0.0,0.0,0.0,20.29,0.09,19.74,100.0
12/01/2021,19.09,0.0,20.78,20.01,0.0,0.0,0.0,0.0,20.29,0.09,19.74,100.0
12/02/2021,19.09,0.0,20.78,20.01,0.0,0.0,0.0,0.0,20.29,0.09,19.74,100.0
12/06/2021,19.57,0.0,20.67,19.61,0.0,0.0,0.0,0.0,20.38,0.1,19.69,100.01999999999998
12/07/2021,19.57,0.0,20.67,19.61,0.0,0.0,0.0,0.0,20.38,0.1,19.69,100.01999999999998
12/08/2021,19.57,0.0,20.67,19.61,0.0,0.0,0.0,0.0,20.38,0.1,19.69,100.01999999999998
12/09/2021,19.57,0.0,20.67,19.61,0.0,0.0,0.0,0.0,20.38,0.1,19.69,100.01999999999998
12/10/2021,19.57,0.0,20.67,19.61,0.0,0.0,0.0,0.0,20.38,0.1,19.69,100.01999999999998
12/13/2021,19.57,0.0,20.67,19.61,0.0,0.0,0.0,0.0,20.38,0.1,19.69,100.01999999999998
12/14/2021,19.57,0.0,20.67,19.61,0.0,0.0,0.0,0.0,20.38,0.1,19.69,100.01999999999998
12/15/2021,19.57,0.0,20.67,19.61,0.0,0.0,0.0,0.0,20.38,0.1,19.69,100.01999999999998
12/16/2021,19.57,0.0,20.67,19.61,0.0,0.0,0.0,0.0,20.38,0.1,19.69,100.01999999999998
12/17/2021,19.57,0.0,20.67,19.61,0.0,0.0,0.0,0.0,20.38,0.1,19.69,100.01999999999998
12/20/2021,19.57,0.0,20.67,19.61,0.0,0.0,0.0,0.0,20.38,0.1,19.69,100.01999999999998
12/21/2021,18.98,0.0,20.99,19.63,0.0,0.0,0.0,0.0,20.5,0.07,19.83,100.0
12/22/2021,18.98,0.0,20.99,19.63,0.0,0.0,0.0,0.0,20.5,0.07,19.83,100.0
12/23/2021,18.69,0.0,20.93,19.82,0.0,0.0,0.0,0.0,20.63,0.07,19.86,100.0
12/24/2021,18.96,0.0,20.92,19.53,0.0,0.0,0.0,0.0,20.57,0.07,19.94,99.99
12/27/2021,18.95,0.0,20.97,19.56,0.0,0.0,0.0,0.0,20.56,0.07,19.89,100.0
12/28/2021,18.95,0.0,20.97,19.56,0.0,0.0,0.0,0.0,20.56,0.07,19.89,100.0
12/29/2021,18.95,0.0,20.97,19.56,0.0,0.0,0.0,0.0,20.56,0.07,19.89,100.0
12/30/2021,18.81,0.0,21.02,19.55,0.0,0.0,0.0,0.0,20.73,0.07,19.82,100.0
12/31/2021,18.62,0.0,21.13,19.64,0.0,0.0,0.0,0.0,20.7,0.07,19.85,100.01
01/03/2022,18.91,0.0,21.01,19.51,0.0,0.0,0.0,0.0,20.68,0.06,19.82,99.99
01/03/2022,18.9,0.0,21.04,19.46,0.0,0.0,0.0,0.0,20.72,0.13,19.74,99.99
01/03/2022,18.9,0.0,21.04,19.46,0.0,0.0,0.0,0.0,20.72,0.13,19.74,99.99
01/04/2022,18.9,0.0,21.04,19.46,0.0,0.0,0.0,0.0,20.72,0.13,19.74,99.99
01/05/2022,18.9,0.0,21.04,19.46,0.0,0.0,0.0,0.0,20.72,0.13,19.74,99.99
01/06/2022,19.18,0.0,20.92,19.39,0.0,0.0,0.0,0.0,20.61,0.11,19.79,100.0
01/07/2022,19.09,0.0,20.83,19.37,0.0,0.0,0.0,0.0,20.74,0.13,19.84,100.0
01/10/2022,19.33,0.0,20.63,19.44,0.0,0.0,0.0,0.0,20.6,0.13,19.86,99.99
01/11/2022,19.46,0.0,20.6,19.33,0.0,0.0,0.0,0.0,20.64,0.13,19.84,100.0
01/12/2022,19.46,0.0,20.6,19.33,0.0,0.0,0.0,0.0,20.64,0.13,19.84,100.0
01/13/2022,19.77,0.0,20.31,19.3,0.0,0.0,0.0,0.0,20.71,0.13,19.77,99.98999999999998
01/14/2022,19.85,0.0,20.37,19.25,0.0,0.0,0.0,0.0,20.52,0.13,19.86,99.98
01/17/2022,19.73,0.0,20.41,19.21,0.0,0.0,0.0,0.0,20.57,0.11,19.97,100.0
01/18/2022,19.71,0.0,20.42,19.35,0.0,0.0,0.0,0.0,20.39,0.11,20.02,100.0
01/19/2022,19.71,0.0,20.42,19.35,0.0,0.0,0.0,0.0,20.39,0.11,20.02,100.0
01/20/2022,19.71,0.0,20.42,19.35,0.0,0.0,0.0,0.0,20.39,0.11,20.02,100.0
01/21/2022,19.67,0.0,20.44,19.3,0.0,0.0,0.0,0.0,20.56,0.11,19.92,100.0
01/24/2022,19.61,0.0,20.55,19.19,0.0,0.0,0.0,0.0,20.69,0.11,19.85,100.0
01/25/2022,19.56,0.0,20.62,19.17,0.0,0.0,0.0,0.0,20.67,0.11,19.87,100.00000000000001
