,MMP,EPD,NEP,TRP.TO,PEG,SRE,NEE,PAGP,OKE,WMB,ALA.TO,CNP,IDA,ENB.TO,LNG,PWR,ET,UGI,LNT,ATO,XEL,KMI,HEP,CQP,AEP,D,OGS,CMS,AES,PPL,ACO/X.NE,KEY.TO,EXC,NJR,WLKP,WEC,ENLAY,IBDRY,US Dollar,SHLX,AWK,SO,TGP,ES,CWEN.A,NPI.TO,ENPH,ETRN,BKH,HESM,CU.TO,FTS.TO,DNNGY,EMA.TO,CPK,DUK,DTE,DTM WI,ACO.X.TO,MISXX,Orsted A/S ADR,018000.KQ,Enel SpA ADR,Iberdrola SA ADR,Morgan Stanley Instl Lqudty Trs Instl,n/a,DTM,688101.SS,688001.SS,ALA.NE,ACO.X.NE,SUM
07/26/2021,7.72,7.59,6.1,5.87,4.19,3.83,3.68,3.35,3.25,3.27,3.15,3.11,3.12,2.52,2.49,2.55,2.33,2.03,2.02,1.99,1.89,1.61,1.51,1.51,1.41,1.39,1.38,1.22,1.0,1.0,0.0,0.94,0.98,0.87,0.84,0.71,0.69,0.67,0.0,0.51,0.51,0.47,0.32,0.3,0.27,0.24,0.22,0.23,0.14,0.12,0.1,0.1,0.0,0.08,0.06,0.07,0.89,0.01,0.98,0.51,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,7.68,7.56,6.04,5.84,4.24,3.86,3.72,3.34,3.22,3.24,3.12,3.12,3.16,2.51,2.46,2.55,2.33,2.05,2.04,2.02,1.91,1.59,1.5,1.49,1.42,1.4,1.4,1.23,0.99,1.0,0.0,0.94,0.98,0.88,0.83,0.72,0.0,0.67,0.0,0.49,0.52,0.47,0.32,0.3,0.27,0.24,0.22,0.23,0.14,0.12,0.1,0.1,0.0,0.08,0.06,0.07,0.9,0.01,0.98,0.51,0.09,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/28/2021,7.68,7.56,6.04,5.84,4.24,3.86,3.72,3.34,3.22,3.24,3.12,3.12,3.16,2.51,2.46,2.55,2.33,2.05,2.04,2.02,1.91,1.59,1.5,1.49,1.42,1.4,1.4,1.23,0.99,1.0,0.0,0.94,0.98,0.88,0.83,0.72,0.69,0.67,0.0,0.49,0.52,0.47,0.32,0.3,0.27,0.24,0.22,0.23,0.14,0.12,0.1,0.1,0.0,0.08,0.06,0.07,0.9,0.01,0.98,0.51,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/29/2021,7.86,7.64,5.99,5.83,4.22,3.82,3.67,3.38,3.25,3.27,3.1,3.11,3.13,2.5,2.49,2.49,2.32,2.04,2.03,2.01,1.9,1.62,1.56,1.48,1.44,1.39,1.39,1.22,0.99,1.0,0.0,0.96,0.97,0.88,0.82,0.71,0.69,0.67,0.0,0.5,0.51,0.47,0.33,0.3,0.27,0.24,0.22,0.23,0.14,0.12,0.1,0.1,0.0,0.08,0.06,0.07,0.89,0.01,0.98,0.5,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/30/2021,7.8,7.52,6.08,5.83,4.3,3.87,3.71,3.27,3.19,3.23,3.08,3.15,3.15,2.5,2.46,2.48,2.25,2.05,2.06,2.03,1.92,1.61,1.51,1.46,1.46,1.42,1.42,1.24,1.0,1.01,0.0,0.95,0.99,0.88,0.82,0.73,0.68,0.66,0.0,0.5,0.52,0.47,0.32,0.31,0.27,0.24,0.21,0.23,0.14,0.12,0.1,0.1,0.0,0.08,0.06,0.07,0.91,0.01,0.98,0.5,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,7.79,7.24,6.21,5.85,4.31,3.85,3.71,3.23,3.23,3.24,3.1,3.15,3.14,2.53,2.52,2.57,2.3,2.04,2.03,2.01,1.9,1.62,1.54,1.49,1.45,1.39,1.39,1.22,0.99,1.0,0.0,0.97,0.99,0.87,0.81,0.71,0.0,0.66,0.0,0.51,0.52,0.47,0.32,0.3,0.27,0.24,0.22,0.23,0.14,0.13,0.1,0.1,0.0,0.08,0.06,0.07,0.9,0.01,0.98,0.5,0.09,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/03/2021,7.67,7.2,6.26,5.83,4.28,3.83,3.73,3.23,3.14,3.21,3.13,3.13,3.16,2.53,2.48,2.57,2.29,2.03,2.03,1.99,1.9,1.58,1.49,1.51,1.45,1.39,1.39,1.22,0.98,1.0,1.01,0.97,0.98,0.86,0.82,0.72,0.67,0.65,0.9,0.52,0.52,0.47,0.32,0.3,0.27,0.24,0.24,0.23,0.14,0.13,0.1,0.1,0.09,0.08,0.06,0.07,0.9,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,7.67,7.2,6.26,5.83,4.28,3.83,3.73,3.23,3.14,3.21,3.13,3.13,3.16,2.53,2.48,2.57,2.29,2.03,2.03,1.99,1.9,1.58,1.49,1.51,1.45,1.39,1.39,1.22,0.98,1.0,1.01,0.97,0.98,0.86,0.82,0.72,0.67,0.65,0.9,0.52,0.52,0.47,0.32,0.3,0.27,0.24,0.24,0.23,0.14,0.13,0.1,0.1,0.09,0.08,0.06,0.07,0.9,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,7.72,7.13,6.37,5.78,4.32,3.85,3.77,3.17,3.11,3.2,3.12,3.14,3.2,2.52,2.48,2.52,2.25,2.03,2.05,2.01,1.91,1.58,1.46,1.49,1.45,1.4,1.4,1.23,0.97,1.0,1.0,0.97,0.99,0.87,0.82,0.72,0.67,0.66,0.9,0.5,0.53,0.47,0.32,0.31,0.28,0.24,0.23,0.23,0.14,0.13,0.1,0.1,0.09,0.08,0.07,0.07,0.9,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/06/2021,7.87,7.13,6.41,5.81,4.35,3.85,3.78,3.22,3.1,3.2,3.1,3.17,3.19,2.53,2.5,2.56,2.24,2.05,2.07,2.01,1.9,1.59,1.38,1.47,1.46,1.39,1.4,1.24,0.98,1.0,0.0,0.96,0.99,0.87,0.82,0.72,0.66,0.66,0.0,0.48,0.54,0.47,0.31,0.31,0.28,0.24,0.24,0.23,0.15,0.13,0.1,0.1,0.0,0.08,0.07,0.07,0.9,0.01,0.98,0.57,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/20/2021,8.29,7.93,5.98,5.3,3.49,3.89,3.7,3.94,1.48,1.96,2.82,3.02,2.51,1.93,2.71,3.03,2.51,2.24,2.01,2.46,1.93,1.51,1.34,1.59,2.0,0.25,1.36,1.5,0.24,0.75,0.0,0.46,1.01,0.72,0.79,0.73,0.88,0.88,0.0,0.95,0.55,3.56,0.48,0.32,0.29,0.15,0.2,0.23,0.15,0.12,0.1,0.1,0.0,0.08,0.07,0.07,1.09,0.01,0.94,1.32,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,100.01
08/23/2021,8.16,7.74,6.08,5.17,3.52,3.9,3.79,3.77,1.44,1.95,2.75,2.97,2.55,1.9,2.66,3.11,2.45,2.22,2.04,2.45,1.97,1.46,1.34,1.68,2.03,0.25,1.37,1.53,0.24,0.76,0.0,0.44,1.03,0.73,0.78,0.74,0.91,0.93,0.0,0.93,0.56,3.62,0.51,0.32,0.3,0.15,0.2,0.23,0.15,0.12,0.1,0.1,0.0,0.08,0.07,0.07,1.11,0.01,0.94,1.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,99.98
08/26/2021,8.16,7.88,6.07,5.23,3.49,3.86,3.74,3.84,1.51,1.98,2.83,2.97,2.49,1.95,2.72,3.13,2.49,2.21,2.0,2.4,1.92,1.48,1.34,1.6,2.0,0.25,1.36,1.51,0.24,0.75,0.0,0.45,1.03,0.72,0.78,0.73,0.89,0.93,0.0,0.93,0.56,3.6,0.51,0.32,0.3,0.15,0.21,0.23,0.15,0.12,0.1,0.1,0.0,0.09,0.07,0.07,1.11,0.0,0.93,1.41,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.0,0.0,0.0,0.0,100.0
08/31/2021,8.4,7.97,5.97,5.24,3.44,3.81,3.66,3.83,1.54,1.97,2.79,2.63,2.42,1.96,2.81,3.28,2.54,2.18,1.97,2.36,1.89,1.73,1.4,1.59,1.96,0.24,1.33,1.49,0.24,0.98,0.0,0.75,1.02,0.71,0.79,0.71,0.87,0.9,0.0,0.96,0.55,3.2,0.51,0.31,0.3,0.15,0.21,0.25,0.15,0.13,0.1,0.1,0.09,0.08,0.07,0.07,1.09,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.01,0.0,0.0,0.0,0.0,100.0
09/01/2021,8.41,7.99,5.98,5.25,3.45,3.82,3.66,3.83,1.55,1.97,2.8,2.63,2.43,1.97,2.82,3.29,2.55,2.19,1.98,2.37,1.89,1.74,1.4,1.59,1.96,0.24,1.34,1.5,0.24,0.99,0.0,0.76,1.02,0.71,0.79,0.71,0.87,0.9,0.0,0.97,0.55,3.21,0.52,0.31,0.3,0.15,0.22,0.25,0.15,0.13,0.1,0.1,0.0,0.08,0.07,0.07,1.09,0.0,0.93,1.18,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.0,0.0,0.0,0.0,100.07
09/02/2021,8.44,7.94,6.05,5.28,3.46,3.83,3.7,3.73,1.53,1.97,2.82,2.61,2.42,1.97,2.8,3.29,2.5,2.2,1.98,2.37,1.9,1.71,1.4,1.58,1.97,0.25,1.34,1.51,0.24,0.99,0.0,0.76,1.02,0.71,0.78,0.72,0.88,0.91,0.0,0.98,0.56,3.2,0.51,0.32,0.3,0.15,0.22,0.25,0.15,0.12,0.1,0.1,0.1,0.08,0.07,0.07,1.09,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.01,0.0,0.0,0.0,0.0,100.05
09/03/2021,8.43,7.94,6.08,5.27,3.44,3.84,3.7,3.77,1.51,1.98,2.78,2.58,2.42,1.96,2.75,3.25,2.5,2.18,1.98,2.37,1.89,1.71,1.38,1.61,1.97,0.24,1.34,1.5,0.24,0.99,0.0,0.75,1.02,0.71,0.79,0.71,0.87,0.91,0.0,0.95,0.56,3.2,0.51,0.32,0.3,0.15,0.21,0.24,0.15,0.13,0.1,0.1,0.1,0.08,0.07,0.07,1.09,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.01,0.0,0.0,0.0,0.0,100.01
09/06/2021,8.37,7.95,6.12,5.23,3.4,3.82,3.48,3.91,1.5,1.97,2.73,2.59,2.42,1.94,2.76,3.55,2.65,2.17,1.97,2.34,1.89,1.68,1.42,1.63,1.96,0.24,1.34,1.5,0.24,1.0,0.0,0.74,1.02,0.71,0.78,0.71,0.87,0.91,0.0,0.95,0.56,3.18,0.56,0.32,0.3,0.15,0.21,0.25,0.15,0.13,0.09,0.1,0.09,0.08,0.07,0.07,1.08,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.01,0.0,0.0,0.0,0.0,99.99
09/07/2021,8.37,7.97,5.87,5.26,3.38,3.8,3.45,4.0,1.5,1.96,2.77,2.61,2.41,1.96,2.78,3.62,2.82,2.17,1.96,2.32,1.88,1.68,1.4,1.62,1.95,0.24,1.32,1.49,0.24,1.0,0.0,0.74,1.01,0.7,0.78,0.71,0.86,0.9,0.0,0.93,0.55,3.16,0.58,0.31,0.3,0.15,0.21,0.25,0.15,0.13,0.1,0.1,0.09,0.08,0.07,0.07,1.07,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.01,0.0,0.0,0.0,0.0,100.0
09/08/2021,8.37,7.97,5.87,5.26,3.38,3.8,3.45,4.0,1.5,1.96,2.77,2.61,2.41,1.96,2.78,3.62,2.82,2.17,1.96,2.32,1.88,1.68,1.4,1.62,1.95,0.24,1.32,1.49,0.24,1.0,0.0,0.74,1.01,0.7,0.78,0.71,0.86,0.9,0.0,0.93,0.55,3.16,0.58,0.31,0.3,0.15,0.21,0.25,0.15,0.13,0.1,0.1,0.09,0.08,0.07,0.07,1.07,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.01,0.0,0.0,0.0,0.0,100.0
09/09/2021,8.38,7.97,5.87,5.26,3.38,3.8,3.45,4.0,1.5,1.96,2.77,2.62,2.41,1.96,2.78,3.62,2.82,2.17,1.96,2.33,1.89,1.68,1.4,1.62,1.95,0.24,1.32,1.49,0.24,1.0,0.0,0.74,1.02,0.7,0.78,0.71,0.86,0.9,0.0,0.93,0.55,3.16,0.58,0.31,0.3,0.15,0.21,0.25,0.15,0.13,0.1,0.1,0.09,0.08,0.07,0.07,1.08,0.0,0.91,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.01
09/10/2021,8.3,7.97,5.73,5.3,3.35,3.79,3.45,4.21,1.49,1.95,2.76,2.62,2.41,1.97,2.8,3.63,2.91,2.14,1.92,2.31,1.85,1.67,1.4,1.63,1.93,0.24,1.29,1.47,0.24,1.01,0.0,0.74,1.02,0.7,0.77,0.7,0.85,0.89,0.0,0.94,0.55,3.18,0.61,0.31,0.29,0.15,0.21,0.25,0.14,0.13,0.09,0.1,0.09,0.08,0.07,0.06,1.07,0.0,0.9,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,99.98
09/13/2021,8.19,7.86,5.69,5.31,3.38,3.85,3.5,4.25,1.5,1.92,2.85,2.71,2.45,1.98,2.74,3.62,2.86,2.13,1.96,2.32,1.89,1.66,1.39,1.67,1.97,0.24,1.31,1.49,0.24,1.0,0.0,0.75,1.04,0.7,0.78,0.72,0.84,0.89,0.0,0.91,0.57,3.25,0.62,0.31,0.3,0.15,0.2,0.25,0.14,0.13,0.09,0.1,0.09,0.08,0.07,0.07,1.09,0.0,0.9,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.05
09/14/2021,8.15,7.88,5.8,5.35,3.34,3.85,3.49,4.27,1.51,1.95,2.83,2.7,2.42,1.99,2.77,3.69,2.88,2.11,1.95,2.27,1.87,1.67,1.38,1.62,1.96,0.24,1.28,1.49,0.23,1.0,0.0,0.75,1.04,0.69,0.77,0.72,0.83,0.87,0.0,0.9,0.56,3.22,0.61,0.31,0.29,0.15,0.19,0.25,0.14,0.13,0.09,0.1,0.09,0.08,0.07,0.06,1.08,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.01,0.0,0.0,0.0,0.0,99.99
09/15/2021,8.16,7.89,5.8,5.36,3.35,3.85,3.5,4.27,1.51,1.95,2.84,2.7,2.42,1.99,2.78,3.69,2.89,2.12,1.95,2.27,1.87,1.68,1.38,1.62,1.96,0.24,1.28,1.49,0.24,1.0,0.0,0.76,1.04,0.69,0.78,0.72,0.83,0.87,0.0,0.9,0.56,3.23,0.61,0.31,0.29,0.15,0.19,0.25,0.14,0.13,0.09,0.1,0.09,0.08,0.07,0.07,1.08,0.0,0.89,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.03
09/16/2021,8.13,7.91,5.69,5.49,3.34,3.87,3.46,4.37,1.53,1.98,2.86,2.68,2.39,1.99,2.85,3.65,2.88,2.12,1.93,2.23,1.84,1.68,1.36,1.65,1.94,0.24,1.26,1.47,0.23,0.99,0.0,0.79,1.05,0.69,0.77,0.7,0.85,0.89,0.0,0.92,0.56,3.21,0.61,0.31,0.29,0.15,0.2,0.26,0.14,0.13,0.09,0.1,0.09,0.08,0.07,0.06,1.07,0.0,0.89,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.03000000000002
09/20/2021,8.11,7.94,5.76,5.49,3.38,3.94,3.46,4.47,1.6,2.04,2.85,2.54,2.36,2.01,2.87,3.73,2.84,2.06,1.92,2.19,1.8,1.7,1.4,1.61,1.9,0.24,1.21,1.47,0.24,0.99,0.0,0.81,1.05,0.68,0.77,0.69,0.79,0.81,0.0,0.93,0.56,3.19,0.6,0.3,0.3,0.15,0.19,0.27,0.14,0.13,0.09,0.1,0.09,0.08,0.06,0.06,1.07,0.0,0.89,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.01
09/21/2021,8.25,7.95,5.84,5.53,3.38,3.93,3.4,4.37,1.61,2.05,2.86,2.55,2.41,2.01,2.78,3.82,2.86,2.05,1.91,2.2,1.79,1.7,1.36,1.56,1.88,0.24,1.21,1.46,0.25,0.98,0.0,0.82,1.05,0.67,0.78,0.69,0.79,0.82,0.0,0.92,0.55,3.17,0.58,0.29,0.3,0.15,0.2,0.27,0.14,0.13,0.09,0.1,0.08,0.08,0.07,0.06,1.05,0.0,0.89,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.03
09/23/2021,8.1,7.78,5.81,5.37,3.44,3.91,3.46,4.29,1.57,2.06,2.83,2.62,2.45,1.88,2.76,3.82,2.78,2.07,1.94,2.31,1.8,1.69,1.36,1.55,2.06,0.24,1.24,1.49,0.24,0.99,0.0,0.8,1.06,0.68,0.76,0.71,0.79,0.82,0.0,0.92,0.56,3.2,0.56,0.3,0.3,0.15,0.19,0.26,0.14,0.13,0.1,0.1,0.09,0.08,0.06,0.06,1.06,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.01,0.0,0.0,0.0,0.0,99.97
09/24/2021,8.15,7.8,5.83,5.4,3.41,3.89,3.46,4.28,1.58,2.04,2.83,2.63,2.43,1.89,2.84,3.76,2.82,2.05,1.92,2.3,1.79,1.7,1.34,1.55,2.05,0.24,1.25,1.48,0.24,0.99,0.0,0.79,1.05,0.68,0.76,0.71,0.8,0.82,0.0,0.9,0.56,3.19,0.58,0.3,0.3,0.15,0.2,0.26,0.14,0.13,0.1,0.1,0.09,0.08,0.06,0.06,1.06,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.01,0.0,0.0,0.0,0.0,100.01
09/27/2021,8.17,7.69,5.78,5.17,3.33,3.82,3.4,4.58,1.68,2.08,2.83,2.6,2.43,1.77,3.01,3.85,3.0,2.05,1.9,2.4,1.77,1.76,1.44,1.61,2.19,0.24,1.48,1.45,0.24,0.98,0.0,0.8,1.05,0.68,0.76,0.69,0.81,0.81,0.0,0.96,0.55,3.15,0.59,0.29,0.3,0.15,0.2,0.27,0.13,0.14,0.09,0.1,0.09,0.08,0.06,0.06,1.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.01,0.0,0.0,0.0,0.0,99.97
09/28/2021,8.03,7.49,5.74,5.19,3.31,3.82,3.37,4.59,1.68,2.07,2.83,2.65,2.42,1.76,3.02,3.79,2.92,2.04,1.89,2.39,1.77,1.76,1.41,1.63,2.17,0.24,1.45,1.44,0.23,0.97,0.0,0.8,1.04,0.67,0.75,0.69,0.8,0.8,0.0,0.95,0.55,3.12,0.58,0.29,0.3,0.15,0.19,0.28,0.13,0.14,0.09,0.1,0.09,0.08,0.06,0.06,1.05,0.0,1.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,99.98
09/29/2021,8.03,7.49,5.74,5.19,3.31,3.82,3.37,4.59,1.68,2.07,2.83,2.65,2.42,1.76,3.02,3.79,2.92,2.04,1.89,2.39,1.77,1.76,1.41,1.63,2.17,0.24,1.45,1.44,0.23,0.97,0.0,0.8,1.04,0.67,0.75,0.69,0.8,0.8,0.0,0.95,0.55,3.12,0.58,0.29,0.3,0.15,0.19,0.28,0.13,0.14,0.09,0.1,0.09,0.08,0.06,0.06,1.05,0.0,1.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,99.98
09/30/2021,8.03,7.49,5.74,5.19,3.31,3.82,3.37,4.59,1.68,2.07,2.83,2.65,2.42,1.76,3.02,3.79,2.92,2.04,1.89,2.39,1.77,1.76,1.41,1.63,2.17,0.24,1.45,1.44,0.23,0.97,0.0,0.8,1.04,0.67,0.75,0.69,0.8,0.8,0.0,0.95,0.55,3.12,0.58,0.29,0.3,0.15,0.19,0.28,0.13,0.14,0.09,0.1,0.09,0.08,0.06,0.06,1.05,0.0,1.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,99.98
