,HDG,RINF,RALS,TOLZ,PEX,MRGR,ProShares Managed Futures Strategy,Cash,FUT,n/a,SUM
12/10/2021,18.96,10.38,9.07,20.84,13.35,19.41,0.0,0.0,7.87,0.13,100.01
12/13/2021,18.96,10.38,9.07,20.84,13.35,19.41,0.0,0.0,7.87,0.13,100.01
12/14/2021,18.96,10.38,9.07,20.84,13.35,19.41,0.0,0.0,7.87,0.13,100.01
12/15/2021,18.96,10.38,9.07,20.84,13.35,19.41,0.0,0.0,7.87,0.13,100.01
12/16/2021,18.96,10.38,9.07,20.84,13.35,19.41,0.0,0.0,7.87,0.13,100.01
12/17/2021,18.96,10.38,9.07,20.84,13.35,19.41,0.0,0.0,7.87,0.13,100.01
12/20/2021,18.96,10.38,9.07,20.84,13.35,19.41,0.0,0.0,7.87,0.13,100.01
12/21/2021,18.54,11.71,6.67,21.51,13.16,20.58,0.0,0.0,7.67,0.16,100.0
12/22/2021,18.54,11.71,6.67,21.51,13.16,20.58,0.0,0.0,7.67,0.16,100.0
12/23/2021,18.43,11.79,6.65,21.51,13.11,20.64,0.0,0.0,7.68,0.18,99.99
12/24/2021,18.49,11.91,6.6,21.48,13.19,20.5,0.0,0.0,7.61,0.21,99.99
12/27/2021,18.44,11.79,6.51,21.41,12.79,20.48,0.0,0.0,7.34,1.24,100.0
12/28/2021,18.44,11.79,6.51,21.41,12.79,20.48,0.0,0.0,7.34,1.24,100.0
12/29/2021,18.44,11.79,6.51,21.41,12.79,20.48,0.0,0.0,7.34,1.24,100.0
12/30/2021,18.44,11.79,6.51,21.41,12.79,20.48,0.0,0.0,7.34,1.24,100.0
12/31/2021,18.44,11.79,6.51,21.41,12.79,20.48,0.0,0.0,7.34,1.24,100.0
01/03/2022,18.54,12.14,6.53,21.82,13.02,20.55,0.0,0.0,7.34,0.07,100.01
01/03/2022,18.54,12.0,6.55,21.9,13.05,20.56,0.0,0.0,7.33,0.07,100.0
01/03/2022,18.54,12.0,6.55,21.9,13.05,20.56,0.0,0.0,7.33,0.07,100.0
01/04/2022,18.54,12.0,6.55,21.9,13.05,20.56,0.0,0.0,7.33,0.07,100.0
01/05/2022,18.54,12.0,6.55,21.9,13.05,20.56,0.0,0.0,7.33,0.07,100.0
01/06/2022,18.5,12.11,6.53,21.86,13.1,20.52,0.0,0.0,7.3,0.07,99.99
01/07/2022,18.54,11.96,6.64,21.81,13.19,20.48,0.0,0.0,7.31,0.07,100.0
01/10/2022,18.57,11.75,6.77,21.77,13.02,20.66,0.0,0.0,7.39,0.08,100.01
01/11/2022,18.54,11.88,4.46,21.03,13.24,23.09,0.0,0.0,7.7,0.07,100.01
01/12/2022,18.54,11.88,4.46,21.03,13.24,23.09,0.0,0.0,7.7,0.07,100.01
01/13/2022,18.51,11.92,4.51,21.03,13.1,23.15,0.0,0.0,7.71,0.07,100.0
01/14/2022,18.53,12.0,4.47,20.99,13.23,23.02,0.0,0.0,7.68,0.07,99.99
01/17/2022,18.58,11.75,4.49,21.14,13.24,23.03,0.0,0.0,7.69,0.07,99.99
01/18/2022,18.6,11.78,4.54,21.14,13.13,23.02,0.0,0.0,7.72,0.07,100.0
01/19/2022,18.6,11.78,4.54,21.14,13.13,23.02,0.0,0.0,7.72,0.07,100.0
01/20/2022,18.6,11.78,4.54,21.14,13.13,23.02,0.0,0.0,7.72,0.07,100.0
01/21/2022,18.51,11.93,4.57,21.11,13.02,23.04,0.0,0.0,7.77,0.07,100.02
01/24/2022,18.44,11.79,4.59,21.08,13.0,23.15,0.0,0.0,7.87,0.07,99.99
01/25/2022,18.39,11.94,4.62,21.02,12.82,23.24,0.0,0.0,7.91,0.07,100.01
01/26/2022,18.39,11.94,4.62,21.02,12.82,23.24,0.0,0.0,7.91,0.07,100.01
01/27/2022,18.39,11.94,4.62,21.02,12.82,23.24,0.0,0.0,7.91,0.07,100.01
01/28/2022,18.42,11.99,4.66,21.07,12.53,23.35,0.0,0.0,7.92,0.07,100.01
01/31/2022,18.27,12.04,4.7,20.93,12.6,23.41,0.0,0.0,7.97,0.07,99.99
02/01/2022,18.26,12.06,4.66,21.11,12.53,23.36,0.0,0.0,7.95,0.07,99.99999999999999
