,TSLA,JD,TRMB,KTOS,GOOG,BIDU,IRDM,U,DDD,PATH,LMT,DE,TER,NIU,KMTUY,NXPI,NNDM,CAT,MG.TO,ISRG,BYDDY,TSP,RAVN,TWOU,VUZI,MTLS,NVDA,TDY,AVAV,SNPS,ESLT,ANSS,BABA,BLDE,ACIC,TCEHY,SPFR,SSYS,PCAR,AONE,PRLB,XONE,BZ,DREYFUS GOVT CASH MAN INS,ONVO,GLEO,MKFG,n/a,PLTR,ESLT.TA,MGA,ACHR,VLD,XPEV,SUM
07/23/2021,11.32,6.99,6.61,6.71,4.93,4.19,4.45,3.54,2.54,3.44,2.9,2.66,2.58,2.25,2.41,2.06,1.76,1.76,1.97,1.36,1.59,1.28,0.36,1.43,1.13,1.16,1.2,1.38,1.29,1.28,1.14,1.14,1.15,0.88,1.02,0.91,0.95,0.81,0.92,0.0,0.6,0.45,0.52,0.15,0.04,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,11.02,7.11,6.68,6.73,4.97,4.17,4.44,3.65,2.46,3.71,2.87,2.66,2.62,2.25,2.39,1.99,1.72,1.76,2.06,1.37,1.64,1.21,0.0,1.47,1.09,1.12,1.26,1.38,1.27,1.28,1.14,1.16,1.15,0.95,1.01,0.9,0.94,0.8,0.9,0.0,0.58,0.45,0.51,0.23,0.04,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000004
07/28/2021,10.97,6.8,6.8,6.81,5.16,4.05,4.42,3.71,2.45,3.81,2.89,2.69,2.68,2.21,2.4,1.97,1.7,1.77,1.97,1.38,1.64,1.16,0.0,1.46,1.07,1.1,1.26,1.4,1.28,1.3,1.15,1.19,1.12,1.02,1.02,0.87,0.95,0.78,0.91,0.0,0.59,0.43,0.48,0.19,0.04,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/29/2021,11.36,6.3,6.88,7.02,5.3,3.52,4.5,3.68,2.39,3.78,2.83,2.73,2.68,2.13,2.47,2.02,1.71,1.8,2.26,1.39,1.58,1.15,0.0,1.47,1.1,1.07,1.26,1.41,1.28,1.31,1.17,1.19,1.05,1.08,1.03,0.79,0.95,0.79,0.92,0.0,0.59,0.44,0.46,0.2,0.04,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/30/2021,11.45,5.57,7.01,7.13,5.34,2.84,4.54,4.05,2.47,3.73,2.96,2.8,2.67,1.9,2.52,2.03,1.71,1.85,2.31,1.44,1.36,1.75,0.0,1.5,1.11,1.09,1.29,1.44,1.33,1.34,1.26,1.22,1.05,1.15,1.06,0.79,0.98,0.79,0.7,0.0,0.6,0.44,0.19,0.23,0.04,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,11.59,4.61,6.99,6.98,5.13,2.89,4.96,4.59,2.65,3.78,2.84,2.74,2.62,1.97,2.55,2.06,1.71,1.8,2.3,1.4,1.25,2.04,0.0,1.47,1.12,1.17,1.27,1.41,1.34,1.31,1.23,1.19,1.07,1.1,1.02,0.8,0.95,0.79,0.13,0.0,0.54,0.44,0.0,1.22,0.04,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/03/2021,11.59,4.61,6.99,6.98,5.13,2.89,4.96,4.59,2.65,3.78,2.84,2.74,2.62,1.97,2.55,2.06,1.71,1.8,2.3,1.4,1.25,2.04,0.0,1.47,1.12,1.17,1.27,1.41,1.34,1.31,1.23,1.19,1.07,1.1,1.02,0.8,0.95,0.79,0.13,0.0,0.54,0.44,0.0,1.22,0.04,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/04/2021,11.64,4.5,6.93,6.85,5.03,2.81,5.16,4.38,2.6,4.61,2.8,2.73,2.62,2.01,2.41,2.06,1.67,1.73,2.28,1.4,1.18,1.85,0.0,1.37,1.1,1.17,1.25,1.41,1.38,1.31,1.2,1.19,1.05,1.06,1.01,0.03,0.94,0.77,0.02,0.0,0.53,0.44,0.0,2.47,0.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/05/2021,11.75,4.1,6.75,6.65,4.94,2.79,5.3,4.92,2.54,4.89,3.45,2.62,2.56,2.0,2.37,2.04,1.62,1.68,2.24,1.37,1.14,1.88,0.0,1.38,1.07,1.18,1.23,1.38,1.41,1.27,1.17,1.16,1.05,1.01,0.99,0.0,0.94,0.76,0.0,0.0,0.53,0.43,0.0,2.39,0.04,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/06/2021,11.84,3.68,6.85,6.73,5.0,2.77,5.3,4.85,2.47,5.01,3.49,2.72,2.58,1.97,2.38,2.07,1.61,1.72,2.27,1.39,1.06,1.87,0.0,1.33,1.04,1.15,1.25,1.4,1.5,1.29,1.18,1.18,1.05,0.98,0.99,0.0,0.95,0.75,0.0,0.0,0.53,0.43,0.0,2.24,0.04,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/09/2021,12.03,2.98,7.2,6.41,5.06,2.82,5.64,5.13,2.63,5.39,3.44,2.73,2.6,1.93,2.38,2.11,1.64,1.73,2.28,1.43,1.1,1.88,0.0,1.31,1.03,1.21,1.31,1.41,1.65,1.32,1.2,1.2,1.07,0.99,1.01,0.0,0.96,0.85,0.0,0.0,0.55,0.44,0.0,0.0,0.04,0.0,1.37,0.56,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/10/2021,12.03,2.98,7.2,6.41,5.06,2.82,5.64,5.13,2.63,5.39,3.44,2.73,2.6,1.93,2.38,2.11,1.64,1.73,2.28,1.43,1.1,1.88,0.0,1.31,1.03,1.21,1.31,1.41,1.65,1.32,1.2,1.2,1.07,0.99,1.01,0.0,0.96,0.85,0.0,0.0,0.55,0.44,0.0,0.0,0.04,0.0,1.37,0.56,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/11/2021,11.83,2.95,7.23,6.49,5.09,2.81,5.53,5.0,2.61,5.28,3.47,2.76,2.61,1.85,2.41,2.13,1.64,1.74,2.27,1.45,1.07,1.9,0.0,1.3,1.0,1.18,1.3,1.43,1.74,1.32,1.2,1.21,1.06,1.0,1.01,0.0,0.97,0.83,0.0,0.0,0.55,0.44,0.0,0.0,0.04,0.0,1.39,0.9,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/12/2021,11.97,3.01,7.15,6.47,5.08,2.82,5.49,5.11,2.65,5.38,3.43,2.76,2.57,1.86,2.39,2.15,1.65,1.73,2.26,1.44,1.05,1.91,0.0,1.27,1.01,1.2,1.28,1.41,1.71,1.31,1.19,1.19,1.04,1.04,1.0,0.0,0.97,0.84,0.0,0.0,0.54,0.45,0.0,0.0,0.04,0.0,1.39,0.78,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/13/2021,11.88,3.01,7.12,6.37,5.08,2.8,5.47,4.96,3.21,5.53,3.43,2.81,2.5,1.85,2.31,2.14,1.71,1.77,2.32,1.38,1.05,2.09,0.0,1.25,1.05,1.21,1.01,1.39,1.71,1.29,1.17,1.15,1.04,1.03,1.0,0.0,0.98,0.9,0.0,0.0,0.55,0.47,0.0,0.0,0.04,0.0,1.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/16/2021,12.04,2.95,7.07,6.41,4.86,2.5,5.4,5.84,2.99,5.28,3.4,2.86,2.41,1.74,2.42,2.11,1.64,1.82,2.31,1.39,1.04,2.15,0.0,1.18,1.12,1.19,1.0,1.4,1.69,1.3,1.26,1.15,1.02,0.98,1.0,0.0,0.97,0.91,0.0,0.0,0.55,0.5,0.0,0.0,0.04,0.0,1.42,0.17,0.5,0.0,0.0,0.0,0.0,0.0,99.98000000000002
08/17/2021,12.04,2.95,7.07,6.41,4.86,2.5,5.4,5.84,2.99,5.28,3.4,2.86,2.41,1.74,2.42,2.11,1.64,1.82,2.31,1.39,1.04,2.15,0.0,1.18,1.12,1.19,1.0,1.4,1.69,1.3,1.26,1.15,1.02,0.98,1.0,0.0,0.97,0.91,0.0,0.0,0.55,0.5,0.0,0.0,0.04,0.0,1.42,0.17,0.5,0.0,0.0,0.0,0.0,0.0,99.98000000000002
08/18/2021,12.19,2.98,7.23,5.86,4.96,2.44,5.28,6.06,2.77,5.37,3.45,2.91,2.46,1.68,2.46,2.06,1.53,1.84,2.34,1.42,1.01,2.07,0.0,1.19,1.09,1.14,1.04,1.42,1.7,1.33,1.3,1.17,1.02,0.99,1.02,0.0,0.99,0.86,0.0,0.0,0.54,0.49,0.0,0.0,0.04,0.0,1.44,0.35,0.51,0.0,0.0,0.0,0.0,0.0,100.0
08/19/2021,11.9,2.9,7.47,5.88,5.08,2.39,5.33,5.86,2.69,5.3,3.54,2.96,2.5,1.79,2.48,2.08,1.52,1.87,2.38,1.47,0.92,2.09,0.0,1.2,1.12,1.12,1.05,1.45,1.82,1.37,1.34,1.06,1.01,1.04,1.04,0.0,1.01,0.83,0.0,0.0,0.51,0.45,0.0,0.0,0.04,0.0,1.48,0.16,0.51,0.0,0.0,0.0,0.0,0.0,100.01
08/20/2021,11.68,2.82,7.43,6.18,5.08,2.04,5.25,5.86,2.61,5.35,3.59,2.94,2.48,1.98,2.51,2.04,1.47,1.85,2.33,1.51,0.89,2.19,0.0,1.2,1.08,1.13,1.03,1.47,1.97,1.37,1.34,1.05,0.97,1.05,1.06,0.0,1.03,0.82,0.0,0.0,0.51,0.41,0.0,0.0,0.04,0.0,1.7,0.19,0.5,0.0,0.0,0.0,0.0,0.0,100.0
08/23/2021,11.93,2.76,7.53,5.87,5.11,1.75,5.26,5.7,2.6,5.45,3.55,2.83,2.46,2.06,2.59,2.03,1.5,1.79,2.2,1.55,0.92,2.55,0.0,1.17,1.06,1.11,1.06,1.45,2.04,1.5,1.36,1.06,0.9,1.16,1.06,0.0,1.04,0.8,0.0,0.0,0.5,0.29,0.0,0.0,0.03,0.0,1.67,0.23,0.51,0.0,0.0,0.0,0.0,0.0,99.99
08/25/2021,11.93,2.8,7.6,5.97,5.12,1.29,5.37,5.96,2.64,5.43,3.55,2.74,2.43,2.03,2.55,2.03,1.54,1.78,2.18,1.52,0.9,2.49,0.0,1.16,1.08,1.13,1.1,1.45,2.12,1.49,0.0,1.06,0.88,1.08,1.05,0.0,1.03,0.82,0.0,0.0,0.5,0.2,0.0,0.0,0.04,0.0,1.59,0.24,0.78,1.36,0.0,0.0,0.0,0.0,100.01000000000002
08/26/2021,12.09,3.22,7.54,6.02,4.09,1.3,5.4,5.93,2.81,5.25,3.72,2.76,2.43,1.99,2.5,2.03,1.58,1.77,2.16,1.49,0.92,2.79,0.0,1.17,1.08,1.14,1.14,1.29,2.14,1.47,0.0,1.05,0.88,1.12,1.03,0.0,1.01,0.82,0.0,0.0,0.49,0.11,0.0,0.0,0.04,0.0,1.67,0.2,1.03,1.34,0.0,0.0,0.0,0.0,100.01
08/27/2021,11.86,3.61,7.42,6.14,4.04,1.39,5.16,5.79,2.91,5.29,3.66,2.74,2.38,2.1,2.48,2.02,1.59,1.76,2.17,1.46,0.91,3.24,0.0,1.15,1.11,1.18,1.1,1.26,2.07,1.46,0.0,1.03,0.49,1.16,1.01,0.0,1.0,0.82,0.0,0.0,0.48,0.08,0.0,0.0,0.04,0.0,1.8,0.33,1.02,1.31,0.0,0.0,0.0,0.0,100.02
08/30/2021,11.72,3.69,7.54,6.61,4.02,1.38,5.01,5.55,2.83,5.43,3.68,2.83,2.39,2.02,2.53,2.09,1.53,1.75,2.1,1.45,0.86,3.35,0.0,1.11,1.07,1.11,1.11,1.25,2.13,1.46,0.0,1.01,0.18,1.19,1.18,0.0,1.0,0.78,0.0,0.0,0.47,0.0,0.0,0.0,0.04,0.0,1.77,0.5,1.01,1.3,0.0,0.0,0.0,0.0,100.03000000000002
08/31/2021,11.72,3.69,7.54,6.61,4.02,1.38,5.01,5.55,2.83,5.43,3.68,2.83,2.39,2.02,2.53,2.09,1.53,1.75,2.1,1.45,0.86,3.35,0.0,1.11,1.07,1.11,1.11,1.25,2.13,1.46,0.0,1.01,0.18,1.19,1.18,0.0,1.0,0.78,0.0,0.0,0.47,0.0,0.0,0.0,0.04,0.0,1.77,0.5,1.01,1.3,0.0,0.0,0.0,0.0,100.03000000000002
09/01/2021,11.7,3.6,7.52,6.7,4.03,1.34,5.1,5.61,2.91,5.44,3.62,2.78,2.45,1.94,2.53,2.1,1.55,1.73,2.11,1.42,0.85,3.43,0.0,1.11,1.09,1.12,1.12,1.25,2.14,1.46,0.0,1.0,0.1,1.25,1.23,0.0,0.98,0.78,0.0,0.0,0.48,0.0,0.0,0.0,0.04,0.0,1.74,0.33,1.02,1.28,0.0,0.0,0.0,0.0,99.98
09/02/2021,11.91,3.58,7.46,6.68,3.51,1.33,5.84,5.69,3.05,5.36,3.59,2.76,2.45,1.98,2.53,1.98,1.67,1.71,2.07,1.37,0.86,3.09,0.0,1.12,1.07,1.11,1.12,1.24,2.11,1.46,0.0,0.99,0.01,1.21,1.53,0.0,0.97,0.77,0.0,0.0,0.48,0.0,0.0,0.0,0.04,0.0,1.79,0.23,1.02,1.28,0.0,0.0,0.0,0.0,100.02
09/03/2021,12.05,3.69,7.38,6.79,3.53,1.37,5.57,5.74,3.14,5.27,3.58,2.76,2.42,2.11,2.76,1.88,1.86,1.71,2.07,1.26,0.87,2.86,0.0,1.13,1.14,1.15,0.64,1.25,2.11,1.46,0.0,1.0,0.01,1.22,1.53,0.0,0.98,0.79,0.0,0.0,0.49,0.0,0.0,0.0,0.04,0.0,1.9,0.17,1.04,1.27,0.0,0.0,0.0,0.0,99.99
09/06/2021,11.81,3.71,7.09,6.65,3.15,1.4,5.68,5.93,3.3,5.05,3.51,2.76,2.37,2.23,3.1,1.83,1.89,1.69,2.08,1.18,0.85,3.06,0.0,1.12,1.07,1.23,0.5,1.22,2.11,1.46,0.0,0.99,0.0,1.4,1.56,0.0,0.98,0.86,0.0,0.0,0.5,0.0,0.0,0.0,0.04,0.0,2.08,0.25,1.03,1.26,0.0,0.0,0.0,0.0,99.98
09/07/2021,11.81,3.71,7.09,6.65,3.15,1.4,5.68,5.93,3.3,5.05,3.51,2.76,2.37,2.23,3.1,1.83,1.89,1.69,0.0,1.18,0.85,3.06,0.0,1.12,1.07,1.23,0.5,1.22,2.11,1.46,1.26,0.99,0.0,1.4,1.56,0.0,0.98,0.86,0.0,0.0,0.5,0.0,0.0,0.0,0.04,0.0,2.08,0.25,1.03,0.0,2.08,0.0,0.0,0.0,99.98
09/08/2021,11.81,3.71,7.09,6.65,3.15,1.4,5.68,5.93,3.3,5.05,3.51,2.76,2.37,2.23,3.1,1.83,1.89,1.69,2.08,1.18,0.85,3.06,0.0,1.12,1.07,1.23,0.5,1.22,2.11,1.46,0.0,0.99,0.0,1.4,1.56,0.0,0.98,0.86,0.0,0.0,0.5,0.0,0.0,0.0,0.04,0.0,2.08,0.25,1.03,1.26,0.0,0.0,0.0,0.0,99.98
09/09/2021,11.8,3.68,7.05,6.63,3.15,1.4,5.64,5.94,3.24,5.19,3.48,2.79,2.39,2.29,3.28,1.83,1.88,1.67,2.07,1.18,0.83,2.94,0.0,1.12,1.07,1.24,0.51,1.19,2.11,1.45,0.0,0.99,0.0,1.4,1.56,0.0,0.98,0.85,0.0,0.0,0.49,0.0,0.0,0.0,0.04,0.0,2.11,0.25,1.04,1.25,0.0,0.0,0.0,0.0,100.0
09/10/2021,12.07,3.82,7.0,6.54,3.16,1.43,5.98,6.04,3.32,5.1,3.4,2.65,2.35,2.37,3.38,1.82,1.85,1.65,2.07,1.18,0.89,2.87,0.0,1.09,1.05,1.26,0.26,1.17,2.08,1.44,0.0,0.99,0.0,1.4,1.55,0.0,0.98,0.87,0.0,0.0,0.5,0.0,0.0,0.0,0.04,0.0,1.83,0.25,1.04,1.23,0.0,0.0,0.0,0.0,99.97
09/13/2021,12.14,3.76,6.87,6.47,3.21,1.43,5.77,6.06,3.3,4.88,3.47,3.16,2.13,2.38,3.57,1.33,1.88,1.66,2.09,1.2,0.88,2.86,0.0,1.08,1.04,1.27,0.0,1.19,2.08,1.46,0.0,1.01,0.0,1.68,1.55,0.0,1.11,0.9,0.0,0.0,0.49,0.0,0.0,0.0,0.04,0.0,2.12,0.19,1.03,1.27,0.0,0.0,0.0,0.0,100.01
09/14/2021,12.14,3.76,6.87,6.47,3.21,1.43,5.77,6.06,3.3,4.88,3.47,3.16,2.13,2.38,3.57,1.33,1.88,1.66,2.09,1.2,0.88,2.86,0.0,1.08,1.04,1.27,0.0,1.19,2.08,1.46,0.0,1.01,0.0,1.68,1.55,0.0,1.11,0.9,0.0,0.0,0.49,0.0,0.0,0.0,0.04,0.0,2.12,0.19,1.03,1.27,0.0,0.0,0.0,0.0,100.01
09/15/2021,11.98,3.82,6.91,6.37,3.18,1.45,5.71,6.18,3.23,5.02,3.48,3.18,2.18,2.35,3.53,1.36,1.84,1.68,2.1,1.16,0.86,2.77,0.0,1.07,1.02,1.24,0.0,1.18,2.15,1.47,0.0,1.03,0.0,1.61,1.56,0.0,1.19,0.89,0.0,0.0,0.48,0.0,0.0,0.0,0.04,0.0,2.17,0.22,1.05,1.3,0.0,0.0,0.0,0.0,100.01
09/16/2021,12.14,3.82,6.79,6.66,3.23,1.45,5.55,6.02,3.19,5.06,3.5,3.18,2.22,2.34,3.65,1.38,1.82,1.69,2.1,1.17,0.86,2.87,0.0,1.06,1.03,1.2,0.0,1.17,2.09,1.47,0.0,1.01,0.0,1.52,1.54,0.0,1.2,0.87,0.0,0.0,0.48,0.0,0.0,0.0,0.04,0.0,2.1,0.17,1.04,1.32,0.0,0.0,0.0,0.0,100.0
09/17/2021,12.3,3.75,6.83,6.28,3.26,1.44,5.36,6.11,3.16,5.14,3.52,3.16,2.24,2.26,3.75,1.38,1.79,1.68,2.13,1.19,0.89,2.75,0.0,1.06,1.01,1.22,0.0,1.2,2.06,1.5,0.0,1.03,0.0,1.6,1.66,0.0,1.21,0.86,0.0,0.0,0.47,0.0,0.0,0.0,0.04,0.0,2.1,0.25,1.07,1.32,0.0,0.0,0.0,0.0,100.03
09/20/2021,12.42,3.69,6.83,6.35,2.87,1.42,5.18,6.2,3.22,4.93,3.46,3.14,2.24,2.42,3.85,1.03,2.02,1.68,2.04,0.98,0.84,2.63,0.0,1.07,1.04,1.24,0.0,1.18,2.01,1.5,0.0,1.04,0.0,1.71,1.62,0.0,1.2,0.89,0.0,0.0,1.03,0.0,0.0,0.0,0.04,0.0,2.24,0.3,1.16,1.31,0.0,0.0,0.0,0.0,100.02
09/22/2021,12.42,3.7,6.7,6.39,2.8,1.44,4.98,6.28,3.15,4.95,3.45,3.07,2.2,2.43,3.81,1.01,2.05,1.64,2.03,0.98,0.86,2.8,0.0,1.11,1.02,1.26,0.0,1.16,1.98,1.45,0.0,1.01,0.0,1.84,0.0,0.0,1.2,0.9,0.0,0.0,1.11,0.0,0.0,0.0,0.04,0.0,2.33,0.45,1.15,1.3,0.0,1.54,0.0,0.0,99.99000000000004
09/23/2021,12.44,3.68,6.87,6.7,2.87,1.43,5.02,6.11,3.05,4.93,3.56,3.11,2.2,2.3,3.86,1.02,1.98,1.63,2.06,1.0,0.83,2.75,0.0,1.1,1.0,1.18,0.0,1.2,2.04,1.49,0.0,1.03,0.0,1.8,0.0,0.0,1.25,0.88,0.0,0.0,1.1,0.0,0.0,0.0,0.04,0.0,2.46,0.11,1.11,1.35,0.0,1.47,0.0,0.0,100.01
09/24/2021,12.51,3.62,6.81,6.66,2.86,1.44,5.02,6.23,3.19,5.23,3.51,3.07,2.18,2.41,3.79,0.62,1.97,1.62,2.05,0.99,0.85,2.84,0.0,1.11,1.01,1.17,0.0,1.19,2.02,1.41,0.0,1.01,0.0,1.79,0.0,0.0,1.24,0.86,0.0,0.0,1.07,0.0,0.0,0.0,0.04,0.0,2.39,0.28,1.11,1.33,0.0,1.51,0.0,0.0,100.01
09/27/2021,12.44,3.66,6.69,6.82,2.84,1.44,4.83,6.47,3.28,5.15,3.51,3.12,2.19,2.32,3.68,0.54,2.12,1.63,2.09,0.99,0.82,2.77,0.0,1.12,1.02,1.19,0.0,1.2,1.96,1.4,0.0,1.01,0.0,1.88,0.0,0.0,1.21,0.88,0.0,0.0,1.05,0.0,0.0,0.0,0.04,0.0,2.38,0.25,1.17,1.32,0.0,1.55,0.0,0.0,100.03
09/29/2021,12.87,3.58,6.59,6.77,2.87,1.41,4.84,6.44,3.26,5.08,3.59,3.12,2.2,2.26,3.67,0.55,2.04,1.64,2.09,1.0,0.82,2.7,0.0,1.11,1.0,1.16,0.0,1.21,1.97,1.4,0.0,1.02,0.0,1.94,0.0,0.0,1.22,0.87,0.0,0.0,1.06,0.0,0.0,0.0,0.04,0.0,2.33,0.24,1.17,1.33,0.0,1.55,0.0,0.0,100.01
09/30/2021,12.74,3.68,6.77,6.88,2.83,1.41,4.84,6.19,3.41,5.45,3.61,3.13,2.15,2.24,3.64,0.54,2.08,1.66,2.11,0.97,0.82,2.72,0.0,1.1,1.0,1.14,0.0,1.2,2.0,1.06,0.0,1.0,0.0,1.86,0.0,0.0,1.21,0.89,0.0,0.0,1.05,0.0,0.0,0.0,0.04,0.0,2.35,0.27,1.12,1.32,0.0,1.54,0.0,0.0,100.02
10/01/2021,11.53,3.73,7.09,6.88,2.65,1.42,4.77,5.88,3.56,6.45,3.7,3.23,2.1,2.23,3.72,0.37,2.02,1.71,2.12,0.97,0.84,2.68,0.0,1.11,0.96,1.1,0.0,1.23,2.18,1.05,0.0,0.99,0.0,1.85,0.0,0.0,1.23,0.86,0.0,0.0,1.03,0.0,0.0,0.0,0.04,0.0,2.3,0.41,1.06,1.34,0.0,1.61,0.0,0.0,100.0
10/04/2021,11.77,3.66,7.07,7.19,2.51,1.45,4.69,5.97,3.52,6.64,3.71,3.13,2.11,2.26,3.74,0.02,2.01,1.68,2.13,1.0,0.87,2.74,0.0,1.11,0.97,1.13,0.0,1.25,2.3,1.07,0.0,1.0,0.0,1.81,0.0,0.0,0.0,0.87,0.0,0.0,1.03,0.0,0.0,0.0,0.04,0.0,2.14,0.25,1.03,1.37,0.0,1.71,1.07,0.0,100.02
10/08/2021,11.01,3.67,7.17,7.24,2.6,1.43,4.63,6.13,3.4,6.87,3.78,3.2,2.14,2.4,3.71,0.02,1.99,1.7,2.27,1.01,0.79,2.6,0.0,1.13,0.98,1.09,0.0,1.27,2.47,1.06,0.0,1.02,0.0,1.81,0.0,0.0,0.0,0.95,0.0,0.0,1.01,0.0,0.0,0.0,0.04,0.0,2.07,0.28,1.0,1.39,0.0,1.61,1.05,0.0,99.99000000000002
