,WSM,SHOP,EBAY,4755.T,AMZN,EXPE,W,GDDY,TCOM,NTES,BKNG,ETSY,CSGP,BABA,MELI,JD,OCDO.L,PDD,ASC.L,VIPS,QRTEA,LPSN,OSTK,TRIP,STMP,YELP,BZUN,TREE,SSTK,JMIA,UXIN,BIGC,LX,EHTH,GRPN,ANGI,LE,PETS,042000.KQ,TPW.AX,CASH,OSTKO,GOED,n/a,FRGXX,OSTK 1.0204 PERP A-1,SUM
07/23/2021,5.39,5.13,4.98,4.96,4.58,4.44,4.27,4.16,3.55,4.23,3.89,3.81,4.0,3.74,3.41,3.34,2.79,2.42,1.87,2.46,2.37,2.06,1.86,1.77,3.03,1.4,1.29,1.11,1.2,0.97,0.9,0.87,0.69,0.75,0.5,0.44,0.42,0.3,0.28,0.32,0.07,0.01,0.0,0.0,0.0,0.0,100.03
07/26/2021,5.15,5.28,5.07,4.93,4.6,4.48,4.07,4.15,3.45,4.14,3.94,3.88,3.98,3.74,3.46,3.38,2.96,2.44,1.94,2.42,2.35,2.02,1.84,1.76,3.0,1.38,1.3,1.15,1.22,0.94,0.89,0.87,0.67,0.75,0.48,0.43,0.48,0.29,0.27,0.32,0.09,0.01,0.0,0.0,0.0,0.0,99.97
07/27/2021,5.15,5.28,5.07,4.93,4.6,4.48,4.07,4.15,3.45,4.14,3.94,3.88,3.98,3.74,3.46,3.38,2.96,2.44,1.94,2.42,2.35,2.02,1.84,1.76,3.0,1.38,1.3,1.15,1.22,0.94,0.89,0.87,0.67,0.75,0.48,0.43,0.48,0.29,0.27,0.32,0.09,0.01,0.0,0.0,0.0,0.0,99.97
07/29/2021,5.35,5.38,5.29,5.09,4.79,4.67,4.11,4.26,3.14,3.37,4.11,4.06,4.09,3.44,3.54,3.02,3.05,2.12,1.98,2.27,2.45,2.11,1.88,1.94,3.07,1.49,1.0,1.21,1.29,0.95,0.87,0.89,0.59,0.73,0.49,0.45,0.46,0.29,0.3,0.33,0.08,0.01,0.0,0.0,0.0,0.0,100.01
07/30/2021,5.38,5.39,5.32,4.83,4.79,4.79,4.05,4.26,3.28,3.4,4.22,4.01,4.16,3.4,3.59,3.02,3.12,1.94,1.99,2.21,2.47,2.08,1.81,1.94,3.14,1.48,1.03,1.22,1.24,0.93,0.83,0.92,0.57,0.73,0.48,0.45,0.45,0.31,0.3,0.36,0.08,0.01,0.0,0.0,0.0,0.0,99.98
08/02/2021,5.37,5.17,5.29,4.8,4.64,4.69,3.78,4.18,3.43,3.8,4.07,3.91,4.0,3.53,3.64,3.28,2.9,2.19,1.86,2.3,2.43,2.09,1.65,1.92,3.07,1.47,1.07,1.27,1.29,0.93,1.0,0.91,0.58,0.74,0.48,0.44,0.44,0.32,0.3,0.36,0.41,0.01,0.0,0.0,0.0,0.0,100.01
08/03/2021,5.37,5.17,5.29,4.8,4.64,4.69,3.78,4.18,3.43,3.8,4.07,3.91,4.0,3.53,3.64,3.28,2.9,2.19,1.86,2.3,2.43,2.09,1.65,1.92,3.07,1.47,1.07,1.27,1.29,0.93,1.0,0.91,0.58,0.74,0.48,0.44,0.44,0.32,0.3,0.36,0.41,0.01,0.0,0.0,0.0,0.0,100.01
08/04/2021,3.97,4.32,4.2,3.79,3.79,4.21,3.61,4.15,3.4,3.8,4.2,4.21,4.34,3.87,4.37,3.94,4.22,3.52,2.06,3.59,2.31,2.3,1.67,2.04,3.23,0.0,0.84,1.25,1.41,1.13,0.62,1.4,0.58,0.72,0.49,0.47,0.31,0.36,0.33,0.37,0.33,0.01,0.29,0.0,0.0,0.0,100.02
08/05/2021,4.01,4.39,4.19,3.81,3.76,4.12,3.59,4.17,3.37,3.86,4.14,4.29,4.3,3.93,4.35,3.93,4.21,3.49,2.09,3.62,2.31,2.28,1.6,2.04,3.19,0.0,0.86,1.23,1.38,1.12,0.66,1.45,0.58,0.71,0.49,0.46,0.33,0.33,0.34,0.38,0.33,0.01,0.29,0.0,0.0,0.0,99.99
08/06/2021,4.17,4.39,4.22,3.83,3.86,4.06,3.75,4.18,3.23,3.48,4.14,4.39,4.29,3.94,4.41,3.93,4.21,3.44,2.11,3.78,2.36,2.33,1.63,1.99,3.24,0.0,0.85,1.16,1.37,1.1,0.63,1.46,0.57,0.69,0.5,0.45,0.33,0.34,0.35,0.4,0.14,0.01,0.28,0.0,0.0,0.0,99.99
08/10/2021,4.11,4.42,4.13,4.26,3.83,4.2,4.11,3.61,3.22,3.25,4.24,4.17,4.28,3.94,4.95,3.92,4.06,3.4,2.15,3.77,2.27,2.22,1.64,2.02,3.22,0.0,0.82,1.21,1.36,1.08,0.59,1.53,0.56,0.67,0.48,0.47,0.31,0.33,0.42,0.39,0.0,0.01,0.29,0.12,0.0,0.0,100.03000000000002
08/11/2021,4.1,4.45,4.1,4.24,3.87,3.95,4.01,3.6,3.28,3.29,4.27,4.16,4.27,3.96,4.97,3.93,4.16,3.42,2.19,3.8,2.23,2.26,1.65,2.03,3.28,0.0,0.82,1.2,1.35,1.11,0.59,1.38,0.56,0.71,0.42,0.46,0.33,0.33,0.47,0.39,0.0,0.01,0.29,0.12,0.0,0.0,100.01
08/13/2021,4.15,4.39,4.16,4.22,3.79,3.88,4.27,3.62,3.22,3.4,4.25,4.33,4.16,3.89,5.24,4.0,4.06,3.53,2.15,3.77,2.2,2.22,1.65,1.92,3.23,0.0,0.81,1.16,1.38,1.06,0.6,1.34,0.56,0.67,0.37,0.44,0.31,0.34,0.44,0.39,0.0,0.01,0.3,0.12,0.0,0.0,100.0
08/16/2021,4.3,4.34,4.28,3.97,3.79,3.95,4.77,3.54,3.16,3.44,4.26,4.46,4.13,3.83,5.17,3.95,4.1,3.39,2.15,3.63,2.17,2.28,1.76,1.91,3.25,0.0,0.77,1.13,1.35,1.06,0.58,1.35,0.53,0.61,0.35,0.42,0.33,0.33,0.41,0.39,0.0,0.01,0.28,0.11,0.0,0.0,99.99
08/18/2021,4.21,4.35,4.62,3.96,3.79,3.92,4.72,3.57,3.29,3.37,4.29,4.46,4.17,3.78,5.21,3.93,4.08,3.29,2.16,3.56,2.16,2.28,1.75,1.89,3.26,0.0,0.76,1.12,1.39,1.0,0.54,1.37,0.52,0.6,0.34,0.42,0.35,0.33,0.4,0.39,0.0,0.01,0.26,0.11,0.0,0.0,99.98
08/19/2021,4.43,4.41,4.79,3.95,3.88,3.88,4.62,3.59,3.35,3.27,4.24,4.51,4.19,3.74,5.15,3.82,4.22,3.26,2.17,3.45,2.14,2.28,1.71,1.85,3.31,0.0,0.73,1.1,1.4,0.97,0.52,1.3,0.52,0.63,0.34,0.42,0.36,0.33,0.41,0.39,0.0,0.01,0.24,0.11,0.0,0.0,99.99
08/20/2021,4.4,4.45,4.7,3.95,3.87,3.89,4.67,3.64,3.29,3.26,4.26,4.67,4.25,3.61,5.15,3.74,4.34,3.2,2.18,3.32,2.17,2.27,1.73,1.86,3.36,0.0,0.75,1.11,1.38,0.97,0.52,1.27,0.56,0.62,0.32,0.42,0.31,0.33,0.42,0.39,0.0,0.01,0.25,0.11,0.0,0.0,99.97
08/23/2021,4.43,4.5,4.81,3.64,3.88,3.85,4.54,3.72,3.71,3.14,4.28,4.72,4.3,3.41,5.24,3.7,4.54,3.08,2.27,3.04,2.16,2.32,1.72,1.87,3.46,0.0,0.7,1.11,1.4,0.94,0.55,1.24,0.53,0.59,0.33,0.43,0.31,0.33,0.41,0.41,0.0,0.01,0.26,0.12,0.0,0.0,100.0
08/24/2021,4.43,4.5,4.81,3.64,3.88,3.85,4.54,3.72,3.71,3.14,4.28,4.72,4.3,3.41,5.24,3.7,4.54,3.08,2.27,3.04,2.16,2.32,1.72,1.87,3.46,0.0,0.7,1.11,1.4,0.94,0.55,1.24,0.53,0.59,0.33,0.43,0.31,0.33,0.41,0.41,0.0,0.01,0.26,0.12,0.0,0.0,100.0
08/25/2021,4.53,4.42,4.8,3.51,3.86,3.81,4.61,3.7,3.64,3.18,4.24,4.85,4.27,3.32,5.27,3.75,4.55,3.15,2.28,3.03,2.16,2.35,1.76,1.85,3.42,0.0,0.67,1.1,1.41,0.97,0.55,1.25,0.54,0.58,0.32,0.44,0.31,0.32,0.43,0.42,0.0,0.01,0.25,0.12,0.0,0.0,100.0
08/26/2021,4.41,4.43,4.7,3.43,3.87,3.88,4.47,3.68,3.73,3.29,4.29,4.69,4.25,3.32,5.24,3.8,4.58,3.25,2.22,3.15,2.18,2.33,1.76,1.88,3.36,0.0,0.73,1.11,1.44,0.97,0.57,1.25,0.56,0.57,0.33,0.44,0.31,0.33,0.41,0.43,0.0,0.01,0.25,0.11,0.0,0.0,100.01
08/27/2021,4.42,4.41,4.49,3.4,3.76,3.82,4.27,3.61,3.76,3.44,4.3,4.62,4.12,3.4,5.16,4.18,4.48,3.81,2.14,3.34,2.14,2.25,1.73,1.87,3.22,0.0,0.76,1.11,1.46,0.98,0.59,1.25,0.59,0.56,0.33,0.43,0.31,0.32,0.38,0.4,0.0,0.01,0.26,0.11,0.0,0.0,99.99
08/30/2021,4.84,4.32,4.64,3.54,3.75,3.73,4.32,3.61,3.73,3.37,4.36,4.85,4.02,3.26,5.08,4.26,4.61,3.67,2.11,3.18,2.09,2.26,1.7,1.89,3.21,0.0,0.79,1.04,1.47,1.01,0.57,1.23,0.48,0.51,0.33,0.42,0.28,0.32,0.39,0.41,0.0,0.01,0.25,0.1,0.0,0.0,100.01
08/31/2021,4.84,4.32,4.64,3.54,3.75,3.73,4.32,3.61,3.73,3.37,4.36,4.85,4.02,3.26,5.08,4.26,4.61,3.67,2.11,3.18,2.09,2.26,1.7,1.89,3.21,0.0,0.79,1.04,1.47,1.01,0.57,1.23,0.48,0.51,0.33,0.42,0.28,0.32,0.39,0.41,0.0,0.01,0.25,0.1,0.0,0.0,100.01
09/01/2021,4.76,4.36,4.67,3.49,3.78,3.79,4.32,3.64,3.68,3.42,4.41,4.79,4.03,3.14,5.15,4.21,4.55,3.61,2.07,3.09,2.15,2.3,1.74,1.92,3.2,0.0,0.77,1.07,1.51,1.01,0.6,1.27,0.48,0.54,0.33,0.42,0.29,0.32,0.37,0.4,0.0,0.01,0.25,0.1,0.0,0.0,100.01
09/02/2021,4.8,4.4,4.72,3.47,3.85,3.72,4.32,3.6,3.7,3.3,4.35,4.94,4.06,3.19,5.17,4.22,4.54,3.62,2.07,3.06,2.13,2.29,1.72,1.83,3.2,0.0,0.74,1.05,1.5,1.03,0.56,1.3,0.49,0.52,0.32,0.43,0.29,0.32,0.37,0.44,0.0,0.01,0.27,0.11,0.0,0.0,100.02
09/03/2021,4.78,4.29,4.64,3.55,3.87,3.69,4.11,3.56,3.9,3.55,4.34,4.86,4.06,3.25,5.09,4.28,4.44,3.77,2.03,3.13,2.1,2.26,1.69,1.84,3.18,0.0,0.8,1.04,1.47,1.01,0.59,1.25,0.5,0.52,0.33,0.42,0.27,0.31,0.38,0.45,0.0,0.01,0.29,0.11,0.0,0.0,100.01
09/06/2021,4.63,4.31,4.59,3.49,3.83,3.65,3.99,3.62,3.97,3.43,4.32,4.77,4.15,3.32,5.23,4.34,4.61,3.85,1.93,3.3,2.06,2.32,1.64,1.8,3.16,0.0,0.8,1.05,1.45,1.04,0.56,1.25,0.51,0.53,0.31,0.41,0.25,0.31,0.38,0.41,0.0,0.01,0.29,0.1,0.0,0.0,99.97
09/08/2021,4.58,4.36,4.62,3.45,3.87,3.64,4.0,3.63,4.02,3.38,4.35,4.95,4.2,3.3,5.3,4.34,4.45,3.85,1.84,3.26,2.04,2.37,1.62,1.78,3.17,0.0,0.81,1.04,1.46,1.04,0.54,1.25,0.51,0.54,0.3,0.41,0.23,0.31,0.37,0.43,0.0,0.01,0.3,0.1,0.0,0.0,100.02
09/09/2021,4.58,4.36,4.62,3.45,3.87,3.64,4.0,3.63,4.02,3.38,4.35,4.95,4.2,3.3,5.3,4.34,4.45,3.85,1.84,3.26,2.04,2.37,1.62,1.78,3.17,0.0,0.81,1.04,1.46,1.04,0.54,1.25,0.51,0.54,0.3,0.41,0.23,0.31,0.37,0.43,0.0,0.01,0.3,0.1,0.0,0.0,100.02
09/10/2021,4.41,4.3,4.49,3.38,3.89,3.75,3.93,3.63,4.12,3.47,4.4,4.84,4.18,3.39,5.3,4.51,4.32,4.05,1.81,3.28,1.99,2.37,1.64,1.81,3.16,0.0,0.79,1.02,1.43,1.04,0.55,1.31,0.51,0.51,0.31,0.42,0.22,0.31,0.36,0.39,0.0,0.01,0.3,0.1,0.0,0.0,100.0
09/13/2021,4.69,4.28,4.46,3.51,3.93,3.8,3.94,3.7,4.12,3.28,4.43,4.93,4.35,3.29,5.2,4.43,4.3,3.98,1.68,3.23,2.02,2.39,1.65,1.85,3.21,0.0,0.76,1.02,1.44,1.0,0.56,1.13,0.5,0.52,0.3,0.41,0.21,0.32,0.36,0.4,0.0,0.01,0.31,0.1,0.0,0.0,100.0
09/14/2021,4.69,4.28,4.46,3.51,3.93,3.8,3.94,3.7,4.12,3.28,4.43,4.93,4.35,3.29,5.2,4.43,4.3,3.98,1.68,3.23,2.02,2.39,1.65,1.85,3.21,0.0,0.76,1.02,1.44,1.0,0.56,1.13,0.5,0.52,0.3,0.41,0.21,0.32,0.36,0.4,0.0,0.01,0.31,0.1,0.0,0.0,100.0
09/15/2021,4.68,4.25,4.47,3.56,3.94,3.79,3.92,3.72,4.03,3.27,4.44,4.97,4.4,3.33,5.13,4.48,4.3,3.99,1.72,3.16,2.01,2.39,1.64,1.85,3.23,0.0,0.75,0.99,1.44,0.99,0.55,1.18,0.49,0.52,0.3,0.42,0.21,0.32,0.35,0.4,0.0,0.01,0.29,0.11,0.0,0.0,99.99
09/16/2021,4.66,4.25,4.49,3.56,3.93,3.89,4.02,3.73,3.84,3.28,4.49,4.89,4.37,3.29,5.17,4.47,4.28,4.02,1.67,3.06,2.03,2.39,1.69,1.95,3.24,0.0,0.74,1.0,1.43,1.01,0.54,1.2,0.48,0.53,0.3,0.43,0.2,0.31,0.34,0.41,0.0,0.01,0.29,0.11,0.0,0.0,99.99
09/17/2021,4.72,4.22,4.46,3.64,3.97,3.98,4.04,3.72,3.76,3.18,4.55,4.98,4.42,3.22,5.24,4.39,4.27,3.97,1.69,2.96,2.02,2.37,1.68,1.92,3.28,0.0,0.71,0.99,1.47,1.0,0.51,1.21,0.47,0.53,0.29,0.48,0.2,0.31,0.34,0.41,0.0,0.01,0.28,0.11,0.0,0.0,99.97
09/20/2021,4.95,4.27,4.64,3.59,3.99,3.94,4.18,3.65,3.76,3.16,4.55,5.18,4.38,3.12,5.27,4.32,4.02,3.87,1.64,2.79,2.03,2.42,1.69,1.93,3.26,0.0,0.69,1.0,1.54,1.01,0.49,1.25,0.46,0.51,0.29,0.51,0.2,0.31,0.33,0.41,0.0,0.01,0.28,0.1,0.0,0.0,99.99
09/21/2021,4.95,4.27,4.64,3.59,3.99,3.94,4.18,3.65,3.76,3.16,4.55,5.18,4.38,3.12,5.27,4.32,4.02,3.87,1.64,2.79,2.03,2.42,1.69,1.93,3.26,0.0,0.69,1.0,1.54,1.01,0.49,1.25,0.46,0.51,0.29,0.51,0.2,0.31,0.33,0.41,0.0,0.01,0.28,0.1,0.0,0.0,99.99
09/22/2021,4.86,4.28,4.59,3.54,3.95,3.99,4.3,3.6,3.78,3.09,4.5,5.23,4.38,3.19,5.25,4.34,3.84,3.89,1.7,2.79,2.02,2.46,1.77,1.92,3.25,0.0,0.69,1.0,1.56,1.03,0.5,1.26,0.46,0.52,0.3,0.5,0.2,0.31,0.33,0.42,0.0,0.01,0.3,0.1,0.0,0.0,100.0
09/23/2021,4.93,4.25,4.63,3.66,3.93,4.13,4.33,3.62,3.77,3.07,4.66,5.15,4.47,3.1,5.23,4.25,3.86,3.74,1.71,2.73,2.05,2.46,1.77,1.83,3.35,0.0,0.66,1.01,1.58,0.98,0.47,1.21,0.44,0.52,0.31,0.49,0.2,0.32,0.34,0.41,0.0,0.01,0.3,0.1,0.0,0.0,100.03
09/24/2021,4.97,4.25,4.58,3.62,3.91,4.11,4.3,3.6,3.81,3.06,4.62,5.22,4.44,3.07,5.27,4.21,3.96,3.77,1.73,2.74,2.0,2.5,1.78,1.79,3.34,0.0,0.66,1.0,1.57,1.0,0.5,1.2,0.43,0.53,0.3,0.49,0.2,0.31,0.34,0.4,0.0,0.01,0.3,0.1,0.0,0.0,99.99
09/27/2021,4.94,4.25,4.55,3.49,3.89,4.37,4.12,3.56,3.84,3.04,4.79,5.15,4.34,3.01,5.27,4.25,3.95,3.8,1.79,2.61,2.05,2.47,1.88,1.9,3.25,0.0,0.66,1.01,1.55,1.03,0.5,1.18,0.45,0.5,0.32,0.56,0.21,0.31,0.32,0.41,0.0,0.01,0.34,0.1,0.0,0.0,100.02
09/28/2021,4.94,4.25,4.55,3.49,3.89,4.37,4.12,3.56,3.84,3.04,4.79,5.15,4.34,3.01,5.27,4.25,3.95,3.8,1.79,2.61,2.05,2.47,1.88,1.9,3.25,0.0,0.66,1.01,1.55,1.03,0.5,1.18,0.45,0.5,0.32,0.56,0.21,0.31,0.32,0.41,0.0,0.01,0.34,0.1,0.0,0.0,100.02
09/29/2021,5.04,4.18,4.54,3.55,3.93,4.53,4.14,3.55,3.83,3.05,4.85,5.16,4.36,2.9,5.25,4.15,3.98,3.67,1.75,2.61,2.05,2.3,1.96,1.98,3.28,0.0,0.61,1.0,1.55,1.03,0.49,1.17,0.44,0.54,0.33,0.59,0.21,0.31,0.32,0.41,0.0,0.01,0.33,0.09,0.0,0.0,100.02000000000002
09/30/2021,5.1,4.16,4.56,3.52,3.88,4.44,4.28,3.54,3.94,3.13,4.8,5.2,4.3,2.99,4.94,4.27,3.93,3.72,1.74,2.59,2.07,2.24,2.01,1.95,3.26,0.0,0.61,0.98,1.55,1.06,0.48,1.19,0.44,0.57,0.34,0.53,0.2,0.32,0.32,0.4,0.0,0.01,0.34,0.09,0.0,0.0,99.99
10/01/2021,5.33,5.23,5.05,4.81,4.41,4.74,3.58,4.28,3.3,3.96,4.12,3.71,4.18,3.59,3.58,3.32,2.96,2.24,1.89,2.35,2.47,2.16,1.62,1.95,3.16,1.46,1.06,1.23,1.34,0.94,1.01,0.88,0.57,0.7,0.49,0.44,0.45,0.33,0.31,0.35,0.0,0.0,0.0,0.0,0.39,0.01,99.95
10/04/2021,4.88,4.11,4.53,3.53,3.93,4.51,4.03,3.64,4.24,3.35,4.83,5.03,4.43,3.1,4.93,4.24,3.87,3.68,1.65,2.54,2.09,2.24,1.96,1.91,3.43,0.0,0.63,0.94,1.55,1.01,0.49,1.15,0.46,0.59,0.33,0.53,0.2,0.32,0.31,0.41,0.0,0.01,0.32,0.09,0.0,0.0,100.02
10/05/2021,4.88,4.11,4.53,3.53,3.93,4.51,4.03,3.64,4.24,3.35,4.83,5.03,4.43,3.1,4.93,4.24,3.87,3.68,1.65,2.54,2.09,2.24,1.96,1.91,3.43,0.0,0.63,0.94,1.55,1.01,0.49,1.15,0.46,0.59,0.33,0.53,0.2,0.32,0.31,0.41,0.0,0.01,0.32,0.09,0.0,0.0,100.02
10/06/2021,4.8,4.07,4.53,3.66,3.92,4.65,3.98,3.73,4.26,3.27,4.98,4.93,4.51,3.01,4.88,4.09,3.83,3.57,1.63,2.48,2.14,2.3,1.98,2.08,3.41,0.0,0.61,0.93,1.59,0.99,0.49,1.15,0.45,0.6,0.34,0.54,0.2,0.32,0.3,0.39,0.0,0.01,0.32,0.09,0.0,0.0,100.01
10/07/2021,4.93,4.19,4.69,4.0,4.04,4.94,3.98,3.86,4.42,3.39,5.26,5.06,4.65,3.07,4.92,4.29,4.09,3.64,1.73,2.51,2.23,2.36,1.95,2.14,0.0,0.0,0.63,0.95,1.64,1.0,0.49,1.15,0.45,0.62,0.34,0.58,0.21,0.33,0.31,0.4,0.0,0.01,0.35,0.19,0.0,0.0,99.99
10/08/2021,4.88,4.17,4.76,4.01,4.04,4.86,3.98,3.8,4.54,3.41,5.17,5.15,4.66,3.13,4.86,4.39,4.1,3.71,1.68,2.49,2.21,2.37,1.96,2.11,0.0,0.0,0.64,0.94,1.62,1.01,0.49,1.16,0.46,0.62,0.33,0.55,0.21,0.32,0.3,0.38,0.0,0.01,0.35,0.18,0.0,0.0,100.01
10/11/2021,4.82,4.29,4.89,3.78,4.02,4.8,3.89,3.71,4.44,3.82,5.09,5.31,4.56,3.31,4.63,4.54,3.9,3.91,1.58,2.55,2.17,2.31,1.95,2.06,0.0,0.0,0.69,0.95,1.64,1.03,0.48,1.2,0.46,0.64,0.33,0.55,0.2,0.31,0.3,0.38,0.0,0.01,0.33,0.18,0.0,0.0,100.01
10/12/2021,4.82,4.29,4.89,3.78,4.02,4.8,3.89,3.71,4.44,3.82,5.09,5.31,4.56,3.31,4.63,4.54,3.9,3.91,1.58,2.55,2.17,2.31,1.95,2.06,0.0,0.0,0.69,0.95,1.64,1.03,0.48,1.2,0.46,0.64,0.33,0.55,0.2,0.31,0.3,0.38,0.0,0.01,0.33,0.18,0.0,0.0,100.01
10/13/2021,4.78,4.23,4.96,3.64,4.01,4.75,3.88,3.71,4.47,3.84,5.11,5.21,4.55,3.43,4.51,4.68,3.88,3.97,1.58,2.62,2.14,2.28,2.0,2.06,0.0,0.0,0.71,0.94,1.65,1.03,0.49,1.17,0.48,0.66,0.32,0.54,0.19,0.31,0.29,0.4,0.0,0.01,0.34,0.17,0.0,0.0,99.99
10/14/2021,4.87,4.23,5.0,3.7,4.02,4.78,3.81,3.68,4.52,3.88,5.17,5.05,4.6,3.54,4.42,4.72,3.8,3.97,1.39,2.63,2.12,2.27,1.97,2.09,0.0,0.0,0.71,0.93,1.69,1.05,0.48,1.17,0.47,0.68,0.32,0.54,0.19,0.31,0.29,0.4,0.0,0.01,0.35,0.17,0.0,0.0,99.99
10/15/2021,4.88,4.21,4.98,3.65,4.0,4.78,3.79,3.66,4.5,3.82,5.14,5.29,4.61,3.5,4.4,4.72,3.98,3.9,1.36,2.63,2.13,2.25,1.98,2.11,0.0,0.0,0.7,0.95,1.65,1.07,0.48,1.17,0.46,0.66,0.32,0.53,0.19,0.31,0.29,0.4,0.0,0.01,0.37,0.17,0.0,0.0,100.0
10/18/2021,4.93,4.26,4.87,3.64,3.97,4.65,3.83,3.67,4.45,3.75,5.09,5.23,4.77,3.49,4.48,4.76,4.1,3.82,1.39,2.58,2.08,2.26,1.92,2.11,0.0,0.0,0.68,1.03,1.65,1.05,0.45,1.26,0.44,0.67,0.33,0.58,0.19,0.32,0.29,0.42,0.0,0.01,0.36,0.16,0.0,0.0,99.99
10/19/2021,4.93,4.26,4.87,3.64,3.97,4.65,3.83,3.67,4.45,3.75,5.09,5.23,4.77,3.49,4.48,4.76,4.1,3.82,1.39,2.58,2.08,2.26,1.92,2.11,0.0,0.0,0.68,1.03,1.65,1.05,0.45,1.26,0.44,0.67,0.33,0.58,0.19,0.32,0.29,0.42,0.0,0.01,0.36,0.16,0.0,0.0,99.99
10/21/2021,5.03,4.36,4.75,3.64,4.07,4.6,3.76,3.55,4.33,3.78,5.01,5.43,4.81,3.43,4.6,4.76,4.19,3.88,1.42,2.57,2.06,2.19,1.98,2.07,0.0,0.0,0.67,1.01,1.7,1.06,0.43,1.24,0.43,0.65,0.32,0.53,0.19,0.31,0.29,0.41,0.0,0.01,0.36,0.15,0.0,0.0,100.03
