,PFF,XLG,LQD,RDVY,TIP,SCHV,VCLT,ICVT,BOND,CWB,BIV,VCIT,AGG,BSV,VCSH,BLV,IUSB,SCHR,SUSA,AOR,VGIT,MGV,SUM
12/15/2021,0.0,10.59,0.0,10.22,0.0,10.21,6.22,5.34,6.19,0.0,6.09,6.12,6.15,0.0,6.11,6.02,10.43,10.31,0.0,0.0,0.0,0.0,100.0
12/16/2021,0.0,10.59,0.0,10.22,0.0,10.21,6.22,5.34,6.19,0.0,6.09,6.12,6.15,0.0,6.11,6.02,10.43,10.31,0.0,0.0,0.0,0.0,100.0
12/17/2021,0.0,10.59,0.0,10.22,0.0,10.21,6.22,5.34,6.19,0.0,6.09,6.12,6.15,0.0,6.11,6.02,10.43,10.31,0.0,0.0,0.0,0.0,100.0
12/20/2021,0.0,10.59,0.0,10.22,0.0,10.21,6.22,5.34,6.19,0.0,6.09,6.12,6.15,0.0,6.11,6.02,10.43,10.31,0.0,0.0,0.0,0.0,100.0
12/21/2021,5.4,0.0,0.0,9.2,0.0,9.21,5.51,4.66,5.52,0.0,5.45,5.48,5.47,5.42,5.46,5.33,9.29,9.19,9.42,0.0,0.0,0.0,100.01
12/22/2021,5.4,0.0,0.0,9.2,0.0,9.21,5.51,4.66,5.52,0.0,5.45,5.48,5.47,5.42,5.46,5.33,9.29,9.19,9.42,0.0,0.0,0.0,100.01
12/23/2021,5.4,0.0,0.0,9.2,0.0,9.21,5.51,4.66,5.52,0.0,5.45,5.48,5.47,5.42,5.46,5.33,9.29,9.19,9.42,0.0,0.0,0.0,100.01
12/24/2021,5.41,0.0,0.0,9.22,0.0,9.23,5.49,4.73,5.52,0.0,5.43,5.47,5.46,5.41,5.46,5.29,9.27,9.17,9.47,0.0,0.0,0.0,100.03
12/27/2021,5.72,0.0,0.0,9.82,0.0,9.84,5.76,5.02,5.8,0.0,5.64,5.71,5.75,5.68,5.73,0.0,9.75,9.64,10.14,0.0,0.0,0.0,100.0
12/28/2021,5.72,0.0,0.0,9.82,0.0,9.84,5.76,5.02,5.8,0.0,5.64,5.71,5.75,5.68,5.73,0.0,9.75,9.64,10.14,0.0,0.0,0.0,100.0
12/29/2021,5.72,0.0,0.0,9.82,0.0,9.84,5.76,5.02,5.8,0.0,5.64,5.71,5.75,5.68,5.73,0.0,9.75,9.64,10.14,0.0,0.0,0.0,100.0
12/30/2021,5.12,0.0,0.0,8.92,0.0,8.9,5.18,4.5,5.19,5.03,5.05,5.11,5.14,5.08,5.13,5.07,8.73,8.63,9.21,0.0,0.0,0.0,99.99
12/31/2021,5.13,0.0,0.0,8.93,0.0,8.93,5.17,4.47,5.2,5.0,5.06,5.12,5.15,5.09,5.13,5.06,8.74,8.63,9.21,0.0,0.0,0.0,100.02
01/03/2022,5.16,0.0,0.0,8.92,0.0,8.94,5.15,4.49,5.17,5.01,5.05,5.11,5.14,5.09,5.13,5.04,8.73,8.63,9.21,0.0,0.0,0.0,99.97
01/03/2022,5.16,0.0,0.0,8.92,0.0,8.94,5.15,4.49,5.17,5.01,5.05,5.11,5.14,5.09,5.13,5.04,8.73,8.63,9.21,0.0,0.0,0.0,99.97
01/03/2022,5.16,0.0,0.0,8.92,0.0,8.94,5.15,4.49,5.17,5.01,5.05,5.11,5.14,5.09,5.13,5.04,8.73,8.63,9.21,0.0,0.0,0.0,99.97
01/04/2022,5.16,0.0,0.0,8.92,0.0,8.94,5.15,4.49,5.17,5.01,5.05,5.11,5.14,5.09,5.13,5.04,8.73,8.63,9.21,0.0,0.0,0.0,99.97
01/05/2022,5.16,0.0,0.0,8.92,0.0,8.94,5.15,4.49,5.17,5.01,5.05,5.11,5.14,5.09,5.13,5.04,8.73,8.63,9.21,0.0,0.0,0.0,99.97
01/06/2022,5.16,0.0,0.0,8.92,0.0,8.94,5.15,4.49,5.17,5.01,5.05,5.11,5.14,5.09,5.13,5.04,8.73,8.63,9.21,0.0,0.0,0.0,99.97
01/07/2022,5.13,0.0,0.0,9.13,0.0,9.1,5.08,4.44,5.17,4.96,5.03,5.1,5.13,5.1,5.15,4.95,8.71,8.61,9.21,0.0,0.0,0.0,100.0
01/10/2022,5.41,0.0,0.0,9.58,9.05,9.59,5.36,4.64,5.48,5.18,5.33,0.0,5.44,5.42,5.46,5.24,9.24,0.0,9.6,0.0,0.0,0.0,100.02
01/11/2022,5.74,0.0,0.0,10.13,9.56,10.23,5.66,4.88,5.8,5.45,5.62,0.0,5.75,0.0,5.79,5.53,9.76,0.0,10.11,0.0,0.0,0.0,100.01
01/12/2022,5.74,0.0,0.0,10.13,9.56,10.23,5.66,4.88,5.8,5.45,5.62,0.0,5.75,0.0,5.79,5.53,9.76,0.0,10.11,0.0,0.0,0.0,100.01
01/13/2022,5.74,0.0,0.0,10.13,9.56,10.23,5.66,4.88,5.8,5.45,5.62,0.0,5.75,0.0,5.79,5.53,9.76,0.0,10.11,0.0,0.0,0.0,100.01
01/14/2022,5.31,0.0,0.0,9.44,8.86,9.43,5.23,4.55,5.33,5.08,5.18,0.0,5.29,3.74,5.32,5.11,2.45,0.0,9.35,6.49,3.82,0.0,99.98
01/17/2022,5.63,0.0,0.0,9.99,9.33,9.97,5.55,4.75,5.65,5.3,5.5,0.0,5.62,3.97,0.0,5.44,2.6,0.0,9.79,6.86,4.06,0.0,100.01
01/18/2022,5.63,0.0,0.0,9.99,9.33,9.97,5.55,4.75,5.65,5.3,5.5,0.0,5.62,3.97,0.0,5.44,2.6,0.0,9.79,6.86,4.06,0.0,100.01
01/19/2022,5.63,0.0,0.0,0.0,9.33,10.0,5.52,4.76,5.67,5.31,5.5,0.0,5.61,3.98,0.0,5.39,2.6,0.0,9.83,6.88,4.06,9.94,100.01
01/20/2022,5.63,0.0,0.0,0.0,9.33,10.0,5.52,4.76,5.67,5.31,5.5,0.0,5.61,3.98,0.0,5.39,2.6,0.0,9.83,6.88,4.06,9.94,100.01
01/21/2022,5.64,0.0,0.0,0.0,9.39,9.96,5.5,4.74,5.69,5.28,5.52,0.0,5.64,4.01,0.0,5.38,2.61,0.0,9.75,6.88,4.08,9.91,99.98
01/24/2022,6.08,0.0,0.0,0.0,10.14,10.53,5.96,5.07,6.17,5.67,5.98,0.0,6.11,4.34,0.0,5.85,2.83,0.0,10.3,0.0,4.43,10.55,100.01
01/25/2022,6.08,0.0,0.0,0.0,10.24,10.44,6.04,5.01,6.2,5.58,6.03,0.0,6.16,4.36,0.0,5.94,2.85,0.0,10.17,0.0,4.46,10.46,100.02
01/26/2022,6.08,0.0,0.0,0.0,10.24,10.44,6.04,5.01,6.2,5.58,6.03,0.0,6.16,4.36,0.0,5.94,2.85,0.0,10.17,0.0,4.46,10.46,100.02
01/27/2022,6.07,0.0,0.0,0.0,10.26,10.47,5.99,5.01,6.2,5.58,6.02,0.0,6.15,4.36,0.0,5.89,2.85,0.0,10.22,0.0,4.46,10.45,99.98
01/28/2022,6.07,0.0,0.0,0.0,10.26,10.47,5.99,5.01,6.2,5.58,6.02,0.0,6.15,4.36,0.0,5.89,2.85,0.0,10.22,0.0,4.46,10.45,99.98
01/31/2022,7.22,0.0,0.0,0.0,12.31,0.0,0.0,5.97,7.46,6.63,7.23,0.0,7.39,5.26,0.0,7.04,3.42,0.0,12.12,0.0,5.36,12.59,100.0
02/01/2022,7.22,0.0,0.0,0.0,12.31,0.0,0.0,5.97,7.46,6.63,7.23,0.0,7.39,5.26,0.0,7.04,3.42,0.0,12.12,0.0,5.36,12.59,100.0
02/02/2022,7.22,0.0,0.0,0.0,12.31,0.0,0.0,5.97,7.46,6.63,7.23,0.0,7.39,5.26,0.0,7.04,3.42,0.0,12.12,0.0,5.36,12.59,100.0
02/03/2022,15.44,0.0,0.0,0.0,26.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.35,0.0,0.0,7.41,0.0,0.0,0.0,11.6,27.45,100.01
02/04/2022,0.0,0.0,0.0,0.0,31.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.38,0.0,0.0,8.73,0.0,0.0,0.0,13.67,32.59,100.01
02/07/2022,0.0,22.52,0.0,0.0,24.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,0.0,6.74,0.0,0.0,0.0,10.56,25.6,99.99
02/08/2022,0.0,22.52,0.0,0.0,24.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,0.0,6.74,0.0,0.0,0.0,10.56,25.6,99.99
02/09/2022,0.0,22.52,0.0,0.0,24.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,0.0,6.74,0.0,0.0,0.0,10.56,25.6,99.99
