,WDFC,MED,SMPL,JJSF,CELH,EPC,PSMT,UNFI,DHR.,CENTA,COKE,VGR,UVV,CALM,IPAR,USNA,FIZZ,CVGW,ELF,CHEF,FDP,ANDE,MGPI,JBSS,SPTN,CENT,SENEA,Cash/Receivables/Payables,AGPXX,BGS,003000.KS,n/a,4300.SR,THS,SUM
08/09/2021,8.05,7.31,7.35,5.83,6.0,5.58,4.8,4.5,4.05,4.05,4.3,4.41,2.94,3.09,3.36,2.67,2.47,2.07,2.78,2.29,2.25,2.05,2.15,1.95,1.68,1.11,0.84,0.0,0.09,0.0,0.0,0.0,0.0,0.0,100.02
08/10/2021,7.95,7.25,7.26,5.85,5.98,5.73,4.77,4.44,0.0,4.07,4.31,4.36,2.99,3.1,3.37,2.67,2.47,2.05,2.78,2.31,2.26,2.08,2.15,1.96,1.68,1.12,0.83,0.0,0.05,4.17,0.0,0.0,0.0,0.0,100.01
08/11/2021,7.95,7.25,7.26,5.85,5.98,5.73,4.77,4.44,0.0,4.07,4.31,4.36,2.99,3.1,3.37,2.67,2.47,2.05,2.78,2.31,2.26,2.08,2.15,1.96,1.68,1.12,0.83,0.0,0.05,4.17,0.0,0.0,0.0,0.0,100.01
08/13/2021,8.04,6.71,7.1,5.78,6.07,5.78,4.74,4.54,4.34,4.09,4.32,4.45,2.96,3.16,3.3,2.62,2.52,2.1,2.83,2.36,2.36,2.15,2.09,1.88,1.69,1.13,0.84,0.0,0.05,0.0,0.0,0.0,0.0,0.0,100.0
08/16/2021,7.96,6.65,7.26,5.85,5.83,5.82,4.68,4.58,4.35,4.17,4.56,4.5,2.93,3.16,3.14,2.63,2.49,2.09,2.78,2.41,2.33,2.22,2.0,1.88,1.72,1.14,0.81,0.0,0.05,0.0,0.0,0.0,0.0,0.0,99.99
08/17/2021,7.96,6.65,7.26,5.85,5.83,5.82,4.68,4.58,0.0,4.17,4.56,4.5,2.93,3.16,3.14,2.63,2.49,2.09,2.78,2.41,2.33,2.22,2.0,1.88,1.72,1.14,0.81,0.0,0.05,4.35,0.0,0.0,0.0,0.0,99.99
08/19/2021,7.97,6.6,7.33,5.94,5.79,5.82,4.62,4.64,4.34,4.11,4.51,4.48,2.98,3.2,3.19,2.65,2.46,2.1,2.75,2.31,2.41,2.16,2.02,1.91,1.77,1.11,0.81,0.0,0.05,0.0,0.0,0.0,0.0,0.0,100.03
08/20/2021,7.82,6.53,7.26,6.01,5.33,5.9,4.63,4.76,4.48,4.12,4.58,4.54,3.03,3.29,3.1,2.69,2.42,2.1,2.69,2.31,2.38,2.26,2.03,1.92,1.82,1.12,0.82,0.0,0.05,0.0,0.0,0.0,0.0,0.0,99.99
08/23/2021,7.92,6.36,7.24,6.01,5.42,5.93,4.62,4.55,4.41,4.17,4.53,4.52,2.96,3.4,3.19,2.72,2.49,2.02,2.8,2.25,2.35,2.34,2.0,1.91,1.86,1.14,0.82,0.0,0.05,0.0,0.0,0.0,0.0,0.0,99.98
08/24/2021,7.83,6.41,7.24,5.94,5.36,5.91,4.66,4.72,0.0,4.18,4.52,4.5,2.94,3.34,3.2,2.71,2.44,2.02,2.8,2.29,2.36,2.34,2.04,1.91,1.92,1.13,0.81,0.0,0.05,4.42,0.0,0.0,0.0,0.0,99.99
08/25/2021,7.83,6.41,7.24,5.94,5.36,5.91,4.66,4.72,0.0,4.18,4.52,4.5,2.94,3.34,3.2,2.71,2.44,2.02,2.8,2.29,2.36,2.34,2.04,1.91,1.92,1.13,0.81,0.0,0.05,4.42,0.0,0.0,0.0,0.0,99.99
08/26/2021,7.73,6.49,7.24,5.91,5.69,5.86,4.77,4.68,0.0,4.13,4.48,4.51,2.95,3.31,3.22,2.71,2.45,2.0,2.83,2.32,2.37,2.37,2.03,1.93,1.87,1.13,0.81,0.0,0.05,4.18,0.0,0.0,0.0,0.0,100.02
08/27/2021,7.82,6.38,7.1,5.95,5.83,5.7,4.73,4.76,0.0,4.13,4.45,4.53,2.94,3.32,3.21,2.68,2.55,1.96,2.82,2.36,2.36,2.36,2.07,1.89,1.88,1.13,0.82,0.0,0.03,4.26,0.0,0.0,0.0,0.0,100.01999999999998
08/30/2021,7.86,6.4,7.05,5.92,5.9,5.7,4.81,4.77,0.0,3.99,4.41,4.54,2.97,3.31,3.17,2.71,2.55,1.91,2.87,2.35,2.41,2.32,2.08,1.85,1.88,1.09,0.79,0.0,0.09,4.29,0.0,0.0,0.0,0.0,99.99000000000002
08/31/2021,7.64,6.52,7.13,5.89,6.0,5.53,4.83,4.8,0.0,4.04,4.41,4.61,2.96,3.27,3.16,2.72,2.54,1.92,2.87,2.38,2.43,2.32,2.09,1.84,1.87,1.1,0.79,0.0,0.09,4.23,0.0,0.0,0.0,0.0,99.98
09/01/2021,7.64,6.52,7.13,5.89,6.0,5.53,4.83,4.8,0.0,4.04,4.41,4.61,2.96,3.27,3.16,2.72,2.54,1.92,2.87,2.38,2.43,2.32,2.09,1.84,1.87,1.1,0.79,0.0,0.09,4.23,0.0,0.0,0.0,0.0,99.98
09/02/2021,7.72,6.51,7.17,5.83,6.32,5.51,4.81,4.89,0.0,4.04,4.42,4.6,2.95,3.25,3.14,2.71,2.54,1.87,2.88,2.35,2.37,2.29,2.07,1.79,1.86,1.09,0.79,0.0,0.0,4.26,0.0,-0.01,0.0,0.0,100.02000000000002
09/03/2021,7.8,6.37,7.13,5.85,6.45,5.46,4.7,4.92,0.0,3.93,4.45,4.61,2.97,3.25,3.08,2.68,2.6,1.87,2.88,2.36,2.4,2.28,2.06,1.8,1.86,1.06,0.78,0.0,0.01,4.36,0.0,0.0,0.0,0.0,99.97
09/06/2021,7.35,6.13,6.78,5.52,6.39,5.12,4.48,4.7,0.0,3.64,4.19,4.42,2.81,3.1,2.99,2.53,2.48,1.75,2.72,2.2,2.24,2.14,2.04,1.71,1.76,0.99,0.74,0.0,0.01,4.13,0.0,0.0,0.0,4.92,99.97999999999999
