,NVDA,ISRG,6954.T,ABBN.SW,6861.T,TSP,6506.T,6645.T,6273.T,6383.T,UPST,BRKS,TECN.SW,AI,RSW.L,CRNC,JBT,CGCBV.HE,MAXR CN,ATA.TO,IRBT,AVAV,MTRN.TA,FARO,HLX,6104.T,3993.T,6258.T,7779.T,6232.T,6572.T,4056.T,277810.KQ,UAVS,REKR,4488.T,CASH,n/a,SUM
08/20/2021,8.04,8.95,7.03,8.67,8.68,2.7,4.56,4.99,4.75,4.25,7.33,3.31,3.91,2.53,2.97,2.4,2.5,1.63,1.17,1.81,1.37,1.39,1.31,0.68,0.3,0.39,0.26,0.34,0.29,0.25,0.23,0.17,0.26,0.19,0.18,0.18,0.0,0.04,100.01000000000002
08/23/2021,8.22,9.18,6.97,8.65,8.67,2.99,4.45,5.0,4.68,4.24,7.13,3.31,4.08,2.48,2.96,2.34,2.45,1.55,1.12,1.8,1.29,1.36,1.37,0.66,0.29,0.39,0.26,0.34,0.29,0.24,0.24,0.19,0.25,0.16,0.18,0.18,0.0,0.03,99.99
08/24/2021,8.22,9.18,6.97,8.65,8.67,2.99,4.45,5.0,4.68,4.24,7.13,3.31,4.08,2.48,2.96,2.34,2.45,1.55,1.12,1.8,1.29,1.36,1.37,0.66,0.29,0.39,0.26,0.34,0.29,0.24,0.24,0.19,0.25,0.16,0.18,0.18,0.0,0.03,99.99
08/25/2021,8.64,9.07,6.73,8.67,8.59,2.94,4.36,4.99,4.63,4.23,7.2,3.31,4.22,2.52,2.91,2.34,2.5,1.55,1.12,1.78,1.27,1.39,1.37,0.67,0.29,0.37,0.26,0.34,0.29,0.24,0.23,0.18,0.26,0.17,0.18,0.18,0.0,0.02,100.01000000000002
08/26/2021,8.82,8.8,6.67,8.48,8.71,3.27,4.38,5.03,4.59,4.25,7.22,3.26,4.29,2.5,2.83,2.35,2.44,1.53,1.15,1.79,1.24,1.37,1.37,0.66,0.3,0.37,0.26,0.33,0.28,0.25,0.22,0.19,0.25,0.18,0.2,0.17,0.0,0.01,100.01
08/27/2021,8.58,8.63,6.64,8.33,8.67,3.81,4.38,4.97,4.57,4.2,7.66,3.27,4.12,2.61,2.83,2.35,2.39,1.49,1.17,1.75,1.26,1.33,1.34,0.65,0.3,0.37,0.26,0.33,0.28,0.24,0.23,0.18,0.25,0.18,0.21,0.17,0.0,0.01,100.01
08/30/2021,8.73,8.64,6.63,8.26,8.6,3.96,4.34,4.99,4.58,4.23,7.6,3.28,4.01,2.61,2.81,2.16,2.38,1.6,1.17,1.76,1.24,1.35,1.37,0.67,0.29,0.37,0.26,0.34,0.29,0.25,0.23,0.18,0.25,0.17,0.23,0.17,0.0,0.01,100.01000000000002
08/31/2021,8.73,8.64,6.63,8.26,8.6,3.96,4.34,4.99,4.58,4.23,7.6,3.28,4.01,2.61,2.81,2.16,2.38,1.6,1.17,1.76,1.24,1.35,1.37,0.67,0.29,0.37,0.26,0.34,0.29,0.25,0.23,0.18,0.25,0.17,0.23,0.17,0.0,0.01,100.01000000000002
09/01/2021,8.86,8.5,6.5,8.18,8.46,4.08,4.24,4.91,4.49,4.15,7.75,3.38,4.0,2.64,2.84,2.29,2.44,1.6,1.21,1.75,1.25,1.36,1.36,0.67,0.31,0.37,0.26,0.34,0.28,0.25,0.22,0.18,0.25,0.18,0.26,0.17,0.0,0.02,100.0
09/02/2021,8.87,8.67,6.59,8.18,8.55,3.7,4.32,4.98,4.56,4.12,7.47,3.39,4.03,2.68,2.84,2.27,2.49,1.61,1.2,1.77,1.24,1.35,1.34,0.66,0.3,0.37,0.27,0.34,0.29,0.26,0.23,0.19,0.25,0.18,0.25,0.17,0.0,0.02,100.0
09/03/2021,8.73,8.61,6.7,8.06,8.63,3.41,4.28,5.03,4.59,4.18,7.92,3.38,3.9,2.68,2.89,2.19,2.47,1.63,1.21,1.77,1.21,1.35,1.32,0.66,0.3,0.37,0.28,0.35,0.29,0.25,0.23,0.21,0.25,0.18,0.27,0.2,0.0,0.03,100.01
09/06/2021,8.52,8.54,6.73,7.98,8.53,3.61,4.34,5.11,4.59,4.23,8.09,3.32,4.01,2.42,2.92,2.22,2.5,1.65,1.22,1.77,1.23,1.33,1.36,0.65,0.29,0.37,0.26,0.33,0.28,0.25,0.22,0.2,0.25,0.18,0.28,0.18,0.0,0.02,99.98000000000002
09/08/2021,8.58,8.43,6.89,7.89,8.61,3.43,4.42,5.22,4.62,4.35,8.23,3.28,3.85,2.54,2.84,2.17,2.43,1.68,1.18,1.77,1.2,1.31,1.35,0.64,0.29,0.37,0.26,0.33,0.28,0.25,0.22,0.19,0.26,0.17,0.27,0.18,0.0,0.02,100.0
09/09/2021,8.58,8.43,6.89,7.89,8.61,3.43,4.42,5.22,4.62,4.35,8.23,3.28,3.85,2.54,2.84,2.17,2.43,1.68,1.18,1.77,1.2,1.31,1.35,0.64,0.29,0.37,0.26,0.33,0.28,0.25,0.22,0.19,0.26,0.17,0.27,0.18,0.0,0.02,100.0
09/10/2021,8.38,8.35,6.89,7.64,8.96,3.31,4.37,5.23,4.71,4.44,8.61,3.4,3.83,2.54,2.75,2.08,2.41,1.71,1.14,1.72,1.17,1.28,1.33,0.63,0.29,0.37,0.26,0.33,0.29,0.24,0.22,0.22,0.25,0.17,0.28,0.18,0.0,0.01,99.99
09/13/2021,8.18,8.27,6.87,7.53,8.99,3.22,4.4,5.2,4.69,4.44,9.47,3.41,3.86,2.49,2.73,2.01,2.42,1.69,1.13,1.69,1.18,1.14,1.32,0.61,0.27,0.37,0.26,0.33,0.29,0.24,0.22,0.22,0.24,0.17,0.28,0.17,0.0,0.01,100.01
09/14/2021,8.18,8.27,6.87,7.53,8.99,3.22,4.4,5.2,4.69,4.44,9.47,3.41,3.86,2.49,2.73,2.01,2.42,1.69,1.13,1.69,1.18,1.14,1.32,0.61,0.27,0.37,0.26,0.33,0.29,0.24,0.22,0.22,0.24,0.17,0.28,0.17,0.0,0.01,100.01
09/15/2021,8.34,7.95,6.99,7.61,9.19,3.11,4.46,5.23,4.74,4.5,8.9,3.47,3.92,2.48,2.81,1.92,2.43,1.7,1.13,1.7,1.19,1.17,1.33,0.61,0.27,0.37,0.27,0.33,0.29,0.24,0.22,0.22,0.24,0.16,0.28,0.2,0.0,0.01,99.98
09/16/2021,8.18,7.95,6.99,7.56,9.32,3.19,4.5,5.29,4.75,4.54,9.1,3.47,3.78,2.42,2.76,2.01,2.38,1.68,1.13,1.63,1.18,1.13,1.35,0.6,0.3,0.38,0.28,0.35,0.29,0.24,0.22,0.21,0.23,0.17,0.26,0.19,0.0,0.0,100.01
09/17/2021,8.2,8.02,7.14,7.59,9.39,3.01,4.54,5.38,4.85,4.58,8.8,3.49,3.88,2.39,2.75,1.97,2.34,1.66,1.07,1.62,1.16,1.1,1.33,0.6,0.28,0.38,0.28,0.36,0.29,0.25,0.22,0.21,0.24,0.16,0.26,0.2,0.0,0.0,99.98999999999998
09/20/2021,8.21,7.99,6.96,7.51,9.04,2.9,4.55,5.34,4.82,4.62,9.59,3.49,3.79,2.45,2.79,2.01,2.34,1.63,1.08,1.69,1.14,1.08,1.33,0.62,0.28,0.38,0.28,0.35,0.28,0.24,0.22,0.2,0.23,0.16,0.23,0.18,0.0,0.01,100.01
09/21/2021,8.21,7.99,6.96,7.51,9.04,2.9,4.55,5.34,4.82,4.62,9.59,3.49,3.79,2.45,2.79,2.01,2.34,1.63,1.08,1.69,1.14,1.08,1.33,0.62,0.28,0.38,0.28,0.35,0.28,0.24,0.22,0.2,0.23,0.16,0.23,0.18,0.0,0.01,100.01
09/22/2021,8.03,7.97,6.99,7.27,9.02,3.09,4.58,5.32,4.85,4.65,9.86,3.52,3.73,2.45,2.73,2.01,2.43,1.56,1.08,1.61,1.17,1.07,1.32,0.61,0.28,0.38,0.3,0.35,0.29,0.24,0.22,0.2,0.23,0.16,0.23,0.18,0.0,0.0,99.98
09/23/2021,7.84,7.89,7.11,7.18,9.18,2.95,4.66,5.41,4.93,4.73,9.67,3.88,3.77,2.33,2.69,1.94,2.47,1.52,1.04,1.63,1.14,1.07,1.34,0.6,0.27,0.39,0.3,0.36,0.29,0.24,0.22,0.2,0.23,0.15,0.21,0.19,0.0,0.0,100.02
09/24/2021,7.88,7.87,6.83,7.21,8.94,3.06,4.46,5.32,4.81,4.58,10.54,3.93,3.77,2.32,2.74,1.94,2.5,1.52,1.05,1.59,1.13,1.06,1.34,0.59,0.26,0.38,0.29,0.34,0.28,0.24,0.22,0.2,0.23,0.15,0.23,0.18,0.0,0.0,99.98
09/27/2021,8.24,8.02,6.51,7.31,8.59,3.02,4.3,5.15,4.69,4.43,10.93,4.04,3.78,2.43,2.73,1.97,2.51,1.58,1.08,1.59,1.14,1.04,1.34,0.61,0.29,0.36,0.28,0.33,0.27,0.22,0.21,0.2,0.23,0.16,0.26,0.17,0.0,-0.01,100.0
09/28/2021,8.24,8.02,6.51,7.31,8.59,3.02,4.3,5.15,4.69,4.43,10.93,4.04,3.78,2.43,2.73,1.97,2.51,1.58,1.08,1.59,1.14,1.04,1.34,0.61,0.29,0.36,0.28,0.33,0.27,0.22,0.21,0.2,0.23,0.16,0.26,0.17,0.0,-0.01,100.0
09/29/2021,8.15,8.07,6.67,7.2,8.7,2.95,4.37,5.2,4.74,4.54,10.73,4.09,3.77,2.44,2.66,1.98,2.44,1.51,1.06,1.55,1.15,1.05,1.35,0.62,0.28,0.37,0.29,0.34,0.27,0.23,0.21,0.21,0.23,0.15,0.25,0.18,0.0,-0.01,99.99
09/30/2021,8.1,7.93,6.69,7.21,8.56,3.03,4.32,5.18,4.66,4.55,11.0,4.16,3.53,2.47,2.54,2.0,2.53,1.51,1.11,1.56,1.2,1.09,1.39,0.63,0.3,0.37,0.29,0.34,0.27,0.24,0.21,0.2,0.23,0.16,0.29,0.17,0.0,-0.01,100.01
10/01/2021,7.97,8.0,6.82,7.23,8.57,2.98,4.35,5.36,4.63,4.62,10.7,4.13,3.44,2.38,2.52,2.02,2.55,1.49,1.09,1.57,1.2,1.12,1.43,0.64,0.31,0.38,0.28,0.35,0.27,0.25,0.22,0.2,0.23,0.16,0.29,0.17,0.0,0.09,100.01000000000002
10/04/2021,8.09,8.13,6.77,7.33,8.62,3.02,4.21,5.27,4.47,4.43,10.97,4.05,3.63,2.4,2.48,1.94,2.37,1.5,1.09,1.56,1.18,1.14,1.37,0.63,0.31,0.39,0.28,0.35,0.28,0.25,0.22,0.2,0.24,0.16,0.29,0.16,0.0,0.26,100.04
10/05/2021,8.09,8.13,6.77,7.33,8.62,3.02,4.21,5.27,4.47,4.43,10.97,4.05,3.63,2.4,2.48,1.94,2.37,1.5,1.09,1.56,1.18,1.14,1.37,0.63,0.31,0.39,0.28,0.35,0.28,0.25,0.22,0.2,0.24,0.16,0.29,0.16,0.0,0.26,100.04
10/06/2021,8.25,8.41,6.78,7.3,8.56,2.92,4.11,5.17,4.44,4.44,10.55,4.16,3.61,2.42,2.48,1.88,2.46,1.48,1.12,1.61,1.22,1.17,1.4,0.66,0.34,0.39,0.28,0.35,0.29,0.25,0.22,0.2,0.24,0.16,0.28,0.17,0.0,0.26,100.03
10/07/2021,8.05,8.29,6.66,7.48,8.6,2.91,4.22,5.19,4.44,4.48,10.49,4.17,3.68,2.33,2.44,1.83,2.57,1.51,1.14,1.62,1.22,1.18,1.41,0.65,0.36,0.4,0.28,0.35,0.29,0.24,0.22,0.2,0.25,0.16,0.28,0.17,0.0,0.27,100.03
10/08/2021,8.35,8.46,6.48,7.5,8.43,2.96,4.23,5.01,4.25,4.29,10.73,4.2,3.72,2.37,2.48,1.81,2.58,1.52,1.11,1.68,1.23,1.18,1.4,0.65,0.36,0.38,0.27,0.35,0.28,0.24,0.21,0.19,0.24,0.15,0.29,0.16,0.0,0.26,100.0
10/11/2021,8.5,8.57,6.38,7.49,8.27,3.17,4.13,4.93,4.13,4.25,11.0,4.19,3.66,2.41,2.44,1.78,2.53,1.49,1.11,1.69,1.29,1.18,1.39,0.68,0.34,0.37,0.28,0.34,0.28,0.23,0.21,0.19,0.23,0.15,0.3,0.16,0.0,0.26,100.0
10/12/2021,8.5,8.57,6.38,7.49,8.27,3.17,4.13,4.93,4.13,4.25,11.0,4.19,3.66,2.41,2.44,1.78,2.53,1.49,1.11,1.69,1.29,1.18,1.39,0.68,0.34,0.37,0.28,0.34,0.28,0.23,0.21,0.19,0.23,0.15,0.3,0.16,0.0,0.26,100.0
10/13/2021,8.4,8.32,6.41,7.45,8.5,3.23,4.14,4.98,4.12,4.3,11.14,4.06,3.62,2.37,2.39,1.79,2.55,1.5,1.12,1.71,1.26,1.18,1.38,0.68,0.36,0.38,0.28,0.34,0.28,0.23,0.22,0.19,0.23,0.15,0.31,0.16,0.0,0.26,99.99
10/14/2021,8.39,8.26,6.53,7.45,8.68,2.99,4.04,5.0,4.14,4.28,11.2,4.06,3.57,2.38,2.45,1.8,2.57,1.5,1.13,1.72,1.23,1.2,1.37,0.68,0.35,0.38,0.29,0.35,0.28,0.23,0.22,0.2,0.23,0.15,0.3,0.17,0.0,0.25,100.02
10/15/2021,8.34,8.22,6.37,7.46,8.46,3.19,3.83,4.89,4.02,4.19,11.93,4.06,3.61,2.41,2.42,1.83,2.57,1.5,1.14,1.69,1.26,1.2,1.36,0.68,0.35,0.37,0.28,0.34,0.28,0.23,0.22,0.19,0.23,0.16,0.32,0.16,0.0,0.25,100.01
10/18/2021,8.45,8.08,6.25,7.44,8.21,3.12,3.71,4.87,3.91,4.02,13.1,3.98,3.7,2.4,2.43,1.86,2.5,1.5,1.15,1.67,1.22,1.18,1.33,0.67,0.34,0.36,0.27,0.33,0.27,0.22,0.21,0.18,0.23,0.15,0.31,0.15,0.0,0.24,100.01
10/19/2021,8.45,8.08,6.25,7.44,8.21,3.12,3.71,4.87,3.91,4.02,13.1,3.98,3.7,2.4,2.43,1.86,2.5,1.5,1.15,1.67,1.22,1.18,1.33,0.67,0.34,0.36,0.27,0.33,0.27,0.22,0.21,0.18,0.23,0.15,0.31,0.15,0.0,0.24,100.01
10/21/2021,8.53,8.01,6.49,7.31,8.3,2.94,3.77,4.96,4.02,4.07,13.05,4.06,3.68,2.34,2.39,1.83,2.49,1.46,1.09,1.68,1.22,1.17,1.32,0.65,0.34,0.36,0.26,0.34,0.26,0.21,0.19,0.18,0.23,0.14,0.3,0.14,0.0,0.23,100.01
10/22/2021,8.5,8.06,6.55,7.36,8.42,3.0,3.8,4.96,4.1,4.14,12.43,4.06,3.67,2.42,2.42,1.85,2.43,1.49,1.11,1.69,1.23,1.19,1.29,0.65,0.33,0.36,0.26,0.34,0.26,0.22,0.18,0.18,0.23,0.15,0.31,0.15,0.0,0.23,100.02
10/25/2021,8.73,8.21,6.48,7.04,8.35,2.91,3.7,4.83,4.06,4.19,12.1,4.18,3.77,2.42,2.72,1.89,2.53,1.52,1.13,1.68,1.2,1.2,1.35,0.66,0.32,0.36,0.25,0.33,0.25,0.21,0.18,0.18,0.23,0.15,0.31,0.14,0.0,0.23,99.99
10/26/2021,8.73,8.21,6.48,7.04,8.35,2.91,3.7,4.83,4.06,4.19,12.1,4.18,3.77,2.42,2.72,1.89,2.53,1.52,1.13,1.68,1.2,1.2,1.35,0.66,0.32,0.36,0.25,0.33,0.25,0.21,0.18,0.18,0.23,0.15,0.31,0.14,0.0,0.23,99.99
10/27/2021,8.78,8.29,6.53,7.13,8.4,2.85,3.75,4.9,4.2,4.22,11.75,4.25,3.81,2.34,2.64,1.89,2.5,1.52,1.12,1.63,1.18,1.18,1.36,0.66,0.32,0.36,0.25,0.34,0.25,0.21,0.17,0.19,0.23,0.14,0.31,0.14,0.0,0.22,100.01
10/28/2021,8.88,8.27,6.43,6.99,8.28,2.88,3.71,4.86,4.17,4.2,12.24,4.26,3.81,2.34,2.59,1.92,2.48,1.51,1.11,1.62,1.17,1.19,1.36,0.67,0.32,0.36,0.24,0.33,0.25,0.21,0.16,0.18,0.23,0.15,0.31,0.13,0.0,0.22,100.03
10/29/2021,9.49,8.41,6.5,7.06,8.25,2.88,3.71,4.87,4.21,4.24,11.15,4.25,3.8,2.32,2.74,1.95,2.49,1.51,1.06,1.61,1.17,1.17,1.35,0.66,0.32,0.36,0.25,0.33,0.26,0.2,0.16,0.19,0.23,0.14,0.31,0.13,0.0,0.22,99.95
11/01/2021,9.56,8.56,5.92,7.09,8.1,3.17,3.72,4.83,4.19,4.28,11.23,4.41,3.83,2.27,2.65,2.02,2.5,1.5,1.04,1.64,1.25,1.14,1.35,0.66,0.31,0.36,0.25,0.33,0.25,0.2,0.16,0.19,0.23,0.14,0.32,0.13,0.0,0.24,100.01999999999998
11/02/2021,9.56,8.56,5.92,7.09,8.1,3.17,3.72,4.83,4.19,4.28,11.23,4.41,3.83,2.27,2.65,2.02,2.5,1.5,1.04,1.64,1.25,1.14,1.35,0.66,0.31,0.36,0.25,0.33,0.25,0.2,0.16,0.19,0.23,0.14,0.32,0.13,0.0,0.24,100.01999999999998
11/03/2021,9.75,8.65,5.87,7.05,8.42,3.11,3.66,4.94,4.14,4.2,10.9,4.5,3.81,2.28,2.6,2.08,2.44,1.49,0.99,1.63,1.22,1.15,1.34,0.69,0.29,0.36,0.25,0.33,0.24,0.2,0.16,0.18,0.22,0.15,0.33,0.12,0.0,0.24,99.98000000000005
11/04/2021,9.62,8.31,5.89,6.92,8.37,3.1,3.69,5.04,4.17,4.18,11.4,4.5,3.81,2.21,2.55,2.05,2.49,1.54,0.99,1.63,1.26,1.15,1.36,0.7,0.3,0.36,0.25,0.33,0.24,0.19,0.15,0.18,0.22,0.15,0.33,0.12,0.0,0.23,99.98000000000002
11/05/2021,9.79,8.39,5.87,6.97,8.29,3.03,3.72,5.04,4.16,4.15,11.32,4.5,3.81,2.25,2.51,2.07,2.44,1.53,0.95,1.68,1.26,1.16,1.35,0.71,0.3,0.36,0.25,0.32,0.24,0.19,0.15,0.18,0.22,0.15,0.33,0.12,0.0,0.23,99.99
11/08/2021,10.74,8.23,5.71,6.97,8.63,2.97,3.69,5.07,4.2,4.12,10.3,4.47,3.78,2.33,2.44,2.05,2.52,1.5,1.13,1.74,1.29,1.15,1.36,0.7,0.28,0.35,0.24,0.32,0.24,0.19,0.15,0.17,0.21,0.14,0.3,0.12,0.0,0.22,100.02
