,RIG,SLCA,HP,NBR,HAL,WHD,OII,SLB,PTEN,CHX,LBRT,BKR,FTI,NOV,PUMP,AROC,CLB,HLX,NEX,OIS,BOOM,ASPN,DRQ,TTI,FI,VTOL,Tidewater Inc,STATE STREET INSTITUTIONAL LIQ STATE STR,U.S. Dollar,TDW,SSIXX,State Street Instl Liquid Reserves Prem,n/a,XPRO,GVMXX,VAL,NE,SUM
12/17/2021,3.93,4.4,3.79,4.32,5.29,4.84,4.31,5.14,4.4,4.43,4.27,4.72,4.2,4.37,4.22,3.21,3.88,4.17,3.1,2.45,3.12,4.84,2.27,2.54,0.0,1.98,0.0,0.0,0.0,0.64,0.17,0.0,0.0,1.0,0.0,0.0,0.0,100.0
12/20/2021,3.93,4.4,3.79,4.32,5.29,4.84,4.31,5.14,4.4,4.43,4.27,4.72,4.2,4.37,4.22,3.21,3.88,4.17,3.1,2.45,3.12,4.84,2.27,2.54,0.0,1.98,0.0,0.0,0.0,0.64,0.17,0.0,0.0,1.0,0.0,0.0,0.0,100.0
12/21/2021,3.89,4.23,4.07,4.56,5.28,4.84,4.11,5.05,4.8,4.35,4.47,4.63,4.18,4.72,3.91,3.18,3.76,4.35,3.05,2.36,3.24,4.34,2.33,2.54,0.0,1.98,0.0,0.0,0.0,0.62,0.18,0.0,0.0,0.98,0.0,0.0,0.0,100.0
12/22/2021,3.89,4.23,4.07,4.56,5.28,4.84,4.11,5.05,4.8,4.35,4.47,4.63,4.18,4.72,3.91,3.18,3.76,4.35,3.05,2.36,3.24,4.34,2.33,2.54,0.0,1.98,0.0,0.0,0.0,0.62,0.18,0.0,0.0,0.98,0.0,0.0,0.0,100.0
12/23/2021,4.39,3.65,4.55,4.1,4.53,4.49,4.46,4.57,4.25,4.35,4.38,4.51,4.4,4.66,2.98,2.48,4.44,2.27,2.73,2.17,1.73,3.37,2.82,1.58,0.0,1.17,0.0,0.0,0.0,0.63,0.19,0.0,0.0,2.42,0.0,5.09,2.66,100.02
12/24/2021,4.57,3.62,4.72,4.24,4.44,4.34,4.48,4.46,4.51,4.24,4.45,4.38,4.34,4.6,3.0,2.41,4.41,2.32,2.76,2.16,1.79,3.44,2.73,1.62,0.0,1.16,0.0,0.0,0.0,0.6,0.25,0.0,0.0,2.52,0.0,4.83,2.63,100.02
12/27/2021,4.52,3.61,4.64,4.15,4.42,4.39,4.43,4.44,4.5,4.17,4.53,4.43,4.3,4.61,3.04,2.42,4.39,2.22,2.84,2.22,1.82,3.35,2.67,1.61,0.0,1.16,0.0,0.0,0.0,0.6,0.15,0.0,0.0,2.57,0.0,5.04,2.75,99.98999999999998
12/28/2021,4.52,3.61,4.64,4.15,4.42,4.39,4.43,4.44,4.5,4.17,4.53,4.43,4.3,4.61,3.04,2.42,4.39,2.22,2.84,2.22,1.82,3.35,2.67,1.61,0.0,1.16,0.0,0.0,0.0,0.6,0.15,0.0,0.0,2.57,0.0,5.04,2.75,99.98999999999998
12/29/2021,4.52,3.61,4.64,4.15,4.42,4.39,4.43,4.44,4.5,4.17,4.53,4.43,4.3,4.61,3.04,2.42,4.39,2.22,2.84,2.22,1.82,3.35,2.67,1.61,0.0,1.16,0.0,0.0,0.0,0.6,0.15,0.0,0.0,2.57,0.0,5.04,2.75,99.98999999999998
12/30/2021,4.48,3.55,4.64,4.16,4.44,4.43,4.42,4.42,4.53,4.17,4.59,4.44,4.29,4.57,3.05,2.39,4.36,2.14,2.82,2.2,1.79,3.45,2.66,1.62,0.0,1.17,0.0,0.0,0.0,0.59,0.15,0.0,0.0,2.57,0.0,5.13,2.77,99.99000000000002
12/31/2021,4.47,3.55,4.62,4.11,4.48,4.45,4.44,4.51,4.5,4.19,4.56,4.49,4.32,4.64,3.02,2.42,4.32,2.14,2.81,2.2,1.78,3.35,2.71,1.58,0.0,1.17,0.0,0.0,0.0,0.59,0.15,0.0,0.0,2.63,0.0,5.05,2.76,100.01
01/03/2022,4.31,3.58,4.61,4.03,4.53,4.58,4.41,4.59,4.47,4.14,4.45,4.49,4.25,4.71,2.98,2.42,4.38,2.11,2.79,2.19,1.85,3.31,2.76,1.62,0.0,1.18,0.0,0.0,0.0,0.6,0.16,0.0,0.0,2.62,0.0,5.09,2.76,99.97
01/03/2022,4.31,3.58,4.61,4.03,4.53,4.58,4.41,4.59,4.47,4.14,4.45,4.49,4.25,4.71,2.98,2.42,4.38,2.11,2.79,2.19,1.85,3.31,2.76,1.62,0.0,1.18,0.0,0.0,0.0,0.6,0.16,0.0,0.0,2.62,0.0,5.09,2.76,99.97
01/03/2022,4.31,3.58,4.61,4.03,4.53,4.58,4.41,4.59,4.47,4.14,4.45,4.49,4.25,4.71,2.98,2.42,4.38,2.11,2.79,2.19,1.85,3.31,2.76,1.62,0.0,1.18,0.0,0.0,0.0,0.6,0.16,0.0,0.0,2.62,0.0,5.09,2.76,99.97
01/04/2022,4.31,3.58,4.61,4.03,4.53,4.58,4.41,4.59,4.47,4.14,4.45,4.49,4.25,4.71,2.98,2.42,4.38,2.11,2.79,2.19,1.85,3.31,2.76,1.62,0.0,1.18,0.0,0.0,0.0,0.6,0.16,0.0,0.0,2.62,0.0,5.09,2.76,99.97
01/05/2022,4.19,3.61,4.55,3.97,4.56,4.59,4.43,4.61,4.45,4.19,4.43,4.51,4.31,4.73,2.99,2.47,4.32,2.09,2.76,2.19,1.81,3.37,2.78,1.67,0.0,1.2,0.0,0.0,0.0,0.61,0.0,0.0,0.04,2.67,0.0,5.13,2.78,100.01000000000002
01/07/2022,4.44,3.49,4.57,4.27,4.53,4.54,4.33,4.58,4.5,4.15,4.83,4.29,4.26,4.61,3.03,2.33,4.45,2.1,3.41,2.22,1.81,2.89,2.77,1.62,0.0,1.13,0.0,0.0,0.0,0.59,0.0,0.0,0.04,2.56,0.0,5.03,2.65,100.02
01/10/2022,4.37,3.47,4.71,4.21,4.51,4.54,4.33,4.63,4.5,4.16,4.9,4.29,4.29,4.55,3.1,2.37,4.34,2.04,3.7,2.26,1.73,2.7,2.79,1.62,0.0,1.12,0.0,0.0,0.0,0.58,0.04,0.0,0.0,2.58,0.0,4.96,2.61,100.00000000000004
01/11/2022,4.4,3.56,4.66,4.06,4.54,4.5,4.39,4.72,4.44,4.15,4.84,4.28,4.36,4.6,3.1,2.36,4.43,2.13,3.73,2.26,1.73,2.57,2.8,1.59,0.0,1.11,0.0,0.0,0.0,0.6,0.04,0.0,0.0,2.53,0.0,4.96,2.58,100.02
01/12/2022,4.4,3.56,4.66,4.06,4.54,4.5,4.39,4.72,4.44,4.15,4.84,4.28,4.36,4.6,3.1,2.36,4.43,2.13,3.73,2.26,1.73,2.57,2.8,1.59,0.0,1.11,0.0,0.0,0.0,0.6,0.04,0.0,0.0,2.53,0.0,4.96,2.58,100.02
01/13/2022,4.42,3.48,4.7,4.16,4.5,4.42,4.37,4.72,4.59,4.11,4.79,4.27,4.31,4.63,3.1,2.35,4.48,2.09,3.68,2.26,1.72,2.57,2.83,1.56,0.0,1.1,0.0,0.0,0.0,0.59,0.04,0.0,0.0,2.53,0.0,5.04,2.6,100.01
01/14/2022,4.53,3.54,4.74,4.35,4.56,4.5,4.44,4.72,4.54,4.06,4.65,4.25,4.2,4.68,3.05,2.36,4.4,2.03,3.8,2.28,1.71,2.48,2.86,1.58,0.0,1.08,0.0,0.0,0.0,0.57,0.03,0.0,0.0,2.57,0.0,4.89,2.54,99.98999999999998
01/17/2022,4.38,3.72,4.7,4.25,4.73,4.48,4.44,4.73,4.43,4.11,4.68,4.18,4.24,4.8,3.12,2.36,4.3,2.09,3.77,2.34,1.7,2.34,2.98,1.55,0.0,1.1,0.0,0.0,0.0,0.59,0.06,0.0,0.0,2.48,0.0,4.83,2.5,99.98000000000002
01/18/2022,4.37,3.76,4.76,4.6,4.68,4.52,4.41,4.75,4.43,4.16,4.64,4.21,4.19,4.71,3.2,2.31,4.32,2.09,3.82,2.37,1.74,2.11,2.93,1.54,0.0,1.1,0.0,0.0,0.0,0.57,0.05,0.0,0.0,2.51,0.0,4.74,2.39,99.98
01/19/2022,4.37,3.76,4.76,4.6,4.68,4.52,4.41,4.75,4.43,4.16,4.64,4.21,4.19,4.71,3.2,2.31,4.32,2.09,3.82,2.37,1.74,2.11,2.93,1.54,0.0,1.1,0.0,0.0,0.0,0.57,0.05,0.0,0.0,2.51,0.0,4.74,2.39,99.98
01/20/2022,4.37,3.76,4.76,4.6,4.68,4.52,4.41,4.75,4.43,4.16,4.64,4.21,4.19,4.71,3.2,2.31,4.32,2.09,3.82,2.37,1.74,2.11,2.93,1.54,0.0,1.1,0.0,0.0,0.0,0.57,0.05,0.0,0.0,2.51,0.0,4.74,2.39,99.98
01/24/2022,4.42,3.39,4.61,4.42,4.86,4.83,4.36,4.94,4.47,4.17,4.66,4.34,4.16,4.86,3.25,2.36,4.33,1.98,3.57,2.35,1.66,1.94,3.01,1.54,0.0,1.08,0.0,0.0,0.0,0.61,0.03,0.0,0.0,2.32,0.0,5.02,2.46,100.0
01/25/2022,4.24,3.29,4.62,4.33,4.91,4.88,4.32,5.0,4.42,4.15,4.64,4.57,4.22,4.81,3.29,2.35,4.48,1.99,3.52,2.32,1.66,1.89,3.09,1.51,0.0,1.11,0.0,0.0,0.0,0.63,0.03,0.0,0.0,2.39,0.0,4.89,2.44,99.99
01/26/2022,4.24,3.29,4.62,4.33,4.91,4.88,4.32,5.0,4.42,4.15,4.64,4.57,4.22,4.81,3.29,2.35,4.48,1.99,3.52,2.32,1.66,1.89,3.09,1.51,0.0,1.11,0.0,0.0,0.0,0.63,0.03,0.0,0.0,2.39,0.0,4.89,2.44,99.99
01/28/2022,4.27,3.21,4.63,4.43,5.04,4.79,4.45,4.94,4.49,4.07,4.77,4.33,4.1,4.78,3.3,2.34,4.43,2.03,3.75,2.4,1.59,1.68,3.11,1.52,0.0,1.08,0.0,0.0,0.0,0.7,0.03,0.0,0.0,2.49,0.0,4.87,2.37,99.99
02/01/2022,4.19,3.07,4.62,4.45,5.29,4.97,4.39,5.17,4.49,4.0,4.71,4.31,3.99,4.95,3.24,2.34,4.33,1.99,3.96,2.35,1.52,1.59,3.05,1.49,0.0,1.06,0.0,0.0,0.0,0.75,0.03,0.0,0.0,2.42,0.0,4.89,2.37,99.98
02/02/2022,4.19,3.07,4.62,4.45,5.29,4.97,4.39,5.17,4.49,4.0,4.71,4.31,3.99,4.95,3.24,2.34,4.33,1.99,3.96,2.35,1.52,1.59,3.05,1.49,0.0,1.06,0.0,0.0,0.0,0.75,0.03,0.0,0.0,2.42,0.0,4.89,2.37,99.98
02/08/2022,4.69,3.03,5.08,4.73,5.2,4.86,4.51,4.84,4.66,4.03,4.57,4.07,4.04,4.62,3.38,2.26,4.27,2.15,4.07,2.41,1.4,1.54,2.82,1.4,0.0,0.93,0.0,0.0,0.0,0.66,0.02,0.0,0.0,2.37,0.0,4.94,2.47,100.02000000000002
02/09/2022,4.69,3.03,5.08,4.73,5.2,4.86,4.51,4.84,4.66,4.03,4.57,4.07,4.04,4.62,3.38,2.26,4.27,2.15,4.07,2.41,1.4,1.54,2.82,1.4,0.0,0.93,0.0,0.0,0.0,0.66,0.02,0.0,0.0,2.37,0.0,4.94,2.47,100.02000000000002
02/10/2022,4.62,2.94,5.09,4.62,5.32,4.87,4.53,5.09,4.66,4.06,4.62,4.24,4.04,4.56,3.37,2.21,4.2,2.14,4.07,2.37,1.39,1.52,2.82,1.39,0.0,0.98,0.0,0.0,0.0,0.67,0.02,0.0,0.0,2.33,0.0,4.86,2.38,99.98
02/11/2022,4.42,3.04,5.25,4.65,5.32,4.88,4.5,5.03,4.7,4.14,4.52,4.31,4.0,4.61,3.38,2.24,4.17,2.06,4.16,2.24,1.4,1.55,2.79,1.36,0.0,0.97,0.0,0.0,0.0,0.66,0.02,0.0,0.0,2.39,0.0,4.83,2.39,99.98
02/14/2022,4.51,3.1,5.16,4.95,5.33,4.83,4.49,4.97,4.95,3.88,4.21,4.24,3.98,4.7,3.58,2.19,4.15,2.07,4.46,2.24,1.37,1.55,2.68,1.39,0.0,0.93,0.0,0.0,0.0,0.65,0.02,0.0,0.0,2.32,0.0,4.75,2.34,99.99000000000002
02/15/2022,4.45,3.05,5.12,4.91,5.25,4.68,4.49,4.91,5.27,3.71,4.32,4.29,3.93,4.73,3.63,2.2,4.28,2.09,4.71,2.3,1.33,1.44,2.74,1.4,0.0,0.92,0.0,0.0,0.0,0.66,0.02,0.0,0.0,2.25,0.0,4.64,2.27,99.99
02/16/2022,4.45,3.05,5.12,4.91,5.25,4.68,4.49,4.91,5.27,3.71,4.32,4.29,3.93,4.73,3.63,2.2,4.28,2.09,4.71,2.3,1.33,1.44,2.74,1.4,0.0,0.92,0.0,0.0,0.0,0.66,0.02,0.0,0.0,2.25,0.0,4.64,2.27,99.99
02/17/2022,4.45,3.05,5.12,4.91,5.25,4.68,4.49,4.91,5.27,3.71,4.32,4.29,3.93,4.73,3.63,2.2,4.28,2.09,4.71,2.3,1.33,1.44,2.74,1.4,0.0,0.92,0.0,0.0,0.0,0.66,0.02,0.0,0.0,2.25,0.0,4.64,2.27,99.99
02/18/2022,4.38,3.19,5.21,4.88,5.14,4.79,4.46,4.9,5.67,3.56,4.3,4.28,3.88,4.63,3.66,2.17,4.21,2.11,4.58,2.25,1.35,1.54,2.8,1.34,0.0,0.93,0.0,0.0,0.0,0.65,0.04,0.0,0.0,2.15,0.0,4.65,2.3,100.00000000000003
