,MRK,AZN,LLY,BMY,JNJ,NVO,ABBV,PFE,NVSN.MX,SNY,ZTS,GSK,MCK,ABC,TAK,CTLT,VTRS,ELAN,TEVA,BHC.TO,JAZZ,OGN,PRGO,Amarin Corp PLC ADR,PDCO,Us Dollar,AMRN,PTBL.TA,Takeda Pharmaceutical Co Ltd ADR,n/a,SAR.AX,GVMXX,SUM
08/24/2021,5.03,5.75,5.67,5.0,5.12,6.04,4.93,5.79,4.79,4.76,4.99,4.5,4.48,4.33,4.16,4.66,4.05,3.04,3.1,2.75,2.09,2.48,1.31,0.0,0.52,0.0,0.7,0.0,0.0,0.0,-0.01,0.0,100.03
08/25/2021,5.03,5.75,5.67,5.0,5.12,6.04,4.93,5.79,4.79,4.76,4.99,4.5,4.48,4.33,4.16,4.66,4.05,3.04,3.1,2.75,2.09,2.48,1.31,0.0,0.52,0.0,0.7,0.0,0.0,0.0,-0.01,0.0,100.03
08/26/2021,4.99,5.67,5.59,4.97,5.06,5.98,4.94,5.91,4.79,4.68,4.96,4.45,4.5,4.32,4.22,4.7,4.05,3.05,3.17,2.77,2.17,2.48,1.31,0.0,0.52,0.0,0.74,0.0,0.0,0.0,-0.01,0.0,99.98
08/27/2021,4.99,5.69,5.53,4.98,5.03,5.9,4.99,5.78,4.75,4.69,4.96,4.44,4.5,4.3,4.23,4.79,4.06,3.13,3.23,2.83,2.14,2.49,1.31,0.0,0.53,0.0,0.75,0.0,0.0,0.0,-0.01,0.0,100.01
08/30/2021,4.95,5.75,5.53,4.9,5.01,5.93,5.05,5.69,4.75,4.7,4.97,4.46,4.46,4.28,4.21,4.97,3.98,3.2,3.19,2.79,2.1,2.57,1.29,0.0,0.53,0.0,0.74,0.0,0.0,0.0,0.0,0.0,100.0
08/31/2021,5.25,5.2,5.08,5.11,4.97,5.02,4.94,4.92,4.94,4.99,4.74,4.53,4.51,4.39,4.44,4.31,4.16,3.54,3.55,3.05,2.94,2.39,1.55,0.0,0.57,0.0,0.6,0.0,0.0,0.0,0.0,5.68,105.37
09/01/2021,5.25,5.2,5.08,5.11,4.97,5.02,4.94,4.92,4.94,4.99,4.74,4.53,4.51,4.39,4.44,4.31,4.16,3.54,3.55,3.05,2.94,2.39,1.55,0.0,0.57,0.0,0.6,0.0,0.0,0.0,0.0,5.68,105.37
09/02/2021,5.25,5.2,5.08,5.11,4.97,5.02,4.94,4.92,4.94,4.99,4.74,4.53,4.51,4.39,4.44,4.31,4.16,3.54,3.55,3.05,2.94,2.39,1.55,0.0,0.57,0.0,0.6,0.0,0.0,0.0,0.0,5.68,105.37
09/03/2021,4.93,5.72,5.54,4.9,5.0,5.85,5.04,5.6,4.74,4.67,5.0,4.44,4.53,4.37,4.16,4.96,4.0,3.25,3.21,2.89,2.07,2.54,1.3,0.0,0.54,0.0,0.72,0.0,0.0,0.0,0.0,0.0,99.97
09/06/2021,4.91,5.75,5.42,4.77,4.98,5.74,4.63,5.55,4.71,4.7,5.03,4.45,4.61,4.52,4.16,5.25,4.16,3.25,3.22,2.88,2.12,2.65,1.32,0.0,0.57,0.0,0.69,0.0,0.0,0.0,-0.02,0.0,100.02
09/07/2021,4.93,5.69,5.43,4.74,4.99,5.71,4.63,5.56,4.68,4.67,5.05,4.47,4.6,4.53,4.23,5.29,4.1,3.29,3.21,2.88,2.14,2.66,1.33,0.0,0.55,0.0,0.68,0.0,0.0,-0.02,0.0,0.0,100.02
09/08/2021,4.93,5.69,5.43,4.74,4.99,5.71,4.63,5.56,4.68,4.67,5.05,4.47,4.6,4.53,4.23,5.29,4.1,3.29,3.21,2.88,2.14,2.66,1.33,0.0,0.55,0.0,0.68,0.0,0.0,-0.02,0.0,0.0,100.02
09/09/2021,4.93,5.69,5.43,4.74,4.99,5.71,4.63,5.56,4.68,4.67,5.05,4.47,4.6,4.53,4.23,5.29,4.1,3.29,3.21,2.88,2.14,2.66,1.33,0.0,0.55,0.0,0.68,0.0,0.0,-0.02,0.0,0.0,100.02
09/10/2021,4.89,5.69,5.37,4.75,4.96,5.78,4.55,5.59,4.62,4.65,5.04,4.44,4.62,4.53,4.29,5.36,4.07,3.3,3.23,2.89,2.13,2.68,1.34,0.0,0.56,0.0,0.67,0.0,0.0,0.0,0.0,0.0,100.0
09/13/2021,4.87,5.59,5.39,4.75,4.97,5.77,4.63,5.59,4.54,4.54,5.1,4.41,4.66,4.56,4.32,5.43,4.05,3.31,3.22,2.83,2.13,2.64,1.46,0.0,0.57,0.0,0.67,0.0,0.0,0.0,0.0,0.0,100.0
09/14/2021,4.86,5.64,5.19,4.73,4.94,5.84,4.58,5.61,4.54,4.48,5.17,4.43,4.69,4.61,4.36,5.38,3.94,3.33,3.23,2.9,2.18,2.62,1.44,0.0,0.59,0.0,0.71,0.0,0.0,0.0,0.0,0.0,99.99
09/15/2021,4.86,5.64,5.19,4.73,4.94,5.84,4.58,5.61,4.54,4.48,5.17,4.43,4.69,4.61,4.36,5.38,3.94,3.33,3.23,2.9,2.18,2.62,1.44,0.0,0.59,0.0,0.71,0.0,0.0,0.0,0.0,0.0,99.99
09/16/2021,4.86,5.64,5.19,4.73,4.94,5.84,4.58,5.61,4.54,4.48,5.17,4.43,4.69,4.61,4.36,5.38,3.94,3.33,3.23,2.9,2.18,2.62,1.44,0.0,0.59,0.0,0.71,0.0,0.0,0.0,0.0,0.0,99.99
09/17/2021,4.81,5.65,5.09,4.69,4.91,5.91,4.61,5.54,4.56,4.51,5.12,4.42,4.75,4.66,4.36,5.44,3.93,3.31,3.21,2.94,2.2,2.61,1.53,0.0,0.58,0.0,0.7,0.0,0.0,-0.04,0.0,0.0,100.0
09/20/2021,4.83,5.68,5.08,4.66,4.91,5.96,4.65,5.53,4.54,4.47,5.11,4.39,4.85,4.74,4.41,5.42,3.93,3.25,3.16,2.88,2.17,2.62,1.5,0.0,0.58,0.0,0.69,0.0,0.0,0.0,0.0,0.0,100.01
09/21/2021,4.8,5.64,5.05,4.65,4.94,6.03,4.69,5.47,4.49,4.55,5.02,4.4,4.87,4.7,4.49,5.39,3.92,3.28,3.2,2.81,2.19,2.67,1.47,0.0,0.57,0.0,0.7,0.0,0.0,0.0,0.0,0.0,99.98999999999998
09/22/2021,4.8,5.64,5.05,4.65,4.94,6.03,4.69,5.47,4.49,4.55,5.02,4.4,4.87,4.7,4.49,5.39,3.92,3.28,3.2,2.81,2.19,2.67,1.47,0.0,0.57,0.0,0.7,0.0,0.0,0.0,0.0,0.0,99.98999999999998
09/23/2021,4.8,5.64,5.05,4.65,4.94,6.03,4.69,5.47,4.49,4.55,5.02,4.4,4.87,4.7,4.49,5.39,3.92,3.28,3.2,2.81,2.19,2.67,1.47,0.0,0.57,0.0,0.7,0.0,0.0,0.0,0.0,0.0,99.98999999999998
09/24/2021,4.97,5.39,4.7,4.84,4.98,5.26,5.05,4.91,4.94,5.01,4.5,4.52,4.57,4.58,4.71,4.48,4.28,3.54,3.43,3.01,2.38,3.02,1.58,0.0,0.56,0.0,0.77,0.0,0.0,0.05,0.0,0.0,100.03
09/27/2021,4.98,5.36,4.66,4.82,4.97,5.22,5.02,4.92,4.92,5.04,4.51,4.54,4.61,4.6,4.65,4.52,4.27,3.55,3.45,3.03,2.39,3.0,1.58,0.0,0.57,0.0,0.79,0.0,0.0,0.05,0.0,0.0,100.01999999999998
