,RYN,WFG.TO,WY,SCA B.ST,PCH,IP,SK3.IR,MNDI.L,HOLM B.ST,UPM.HE,WRK,STERV.HE,KLBN11.SA,SUZB3.SA,BILL.ST,3861.T,1911.T,IFP.TO,UFS,CFP,3880.T,METSB.HE,SAP.JO,3863.T,CTT,XTSLA,JPY,CAD,SEK,EUR,BRL,JPFFT,GBP,ZAR,HKD,ESU1,USD,CFP.TO,ESZ1,WEF.TO,SLVM,SUM
07/29/2021,9.13,8.36,7.79,7.66,6.42,4.28,4.46,4.14,4.39,4.16,3.78,3.92,3.31,3.22,3.58,3.24,3.02,2.54,2.78,2.15,1.98,1.85,1.44,1.08,1.09,0.05,0.05,0.0,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,99.98
07/30/2021,9.19,8.27,7.8,7.66,6.5,4.28,4.51,4.16,4.4,4.16,3.8,3.95,3.24,3.19,3.61,3.27,3.0,2.49,2.77,2.12,2.0,1.87,1.4,1.09,1.05,0.0,0.05,0.0,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,99.98
08/02/2021,9.19,8.35,7.76,7.69,6.45,4.21,4.5,4.18,4.48,4.18,3.76,3.96,3.26,3.21,3.63,3.25,2.9,2.51,2.76,2.15,2.02,1.82,1.46,1.09,1.03,0.05,0.05,0.0,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,100.0
08/03/2021,9.27,8.37,7.6,7.78,6.4,4.24,4.56,4.18,4.49,4.19,3.78,3.94,3.15,3.1,3.65,3.24,2.98,2.49,2.79,2.14,2.03,1.8,1.43,1.1,1.05,0.05,0.05,0.0,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,99.96
08/04/2021,9.27,8.37,7.6,7.78,6.4,4.24,4.56,4.18,4.49,4.19,3.78,3.94,3.15,3.1,3.65,3.24,2.98,2.49,2.79,2.14,2.03,1.8,1.43,1.1,1.05,0.05,0.05,0.0,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,99.96
08/05/2021,9.27,8.37,7.6,7.78,6.4,4.24,4.56,4.18,4.49,4.19,3.78,3.94,3.15,3.1,3.65,3.24,2.98,2.49,2.79,2.14,2.03,1.8,1.43,1.1,1.05,0.05,0.05,0.0,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,99.96
08/06/2021,9.05,8.25,7.76,7.84,6.41,4.3,4.51,4.19,4.53,4.16,3.81,3.92,3.08,3.07,3.66,3.21,3.06,2.52,2.78,2.25,2.08,1.81,1.42,1.11,1.03,0.05,0.05,0.0,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,100.01
08/10/2021,9.15,8.19,7.84,7.9,6.36,4.28,4.53,4.22,4.54,4.18,3.78,3.93,3.11,3.08,3.66,3.11,3.03,2.45,2.79,2.2,2.17,1.79,1.34,1.07,1.06,0.06,0.07,0.0,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,99.99
08/11/2021,9.15,8.19,7.84,7.9,6.36,4.28,4.53,4.22,4.54,4.18,3.78,3.93,3.11,3.08,3.66,3.11,3.03,2.45,2.79,2.2,2.17,1.79,1.34,1.07,1.06,0.06,0.07,0.0,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,99.99
08/13/2021,9.06,8.35,7.75,7.94,6.22,4.35,4.57,4.21,4.56,4.12,3.9,3.88,3.16,3.19,3.62,3.1,2.97,2.5,2.76,2.24,2.1,1.76,1.35,1.07,1.03,0.05,0.07,0.0,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,99.97
08/16/2021,8.96,8.47,7.79,7.91,6.3,4.34,4.61,4.21,4.52,4.16,3.92,3.92,3.07,3.09,3.63,3.1,2.93,2.46,2.74,2.22,2.14,1.75,1.38,1.09,1.03,0.02,0.07,0.0,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,99.97
08/17/2021,8.9,8.46,7.72,7.93,6.24,4.28,4.6,4.23,4.55,4.18,3.87,3.93,3.13,3.14,3.67,3.15,2.89,2.46,2.73,2.22,2.16,1.76,1.4,1.09,1.03,0.02,0.07,0.0,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,99.98
08/19/2021,9.0,8.44,7.74,7.88,6.22,4.33,4.59,4.26,4.51,4.19,3.9,3.9,3.18,3.22,3.66,3.09,2.89,2.37,2.74,2.17,2.14,1.76,1.41,1.08,1.03,0.02,0.07,0.0,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,99.97
08/23/2021,9.16,8.2,7.82,7.83,6.21,4.37,4.72,4.29,4.49,4.21,3.84,3.87,2.99,3.11,3.65,3.1,2.95,2.38,2.85,2.2,2.19,1.75,1.38,1.11,1.04,0.03,0.05,0.0,0.02,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,99.98999999999998
08/24/2021,9.22,8.12,7.86,7.94,6.21,4.4,4.72,4.28,4.46,4.2,3.88,3.86,3.07,3.16,3.69,3.09,2.86,2.27,2.84,2.14,2.2,1.73,1.36,1.11,1.06,0.05,0.05,0.0,0.02,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,100.0
08/25/2021,9.22,8.12,7.86,7.94,6.21,4.4,4.72,4.28,4.46,4.2,3.88,3.86,3.07,3.16,3.69,3.09,2.86,2.27,2.84,2.14,2.2,1.73,1.36,1.11,1.06,0.05,0.05,0.0,0.02,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,100.0
08/26/2021,9.07,8.27,7.85,7.85,6.24,4.33,4.73,4.26,4.39,4.19,3.85,3.85,3.13,3.18,3.71,3.05,2.9,2.36,2.8,2.2,2.21,1.73,1.41,1.1,1.05,0.05,0.05,0.0,0.02,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,99.98
08/27/2021,8.9,8.57,7.83,7.79,6.24,4.31,4.63,4.23,4.37,4.17,3.89,3.85,3.21,3.29,3.69,3.05,2.9,2.38,2.77,2.25,2.18,1.7,1.42,1.08,1.04,0.05,0.05,0.0,0.02,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,100.01
08/30/2021,8.65,8.81,7.93,7.5,6.31,4.34,4.64,4.16,4.31,4.18,3.88,3.86,3.33,3.47,3.64,2.93,2.87,2.46,2.78,2.31,2.13,1.72,1.41,1.07,1.02,0.07,0.05,0.0,0.02,0.02,0.0,0.01,0.04,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,100.01
08/31/2021,8.74,8.9,7.97,7.38,6.4,4.34,4.59,4.13,4.28,4.13,3.93,3.86,3.34,3.45,3.62,2.9,2.84,2.49,2.74,2.33,2.12,1.7,1.44,1.03,1.04,0.06,0.05,0.0,0.02,0.01,0.0,0.02,0.04,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,99.99
09/01/2021,8.74,8.9,7.97,7.38,6.4,4.34,4.59,4.13,4.28,4.13,3.93,3.86,3.34,3.45,3.62,2.9,2.84,2.49,2.74,2.33,2.12,1.7,1.44,1.03,1.04,0.06,0.05,0.0,0.02,0.01,0.0,0.02,0.04,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,99.99
09/02/2021,8.84,9.02,8.0,7.31,6.33,4.26,4.56,4.12,4.26,4.11,3.86,3.86,3.32,3.43,3.65,2.91,2.9,2.53,2.72,2.35,2.14,1.7,1.47,1.04,1.01,0.06,0.05,0.0,0.02,0.01,0.0,0.02,0.04,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,100.01
09/03/2021,8.88,8.84,7.97,7.24,6.29,4.33,4.55,4.08,4.25,4.1,3.93,3.83,3.34,3.45,3.63,2.91,3.04,2.53,2.73,2.33,2.18,1.67,1.52,1.03,1.02,0.06,0.05,0.0,0.02,0.01,0.0,0.02,0.04,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,99.97
09/06/2021,9.08,8.74,7.98,7.33,6.42,4.29,4.56,4.1,4.23,4.1,3.91,3.82,3.15,3.37,3.65,2.93,2.97,2.57,2.7,2.32,2.21,1.69,1.51,1.01,1.02,0.07,0.05,0.0,0.02,0.01,0.0,0.01,0.04,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,100.0
09/07/2021,9.01,8.98,7.89,7.26,6.44,4.21,4.53,4.08,4.24,4.06,3.87,3.82,3.15,3.37,3.59,2.95,2.99,2.69,2.67,2.41,2.25,1.68,1.52,1.0,1.02,0.06,0.05,0.0,0.02,0.01,0.0,0.01,0.04,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,100.12
09/08/2021,9.01,8.98,7.89,7.26,6.44,4.21,4.53,4.08,4.24,4.06,3.87,3.82,3.15,3.37,3.59,2.95,2.99,2.69,2.67,0.0,2.25,1.68,1.52,1.0,1.02,0.06,0.05,0.0,0.02,0.01,0.0,0.01,0.04,0.0,0.0,0.0,0.25,2.41,0.0,0.0,0.0,100.12
09/09/2021,9.03,8.99,7.92,7.25,6.47,4.22,4.56,4.1,4.3,4.1,3.88,3.89,3.17,3.37,3.57,2.94,3.0,2.69,2.68,0.0,2.21,1.68,1.48,1.0,1.02,0.06,0.05,0.0,0.02,0.01,0.0,0.01,0.04,0.0,0.0,0.0,0.25,2.41,0.0,0.0,0.0,100.37
09/13/2021,8.86,9.13,7.7,7.16,6.21,4.22,4.56,4.1,4.26,4.11,3.9,3.9,3.2,3.42,3.51,2.97,3.09,2.78,2.73,0.0,2.26,1.66,1.46,1.04,1.01,0.0,0.05,0.0,0.02,0.01,0.02,0.01,0.04,0.0,0.0,0.0,0.18,2.42,0.0,0.0,0.0,99.99
09/14/2021,8.8,9.15,7.66,7.23,6.25,4.19,4.54,4.11,4.28,4.12,3.9,3.9,3.15,3.35,3.48,2.99,3.17,2.81,2.73,0.0,2.29,1.67,1.44,1.03,1.01,0.05,0.05,0.0,0.02,0.01,0.02,0.01,0.04,0.0,0.0,0.0,0.12,2.42,0.0,0.0,0.0,99.99
09/15/2021,8.8,9.15,7.66,7.23,6.25,4.19,4.54,4.11,4.28,4.12,3.9,3.9,3.15,3.35,3.48,2.99,3.17,2.81,2.73,0.0,2.29,1.67,1.44,1.03,1.01,0.05,0.05,0.0,0.02,0.01,0.02,0.01,0.04,0.0,0.0,0.0,0.12,2.42,0.0,0.0,0.0,99.99
09/16/2021,8.99,9.08,7.75,6.85,6.29,4.28,4.59,4.11,4.17,4.06,3.95,3.83,3.24,3.38,3.41,3.02,3.24,2.76,2.77,0.0,2.33,1.68,1.43,1.06,1.02,0.05,0.05,0.0,0.02,0.01,0.02,0.02,0.04,0.0,0.0,0.0,0.12,2.38,0.0,0.0,0.0,100.0
09/17/2021,9.02,8.96,7.72,6.84,6.21,4.26,4.64,4.09,4.16,4.06,3.91,3.8,3.28,3.4,3.45,3.1,3.32,2.64,2.8,0.0,2.4,1.72,1.41,1.09,1.02,0.0,0.05,0.0,0.02,0.02,0.02,0.02,0.04,0.0,0.0,0.0,0.23,2.31,0.0,0.0,0.0,100.01
09/20/2021,9.15,9.1,8.08,6.81,6.45,4.27,4.67,4.11,4.12,4.0,3.91,3.74,3.04,3.09,3.39,3.07,3.26,2.65,2.8,0.0,2.4,1.68,1.36,1.08,1.04,0.06,0.05,0.0,0.02,0.01,0.02,0.02,0.04,0.0,0.0,0.0,0.22,2.29,0.0,0.0,0.0,100.0
09/21/2021,9.31,9.23,8.27,6.7,6.63,4.22,4.61,4.0,4.04,3.91,3.88,3.63,2.95,2.96,3.35,3.07,3.35,2.74,2.82,0.0,2.44,1.66,1.31,1.09,1.07,0.05,0.05,0.06,0.02,0.02,0.02,0.02,0.04,0.0,0.0,0.0,0.18,2.31,0.0,0.0,0.0,100.01
09/22/2021,9.31,9.23,8.27,6.7,6.63,4.22,4.61,4.0,4.04,3.91,3.88,3.63,2.95,2.96,3.35,3.07,3.35,2.74,2.82,0.0,2.44,1.66,1.31,1.09,1.07,0.05,0.05,0.06,0.02,0.02,0.02,0.02,0.04,0.0,0.0,0.0,0.18,2.31,0.0,0.0,0.0,100.01
09/23/2021,9.35,9.26,8.32,6.8,6.57,4.24,4.55,3.92,3.99,3.87,3.87,3.59,2.93,2.94,3.3,3.14,3.43,2.7,2.88,0.0,2.5,1.64,1.28,1.11,1.07,0.05,0.05,0.06,0.02,0.02,0.02,0.02,0.04,0.0,0.0,0.0,0.18,2.3,0.0,0.0,0.0,100.01
09/24/2021,9.28,9.41,8.2,6.88,6.64,4.18,4.54,3.93,3.99,3.9,3.82,3.56,2.93,2.98,3.28,3.11,3.3,2.84,2.87,0.0,2.44,1.63,1.28,1.09,1.08,0.04,0.05,0.06,0.02,0.02,0.02,0.02,0.04,0.0,0.0,0.0,0.19,2.35,0.0,0.0,0.0,99.97
09/27/2021,9.15,9.46,8.4,6.82,6.63,4.19,4.52,3.89,4.01,3.89,3.86,3.56,2.99,3.12,3.32,2.94,3.15,3.0,2.79,0.0,2.31,1.62,1.34,1.04,1.09,0.04,0.05,0.08,0.02,0.04,0.02,0.02,0.04,0.0,0.0,0.0,0.18,2.43,0.0,0.0,0.0,100.01
09/28/2021,9.11,9.67,8.41,6.7,6.62,4.2,4.46,3.86,3.96,3.84,3.89,3.49,2.95,3.07,3.3,2.97,3.21,3.12,2.8,0.0,2.35,1.59,1.32,1.04,1.07,0.05,0.05,0.08,0.02,0.04,0.02,0.02,0.04,0.0,0.0,0.0,0.18,2.5,0.0,0.0,0.0,100.0
09/29/2021,9.11,9.67,8.41,6.7,6.62,4.2,4.46,3.86,3.96,3.84,3.89,3.49,2.95,3.07,3.3,2.97,3.21,3.12,2.8,0.0,2.35,1.59,1.32,1.04,1.07,0.05,0.05,0.08,0.02,0.04,0.02,0.02,0.04,0.0,0.0,0.0,0.18,2.5,0.0,0.0,0.0,100.0
10/19/2021,7.98,9.06,8.26,7.78,6.75,3.92,3.76,3.76,3.86,3.73,3.97,3.7,3.08,3.6,3.39,3.58,3.3,3.12,2.56,0.0,2.04,1.55,1.49,0.0,1.09,0.02,0.05,0.02,0.13,0.03,0.04,0.03,0.0,0.0,0.0,0.0,0.19,2.72,0.0,1.27,0.18,100.01
10/20/2021,7.91,9.11,8.23,7.81,6.83,3.76,3.69,3.76,3.88,3.74,3.76,3.73,3.18,3.73,3.45,3.63,3.34,3.16,2.56,0.0,2.09,1.56,1.54,0.0,0.85,0.03,0.05,0.02,0.13,0.03,0.04,0.02,0.0,0.0,0.0,0.0,0.19,2.7,0.0,1.28,0.18,99.96999999999998
10/21/2021,7.98,9.12,8.26,7.79,6.76,3.77,3.63,3.78,3.87,3.78,3.9,3.75,3.14,3.63,3.41,3.64,3.34,3.16,2.57,0.0,2.1,1.58,1.55,0.0,0.8,0.03,0.05,0.02,0.13,0.03,0.04,0.02,0.0,0.0,0.0,0.0,0.19,2.68,0.0,1.27,0.19,99.96
10/22/2021,7.92,8.85,8.25,7.91,6.78,3.73,3.64,3.83,3.95,3.89,3.96,3.89,3.06,3.56,3.48,3.64,3.38,3.06,2.59,0.0,2.11,1.61,1.54,0.0,0.8,0.03,0.05,0.02,0.13,0.03,0.04,0.02,0.0,0.0,0.0,0.0,0.19,2.63,0.0,1.25,0.18,100.0
11/08/2021,8.48,8.41,8.53,7.78,7.13,3.48,3.81,3.84,3.9,3.8,3.93,3.78,3.02,3.56,3.66,3.76,3.69,2.79,2.57,0.0,2.15,1.52,1.57,0.0,0.8,0.04,0.05,0.04,0.04,0.03,0.05,0.02,0.0,0.0,0.0,0.0,0.05,2.42,0.0,1.07,0.19,99.96
