,EBS.VI,OMV.VI,VER.VI,VOE.VI,WIE.VI,CAI.VI,ANDR.VI,BG.VI,RBI.VI,IIA.VI,POST.VI,LNZ.VI,TKA.VI,ATS.VI,UQA.VI,SPI.VI,VIG.VI,EVN.VI,DOC.VI,PAL.VI,SEM.VI,SBO.VI,EUR,ZAG.VI,AGR.VI,FACC.VI,POS.VI,HBCFT,XTSLA,VGU1,USD,VGZ1,1933204D.VI,POSB.VI,SUM
08/26/2021,16.43,11.91,10.56,6.88,4.76,2.89,4.44,4.63,4.49,3.72,2.95,3.15,2.76,2.25,2.32,2.02,2.28,1.97,1.33,1.44,1.17,1.03,1.01,1.06,0.9,0.78,0.78,0.09,0.03,0.0,0.0,0.0,0.0,0.0,100.03000000000002
08/27/2021,16.38,12.13,10.59,6.94,4.71,2.88,4.42,4.58,4.46,3.69,2.88,3.2,2.72,2.28,2.31,2.02,2.25,1.96,1.34,1.4,1.19,1.04,1.01,1.05,0.9,0.79,0.78,0.08,0.03,0.0,0.0,0.0,0.0,0.0,100.01
08/30/2021,16.5,11.97,10.47,6.89,4.76,2.86,4.46,4.71,4.49,3.69,2.88,3.21,2.75,2.25,2.3,2.01,2.22,1.94,1.32,1.44,1.2,1.03,1.01,1.05,0.89,0.78,0.81,0.08,0.03,0.0,0.0,0.0,0.0,0.0,100.0
08/31/2021,16.36,12.08,10.43,6.9,4.76,2.87,4.46,4.69,4.47,3.72,2.87,3.17,2.76,2.29,2.3,2.07,2.21,1.93,1.33,1.47,1.17,1.06,1.01,1.07,0.88,0.78,0.81,0.08,0.03,0.0,0.0,0.0,0.0,0.0,100.03
09/01/2021,16.36,12.08,10.43,6.9,4.76,2.87,4.46,4.69,4.47,3.72,2.87,3.17,2.76,2.29,2.3,2.07,2.21,1.93,1.33,1.47,1.17,1.06,1.01,1.07,0.88,0.78,0.81,0.08,0.03,0.0,0.0,0.0,0.0,0.0,100.03
09/02/2021,16.34,12.04,10.6,6.82,4.73,2.88,4.47,4.69,4.42,3.73,2.86,3.16,2.75,2.28,2.27,2.1,2.22,1.94,1.32,1.47,1.19,1.04,1.01,1.08,0.9,0.79,0.82,0.08,0.03,0.0,0.0,0.0,0.0,0.0,100.03
09/03/2021,16.08,11.51,10.43,6.83,4.26,3.36,4.46,4.53,4.32,3.82,2.88,3.23,2.79,2.31,2.29,2.23,2.24,2.02,1.39,1.63,1.22,1.25,0.98,1.03,0.98,0.92,0.93,0.08,0.03,0.0,0.0,0.0,0.0,0.0,100.03000000000002
09/07/2021,16.38,11.48,10.49,6.66,4.24,3.33,4.49,4.44,4.41,3.7,2.82,3.24,2.72,2.34,2.26,2.2,2.23,2.17,1.41,1.58,1.22,1.24,0.96,1.08,0.96,0.9,0.97,0.08,0.03,0.0,0.0,0.0,0.0,0.0,100.03
09/08/2021,16.38,11.48,10.49,6.66,4.24,3.33,4.49,4.44,4.41,3.7,2.82,3.24,2.72,2.34,2.26,2.2,2.23,2.17,1.41,1.58,1.22,1.24,0.96,1.08,0.96,0.9,0.97,0.08,0.03,0.0,0.0,0.0,0.0,0.0,100.03
09/09/2021,16.47,11.62,10.59,6.68,4.29,3.33,4.53,4.49,4.44,3.71,2.87,3.32,2.74,2.45,2.27,2.19,2.25,2.17,1.39,1.61,1.21,1.24,0.98,1.08,0.98,0.99,0.97,0.08,0.03,0.0,0.0,0.0,0.0,0.0,100.97
09/10/2021,16.27,11.61,10.42,6.61,4.25,3.29,4.46,4.48,4.39,3.7,2.83,3.21,2.72,2.42,2.26,2.2,2.22,2.15,1.38,1.6,1.2,1.23,0.96,1.07,0.96,1.05,0.97,0.08,0.03,0.0,0.0,0.0,0.0,0.0,100.01999999999998
09/14/2021,16.34,11.57,10.41,6.48,4.24,3.33,4.55,4.5,4.46,3.71,2.85,2.98,2.78,2.39,2.26,2.21,2.24,2.17,1.37,1.63,1.2,1.28,0.95,1.06,0.97,1.01,0.97,0.08,0.06,0.0,0.0,0.0,0.0,0.0,100.05
09/15/2021,16.34,11.57,10.41,6.48,4.24,3.33,4.55,4.5,4.46,3.71,2.85,2.98,2.78,2.39,2.26,2.21,2.24,2.17,1.37,1.63,1.2,1.28,0.95,1.06,0.97,1.01,0.97,0.08,0.06,0.0,0.0,0.0,0.0,0.0,100.05
09/16/2021,16.64,11.62,10.51,6.42,4.21,3.32,4.46,4.51,4.48,3.71,2.84,2.96,2.75,2.32,2.27,2.17,2.21,2.17,1.37,1.6,1.21,1.3,0.94,1.03,0.95,0.99,0.95,0.08,0.06,0.0,0.0,0.0,0.0,0.0,100.05
09/17/2021,16.56,11.88,10.63,6.3,4.2,3.34,4.42,4.49,4.48,3.67,2.86,2.92,2.78,2.28,2.24,2.15,2.24,2.19,1.38,1.61,1.17,1.29,0.94,1.02,0.95,0.98,0.96,0.08,0.0,0.0,0.01,0.0,0.0,0.0,100.01999999999998
09/20/2021,16.74,12.18,10.14,6.31,4.11,3.33,4.43,4.63,4.53,3.66,2.88,2.89,2.75,2.28,2.25,2.2,2.26,2.16,1.34,1.6,1.16,1.28,0.94,1.05,0.94,0.94,0.95,0.08,0.01,0.0,0.0,0.0,0.0,0.0,100.02
09/21/2021,17.0,12.11,10.09,6.19,3.9,3.37,4.48,4.56,4.57,3.64,2.85,2.97,2.75,2.26,2.22,2.21,2.27,2.17,1.37,1.65,1.15,1.29,0.94,1.01,0.97,0.94,0.98,0.08,0.02,0.0,0.0,0.0,0.0,0.0,100.01
09/22/2021,17.0,12.11,10.09,6.19,3.9,3.37,4.48,4.56,4.57,3.64,2.85,2.97,2.75,2.26,2.22,2.21,2.27,2.17,1.37,1.65,1.15,1.29,0.94,1.01,0.97,0.94,0.98,0.08,0.02,0.0,0.0,0.0,0.0,0.0,100.01
09/23/2021,16.85,12.2,10.32,6.03,4.01,3.39,4.44,4.66,4.55,3.64,2.85,2.95,2.8,2.18,2.19,2.16,2.26,2.15,1.41,1.63,1.13,1.28,0.94,1.03,0.97,0.96,0.96,0.08,0.02,0.0,0.0,0.0,0.0,0.0,100.03999999999998
10/20/2021,17.76,12.82,9.99,5.59,3.66,3.29,4.16,4.65,5.02,3.63,2.64,3.0,2.7,1.94,2.3,2.08,2.31,2.08,1.63,1.63,1.01,1.41,0.95,0.98,0.92,0.91,0.82,0.08,0.05,0.0,-0.02,0.0,0.0,0.0,99.99
10/21/2021,17.59,12.82,10.04,5.58,3.66,3.29,4.12,4.66,4.99,3.67,2.62,2.98,2.7,2.06,2.27,2.08,2.29,2.08,1.6,1.62,1.0,1.41,1.13,0.97,0.91,0.91,0.8,0.08,0.05,0.0,-0.02,0.0,0.05,0.0,100.01
10/22/2021,17.63,12.77,9.96,5.54,3.73,3.28,4.18,4.66,5.01,3.66,2.63,3.02,2.7,2.04,2.29,2.11,2.29,2.1,1.58,1.59,0.98,1.37,1.13,0.97,0.92,0.9,0.79,0.08,0.05,0.0,-0.02,0.0,0.05,0.0,99.99
10/25/2021,17.74,12.63,10.16,5.42,3.79,3.3,4.2,4.76,5.06,3.52,2.66,2.93,2.68,2.01,2.27,2.13,2.23,2.14,1.57,1.55,0.98,1.35,1.26,0.97,0.91,0.9,0.75,0.07,0.05,0.0,-0.02,0.0,0.0,0.03,100.0
10/26/2021,17.25,12.77,10.38,5.41,3.85,3.29,4.24,4.77,5.1,3.49,2.65,3.01,2.68,2.03,2.29,2.11,2.23,2.17,1.55,1.53,0.98,1.34,1.26,0.96,0.93,0.9,0.71,0.08,0.05,0.0,-0.03,0.0,0.0,0.01,99.99
10/27/2021,17.25,12.77,10.38,5.41,3.85,3.29,4.24,4.77,5.1,3.49,2.65,3.01,2.68,2.03,2.29,2.11,2.23,2.17,1.55,1.53,0.98,1.34,1.26,0.96,0.93,0.9,0.71,0.08,0.05,0.0,-0.03,0.0,0.0,0.01,99.99
10/28/2021,17.15,12.94,10.35,5.49,3.87,3.24,4.19,4.76,5.21,3.5,2.61,2.97,2.67,2.02,2.25,2.11,2.22,2.16,1.55,1.52,0.99,1.34,1.31,0.97,0.91,0.9,0.68,0.08,0.05,0.0,-0.03,0.0,0.0,0.01,99.99
10/29/2021,17.15,12.94,10.35,5.49,3.87,3.24,4.19,4.76,5.21,3.5,2.61,2.97,2.67,2.02,2.25,2.11,2.22,2.16,1.55,1.52,0.99,1.34,1.31,0.97,0.91,0.9,0.68,0.09,0.05,0.0,-0.03,0.0,0.0,0.01,100.0
11/01/2021,16.97,12.88,10.3,5.62,3.83,3.32,4.33,4.68,5.21,3.54,2.64,2.98,2.68,1.98,2.28,2.14,2.21,2.19,1.59,1.54,1.01,1.33,0.96,0.98,0.92,0.88,0.89,0.08,0.05,0.0,-0.03,0.0,0.0,0.0,99.98
11/02/2021,17.22,12.56,9.9,5.71,3.84,3.3,4.39,4.74,5.26,3.59,2.64,2.93,2.71,2.04,2.3,2.14,2.25,2.14,1.59,1.6,1.02,1.36,0.98,0.97,0.93,0.89,0.92,0.08,0.06,0.0,-0.04,0.0,0.0,0.0,100.02
11/03/2021,17.22,12.56,9.9,5.71,3.84,3.3,4.39,4.74,5.26,3.59,2.64,2.93,2.71,2.04,2.3,2.14,2.25,2.14,1.59,1.6,1.02,1.36,0.98,0.97,0.93,0.89,0.92,0.08,0.06,0.0,-0.04,0.0,0.0,0.0,100.02
11/04/2021,17.33,12.84,9.72,5.71,3.83,3.26,4.39,4.69,5.23,3.55,2.65,2.95,2.67,2.18,2.29,2.11,2.21,2.11,1.59,1.61,1.01,1.34,0.97,0.98,0.92,0.9,0.89,0.08,0.05,0.0,-0.04,0.0,0.0,0.0,100.02
11/05/2021,17.43,12.68,9.75,5.67,3.86,3.26,4.38,4.69,5.29,3.55,2.64,2.98,2.67,2.14,2.28,2.12,2.25,2.11,1.6,1.58,0.99,1.35,0.98,0.96,0.92,0.89,0.91,0.08,0.05,0.0,-0.04,0.0,0.0,0.0,100.02
11/08/2021,17.45,12.41,9.61,5.53,3.82,3.35,4.42,4.71,5.63,3.55,2.64,2.92,2.64,2.39,2.28,2.11,2.23,2.15,1.6,1.56,1.0,1.32,0.97,0.95,0.91,0.86,0.88,0.08,0.05,0.0,-0.04,0.0,0.0,0.0,99.97999999999996
11/09/2021,18.14,12.43,9.17,5.45,3.8,3.34,4.04,4.7,5.78,3.56,2.68,2.89,2.63,2.4,2.3,2.13,2.26,2.08,1.68,1.56,0.99,1.36,0.96,0.94,0.9,0.86,0.88,0.08,0.05,0.0,-0.04,0.0,0.0,0.0,100.0
11/10/2021,18.14,12.43,9.17,5.45,3.8,3.34,4.04,4.7,5.78,3.56,2.68,2.89,2.63,2.4,2.3,2.13,2.26,2.08,1.68,1.56,0.99,1.36,0.96,0.94,0.9,0.86,0.88,0.08,0.05,0.0,-0.04,0.0,0.0,0.0,100.0
11/11/2021,18.27,12.47,9.36,5.58,3.8,3.31,3.99,4.63,5.69,3.49,2.63,2.88,2.63,2.4,2.26,2.13,2.26,2.11,1.66,1.53,0.95,1.36,0.95,0.95,0.9,0.86,0.86,0.08,0.05,0.0,-0.05,0.0,0.0,0.0,99.99
11/12/2021,21.66,11.8,8.82,5.34,3.83,3.22,3.85,4.41,5.44,3.4,2.59,2.8,2.54,2.39,2.19,2.03,2.16,1.99,1.6,1.45,0.93,1.27,0.85,0.92,0.88,0.75,0.84,0.08,0.05,0.0,-0.05,0.0,0.0,0.0,100.03000000000002
11/15/2021,21.89,11.87,8.84,5.17,3.84,3.18,3.82,4.4,5.58,3.34,2.44,2.78,2.56,2.49,2.19,2.0,2.18,1.99,1.53,1.45,0.9,1.24,0.88,0.91,0.85,0.76,0.85,0.07,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999996
11/17/2021,21.47,11.69,8.84,5.17,3.94,3.21,3.81,4.41,5.5,3.39,2.46,2.92,2.59,2.56,2.2,2.04,2.23,2.05,1.52,1.46,0.91,1.27,0.89,0.94,0.87,0.76,0.87,0.07,0.01,0.0,-0.01,0.0,0.0,0.0,100.04
11/22/2021,21.43,11.76,9.16,5.06,3.9,3.18,3.9,4.38,5.44,3.38,2.47,2.95,2.57,2.5,2.16,2.01,2.15,2.03,1.46,1.45,0.95,1.25,1.0,0.91,0.86,0.75,0.87,0.08,0.01,0.0,0.0,0.0,0.0,0.0,100.02
11/23/2021,21.43,11.76,9.16,5.06,3.9,3.18,3.9,4.38,5.44,3.38,2.47,2.95,2.57,2.5,2.16,2.01,2.15,2.03,1.46,1.45,0.95,1.25,1.0,0.91,0.86,0.75,0.87,0.08,0.01,0.0,0.0,0.0,0.0,0.0,100.02
