,XLK,XLV,XLF,XLC,XLY,XLP,XLI,XLE,XLB,XLRE,XLU,n/a,SUM
09/02/2021,32.01,9.49,11.64,11.11,11.72,5.64,5.76,2.95,2.02,3.67,3.99,0.0,100.0
09/03/2021,32.21,9.51,11.42,11.14,11.76,5.65,5.73,2.9,2.01,3.7,3.98,0.0,100.01000000000002
09/06/2021,32.07,9.5,11.35,11.24,11.79,5.69,5.7,2.84,2.0,3.79,4.03,0.0,100.0
09/07/2021,30.07,9.59,10.28,9.15,11.75,5.69,7.73,4.92,1.99,3.8,5.03,0.0,100.0
09/08/2021,30.07,9.59,10.28,9.15,11.75,5.69,7.73,4.92,1.99,3.8,5.03,0.0,100.0
09/09/2021,30.07,9.59,10.28,9.15,11.75,5.69,7.73,4.92,1.99,3.8,5.03,0.0,100.0
09/10/2021,30.2,9.57,10.26,9.2,11.83,5.65,7.63,4.91,1.99,3.77,4.99,0.0,100.0
09/13/2021,30.12,9.58,10.25,9.17,11.86,5.7,7.64,4.85,1.97,3.8,5.08,0.0,100.02
09/14/2021,30.06,9.49,10.32,9.17,11.91,5.71,7.66,4.91,1.99,3.71,5.04,0.0,99.96999999999998
09/15/2021,30.06,9.49,10.32,9.17,11.91,5.71,7.66,4.91,1.99,3.71,5.04,0.0,99.96999999999998
09/16/2021,30.06,9.49,10.32,9.17,11.91,5.71,7.66,4.91,1.99,3.71,5.04,0.0,99.96999999999998
09/17/2021,29.98,9.4,10.41,9.16,11.9,5.71,7.66,5.04,1.99,3.72,5.02,0.0,99.99
09/20/2021,30.11,9.43,10.34,9.1,11.9,5.69,7.63,5.14,1.98,3.72,4.98,0.0,100.02
09/21/2021,29.99,9.53,10.38,9.09,12.05,5.7,7.58,5.1,1.94,3.73,4.91,0.0,100.0
09/22/2021,29.99,9.53,10.38,9.09,12.05,5.7,7.58,5.1,1.94,3.73,4.91,0.0,100.0
09/23/2021,29.99,9.53,10.38,9.09,12.05,5.7,7.58,5.1,1.94,3.73,4.91,0.0,100.0
09/24/2021,30.04,9.61,10.3,9.05,12.03,5.72,7.59,5.0,1.93,3.77,4.96,0.0,100.0
09/27/2021,30.17,9.48,10.49,8.93,12.04,5.63,7.59,5.21,1.93,3.69,4.82,0.0,99.98
09/28/2021,30.14,9.43,10.52,8.99,12.07,5.62,7.6,5.24,1.93,3.65,4.81,0.0,100.0
09/29/2021,30.14,9.43,10.52,8.99,12.07,5.62,7.6,5.24,1.93,3.65,4.81,0.0,100.0
09/30/2021,30.14,9.43,10.52,8.99,12.07,5.62,7.6,5.24,1.93,3.65,4.81,0.0,100.0
10/01/2021,31.7,8.27,11.11,13.52,11.86,5.74,4.8,4.0,2.01,3.71,2.69,0.0,99.41
10/04/2021,29.49,9.38,10.7,8.93,12.14,5.69,7.67,5.55,1.95,3.66,4.84,0.0,100.0
10/05/2021,29.71,9.27,10.7,9.05,12.02,5.6,7.61,5.65,1.95,3.64,4.8,0.0,100.0
10/06/2021,29.71,9.27,10.7,9.05,12.02,5.6,7.61,5.65,1.95,3.64,4.8,0.0,100.0
10/07/2021,29.35,3.2,10.73,10.45,18.11,5.65,7.66,5.81,1.96,3.68,3.4,0.0,100.0
10/08/2021,29.35,3.2,10.73,10.45,18.11,5.65,7.66,5.81,1.96,3.68,3.4,0.0,100.0
10/11/2021,29.55,3.17,10.8,10.48,17.99,5.65,7.67,5.7,1.95,3.64,3.4,0.0,100.0
10/12/2021,29.5,3.17,10.84,10.4,18.05,5.63,7.67,5.88,1.95,3.58,3.33,0.0,100.0
10/13/2021,29.5,3.17,10.84,10.4,18.05,5.63,7.67,5.88,1.95,3.58,3.33,0.0,100.0
10/14/2021,29.5,3.17,10.84,10.4,18.05,5.63,7.67,5.88,1.95,3.58,3.33,0.0,100.0
10/15/2021,29.52,3.17,10.8,10.31,18.1,5.66,7.66,5.9,1.96,3.6,3.3,0.0,99.98
10/18/2021,29.48,3.15,10.68,10.24,18.28,5.66,7.63,5.88,1.97,3.66,3.36,0.0,99.99
10/19/2021,29.67,3.14,10.76,10.11,18.32,5.58,7.67,5.84,1.98,3.63,3.31,0.0,100.01
10/20/2021,29.67,3.14,10.76,10.11,18.32,5.58,7.67,5.84,1.98,3.63,3.31,0.0,100.01
10/21/2021,29.77,3.1,10.71,10.14,18.45,5.52,7.64,5.82,1.97,3.62,3.26,0.0,100.0
10/22/2021,29.87,3.12,10.75,10.17,18.28,5.48,7.63,5.85,1.96,3.61,3.28,0.0,100.0
10/25/2021,29.7,3.15,10.8,10.16,18.21,5.5,7.65,5.88,1.97,3.65,3.32,0.0,99.99
10/26/2021,29.73,3.16,10.72,10.16,18.42,5.48,7.65,5.75,1.96,3.66,3.31,0.0,100.0
10/27/2021,29.73,3.16,10.72,10.16,18.42,5.48,7.65,5.75,1.96,3.66,3.31,0.0,100.0
10/28/2021,29.73,3.16,10.72,10.16,18.42,5.48,7.65,5.75,1.96,3.66,3.31,0.0,100.0
10/29/2021,29.73,3.16,10.72,10.16,18.42,5.48,7.65,5.75,1.96,3.66,3.31,0.0,100.0
11/01/2021,29.73,3.16,10.72,10.16,18.42,5.48,7.65,5.75,1.96,3.66,3.31,0.0,100.0
11/02/2021,29.73,3.16,10.72,10.16,18.42,5.48,7.65,5.75,1.96,3.66,3.31,0.0,100.0
11/03/2021,29.73,3.16,10.72,10.16,18.42,5.48,7.65,5.75,1.96,3.66,3.31,0.0,100.0
11/04/2021,29.73,3.16,10.72,10.16,18.42,5.48,7.65,5.75,1.96,3.66,3.31,0.0,100.0
11/05/2021,29.73,3.16,10.72,10.16,18.42,5.48,7.65,5.75,1.96,3.66,3.31,0.0,100.0
11/08/2021,30.13,3.14,10.38,9.72,19.38,5.45,7.48,5.58,1.95,3.6,3.2,0.0,100.01
11/09/2021,30.12,3.08,10.33,9.75,19.39,5.45,7.51,5.63,1.96,3.59,3.21,0.0,100.02
11/10/2021,30.12,3.08,10.33,9.75,19.39,5.45,7.51,5.63,1.96,3.59,3.21,0.0,100.02
11/11/2021,30.12,3.08,10.33,9.75,19.39,5.45,7.51,5.63,1.96,3.59,3.21,0.0,100.02
11/12/2021,30.3,3.1,10.39,9.71,19.13,5.41,7.55,5.68,1.98,3.59,3.16,0.0,100.0
11/15/2021,30.32,3.11,10.38,9.73,18.87,5.45,7.6,5.73,2.0,3.62,3.19,0.0,100.0
11/16/2021,30.32,3.11,10.38,9.73,18.87,5.45,7.6,5.73,2.0,3.62,3.19,0.0,100.0
11/17/2021,30.32,3.11,10.38,9.73,18.87,5.45,7.6,5.73,2.0,3.62,3.19,0.0,100.0
11/18/2021,30.32,3.11,10.38,9.73,18.87,5.45,7.6,5.73,2.0,3.62,3.19,0.0,100.0
11/19/2021,30.3,3.1,10.42,9.77,18.8,5.49,7.6,5.64,2.01,3.63,3.24,0.0,100.0
11/22/2021,30.47,3.1,10.36,9.65,19.0,5.43,7.57,5.62,1.99,3.59,3.21,0.0,99.98999999999998
11/23/2021,30.47,3.1,10.36,9.65,19.0,5.43,7.57,5.62,1.99,3.59,3.21,0.0,99.98999999999998
11/24/2021,30.93,3.09,10.08,9.52,19.44,5.39,7.48,5.29,1.97,3.59,3.22,0.0,100.0
11/25/2021,30.65,3.08,10.25,9.43,19.44,5.44,7.51,5.39,1.98,3.58,3.24,0.0,99.99
11/26/2021,30.53,3.08,10.39,9.38,19.26,5.47,7.51,5.55,1.98,3.62,3.24,0.0,100.01
11/29/2021,30.65,3.07,10.33,9.37,19.24,5.43,7.48,5.59,1.96,3.65,3.23,0.0,100.0
11/30/2021,30.65,3.14,10.25,9.43,19.19,5.5,7.46,5.5,1.97,3.64,3.26,0.0,99.99
12/01/2021,30.65,3.14,10.25,9.43,19.19,5.5,7.46,5.5,1.97,3.64,3.26,0.0,99.99
12/02/2021,31.0,3.1,10.14,9.39,19.23,5.44,7.38,5.46,1.95,3.64,3.27,0.0,100.0
12/06/2021,30.74,5.67,12.7,9.27,14.41,5.51,7.39,5.45,1.96,3.62,3.27,0.0,99.99
12/07/2021,30.74,5.67,12.7,9.27,14.41,5.51,7.39,5.45,1.96,3.62,3.27,0.0,99.99
12/08/2021,30.74,5.67,12.7,9.27,14.41,5.51,7.39,5.45,1.96,3.62,3.27,0.0,99.99
12/09/2021,30.74,5.67,12.7,9.27,14.41,5.51,7.39,5.45,1.96,3.62,3.27,0.0,99.99
12/10/2021,30.74,5.67,12.7,9.27,14.41,5.51,7.39,5.45,1.96,3.62,3.27,0.0,99.99
12/13/2021,30.74,5.67,12.7,9.27,14.41,5.51,7.39,5.45,1.96,3.62,3.27,0.0,99.99
12/14/2021,30.74,5.67,12.7,9.27,14.41,5.51,7.39,5.45,1.96,3.62,3.27,0.0,99.99
12/15/2021,30.74,5.67,12.7,9.27,14.41,5.51,7.39,5.45,1.96,3.62,3.27,0.0,99.99
12/16/2021,30.74,5.67,12.7,9.27,14.41,5.51,7.39,5.45,1.96,3.62,3.27,0.0,99.99
12/17/2021,30.74,5.67,12.7,9.27,14.41,5.51,7.39,5.45,1.96,3.62,3.27,0.0,99.99
12/20/2021,30.74,5.67,12.7,9.27,14.41,5.51,7.39,5.45,1.96,3.62,3.27,0.0,99.99
12/21/2021,30.3,9.09,12.75,7.39,13.7,5.79,7.44,4.38,3.03,2.74,3.4,0.0,100.01
12/22/2021,30.3,9.09,12.75,7.39,13.7,5.79,7.44,4.38,3.03,2.74,3.4,0.0,100.01
12/23/2021,30.3,9.09,12.75,7.39,13.7,5.79,7.44,4.38,3.03,2.74,3.4,0.0,100.01
12/24/2021,30.35,9.15,12.64,7.44,13.67,5.84,7.41,4.34,3.01,2.74,3.43,0.0,100.02
12/27/2021,30.61,9.01,12.58,7.4,13.98,5.68,7.41,4.34,2.99,2.68,3.32,0.0,100.0
12/28/2021,30.61,9.01,12.58,7.4,13.98,5.68,7.41,4.34,2.99,2.68,3.32,0.0,100.0
12/29/2021,30.61,9.01,12.58,7.4,13.98,5.68,7.41,4.34,2.99,2.68,3.32,0.0,100.0
12/30/2021,30.61,9.01,12.58,7.4,13.98,5.68,7.41,4.34,2.99,2.68,3.32,0.0,100.0
12/31/2021,30.83,8.98,12.53,7.37,13.92,5.66,7.38,4.37,3.0,2.69,3.29,0.0,100.02
01/03/2022,30.56,9.04,12.53,7.38,13.93,5.71,7.42,4.32,3.02,2.74,3.35,0.0,100.0
01/03/2022,30.56,9.04,12.53,7.38,13.93,5.71,7.42,4.32,3.02,2.74,3.35,0.0,100.0
01/03/2022,30.56,9.04,12.53,7.38,13.93,5.71,7.42,4.32,3.02,2.74,3.35,0.0,100.0
01/04/2022,30.56,9.04,12.53,7.38,13.93,5.71,7.42,4.32,3.02,2.74,3.35,0.0,100.0
01/05/2022,30.56,9.04,12.53,7.38,13.93,5.71,7.42,4.32,3.02,2.74,3.35,0.0,100.0
01/06/2022,30.56,9.04,12.53,7.38,13.93,5.71,7.42,4.32,3.02,2.74,3.35,0.0,100.0
01/07/2022,30.53,8.86,12.59,7.29,14.22,5.72,7.35,4.44,2.98,2.71,3.32,0.0,100.01
01/10/2022,26.05,15.93,8.83,7.26,10.49,7.97,7.61,4.71,3.09,2.67,5.41,0.0,100.02
01/11/2022,25.79,15.73,9.11,7.32,10.33,7.99,7.67,4.9,3.06,2.67,5.42,0.0,99.99
01/12/2022,25.79,15.73,9.11,7.32,10.33,7.99,7.67,4.9,3.06,2.67,5.42,0.0,99.99
01/13/2022,25.79,15.73,9.11,7.32,10.33,7.99,7.67,4.9,3.06,2.67,5.42,0.0,99.99
01/14/2022,25.86,15.93,9.1,7.29,10.29,7.95,7.6,4.89,3.04,2.66,5.39,0.0,100.0
01/17/2022,25.99,15.83,9.08,7.31,10.34,7.85,7.59,5.01,3.06,2.63,5.3,0.0,99.99
01/18/2022,25.83,15.74,9.05,7.35,10.21,7.97,7.65,5.16,3.05,2.62,5.35,0.0,99.98
01/19/2022,25.83,15.74,9.05,7.35,10.21,7.97,7.65,5.16,3.05,2.62,5.35,0.0,99.98
01/20/2022,25.83,15.74,9.05,7.35,10.21,7.97,7.65,5.16,3.05,2.62,5.35,0.0,99.98
01/21/2022,25.83,15.74,9.05,7.35,10.21,7.97,7.65,5.16,3.05,2.62,5.35,0.0,99.98
01/24/2022,25.42,15.91,8.96,7.44,10.0,8.14,7.64,5.28,3.07,2.64,5.51,0.0,100.01
01/25/2022,25.33,16.01,8.92,7.31,9.87,8.28,7.7,5.27,3.04,2.68,5.59,0.0,100.0
01/26/2022,25.33,16.01,8.92,7.31,9.87,8.28,7.7,5.27,3.04,2.68,5.59,0.0,100.0
01/27/2022,25.33,16.01,8.92,7.31,9.87,8.28,7.7,5.27,3.04,2.68,5.59,0.0,100.0
01/28/2022,25.39,15.91,8.92,7.34,9.96,8.23,7.72,5.29,3.03,2.68,5.52,0.0,99.99
01/31/2022,25.3,15.95,9.11,7.18,9.88,8.19,7.68,5.56,3.02,2.67,5.47,0.0,100.01
02/01/2022,25.74,16.02,8.98,7.26,9.67,8.19,7.53,5.49,2.99,2.66,5.48,0.0,100.01
02/02/2022,25.74,16.02,8.98,7.26,9.67,8.19,7.53,5.49,2.99,2.66,5.48,0.0,100.01
02/03/2022,25.74,16.02,8.98,7.26,9.67,8.19,7.53,5.49,2.99,2.66,5.48,0.0,100.01
02/04/2022,25.74,16.02,8.98,7.26,9.67,8.19,7.53,5.49,2.99,2.66,5.48,0.0,100.01
02/07/2022,25.87,15.79,8.98,7.32,9.88,8.03,7.54,5.59,3.01,2.61,5.39,0.0,100.01
02/08/2022,24.02,15.94,10.51,7.04,6.12,8.07,10.93,6.2,4.23,2.1,4.82,0.0,99.98
02/09/2022,24.02,15.94,10.51,7.04,6.12,8.07,10.93,6.2,4.23,2.1,4.82,0.0,99.98
02/10/2022,24.02,15.94,10.51,7.04,6.12,8.07,10.93,6.2,4.23,2.1,4.82,0.0,99.98
02/11/2022,24.04,15.96,10.63,6.88,6.17,8.08,10.99,6.12,4.26,2.08,4.8,0.0,100.01
02/14/2022,24.01,15.89,10.65,7.0,6.16,8.02,11.0,6.15,4.34,2.07,4.71,0.0,99.99999999999999
