,CRWD,ZS,OKTA,ACN,CSCO,NET,VRNS,SPLK,FTNT,CYBR,PANW,VRSN,JNPR,BAH,AKAM,FFIV,SAIL,PFPT,CHKP,RPD,VMW,LDOS,FEYE,BA.L,QLYS,TENB,SAIC,4704.T,MIME,HO.PA,AVST.L,MANT,RDWR,INFY,ATEN,RBBN,ZIXI,ULE.L,OSPN,US Dollar,TUFN,n/a,MNDT,SUM
10/26/2021,5.81,3.19,5.69,6.06,5.38,4.33,2.64,3.16,3.07,3.15,6.3,2.92,2.8,2.92,2.75,2.95,2.89,0.0,2.84,2.98,3.23,3.0,0.0,0.0,2.48,3.37,2.28,2.29,2.84,1.8,0.0,0.81,0.64,0.73,0.56,0.19,0.24,0.0,0.4,0.0,0.21,0.26,2.83,99.99
10/28/2021,5.72,3.21,5.69,6.08,5.36,4.5,2.74,3.16,3.02,3.12,6.2,2.91,2.74,2.93,2.73,2.94,2.97,0.0,2.8,3.01,3.15,2.98,0.0,0.0,2.5,3.43,2.26,2.28,2.91,1.78,0.0,0.83,0.63,0.72,0.57,0.19,0.24,0.0,0.4,0.0,0.22,0.27,2.81,100.0
10/29/2021,5.72,3.21,5.69,6.08,5.36,4.5,2.74,3.16,3.02,3.12,6.2,2.91,2.74,2.93,2.73,2.94,2.97,0.0,2.8,3.01,3.15,2.98,0.0,0.0,2.5,3.43,2.26,2.28,2.91,1.78,0.0,0.83,0.63,0.72,0.57,0.19,0.24,0.0,0.4,0.0,0.22,0.27,2.81,100.0
11/01/2021,5.8,3.29,5.38,6.14,5.52,4.42,2.72,3.12,3.01,3.07,6.26,2.82,2.97,2.85,2.68,3.04,2.94,0.0,2.74,3.06,2.96,2.91,0.0,0.0,2.55,3.51,2.16,2.33,3.12,1.79,0.0,0.82,0.62,0.72,0.58,0.18,0.24,0.0,0.39,0.0,0.22,0.27,2.79,99.99
11/02/2021,5.73,3.27,5.36,6.09,5.42,4.61,2.68,3.08,3.05,3.06,6.31,2.94,2.91,3.03,2.66,2.96,2.93,0.0,2.72,3.03,2.91,2.91,0.0,0.0,2.61,3.43,2.21,2.29,3.09,1.73,0.0,0.83,0.63,0.7,0.77,0.18,0.24,0.0,0.39,0.0,0.21,0.27,2.74,99.98
11/03/2021,5.73,3.27,5.36,6.09,5.42,4.61,2.68,3.08,3.05,3.06,6.31,2.94,2.91,3.03,2.66,2.96,2.93,0.0,2.72,3.03,2.91,2.91,0.0,0.0,2.61,3.43,2.21,2.29,3.09,1.73,0.0,0.83,0.63,0.7,0.77,0.18,0.24,0.0,0.39,0.0,0.21,0.27,2.74,99.98
11/04/2021,5.73,3.27,5.36,6.09,5.42,4.61,2.68,3.08,3.05,3.06,6.31,2.94,2.91,3.03,2.66,2.96,2.93,0.0,2.72,3.03,2.91,2.91,0.0,0.0,2.61,3.43,2.21,2.29,3.09,1.73,0.0,0.83,0.63,0.7,0.77,0.18,0.24,0.0,0.39,0.0,0.21,0.27,2.74,99.98
11/05/2021,5.44,3.33,5.48,6.12,5.56,4.54,2.58,3.07,2.97,3.09,6.28,2.97,3.07,3.05,2.64,3.12,2.96,0.0,2.66,2.88,3.14,2.85,0.0,0.0,2.61,3.4,2.22,2.3,3.08,1.75,0.0,0.84,0.62,0.71,0.63,0.19,0.23,0.0,0.39,0.0,0.21,0.23,2.77,99.98
11/15/2021,5.58,3.44,5.41,6.07,5.36,4.53,2.51,2.99,2.98,3.2,6.14,3.01,3.05,3.02,2.69,3.09,3.5,0.0,2.61,3.06,2.83,2.63,0.0,0.0,2.82,3.42,2.13,2.27,3.19,1.72,0.0,0.73,0.58,0.71,0.65,0.19,0.24,0.0,0.37,0.0,0.21,0.18,2.88,99.99
11/16/2021,5.56,3.45,5.45,6.06,5.29,4.66,2.47,3.02,2.99,3.22,6.14,3.0,3.04,3.02,2.71,3.1,3.51,0.0,2.59,3.02,2.82,2.62,0.0,0.0,2.81,3.37,2.11,2.34,3.2,1.68,0.0,0.72,0.55,0.72,0.65,0.19,0.23,0.0,0.36,0.0,0.21,0.19,2.89,99.96
11/17/2021,5.56,3.45,5.45,6.06,5.29,4.66,2.47,3.02,2.99,3.22,6.14,3.0,3.04,3.02,2.71,3.1,3.51,0.0,2.59,3.02,2.82,2.62,0.0,0.0,2.81,3.37,2.11,2.34,3.2,1.68,0.0,0.72,0.55,0.72,0.65,0.19,0.23,0.0,0.36,0.0,0.21,0.19,2.89,99.96
11/18/2021,5.05,3.47,5.51,6.11,5.42,4.78,2.44,2.51,2.97,3.28,6.27,3.09,3.1,3.03,2.67,3.17,3.51,0.0,2.6,3.04,2.85,2.68,0.0,0.0,2.79,3.4,2.14,2.36,3.31,1.71,0.0,0.73,0.55,0.72,0.65,0.19,0.24,0.0,0.36,0.0,0.21,0.2,2.9,100.01
11/24/2021,5.17,3.74,5.15,6.2,5.09,4.93,2.3,2.44,3.07,3.29,6.49,3.2,3.13,3.01,2.76,3.21,3.42,0.0,2.59,3.07,2.78,2.65,0.0,0.0,2.84,3.47,2.11,2.39,3.36,1.64,0.0,0.69,0.53,0.73,0.67,0.19,0.24,0.0,0.35,0.0,0.2,0.2,2.72,100.02
