,NOVOB.CO,DSV.CO,INVE B.ST,VWS.CO,NDA.HE,ERIC B.ST,ATCO A.ST,VOLV B.ST,KNEBV.HE,NOKIA.HE,ASSA B.ST,ORSTED.CO,SAND.ST,EVO.ST,HEXA B.ST,NESTE.HE,GMAB.CO,SAMPO.HE,DNB.OL,COLO B.CO,HMB.ST,ESSITY B.ST,EQNR.OL,SEB A.ST,CARL B.CO,SHB A.ST,MAERSK B.CO,FORTUM.HE,TEL.OL,EQT.ST,CASH,n/a,SUM
07/23/2021,15.87,5.26,4.82,4.05,4.36,3.91,4.64,3.83,3.68,3.65,3.28,3.05,3.04,2.75,3.0,2.89,2.86,2.64,2.22,2.59,2.08,2.26,2.03,2.09,1.99,1.82,1.73,1.28,1.21,1.05,0.11,0.0,100.03999999999998
07/26/2021,15.67,5.17,4.89,4.29,4.41,3.84,4.59,3.92,3.57,3.55,3.19,3.13,3.06,2.88,3.07,2.92,2.86,2.65,2.21,2.56,2.06,2.16,2.05,2.06,1.96,1.79,1.7,1.28,1.2,1.22,0.1,0.0,100.01
07/27/2021,15.67,5.17,4.89,4.29,4.41,3.84,4.59,3.92,3.57,3.55,3.19,3.13,3.06,2.88,3.07,2.92,2.86,2.65,2.21,2.56,2.06,2.16,2.05,2.06,1.96,1.79,1.7,1.28,1.2,1.22,0.1,0.0,100.01
07/29/2021,15.56,5.13,4.9,4.04,4.53,3.79,4.62,3.94,3.53,3.57,3.18,3.04,3.06,3.14,3.08,3.02,2.84,2.64,2.21,2.55,2.06,2.14,2.09,2.07,1.96,1.8,1.71,1.28,1.19,1.25,0.09,0.0,100.00999999999998
07/30/2021,15.72,5.15,4.91,3.97,4.55,3.73,4.64,3.91,3.55,3.55,3.19,3.03,3.07,3.15,3.15,2.78,2.81,2.65,2.21,2.55,2.06,2.14,2.07,2.08,1.98,1.82,1.73,1.3,1.21,1.22,0.09,0.0,99.97
08/02/2021,15.85,5.06,4.91,3.97,4.52,3.73,4.61,3.88,3.49,3.71,3.2,3.04,3.08,3.09,3.16,2.75,2.84,2.62,2.28,2.6,2.04,2.14,2.06,2.1,1.98,1.81,1.67,1.3,1.2,1.2,0.09,0.0,99.98
08/03/2021,15.85,5.06,4.91,3.97,4.52,3.73,4.61,3.88,3.49,3.71,3.2,3.04,3.08,3.09,3.16,2.75,2.84,2.62,2.28,2.6,2.04,2.14,2.06,2.1,1.98,1.81,1.67,1.3,1.2,1.2,0.09,0.0,99.98
08/04/2021,16.12,5.16,4.86,4.0,4.49,3.72,4.6,3.84,3.51,3.72,3.16,3.01,3.03,2.98,3.18,2.75,2.88,2.62,2.26,2.61,1.98,2.14,2.02,2.1,1.95,1.8,1.71,1.28,1.19,1.18,0.14,0.0,99.99
08/05/2021,16.06,5.06,4.88,4.06,4.48,3.78,4.61,3.85,3.5,3.73,3.16,3.02,3.01,2.98,3.2,2.71,2.87,2.61,2.26,2.61,1.99,2.15,2.06,2.09,1.92,1.8,1.73,1.28,1.19,1.21,0.13,0.0,99.99
08/06/2021,16.12,5.03,4.86,4.12,4.52,3.74,4.61,3.81,3.51,3.78,3.15,3.01,3.01,2.81,3.24,2.69,2.93,2.63,2.25,2.66,1.98,2.14,2.05,2.11,1.89,1.8,1.7,1.3,1.19,1.24,0.13,0.0,100.00999999999998
08/10/2021,17.34,4.92,4.84,4.13,4.47,3.64,4.59,3.73,3.43,3.68,3.09,2.97,2.92,2.71,3.2,2.64,2.92,2.66,2.25,2.62,1.93,2.07,2.02,2.08,1.84,1.78,1.65,1.29,1.18,1.26,0.0,0.12,99.97000000000004
08/11/2021,17.04,4.9,4.81,4.21,4.52,3.69,4.62,3.75,3.46,3.69,3.11,3.01,2.95,2.7,3.18,2.66,2.83,2.68,2.3,2.55,1.94,2.09,2.07,2.09,1.84,1.8,1.67,1.3,1.17,1.25,0.0,0.12,100.0
08/13/2021,17.13,4.89,4.82,4.16,4.52,3.7,4.64,3.7,3.45,3.64,3.11,3.1,2.91,2.75,3.15,2.64,2.83,2.69,2.29,2.54,1.92,2.08,2.06,2.09,1.81,1.8,1.71,1.31,1.17,1.25,0.0,0.12,99.98
08/16/2021,17.33,4.97,4.82,3.91,4.49,3.68,4.67,3.72,3.43,3.58,3.18,2.94,3.02,2.66,3.18,2.61,2.89,2.72,2.3,2.51,1.92,2.06,2.13,2.08,1.77,1.8,1.81,1.29,1.19,1.22,0.0,0.12,100.0
08/18/2021,17.26,4.99,4.8,4.03,4.48,3.65,4.6,3.71,3.41,3.61,3.19,3.02,2.97,2.71,3.16,2.57,2.89,2.72,2.3,2.49,1.91,2.06,2.13,2.08,1.78,1.82,1.77,1.29,1.19,1.22,0.0,0.2,100.01
08/19/2021,17.53,5.1,4.64,4.06,4.45,3.63,4.58,3.69,3.4,3.61,3.2,3.01,2.93,2.67,3.16,2.54,2.89,2.73,2.3,2.51,1.86,2.07,2.11,2.05,1.81,1.8,1.77,1.3,1.19,1.21,0.0,0.2,100.0
08/20/2021,17.76,5.21,4.68,3.97,4.39,3.62,4.53,3.63,3.39,3.59,3.18,3.03,2.88,2.68,3.17,2.53,2.9,2.72,2.28,2.5,1.85,2.08,2.14,2.03,1.8,1.76,1.78,1.3,1.19,1.21,0.0,0.19,99.96999999999998
08/23/2021,18.2,5.21,4.57,4.2,4.34,3.61,4.46,3.51,3.43,3.56,3.07,3.21,2.77,2.65,3.13,2.51,2.94,2.73,2.26,2.5,1.83,2.07,2.05,1.99,1.8,1.74,1.77,1.34,1.19,1.19,0.0,0.19,100.02
08/24/2021,18.2,5.21,4.57,4.2,4.34,3.61,4.46,3.51,3.43,3.56,3.07,3.21,2.77,2.65,3.13,2.51,2.94,2.73,2.26,2.5,1.83,2.07,2.05,1.99,1.8,1.74,1.77,1.34,1.19,1.19,0.0,0.19,100.02
08/25/2021,18.2,5.21,4.57,4.2,4.34,3.61,4.46,3.51,3.43,3.56,3.07,3.21,2.77,2.65,3.13,2.51,2.94,2.73,2.26,2.5,1.83,2.07,2.05,1.99,1.8,1.74,1.77,1.34,1.19,1.19,0.0,0.19,100.02
08/26/2021,18.0,5.16,4.56,4.25,4.36,3.62,4.54,3.54,3.41,3.56,3.07,3.25,2.79,2.7,3.16,2.52,2.97,2.71,2.25,2.46,1.87,2.05,2.09,2.01,1.78,1.75,1.7,1.34,1.18,1.21,0.0,0.18,100.04000000000002
08/27/2021,17.64,5.14,4.54,4.33,4.4,3.68,4.57,3.57,3.43,3.56,3.08,3.26,2.81,2.74,3.16,2.57,2.93,2.74,2.28,2.41,1.88,2.03,2.11,2.01,1.79,1.75,1.67,1.36,1.18,1.19,0.0,0.18,99.99000000000002
08/30/2021,17.63,5.1,4.49,4.31,4.39,3.77,4.54,3.58,3.45,3.59,3.07,3.14,2.89,2.8,3.16,2.59,2.93,2.73,2.3,2.42,1.82,2.03,2.13,2.03,1.77,1.76,1.7,1.36,1.17,1.18,0.0,0.18,100.01
08/31/2021,17.63,5.1,4.49,4.31,4.39,3.77,4.54,3.58,3.45,3.59,3.07,3.14,2.89,2.8,3.16,2.59,2.93,2.73,2.3,2.42,1.82,2.03,2.13,2.03,1.77,1.76,1.7,1.36,1.17,1.18,0.0,0.18,100.01
09/01/2021,17.29,5.17,4.51,4.25,4.42,3.74,4.58,3.62,3.49,3.58,3.1,3.1,2.91,2.78,3.2,2.59,2.92,2.73,2.33,2.41,1.84,2.04,2.18,2.04,1.78,1.76,1.71,1.35,1.18,1.2,0.0,0.18,99.98
09/02/2021,17.21,5.23,4.55,4.24,4.4,3.74,4.58,3.61,3.46,3.58,3.1,3.11,2.95,2.7,3.23,2.59,2.94,2.73,2.32,2.41,1.84,2.07,2.17,2.04,1.79,1.76,1.73,1.36,1.19,1.21,0.0,0.18,100.02000000000001
