,HP,FTI,HAL,SLB,CHX,LBRT,BKR,NOV,RIG,PTEN,OII,USAC,WHD,FRO.OL,STNG,CLB,AROC,AGPXX,Scorpio Tankers Inc,Securities Lending - Bnym,Cash/Receivables/Payables,n/a,688008.SS,FRO,OIH,VDE,XLE,SUM
09/02/2021,7.73,6.52,7.29,7.18,7.5,5.63,7.5,6.59,5.27,5.17,4.8,5.29,5.98,4.52,3.92,3.99,4.66,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/03/2021,8.67,8.4,8.33,8.31,8.51,6.11,8.58,8.39,8.91,6.55,0.0,6.26,6.52,5.89,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/06/2021,8.62,8.39,8.33,8.27,8.33,6.16,8.58,8.28,9.21,6.58,0.0,6.24,6.41,6.18,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/07/2021,8.6,8.35,8.36,8.27,8.38,6.17,8.68,8.2,9.23,6.52,0.0,6.29,6.31,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,6.22,0.0,0.0,0.0,100.01
09/08/2021,8.6,8.35,8.36,8.27,8.38,6.17,8.68,8.2,9.23,6.52,0.0,6.29,6.31,6.22,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/09/2021,8.6,8.35,8.36,8.27,8.38,6.17,8.67,8.2,9.23,6.52,0.0,6.29,6.31,6.22,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/10/2021,8.78,8.32,8.25,8.19,8.16,6.23,8.62,8.27,9.38,6.52,0.0,6.23,6.24,6.4,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/13/2021,8.83,8.12,8.17,8.0,8.21,6.05,8.98,8.22,9.06,6.68,0.0,6.39,6.21,6.65,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/14/2021,8.74,8.42,8.23,8.02,8.19,5.94,9.09,8.42,8.83,6.63,0.0,6.39,6.24,6.43,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/15/2021,8.74,8.42,8.23,8.02,8.19,5.94,9.08,8.42,8.83,6.63,0.0,6.39,6.24,6.43,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/16/2021,8.64,8.45,8.29,8.1,8.25,6.27,8.94,8.36,8.84,6.98,0.0,6.16,6.13,6.17,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/17/2021,8.47,8.6,8.28,8.11,8.14,6.34,9.07,8.52,8.74,6.76,0.0,6.27,6.04,6.23,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000002
09/20/2021,8.36,8.77,8.35,8.31,8.25,6.41,8.93,8.55,8.44,6.59,0.0,6.31,6.02,6.29,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/21/2021,8.4,8.9,8.42,8.36,7.8,6.35,8.99,8.5,8.36,6.63,0.0,6.4,6.0,6.46,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/22/2021,8.4,8.9,8.42,8.36,7.8,6.35,8.99,8.5,8.36,6.63,0.0,6.4,6.0,6.46,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/23/2021,8.59,8.75,8.46,8.36,7.94,6.36,8.93,8.51,8.3,6.62,0.0,6.46,6.04,6.24,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/24/2021,8.5,8.71,8.37,8.22,7.82,6.5,9.03,8.15,8.23,6.7,0.0,6.58,5.98,6.53,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/27/2021,8.39,8.77,8.44,8.32,7.81,6.61,8.81,7.99,8.47,7.03,0.0,6.42,5.94,6.43,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/28/2021,8.39,8.84,8.48,8.32,7.72,6.66,8.83,7.99,8.29,7.04,0.0,6.31,5.88,6.67,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/29/2021,8.39,8.84,8.48,8.32,7.72,6.66,8.84,7.99,8.29,7.04,0.0,6.31,5.88,6.67,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/30/2021,8.21,8.79,8.45,8.18,7.75,6.96,8.59,7.84,8.91,7.1,0.0,6.09,5.95,6.63,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
10/07/2021,8.55,8.82,8.45,8.05,7.82,6.88,8.44,7.67,8.74,7.31,0.0,6.07,6.25,6.6,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
10/08/2021,8.8,8.76,8.52,7.91,7.87,6.89,8.34,7.89,8.61,7.18,0.0,6.05,6.17,6.63,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/11/2021,8.7,8.73,8.63,8.13,7.85,7.09,8.26,7.93,8.5,6.83,0.0,6.13,6.25,6.57,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.0
10/12/2021,8.61,8.95,8.66,8.14,7.97,7.13,8.25,8.08,8.51,6.65,0.0,6.07,6.34,6.26,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/13/2021,8.61,8.95,8.66,8.14,7.97,7.13,8.25,8.08,8.51,6.65,0.0,6.07,6.34,6.26,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/14/2021,8.57,8.63,8.89,8.3,7.9,7.13,8.28,7.99,8.58,6.56,0.0,6.15,6.27,6.37,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/15/2021,8.65,8.4,8.84,8.43,7.99,7.43,8.4,8.02,8.19,6.44,0.0,6.14,6.35,6.33,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/18/2021,8.79,8.4,8.79,8.44,7.98,7.53,8.59,7.91,8.3,6.44,0.0,6.09,6.21,6.14,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/19/2021,8.8,8.34,9.04,8.4,8.03,7.59,8.45,7.96,8.37,6.39,0.0,6.04,6.09,6.13,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/20/2021,8.8,8.34,9.04,8.4,8.03,7.59,8.45,7.96,8.37,6.39,0.0,6.04,6.09,6.13,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/21/2021,9.13,8.08,8.96,8.36,7.99,7.62,8.4,7.86,8.09,6.58,0.0,6.03,6.33,6.19,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/22/2021,9.16,8.07,8.92,8.38,7.88,7.49,8.29,8.01,8.3,6.4,0.0,5.97,6.33,6.44,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/25/2021,9.28,7.92,8.89,8.55,7.82,7.85,7.69,7.9,8.23,6.54,0.0,6.1,6.56,6.32,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
10/26/2021,9.25,8.22,9.09,8.46,7.74,7.56,7.82,7.98,8.22,6.49,0.0,5.9,6.56,6.37,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/27/2021,9.25,8.22,9.09,8.46,7.74,7.56,7.82,7.98,8.22,6.49,0.0,5.9,6.56,6.37,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/28/2021,9.1,8.18,9.11,8.49,7.71,7.72,7.9,7.78,8.31,6.65,0.0,5.71,6.67,6.34,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/29/2021,9.03,8.28,9.08,8.45,7.7,7.76,8.06,7.74,8.29,6.91,0.0,5.58,6.59,6.2,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/01/2021,8.91,8.26,9.19,8.49,8.18,7.08,8.22,8.08,7.97,6.6,0.0,5.81,6.62,6.28,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/02/2021,9.1,8.45,9.51,8.67,8.69,5.12,8.57,5.18,5.21,5.14,0.0,5.2,5.13,5.22,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,4.16,3.19,3.11,100.01
11/03/2021,9.1,8.45,9.51,8.67,8.69,5.12,8.57,5.18,5.21,5.14,0.0,5.2,5.13,5.22,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,4.16,3.19,3.11,100.01
11/04/2021,9.1,8.45,9.51,8.67,8.69,5.12,8.57,5.18,5.21,5.14,0.0,5.2,5.13,5.22,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,4.16,3.19,3.11,100.01
11/05/2021,8.35,7.63,8.42,7.83,7.84,6.04,7.76,7.32,7.35,6.05,0.0,5.43,6.1,5.81,0.0,0.0,0.0,8.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/08/2021,9.45,8.17,8.93,8.58,8.47,6.53,8.21,8.18,7.98,6.71,0.0,5.78,6.41,6.4,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
