,939 HK,2318 HK,1398 HK,3988 HK,3968 HK,2628 HK,1288 HK,2601 HK,2328.HK,3328 HK,1658 HK,6030 HK,600036 C1,998 HK,CASH,3908 HK,1339 HK,1336 HK,601166 C1,966.HK,1988 HK,6837 HK,3360.HK,NOAH,6881 HK,6886 HK,6060.HK,1359.HK,1776 HK,300059 C2,6818 HK,600000 C1,3618 HK,165.HK,600030 C1,002142 C2,2799.HK,601288 C1,QFIN,601328 C1,601601 C1,LU,600016 C1,601818 C1,600999 C1,601211 C1,601398 C1,600919 C1,601658 C1,600926 C1,601009 C1,600837 C1,601688 C1,601229 C1,601988 C1,601169 C1,000166 C2,601336 C1,601628 C1,TIGR,9668.HK,000776 C2,601788 C1,601901 C1,600015 C1,601838 C1,601066 C1,601377 C1,300033 C2,601916 C1,600958 C1,600061 C1,600109 C1,601162 C1,002797 C2,601878 C1,601995 C1,002736 C2,601555 C1,002673 C2,000783 C2,600369 C1,601881 C1,000728 C2,601198 C1,601108 C1,601990 C1,600705 C1,601077 C1,601319 C1,002500 C2,600909 C1,601099 C1,002926 C2,002958 C2,000627 C2,000750 C2,601456 C1,000686 C2,002939 C2,000987,601128,601318,601696,000001,601939 C1,000987 C2,002939,601128 C1,n/a,600918,601939,600918 C1,601696 C1,601318 C1,000001 C2,601456,SUM
07/23/2021,8.76,8.73,8.58,7.66,7.44,3.44,2.82,2.48,2.11,1.88,1.91,1.86,1.8,1.6,0.14,1.56,1.3,1.1,1.16,1.11,1.16,1.16,1.1,1.0,1.01,1.01,1.09,0.94,0.96,0.97,0.84,0.78,0.78,0.73,0.67,0.62,0.62,0.62,0.5,0.52,0.51,0.45,0.42,0.4,0.43,0.4,0.39,0.38,0.39,0.35,0.34,0.37,0.34,0.33,0.35,0.33,0.32,0.3,0.28,0.25,0.31,0.28,0.27,0.28,0.25,0.24,0.25,0.26,0.23,0.24,0.26,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.17,0.18,0.19,0.19,0.18,0.18,0.17,0.18,0.16,0.16,0.16,0.16,0.18,0.14,0.15,0.14,0.13,0.14,0.13,0.13,0.12,0.0,0.12,0.05,0.05,0.04,0.03,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
07/26/2021,8.71,8.74,8.53,7.61,7.45,3.43,2.77,2.56,2.06,1.88,1.9,1.89,1.79,1.6,0.15,1.54,1.28,1.12,1.15,1.12,1.13,1.17,1.07,0.99,1.02,1.02,1.17,0.93,0.97,1.04,0.82,0.79,0.78,0.73,0.68,0.62,0.6,0.62,0.5,0.51,0.53,0.42,0.42,0.4,0.43,0.4,0.39,0.38,0.37,0.34,0.34,0.37,0.35,0.32,0.35,0.32,0.32,0.3,0.28,0.25,0.29,0.29,0.28,0.28,0.25,0.24,0.26,0.27,0.24,0.23,0.27,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.18,0.18,0.19,0.19,0.19,0.18,0.18,0.17,0.19,0.16,0.16,0.16,0.16,0.18,0.14,0.15,0.14,0.13,0.14,0.13,0.14,0.13,0.0,0.12,0.05,0.05,0.04,0.03,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/27/2021,8.71,8.74,8.53,7.61,7.45,3.43,2.77,2.56,2.06,1.88,1.9,1.89,1.79,1.6,0.15,1.54,1.28,1.12,1.15,1.12,1.13,1.17,1.07,0.99,1.02,1.02,1.17,0.93,0.97,1.04,0.82,0.79,0.78,0.73,0.68,0.62,0.6,0.62,0.5,0.51,0.53,0.42,0.42,0.4,0.43,0.4,0.39,0.38,0.37,0.34,0.34,0.37,0.35,0.32,0.35,0.32,0.32,0.3,0.28,0.25,0.29,0.29,0.28,0.28,0.25,0.24,0.26,0.27,0.24,0.23,0.27,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.18,0.18,0.19,0.19,0.19,0.18,0.18,0.17,0.19,0.16,0.16,0.16,0.16,0.18,0.14,0.15,0.14,0.13,0.14,0.13,0.14,0.13,0.0,0.12,0.05,0.05,0.04,0.03,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/29/2021,8.88,8.42,8.73,7.81,7.26,3.38,2.85,2.52,2.06,1.9,1.94,1.86,1.75,1.62,0.14,1.44,1.28,1.09,1.11,1.12,1.11,1.17,1.14,0.94,1.03,1.01,1.11,0.95,1.09,1.0,0.82,0.79,0.78,0.73,0.68,0.61,0.62,0.63,0.46,0.52,0.52,0.4,0.42,0.4,0.44,0.4,0.4,0.38,0.38,0.34,0.32,0.37,0.35,0.33,0.36,0.33,0.33,0.29,0.27,0.23,0.3,0.31,0.28,0.29,0.25,0.23,0.25,0.28,0.24,0.24,0.29,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.19,0.19,0.18,0.18,0.18,0.19,0.17,0.17,0.15,0.16,0.18,0.14,0.15,0.14,0.13,0.14,0.13,0.14,0.13,0.0,0.12,0.05,0.05,0.04,0.03,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/30/2021,9.24,8.26,9.03,8.05,7.18,3.36,2.91,2.45,2.0,1.95,1.93,1.86,1.73,1.62,0.14,1.37,1.27,1.07,1.09,1.09,1.1,1.17,1.14,0.88,1.02,1.0,1.0,0.93,1.08,0.96,0.83,0.78,0.78,0.72,0.67,0.59,0.62,0.64,0.43,0.53,0.51,0.39,0.42,0.4,0.43,0.4,0.4,0.37,0.39,0.33,0.32,0.36,0.34,0.33,0.37,0.33,0.33,0.29,0.27,0.21,0.31,0.31,0.28,0.29,0.25,0.23,0.24,0.27,0.23,0.24,0.28,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.15,0.16,0.18,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.13,0.0,0.12,0.05,0.05,0.04,0.03,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
08/02/2021,8.96,8.5,8.73,7.87,7.45,3.4,2.89,2.46,2.0,1.94,1.98,1.91,1.79,1.64,0.17,1.42,1.27,1.07,1.08,1.09,1.07,1.15,1.15,0.93,1.01,1.0,1.09,0.93,1.13,0.99,0.83,0.78,0.77,0.71,0.68,0.6,0.61,0.64,0.41,0.52,0.49,0.39,0.42,0.4,0.42,0.4,0.4,0.36,0.38,0.33,0.32,0.36,0.34,0.33,0.36,0.32,0.32,0.28,0.26,0.23,0.31,0.32,0.28,0.29,0.25,0.23,0.24,0.27,0.23,0.23,0.27,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.2,0.19,0.18,0.18,0.17,0.19,0.18,0.17,0.15,0.16,0.18,0.14,0.15,0.14,0.13,0.14,0.13,0.14,0.13,0.0,0.12,0.05,0.05,0.04,0.03,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
08/03/2021,8.96,8.5,8.73,7.87,7.45,3.4,2.89,2.46,2.0,1.94,1.98,1.91,1.79,1.64,0.17,1.42,1.27,1.07,1.08,1.09,1.07,1.15,1.15,0.93,1.01,1.0,1.09,0.93,1.13,0.99,0.83,0.78,0.77,0.71,0.68,0.6,0.61,0.64,0.41,0.52,0.49,0.39,0.42,0.4,0.42,0.4,0.4,0.36,0.38,0.33,0.32,0.36,0.34,0.33,0.36,0.32,0.32,0.28,0.26,0.23,0.31,0.32,0.28,0.29,0.25,0.23,0.24,0.27,0.23,0.23,0.27,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.2,0.19,0.18,0.18,0.17,0.19,0.18,0.17,0.15,0.16,0.18,0.14,0.15,0.14,0.13,0.14,0.13,0.14,0.13,0.0,0.12,0.05,0.05,0.04,0.03,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
08/04/2021,9.05,8.64,8.74,7.94,7.27,3.42,2.89,2.5,2.03,1.94,1.99,1.91,1.75,1.62,0.17,1.41,1.28,1.08,1.07,1.09,1.06,1.15,1.14,0.94,1.02,1.01,1.07,0.93,1.1,0.97,0.83,0.78,0.79,0.73,0.67,0.59,0.61,0.64,0.39,0.52,0.5,0.4,0.42,0.4,0.41,0.39,0.4,0.35,0.38,0.33,0.31,0.36,0.34,0.33,0.36,0.32,0.32,0.29,0.27,0.23,0.32,0.31,0.27,0.29,0.25,0.23,0.24,0.27,0.22,0.23,0.26,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.18,0.18,0.19,0.19,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.15,0.16,0.18,0.14,0.15,0.14,0.13,0.14,0.12,0.13,0.13,0.0,0.12,0.05,0.04,0.04,0.03,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
08/05/2021,8.94,8.5,8.65,7.83,7.28,3.39,2.86,2.54,2.07,1.93,2.01,1.93,1.76,1.62,0.16,1.44,1.28,1.08,1.07,1.09,1.07,1.17,1.15,0.95,1.03,1.02,1.1,0.96,1.17,1.01,0.84,0.77,0.78,0.73,0.68,0.59,0.6,0.63,0.39,0.52,0.51,0.39,0.41,0.4,0.41,0.4,0.39,0.35,0.38,0.33,0.31,0.36,0.34,0.33,0.36,0.32,0.33,0.28,0.26,0.24,0.32,0.33,0.28,0.28,0.25,0.23,0.24,0.28,0.23,0.23,0.29,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.19,0.19,0.18,0.18,0.17,0.19,0.18,0.16,0.14,0.16,0.18,0.14,0.15,0.13,0.13,0.14,0.13,0.13,0.13,0.0,0.12,0.05,0.05,0.04,0.03,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/06/2021,8.95,8.57,8.6,7.84,7.33,3.38,2.86,2.56,2.12,1.94,2.01,1.94,1.75,1.62,0.16,1.45,1.27,1.08,1.05,1.09,1.06,1.17,1.14,0.94,1.04,1.03,1.07,0.96,1.2,1.01,0.84,0.77,0.78,0.74,0.67,0.59,0.6,0.62,0.38,0.51,0.51,0.38,0.41,0.39,0.41,0.39,0.39,0.35,0.38,0.32,0.31,0.36,0.34,0.32,0.35,0.32,0.33,0.28,0.26,0.23,0.32,0.34,0.27,0.27,0.25,0.22,0.24,0.29,0.23,0.22,0.3,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.19,0.19,0.17,0.18,0.17,0.19,0.18,0.16,0.14,0.16,0.17,0.14,0.15,0.13,0.13,0.14,0.13,0.13,0.13,0.0,0.11,0.05,0.05,0.03,0.03,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/10/2021,9.01,8.58,8.59,7.85,7.25,3.39,2.82,2.57,2.12,1.94,2.04,1.95,1.73,1.61,0.0,1.45,1.27,1.09,1.04,1.09,1.06,1.19,1.18,0.98,1.04,1.04,1.07,0.97,1.19,1.0,0.83,0.77,0.77,0.76,0.67,0.58,0.61,0.62,0.38,0.52,0.51,0.37,0.41,0.39,0.41,0.39,0.39,0.35,0.39,0.32,0.3,0.36,0.33,0.33,0.36,0.32,0.32,0.27,0.26,0.24,0.31,0.34,0.27,0.27,0.25,0.22,0.23,0.28,0.23,0.23,0.29,0.2,0.2,0.19,0.2,0.19,0.19,0.2,0.19,0.18,0.19,0.19,0.19,0.17,0.17,0.17,0.19,0.17,0.16,0.14,0.16,0.17,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.11,0.05,0.04,0.03,0.03,0.12,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/11/2021,9.01,8.54,8.59,7.83,7.29,3.38,2.82,2.56,2.11,1.91,2.03,1.95,1.77,1.61,0.0,1.47,1.26,1.09,1.05,1.09,1.05,1.19,1.19,0.98,1.04,1.04,1.04,0.97,1.2,1.01,0.82,0.77,0.78,0.75,0.67,0.57,0.61,0.62,0.37,0.52,0.5,0.37,0.41,0.4,0.41,0.39,0.39,0.35,0.39,0.31,0.3,0.36,0.33,0.33,0.36,0.32,0.32,0.27,0.26,0.24,0.32,0.33,0.27,0.27,0.25,0.22,0.24,0.28,0.23,0.23,0.29,0.2,0.2,0.19,0.2,0.19,0.19,0.2,0.19,0.18,0.19,0.19,0.19,0.17,0.18,0.17,0.19,0.18,0.16,0.14,0.16,0.17,0.14,0.15,0.13,0.13,0.14,0.13,0.13,0.13,0.0,0.11,0.05,0.05,0.04,0.03,0.12,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/13/2021,8.85,8.48,8.42,7.66,7.53,3.32,2.78,2.54,2.13,1.9,2.08,1.97,1.82,1.59,0.0,1.49,1.26,1.1,1.09,1.12,1.07,1.18,1.16,0.98,1.03,1.01,1.06,0.98,1.25,1.01,0.83,0.76,0.78,0.74,0.68,0.62,0.6,0.61,0.37,0.51,0.51,0.41,0.41,0.39,0.43,0.39,0.38,0.38,0.39,0.35,0.32,0.36,0.33,0.32,0.35,0.32,0.32,0.28,0.26,0.24,0.31,0.35,0.27,0.27,0.24,0.23,0.24,0.29,0.23,0.22,0.33,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.19,0.19,0.17,0.18,0.17,0.2,0.17,0.16,0.14,0.16,0.17,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.11,0.05,0.05,0.04,0.03,0.12,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/16/2021,8.99,8.29,8.56,7.72,7.67,3.3,2.8,2.48,2.13,1.91,2.15,1.97,1.83,1.61,0.0,1.46,1.24,1.1,1.09,1.12,1.08,1.19,1.15,0.99,1.02,1.02,0.92,0.98,1.25,0.96,0.84,0.76,0.79,0.75,0.67,0.61,0.61,0.61,0.35,0.51,0.5,0.41,0.4,0.39,0.42,0.39,0.39,0.38,0.41,0.35,0.32,0.36,0.33,0.32,0.35,0.31,0.32,0.27,0.26,0.23,0.34,0.36,0.26,0.26,0.24,0.23,0.24,0.29,0.23,0.22,0.32,0.21,0.19,0.19,0.2,0.19,0.19,0.2,0.19,0.18,0.18,0.19,0.19,0.17,0.18,0.17,0.2,0.17,0.16,0.14,0.15,0.17,0.13,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.11,0.05,0.05,0.04,0.03,0.12,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/18/2021,9.02,8.21,8.53,7.71,7.75,3.29,2.8,2.5,2.14,1.91,2.21,1.98,1.85,1.61,0.0,1.43,1.24,1.09,1.09,1.12,1.07,1.19,1.14,0.98,1.01,1.02,0.88,0.98,1.24,0.96,0.84,0.76,0.78,0.75,0.69,0.63,0.61,0.61,0.34,0.51,0.5,0.4,0.4,0.39,0.42,0.39,0.39,0.38,0.41,0.35,0.32,0.36,0.33,0.32,0.35,0.31,0.32,0.27,0.26,0.22,0.33,0.36,0.26,0.26,0.24,0.23,0.24,0.29,0.23,0.22,0.32,0.21,0.19,0.19,0.2,0.19,0.19,0.2,0.19,0.18,0.18,0.19,0.19,0.17,0.18,0.17,0.19,0.17,0.16,0.14,0.16,0.17,0.14,0.15,0.13,0.13,0.13,0.14,0.13,0.13,0.0,0.11,0.05,0.05,0.04,0.03,0.12,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000002
08/19/2021,9.04,8.33,8.55,7.65,7.72,3.31,2.8,2.52,2.13,1.91,2.21,1.97,1.83,1.61,0.0,1.44,1.26,1.1,1.09,1.12,1.07,1.18,1.15,0.95,1.01,1.01,0.9,0.98,1.24,0.96,0.83,0.76,0.78,0.75,0.68,0.6,0.6,0.61,0.3,0.52,0.5,0.4,0.4,0.4,0.42,0.4,0.39,0.37,0.41,0.35,0.32,0.36,0.33,0.32,0.35,0.32,0.32,0.27,0.26,0.2,0.32,0.36,0.26,0.26,0.24,0.23,0.24,0.29,0.24,0.22,0.33,0.21,0.19,0.19,0.2,0.19,0.19,0.2,0.2,0.18,0.19,0.19,0.19,0.17,0.18,0.17,0.19,0.17,0.16,0.14,0.16,0.17,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.11,0.05,0.04,0.04,0.03,0.12,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
