,NTLA,2269.HK,ILMN,MRNA,NTRA,RGEN,BNTX,LONN.SW,VEEV,TXG,CTLT,CRL,TMO,PACB,GH,A,EVT.DE,CYRX,CRSP,FATE,BRKR,BEAM,NVDA,MEDP,—,ICLR,RCKT,EXAS,NEO,NSTG,PPD,MRVI,BIO,IQV,PKI,TECH,NVTA,CTVA,TWST,SANA,CERT,BRKS,QGEN,EDIT,TSHA,TDOC,BLI,RARE,VCYT,LGND,BIM.PA,AMWL,PTCT,SEER,688180.SS,601019.SS,AVTR,n/a,ACCD,DHR,AZN,GSK,SDGR,DVAX,DNAY,VCEL,QTRX,OLK,207940.KS,SUM
08/11/2021,6.92,4.5,4.91,8.15,4.43,5.14,7.28,3.31,3.26,2.39,2.87,2.77,2.53,2.16,1.4,2.07,1.76,1.74,1.55,1.78,1.69,1.38,1.32,1.31,2.31,1.47,0.41,1.02,1.18,1.07,1.01,1.34,1.06,0.92,1.09,0.95,0.78,0.81,0.64,0.73,0.76,0.63,0.68,0.69,0.5,0.39,0.38,0.0,0.44,0.31,0.39,0.0,0.26,0.21,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/12/2021,6.47,4.46,4.88,9.32,4.24,5.11,8.17,3.25,3.12,2.36,2.81,2.71,2.49,2.16,1.37,2.03,1.77,1.7,1.53,1.74,1.65,1.33,1.28,1.26,2.25,1.43,0.39,0.99,1.13,1.06,0.99,1.29,1.04,0.89,1.07,0.92,0.75,0.8,0.63,0.71,0.73,0.63,0.66,0.7,0.48,0.39,0.37,0.0,0.43,0.31,0.39,0.0,0.25,0.21,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/13/2021,6.48,4.67,5.03,9.05,4.01,5.15,7.84,3.35,3.09,2.32,2.83,2.77,2.56,2.06,1.3,2.09,1.82,1.71,1.54,1.7,1.7,1.34,1.3,1.29,2.31,1.45,0.39,0.97,1.08,1.0,1.02,1.25,1.08,0.92,1.08,0.92,0.71,0.83,0.59,0.77,0.74,0.63,0.67,0.76,0.5,0.39,0.38,0.0,0.41,0.32,0.4,0.0,0.26,0.21,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/16/2021,6.79,4.48,5.16,7.9,3.95,5.36,7.17,3.42,3.16,2.31,2.91,2.83,2.61,2.1,1.33,2.15,1.98,1.7,1.57,1.72,1.73,1.38,1.32,1.31,2.36,1.49,0.37,0.99,1.11,1.03,1.03,1.4,1.11,0.93,1.09,0.94,0.75,0.86,0.63,0.8,0.79,0.63,0.68,0.83,0.49,0.39,0.35,0.0,0.41,0.32,0.4,0.0,0.27,0.2,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/17/2021,6.59,4.57,5.23,7.87,3.91,5.42,7.24,3.45,3.17,2.3,2.92,2.85,2.63,2.02,1.27,2.17,2.05,1.65,1.47,1.66,1.74,1.32,1.34,1.35,0.0,1.49,0.36,0.95,1.1,1.01,1.03,1.47,1.13,0.94,1.1,0.94,0.71,0.86,0.59,0.79,0.79,0.63,0.68,0.79,0.49,0.39,0.36,0.0,0.39,0.31,0.41,0.0,0.27,0.22,0.0,2.64,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/18/2021,6.61,4.58,5.25,7.89,3.92,5.43,7.26,3.46,3.18,2.31,2.93,2.86,2.64,2.03,1.28,2.17,2.05,1.65,1.48,1.66,1.74,1.32,1.34,1.35,2.36,1.5,0.36,0.96,1.11,1.01,1.04,1.47,1.13,0.94,1.1,0.95,0.71,0.86,0.59,0.79,0.79,0.63,0.68,0.8,0.49,0.39,0.36,0.0,0.39,0.31,0.41,0.0,0.27,0.22,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/19/2021,6.58,4.59,5.4,7.68,3.98,5.47,6.69,3.55,3.2,2.33,2.98,2.93,2.72,1.98,1.26,2.24,2.08,1.64,1.45,1.7,1.79,1.35,1.35,1.42,2.41,1.53,0.37,0.97,1.11,0.98,1.05,1.43,1.15,0.98,1.13,0.98,0.7,0.85,0.57,0.78,0.78,0.63,0.7,0.77,0.45,0.38,0.35,0.0,0.38,0.32,0.42,0.0,0.26,0.21,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/20/2021,6.56,4.27,5.34,8.19,3.91,5.45,7.09,3.57,3.16,2.36,2.95,2.92,2.71,1.9,1.27,2.21,2.11,1.6,1.41,1.63,1.76,1.35,1.3,1.37,2.39,1.52,0.38,0.97,1.11,0.96,1.04,1.51,1.14,0.98,1.11,0.97,0.71,0.85,0.58,0.81,0.75,0.6,0.7,0.78,0.5,0.38,0.33,0.0,0.37,0.32,0.42,0.0,0.26,0.2,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/23/2021,6.32,4.39,4.92,7.84,4.14,5.64,6.58,3.7,3.24,2.29,3.03,3.02,2.75,1.83,1.28,2.36,2.12,1.67,1.4,1.69,1.82,1.32,1.36,1.38,2.45,1.59,0.34,0.96,1.15,0.96,1.07,1.54,1.16,1.0,1.13,1.0,0.68,0.82,0.59,0.82,0.8,0.61,0.72,0.76,0.48,0.38,0.32,0.0,0.37,0.31,0.43,0.0,0.26,0.21,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/24/2021,6.43,3.99,5.01,7.86,4.25,5.61,6.8,3.7,3.21,2.27,3.04,3.0,2.72,1.95,1.31,2.32,2.13,1.68,1.39,1.3,1.79,1.35,1.4,1.37,0.0,1.57,0.34,0.97,1.16,0.97,1.05,1.57,1.15,0.98,1.11,0.99,0.71,0.79,0.6,0.88,0.82,0.6,0.72,0.78,0.49,0.38,0.31,0.0,0.38,0.31,0.43,0.0,0.26,0.22,0.0,2.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/25/2021,6.45,4.0,5.01,7.88,4.26,5.62,6.81,3.7,3.22,2.27,3.04,3.0,2.73,1.95,1.31,2.33,2.13,1.68,1.39,1.31,1.8,1.36,1.41,1.37,2.41,1.58,0.35,0.97,1.16,0.97,1.05,1.57,1.15,0.98,1.11,0.99,0.71,0.79,0.6,0.89,0.82,0.6,0.72,0.78,0.49,0.38,0.31,0.0,0.38,0.31,0.43,0.0,0.26,0.22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/26/2021,6.61,4.15,4.77,8.2,4.23,5.51,7.23,3.63,3.13,2.32,2.98,2.91,2.63,1.96,1.35,2.28,2.11,1.72,1.43,1.36,1.75,1.37,1.44,1.34,2.33,1.51,0.36,0.99,1.14,0.97,1.02,1.5,1.12,0.95,1.08,0.96,0.73,0.77,0.63,0.88,0.79,0.59,0.7,0.82,0.5,0.38,0.3,0.0,0.38,0.33,0.41,0.0,0.26,0.23,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/27/2021,6.73,4.44,4.75,7.8,4.35,5.56,6.91,3.61,3.1,2.37,2.99,2.9,2.6,1.99,1.4,2.27,2.08,1.72,1.44,1.34,1.78,1.37,1.41,1.33,2.31,1.52,0.35,1.0,1.16,1.02,1.01,1.5,1.11,0.95,1.07,0.97,0.73,0.77,0.66,0.9,0.82,0.6,0.7,0.8,0.49,0.38,0.31,0.0,0.39,0.33,0.41,0.0,0.26,0.24,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/30/2021,6.44,4.28,4.68,7.95,4.38,5.63,6.97,3.58,3.15,2.26,3.1,2.98,2.62,1.93,1.46,2.32,2.04,1.68,1.39,1.34,1.81,1.3,1.44,1.34,2.34,1.55,0.36,1.02,1.2,0.99,1.02,1.48,1.13,0.96,1.08,0.98,0.74,0.8,0.62,0.87,0.84,0.61,0.71,0.8,0.51,0.37,0.3,0.0,0.42,0.32,0.41,0.0,0.26,0.25,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/31/2021,6.61,4.21,4.58,7.53,4.46,5.65,6.7,3.63,3.18,2.3,3.06,2.95,2.58,2.01,1.48,2.3,2.05,1.7,1.4,1.36,1.8,1.36,1.46,1.33,0.0,1.54,0.38,1.04,1.23,1.01,1.01,1.48,1.11,0.96,1.07,0.98,0.76,0.8,0.64,0.91,0.87,0.62,0.72,0.81,0.54,0.37,0.29,0.0,0.44,0.32,0.41,0.0,0.28,0.25,0.0,2.47,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/01/2021,6.62,4.22,4.59,7.54,4.46,5.66,6.71,3.64,3.18,2.3,3.07,2.96,2.58,2.01,1.48,2.31,2.05,1.7,1.41,1.36,1.8,1.36,1.47,1.33,2.33,1.55,0.38,1.04,1.23,1.01,1.01,1.48,1.12,0.96,1.07,0.98,0.76,0.8,0.64,0.91,0.87,0.63,0.72,0.81,0.54,0.37,0.29,0.0,0.45,0.33,0.41,0.0,0.28,0.25,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/02/2021,6.36,4.35,4.51,7.3,4.52,5.79,6.45,3.61,3.2,2.43,2.98,3.01,3.01,2.04,1.55,3.04,2.05,1.77,1.37,1.34,1.83,1.36,1.47,1.36,-0.97,1.56,0.0,1.04,1.25,1.02,1.02,1.48,2.03,0.96,2.03,1.0,0.77,0.79,0.63,0.9,0.87,0.63,1.02,0.76,0.54,0.0,0.0,0.0,0.45,0.34,0.41,0.0,0.0,0.25,0.0,0.0,2.02,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/03/2021,6.62,3.07,4.5,7.4,4.46,5.78,6.14,3.6,3.18,2.45,2.98,3.0,2.99,2.09,1.56,3.01,2.02,1.78,1.41,1.36,1.8,1.41,1.44,1.34,0.36,1.55,0.0,1.04,1.23,1.02,1.01,1.47,2.0,0.96,2.0,0.98,0.78,0.8,0.65,0.9,0.89,0.62,1.01,0.78,0.55,0.0,0.0,0.0,0.45,0.38,0.4,0.0,0.0,0.27,0.0,0.0,1.99,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/06/2021,6.98,2.83,4.5,7.6,4.53,5.74,5.96,3.52,2.95,2.49,3.1,2.95,2.96,2.04,1.56,2.97,1.98,1.81,1.4,1.37,1.8,1.41,1.41,1.39,0.34,1.54,0.0,1.06,1.25,1.04,0.99,1.45,1.99,0.95,1.98,0.98,0.8,0.79,0.65,0.9,0.93,0.61,1.0,0.87,0.55,0.0,0.0,0.0,0.48,0.39,0.42,0.0,0.0,0.28,0.0,0.0,1.99,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/07/2021,7.05,2.85,4.44,7.91,4.51,5.78,6.03,3.46,2.94,2.5,3.1,2.93,2.96,2.01,1.56,2.97,1.95,1.75,1.33,1.31,1.8,1.38,1.43,1.39,0.0,1.54,0.0,1.04,1.25,1.03,0.99,1.4,1.97,0.94,1.99,0.98,0.8,0.79,0.63,0.9,0.97,0.61,0.99,0.81,0.52,0.0,0.0,0.0,0.46,0.38,0.42,0.0,0.0,0.28,0.0,0.0,1.98,0.47,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/08/2021,7.05,2.85,4.44,7.91,4.51,5.78,6.03,3.46,2.94,2.5,3.1,2.93,2.96,2.01,1.56,2.97,1.95,1.75,1.33,1.31,1.8,1.38,1.43,1.39,0.0,1.54,0.0,1.04,1.25,1.03,0.99,1.4,1.97,0.94,1.99,0.98,0.8,0.79,0.63,0.9,0.97,0.61,0.99,0.81,0.52,0.0,0.0,0.0,0.46,0.38,0.42,0.0,0.0,0.28,0.0,0.0,1.98,0.47,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/09/2021,7.06,2.86,4.45,7.92,4.51,5.78,6.04,3.47,2.95,2.5,3.1,2.94,2.96,2.02,1.56,2.98,1.95,1.75,1.33,1.31,1.8,1.38,1.43,1.39,0.34,1.54,0.0,1.04,1.26,1.03,0.99,1.41,1.97,0.94,1.99,0.98,0.8,0.79,0.63,0.9,0.97,0.61,0.99,0.81,0.52,0.0,0.0,0.0,0.46,0.38,0.42,0.0,0.0,0.28,0.0,0.0,1.99,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/10/2021,6.51,2.96,4.4,8.29,4.46,5.85,6.25,3.47,2.87,2.58,3.12,2.93,2.96,1.95,1.56,2.95,1.96,1.74,1.32,1.32,1.79,1.39,1.41,1.38,0.33,1.54,0.0,1.01,1.26,1.01,0.99,1.43,1.94,0.94,1.98,0.98,0.81,0.78,0.63,0.86,0.98,0.64,0.99,0.8,0.57,0.0,0.0,0.0,0.46,0.36,0.42,0.0,0.0,0.29,0.0,0.0,2.05,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
