,NESN.SW,Cash & Cash Equivalents,ASML.AS,ROG.SW,MC.PA,NOVN.SW,AZN.L,ULVR.L,SAP.DE,NOVO B.CO,SIE.DE,HSBA.L,SAN.PA,DGE.L,TTE.PA,OR.PA,ALV.DE,GSK.L,RIO.L,BP.L,SU.PA,BATS.L,RDSA.AS,AI.PA,ENEL.MI,AIR.PA,DAI.DE,IBE.MC,RYDBF,BAS.DE,ADS.DE,DTE.DE,BNP.PA,DPW.DE,KER.PA,SAN.MC,RKT.L,BHP.L,RITN.,BAYN.DE,ZURN.SW,ABBN.SW,DG.PA,UBSG.SW,ABI.BR,REL.L,LONN.SW,AAL.L,EL.PA,IFX.DE,INGA.AS,PRU.L,DSV.CO,CS.PA,ADYEN.AS,SAF.PA,BN.PA,SIKA.SW,NG.L,ISP.MI,PRX.AS,RI.PA,RMS.PA,LLOY.L,VOW3.DE,VOD.L,PHIA.AS,GIVN.SW,GLEN.L,INVE B.ST,BBVA.MC,ATCO A.ST,VWS.CO,BARC.L,STLA.MI,CPG.L,CRH.L,ITX.MC,MUV2.DE,ERIC B.ST,VNA.DE,NDA SE.ST,EXPN.L,LSEG.L,ALC.SW,PGHN.SW,VOLV B.ST,BMW.DE,DSY.PA,AHT.L,SGO.PA,CLNX.MC,DB1.DE,DSM.AS,FLTR.L,AMS.MC,FERG.L,CAP.PA,HEIA.AS,AD.AS,ENI.MI,ASSA B.ST,HOLN.SW,NOKIA.HE,HEXA B.ST,SAND.ST,ORSTED.CO,LR.PA,EVO.ST,GEBN.SW,KNEBV.HE,SREN.SW,GMAB.CO,WKL.AS,ML.PA,EOAN.DE,NESTE.HE,DBK.DE,RACE.MI,UCG.MI,STM.PA,ENGI.PA,TSCO.L,CSGN.SW,MRK.DE,VIV.PA,BA.L,TEF.MC,GLE.PA,TEP.PA,RWE.DE,BT.A.L,SAMPO.HE,AV.L,KRZ.IR,AKZA.AS,WLN.PA,DHER.DE,ORA.PA,G.MI,SSE.L,FRE.DE,LOGN.SW,DWNI.DE,LGEN.L,ESSITY B.ST,MT.AS,SOON.SW,SEB A.ST,ZAL.DE,EQNR.OL,UPM.HE,IMB.L,DNB.OL,ATCOB.ST,SN.L,CARL B.CO,COLO B.CO,KBC.BR,HEN3.DE,KNIN.SW,SGRO.L,SGSN.SW,SY1.DE,REP.MC,MAERSK B.CO,HM B.ST,WPP.L,HFG.DE,CNHI.MI,STMN.SW,TKWY.AS,VIE.PA,SHB A.ST,SWED A.ST,SHL.DE,STAN.L,FME.DE,III.L,ACA.PA,ASM.AS,SLHN.SW,NZYM B.CO,PAH3.DE,KRX.IR,CON.DE,ERF.PA,NIBE B.ST,EDP.LS,ENT.L,SCMN.SW,EPI A.ST,HLMA.L,EDEN.PA,BNR.DE,PUB.PA,ARGX.BR,SRT3.,FER.MC,CRDA.L,DSYA.,DIM.PA,SWMA.ST,SPX.L,DWN.,NXT.L,RTO.L,BAER.SW,n/a,NWG.L,NN.AS,UCB.BR,CFR.SW,UMG.AS,RR.L,SUM
07/26/2021,3.16,3.04,2.69,2.3,1.92,1.79,1.6,1.3,1.3,1.36,1.07,1.0,1.04,0.99,0.93,1.0,0.89,0.86,0.8,0.71,0.77,0.72,0.68,0.74,0.68,0.67,0.64,0.63,0.6,0.63,0.62,0.61,0.59,0.61,0.58,0.55,0.54,0.58,0.57,0.53,0.53,0.55,0.5,0.51,0.46,0.49,0.48,0.46,0.46,0.43,0.42,0.44,0.44,0.44,0.47,0.41,0.4,0.43,0.4,0.39,0.41,0.4,0.41,0.39,0.41,0.38,0.38,0.39,0.38,0.4,0.36,0.4,0.35,0.35,0.33,0.32,0.33,0.32,0.33,0.3,0.34,0.33,0.35,0.3,0.32,0.33,0.3,0.3,0.0,0.31,0.3,0.29,0.29,0.3,0.27,0.26,0.28,0.29,0.27,0.27,0.25,0.28,0.27,0.27,0.28,0.26,0.26,0.26,0.25,0.26,0.25,0.24,0.25,0.26,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.2,0.22,0.2,0.2,0.21,0.19,0.2,0.2,0.2,0.21,0.19,0.19,0.19,0.2,0.19,0.0,0.19,0.18,0.2,0.18,0.19,0.16,0.17,0.19,0.18,0.16,0.19,0.17,0.17,0.18,0.17,0.16,0.16,0.17,0.17,0.16,0.14,0.15,0.14,0.14,0.14,0.14,0.17,0.13,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.15,0.13,0.13,0.14,0.13,0.13,0.13,0.14,0.0,0.13,0.14,0.0,0.13,0.31,0.13,0.0,0.13,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.26
07/27/2021,3.16,3.04,2.69,2.3,1.92,1.79,1.6,1.3,1.3,1.36,1.07,1.0,1.04,0.99,0.93,1.0,0.89,0.86,0.8,0.71,0.77,0.72,0.68,0.74,0.68,0.67,0.64,0.63,0.6,0.63,0.62,0.61,0.59,0.61,0.58,0.55,0.54,0.58,0.57,0.53,0.53,0.55,0.5,0.51,0.46,0.49,0.48,0.46,0.46,0.43,0.42,0.44,0.44,0.44,0.47,0.41,0.4,0.43,0.4,0.39,0.41,0.4,0.41,0.39,0.41,0.38,0.38,0.39,0.38,0.4,0.36,0.4,0.35,0.35,0.33,0.32,0.33,0.32,0.33,0.3,0.34,0.33,0.35,0.3,0.32,0.33,0.3,0.3,0.0,0.31,0.3,0.29,0.29,0.3,0.27,0.26,0.28,0.29,0.27,0.27,0.25,0.28,0.27,0.27,0.28,0.26,0.26,0.26,0.25,0.26,0.25,0.24,0.25,0.26,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.2,0.22,0.2,0.2,0.21,0.19,0.2,0.2,0.2,0.21,0.19,0.19,0.19,0.2,0.19,0.0,0.19,0.18,0.2,0.18,0.19,0.16,0.17,0.19,0.18,0.16,0.19,0.17,0.17,0.18,0.17,0.16,0.16,0.17,0.17,0.16,0.14,0.15,0.14,0.14,0.14,0.14,0.17,0.13,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.15,0.13,0.13,0.14,0.13,0.13,0.13,0.14,0.0,0.13,0.14,0.0,0.13,0.31,0.13,0.0,0.13,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.26
07/29/2021,3.15,2.7,2.75,2.3,1.94,1.77,1.56,1.29,1.28,1.35,1.07,1.0,1.03,0.99,0.95,1.0,0.9,0.85,0.83,0.72,0.78,0.73,0.7,0.74,0.69,0.68,0.67,0.62,0.61,0.64,0.62,0.61,0.61,0.61,0.59,0.57,0.54,0.6,0.59,0.53,0.53,0.56,0.5,0.52,0.46,0.48,0.49,0.48,0.46,0.44,0.44,0.44,0.44,0.44,0.47,0.41,0.39,0.43,0.4,0.4,0.37,0.4,0.42,0.4,0.4,0.38,0.37,0.38,0.4,0.4,0.38,0.4,0.33,0.36,0.33,0.32,0.34,0.33,0.33,0.3,0.32,0.34,0.34,0.29,0.31,0.33,0.31,0.3,0.0,0.31,0.31,0.29,0.28,0.3,0.26,0.27,0.28,0.29,0.27,0.27,0.26,0.28,0.27,0.28,0.28,0.26,0.26,0.26,0.27,0.26,0.25,0.24,0.25,0.26,0.24,0.24,0.25,0.23,0.23,0.22,0.24,0.22,0.22,0.22,0.23,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.21,0.19,0.2,0.2,0.2,0.21,0.2,0.19,0.19,0.2,0.18,0.0,0.19,0.18,0.21,0.18,0.19,0.16,0.17,0.19,0.18,0.16,0.19,0.17,0.17,0.18,0.17,0.16,0.16,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.15,0.16,0.13,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.0,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.0,0.14,0.0,0.13,0.31,0.13,0.13,0.13,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.25999999999999
07/30/2021,3.18,2.51,2.71,2.32,1.94,1.78,1.57,1.31,1.3,1.36,1.07,1.01,1.03,1.0,0.95,1.01,0.9,0.86,0.83,0.73,0.77,0.74,0.71,0.74,0.68,0.69,0.67,0.62,0.62,0.64,0.62,0.62,0.61,0.61,0.58,0.57,0.5,0.6,0.58,0.52,0.53,0.56,0.5,0.53,0.47,0.48,0.49,0.49,0.46,0.43,0.44,0.43,0.44,0.44,0.47,0.41,0.39,0.43,0.41,0.4,0.34,0.4,0.42,0.4,0.4,0.38,0.36,0.39,0.4,0.4,0.38,0.4,0.33,0.36,0.33,0.33,0.34,0.32,0.34,0.29,0.32,0.34,0.35,0.29,0.31,0.34,0.3,0.3,0.0,0.31,0.31,0.29,0.28,0.29,0.26,0.26,0.28,0.29,0.27,0.28,0.26,0.28,0.27,0.27,0.28,0.26,0.25,0.26,0.27,0.26,0.25,0.25,0.25,0.26,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.23,0.21,0.22,0.21,0.21,0.22,0.2,0.2,0.21,0.19,0.21,0.2,0.19,0.2,0.2,0.19,0.19,0.2,0.17,0.19,0.19,0.18,0.21,0.18,0.19,0.16,0.17,0.19,0.18,0.16,0.19,0.17,0.17,0.18,0.18,0.16,0.16,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.15,0.16,0.14,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.15,0.13,0.14,0.15,0.0,0.13,0.14,0.13,0.13,0.13,0.14,0.0,0.0,0.14,0.0,0.14,0.32,0.14,0.13,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.18
08/02/2021,3.15,1.91,2.78,2.34,1.98,1.79,1.56,1.32,1.32,1.38,1.06,1.0,1.02,1.01,0.98,1.01,0.9,0.86,0.86,0.74,0.77,0.72,0.73,0.72,0.68,0.7,0.68,0.63,0.65,0.63,0.61,0.61,0.61,0.6,0.6,0.56,0.49,0.62,0.59,0.53,0.53,0.56,0.51,0.53,0.44,0.5,0.49,0.52,0.46,0.44,0.44,0.44,0.44,0.44,0.48,0.4,0.42,0.44,0.39,0.41,0.39,0.41,0.42,0.4,0.4,0.38,0.36,0.39,0.4,0.4,0.37,0.4,0.33,0.37,0.34,0.34,0.34,0.32,0.33,0.29,0.32,0.34,0.35,0.29,0.32,0.34,0.3,0.3,0.0,0.3,0.31,0.29,0.28,0.3,0.26,0.27,0.27,0.3,0.27,0.28,0.26,0.28,0.27,0.29,0.29,0.27,0.26,0.26,0.27,0.27,0.25,0.25,0.25,0.26,0.24,0.24,0.23,0.23,0.23,0.22,0.25,0.22,0.22,0.21,0.23,0.21,0.23,0.21,0.21,0.22,0.2,0.19,0.21,0.19,0.22,0.2,0.19,0.2,0.19,0.19,0.19,0.2,0.16,0.19,0.19,0.18,0.22,0.19,0.19,0.16,0.17,0.19,0.18,0.17,0.19,0.16,0.17,0.19,0.18,0.16,0.16,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.15,0.17,0.14,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.15,0.13,0.14,0.15,0.0,0.13,0.14,0.13,0.14,0.13,0.14,0.0,0.0,0.14,0.0,0.14,0.32,0.14,0.13,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.11
08/03/2021,3.2,2.18,2.77,2.36,1.95,1.8,1.56,1.33,1.32,1.4,1.05,0.99,1.03,1.02,0.96,1.01,0.9,0.87,0.84,0.72,0.79,0.71,0.72,0.73,0.66,0.7,0.68,0.63,0.64,0.63,0.61,0.6,0.61,0.59,0.6,0.55,0.48,0.6,0.59,0.52,0.53,0.55,0.5,0.53,0.43,0.5,0.5,0.5,0.48,0.44,0.44,0.44,0.44,0.44,0.47,0.39,0.42,0.44,0.39,0.41,0.38,0.4,0.42,0.39,0.4,0.38,0.37,0.4,0.39,0.39,0.37,0.4,0.33,0.37,0.34,0.33,0.34,0.33,0.33,0.29,0.32,0.34,0.35,0.3,0.32,0.34,0.3,0.3,0.0,0.29,0.32,0.29,0.28,0.3,0.25,0.26,0.27,0.31,0.27,0.28,0.26,0.28,0.27,0.29,0.29,0.26,0.25,0.26,0.26,0.27,0.25,0.24,0.26,0.27,0.24,0.24,0.23,0.23,0.24,0.23,0.25,0.21,0.22,0.21,0.23,0.21,0.23,0.21,0.21,0.22,0.2,0.19,0.21,0.19,0.21,0.2,0.19,0.21,0.19,0.19,0.18,0.19,0.17,0.19,0.19,0.18,0.22,0.19,0.19,0.15,0.17,0.19,0.18,0.17,0.19,0.16,0.17,0.19,0.18,0.16,0.16,0.18,0.17,0.16,0.14,0.15,0.13,0.14,0.14,0.15,0.17,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.15,0.15,0.14,0.14,0.15,0.13,0.14,0.15,0.0,0.13,0.14,0.13,0.14,0.13,0.14,0.0,0.0,0.14,0.0,0.14,0.33,0.14,0.13,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.19
08/04/2021,3.2,2.18,2.77,2.36,1.95,1.8,1.56,1.33,1.32,1.4,1.05,0.99,1.03,1.02,0.96,1.01,0.9,0.87,0.84,0.72,0.79,0.71,0.72,0.73,0.66,0.7,0.68,0.63,0.64,0.63,0.61,0.6,0.61,0.59,0.6,0.55,0.48,0.6,0.59,0.52,0.53,0.55,0.5,0.53,0.43,0.5,0.5,0.5,0.48,0.44,0.44,0.44,0.44,0.44,0.47,0.39,0.42,0.44,0.39,0.41,0.38,0.4,0.42,0.39,0.4,0.38,0.37,0.4,0.39,0.39,0.37,0.4,0.33,0.37,0.34,0.33,0.34,0.33,0.33,0.29,0.32,0.34,0.35,0.3,0.32,0.34,0.3,0.3,0.0,0.29,0.32,0.29,0.28,0.3,0.25,0.26,0.27,0.31,0.27,0.28,0.26,0.28,0.27,0.29,0.29,0.26,0.25,0.26,0.26,0.27,0.25,0.24,0.26,0.27,0.24,0.24,0.23,0.23,0.24,0.23,0.25,0.21,0.22,0.21,0.23,0.21,0.23,0.21,0.21,0.22,0.2,0.19,0.21,0.19,0.21,0.2,0.19,0.21,0.19,0.19,0.18,0.19,0.17,0.19,0.19,0.18,0.22,0.19,0.19,0.15,0.17,0.19,0.18,0.17,0.19,0.16,0.17,0.19,0.18,0.16,0.16,0.18,0.17,0.16,0.14,0.15,0.13,0.14,0.14,0.15,0.17,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.15,0.15,0.14,0.14,0.15,0.13,0.14,0.15,0.0,0.13,0.14,0.13,0.14,0.13,0.14,0.0,0.0,0.14,0.0,0.14,0.33,0.14,0.13,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.19
08/05/2021,3.18,2.14,2.81,2.36,1.98,1.79,1.55,1.32,1.31,1.4,1.07,0.98,1.02,1.02,0.95,1.02,0.82,0.87,0.85,0.72,0.79,0.71,0.72,0.71,0.66,0.71,0.68,0.63,0.64,0.62,0.63,0.6,0.6,0.59,0.61,0.55,0.49,0.61,0.6,0.52,0.53,0.55,0.5,0.53,0.42,0.5,0.51,0.52,0.49,0.45,0.44,0.43,0.43,0.46,0.47,0.39,0.43,0.44,0.39,0.4,0.38,0.4,0.43,0.4,0.4,0.38,0.37,0.39,0.4,0.39,0.37,0.4,0.34,0.37,0.34,0.33,0.34,0.33,0.33,0.3,0.33,0.34,0.35,0.3,0.33,0.34,0.3,0.3,0.0,0.29,0.31,0.3,0.28,0.3,0.25,0.26,0.27,0.31,0.27,0.28,0.26,0.28,0.27,0.29,0.29,0.26,0.25,0.26,0.26,0.27,0.25,0.24,0.26,0.26,0.24,0.24,0.22,0.23,0.23,0.22,0.25,0.22,0.22,0.22,0.23,0.21,0.23,0.22,0.21,0.22,0.2,0.19,0.21,0.19,0.21,0.2,0.19,0.21,0.19,0.19,0.18,0.19,0.16,0.19,0.19,0.18,0.21,0.19,0.19,0.15,0.17,0.19,0.18,0.17,0.19,0.16,0.17,0.19,0.17,0.16,0.16,0.18,0.17,0.16,0.14,0.15,0.14,0.14,0.13,0.15,0.17,0.14,0.15,0.14,0.15,0.15,0.14,0.14,0.15,0.14,0.15,0.15,0.14,0.14,0.15,0.13,0.14,0.15,0.0,0.13,0.14,0.13,0.14,0.13,0.14,0.0,0.0,0.14,0.0,0.14,0.33,0.14,0.13,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.17
08/06/2021,3.16,2.11,2.8,2.37,2.0,1.78,1.56,1.33,1.32,1.4,1.07,0.98,1.01,1.02,0.98,1.02,0.81,0.87,0.86,0.76,0.8,0.71,0.74,0.72,0.65,0.69,0.67,0.63,0.65,0.63,0.64,0.6,0.6,0.59,0.61,0.55,0.49,0.61,0.6,0.51,0.54,0.55,0.5,0.53,0.42,0.5,0.51,0.53,0.49,0.45,0.44,0.44,0.43,0.46,0.47,0.39,0.43,0.44,0.39,0.4,0.36,0.4,0.43,0.4,0.4,0.38,0.36,0.39,0.4,0.39,0.38,0.4,0.34,0.37,0.35,0.32,0.34,0.33,0.33,0.29,0.33,0.34,0.35,0.29,0.33,0.35,0.3,0.28,0.0,0.29,0.32,0.29,0.27,0.3,0.24,0.25,0.27,0.31,0.26,0.28,0.26,0.28,0.27,0.29,0.29,0.26,0.25,0.26,0.24,0.27,0.25,0.24,0.26,0.26,0.24,0.24,0.22,0.23,0.23,0.22,0.25,0.22,0.22,0.22,0.23,0.21,0.23,0.22,0.22,0.21,0.2,0.19,0.21,0.19,0.21,0.2,0.19,0.21,0.19,0.19,0.18,0.19,0.16,0.19,0.19,0.18,0.21,0.19,0.19,0.15,0.17,0.19,0.18,0.17,0.19,0.15,0.16,0.19,0.17,0.16,0.16,0.17,0.17,0.16,0.15,0.15,0.13,0.14,0.13,0.15,0.17,0.14,0.15,0.14,0.15,0.16,0.14,0.14,0.15,0.14,0.15,0.15,0.14,0.14,0.15,0.13,0.14,0.15,0.0,0.13,0.14,0.13,0.14,0.0,0.14,0.0,0.0,0.14,0.0,0.15,0.33,0.14,0.13,0.14,0.0,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.16
08/09/2021,3.09,0.0,2.86,2.38,1.98,1.76,1.55,1.3,1.35,1.52,1.11,0.99,0.99,1.02,0.97,1.02,0.81,0.87,0.82,0.75,0.81,0.69,0.73,0.71,0.65,0.7,0.66,0.62,0.65,0.62,0.62,0.59,0.61,0.59,0.6,0.55,0.48,0.58,0.58,0.47,0.54,0.55,0.5,0.53,0.41,0.5,0.5,0.51,0.49,0.47,0.44,0.44,0.43,0.46,0.48,0.39,0.42,0.44,0.39,0.4,0.36,0.4,0.43,0.39,0.39,0.38,0.35,0.39,0.39,0.4,0.38,0.4,0.35,0.37,0.36,0.33,0.34,0.32,0.33,0.29,0.33,0.34,0.35,0.29,0.32,0.35,0.29,0.28,0.0,0.29,0.33,0.3,0.27,0.3,0.25,0.25,0.27,0.31,0.25,0.28,0.26,0.28,0.26,0.29,0.29,0.25,0.25,0.26,0.24,0.27,0.24,0.24,0.26,0.26,0.24,0.24,0.22,0.23,0.23,0.23,0.25,0.22,0.22,0.22,0.24,0.21,0.23,0.22,0.22,0.22,0.2,0.19,0.22,0.19,0.2,0.2,0.19,0.21,0.19,0.19,0.19,0.19,0.16,0.19,0.19,0.18,0.21,0.19,0.19,0.15,0.17,0.19,0.18,0.17,0.19,0.15,0.16,0.19,0.18,0.16,0.16,0.18,0.17,0.16,0.15,0.15,0.13,0.14,0.13,0.15,0.17,0.14,0.15,0.15,0.15,0.16,0.14,0.14,0.15,0.14,0.16,0.15,0.14,0.14,0.15,0.13,0.15,0.15,0.0,0.14,0.14,0.13,0.14,0.0,0.14,0.0,0.0,0.15,0.0,0.15,0.33,0.14,0.13,0.14,0.0,0.0,0.13,0.13,2.3,0.0,0.0,0.0,0.0,0.0,0.0,83.26
08/10/2021,3.06,0.0,2.81,2.32,1.97,1.75,1.51,1.29,1.33,1.48,1.09,1.0,0.99,1.01,0.97,1.02,0.82,0.86,0.81,0.75,0.8,0.69,0.73,0.71,0.65,0.69,0.66,0.61,0.65,0.62,0.6,0.59,0.62,0.58,0.6,0.56,0.48,0.58,0.57,0.47,0.54,0.55,0.49,0.53,0.41,0.5,0.49,0.51,0.48,0.47,0.46,0.45,0.42,0.47,0.47,0.39,0.42,0.43,0.39,0.41,0.36,0.4,0.43,0.39,0.39,0.38,0.35,0.38,0.39,0.39,0.39,0.4,0.35,0.38,0.36,0.33,0.34,0.32,0.33,0.29,0.33,0.34,0.34,0.31,0.31,0.35,0.29,0.28,0.0,0.29,0.33,0.29,0.27,0.3,0.26,0.25,0.27,0.31,0.25,0.28,0.26,0.28,0.26,0.29,0.29,0.25,0.25,0.26,0.23,0.26,0.24,0.24,0.25,0.25,0.24,0.24,0.22,0.23,0.24,0.23,0.25,0.22,0.22,0.22,0.23,0.21,0.23,0.22,0.23,0.21,0.2,0.19,0.22,0.19,0.2,0.2,0.19,0.21,0.19,0.19,0.19,0.19,0.16,0.19,0.2,0.18,0.21,0.19,0.19,0.14,0.17,0.18,0.18,0.17,0.19,0.15,0.16,0.18,0.18,0.16,0.16,0.18,0.16,0.16,0.15,0.14,0.13,0.14,0.13,0.15,0.17,0.14,0.15,0.15,0.15,0.16,0.14,0.14,0.15,0.14,0.15,0.15,0.14,0.14,0.15,0.13,0.15,0.15,0.0,0.13,0.13,0.13,0.13,0.13,0.14,0.0,0.0,0.14,0.0,0.15,0.33,0.14,0.13,0.13,0.0,0.0,0.0,0.13,2.91,0.0,0.0,0.0,0.0,0.0,0.0,83.36999999999999
08/13/2021,3.04,0.0,2.82,2.36,1.96,1.75,1.5,1.29,1.31,1.48,1.07,0.99,0.99,1.0,0.95,1.01,0.83,0.86,0.82,0.75,0.8,0.68,0.72,0.71,0.64,0.68,0.64,0.61,0.64,0.62,0.59,0.6,0.62,0.57,0.6,0.56,0.48,0.58,0.56,0.47,0.54,0.55,0.48,0.53,0.4,0.49,0.49,0.51,0.47,0.46,0.45,0.45,0.42,0.46,0.47,0.38,0.42,0.43,0.39,0.4,0.38,0.39,0.42,0.39,0.39,0.38,0.35,0.38,0.39,0.39,0.39,0.4,0.34,0.38,0.36,0.32,0.34,0.32,0.34,0.29,0.32,0.34,0.33,0.3,0.31,0.35,0.29,0.28,0.0,0.29,0.33,0.3,0.27,0.3,0.28,0.24,0.27,0.31,0.25,0.28,0.26,0.27,0.26,0.28,0.28,0.25,0.26,0.26,0.24,0.26,0.24,0.24,0.25,0.25,0.24,0.24,0.22,0.23,0.24,0.23,0.25,0.22,0.22,0.22,0.24,0.21,0.22,0.22,0.22,0.21,0.2,0.19,0.21,0.19,0.2,0.2,0.18,0.2,0.19,0.19,0.2,0.19,0.16,0.19,0.19,0.17,0.22,0.18,0.19,0.14,0.17,0.18,0.18,0.17,0.19,0.15,0.15,0.18,0.18,0.16,0.15,0.18,0.16,0.16,0.14,0.15,0.13,0.15,0.14,0.15,0.16,0.14,0.15,0.14,0.15,0.16,0.14,0.14,0.15,0.14,0.15,0.15,0.14,0.13,0.15,0.13,0.15,0.15,0.0,0.14,0.13,0.13,0.13,0.0,0.14,0.0,0.0,0.14,0.0,0.15,0.33,0.14,0.13,0.13,0.0,0.0,0.0,0.13,3.31,0.12,0.0,0.0,0.0,0.0,0.0,83.42000000000002
08/16/2021,3.01,0.0,2.78,2.36,1.98,1.75,1.51,1.28,1.32,1.49,1.1,0.98,0.99,1.0,0.96,1.02,0.83,0.87,0.75,0.74,0.81,0.68,0.71,0.7,0.64,0.67,0.65,0.6,0.63,0.63,0.6,0.61,0.62,0.58,0.6,0.56,0.48,0.57,0.56,0.48,0.56,0.55,0.49,0.53,0.4,0.5,0.49,0.52,0.47,0.45,0.45,0.46,0.42,0.47,0.46,0.37,0.42,0.43,0.38,0.41,0.38,0.39,0.42,0.39,0.39,0.38,0.34,0.38,0.4,0.39,0.39,0.4,0.32,0.37,0.37,0.31,0.35,0.32,0.35,0.29,0.32,0.34,0.34,0.31,0.31,0.34,0.29,0.28,0.0,0.3,0.32,0.3,0.28,0.3,0.28,0.23,0.27,0.31,0.24,0.29,0.26,0.28,0.26,0.28,0.28,0.26,0.25,0.26,0.23,0.27,0.24,0.24,0.26,0.26,0.24,0.24,0.21,0.23,0.24,0.23,0.25,0.22,0.22,0.22,0.24,0.22,0.23,0.23,0.22,0.21,0.2,0.19,0.22,0.2,0.2,0.2,0.18,0.18,0.19,0.19,0.19,0.19,0.16,0.18,0.19,0.17,0.22,0.18,0.19,0.14,0.17,0.18,0.18,0.17,0.19,0.15,0.15,0.18,0.18,0.16,0.16,0.17,0.16,0.16,0.15,0.16,0.13,0.14,0.13,0.15,0.16,0.13,0.15,0.14,0.15,0.16,0.14,0.14,0.15,0.14,0.15,0.15,0.14,0.14,0.15,0.13,0.15,0.15,0.0,0.13,0.13,0.13,0.13,0.0,0.13,0.0,0.0,0.14,0.0,0.15,0.33,0.14,0.0,0.13,0.0,0.0,0.0,0.13,3.37,0.13,0.13,0.0,0.0,0.0,0.0,83.49
08/17/2021,3.06,0.0,2.81,2.4,1.98,1.77,1.54,1.29,1.32,1.51,1.09,0.99,1.0,1.01,0.96,1.02,0.83,0.88,0.75,0.74,0.82,0.69,0.71,0.71,0.65,0.68,0.65,0.61,0.62,0.63,0.61,0.62,0.62,0.58,0.6,0.56,0.48,0.58,0.56,0.48,0.57,0.55,0.49,0.53,0.41,0.5,0.49,0.52,0.48,0.45,0.46,0.47,0.43,0.47,0.47,0.38,0.42,0.44,0.39,0.41,0.37,0.39,0.42,0.38,0.39,0.38,0.34,0.38,0.4,0.39,0.39,0.4,0.33,0.38,0.37,0.32,0.35,0.33,0.35,0.29,0.32,0.34,0.34,0.31,0.31,0.34,0.29,0.28,0.0,0.3,0.33,0.3,0.28,0.3,0.28,0.24,0.27,0.31,0.25,0.29,0.27,0.28,0.26,0.28,0.29,0.26,0.25,0.26,0.24,0.27,0.24,0.25,0.26,0.26,0.24,0.24,0.21,0.23,0.24,0.23,0.25,0.22,0.22,0.22,0.25,0.22,0.23,0.23,0.22,0.21,0.2,0.19,0.22,0.2,0.2,0.2,0.18,0.18,0.19,0.19,0.2,0.19,0.16,0.19,0.19,0.17,0.22,0.18,0.19,0.2,0.17,0.19,0.18,0.17,0.19,0.15,0.15,0.18,0.18,0.16,0.16,0.18,0.16,0.16,0.14,0.15,0.13,0.15,0.14,0.15,0.16,0.13,0.15,0.15,0.15,0.16,0.14,0.14,0.15,0.14,0.15,0.15,0.14,0.14,0.15,0.13,0.15,0.15,0.0,0.13,0.13,0.13,0.13,0.0,0.14,0.0,0.0,0.14,0.0,0.15,0.33,0.14,0.13,0.14,0.0,0.0,0.0,0.13,2.72,0.0,0.13,0.0,0.0,0.0,0.0,83.47999999999999
