,AAPL,MSFT,AMZN,FB,GOOG,TSLA,NVDA,GOOGL,PYPL,ADBE,CMCSA,NFLX,INTC,CSCO,PEP,AVGO,TMUS,TXN,COST,QCOM,AMGN,CHTR,INTU,SBUX,AMAT,AMD,ISRG,ZM,MRNA,MU,BKNG,LRCX,MDLZ,GILD,ADP,MELI,CSX,ATVI,FISV,ILMN,ADSK,ADI,REGN,JD,IDXX,DOCU,NXPI,ASML,BIIB,VRTX,KDP,BIDU,KHC,MNST,KLAC,ALGN,MRVL,EBAY,LULU,MAR,ROST,WDAY,EXC,MTCH,PDD,AEP,SNPS,DXCM,WBA,EA,ALXN,ORLY,CTAS,MCHP,PAYX,CDNS,CTSH,TEAM,XEL,XLNX,PTON,NTES,CPRT,SWKS,OKTA,ANSS,FAST,PCAR,VRSK,SGEN,MXIM,SIRI,VRSN,CDW,CERN,SPLK,DLTR,INCY,TCOM,CHKP,FOXA,FOX,AGPXX,Cash/Receivables/Payables,HON,n/a,CRWD,CLV.,LCID,ABNB,FTNT,PANW,DDOG,ZS,PEP.,PEO.,SUM
08/09/2021,11.22,9.97,7.79,3.98,4.04,3.9,3.58,3.75,2.29,2.11,1.86,1.62,1.51,1.64,1.48,1.39,1.23,1.24,1.37,1.15,0.94,1.01,1.02,0.98,0.91,0.95,0.84,0.66,1.16,0.64,0.63,0.64,0.61,0.61,0.63,0.62,0.51,0.43,0.51,0.52,0.5,0.44,0.44,0.4,0.42,0.42,0.41,0.44,0.35,0.37,0.34,0.3,0.31,0.34,0.38,0.38,0.35,0.32,0.36,0.32,0.3,0.31,0.32,0.28,0.23,0.31,0.31,0.35,0.28,0.27,0.0,0.29,0.29,0.29,0.29,0.29,0.27,0.32,0.26,0.26,0.22,0.18,0.24,0.21,0.22,0.23,0.22,0.19,0.21,0.21,0.19,0.19,0.17,0.19,0.17,0.17,0.16,0.12,0.09,0.12,0.09,0.06,0.05,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
08/12/2021,11.18,9.96,7.73,3.98,4.09,3.9,3.53,3.78,2.28,2.1,1.87,1.61,1.52,1.63,1.49,1.38,1.25,1.23,1.36,1.16,0.91,1.01,1.02,0.97,0.91,0.91,0.86,0.63,1.36,0.63,0.61,0.64,0.61,0.6,0.64,0.61,0.51,0.44,0.51,0.51,0.51,0.44,0.45,0.4,0.41,0.42,0.42,0.44,0.36,0.36,0.34,0.3,0.32,0.36,0.38,0.38,0.35,0.31,0.36,0.31,0.3,0.31,0.32,0.27,0.25,0.31,0.31,0.35,0.29,0.27,0.0,0.29,0.29,0.29,0.29,0.29,0.27,0.32,0.26,0.26,0.22,0.2,0.24,0.21,0.21,0.23,0.22,0.19,0.21,0.2,0.19,0.18,0.17,0.19,0.17,0.17,0.16,0.12,0.09,0.12,0.08,0.06,0.06,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07999999999998
08/13/2021,11.21,9.95,7.72,3.99,4.11,3.9,3.49,3.8,2.26,2.09,1.88,1.61,1.53,1.65,1.5,1.38,1.25,1.23,1.38,1.15,0.92,1.02,1.02,0.96,0.89,0.91,0.83,0.62,1.29,0.6,0.63,0.62,0.61,0.61,0.65,0.65,0.53,0.45,0.52,0.52,0.51,0.44,0.45,0.41,0.4,0.41,0.42,0.44,0.36,0.36,0.34,0.3,0.32,0.37,0.37,0.38,0.34,0.32,0.36,0.32,0.32,0.31,0.33,0.26,0.24,0.31,0.31,0.34,0.29,0.28,0.0,0.29,0.29,0.29,0.29,0.29,0.27,0.31,0.26,0.25,0.21,0.19,0.24,0.21,0.2,0.22,0.22,0.19,0.21,0.2,0.19,0.18,0.17,0.19,0.17,0.16,0.17,0.11,0.09,0.12,0.09,0.06,0.06,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
08/16/2021,11.43,10.04,7.66,4.0,4.11,3.96,3.47,3.8,2.26,2.13,1.89,1.59,1.51,1.66,1.5,1.38,1.26,1.22,1.38,1.16,0.92,1.02,1.03,0.96,0.83,0.91,0.83,0.6,1.1,0.55,0.62,0.58,0.61,0.62,0.64,0.64,0.54,0.46,0.52,0.52,0.51,0.44,0.45,0.4,0.4,0.4,0.41,0.43,0.36,0.35,0.34,0.29,0.32,0.36,0.35,0.39,0.34,0.33,0.36,0.31,0.31,0.31,0.33,0.26,0.23,0.31,0.31,0.33,0.3,0.28,0.0,0.29,0.29,0.29,0.29,0.3,0.28,0.32,0.26,0.25,0.21,0.19,0.23,0.21,0.21,0.22,0.22,0.2,0.22,0.2,0.19,0.17,0.17,0.2,0.17,0.17,0.17,0.11,0.09,0.12,0.09,0.06,0.08,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/19/2021,11.56,10.17,7.63,4.03,4.11,3.75,3.47,3.82,2.28,2.13,1.9,1.6,1.51,1.66,1.52,1.39,1.22,1.22,1.4,1.17,0.93,1.03,1.04,0.97,0.84,0.91,0.85,0.57,1.05,0.56,0.6,0.59,0.62,0.63,0.64,0.62,0.54,0.45,0.52,0.53,0.51,0.44,0.46,0.38,0.4,0.39,0.41,0.43,0.36,0.34,0.35,0.26,0.32,0.36,0.35,0.38,0.34,0.36,0.36,0.3,0.31,0.31,0.33,0.26,0.22,0.32,0.31,0.34,0.3,0.28,0.0,0.29,0.29,0.29,0.3,0.29,0.28,0.31,0.26,0.25,0.21,0.18,0.23,0.21,0.2,0.22,0.22,0.2,0.22,0.2,0.19,0.17,0.17,0.2,0.17,0.16,0.17,0.11,0.09,0.12,0.09,0.06,0.08,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
08/20/2021,11.6,10.21,7.56,3.98,4.1,3.67,3.41,3.81,2.24,2.14,1.92,1.62,1.5,1.66,1.54,1.38,1.24,1.21,1.41,1.15,0.94,1.05,1.03,0.97,0.83,0.92,0.87,0.58,1.13,0.56,0.6,0.58,0.63,0.65,0.64,0.62,0.54,0.46,0.53,0.54,0.5,0.43,0.48,0.36,0.41,0.39,0.4,0.43,0.37,0.36,0.35,0.26,0.33,0.36,0.35,0.38,0.34,0.35,0.35,0.3,0.3,0.31,0.33,0.25,0.21,0.32,0.31,0.35,0.3,0.28,0.0,0.29,0.29,0.28,0.3,0.29,0.29,0.32,0.27,0.25,0.21,0.18,0.23,0.21,0.2,0.22,0.22,0.2,0.22,0.2,0.19,0.18,0.17,0.19,0.17,0.17,0.17,0.12,0.09,0.12,0.09,0.06,0.08,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.08
08/23/2021,11.38,10.39,7.47,3.96,4.1,3.73,3.49,3.8,2.25,2.16,1.91,1.71,1.5,1.71,1.55,1.37,1.24,1.21,1.42,1.12,0.91,1.05,1.05,0.95,0.84,0.89,0.89,0.56,1.06,0.56,0.59,0.58,0.63,0.64,0.64,0.61,0.54,0.46,0.55,0.48,0.51,0.44,0.49,0.35,0.41,0.4,0.4,0.44,0.36,0.36,0.35,0.25,0.32,0.36,0.35,0.38,0.34,0.35,0.35,0.3,0.32,0.31,0.34,0.26,0.2,0.32,0.34,0.34,0.29,0.28,0.0,0.29,0.29,0.28,0.29,0.3,0.28,0.32,0.27,0.25,0.2,0.17,0.23,0.21,0.2,0.22,0.22,0.2,0.22,0.2,0.19,0.18,0.17,0.19,0.17,0.16,0.17,0.12,0.1,0.12,0.08,0.06,0.09,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
08/26/2021,11.32,10.4,7.46,3.95,4.12,3.82,3.78,3.82,2.24,2.17,1.89,1.69,1.48,1.7,1.5,1.36,1.23,1.2,1.39,1.12,0.9,1.04,1.04,0.94,0.83,0.91,0.86,0.56,1.14,0.56,0.6,0.57,0.61,0.63,0.62,0.62,0.53,0.44,0.54,0.48,0.51,0.43,0.48,0.37,0.4,0.39,0.4,0.44,0.36,0.35,0.34,0.25,0.31,0.35,0.35,0.38,0.35,0.34,0.35,0.3,0.31,0.32,0.33,0.26,0.21,0.31,0.34,0.34,0.29,0.28,0.0,0.29,0.28,0.28,0.29,0.3,0.28,0.33,0.26,0.26,0.2,0.18,0.23,0.21,0.2,0.22,0.22,0.19,0.22,0.21,0.2,0.18,0.17,0.19,0.16,0.16,0.17,0.11,0.1,0.12,0.08,0.06,0.09,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/27/2021,11.29,10.3,7.53,3.96,4.15,3.82,3.74,3.84,2.26,2.17,1.88,1.69,1.49,1.72,1.48,1.35,1.22,1.19,1.38,1.12,0.89,1.03,1.04,0.93,0.83,0.9,0.86,0.55,1.09,0.56,0.62,0.57,0.6,0.62,0.61,0.63,0.52,0.44,0.55,0.48,0.52,0.42,0.48,0.42,0.39,0.4,0.41,0.44,0.36,0.36,0.34,0.28,0.31,0.35,0.35,0.39,0.35,0.34,0.35,0.31,0.3,0.32,0.33,0.26,0.26,0.31,0.34,0.34,0.29,0.28,0.0,0.29,0.28,0.28,0.28,0.3,0.28,0.33,0.25,0.26,0.21,0.19,0.23,0.21,0.21,0.22,0.22,0.2,0.22,0.21,0.19,0.18,0.17,0.19,0.16,0.17,0.17,0.11,0.1,0.12,0.08,0.06,0.08,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/31/2021,11.14,10.14,7.59,4.01,4.2,3.81,3.86,3.89,2.24,2.15,1.86,1.69,1.49,1.7,1.46,1.38,1.18,1.2,1.36,1.12,0.88,1.04,1.06,0.93,0.85,0.93,0.84,0.55,1.05,0.57,0.65,0.59,0.59,0.61,0.61,0.64,0.52,0.44,0.54,0.46,0.48,0.42,0.48,0.42,0.39,0.4,0.43,0.45,0.35,0.35,0.34,0.27,0.3,0.35,0.36,0.38,0.34,0.36,0.35,0.3,0.29,0.35,0.33,0.26,0.25,0.31,0.35,0.34,0.29,0.28,0.0,0.28,0.28,0.3,0.28,0.31,0.28,0.33,0.25,0.26,0.19,0.19,0.23,0.21,0.22,0.22,0.22,0.2,0.22,0.21,0.0,0.18,0.17,0.19,0.16,0.17,0.14,0.11,0.1,0.12,0.08,0.06,0.0,0.0,1.1,-0.01,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/02/2021,11.35,10.16,7.67,4.05,4.18,3.87,3.82,3.86,2.29,2.15,1.85,1.7,1.47,1.69,1.46,1.38,1.16,1.2,1.36,1.11,0.87,1.04,1.05,0.92,0.84,0.91,0.85,0.56,1.01,0.56,0.63,0.59,0.59,0.61,0.6,0.63,0.51,0.43,0.53,0.45,0.47,0.42,0.48,0.42,0.4,0.4,0.42,0.45,0.35,0.35,0.34,0.27,0.3,0.35,0.35,0.38,0.34,0.36,0.35,0.3,0.29,0.35,0.33,0.26,0.24,0.3,0.35,0.34,0.28,0.28,0.0,0.28,0.28,0.29,0.28,0.31,0.27,0.34,0.25,0.26,0.18,0.18,0.23,0.21,0.22,0.22,0.22,0.19,0.22,0.21,0.0,0.17,0.17,0.19,0.16,0.17,0.14,0.11,0.1,0.12,0.08,0.06,0.0,0.0,1.09,-0.01,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
09/03/2021,11.27,10.12,7.79,4.04,4.18,3.9,3.78,3.87,2.3,2.15,1.88,1.71,1.48,1.68,1.46,1.37,1.16,1.19,1.37,1.12,0.88,1.04,1.05,0.94,0.84,0.91,0.85,0.46,1.02,0.56,0.64,0.58,0.59,0.62,0.6,0.63,0.5,0.43,0.53,0.45,0.46,0.41,0.48,0.43,0.39,0.39,0.4,0.45,0.35,0.35,0.34,0.28,0.3,0.35,0.35,0.38,0.34,0.35,0.34,0.3,0.29,0.35,0.32,0.25,0.26,0.3,0.34,0.35,0.3,0.28,0.0,0.28,0.28,0.29,0.28,0.31,0.27,0.34,0.25,0.26,0.18,0.2,0.23,0.21,0.22,0.22,0.22,0.19,0.22,0.21,0.0,0.17,0.17,0.19,0.16,0.17,0.14,0.11,0.11,0.12,0.08,0.06,0.0,0.0,1.09,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/06/2021,11.39,10.08,7.76,3.99,4.14,3.88,3.77,3.83,2.27,2.15,1.91,1.77,1.47,1.7,1.47,1.36,1.15,1.18,1.38,1.11,0.88,1.05,1.04,0.94,0.83,0.9,0.86,0.47,1.08,0.56,0.63,0.58,0.59,0.61,0.59,0.65,0.5,0.43,0.52,0.46,0.43,0.41,0.48,0.44,0.4,0.39,0.4,0.46,0.34,0.35,0.34,0.28,0.3,0.35,0.35,0.39,0.34,0.35,0.33,0.3,0.28,0.35,0.33,0.27,0.26,0.31,0.35,0.35,0.3,0.28,0.0,0.27,0.28,0.29,0.28,0.31,0.28,0.34,0.26,0.26,0.18,0.19,0.23,0.2,0.23,0.22,0.22,0.2,0.22,0.19,0.0,0.18,0.17,0.19,0.16,0.18,0.15,0.12,0.11,0.11,0.08,0.06,0.02,0.0,1.08,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
09/07/2021,11.4,10.04,7.77,3.99,4.14,3.87,3.84,3.83,2.29,2.15,1.91,1.77,1.46,1.69,1.46,1.37,1.14,1.18,1.38,1.1,0.88,1.03,1.04,0.93,0.84,0.9,0.86,0.48,1.13,0.56,0.63,0.59,0.58,0.61,0.6,0.65,0.49,0.43,0.52,0.46,0.43,0.4,0.48,0.43,0.4,0.41,0.4,0.46,0.34,0.35,0.34,0.28,0.3,0.35,0.35,0.38,0.34,0.35,0.33,0.29,0.28,0.35,0.33,0.27,0.26,0.31,0.35,0.35,0.3,0.28,0.0,0.27,0.28,0.29,0.28,0.31,0.27,0.35,0.25,0.26,0.18,0.19,0.23,0.2,0.23,0.22,0.22,0.2,0.22,0.19,0.0,0.17,0.17,0.19,0.15,0.18,0.15,0.11,0.11,0.11,0.08,0.06,0.03,0.0,1.07,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
09/08/2021,11.4,10.04,7.77,3.99,4.14,3.87,3.84,3.83,2.29,2.15,1.91,1.77,1.46,1.69,1.46,1.37,1.14,1.18,1.38,1.1,0.88,1.03,1.04,0.93,0.84,0.9,0.86,0.48,1.13,0.56,0.63,0.59,0.58,0.61,0.6,0.65,0.49,0.43,0.52,0.46,0.43,0.4,0.48,0.43,0.4,0.41,0.4,0.46,0.34,0.35,0.34,0.28,0.3,0.35,0.35,0.38,0.34,0.35,0.33,0.29,0.28,0.35,0.33,0.27,0.26,0.31,0.35,0.35,0.3,0.28,0.0,0.27,0.28,0.29,0.28,0.31,0.27,0.35,0.25,0.26,0.18,0.19,0.23,0.2,0.23,0.22,0.22,0.2,0.22,0.19,0.0,0.17,0.17,0.19,0.15,0.18,0.15,0.11,0.11,0.11,0.08,0.06,0.03,0.0,1.07,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
09/10/2021,11.56,10.0,7.83,4.05,4.15,3.97,3.8,3.84,2.32,2.13,1.86,1.81,1.46,1.67,1.44,1.36,1.13,1.18,1.37,1.09,0.86,1.02,1.03,0.92,0.84,0.89,0.86,0.48,1.18,0.56,0.64,0.57,0.57,0.6,0.58,0.65,0.48,0.41,0.52,0.45,0.43,0.41,0.47,0.45,0.39,0.38,0.4,0.46,0.33,0.33,0.33,0.29,0.29,0.34,0.35,0.38,0.34,0.34,0.33,0.29,0.28,0.35,0.33,0.29,0.27,0.3,0.35,0.36,0.3,0.28,0.0,0.27,0.28,0.29,0.27,0.31,0.27,0.35,0.25,0.26,0.17,0.19,0.23,0.2,0.22,0.22,0.21,0.19,0.22,0.18,0.0,0.17,0.17,0.19,0.15,0.17,0.14,0.11,0.12,0.11,0.08,0.06,0.03,0.0,1.04,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
09/14/2021,11.16,10.0,7.85,4.07,4.11,3.94,3.83,3.81,2.28,2.15,1.86,1.81,1.49,1.67,1.47,1.39,1.11,1.2,1.41,1.1,0.84,1.02,1.06,0.96,0.86,0.87,0.83,0.49,1.23,0.56,0.64,0.58,0.58,0.61,0.58,0.63,0.48,0.42,0.5,0.46,0.43,0.43,0.47,0.44,0.4,0.37,0.4,0.46,0.31,0.33,0.34,0.29,0.3,0.35,0.37,0.39,0.34,0.34,0.36,0.3,0.28,0.35,0.33,0.3,0.27,0.3,0.35,0.36,0.29,0.28,0.0,0.28,0.29,0.29,0.27,0.32,0.28,0.35,0.25,0.26,0.21,0.18,0.23,0.2,0.22,0.22,0.21,0.2,0.23,0.19,0.0,0.17,0.17,0.19,0.15,0.17,0.14,0.11,0.11,0.11,0.08,0.06,0.07,0.0,1.05,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
