,NESN.SW,ROG.SW,NOVN.SW,RITN.,ABBN.SW,ZURN.SW,UBSG.SW,LONN.SW,SIKA.SW,GIVN.SW,ALC.SW,HOLN.SW,PGHN.SW,GEBN.SW,SREN.SW,CSGN.SW,SOON.SW,LOGN.SW,KNIN.SW,SGSN.SW,STMN.SW,SCMN.SW,SLHN.SW,BAER.SW,SCHP.SW,TEMN.SW,LISN.SW,ADEN.SW,LISP.SW,UHR.SW,CHF,BARN.SW,EMSN.SW,SPSN.SW,BALN.SW,VIFN.SW,SCHN.SW,CLN.SW,SWGNF,BCVN.SW,RO.SW,MSFUT,XTSLA,EUR,VGU1,MARGIN_USD,USD,CFR.SW,SMU1,SMZ1,SUM
08/06/2021,19.34,14.11,10.29,4.11,4.0,3.67,3.66,3.57,3.06,2.84,2.23,1.92,2.06,1.94,1.63,1.56,1.46,1.15,1.25,1.28,1.32,1.07,1.06,1.0,0.93,0.79,0.85,0.66,0.85,0.72,0.67,0.71,0.68,0.62,0.55,0.52,0.52,0.38,0.36,0.27,0.2,0.06,0.04,0.07,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/10/2021,19.11,14.11,10.28,4.03,4.05,3.79,3.74,3.51,3.08,2.82,2.2,1.9,2.09,1.96,1.67,1.6,1.48,1.17,1.24,1.26,1.32,1.06,1.08,1.03,0.93,0.8,0.85,0.66,0.83,0.72,0.67,0.71,0.69,0.62,0.56,0.51,0.52,0.38,0.35,0.27,0.2,0.06,0.06,0.08,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/11/2021,19.11,14.11,10.28,4.03,4.05,3.79,3.74,3.51,3.08,2.82,2.2,1.9,2.09,1.96,1.67,1.6,1.48,1.17,1.24,1.26,1.32,1.06,1.08,1.03,0.93,0.8,0.85,0.66,0.83,0.72,0.67,0.71,0.69,0.62,0.56,0.51,0.52,0.38,0.35,0.27,0.2,0.06,0.06,0.08,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/13/2021,19.04,14.4,10.31,3.97,4.05,3.81,3.75,3.53,3.1,2.81,2.17,1.89,2.1,1.97,1.67,1.59,1.45,1.16,1.23,1.24,1.26,1.05,1.08,1.03,0.93,0.78,0.83,0.65,0.82,0.7,0.66,0.71,0.68,0.62,0.57,0.51,0.52,0.38,0.35,0.27,0.2,0.06,0.06,0.08,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/16/2021,18.9,14.4,10.37,3.93,4.07,3.95,3.74,3.52,3.11,2.81,2.14,1.91,2.06,1.98,1.68,1.57,1.44,1.16,1.26,1.23,1.29,1.05,1.08,1.03,0.94,0.77,0.82,0.65,0.82,0.68,0.66,0.71,0.68,0.62,0.57,0.52,0.53,0.38,0.34,0.26,0.2,0.06,0.04,0.08,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
08/17/2021,19.01,14.41,10.37,3.91,4.07,3.98,3.74,3.51,3.11,2.82,2.12,1.91,2.07,1.97,1.69,1.56,1.43,1.14,1.26,1.22,1.27,1.04,1.09,1.03,0.94,0.76,0.81,0.64,0.83,0.67,0.66,0.71,0.68,0.62,0.57,0.52,0.53,0.38,0.33,0.27,0.2,0.06,0.04,0.08,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
08/19/2021,19.1,14.48,10.41,3.82,4.07,3.96,3.71,3.55,3.09,2.81,2.12,1.88,2.07,1.97,1.69,1.54,1.43,1.14,1.27,1.21,1.29,1.04,1.09,1.03,0.94,0.77,0.81,0.63,0.82,0.66,0.66,0.71,0.67,0.62,0.57,0.52,0.52,0.38,0.33,0.26,0.21,0.06,0.04,0.07,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/20/2021,19.29,14.47,10.45,3.73,4.04,3.93,3.68,3.59,3.07,2.83,2.11,1.86,2.08,1.95,1.68,1.54,1.42,1.14,1.32,1.21,1.3,1.04,1.07,1.03,0.93,0.77,0.8,0.62,0.83,0.65,0.65,0.71,0.68,0.61,0.56,0.51,0.52,0.38,0.32,0.26,0.21,0.06,0.04,0.07,0.0,0.0,0.01,0.0,0.0,0.0,100.02
08/23/2021,19.38,14.64,10.36,3.4,4.05,3.96,3.63,3.66,3.06,2.83,2.43,1.83,2.05,1.93,1.66,1.54,1.42,1.1,1.31,1.22,1.3,1.04,1.06,1.03,0.92,0.77,0.81,0.61,0.84,0.59,0.61,0.71,0.68,0.62,0.56,0.51,0.51,0.38,0.29,0.26,0.21,0.06,0.07,0.06,0.0,0.0,0.04,0.0,0.0,0.0,100.0
08/27/2021,19.28,14.37,10.22,0.0,4.08,3.97,3.66,3.75,3.11,2.84,2.44,1.85,2.1,1.95,1.69,1.56,1.4,1.12,1.32,1.22,1.29,1.03,1.07,1.02,0.93,0.79,0.83,0.61,0.84,0.6,0.66,0.71,0.67,0.62,0.57,0.52,0.52,0.38,0.3,0.26,0.2,0.06,0.1,0.07,0.0,0.0,0.0,3.54,0.0,0.0,100.12
08/30/2021,19.25,14.37,10.2,0.0,4.05,3.94,3.69,3.73,3.12,2.83,2.45,1.85,2.09,1.96,1.67,1.6,1.4,1.11,1.31,1.22,1.32,1.03,1.07,1.04,0.92,0.78,0.84,0.62,0.85,0.61,0.66,0.71,0.67,0.62,0.56,0.52,0.52,0.38,0.31,0.25,0.21,0.06,0.04,0.07,0.0,0.0,0.0,3.54,0.0,0.0,100.04
08/31/2021,19.31,14.34,10.17,0.0,4.02,3.92,3.67,3.78,3.11,2.83,2.44,1.86,2.08,1.96,1.67,1.58,1.42,1.1,1.33,1.22,1.33,1.03,1.07,1.04,0.92,0.78,0.86,0.62,0.86,0.61,0.66,0.72,0.66,0.62,0.56,0.52,0.51,0.38,0.3,0.25,0.21,0.06,0.04,0.07,0.0,0.0,0.0,3.52,0.0,0.0,100.00999999999998
09/01/2021,19.31,14.34,10.17,0.0,4.02,3.92,3.67,3.78,3.11,2.83,2.44,1.86,2.08,1.96,1.67,1.58,1.42,1.1,1.33,1.22,1.33,1.03,1.07,1.04,0.92,0.78,0.86,0.62,0.86,0.61,0.66,0.72,0.66,0.62,0.56,0.52,0.51,0.38,0.3,0.25,0.21,0.06,0.04,0.07,0.0,0.0,0.0,3.52,0.0,0.0,100.00999999999998
09/02/2021,19.4,14.31,10.13,0.0,4.03,3.91,3.65,3.77,3.12,2.84,2.46,1.86,2.08,1.96,1.65,1.59,1.43,1.11,1.35,1.22,1.34,1.03,1.06,1.03,0.92,0.78,0.87,0.62,0.87,0.6,0.66,0.72,0.66,0.62,0.56,0.52,0.52,0.38,0.3,0.25,0.21,0.06,0.04,0.07,0.0,0.0,0.0,3.48,0.0,0.0,100.04
09/03/2021,19.28,14.56,10.26,0.0,3.94,3.93,3.65,3.78,3.1,2.83,2.48,1.85,2.09,1.96,1.64,1.59,1.41,1.08,1.35,1.23,1.35,1.03,1.06,1.03,0.91,0.79,0.89,0.61,0.87,0.6,0.65,0.71,0.66,0.62,0.55,0.52,0.51,0.38,0.3,0.25,0.15,0.06,0.04,0.07,0.0,0.0,0.0,3.45,0.0,0.0,100.07
09/10/2021,19.31,14.38,10.02,0.0,3.96,3.91,3.7,3.78,3.1,2.82,2.57,1.72,2.11,1.97,1.62,1.6,1.47,1.11,1.4,1.24,1.38,1.03,1.07,1.05,0.91,0.75,0.86,0.62,0.87,0.62,0.72,0.7,0.65,0.61,0.55,0.53,0.51,0.38,0.31,0.25,0.15,0.05,0.06,0.0,0.0,0.0,0.0,3.61,0.0,0.0,100.03
09/16/2021,19.58,13.82,9.72,0.0,4.01,4.0,3.76,3.8,3.12,2.85,2.61,1.75,2.08,2.0,1.65,1.64,1.46,1.07,1.39,1.26,1.4,1.04,1.08,1.07,0.9,0.76,0.85,0.6,0.87,0.63,0.73,0.69,0.66,0.61,0.56,0.52,0.51,0.38,0.31,0.25,0.15,0.05,0.04,0.0,0.0,0.0,0.03,3.75,0.0,0.0,100.01000000000002
09/21/2021,19.64,14.0,9.67,0.0,3.96,3.92,3.77,3.78,3.14,2.84,2.65,1.71,2.13,1.97,1.62,1.61,1.56,1.05,1.47,1.26,1.48,1.06,1.09,1.06,0.89,0.75,0.93,0.6,0.92,0.62,0.67,0.69,0.64,0.6,0.55,0.5,0.49,0.36,0.31,0.24,0.15,0.05,0.07,0.0,0.0,0.0,0.02,3.51,0.0,0.0,100.0
09/22/2021,19.64,14.0,9.67,0.0,3.96,3.92,3.77,3.78,3.14,2.84,2.65,1.71,2.13,1.97,1.62,1.61,1.56,1.05,1.47,1.26,1.48,1.06,1.09,1.06,0.89,0.75,0.93,0.6,0.92,0.62,0.67,0.69,0.64,0.6,0.55,0.5,0.49,0.36,0.31,0.24,0.15,0.05,0.07,0.0,0.0,0.0,0.02,3.51,0.0,0.0,100.0
09/24/2021,19.92,14.02,9.74,0.0,3.9,3.88,3.52,3.85,3.19,2.89,2.69,1.65,2.17,1.99,1.6,1.49,1.6,1.07,1.48,1.27,1.49,1.06,1.06,1.01,0.87,0.76,0.93,0.6,0.89,0.6,0.79,0.7,0.64,0.61,0.54,0.5,0.49,0.36,0.3,0.23,0.15,0.05,0.11,0.0,0.0,0.0,0.0,3.41,0.0,0.0,100.07
09/27/2021,19.75,13.98,9.65,0.0,3.95,3.91,3.61,3.82,3.17,2.86,2.68,1.68,2.18,1.96,1.62,1.54,1.58,1.11,1.47,1.27,1.52,1.05,1.07,1.03,0.86,0.74,0.9,0.6,0.89,0.61,0.78,0.69,0.64,0.61,0.55,0.49,0.48,0.37,0.31,0.23,0.15,0.05,0.04,0.0,0.0,0.0,0.0,3.56,0.0,0.0,100.01000000000002
09/28/2021,19.69,14.05,9.71,0.0,3.91,3.93,3.67,3.77,3.16,2.8,2.68,1.68,2.14,1.93,1.63,1.57,1.55,1.1,1.47,1.28,1.48,1.06,1.09,1.04,0.86,0.74,0.9,0.61,0.89,0.62,0.78,0.68,0.64,0.61,0.55,0.5,0.48,0.37,0.31,0.24,0.15,0.05,0.06,0.0,0.0,0.0,0.0,3.58,0.0,0.0,100.01
10/20/2021,19.82,14.78,9.65,0.0,3.84,3.97,3.93,3.65,3.03,2.69,2.47,1.63,2.03,1.88,1.64,1.66,1.49,0.97,1.19,1.22,1.43,1.08,1.11,1.11,0.82,0.65,0.94,0.61,0.93,0.6,0.72,0.68,0.62,0.61,0.56,0.51,0.46,0.36,0.3,0.23,0.15,0.05,0.04,0.0,0.0,0.0,-0.02,3.9,0.0,0.0,99.99000000000002
10/21/2021,19.84,14.92,9.57,0.0,3.8,3.94,3.94,3.66,3.07,2.72,2.45,1.63,2.05,1.88,1.64,1.64,1.49,0.99,1.21,1.22,1.44,1.08,1.1,1.1,0.82,0.67,0.92,0.59,0.92,0.6,0.72,0.68,0.63,0.62,0.55,0.5,0.46,0.36,0.3,0.23,0.15,0.05,0.04,0.0,0.0,0.0,-0.02,3.85,0.0,0.0,100.02000000000002
10/22/2021,19.52,14.7,9.64,0.0,3.84,3.98,3.95,3.66,3.08,2.73,2.54,1.66,2.06,1.9,1.66,1.66,1.51,1.0,1.24,1.24,1.47,1.07,1.12,1.11,0.82,0.68,0.93,0.59,0.92,0.59,0.72,0.67,0.63,0.62,0.56,0.51,0.47,0.36,0.3,0.24,0.15,0.05,0.04,0.0,0.0,0.0,-0.05,3.87,0.0,0.0,100.01000000000002
10/25/2021,20.05,14.59,9.68,0.0,3.6,3.99,3.93,3.78,3.03,2.72,2.54,1.64,2.09,1.88,1.64,1.62,1.54,0.99,1.21,1.23,1.46,1.07,1.1,1.11,0.76,0.66,0.93,0.59,0.91,0.59,0.73,0.66,0.63,0.61,0.55,0.51,0.44,0.36,0.29,0.23,0.15,0.05,0.01,0.01,0.0,0.0,-0.03,3.88,0.0,0.0,100.01
11/02/2021,20.55,14.32,9.36,0.0,3.59,4.05,4.07,3.74,2.98,2.71,2.54,1.66,2.1,1.87,1.76,1.6,1.54,0.9,1.18,1.18,1.48,0.97,1.14,1.11,0.75,0.77,0.9,0.57,0.89,0.6,0.7,0.66,0.61,0.6,0.56,0.48,0.43,0.38,0.29,0.24,0.15,0.05,0.04,0.0,0.0,0.0,-0.04,3.95,0.0,0.0,99.98
11/03/2021,20.55,14.32,9.36,0.0,3.59,4.05,4.07,3.74,2.98,2.71,2.54,1.66,2.1,1.87,1.76,1.6,1.54,0.9,1.18,1.18,1.48,0.97,1.14,1.11,0.75,0.77,0.9,0.57,0.89,0.6,0.7,0.66,0.61,0.6,0.56,0.48,0.43,0.38,0.29,0.24,0.15,0.05,0.04,0.0,0.0,0.0,-0.04,3.95,0.0,0.0,99.98
11/04/2021,20.32,14.39,9.4,0.0,3.57,4.04,4.09,3.77,2.97,2.72,2.57,1.68,2.09,1.87,1.76,1.67,1.56,0.88,1.18,1.19,1.51,0.96,1.13,1.11,0.74,0.75,0.9,0.57,0.9,0.6,0.7,0.65,0.61,0.59,0.56,0.48,0.43,0.38,0.3,0.25,0.15,0.05,0.04,0.0,0.0,0.0,-0.04,3.96,0.0,0.0,100.0
11/05/2021,20.2,14.63,9.36,0.0,3.6,4.02,4.08,3.81,2.98,2.74,2.58,1.66,2.09,1.87,1.77,1.66,1.55,0.86,1.18,1.2,1.52,0.96,1.13,1.11,0.76,0.73,0.89,0.54,0.89,0.59,0.7,0.65,0.61,0.59,0.55,0.48,0.43,0.38,0.29,0.24,0.15,0.05,0.04,0.0,0.0,0.0,-0.04,3.92,0.0,0.0,100.0
11/09/2021,20.56,14.46,9.24,0.0,3.67,4.04,4.01,3.49,3.0,2.69,2.57,1.68,2.14,1.84,1.77,1.54,1.56,0.84,1.16,1.2,1.54,0.96,1.13,1.08,0.78,0.75,0.93,0.57,0.93,0.61,0.7,0.66,0.6,0.59,0.55,0.48,0.45,0.38,0.3,0.24,0.15,0.05,0.04,0.0,0.0,0.0,-0.05,4.12,0.0,0.0,100.0
11/10/2021,20.56,14.46,9.24,0.0,3.67,4.04,4.01,3.49,3.0,2.69,2.57,1.68,2.14,1.84,1.77,1.54,1.56,0.84,1.16,1.2,1.54,0.96,1.13,1.08,0.78,0.75,0.93,0.57,0.93,0.61,0.7,0.66,0.6,0.59,0.55,0.48,0.45,0.38,0.3,0.24,0.15,0.05,0.04,0.0,0.0,0.0,-0.05,4.12,0.0,0.0,100.0
11/11/2021,20.36,14.49,9.21,0.0,3.7,4.02,4.01,3.49,3.02,2.71,2.59,1.68,2.13,1.85,1.77,1.55,1.54,0.84,1.18,1.2,1.56,0.95,1.13,1.08,0.77,0.74,0.94,0.56,0.93,0.61,0.7,0.65,0.61,0.59,0.55,0.48,0.44,0.38,0.3,0.24,0.15,0.05,0.04,0.0,0.0,0.0,-0.05,4.23,0.0,0.0,99.97
11/17/2021,20.31,14.41,9.11,0.0,3.7,3.88,3.94,3.55,3.29,2.73,2.43,1.69,2.08,1.88,1.71,1.51,1.56,0.85,1.18,1.19,1.54,0.96,1.13,1.08,0.78,0.75,0.93,0.58,0.91,0.65,0.67,0.68,0.61,0.59,0.54,0.47,0.45,0.38,0.32,0.23,0.15,0.05,0.01,0.0,0.0,0.0,-0.02,4.59,0.0,0.0,100.03000000000002
11/18/2021,20.24,14.42,9.11,0.0,3.7,3.88,3.94,3.53,3.31,2.73,2.47,1.68,2.05,1.86,1.71,1.51,1.47,0.85,1.17,1.2,1.55,0.96,1.13,1.08,0.78,0.75,0.93,0.57,0.92,0.65,0.67,0.68,0.61,0.59,0.55,0.47,0.45,0.38,0.32,0.23,0.15,0.04,0.01,0.0,0.0,0.0,-0.02,4.72,0.0,0.0,100.0
11/19/2021,20.28,14.4,9.13,0.0,3.74,3.88,3.96,3.55,3.31,2.73,2.49,1.69,2.05,1.82,1.71,1.5,1.45,0.85,1.15,1.21,1.52,0.96,1.13,1.08,0.78,0.74,0.92,0.56,0.91,0.66,0.68,0.68,0.61,0.58,0.54,0.47,0.45,0.38,0.33,0.23,0.15,0.04,0.01,0.0,0.0,0.0,-0.02,4.74,0.0,0.0,100.03000000000003
