,300750 C2,TSLA,BHP,1211 HK,NIO,051910.KS,006400.KS,GLEN.L,MNOD LI,002812 C2,XPEV,1772 HK,6752.T,300014 C2,096770.KS,LI,002371 C2,603799 C1,PLUG,ALB,SEDG,300450 C2,UMI.BR,3993 HK,6701.T,FM.TO,SQM,5713.T,S32.AX,MIN.AX,NKLA,VAR1.DE,JMAT.L,QS,EOSE,020150.KS,ENS,HYLN,IGO.AX,LUN.TO,LTHM,BLNK,PLS.AX,066970.KQ,ANTM.JK,4004.T,BEEM,FCEL,082920.KQ,ARI.JO,PLL,SLL.V,2362.HK,LAC.TO,INCO.JK,GPV.V,CBAT,6121 TT,6674.T,NLC.V,NANO.TO,3211 TT,FSR,ASL.DE,ORE.AX,INR.AX,AMG.AS,LGO.TO,GXY.AX,ERA.PA,1585.HK,JMS.AX,WSA.AX,6619.T,TLO.TO,BMN.L,WKHS,NOU.V,1958.HK,NIU,Cash&Other,GOEV,819.HK,RIDE,XL,FUV,SOLO,KNDI,0669701B KS,TAWXE AU,LCID,CHPT,247540.KQ,EVGO,VUL.AX,LEV,FREY,RMO,PTRA,FAST.AS,ARVL,SUM
07/23/2021,8.62,6.59,5.73,4.93,4.43,3.21,2.84,2.82,3.01,2.53,1.97,2.33,1.91,2.21,1.55,1.6,1.9,1.89,1.2,1.63,1.13,1.3,1.18,1.23,1.1,0.88,1.05,0.82,0.81,0.86,0.71,0.8,0.77,0.64,0.68,0.7,0.66,0.56,0.64,0.62,0.6,0.51,0.61,0.9,0.62,0.54,0.5,0.47,0.53,0.58,0.39,0.76,0.43,0.5,0.57,0.47,0.48,0.54,0.49,0.53,0.43,0.43,0.41,0.45,0.45,0.43,0.41,0.41,0.43,0.44,0.37,0.38,0.36,0.46,0.28,0.28,0.24,0.23,0.26,0.22,0.27,0.21,0.21,0.2,0.17,0.19,0.13,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,8.75,6.23,5.64,5.14,4.44,3.12,2.76,2.83,2.92,2.52,2.01,2.63,1.88,2.26,1.49,1.65,2.18,1.91,1.17,1.62,1.13,1.3,1.17,1.3,1.08,0.89,1.05,0.79,0.82,0.87,0.67,0.79,0.76,0.61,0.68,0.69,0.65,0.54,0.66,0.61,0.61,0.51,0.69,1.0,0.58,0.52,0.49,0.45,0.51,0.56,0.41,0.77,0.46,0.49,0.54,0.48,0.47,0.52,0.46,0.53,0.43,0.41,0.39,0.43,0.5,0.44,0.4,0.42,0.48,0.45,0.37,0.36,0.37,0.43,0.28,0.27,0.23,0.25,0.25,0.22,0.15,0.2,0.21,0.19,0.16,0.19,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,8.67,6.24,5.76,5.28,4.29,3.16,2.83,2.89,2.94,2.48,1.92,2.49,1.89,2.27,1.52,1.53,2.19,1.89,1.16,1.61,1.11,1.3,1.18,1.29,1.08,0.92,1.01,0.8,0.83,0.9,0.67,0.81,0.77,0.59,0.65,0.7,0.65,0.53,0.67,0.62,0.59,0.5,0.71,1.01,0.6,0.52,0.48,0.43,0.51,0.57,0.39,0.78,0.47,0.48,0.55,0.48,0.45,0.54,0.47,0.54,0.43,0.41,0.39,0.43,0.5,0.46,0.42,0.42,0.48,0.47,0.36,0.37,0.39,0.43,0.29,0.27,0.22,0.26,0.25,0.21,0.15,0.2,0.21,0.17,0.16,0.2,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/28/2021,8.67,6.24,5.76,5.28,4.29,3.16,2.83,2.89,2.94,2.48,1.92,2.49,1.89,2.27,1.52,1.53,2.19,1.89,1.16,1.61,1.11,1.3,1.18,1.29,1.08,0.92,1.01,0.8,0.83,0.9,0.67,0.81,0.77,0.59,0.65,0.7,0.65,0.53,0.67,0.62,0.59,0.5,0.71,1.01,0.6,0.52,0.48,0.43,0.51,0.57,0.39,0.78,0.47,0.48,0.55,0.48,0.45,0.54,0.47,0.54,0.43,0.41,0.39,0.43,0.5,0.46,0.42,0.42,0.48,0.47,0.36,0.37,0.39,0.43,0.29,0.27,0.22,0.26,0.25,0.21,0.15,0.2,0.21,0.17,0.16,0.2,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/29/2021,8.54,6.37,5.95,5.05,4.2,3.11,2.77,3.0,2.95,2.46,1.91,2.51,1.9,2.17,1.49,1.55,2.15,1.88,1.17,1.65,1.09,1.27,1.19,1.32,1.08,0.94,1.02,0.82,0.85,0.91,0.68,0.82,0.76,0.59,0.64,0.69,0.65,0.56,0.68,0.64,0.6,0.51,0.73,0.85,0.6,0.53,0.48,0.43,0.5,0.59,0.4,0.74,0.47,0.51,0.56,0.49,0.43,0.54,0.49,0.53,0.44,0.42,0.4,0.43,0.51,0.45,0.44,0.43,0.49,0.48,0.34,0.37,0.37,0.46,0.29,0.27,0.23,0.25,0.24,0.2,0.32,0.2,0.2,0.17,0.16,0.18,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
07/30/2021,8.54,6.37,5.95,5.05,4.2,3.11,2.77,3.0,2.95,2.46,1.91,2.51,1.9,2.17,1.49,1.55,2.15,1.88,1.17,1.65,1.09,1.27,1.19,1.32,1.08,0.94,1.02,0.82,0.85,0.91,0.68,0.82,0.76,0.59,0.64,0.69,0.65,0.56,0.68,0.64,0.6,0.51,0.73,0.85,0.6,0.53,0.48,0.43,0.5,0.59,0.4,0.74,0.47,0.51,0.56,0.49,0.43,0.54,0.49,0.53,0.44,0.42,0.4,0.43,0.51,0.45,0.44,0.43,0.49,0.48,0.34,0.37,0.37,0.46,0.29,0.27,0.23,0.25,0.24,0.2,0.32,0.2,0.2,0.17,0.16,0.18,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
08/02/2021,8.83,6.44,5.93,5.27,4.07,3.03,2.76,3.01,2.95,2.51,1.75,2.54,1.93,2.0,1.42,1.52,2.31,1.85,1.16,1.69,1.14,1.39,1.14,1.31,1.1,1.0,1.02,0.85,0.83,0.91,0.57,0.8,0.74,0.58,0.61,0.64,0.65,0.54,0.67,0.61,0.6,0.52,0.73,0.78,0.58,0.54,0.48,0.43,0.5,0.61,0.41,0.78,0.46,0.53,0.55,0.47,0.41,0.53,0.48,0.63,0.41,0.41,0.4,0.43,0.52,0.46,0.4,0.45,0.49,0.49,0.33,0.36,0.39,0.47,0.34,0.27,0.24,0.26,0.24,0.19,0.27,0.19,0.19,0.14,0.16,0.19,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/03/2021,8.71,6.52,5.79,5.43,4.26,3.04,2.65,2.93,2.94,2.36,1.86,2.51,1.85,2.03,1.39,1.65,2.53,1.79,1.16,1.71,1.13,1.5,1.13,1.25,1.04,0.99,0.99,0.83,0.82,0.89,0.56,0.82,0.74,0.59,0.59,0.64,0.65,0.54,0.69,0.62,0.6,0.52,0.72,0.77,0.57,0.54,0.49,0.42,0.49,0.61,0.4,0.78,0.49,0.52,0.56,0.46,0.4,0.53,0.48,0.61,0.41,0.41,0.39,0.43,0.53,0.44,0.39,0.44,0.5,0.47,0.31,0.37,0.4,0.46,0.34,0.3,0.23,0.25,0.24,0.19,0.27,0.19,0.22,0.14,0.16,0.2,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/04/2021,8.71,6.52,5.79,5.43,4.26,3.04,2.65,2.93,2.94,2.36,1.86,2.51,1.85,2.03,1.39,1.65,2.53,1.79,1.16,1.71,1.13,1.5,1.13,1.25,1.04,0.99,0.99,0.83,0.82,0.89,0.56,0.82,0.74,0.59,0.59,0.64,0.65,0.54,0.69,0.62,0.6,0.52,0.72,0.77,0.57,0.54,0.49,0.42,0.49,0.61,0.4,0.78,0.49,0.52,0.56,0.46,0.4,0.53,0.48,0.61,0.41,0.41,0.39,0.43,0.53,0.44,0.39,0.44,0.5,0.47,0.31,0.37,0.4,0.46,0.34,0.3,0.23,0.25,0.24,0.19,0.27,0.19,0.22,0.14,0.16,0.2,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/05/2021,8.62,6.64,5.71,5.79,4.31,3.08,2.64,2.92,2.92,2.36,1.97,2.52,1.88,2.03,1.38,1.64,2.32,1.8,1.12,1.69,1.11,1.53,1.14,1.29,1.08,0.97,0.97,0.84,0.82,0.84,0.52,0.84,0.72,0.58,0.56,0.62,0.63,0.54,0.69,0.61,0.61,0.51,0.77,0.74,0.56,0.55,0.47,0.41,0.48,0.62,0.4,0.77,0.45,0.51,0.54,0.46,0.41,0.53,0.49,0.6,0.4,0.4,0.38,0.42,0.53,0.46,0.39,0.44,0.5,0.47,0.32,0.37,0.39,0.47,0.33,0.31,0.22,0.24,0.24,0.19,0.27,0.19,0.23,0.14,0.16,0.2,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/06/2021,8.36,6.71,5.86,5.86,4.23,3.07,2.68,2.98,2.96,2.42,1.96,2.4,1.9,1.98,1.38,1.6,2.11,1.64,1.12,1.71,1.3,1.51,1.16,1.24,1.09,0.96,1.0,0.85,0.83,0.85,0.48,0.84,0.74,0.56,0.58,0.62,0.64,0.53,0.7,0.6,0.61,0.51,0.81,0.75,0.56,0.55,0.46,0.41,0.49,0.62,0.41,0.9,0.44,0.49,0.53,0.46,0.41,0.53,0.49,0.62,0.43,0.4,0.36,0.43,0.54,0.47,0.39,0.43,0.52,0.47,0.34,0.38,0.39,0.47,0.33,0.3,0.21,0.24,0.24,0.19,0.27,0.19,0.22,0.13,0.15,0.2,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/10/2021,8.46,6.53,5.57,6.16,4.11,3.01,2.75,2.9,2.86,2.71,1.86,2.52,1.89,2.15,1.31,1.49,2.16,1.76,1.09,1.87,1.28,1.55,1.18,1.26,1.06,0.95,1.04,0.83,0.81,0.82,0.48,0.88,0.72,0.56,0.56,0.63,0.64,0.54,0.71,0.6,0.68,0.52,0.84,0.8,0.52,0.52,0.47,0.41,0.49,0.58,0.44,0.93,0.42,0.52,0.5,0.45,0.4,0.53,0.43,0.66,0.4,0.4,0.35,0.42,0.53,0.5,0.39,0.44,0.51,0.46,0.32,0.38,0.38,0.47,0.31,0.29,0.2,0.23,0.23,0.17,0.13,0.19,0.21,0.13,0.16,0.22,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/11/2021,8.46,6.53,5.57,6.16,4.11,3.01,2.75,2.9,2.86,2.71,1.86,2.52,1.89,2.15,1.31,1.49,2.16,1.76,1.09,1.87,1.28,1.55,1.18,1.26,1.06,0.95,1.04,0.83,0.81,0.82,0.48,0.88,0.72,0.56,0.56,0.63,0.64,0.54,0.71,0.6,0.68,0.52,0.84,0.8,0.52,0.52,0.47,0.41,0.49,0.58,0.44,0.93,0.42,0.52,0.5,0.45,0.4,0.53,0.43,0.66,0.4,0.4,0.35,0.42,0.53,0.5,0.39,0.44,0.51,0.46,0.32,0.38,0.38,0.47,0.31,0.29,0.2,0.23,0.23,0.17,0.13,0.19,0.21,0.13,0.16,0.22,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/13/2021,7.91,6.62,5.62,6.02,4.14,3.02,2.81,2.93,2.77,2.42,1.91,2.37,1.87,1.95,1.31,1.49,2.04,1.64,1.22,1.97,1.28,1.5,1.23,1.29,1.04,0.96,1.11,0.77,0.79,0.84,0.48,0.89,0.73,0.61,0.58,0.63,0.64,0.54,0.71,0.6,0.77,0.57,0.94,0.83,0.52,0.51,0.53,0.49,0.49,0.57,0.48,1.07,0.39,0.6,0.49,0.45,0.42,0.51,0.44,0.71,0.39,0.39,0.44,0.42,0.59,0.52,0.4,0.45,0.56,0.46,0.35,0.38,0.37,0.44,0.29,0.3,0.2,0.24,0.24,0.18,0.18,0.19,0.21,0.13,0.17,0.24,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/16/2021,6.51,6.6,6.73,5.52,3.22,3.02,2.85,3.24,3.13,2.45,1.45,2.3,1.99,2.11,0.0,1.33,1.86,1.74,1.18,1.79,1.17,1.35,1.3,1.51,1.18,1.14,1.16,1.08,1.0,0.86,0.67,0.85,0.88,0.24,0.57,0.68,0.66,0.54,0.77,0.81,0.72,0.56,0.7,0.74,0.68,0.75,0.0,0.61,0.0,0.69,0.57,0.51,0.59,0.67,0.67,0.0,0.0,0.59,0.56,0.0,0.0,0.53,0.03,0.46,0.6,0.58,0.57,0.55,0.59,0.61,0.07,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.93,0.8,0.71,0.63,0.61,0.6,0.58,0.57,0.53,0.12,100.00999999999999
