,XLK,XLC,XLV,XLF,XLI,XLRE,XLP,XLY,XLB,XLU,XLE,SUM
11/26/2021,29.04,9.2,11.35,14.16,8.53,2.69,1.01,15.68,2.56,0.99,4.78,99.98999999999998
11/29/2021,29.17,9.18,11.31,14.09,8.5,2.72,1.0,15.67,2.54,0.99,4.82,99.99
11/30/2021,29.15,9.24,11.55,13.96,8.47,2.71,1.01,15.62,2.56,1.0,4.74,100.01
12/01/2021,29.15,9.24,11.55,13.96,8.47,2.71,1.01,15.62,2.56,1.0,4.74,100.01
12/02/2021,29.51,9.2,11.44,13.83,8.38,2.71,1.0,15.67,2.54,1.0,4.71,99.99
12/06/2021,29.57,8.99,11.42,13.96,8.42,2.73,1.0,15.63,2.54,1.0,4.75,100.01000000000002
12/07/2021,29.57,8.99,11.42,13.96,8.42,2.73,1.0,15.63,2.54,1.0,4.75,100.01000000000002
12/08/2021,29.57,8.99,11.42,13.96,8.42,2.73,1.0,15.63,2.54,1.0,4.75,100.01000000000002
12/09/2021,29.57,8.99,11.42,13.96,8.42,2.73,1.0,15.63,2.54,1.0,4.75,100.01000000000002
12/10/2021,29.57,8.99,11.42,13.96,8.42,2.73,1.0,15.63,2.54,1.0,4.75,100.01000000000002
12/13/2021,29.57,8.99,11.42,13.96,8.42,2.73,1.0,15.63,2.54,1.0,4.75,100.01000000000002
12/14/2021,29.57,8.99,11.42,13.96,8.42,2.73,1.0,15.63,2.54,1.0,4.75,100.01000000000002
12/15/2021,29.57,8.99,11.42,13.96,8.42,2.73,1.0,15.63,2.54,1.0,4.75,100.01000000000002
12/16/2021,29.57,8.99,11.42,13.96,8.42,2.73,1.0,15.63,2.54,1.0,4.75,100.01000000000002
12/17/2021,29.57,8.99,11.42,13.96,8.42,2.73,1.0,15.63,2.54,1.0,4.75,100.01000000000002
12/20/2021,29.57,8.99,11.42,13.96,8.42,2.73,1.0,15.63,2.54,1.0,4.75,100.01000000000002
12/21/2021,29.44,9.14,12.06,13.88,8.4,2.83,1.06,14.93,2.59,1.05,4.63,100.01
12/22/2021,29.44,9.14,12.06,13.88,8.4,2.83,1.06,14.93,2.59,1.05,4.63,100.01
12/23/2021,29.51,9.21,12.13,13.76,8.37,2.83,1.07,14.91,2.57,1.06,4.59,100.01
12/24/2021,29.67,9.2,11.94,13.77,8.37,2.8,1.05,14.99,2.55,1.04,4.62,100.0
12/27/2021,29.72,9.15,11.93,13.68,8.35,2.77,1.04,15.22,2.56,1.02,4.58,100.02
12/28/2021,29.72,9.15,11.93,13.68,8.35,2.77,1.04,15.22,2.56,1.02,4.58,100.02
12/29/2021,29.72,9.15,11.93,13.68,8.35,2.77,1.04,15.22,2.56,1.02,4.58,100.02
12/30/2021,29.92,9.11,11.88,13.62,8.32,2.78,1.03,15.15,2.56,1.01,4.61,99.99
12/31/2021,29.8,9.11,11.86,13.64,8.37,2.8,1.04,15.17,2.57,1.02,4.61,99.99
