,FB,700.HK,SNAP,TWTR,035720.KS,GOOGL,035420.KS,PINS,NTES,MTCH,BILI,SPOT,YNDX,BIDU,IAC,ZNGA,3659.T,1024.HK,VMEO,TME,MAIL.L,WB,UTDI.DE,2371.T,BMBL,YELP,YALA,2432.T,MOMO,HUYA,2121.T,GRPN,CASH,078340.KQ,ANGI,067160.KQ,YY,3632.T,1357.HK,8044 TT,360.AX,BLCT,HP CN,B 08/12/21,HP.CN,n/a,B 0 08/12/21,FRGXX,MOMOUSD,8044,SUM
07/23/2021,11.52,8.84,8.2,6.3,6.03,5.41,5.48,4.61,5.19,4.62,4.97,4.14,4.18,4.08,2.08,2.09,1.84,1.55,1.13,0.82,0.83,0.94,0.75,0.7,0.52,0.51,0.35,0.31,0.23,0.22,0.19,0.18,0.15,0.15,0.15,0.15,0.11,0.11,0.09,0.12,0.1,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/26/2021,11.73,8.79,8.21,6.39,5.8,5.46,5.45,4.65,5.12,4.78,4.78,4.06,4.22,4.06,2.13,2.05,1.83,1.6,1.09,0.82,0.85,0.95,0.78,0.69,0.58,0.5,0.36,0.3,0.23,0.22,0.19,0.17,0.15,0.15,0.15,0.14,0.11,0.11,0.09,0.12,0.1,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/27/2021,11.73,8.79,8.21,6.39,5.8,5.46,5.45,4.65,5.12,4.78,4.78,4.06,4.22,4.06,2.13,2.05,1.83,1.6,1.09,0.82,0.85,0.95,0.78,0.69,0.58,0.5,0.36,0.3,0.23,0.22,0.19,0.17,0.15,0.15,0.15,0.14,0.11,0.11,0.09,0.12,0.1,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/29/2021,12.54,7.97,10.03,6.36,5.82,5.74,5.61,4.93,4.1,4.93,3.88,4.03,4.25,3.72,2.15,2.06,1.86,1.27,1.13,0.75,0.85,0.88,0.78,0.7,0.56,0.53,0.31,0.31,0.21,0.21,0.2,0.17,0.14,0.15,0.16,0.15,0.11,0.11,0.09,0.12,0.1,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/30/2021,12.67,7.42,9.95,6.47,6.0,5.78,5.77,4.9,4.14,4.98,3.75,4.06,4.25,3.7,2.16,2.07,1.93,1.24,1.15,0.73,0.86,0.82,0.8,0.73,0.56,0.53,0.29,0.32,0.21,0.19,0.2,0.17,0.14,0.16,0.16,0.17,0.11,0.12,0.09,0.12,0.1,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/02/2021,12.09,8.03,9.87,6.53,5.91,5.83,5.51,4.66,4.63,4.92,3.97,3.78,4.2,3.84,2.18,2.04,1.87,1.33,1.16,0.76,0.85,0.87,0.78,0.7,0.58,0.53,0.3,0.31,0.22,0.2,0.2,0.17,-6.97,0.15,0.15,0.16,0.11,0.11,0.1,0.12,0.1,0.02,0.0,7.1,0.02,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/03/2021,12.09,8.03,9.87,6.53,5.91,5.83,5.51,4.66,4.63,4.92,3.97,3.78,4.2,3.84,2.18,2.04,1.87,1.33,1.16,0.76,0.85,0.87,0.78,0.7,0.58,0.53,0.3,0.31,0.22,0.2,0.2,0.17,-6.97,0.15,0.15,0.16,0.11,0.11,0.1,0.12,0.1,0.02,0.0,7.1,0.02,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/04/2021,12.23,7.99,9.97,6.56,5.96,5.86,5.54,3.89,4.8,4.9,3.89,3.92,4.23,3.85,2.18,2.06,1.86,1.26,1.15,0.77,0.87,0.89,0.8,0.69,0.58,0.52,0.31,0.31,0.22,0.21,0.2,0.17,-6.92,0.15,0.15,0.17,0.11,0.11,0.1,0.11,0.1,0.02,0.0,7.26,0.02,0.0,0.0,0.0,0.0,0.0,100.02
08/05/2021,12.08,7.92,9.85,6.5,5.92,5.87,5.53,3.77,4.93,4.96,4.1,3.92,4.21,3.91,2.18,2.06,1.89,1.26,1.15,0.79,0.86,0.91,0.8,0.71,0.57,0.51,0.32,0.31,0.23,0.21,0.21,0.17,-6.93,0.15,0.15,0.16,0.11,0.12,0.1,0.11,0.1,0.02,0.0,7.26,0.02,0.0,0.0,0.0,0.0,0.0,99.98
08/06/2021,12.37,7.59,10.09,6.64,5.97,6.08,5.59,4.05,4.46,4.98,3.9,3.82,4.3,3.93,2.18,2.06,1.81,1.26,1.16,0.79,0.86,0.92,0.82,0.72,0.56,0.52,0.31,0.31,0.23,0.2,0.21,0.18,0.13,0.15,0.15,0.16,0.1,0.12,0.09,0.11,0.1,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
08/10/2021,12.71,7.43,10.58,6.67,6.17,6.07,5.77,4.05,4.18,4.57,3.71,3.86,4.31,3.95,2.15,2.03,1.79,1.03,1.18,0.78,0.88,0.91,0.82,0.74,0.56,0.53,0.31,0.3,0.23,0.19,0.2,0.17,0.0,0.16,0.16,0.17,0.1,0.12,0.09,0.11,0.1,0.02,0.02,0.0,0.0,0.13,0.0,0.0,0.0,0.0,100.01
08/11/2021,12.89,7.77,10.52,6.57,6.11,6.13,5.88,3.99,4.2,4.61,3.68,3.92,4.35,3.97,2.12,1.68,1.81,0.99,0.99,0.79,0.88,0.91,0.8,0.76,0.57,0.56,0.31,0.3,0.23,0.18,0.2,0.15,0.0,0.16,0.15,0.18,0.1,0.12,0.09,0.11,0.1,0.02,0.02,0.0,0.0,0.13,0.0,0.0,0.0,0.0,100.0
08/12/2021,12.71,7.84,10.73,6.48,6.15,6.12,5.86,3.96,4.42,4.42,3.8,3.93,4.29,3.98,2.12,1.69,1.79,0.96,0.92,0.8,0.87,0.9,0.81,0.75,0.56,0.55,0.33,0.3,0.23,0.19,0.2,0.13,0.0,0.16,0.15,0.19,0.1,0.12,0.1,0.1,0.1,0.02,0.02,0.0,0.0,0.12,0.0,0.0,0.0,0.0,99.96999999999998
08/13/2021,12.8,8.33,10.5,6.4,6.11,6.17,5.87,3.89,4.41,4.4,3.74,3.8,4.32,4.0,2.07,1.7,1.81,1.0,0.92,0.8,0.88,0.9,0.83,0.76,0.55,0.56,0.27,0.3,0.24,0.18,0.19,0.13,0.0,0.15,0.14,0.18,0.1,0.12,0.1,0.1,0.11,0.02,0.02,0.0,0.0,0.12,0.0,0.0,0.0,0.0,99.99
08/16/2021,12.91,8.29,10.46,6.36,6.12,6.21,5.75,3.87,4.46,4.42,3.75,3.81,4.36,3.87,2.1,1.73,1.88,0.99,0.9,0.76,0.9,0.89,0.82,0.79,0.6,0.56,0.27,0.3,0.23,0.17,0.19,0.12,0.0,0.15,0.14,0.18,0.1,0.12,0.1,0.1,0.11,0.02,0.02,0.0,0.0,0.12,0.0,0.0,0.0,0.0,100.0
08/18/2021,13.11,8.2,10.52,6.43,6.1,6.33,5.74,3.88,4.41,4.39,3.52,3.8,4.43,3.75,2.06,1.77,1.97,0.95,0.88,0.75,0.9,0.87,0.84,0.81,0.59,0.56,0.26,0.31,0.23,0.17,0.19,0.12,0.0,0.14,0.14,0.19,0.09,0.13,0.1,0.1,0.11,0.02,0.02,0.0,0.0,0.12,0.0,0.0,0.0,0.0,100.0
08/19/2021,13.43,8.03,10.36,6.42,6.19,6.45,5.83,3.95,4.26,4.4,3.35,3.81,4.6,3.66,2.12,1.77,1.93,0.9,0.84,0.69,0.9,0.85,0.86,0.81,0.6,0.55,0.25,0.31,0.23,0.16,0.19,0.12,0.0,0.15,0.14,0.19,0.09,0.13,0.1,0.1,0.12,0.02,0.02,0.0,0.0,0.12,0.0,0.0,0.0,0.0,100.0
08/20/2021,13.42,7.86,10.5,6.47,6.11,6.51,5.81,4.02,4.27,4.37,3.34,3.84,4.67,3.63,2.15,1.82,1.94,0.88,0.82,0.62,0.92,0.8,0.87,0.82,0.57,0.54,0.25,0.32,0.23,0.17,0.19,0.12,0.0,0.14,0.14,0.19,0.09,0.13,0.1,0.1,0.11,0.02,0.02,0.0,0.0,0.12,0.0,0.0,0.0,0.0,100.01
08/23/2021,13.47,7.71,10.5,6.47,6.39,6.55,5.83,3.82,4.08,4.52,3.21,3.87,4.68,3.55,2.22,1.88,1.91,0.82,0.86,0.58,0.92,0.83,0.9,0.81,0.62,0.56,0.25,0.32,0.22,0.17,0.2,0.12,0.0,0.14,0.14,0.19,0.1,0.13,0.1,0.1,0.11,0.02,0.0,0.0,0.02,0.12,0.0,0.0,0.0,0.0,100.01
08/24/2021,13.47,7.71,10.5,6.47,6.39,6.55,5.83,3.82,4.08,4.52,3.21,3.87,4.68,3.55,2.22,1.88,1.91,0.82,0.86,0.58,0.92,0.83,0.9,0.81,0.62,0.56,0.25,0.32,0.22,0.17,0.2,0.12,0.0,0.14,0.14,0.19,0.1,0.13,0.1,0.1,0.11,0.02,0.0,0.0,0.02,0.12,0.0,0.0,0.0,0.0,100.01
08/25/2021,13.47,7.7,10.65,6.44,6.19,6.56,5.72,3.87,4.11,4.44,3.29,4.04,4.61,3.51,2.23,1.89,1.88,0.84,0.93,0.59,0.88,0.86,0.9,0.81,0.6,0.56,0.24,0.31,0.23,0.17,0.19,0.11,0.0,0.14,0.15,0.19,0.1,0.13,0.12,0.1,0.11,0.02,0.0,0.0,0.02,0.11,0.0,0.0,0.0,0.0,100.01
08/26/2021,13.27,7.64,10.77,6.44,6.25,6.51,5.69,3.83,4.23,4.45,3.37,4.03,4.55,3.55,2.2,1.9,1.86,0.84,0.98,0.62,0.85,0.86,0.89,0.81,0.62,0.56,0.25,0.3,0.23,0.17,0.19,0.12,0.0,0.14,0.14,0.19,0.1,0.13,0.12,0.1,0.12,0.02,0.0,0.0,0.02,0.11,0.0,0.0,0.0,0.0,100.01999999999998
08/27/2021,13.0,8.1,10.37,6.26,6.15,6.39,5.69,3.76,4.49,4.45,3.67,3.98,4.49,3.76,2.17,1.86,1.78,0.94,0.95,0.69,0.83,0.89,0.87,0.82,0.63,0.55,0.25,0.3,0.24,0.18,0.19,0.12,0.0,0.14,0.14,0.2,0.11,0.13,0.12,0.09,0.11,0.02,0.0,0.0,0.02,0.1,0.0,0.0,0.0,0.0,100.0
08/30/2021,13.1,8.19,10.05,6.19,6.21,6.47,5.54,3.94,4.47,4.38,3.67,4.02,4.57,3.78,2.17,1.87,1.81,0.84,0.99,0.66,0.84,0.9,0.86,0.83,0.63,0.55,0.24,0.3,0.24,0.18,0.19,0.12,0.0,0.14,0.14,0.19,0.12,0.13,0.11,0.1,0.12,0.02,0.0,0.0,0.02,0.1,0.0,0.0,0.0,0.0,99.98999999999998
08/31/2021,13.1,8.19,10.05,6.19,6.21,6.47,5.54,3.94,4.47,4.38,3.67,4.02,4.57,3.78,2.17,1.87,1.81,0.84,0.99,0.66,0.84,0.9,0.86,0.83,0.63,0.55,0.24,0.3,0.24,0.18,0.19,0.12,0.0,0.14,0.14,0.19,0.12,0.13,0.11,0.1,0.12,0.02,0.0,0.0,0.02,0.1,0.0,0.0,0.0,0.0,99.98999999999998
09/01/2021,13.29,8.03,10.18,6.22,6.19,6.53,5.46,3.91,4.5,4.48,3.54,4.01,4.67,3.72,2.18,1.9,1.75,0.84,1.01,0.65,0.84,0.8,0.86,0.82,0.65,0.56,0.24,0.29,0.24,0.17,0.19,0.12,0.0,0.14,0.14,0.19,0.13,0.12,0.11,0.1,0.12,0.01,0.0,0.0,0.02,0.1,0.0,0.0,0.0,0.0,100.02
09/02/2021,13.47,7.96,10.3,6.29,6.22,6.51,5.53,3.83,4.32,4.4,3.45,4.11,4.68,3.69,2.15,1.86,1.77,0.91,1.01,0.64,0.83,0.8,0.86,0.81,0.65,0.55,0.24,0.3,0.24,0.17,0.19,0.11,0.0,0.14,0.14,0.19,0.13,0.12,0.12,0.1,0.12,0.01,0.0,0.0,0.02,0.09,0.0,0.0,0.0,0.0,100.03
09/03/2021,13.19,8.08,10.33,6.16,6.29,6.4,5.61,3.7,4.61,4.26,3.67,4.05,4.83,3.71,2.11,1.82,1.68,0.97,0.99,0.65,0.85,0.81,0.84,0.81,0.63,0.54,0.24,0.29,0.24,0.17,0.19,0.12,0.0,0.14,0.14,0.19,0.13,0.12,0.12,0.09,0.12,0.01,0.0,0.0,0.02,0.09,0.0,0.0,0.0,0.0,100.01
09/06/2021,12.89,8.24,9.92,6.1,6.2,6.26,5.58,3.74,4.44,4.51,3.79,4.34,4.81,3.8,2.11,1.8,1.79,1.0,1.02,0.64,0.88,0.84,0.83,0.83,0.66,0.53,0.23,0.3,0.24,0.18,0.19,0.11,0.0,0.14,0.14,0.2,0.13,0.13,0.12,0.09,0.12,0.01,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,99.99
09/08/2021,12.87,8.08,10.03,6.08,6.26,6.26,5.7,3.71,4.33,4.52,3.87,4.24,4.87,3.8,2.08,1.78,1.8,1.02,1.02,0.65,0.88,0.85,0.83,0.85,0.68,0.52,0.24,0.3,0.24,0.18,0.19,0.11,0.0,0.13,0.14,0.2,0.13,0.12,0.12,0.09,0.12,0.01,0.0,0.0,0.02,0.08,0.0,0.0,0.0,0.0,100.0
09/09/2021,12.87,8.08,10.03,6.08,6.26,6.26,5.7,3.71,4.33,4.52,3.87,4.24,4.87,3.8,2.08,1.78,1.8,1.02,1.02,0.65,0.88,0.85,0.83,0.85,0.68,0.52,0.24,0.3,0.24,0.18,0.19,0.11,0.0,0.13,0.14,0.2,0.13,0.12,0.12,0.09,0.12,0.01,0.0,0.0,0.02,0.08,0.0,0.0,0.0,0.0,100.0
09/10/2021,12.87,8.39,10.06,6.01,6.06,6.18,5.51,3.59,4.39,4.78,4.04,4.27,4.72,3.82,2.05,1.73,1.85,1.13,1.0,0.64,0.86,0.84,0.82,0.82,0.64,0.5,0.24,0.3,0.24,0.18,0.19,0.11,0.0,0.13,0.13,0.2,0.13,0.12,0.12,0.1,0.12,0.01,0.0,0.0,0.02,0.07,0.0,0.0,0.0,0.0,99.98
09/13/2021,13.27,8.15,10.23,6.03,5.22,6.41,5.11,3.71,4.25,4.94,3.88,4.3,4.99,3.91,2.12,1.72,1.89,1.07,1.03,0.65,0.89,0.87,0.85,0.89,0.65,0.52,0.24,0.31,0.24,0.16,0.2,0.11,0.0,0.13,0.14,0.21,0.13,0.13,0.12,0.1,0.12,0.01,0.0,0.0,0.02,0.07,0.0,0.0,0.0,0.0,99.99
09/14/2021,13.27,8.15,10.23,6.03,5.22,6.41,5.11,3.71,4.25,4.94,3.88,4.3,4.99,3.91,2.12,1.72,1.89,1.07,1.03,0.65,0.89,0.87,0.85,0.89,0.65,0.52,0.24,0.31,0.24,0.16,0.2,0.11,0.0,0.13,0.14,0.21,0.13,0.13,0.12,0.1,0.12,0.01,0.0,0.0,0.02,0.07,0.0,0.0,0.0,0.0,99.99
09/15/2021,13.24,8.28,10.17,5.92,5.26,6.27,5.22,3.63,4.2,5.12,3.84,4.31,5.06,3.9,2.11,1.82,1.73,1.13,1.03,0.64,0.89,0.86,0.84,0.91,0.67,0.5,0.23,0.32,0.23,0.16,0.21,0.1,0.0,0.13,0.14,0.21,0.13,0.13,0.12,0.1,0.12,0.01,0.0,0.0,0.02,0.08,0.0,0.0,0.0,0.0,99.99
09/16/2021,13.36,8.19,9.87,5.82,5.08,6.43,5.24,3.75,4.26,5.13,3.76,4.31,5.24,3.94,2.14,1.75,1.75,1.17,1.0,0.62,0.94,0.85,0.83,0.93,0.64,0.52,0.22,0.33,0.23,0.17,0.21,0.11,0.0,0.13,0.14,0.2,0.13,0.14,0.11,0.11,0.12,0.01,0.0,0.0,0.02,0.08,0.0,0.0,0.0,0.0,99.98
09/17/2021,13.47,8.17,9.96,5.92,5.12,6.49,5.24,3.73,4.11,5.02,3.75,4.34,5.29,3.91,2.18,1.74,1.76,1.15,0.91,0.61,0.94,0.85,0.84,0.92,0.62,0.52,0.21,0.33,0.23,0.16,0.21,0.1,0.0,0.14,0.16,0.2,0.13,0.14,0.12,0.1,0.12,0.01,0.0,0.0,0.02,0.08,0.0,0.0,0.0,0.0,100.02
09/20/2021,13.45,7.85,10.2,6.17,5.06,6.58,5.27,3.74,4.14,5.14,3.45,4.34,5.27,3.91,2.3,1.71,1.62,1.13,0.94,0.6,0.94,0.85,0.83,0.91,0.65,0.53,0.21,0.32,0.22,0.15,0.21,0.1,0.0,0.14,0.17,0.2,0.11,0.13,0.11,0.1,0.12,0.01,0.0,0.0,0.02,0.08,0.0,0.0,0.0,0.0,99.98
09/21/2021,13.45,7.85,10.2,6.17,5.06,6.58,5.27,3.74,4.14,5.14,3.45,4.34,5.27,3.91,2.3,1.71,1.62,1.13,0.94,0.6,0.94,0.85,0.83,0.91,0.65,0.53,0.21,0.32,0.22,0.15,0.21,0.1,0.0,0.14,0.17,0.2,0.11,0.13,0.11,0.1,0.12,0.01,0.0,0.0,0.02,0.08,0.0,0.0,0.0,0.0,99.98
09/22/2021,13.15,8.04,10.53,6.19,4.96,6.46,5.27,3.78,4.07,5.05,3.53,4.45,5.24,3.98,2.21,1.71,1.59,1.2,0.89,0.6,0.94,0.84,0.83,0.91,0.64,0.53,0.21,0.32,0.21,0.16,0.2,0.11,0.0,0.14,0.17,0.19,0.11,0.13,0.11,0.1,0.12,0.01,0.0,0.0,0.02,0.08,0.0,0.0,0.0,0.0,99.98
09/23/2021,13.18,8.12,10.38,6.21,5.1,6.54,5.41,3.73,4.04,5.0,3.4,4.38,5.29,3.9,2.18,1.7,1.64,1.2,0.89,0.58,0.93,0.84,0.84,0.94,0.64,0.55,0.2,0.33,0.21,0.15,0.21,0.11,0.0,0.14,0.16,0.19,0.11,0.13,0.11,0.11,0.13,0.01,0.0,0.0,0.02,0.07,0.0,0.0,0.0,0.0,100.0
09/24/2021,13.14,7.98,10.92,6.34,5.06,6.5,5.37,3.69,4.0,4.98,3.42,4.29,5.25,3.92,2.2,1.67,1.55,1.17,0.89,0.57,0.94,0.82,0.84,0.93,0.65,0.55,0.19,0.32,0.21,0.15,0.21,0.11,0.0,0.14,0.16,0.19,0.11,0.13,0.11,0.1,0.12,0.01,0.0,0.0,0.02,0.07,0.0,0.0,0.0,0.0,99.99
09/27/2021,12.54,8.11,11.24,6.65,4.8,6.51,5.26,3.75,4.03,5.0,3.55,4.24,5.3,3.96,2.23,1.64,1.5,1.15,0.89,0.57,0.91,0.81,0.82,0.9,0.66,0.58,0.2,0.31,0.21,0.15,0.2,0.12,0.0,0.14,0.19,0.19,0.11,0.13,0.11,0.12,0.12,0.01,0.0,0.0,0.02,0.07,0.0,0.0,0.0,0.0,100.0
09/28/2021,12.54,8.11,11.24,6.65,4.8,6.51,5.26,3.75,4.03,5.0,3.55,4.24,5.3,3.96,2.23,1.64,1.5,1.15,0.89,0.57,0.91,0.81,0.82,0.9,0.66,0.58,0.2,0.31,0.21,0.15,0.2,0.12,0.0,0.14,0.19,0.19,0.11,0.13,0.11,0.12,0.12,0.01,0.0,0.0,0.02,0.07,0.0,0.0,0.0,0.0,100.0
09/29/2021,12.68,7.98,11.66,6.64,4.94,6.5,5.28,3.73,3.98,5.16,3.35,4.12,5.21,3.83,2.32,1.63,1.55,1.03,0.89,0.54,0.91,0.77,0.8,0.92,0.64,0.59,0.19,0.32,0.2,0.14,0.2,0.12,0.0,0.14,0.19,0.2,0.11,0.13,0.11,0.11,0.12,0.01,0.0,0.0,0.02,0.06,0.0,0.0,0.0,0.0,100.02
09/30/2021,12.75,8.09,11.28,6.48,4.97,6.47,5.26,3.71,4.12,5.29,3.39,4.18,5.35,3.85,2.24,1.62,1.58,0.97,0.87,0.55,0.9,0.78,0.79,0.92,0.64,0.58,0.19,0.32,0.21,0.14,0.2,0.12,0.0,0.14,0.18,0.19,0.12,0.13,0.1,0.11,0.12,0.01,0.0,0.0,0.01,0.06,0.0,0.0,0.0,0.0,99.98
10/01/2021,12.28,7.99,10.02,6.61,5.96,5.91,5.54,3.89,4.8,4.9,3.89,3.92,4.23,3.85,2.18,2.06,1.86,1.26,1.15,0.77,0.87,0.89,0.8,0.69,0.58,0.52,0.31,0.31,0.0,0.21,0.2,0.17,0.0,0.15,0.15,0.17,0.11,0.11,0.1,0.0,0.1,0.02,0.0,0.0,0.02,0.0,7.26,0.53,0.22,0.11,107.67
10/04/2021,12.75,8.37,10.83,6.24,5.06,6.39,5.24,3.66,4.37,5.26,3.27,4.21,5.41,3.93,2.25,1.68,1.61,1.03,0.82,0.58,0.94,0.82,0.82,0.91,0.62,0.56,0.2,0.33,0.21,0.15,0.2,0.12,0.0,0.14,0.17,0.2,0.12,0.13,0.1,0.12,0.12,0.01,0.0,0.0,0.01,0.06,0.0,0.0,0.0,0.0,100.02
10/05/2021,12.75,8.37,10.83,6.24,5.06,6.39,5.24,3.66,4.37,5.26,3.27,4.21,5.41,3.93,2.25,1.68,1.61,1.03,0.82,0.58,0.94,0.82,0.82,0.91,0.62,0.56,0.2,0.33,0.21,0.15,0.2,0.12,0.0,0.14,0.17,0.2,0.12,0.13,0.1,0.12,0.12,0.01,0.0,0.0,0.01,0.06,0.0,0.0,0.0,0.0,100.02
10/06/2021,12.81,8.32,10.98,6.37,4.95,6.49,5.11,3.76,4.26,5.28,3.19,4.26,5.35,3.85,2.33,1.66,1.56,1.02,0.84,0.56,0.92,0.79,0.8,0.9,0.63,0.6,0.2,0.33,0.21,0.14,0.19,0.12,0.0,0.13,0.18,0.19,0.12,0.15,0.1,0.12,0.12,0.01,0.0,0.0,0.02,0.06,0.0,0.0,0.0,0.0,99.98
10/07/2021,12.61,8.52,10.75,6.2,5.12,6.57,5.29,3.67,4.32,5.26,3.15,4.27,5.24,3.85,2.37,1.66,1.55,1.04,0.84,0.56,0.94,0.81,0.83,0.96,0.62,0.6,0.19,0.34,0.21,0.14,0.2,0.12,0.0,0.14,0.18,0.2,0.12,0.15,0.1,0.11,0.12,0.01,0.0,0.0,0.02,0.06,0.0,0.0,0.0,0.0,100.01
10/08/2021,12.75,8.31,10.98,6.3,4.84,6.62,5.09,3.67,4.34,5.28,3.25,4.3,5.37,3.91,2.3,1.65,1.53,1.01,0.82,0.58,0.94,0.8,0.83,0.94,0.62,0.59,0.19,0.33,0.21,0.14,0.2,0.12,0.0,0.14,0.17,0.2,0.12,0.16,0.11,0.11,0.12,0.01,0.0,0.0,0.02,0.07,0.0,0.0,0.0,0.0,100.04
10/11/2021,12.09,8.35,10.94,6.46,4.99,6.5,5.17,3.64,4.8,5.24,3.41,4.3,5.28,3.91,2.4,1.63,1.49,1.05,0.79,0.58,0.92,0.8,0.77,0.92,0.62,0.57,0.19,0.33,0.21,0.16,0.19,0.12,0.0,0.14,0.17,0.19,0.12,0.16,0.11,0.1,0.12,0.01,0.0,0.0,0.02,0.06,0.0,0.0,0.0,0.0,100.02
