,BABA,259960.KS,HEXA B.ST,9618.HK,AKAM,NET,EQIX,ADSK,AMZN,TSM,AAPL,U,RBLX,MSFT,GLXY.TO,QCOM,MTTR,SNAP,BSY,6758.T,PYPL,700.HK,NVDA,SE,COIN,TTWO,SWKS,AMD,035420.KS,005930.KS,ATVI,EA,LLNW,GOOG,PTC,FSLY,7974.T,INTC,NKE,DIS,PL,ADBE,SQ,LUMN,FGXXX,FB,MTTR US,SUM
02/15/2022,0.9,1.06,1.0,0.08,1.13,0.66,0.5,3.88,3.83,4.45,4.24,4.76,5.19,7.58,0.81,3.76,0.75,3.7,0.61,3.08,0.15,2.89,7.93,2.72,1.08,2.6,1.02,2.5,0.94,2.1,0.83,2.06,0.79,1.92,0.7,1.8,0.64,1.57,0.53,1.27,0.37,1.18,0.11,1.18,0.19,8.96,0.0,100.00000000000004
02/16/2022,0.9,1.06,1.0,0.08,1.13,0.66,0.5,3.88,3.83,4.45,4.24,4.76,5.19,7.58,0.81,3.76,0.75,3.7,0.61,3.08,0.15,2.89,7.93,2.72,1.08,2.6,1.02,2.5,0.94,2.1,0.83,2.06,0.79,1.92,0.7,1.8,0.64,1.57,0.53,1.27,0.37,1.18,0.11,1.18,0.19,8.96,0.0,100.00000000000004
02/17/2022,0.9,1.06,1.0,0.08,1.13,0.66,0.5,3.88,3.83,4.45,4.24,4.76,5.19,7.58,0.81,3.76,0.75,3.7,0.61,3.08,0.15,2.89,7.93,2.72,1.08,2.6,1.02,2.5,0.94,2.1,0.83,2.06,0.79,1.92,0.7,1.8,0.64,1.57,0.53,1.27,0.37,1.18,0.11,1.18,0.19,8.96,0.0,100.00000000000004
02/18/2022,0.9,1.06,1.0,0.08,1.13,0.66,0.5,3.88,3.83,4.45,4.24,4.76,5.19,7.58,0.81,3.76,0.75,3.7,0.61,3.08,0.15,2.89,7.93,2.72,1.08,2.6,1.02,2.5,0.94,2.1,0.83,2.06,0.79,1.92,0.7,1.8,0.64,1.57,0.53,1.27,0.37,1.18,0.11,1.18,0.19,8.96,0.0,100.00000000000004
02/21/2022,0.9,1.06,1.0,0.08,1.13,0.66,0.5,3.88,3.83,4.45,4.24,4.76,5.19,7.58,0.81,3.76,0.75,3.7,0.61,3.08,0.15,2.89,7.93,2.72,1.08,2.6,1.02,2.5,0.94,2.1,0.83,2.06,0.79,1.92,0.7,1.8,0.64,1.57,0.53,1.27,0.37,1.18,0.11,1.18,0.19,8.96,0.0,100.00000000000004
02/28/2022,0.9,1.06,1.0,0.08,1.13,0.66,0.5,3.88,3.83,4.45,4.24,4.76,5.19,7.58,0.81,3.76,0.75,3.7,0.61,3.08,0.15,2.89,7.93,2.72,1.08,2.6,1.02,2.5,0.94,2.1,0.83,2.06,0.79,1.92,0.7,1.8,0.64,1.57,0.53,1.27,0.37,1.18,0.11,1.18,0.19,8.96,0.0,100.00000000000004
04/15/2022,0.94,1.04,0.98,0.08,1.09,0.83,0.47,3.7,4.09,4.4,4.32,5.2,5.97,7.16,0.92,3.7,0.0,4.97,0.62,3.14,0.11,2.82,8.42,2.63,1.19,2.65,0.96,2.68,0.97,2.11,0.82,2.01,0.75,1.93,0.69,1.99,0.63,1.49,0.5,1.35,0.38,1.09,0.11,0.94,0.14,6.36,0.65,99.98999999999998
05/05/2022,0.94,1.04,0.98,0.08,1.09,0.83,0.47,3.7,4.09,4.4,4.32,5.2,5.97,7.16,0.92,3.7,0.0,4.97,0.62,3.14,0.11,2.82,8.42,2.63,1.19,2.65,0.96,2.68,0.97,2.11,0.82,2.01,0.75,1.93,0.69,1.99,0.63,1.49,0.5,1.35,0.38,1.09,0.11,0.94,0.14,6.36,0.65,99.98999999999998
07/05/2022,0.94,1.04,0.98,0.08,1.09,0.83,0.47,3.7,4.09,4.4,4.32,5.2,5.97,7.16,0.92,3.7,0.0,4.97,0.62,3.14,0.11,2.82,8.42,2.63,1.19,2.65,0.96,2.68,0.97,2.11,0.82,2.01,0.75,1.93,0.69,1.99,0.63,1.49,0.5,1.35,0.38,1.09,0.11,0.94,0.14,6.36,0.65,99.98999999999998
07/18/2022,0.94,1.04,0.98,0.08,1.09,0.83,0.47,3.7,4.09,4.4,4.32,5.2,5.97,7.16,0.92,3.7,0.0,4.97,0.62,3.14,0.11,2.82,8.42,2.63,1.19,2.65,0.96,2.68,0.97,2.11,0.82,2.01,0.75,1.93,0.69,1.99,0.63,1.49,0.5,1.35,0.38,1.09,0.11,0.94,0.14,6.36,0.65,99.98999999999998
