,ABI.BR,KBC.BR,ARGX.BR,UCB.BR,GBLB.BR,UMI.BR,SA.SW,AGS.BR,SOF.BR,WDP.BR,AED.BR,ACKB.BR,COFB.BR,ELI.BR,GLPG.AS,DIE.BR,COLR.BR,PROX.BR,MELE.BR,BAR.BR,BEKB.BR,EURN.BR,TNET.BR,KBCA.BR,VGP.BR,XIOR.BR,FAGR.BR,MONT.BR,GIMB.BR,BPOST.BR,BEFB.BR,CFEB.BR,RET.BR,KIN.BR,ONTEX.BR,REC.BR,TESB.BR,AGFB.BR,EUR,INTO.BR,IBAB.BR,ECONB.BR,MITRA.BR,IMMO.BR,OBEL.BR,VAN.BR,SGAFT,XTSLA,VGU1,USD,SOLB.BR,VGZ1,MARGIN_EUR,SUM
08/05/2021,19.05,9.61,6.75,6.61,4.78,4.62,4.45,3.74,3.65,2.96,2.43,2.09,2.14,1.91,1.45,2.05,1.62,1.64,1.26,0.98,1.08,0.93,0.96,0.98,0.89,0.85,0.76,0.86,0.76,0.69,0.63,0.56,0.56,0.51,0.49,0.5,0.52,0.53,0.46,0.48,0.4,0.47,0.37,0.34,0.35,0.26,0.04,0.05,0.0,0.0,0.0,0.0,0.0,100.07
08/06/2021,18.63,9.57,6.81,6.72,4.87,4.78,4.45,3.77,3.69,2.97,2.42,2.11,2.15,1.88,1.45,2.06,1.62,1.63,1.27,0.96,1.09,0.89,0.96,0.98,0.91,0.84,0.77,0.87,0.76,0.7,0.62,0.57,0.57,0.49,0.5,0.49,0.51,0.53,0.46,0.49,0.4,0.47,0.36,0.34,0.34,0.25,0.04,0.05,0.0,0.0,0.0,0.0,0.0,100.06
08/10/2021,18.42,9.94,6.79,6.7,4.74,4.89,4.48,3.81,3.67,3.0,2.45,2.08,2.14,1.9,1.43,2.02,1.58,1.62,1.31,0.95,1.08,0.85,0.94,1.03,0.92,0.87,0.76,0.88,0.76,0.64,0.63,0.57,0.57,0.5,0.48,0.49,0.5,0.53,0.47,0.48,0.41,0.43,0.36,0.34,0.33,0.25,0.04,0.05,0.0,0.0,0.0,0.0,0.0,100.07999999999998
08/11/2021,18.42,9.94,6.79,6.7,4.74,4.89,4.48,3.81,3.67,3.0,2.45,2.08,2.14,1.9,1.43,2.02,1.58,1.62,1.31,0.95,1.08,0.85,0.94,1.03,0.92,0.87,0.76,0.88,0.76,0.64,0.63,0.57,0.57,0.5,0.48,0.49,0.5,0.53,0.47,0.48,0.41,0.43,0.36,0.34,0.33,0.25,0.04,0.05,0.0,0.0,0.0,0.0,0.0,100.07999999999998
08/13/2021,18.2,9.96,6.82,6.78,4.73,5.09,4.5,3.8,3.52,2.98,2.43,2.07,2.12,1.93,1.39,2.11,1.58,1.63,1.31,0.95,1.08,0.83,0.95,1.04,0.91,0.83,0.78,0.85,0.77,0.61,0.61,0.57,0.56,0.52,0.48,0.51,0.51,0.53,0.47,0.49,0.41,0.44,0.36,0.35,0.34,0.25,0.04,0.05,0.0,0.0,0.0,0.0,0.0,100.04
08/16/2021,18.25,9.77,6.84,6.92,4.73,5.16,4.55,3.66,3.49,3.03,2.41,2.09,2.15,1.94,1.37,2.09,1.58,1.61,1.32,0.93,1.1,0.83,0.94,1.02,0.91,0.84,0.78,0.85,0.77,0.6,0.61,0.57,0.55,0.52,0.47,0.51,0.52,0.53,0.47,0.48,0.41,0.45,0.37,0.34,0.33,0.25,0.04,0.0,0.0,0.01,0.0,0.0,0.0,99.96
08/17/2021,18.28,9.84,6.81,6.92,4.74,5.16,4.54,3.65,3.48,3.04,2.41,2.09,2.15,1.95,1.37,2.06,1.57,1.61,1.3,0.93,1.09,0.8,0.94,1.03,0.94,0.86,0.78,0.87,0.76,0.59,0.61,0.57,0.56,0.51,0.48,0.52,0.52,0.53,0.45,0.49,0.41,0.43,0.36,0.34,0.33,0.25,0.04,0.0,0.0,0.03,0.0,0.0,0.0,99.99
08/19/2021,18.35,9.81,6.69,6.96,4.72,5.17,4.49,3.63,3.46,3.09,2.43,2.08,2.18,1.96,1.36,2.07,1.58,1.62,1.3,0.93,1.09,0.82,0.95,1.02,0.96,0.85,0.78,0.89,0.76,0.59,0.61,0.56,0.56,0.52,0.48,0.53,0.51,0.53,0.45,0.48,0.41,0.42,0.36,0.34,0.33,0.25,0.04,0.0,0.0,0.03,0.0,0.0,0.0,100.0
08/20/2021,18.39,9.79,6.75,7.0,4.74,5.07,4.48,3.61,3.49,3.09,2.42,2.1,2.17,1.99,1.4,2.0,1.6,1.63,1.3,0.93,1.07,0.86,0.95,1.02,0.95,0.83,0.79,0.89,0.76,0.59,0.61,0.57,0.56,0.52,0.48,0.51,0.51,0.55,0.33,0.48,0.41,0.43,0.37,0.34,0.34,0.25,0.04,0.02,0.0,0.0,0.0,0.0,0.0,99.98
08/23/2021,18.03,9.8,6.97,7.15,4.68,5.01,4.42,3.62,3.49,3.14,2.43,2.11,2.19,2.05,1.36,2.0,1.62,1.63,1.27,0.92,1.07,0.85,0.96,1.02,0.97,0.83,0.79,0.9,0.78,0.6,0.62,0.58,0.56,0.5,0.48,0.52,0.51,0.56,0.34,0.49,0.41,0.44,0.38,0.34,0.34,0.25,0.03,0.02,0.0,0.0,0.0,0.0,0.0,100.03
08/24/2021,18.15,9.83,7.0,7.12,4.69,4.92,0.0,3.59,3.51,3.15,2.44,2.1,2.19,2.03,1.33,1.99,1.63,1.63,1.28,0.92,1.04,0.86,0.96,1.02,0.97,0.83,0.81,0.9,0.78,0.59,0.61,0.57,0.56,0.51,0.48,0.51,0.5,0.55,0.36,0.48,0.41,0.44,0.38,0.34,0.34,0.25,0.03,0.02,0.0,0.0,4.37,0.0,0.0,99.97
08/25/2021,18.15,9.83,7.0,7.12,4.69,4.92,0.0,3.59,3.51,3.15,2.44,2.1,2.19,2.03,1.33,1.99,1.63,1.63,1.28,0.92,1.04,0.86,0.96,1.02,0.97,0.83,0.81,0.9,0.78,0.59,0.61,0.57,0.56,0.51,0.48,0.51,0.5,0.55,0.36,0.48,0.41,0.44,0.38,0.34,0.34,0.25,0.03,0.02,0.0,0.0,4.37,0.0,0.0,99.97
08/26/2021,18.14,9.89,7.3,7.09,4.69,4.93,0.0,3.59,3.45,3.1,2.41,2.09,2.16,2.03,1.35,2.0,1.61,1.62,1.29,0.93,1.03,0.84,0.96,1.02,0.95,0.82,0.8,0.9,0.76,0.6,0.6,0.56,0.55,0.52,0.48,0.52,0.5,0.55,0.36,0.48,0.41,0.43,0.37,0.34,0.34,0.24,0.03,0.02,0.0,0.0,4.35,0.0,0.0,100.0
08/27/2021,18.12,9.94,7.43,7.11,4.65,4.94,0.0,3.57,3.42,3.04,2.4,2.08,2.13,2.02,1.35,1.97,1.6,1.61,1.3,0.94,1.05,0.85,0.97,1.03,0.95,0.81,0.78,0.89,0.76,0.59,0.6,0.57,0.56,0.53,0.48,0.52,0.51,0.56,0.36,0.47,0.41,0.42,0.37,0.34,0.34,0.24,0.03,0.02,0.0,0.0,4.38,0.0,0.0,100.01
08/30/2021,18.17,10.02,7.56,6.98,4.64,4.92,0.0,3.55,3.4,3.02,2.39,2.08,2.09,2.0,1.35,1.96,1.59,1.57,1.31,0.95,1.05,0.87,0.96,1.03,0.96,0.8,0.77,0.89,0.77,0.59,0.59,0.58,0.56,0.54,0.49,0.53,0.51,0.56,0.36,0.47,0.43,0.43,0.38,0.34,0.34,0.24,0.03,0.02,0.0,0.0,4.38,0.0,0.0,100.02
08/31/2021,18.13,9.98,7.43,6.94,4.64,4.92,0.0,3.56,3.42,3.07,2.44,2.08,2.13,1.98,1.32,1.97,1.59,1.55,1.33,0.94,1.07,0.87,0.97,1.03,0.98,0.82,0.78,0.93,0.77,0.59,0.6,0.59,0.56,0.54,0.48,0.51,0.5,0.54,0.36,0.48,0.42,0.43,0.38,0.35,0.34,0.23,0.03,0.02,0.0,0.0,4.41,0.0,0.0,100.0
09/01/2021,18.13,9.98,7.43,6.94,4.64,4.92,0.0,3.56,3.42,3.07,2.44,2.08,2.13,1.98,1.32,1.97,1.59,1.55,1.33,0.94,1.07,0.87,0.97,1.03,0.98,0.82,0.78,0.93,0.77,0.59,0.6,0.59,0.56,0.54,0.48,0.51,0.5,0.54,0.36,0.48,0.42,0.43,0.38,0.35,0.34,0.23,0.03,0.02,0.0,0.0,4.41,0.0,0.0,100.0
09/02/2021,18.18,9.86,7.4,6.91,4.65,4.94,0.0,3.55,3.41,3.09,2.43,2.11,2.15,1.99,1.3,1.99,1.6,1.55,1.34,0.95,1.09,0.86,0.97,1.02,0.98,0.82,0.76,0.94,0.78,0.58,0.6,0.59,0.56,0.53,0.48,0.53,0.5,0.55,0.36,0.48,0.42,0.44,0.38,0.34,0.34,0.24,0.03,0.02,0.0,0.0,4.42,0.0,0.0,100.01
09/03/2021,21.24,9.91,7.31,6.83,4.45,4.33,0.0,3.56,3.3,3.08,2.39,2.14,2.15,1.93,1.4,1.73,1.55,1.51,1.24,0.91,0.93,0.83,0.93,0.91,0.93,0.73,0.72,0.85,0.71,0.57,0.56,0.54,0.51,0.48,0.47,0.47,0.45,0.46,0.35,0.41,0.32,0.39,0.35,0.28,0.29,0.22,0.03,0.02,0.0,0.0,4.31,0.0,0.0,99.98
09/06/2021,20.82,10.05,7.47,6.95,4.46,4.3,0.0,3.59,3.33,3.08,2.37,2.11,2.14,1.95,1.41,1.73,1.55,1.51,1.25,0.88,0.91,0.87,0.93,0.91,0.95,0.72,0.71,0.85,0.72,0.58,0.55,0.52,0.5,0.5,0.46,0.47,0.44,0.46,0.36,0.41,0.34,0.38,0.36,0.28,0.29,0.23,0.03,0.02,0.0,0.0,4.3,0.0,0.0,100.0
09/07/2021,20.63,10.06,7.58,6.95,4.46,4.26,0.0,3.58,3.29,3.09,2.36,2.11,2.14,1.95,1.42,1.74,1.56,1.52,1.26,0.88,0.92,0.87,0.93,0.92,0.96,0.74,0.73,0.86,0.73,0.58,0.56,0.51,0.51,0.5,0.46,0.48,0.45,0.46,0.36,0.42,0.34,0.38,0.36,0.29,0.29,0.23,0.03,0.02,0.0,0.0,4.32,0.0,0.0,100.04999999999998
09/08/2021,20.63,10.06,7.58,6.95,4.46,4.26,0.0,3.58,3.29,3.09,2.36,2.11,2.14,1.95,1.42,1.74,1.56,1.52,1.26,0.88,0.92,0.87,0.93,0.92,0.96,0.74,0.73,0.86,0.73,0.58,0.56,0.51,0.51,0.5,0.46,0.48,0.45,0.46,0.36,0.42,0.34,0.38,0.36,0.29,0.29,0.23,0.03,0.02,0.0,0.0,4.32,0.0,0.0,100.04999999999998
09/09/2021,20.67,10.09,7.65,6.99,4.5,4.31,0.0,3.62,3.31,3.1,2.34,2.12,2.13,1.93,1.42,1.72,1.57,1.53,1.26,0.88,0.92,0.89,0.95,0.92,0.95,0.74,0.72,0.85,0.73,0.58,0.56,0.5,0.51,0.5,0.46,0.48,0.45,0.46,0.37,0.41,0.34,0.37,0.35,0.29,0.29,0.23,0.03,0.02,0.0,0.0,4.36,0.0,0.0,100.37
09/10/2021,20.66,10.12,7.48,6.92,4.48,4.32,0.0,3.62,3.26,3.06,2.32,2.11,2.11,1.92,1.43,1.78,1.55,1.53,1.25,0.89,0.92,0.89,0.93,0.93,0.93,0.73,0.72,0.84,0.74,0.58,0.57,0.51,0.51,0.5,0.46,0.48,0.44,0.46,0.37,0.41,0.35,0.37,0.35,0.29,0.29,0.23,0.03,0.02,0.0,0.0,4.36,0.0,0.0,100.02
09/14/2021,20.59,10.2,7.38,6.65,4.53,4.31,0.0,3.58,3.29,3.09,2.32,2.14,2.12,1.98,1.41,1.77,1.58,1.56,1.31,0.9,0.91,0.88,0.94,0.94,0.97,0.73,0.73,0.84,0.73,0.58,0.58,0.51,0.5,0.5,0.46,0.5,0.45,0.46,0.35,0.42,0.36,0.37,0.34,0.29,0.29,0.24,0.03,0.05,0.0,0.0,4.37,0.0,0.0,100.03
09/15/2021,20.59,10.2,7.38,6.65,4.53,4.31,0.0,3.58,3.29,3.09,2.32,2.14,2.12,1.98,1.41,1.77,1.58,1.56,1.31,0.9,0.91,0.88,0.94,0.94,0.97,0.73,0.73,0.84,0.73,0.58,0.58,0.51,0.5,0.5,0.46,0.5,0.45,0.46,0.35,0.42,0.36,0.37,0.34,0.29,0.29,0.24,0.03,0.05,0.0,0.0,4.37,0.0,0.0,100.03
09/16/2021,20.78,10.34,7.24,6.55,4.49,4.29,0.0,3.64,3.21,3.07,2.32,2.14,2.11,1.99,1.39,1.77,1.58,1.57,1.3,0.88,0.91,0.89,0.94,0.95,1.0,0.74,0.73,0.84,0.73,0.58,0.58,0.52,0.5,0.5,0.46,0.5,0.45,0.46,0.35,0.42,0.36,0.36,0.33,0.3,0.29,0.24,0.03,0.05,0.0,0.0,4.38,0.0,0.0,100.05
09/17/2021,20.52,10.3,7.31,6.62,4.51,4.2,0.0,3.6,3.22,3.1,2.33,2.16,2.13,2.01,1.39,1.81,1.6,1.57,1.33,0.88,0.91,0.88,0.94,0.95,1.0,0.74,0.73,0.86,0.74,0.57,0.58,0.52,0.5,0.51,0.46,0.49,0.45,0.45,0.35,0.42,0.36,0.37,0.33,0.3,0.3,0.25,0.03,0.0,0.0,0.01,4.39,0.0,0.0,99.98
09/20/2021,20.47,10.48,7.22,6.78,4.49,4.02,0.0,3.59,3.15,3.11,2.31,2.16,2.13,2.0,1.34,1.87,1.6,1.59,1.34,0.87,0.92,0.91,0.95,0.94,0.99,0.74,0.73,0.86,0.74,0.57,0.58,0.51,0.49,0.55,0.48,0.48,0.44,0.45,0.35,0.42,0.4,0.37,0.35,0.3,0.3,0.26,0.03,0.0,0.0,0.01,4.33,0.0,0.0,99.97
09/21/2021,20.76,10.36,7.44,6.76,4.48,3.95,0.0,3.54,3.16,3.1,2.26,2.16,2.15,1.97,1.36,1.86,1.6,1.59,1.28,0.88,0.9,0.91,0.95,0.94,0.97,0.77,0.74,0.87,0.73,0.57,0.58,0.51,0.49,0.58,0.47,0.47,0.44,0.45,0.35,0.41,0.4,0.37,0.36,0.31,0.29,0.26,0.03,0.03,0.0,0.0,4.24,0.0,0.0,100.05
09/22/2021,20.76,10.36,7.44,6.76,4.48,3.95,0.0,3.54,3.16,3.1,2.26,2.16,2.15,1.97,1.36,1.86,1.6,1.59,1.28,0.88,0.9,0.91,0.95,0.94,0.97,0.77,0.74,0.87,0.73,0.57,0.58,0.51,0.49,0.58,0.47,0.47,0.44,0.45,0.35,0.41,0.4,0.37,0.36,0.31,0.29,0.26,0.03,0.03,0.0,0.0,4.24,0.0,0.0,100.05
09/27/2021,20.95,10.28,7.09,6.9,4.58,4.0,0.0,3.44,3.2,3.13,2.28,2.13,2.17,1.99,1.31,1.87,1.61,1.6,1.28,0.87,0.87,0.95,0.96,0.95,0.99,0.76,0.71,0.85,0.75,0.56,0.57,0.5,0.5,0.6,0.47,0.48,0.44,0.45,0.33,0.42,0.39,0.38,0.32,0.31,0.29,0.26,0.03,0.03,0.0,0.0,4.24,0.0,0.0,100.04
09/28/2021,20.94,10.48,6.96,6.88,4.56,4.01,0.0,3.47,3.18,3.07,2.27,2.13,2.18,1.98,1.31,1.84,1.62,1.6,1.28,0.86,0.87,0.98,0.97,0.96,0.97,0.75,0.71,0.83,0.75,0.56,0.57,0.5,0.5,0.6,0.47,0.48,0.43,0.46,0.33,0.42,0.38,0.38,0.31,0.31,0.3,0.26,0.03,0.03,0.0,0.0,4.28,0.0,0.0,100.01
09/30/2021,21.17,10.87,6.84,6.84,4.51,4.04,0.0,3.5,3.11,2.94,2.2,2.12,2.16,1.97,1.33,1.82,1.59,1.6,1.25,0.87,0.86,1.0,0.97,1.0,0.93,0.73,0.7,0.83,0.75,0.56,0.58,0.5,0.49,0.59,0.47,0.47,0.43,0.45,0.33,0.41,0.37,0.38,0.32,0.3,0.29,0.26,0.03,0.03,0.0,0.0,4.25,0.0,0.0,100.01
10/01/2021,21.31,11.03,6.76,6.85,4.5,4.1,0.0,3.49,3.09,2.88,2.17,2.12,2.08,1.95,1.3,1.77,1.61,1.61,1.19,0.86,0.87,1.0,0.97,1.02,0.92,0.72,0.71,0.8,0.74,0.56,0.58,0.5,0.49,0.6,0.47,0.47,0.44,0.44,0.32,0.4,0.36,0.38,0.33,0.3,0.29,0.27,0.03,0.03,0.0,0.0,4.33,0.0,0.0,100.01
10/20/2021,20.0,11.31,6.68,7.07,4.6,4.2,0.0,3.52,3.26,3.08,2.24,2.09,2.18,1.95,1.31,1.82,1.38,1.63,1.16,0.83,0.9,1.16,0.96,1.05,1.03,0.75,0.64,0.88,0.72,0.54,0.58,0.52,0.53,0.6,0.47,0.54,0.43,0.4,0.45,0.42,0.34,0.33,0.32,0.3,0.29,0.25,0.04,0.03,0.0,0.01,4.2,0.0,0.0,99.99
10/21/2021,20.0,11.33,6.65,7.16,4.6,4.05,0.0,3.51,3.33,3.09,2.25,2.1,2.16,1.95,1.27,1.82,1.38,1.63,1.18,0.83,0.9,1.16,0.97,1.05,1.04,0.75,0.65,0.87,0.73,0.54,0.57,0.51,0.53,0.61,0.46,0.55,0.43,0.4,0.45,0.42,0.34,0.34,0.34,0.31,0.29,0.26,0.04,0.03,0.0,0.0,4.17,0.0,0.0,100.0
10/22/2021,19.92,11.24,6.7,7.16,4.63,4.02,0.0,3.54,3.37,3.1,2.25,2.11,2.17,1.96,1.28,1.86,1.39,1.59,1.17,0.83,0.87,1.19,0.96,1.05,1.04,0.75,0.65,0.86,0.72,0.52,0.58,0.51,0.53,0.59,0.46,0.54,0.43,0.41,0.47,0.43,0.34,0.35,0.35,0.3,0.29,0.26,0.04,0.03,0.0,0.0,4.21,0.0,0.0,100.02
10/25/2021,20.09,11.35,6.64,7.28,4.6,3.95,0.0,3.54,3.37,3.09,2.25,2.09,2.17,1.84,1.25,1.91,1.39,1.61,1.2,0.86,0.85,1.14,0.98,1.05,1.05,0.73,0.64,0.87,0.73,0.55,0.57,0.51,0.52,0.56,0.45,0.54,0.42,0.4,0.46,0.42,0.33,0.36,0.34,0.3,0.29,0.26,0.04,0.03,0.0,0.0,4.11,0.0,0.0,99.98
10/26/2021,20.01,11.34,6.49,7.29,4.62,3.96,0.0,3.6,3.38,3.14,2.24,2.09,2.19,1.84,1.24,1.92,1.39,1.62,1.2,0.85,0.86,1.15,0.99,1.04,1.06,0.73,0.64,0.89,0.73,0.55,0.57,0.51,0.52,0.57,0.46,0.53,0.42,0.41,0.47,0.43,0.33,0.36,0.34,0.3,0.29,0.26,0.04,0.03,0.0,0.0,4.12,0.0,0.0,100.01
10/27/2021,20.01,11.34,6.49,7.29,4.62,3.96,0.0,3.6,3.38,3.14,2.24,2.09,2.19,1.84,1.24,1.92,1.39,1.62,1.2,0.85,0.86,1.15,0.99,1.04,1.06,0.73,0.64,0.89,0.73,0.55,0.57,0.51,0.52,0.57,0.46,0.53,0.42,0.41,0.47,0.43,0.33,0.36,0.34,0.3,0.29,0.26,0.04,0.03,0.0,0.0,4.12,0.0,0.0,100.01
10/28/2021,20.12,11.36,6.48,7.25,4.61,3.93,0.0,3.6,3.39,3.14,2.2,2.08,2.17,1.84,1.24,1.96,1.42,1.6,1.21,0.85,0.88,1.15,0.98,1.04,1.06,0.72,0.64,0.88,0.72,0.55,0.57,0.51,0.51,0.57,0.46,0.52,0.42,0.4,0.47,0.43,0.34,0.36,0.33,0.3,0.28,0.26,0.04,0.03,0.0,-0.01,4.16,0.0,0.0,100.02
10/29/2021,20.37,11.31,6.36,7.12,4.61,3.86,0.0,3.6,3.37,3.15,2.2,2.09,2.19,1.85,1.28,1.96,1.41,1.58,1.23,0.86,0.9,1.14,0.98,1.04,1.05,0.73,0.63,0.9,0.72,0.55,0.57,0.51,0.52,0.58,0.47,0.52,0.42,0.41,0.47,0.43,0.33,0.38,0.33,0.29,0.28,0.26,0.04,0.03,0.0,-0.01,4.15,0.0,0.0,100.02
11/01/2021,21.96,11.04,6.08,7.15,4.52,3.86,0.0,3.52,3.31,3.14,2.23,2.03,2.17,1.83,1.23,1.96,1.36,1.51,1.21,0.85,0.86,1.09,0.93,1.0,1.04,0.73,0.61,0.9,0.72,0.52,0.58,0.49,0.51,0.56,0.4,0.5,0.41,0.39,0.46,0.43,0.32,0.39,0.32,0.29,0.28,0.26,0.04,0.03,0.0,-0.01,4.01,0.0,0.0,100.02
