,LMT,RTX,BA,HON,GD,NOC,LHX,TDG,TXT,AXON,HWM,BAH,LDOS,CAE.TO,HII,HEI,J,ESLT,WWD,S9Q.,BWXT,HXL,TDY,CACI,OSK,BLL,AJRD,MRCY,KTOS,CW,MAXR,KBR,SAIC,MANT,TLS,AVAV,PSN,MOG.A,VSAT,AIR,TGI,ATI,FEYE,IRDM,OSIS,KAMN,PAE,PLTR,CMTL,DCO,RADA,VEC,AGPXX,Cash/Receivables/Payables,ESLT.TA,SPR,Vectrus Inc,Interest/Overdraft,Securities Lending - Bnym,n/a,603087.SS,CAE,MOG/A,KEYS,MNDT,SUM
08/13/2021,6.89,7.3,7.04,5.27,5.21,4.81,4.81,4.19,4.55,3.97,3.24,2.73,2.67,2.8,2.58,2.06,1.98,1.88,1.52,1.5,1.39,1.35,1.53,1.38,1.36,1.47,1.19,1.01,1.02,1.05,0.78,0.85,0.75,0.75,0.61,0.72,0.59,0.51,0.62,0.41,0.41,0.39,0.33,0.42,0.38,0.34,0.23,0.22,0.23,0.2,0.19,0.18,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/16/2021,6.82,7.3,7.08,5.25,5.19,4.8,4.75,4.13,4.59,4.01,3.26,2.73,2.69,2.56,2.57,2.07,2.09,2.02,1.57,1.52,1.39,1.37,1.54,1.38,1.36,1.48,1.14,0.97,1.03,1.05,0.77,0.88,0.75,0.74,0.58,0.71,0.59,0.52,0.63,0.41,0.41,0.39,0.34,0.42,0.38,0.34,0.23,0.24,0.23,0.21,0.19,0.19,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/19/2021,6.9,7.3,6.88,5.35,5.28,4.92,4.87,4.1,4.6,4.05,3.22,2.76,2.78,2.5,2.58,2.04,2.09,2.09,1.56,1.47,1.4,1.37,1.55,1.4,1.34,1.49,1.1,0.96,0.91,1.06,0.72,0.89,0.77,0.75,0.53,0.69,0.6,0.52,0.62,0.4,0.4,0.38,0.33,0.4,0.39,0.33,0.22,0.24,0.22,0.2,0.18,0.19,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/20/2021,6.97,7.31,6.72,5.33,5.28,4.95,4.89,4.12,4.54,4.02,3.19,2.78,2.83,2.46,2.59,2.04,2.07,2.08,1.59,1.44,1.41,1.38,1.56,1.44,1.33,1.5,1.1,0.96,0.95,1.06,0.71,0.9,0.79,0.76,0.56,0.69,0.6,0.52,0.6,0.4,0.39,0.37,0.32,0.39,0.39,0.33,0.22,0.24,0.22,0.2,0.19,0.2,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/23/2021,6.98,7.19,6.56,5.36,5.3,4.96,4.93,4.12,4.49,4.07,3.29,2.84,2.83,2.45,2.58,2.08,2.05,2.14,1.62,1.4,1.4,1.33,1.57,1.46,1.32,1.59,1.12,0.95,0.92,1.05,0.68,0.87,0.79,0.74,0.61,0.69,0.61,0.52,0.59,0.39,0.38,0.37,0.32,0.4,0.4,0.32,0.22,0.24,0.22,0.2,0.19,0.2,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/25/2021,6.98,7.19,6.52,5.31,5.3,4.94,4.9,4.12,4.52,4.14,3.27,2.84,2.79,2.47,2.59,2.06,2.05,0.0,1.64,0.0,1.44,1.33,1.57,1.45,1.32,1.61,1.12,0.93,0.93,1.05,0.69,0.86,0.78,0.74,0.64,0.7,0.6,0.53,0.6,0.39,0.38,0.35,0.32,0.4,0.39,0.32,0.22,0.24,0.23,0.2,0.0,0.2,0.14,0.0,2.14,1.39,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,100.02
08/26/2021,6.91,7.2,6.66,5.3,5.27,4.89,4.88,4.14,4.51,4.1,3.28,2.78,2.76,2.52,2.61,2.06,2.03,0.0,1.63,0.0,1.44,1.35,1.57,1.43,1.32,1.6,1.12,0.93,0.95,1.05,0.72,0.87,0.78,0.72,0.66,0.71,0.6,0.52,0.61,0.39,0.39,0.36,0.33,0.41,0.39,0.32,0.22,0.24,0.23,0.2,0.18,0.2,0.14,0.0,2.14,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/27/2021,6.91,7.2,6.68,5.3,5.26,4.86,4.86,4.15,4.56,4.06,3.29,2.76,2.76,2.53,2.59,2.07,2.04,0.0,1.65,0.0,1.45,1.36,1.56,1.41,1.33,1.59,1.12,0.95,0.97,1.05,0.74,0.87,0.77,0.71,0.68,0.69,0.6,0.52,0.61,0.4,0.39,0.36,0.34,0.4,0.38,0.31,0.21,0.25,0.23,0.2,0.18,0.19,0.09,0.0,2.12,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/30/2021,6.99,7.17,6.57,5.33,5.29,4.94,4.92,4.07,4.52,4.07,3.28,2.77,2.81,2.47,2.58,2.03,2.04,0.0,1.65,0.0,1.46,1.36,1.56,1.42,1.34,1.59,1.08,0.94,1.02,1.06,0.73,0.88,0.78,0.71,0.69,0.7,0.61,0.52,0.6,0.4,0.38,0.35,0.34,0.39,0.38,0.31,0.19,0.24,0.22,0.2,0.0,0.19,0.1,0.0,2.12,1.43,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,99.97
08/31/2021,6.92,7.15,6.65,5.28,5.25,4.86,4.82,4.12,4.54,4.06,3.3,2.76,2.78,2.54,2.59,2.02,2.05,0.0,1.66,0.0,1.45,1.4,1.56,1.41,1.35,1.57,1.07,0.94,1.03,1.08,0.76,0.89,0.78,0.72,0.7,0.71,0.61,0.53,0.6,0.41,0.4,0.36,0.34,0.4,0.38,0.32,0.19,0.25,0.23,0.2,0.0,0.19,0.08,0.0,2.11,1.45,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,100.01
09/01/2021,6.92,7.15,6.65,5.28,5.25,4.86,4.82,4.12,4.54,4.06,3.3,2.76,2.78,2.54,2.59,2.02,2.05,0.0,1.66,0.0,1.45,1.4,1.56,1.41,1.35,1.57,1.07,0.94,1.03,1.08,0.76,0.89,0.78,0.72,0.7,0.71,0.61,0.53,0.6,0.41,0.4,0.36,0.34,0.4,0.38,0.32,0.19,0.25,0.23,0.2,0.0,0.19,0.08,0.0,2.11,1.45,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,100.01
09/02/2021,6.95,7.13,6.55,5.32,5.26,4.92,4.85,4.11,4.5,4.2,3.21,2.78,2.79,2.53,2.6,2.0,2.05,0.0,1.66,0.0,1.44,1.35,1.57,1.41,1.33,1.6,1.08,0.93,1.03,1.08,0.76,0.88,0.78,0.72,0.7,0.71,0.6,0.54,0.6,0.4,0.39,0.35,0.35,0.47,0.38,0.31,0.19,0.25,0.23,0.2,0.19,0.2,0.09,0.0,2.13,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/03/2021,6.91,7.13,6.62,5.32,5.29,4.92,4.86,4.14,4.55,3.97,3.21,2.78,2.8,2.57,2.57,2.02,2.05,0.0,1.64,0.0,1.45,1.36,1.58,1.42,1.32,1.61,1.08,0.93,1.03,1.07,0.77,0.88,0.78,0.72,0.71,0.71,0.6,0.54,0.6,0.4,0.4,0.35,0.34,0.44,0.39,0.31,0.19,0.26,0.23,0.2,0.19,0.2,0.1,0.0,2.11,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/06/2021,6.84,7.07,6.62,5.27,5.31,4.91,4.86,4.13,4.57,3.97,3.2,2.82,2.8,2.72,2.56,2.0,2.05,0.0,1.65,0.0,1.45,1.37,1.56,1.42,1.31,1.63,1.12,0.91,1.01,1.05,0.79,0.9,0.78,0.71,0.71,0.71,0.59,0.54,0.6,0.4,0.4,0.35,0.34,0.46,0.38,0.3,0.19,0.26,0.22,0.2,0.19,0.2,0.1,0.0,2.1,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/07/2021,6.86,7.06,6.6,5.26,5.36,4.91,4.85,4.12,4.56,4.05,3.18,2.83,2.82,0.0,2.56,1.98,2.08,2.11,1.63,0.0,1.46,1.36,1.54,1.41,1.31,1.63,1.13,0.92,1.02,1.05,0.78,0.92,0.8,0.71,0.74,0.72,0.6,0.0,0.58,0.4,0.39,0.35,0.34,0.46,0.38,0.3,0.19,0.26,0.22,0.19,0.19,0.2,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,2.71,0.54,0.0,0.0,100.03
09/08/2021,6.86,7.06,6.6,5.26,5.36,4.91,4.85,4.12,4.56,4.05,3.18,2.83,2.82,2.71,2.56,1.98,2.08,0.0,1.63,0.0,1.46,1.36,1.54,1.41,1.31,1.63,1.13,0.92,1.02,1.05,0.78,0.92,0.8,0.71,0.74,0.72,0.6,0.54,0.58,0.4,0.39,0.35,0.34,0.46,0.38,0.3,0.19,0.26,0.22,0.19,0.19,0.2,0.0,0.0,2.11,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/09/2021,6.86,7.06,6.6,5.26,5.36,4.91,4.85,4.11,4.56,4.05,3.17,2.83,2.82,2.71,2.56,1.98,2.08,0.0,1.63,0.0,1.46,1.35,1.54,1.41,1.31,1.63,1.13,0.92,1.02,1.05,0.78,0.91,0.8,0.71,0.74,0.72,0.6,0.54,0.58,0.4,0.39,0.35,0.34,0.46,0.38,0.3,0.19,0.26,0.22,0.19,0.19,0.2,0.0,0.0,2.11,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/10/2021,6.82,7.09,6.56,5.2,5.43,4.88,4.87,4.09,4.54,4.05,3.2,2.82,2.82,2.73,2.54,1.98,2.05,0.0,1.65,0.0,1.47,1.37,1.54,1.41,1.3,1.65,1.14,0.91,1.02,1.04,0.77,0.9,0.79,0.71,0.74,0.72,0.6,0.54,0.59,0.41,0.4,0.35,0.34,0.49,0.39,0.29,0.19,0.26,0.23,0.2,0.19,0.2,0.0,0.0,2.1,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/13/2021,6.8,7.14,6.54,5.19,5.46,4.85,4.91,4.13,4.54,4.01,3.24,2.83,2.86,2.76,2.54,2.01,2.08,0.0,1.64,0.0,1.46,1.32,1.53,1.44,1.28,1.62,1.13,0.9,0.99,1.03,0.77,0.9,0.8,0.72,0.74,0.64,0.61,0.53,0.58,0.4,0.38,0.35,0.35,0.47,0.38,0.29,0.18,0.26,0.23,0.19,0.18,0.2,0.05,0.0,2.14,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/14/2021,6.8,7.14,6.49,5.23,5.45,4.85,4.95,4.18,4.53,4.02,3.22,2.83,2.83,2.76,2.54,2.02,2.07,0.0,1.67,0.0,1.46,1.36,1.51,1.44,1.27,1.62,1.12,0.88,0.97,1.02,0.77,0.91,0.79,0.71,0.74,0.66,0.6,0.53,0.57,0.39,0.38,0.35,0.34,0.48,0.38,0.29,0.18,0.26,0.22,0.2,0.18,0.2,0.07,0.0,2.17,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/15/2021,6.8,7.14,6.49,5.23,5.45,4.85,4.95,4.18,4.53,4.02,3.22,2.83,2.83,2.76,2.54,2.02,2.07,0.0,1.67,0.0,1.46,1.36,1.51,1.44,1.27,1.62,1.12,0.88,0.97,1.02,0.76,0.91,0.79,0.71,0.74,0.66,0.6,0.53,0.57,0.39,0.38,0.35,0.34,0.48,0.38,0.29,0.18,0.26,0.22,0.2,0.18,0.2,0.07,0.0,2.17,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
09/16/2021,6.76,7.15,6.57,5.22,5.35,4.81,4.84,4.23,4.51,3.91,3.31,2.83,2.84,2.76,2.56,2.03,2.07,0.0,1.69,0.0,1.46,1.4,1.48,1.44,1.26,1.6,1.1,0.88,1.0,1.03,0.77,0.92,0.81,0.74,0.72,0.64,0.62,0.54,0.58,0.4,0.4,0.35,0.35,0.47,0.37,0.29,0.19,0.26,0.23,0.2,0.17,0.2,0.07,0.0,2.19,1.44,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.02
09/17/2021,6.81,7.16,6.56,5.21,5.35,4.85,4.88,4.31,4.51,3.98,3.28,2.79,2.77,2.78,2.55,2.07,2.07,0.0,1.71,0.0,1.42,1.41,1.52,1.43,1.25,1.6,1.1,0.87,0.95,1.04,0.74,0.9,0.8,0.72,0.73,0.63,0.62,0.55,0.57,0.4,0.39,0.35,0.35,0.46,0.37,0.28,0.18,0.26,0.23,0.2,0.17,0.19,0.07,0.0,2.2,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/20/2021,6.78,7.3,6.65,5.21,5.32,4.84,4.77,4.26,4.45,4.05,3.28,2.81,2.7,2.69,2.53,2.05,2.09,0.0,1.65,0.0,1.45,1.44,1.51,1.43,1.29,1.6,1.1,0.89,0.97,1.09,0.75,0.91,0.8,0.72,0.75,0.62,0.61,0.53,0.61,0.39,0.39,0.35,0.35,0.46,0.37,0.28,0.17,0.29,0.23,0.19,0.17,0.19,0.06,0.0,2.19,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/21/2021,6.79,7.27,6.67,5.2,5.34,4.86,4.81,4.31,4.45,3.9,3.24,2.81,2.71,2.65,2.54,2.09,2.05,0.0,1.63,0.0,1.45,1.44,1.5,1.44,1.29,1.6,1.11,0.88,0.98,1.13,0.76,0.9,0.8,0.72,0.72,0.62,0.6,0.54,0.61,0.39,0.39,0.34,0.35,0.46,0.38,0.29,0.18,0.29,0.24,0.2,0.18,0.2,0.08,0.0,2.2,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
09/22/2021,6.79,7.27,6.67,5.2,5.34,4.86,4.81,4.31,4.45,3.9,3.24,2.81,2.71,2.65,2.53,2.09,2.05,0.0,1.63,0.0,1.45,1.44,1.5,1.44,1.29,1.6,1.11,0.88,0.98,1.13,0.76,0.9,0.8,0.72,0.72,0.62,0.6,0.54,0.61,0.39,0.39,0.34,0.35,0.46,0.37,0.28,0.17,0.29,0.23,0.2,0.18,0.2,0.08,0.0,2.2,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/23/2021,6.78,7.32,6.58,5.17,5.33,4.87,4.83,4.37,4.48,3.94,3.26,2.82,2.73,2.62,2.53,2.11,2.02,0.0,1.66,0.0,1.44,1.46,1.49,1.44,1.28,1.62,1.13,0.87,0.98,1.1,0.72,0.89,0.8,0.71,0.72,0.62,0.59,0.54,0.63,0.4,0.4,0.34,0.34,0.45,0.38,0.28,0.18,0.27,0.23,0.2,0.17,0.2,0.08,0.0,2.19,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
