,912810SU3,91282CBL4,91282CBZ3,91282CBW0,91282CBV2,SPY   211217C00324000,SPY   220617C00375000,91282CBX8,Cash&Other,T 1.875 02/15/51,T 1.125 02/15/31,T 1.25 04/30/28,T 0.75 04/30/26,T 0.375 04/15/24,T 0.125 04/30/23,T 1.875 02.15.51,T 1.125 02.15.31,T 0.375 04.15.24,T 1.25 04.30.28,T 0.75 04.30.26,T 0.125 04.30.23,SUM
07/23/2021,0.0,0.0,0.0,0.0,0.0,8.82,5.45,0.0,0.48,18.12,15.86,15.66,15.47,15.38,4.75,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000002
07/26/2021,0.0,0.0,0.0,0.0,0.0,9.1,5.66,0.0,0.54,17.93,15.73,15.57,15.4,15.33,4.73,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/27/2021,0.0,0.0,0.0,0.0,0.0,9.37,5.88,0.0,0.46,17.79,15.65,15.5,15.35,15.28,4.72,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,0.0,0.0,0.0,0.0,0.0,9.37,5.88,0.0,0.46,17.79,15.65,15.5,15.35,15.28,4.72,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,0.0,0.0,0.0,0.0,0.0,9.45,5.97,0.0,0.46,17.74,15.63,15.47,15.32,15.25,4.71,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,0.0,0.0,0.0,0.0,0.0,9.25,5.81,0.0,0.46,17.9,15.71,15.53,15.35,15.27,4.72,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,0.0,0.0,0.0,0.0,0.0,9.38,5.89,0.0,0.49,17.79,15.66,15.49,15.33,15.27,4.71,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/03/2021,0.0,0.0,0.0,0.0,0.0,9.29,5.82,0.0,0.51,17.86,15.69,15.51,15.34,15.27,4.71,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,0.0,0.0,0.0,0.0,0.0,9.29,5.82,0.0,0.51,17.86,15.69,15.51,15.34,15.27,4.71,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,0.0,0.0,0.0,0.0,0.0,9.19,5.75,0.0,0.51,18.0,15.75,15.53,15.34,15.24,4.7,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/06/2021,0.0,0.0,0.0,0.0,0.0,9.35,5.87,0.0,0.51,17.94,15.69,15.48,15.29,15.19,4.69,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/10/2021,0.0,0.0,0.0,0.0,0.0,9.53,5.99,0.0,0.52,17.69,15.61,15.44,15.29,15.23,4.71,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/11/2021,0.0,0.0,0.0,0.0,0.0,9.53,5.99,0.0,0.52,17.69,15.61,15.44,15.29,15.23,4.71,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/12/2021,0.0,0.0,0.0,0.0,0.0,9.53,6.0,0.0,0.52,17.63,15.61,15.44,15.3,15.26,4.72,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/13/2021,0.0,0.0,0.0,0.0,0.0,9.54,6.02,0.0,0.52,17.57,15.6,15.45,15.31,15.28,4.72,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/16/2021,0.0,0.0,0.0,0.0,0.0,9.72,6.15,0.0,0.55,17.41,15.55,15.4,15.27,15.25,4.71,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/17/2021,0.0,0.0,0.0,0.0,0.0,9.71,6.16,0.0,0.56,17.61,15.55,15.36,15.2,15.16,4.69,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/18/2021,0.0,0.0,0.0,0.0,0.0,9.71,6.16,0.0,0.56,17.61,15.55,15.36,15.2,15.16,4.69,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/19/2021,0.0,0.0,0.0,0.0,0.0,9.76,6.21,0.0,0.56,17.63,15.55,15.34,15.17,15.11,4.67,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/20/2021,0.0,0.0,0.0,0.0,0.0,9.55,6.05,0.0,0.27,17.9,15.73,15.41,15.23,15.18,4.69,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/23/2021,0.0,0.0,0.0,0.0,0.0,9.34,5.9,0.0,0.27,18.11,15.78,15.44,15.26,15.2,4.7,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/24/2021,0.0,0.0,0.0,0.0,0.0,9.51,6.04,0.0,0.28,18.07,15.71,15.37,15.19,15.15,4.68,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/25/2021,0.0,0.0,0.0,0.0,0.0,9.51,6.04,0.0,0.28,18.07,15.71,15.37,15.19,15.15,4.68,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/26/2021,0.0,0.0,0.0,0.0,0.0,9.79,6.25,0.0,0.29,17.95,15.6,15.29,15.12,15.06,4.66,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/27/2021,0.0,0.0,0.0,0.0,0.0,9.83,6.3,0.0,0.31,17.83,15.58,15.29,15.12,15.08,4.66,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/30/2021,0.0,0.0,0.0,0.0,0.0,9.76,6.24,0.0,0.36,17.78,15.57,15.3,15.16,15.14,4.68,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/31/2021,0.0,0.0,0.0,0.0,0.0,9.96,6.39,0.0,0.38,17.75,15.51,15.23,15.08,15.05,4.65,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/01/2021,0.0,0.0,0.0,0.0,0.0,9.96,6.39,0.0,0.38,17.75,15.51,15.23,15.08,15.05,4.65,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/02/2021,0.0,0.0,0.0,0.0,0.0,10.07,6.5,0.0,0.42,17.72,15.47,15.18,15.03,14.98,4.63,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/03/2021,0.0,0.0,0.0,0.0,0.0,10.08,6.51,0.0,0.46,17.64,15.46,15.19,15.04,15.0,4.63,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/06/2021,0.0,0.0,0.0,0.0,0.0,10.15,6.56,0.0,0.22,17.73,15.48,15.19,15.04,15.0,4.63,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/07/2021,17.62,15.47,15.21,15.07,15.03,10.15,6.57,4.64,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/08/2021,0.0,0.0,0.0,0.0,0.0,10.15,6.57,0.0,0.23,17.62,15.47,15.21,15.07,15.03,4.64,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/09/2021,0.0,0.0,0.0,0.0,0.0,10.15,6.57,0.0,0.23,17.62,15.47,15.21,15.07,15.03,4.64,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/10/2021,0.0,0.0,0.0,0.0,0.0,10.07,6.52,0.0,0.24,17.55,15.49,15.25,15.12,15.1,4.67,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/13/2021,0.0,0.0,0.0,0.0,0.0,9.86,6.36,0.0,0.26,17.86,15.55,15.27,15.11,15.07,4.66,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/14/2021,0.0,0.0,0.0,0.0,0.0,9.7,6.22,0.0,0.27,17.83,15.6,15.33,15.2,15.17,4.69,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/15/2021,0.0,0.0,0.0,0.0,0.0,9.7,6.22,0.0,0.27,17.83,15.6,15.33,15.2,15.17,4.69,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/16/2021,0.0,0.0,0.0,0.0,0.0,9.74,6.26,0.0,0.28,17.89,15.57,15.3,15.16,15.13,4.67,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/17/2021,0.0,0.0,0.0,0.0,0.0,9.54,6.09,0.0,0.3,18.11,15.64,15.34,15.18,15.13,4.68,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/20/2021,0.0,0.0,0.0,0.0,0.0,9.71,6.23,0.0,0.31,17.98,15.56,15.28,15.14,15.12,4.67,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/21/2021,0.0,0.0,0.0,0.0,0.0,9.43,6.0,0.0,0.32,18.02,15.64,15.38,15.25,15.25,4.71,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/22/2021,0.0,0.0,0.0,0.0,0.0,9.43,6.0,0.0,0.32,18.02,15.64,15.38,15.25,15.25,4.71,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/23/2021,0.0,0.0,0.0,0.0,0.0,8.94,5.63,0.0,0.32,18.37,15.81,15.5,15.36,15.33,4.74,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/24/2021,0.0,0.0,0.0,0.0,0.0,8.9,5.58,0.0,0.32,18.36,15.82,15.52,15.38,15.36,4.75,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
09/27/2021,0.0,0.0,0.0,0.0,0.0,9.59,6.09,0.0,0.34,17.95,15.59,15.31,15.2,15.22,4.71,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/28/2021,0.0,0.0,0.0,0.0,0.0,9.66,6.13,0.0,0.35,17.76,15.56,15.32,15.23,15.27,4.73,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/29/2021,0.0,0.0,0.0,0.0,0.0,9.66,6.13,0.0,0.35,17.76,15.56,15.32,15.23,15.27,4.73,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/30/2021,0.0,0.0,0.0,0.0,0.0,9.6,6.09,0.0,0.24,17.8,15.59,15.35,15.27,15.32,4.74,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/01/2021,0.0,0.0,0.0,0.0,0.0,9.09,5.68,0.0,0.24,17.78,15.77,15.56,15.5,15.57,4.82,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/04/2021,0.0,0.0,0.0,0.0,0.0,8.8,5.41,0.0,0.29,17.82,15.88,15.67,15.61,15.67,4.85,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/05/2021,0.0,0.0,0.0,0.0,0.0,9.05,5.63,0.0,0.34,17.83,15.79,15.56,15.49,15.52,4.8,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/06/2021,0.0,0.0,0.0,0.0,0.0,9.05,5.63,0.0,0.34,17.83,15.79,15.56,15.49,15.52,4.8,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/07/2021,0.0,0.0,0.0,0.0,0.0,8.7,5.34,0.0,0.35,17.95,15.9,15.68,15.61,15.64,4.84,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/08/2021,0.0,0.0,0.0,0.0,0.0,8.99,5.56,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,17.7,15.8,15.6,15.6,15.55,4.83,100.0
10/11/2021,0.0,0.0,0.0,0.0,0.0,9.37,5.86,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,17.48,15.67,15.5,15.48,15.44,4.8,100.0
10/12/2021,0.0,0.0,0.0,0.0,0.0,9.31,5.78,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,17.44,15.68,15.56,15.52,15.49,4.82,100.01
10/13/2021,0.0,0.0,0.0,0.0,0.0,9.31,5.78,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,17.44,15.68,15.56,15.52,15.49,4.82,100.01
10/14/2021,0.0,0.0,0.0,0.0,0.0,9.12,5.61,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,17.51,15.74,15.64,15.58,15.55,4.84,100.0
10/15/2021,0.0,0.0,0.0,0.0,0.0,8.97,5.49,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,17.75,15.79,15.62,15.59,15.54,4.84,100.0
10/18/2021,0.0,0.0,0.0,0.0,0.0,9.58,5.96,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,17.74,15.59,15.34,15.35,15.27,4.75,99.98
10/19/2021,0.0,0.0,0.0,0.0,0.0,9.81,6.17,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,17.61,15.48,15.32,15.25,15.19,4.74,100.0
10/20/2021,0.0,0.0,0.0,0.0,0.0,9.81,6.17,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,17.61,15.48,15.32,15.25,15.19,4.74,100.0
10/21/2021,0.0,0.0,0.0,0.0,0.0,9.89,6.26,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,17.69,15.42,15.26,15.18,15.12,4.73,100.0
10/22/2021,0.0,0.0,0.0,0.0,0.0,10.16,6.48,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,17.37,15.33,15.24,15.13,15.09,4.72,100.0
10/25/2021,0.0,0.0,0.0,0.0,0.0,10.36,6.63,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,17.21,15.27,15.21,15.08,15.05,4.71,100.0
10/26/2021,0.0,0.0,0.0,0.0,0.0,10.3,6.6,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,17.33,15.28,15.18,15.07,15.03,4.7,100.0
10/27/2021,0.0,0.0,0.0,0.0,0.0,10.3,6.6,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,17.33,15.28,15.18,15.07,15.03,4.7,100.0
10/28/2021,0.0,0.0,0.0,0.0,0.0,10.45,6.71,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,17.27,15.23,15.12,15.03,14.98,4.68,100.0
10/29/2021,0.0,0.0,0.0,0.0,0.0,10.47,6.74,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,17.35,15.21,15.08,14.99,14.94,4.67,100.01
11/01/2021,0.0,0.0,0.0,0.0,0.0,10.53,6.84,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,17.57,15.17,14.97,14.9,14.84,4.64,100.01
11/02/2021,0.0,0.0,0.0,0.0,0.0,10.61,6.91,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,17.55,15.11,14.9,14.91,14.82,4.62,100.01
11/03/2021,0.0,0.0,0.0,0.0,0.0,10.61,6.91,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,17.55,15.11,14.9,14.91,14.82,4.62,100.01
11/04/2021,0.0,0.0,0.0,0.0,0.0,10.64,6.94,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,17.47,15.1,14.89,14.91,14.82,4.62,99.99000000000001
