,CE,HUN,STLD,CC,FCX,MOS,OLN,NEM,RS,AVY,WLK,NEU,LYB,NUE,RGLD,IP,ASH,DOW,TKR,SCCO,CF,EMN,FAST,GRA,APD,AA,FMC,UNVR,ESI,ECL,ALB,IFF,VVV,CLF,HXL,SMG,X,US Dollar,MISXX,Morgan Stanley Instl Lqudty Trs Instl,n/a,SLVM WI,SUM
08/09/2021,4.9,4.63,5.02,4.61,4.69,4.67,4.85,3.76,3.87,3.92,3.49,3.86,3.65,4.11,2.61,2.39,2.43,2.46,2.37,2.58,2.24,2.42,2.07,1.95,1.95,2.04,1.67,1.87,1.91,0.9,1.1,0.84,0.82,0.92,0.77,0.72,0.9,0.0,0.01,0.0,0.0,0.0,99.97
08/10/2021,4.9,4.63,5.02,4.61,4.69,4.67,4.85,3.76,3.87,3.92,3.49,3.86,3.65,4.11,2.61,2.39,2.43,2.46,2.37,2.58,2.24,2.42,2.07,1.95,1.95,2.04,1.67,1.87,1.91,0.9,1.1,0.84,0.82,0.92,0.77,0.72,0.9,0.0,0.01,0.0,0.0,0.0,99.97
08/11/2021,4.91,4.64,5.04,4.63,4.75,4.72,4.8,3.61,3.87,3.88,3.49,3.9,3.7,4.16,2.55,2.37,2.42,2.46,2.37,2.55,2.25,2.43,2.03,1.92,1.93,2.11,1.69,1.88,1.91,0.89,1.13,0.85,0.8,0.93,0.77,0.72,0.9,0.0,0.01,0.0,0.0,0.0,99.97
08/12/2021,4.92,4.61,5.15,4.62,4.69,4.87,4.66,3.54,3.88,3.9,3.47,3.91,3.7,4.29,2.51,2.39,2.43,2.45,2.33,2.54,2.29,2.42,2.02,1.91,1.83,2.1,1.69,1.86,1.93,0.89,1.15,0.86,0.78,0.96,0.75,0.71,0.94,0.0,0.05,0.0,0.0,0.0,100.0
08/13/2021,4.92,4.57,5.33,4.54,4.79,4.9,4.76,3.41,3.88,3.84,3.51,3.89,3.75,4.58,2.41,2.37,2.38,2.43,2.32,2.52,2.27,2.39,1.96,1.87,1.8,2.21,1.64,1.83,1.88,0.87,1.15,0.85,0.76,0.98,0.74,0.68,0.96,0.0,0.0,0.0,0.05,0.0,99.99
08/16/2021,4.93,4.49,5.61,4.54,4.75,4.87,4.77,3.38,3.85,3.77,3.46,3.89,3.75,4.79,2.4,2.35,2.35,2.44,2.36,2.47,2.29,2.4,1.95,1.84,1.77,2.25,1.61,1.8,1.9,0.86,1.13,0.84,0.77,0.96,0.75,0.66,0.94,0.0,0.07,0.0,0.0,0.0,100.01
08/17/2021,4.93,4.49,5.61,4.54,4.75,4.87,4.77,3.38,3.85,3.77,3.46,3.89,3.75,4.79,2.4,2.35,2.35,2.44,2.36,2.47,2.29,2.4,1.95,1.84,1.77,2.25,1.61,1.8,1.9,0.86,1.13,0.84,0.77,0.96,0.75,0.66,0.94,0.0,0.07,0.0,0.0,0.0,100.01
08/18/2021,4.91,4.42,5.63,4.55,4.71,4.82,4.85,3.41,3.82,3.76,3.44,3.9,3.75,4.83,2.45,2.33,2.39,2.42,2.37,2.52,2.26,2.39,1.95,1.85,1.78,2.25,1.6,1.79,1.9,0.86,1.12,0.84,0.76,0.96,0.74,0.65,0.97,0.0,0.0,0.0,0.07,0.0,100.02
08/19/2021,4.89,4.5,5.58,4.52,4.61,4.73,4.79,3.45,3.82,3.88,3.5,3.92,3.74,4.81,2.45,2.37,2.42,2.44,2.38,2.46,2.2,2.4,1.99,1.87,1.82,2.19,1.59,1.8,1.92,0.87,1.09,0.85,0.78,0.96,0.75,0.65,0.98,0.0,0.07,0.0,0.0,0.0,100.04
08/20/2021,4.91,4.47,5.48,4.59,4.44,4.64,4.72,3.52,3.84,3.91,3.53,4.03,3.76,4.73,2.48,2.39,2.42,2.45,2.38,2.44,2.21,2.41,2.0,1.91,1.86,2.14,1.62,1.81,1.91,0.89,1.07,0.86,0.78,0.94,0.76,0.66,0.98,0.0,0.07,0.0,0.0,0.0,100.01
08/23/2021,4.94,4.51,5.54,4.43,4.29,4.55,4.6,3.51,3.9,4.03,3.53,4.16,3.72,4.81,2.48,2.45,2.43,2.47,2.35,2.44,2.17,2.43,2.08,1.97,1.85,1.97,1.61,1.8,1.9,0.92,1.09,0.86,0.79,0.92,0.74,0.69,0.98,0.0,0.07,0.0,0.0,0.0,99.98
08/24/2021,4.95,4.47,5.48,4.39,4.31,4.7,4.7,3.47,3.88,4.05,3.54,4.16,3.73,4.74,2.44,2.46,2.45,2.46,2.33,2.42,2.21,2.41,2.08,1.96,1.81,2.0,1.58,1.81,1.92,0.92,1.11,0.86,0.78,0.91,0.75,0.7,0.96,0.0,0.07,0.0,0.0,0.0,99.96999999999998
08/25/2021,4.95,4.47,5.48,4.39,4.31,4.7,4.7,3.47,3.88,4.05,3.54,4.16,3.73,4.74,2.44,2.46,2.45,2.46,2.33,2.42,2.21,2.41,2.08,1.96,1.81,2.0,1.58,1.81,1.92,0.92,1.11,0.86,0.78,0.91,0.75,0.7,0.96,0.0,0.07,0.0,0.0,0.0,99.96999999999998
08/26/2021,4.91,4.47,5.54,4.48,4.41,4.69,4.69,3.49,3.84,3.97,3.55,4.1,3.73,4.79,2.47,2.4,2.44,2.47,2.3,2.45,2.19,2.41,2.05,1.92,1.8,2.14,1.58,1.8,1.88,0.91,1.13,0.84,0.77,0.92,0.75,0.69,0.95,0.0,0.07,0.0,0.0,0.0,99.98999999999998
08/27/2021,4.89,4.52,5.63,4.54,4.47,4.77,4.74,3.42,3.81,3.93,3.6,4.04,3.76,4.84,2.41,2.38,2.43,2.47,2.28,2.42,2.17,2.39,2.0,1.89,1.77,2.16,1.58,1.79,1.87,0.89,1.12,0.83,0.77,0.95,0.75,0.68,0.96,0.0,0.08,0.0,0.0,0.0,100.0
08/30/2021,4.95,4.57,5.5,4.61,4.41,4.72,4.91,3.39,3.76,4.05,3.63,3.99,3.73,4.67,2.38,2.4,2.44,2.5,2.27,2.37,2.15,2.4,2.03,1.91,1.77,2.13,1.64,1.84,1.86,0.9,1.14,0.84,0.77,0.92,0.75,0.68,0.92,0.0,0.11,0.0,0.0,0.0,100.01000000000002
08/31/2021,4.95,4.57,5.5,4.61,4.41,4.72,4.91,3.39,3.76,4.05,3.63,3.99,3.73,4.67,2.38,2.4,2.44,2.5,2.27,2.37,2.15,2.4,2.03,1.91,1.77,2.13,1.64,1.84,1.86,0.9,1.14,0.84,0.77,0.92,0.75,0.68,0.92,0.0,0.11,0.0,0.0,0.0,100.01000000000002
09/01/2021,4.89,4.6,5.5,4.62,4.56,4.73,5.06,3.4,3.75,3.98,3.64,3.97,3.7,4.62,2.4,2.38,2.42,2.51,2.27,2.38,2.14,2.4,1.98,1.86,1.73,2.22,1.59,1.83,1.85,0.88,1.14,0.82,0.76,0.92,0.76,0.68,0.93,0.0,0.12,0.0,0.0,0.0,99.99
09/02/2021,4.89,4.62,5.48,4.54,4.59,4.71,5.08,3.38,3.76,4.01,3.62,4.01,3.69,4.7,2.38,2.37,2.44,2.47,2.28,2.39,2.13,2.38,2.01,1.87,1.75,2.22,1.6,1.81,1.86,0.89,1.15,0.82,0.76,0.91,0.74,0.67,0.92,0.0,0.0,0.0,0.12,0.0,100.02
09/03/2021,4.89,4.66,5.29,4.5,4.58,4.71,5.03,3.42,3.72,4.01,3.62,4.06,3.65,4.58,2.39,2.4,2.55,2.44,2.24,2.39,2.17,2.38,2.01,1.88,1.75,2.25,1.62,1.81,1.82,0.89,1.15,0.83,0.76,0.89,0.74,0.67,0.91,0.0,0.0,0.0,0.32,0.0,99.98
09/06/2021,4.82,4.74,5.29,4.53,4.57,4.75,4.97,3.46,3.71,4.04,3.64,4.04,3.54,4.49,2.4,2.41,2.57,2.43,2.22,2.38,2.19,2.38,2.02,1.88,1.75,2.38,1.67,1.83,1.81,0.9,1.18,0.83,0.77,0.92,0.75,0.68,0.92,0.0,0.0,0.0,0.14,0.0,100.0
09/07/2021,4.8,4.72,5.26,4.5,4.57,4.73,4.92,3.53,3.72,4.03,3.62,4.03,3.49,4.46,2.44,2.41,2.64,2.42,2.21,2.4,2.17,2.37,2.02,1.89,1.75,2.4,1.65,1.81,1.81,0.9,1.18,0.83,0.78,0.91,0.74,0.68,0.9,0.0,0.0,0.0,0.29,0.0,99.98
09/08/2021,4.8,4.72,5.26,4.5,4.57,4.73,4.92,3.53,3.72,4.03,3.62,4.03,3.49,4.46,2.44,2.41,2.64,2.42,2.21,2.4,2.17,2.37,2.02,1.89,1.75,2.4,1.65,1.81,1.81,0.9,1.18,0.83,0.78,0.91,0.74,0.68,0.9,0.0,0.0,0.0,0.29,0.0,99.98
09/09/2021,4.81,4.73,5.26,4.51,4.58,4.73,4.93,3.54,3.73,4.04,3.63,4.04,3.5,4.47,2.44,2.41,2.65,2.42,2.21,2.4,2.18,2.38,2.02,1.89,1.75,2.41,1.65,1.82,1.81,0.9,1.18,0.83,0.78,0.91,0.74,0.68,0.9,0.0,0.15,0.0,0.0,0.0,100.01
09/10/2021,4.76,4.76,5.28,4.46,4.64,4.77,4.93,3.48,3.74,4.03,3.65,4.06,3.48,4.53,2.41,2.38,2.63,2.43,2.18,2.41,2.23,2.38,1.97,1.91,1.76,2.4,1.67,1.8,1.77,0.91,1.17,0.83,0.79,0.92,0.75,0.67,0.91,0.0,0.11,0.0,0.04,0.0,100.0
09/13/2021,4.82,4.87,5.29,4.34,4.49,4.73,4.92,3.46,3.77,4.09,3.6,4.07,3.41,4.49,2.42,2.4,2.69,2.39,2.23,2.35,2.22,2.35,1.96,1.94,1.78,2.47,1.72,1.79,1.78,0.92,1.21,0.84,0.81,0.91,0.73,0.68,0.9,0.0,0.16,0.0,0.0,0.0,100.0
09/14/2021,4.82,4.89,5.26,4.27,4.56,4.75,4.96,3.43,3.76,4.07,3.65,3.96,3.44,4.46,2.38,2.38,2.65,2.39,2.19,2.41,2.22,2.35,1.96,1.93,1.78,2.56,1.73,1.76,1.77,0.91,1.19,0.82,0.8,0.9,0.74,0.66,0.9,0.0,0.0,0.0,0.33,0.0,99.98999999999998
09/15/2021,4.82,4.9,5.27,4.27,4.56,4.75,4.97,3.43,3.76,4.08,3.65,3.97,3.45,4.47,2.39,2.38,2.65,2.39,2.19,2.41,2.22,2.35,1.97,1.93,1.78,2.57,1.73,1.76,1.77,0.92,1.2,0.83,0.8,0.9,0.74,0.66,0.9,0.0,0.21,0.0,0.0,0.0,99.99999999999996
09/16/2021,4.84,4.93,5.11,4.33,4.53,4.8,5.02,3.43,3.78,4.05,3.68,3.93,3.5,4.34,2.41,2.39,2.66,2.4,2.23,2.39,2.26,2.36,1.96,1.93,1.79,2.55,1.74,1.78,1.78,0.91,1.14,0.82,0.81,0.87,0.77,0.67,0.88,0.0,0.21,0.0,0.0,0.0,99.98
09/17/2021,4.79,4.87,5.04,4.32,4.55,4.87,5.03,3.5,3.75,4.09,3.73,3.9,3.54,4.29,2.44,2.4,2.68,2.4,2.18,2.4,2.28,2.28,1.98,1.96,1.81,2.53,1.74,1.8,1.76,0.92,1.16,0.82,0.84,0.87,0.78,0.64,0.86,0.0,0.21,0.0,0.0,0.0,100.01
09/20/2021,4.72,4.88,5.16,4.29,4.69,4.99,5.09,3.45,3.77,4.01,3.7,3.85,3.49,4.33,2.4,2.35,2.63,2.36,2.17,2.41,2.34,2.26,1.96,1.92,1.77,2.66,1.71,1.78,1.76,0.9,1.15,0.8,0.82,0.88,0.78,0.63,0.89,0.0,0.29,0.0,0.0,0.0,100.04
09/21/2021,4.83,4.94,5.13,4.24,4.44,5.08,5.07,3.36,3.73,4.05,3.7,3.91,3.5,4.4,2.33,2.38,2.69,2.37,2.13,2.32,2.4,2.27,1.98,1.94,1.78,2.58,1.73,1.81,1.75,0.91,1.15,0.8,0.82,0.9,0.79,0.63,0.89,0.0,0.3,0.0,0.0,0.0,100.03
09/22/2021,4.81,4.93,5.09,4.19,4.36,5.16,5.13,3.41,3.74,4.0,3.73,3.94,3.51,4.29,2.36,2.37,2.65,2.35,2.15,2.34,2.45,2.27,2.0,1.98,1.78,2.6,1.72,1.81,1.75,0.91,1.15,0.78,0.82,0.87,0.8,0.64,0.83,0.0,0.31,0.0,0.0,0.0,99.98
09/23/2021,4.83,4.92,4.92,4.06,4.24,5.09,4.96,3.44,3.78,4.08,3.67,4.06,3.53,4.08,2.43,2.42,2.7,2.35,2.17,2.34,2.48,2.26,2.05,2.04,1.81,2.66,1.76,1.83,1.79,0.93,1.13,0.8,0.83,0.81,0.83,0.67,0.8,0.0,0.0,0.0,0.43,0.0,99.98
09/24/2021,4.9,4.92,4.93,3.95,4.18,5.17,4.91,3.5,3.78,4.07,3.72,4.13,3.55,4.08,2.43,2.4,2.72,2.34,2.17,2.34,2.54,2.27,2.06,2.02,1.82,2.52,1.75,1.92,1.8,0.94,1.14,0.79,0.84,0.82,0.82,0.68,0.8,0.0,0.31,0.0,0.0,0.0,100.03
09/27/2021,4.92,5.09,4.96,3.92,4.32,5.47,5.36,3.41,3.82,4.15,3.89,4.17,3.62,4.14,2.31,2.44,2.77,2.38,2.19,2.33,2.72,2.29,2.07,0.0,1.81,2.63,1.74,1.93,1.85,0.95,1.19,0.78,0.87,0.84,0.85,0.66,0.8,0.0,0.35,0.0,0.0,0.0,99.99
09/28/2021,5.02,5.05,5.0,3.91,4.32,5.59,5.3,3.38,3.77,4.11,3.88,4.16,3.6,4.19,2.29,2.43,2.77,2.35,2.2,2.35,2.78,2.29,2.07,0.0,1.8,2.62,1.73,1.95,1.88,0.95,1.17,0.77,0.86,0.83,0.84,0.66,0.79,0.0,0.34,0.0,0.0,0.0,100.0
09/29/2021,5.02,5.05,5.0,3.91,4.32,5.59,5.3,3.38,3.77,4.11,3.88,4.16,3.6,4.19,2.29,2.43,2.77,2.35,2.2,2.35,2.78,2.29,2.07,0.0,1.8,2.62,1.73,1.95,1.88,0.95,1.17,0.77,0.86,0.83,0.84,0.66,0.79,0.0,0.34,0.0,0.0,0.0,100.0
09/30/2021,4.77,5.15,5.04,4.17,4.44,5.61,5.33,3.31,3.75,4.02,4.04,4.12,3.63,4.21,2.22,2.39,2.61,2.41,2.18,2.35,2.78,2.31,2.02,0.0,1.77,2.72,1.72,1.95,1.9,0.9,1.12,0.75,0.85,0.84,0.85,0.65,0.81,0.0,0.33,0.0,0.0,0.0,100.02
10/01/2021,4.73,5.5,5.07,4.11,4.42,5.6,5.24,3.37,3.78,3.95,3.99,4.13,3.66,4.19,2.21,2.39,2.62,2.41,2.2,2.32,2.82,2.3,1.98,0.0,1.78,2.7,1.7,1.93,1.86,0.88,1.1,0.76,0.85,0.81,0.83,0.67,0.8,0.0,0.33,0.0,0.0,0.0,99.99
10/04/2021,4.76,5.58,4.9,4.17,4.38,5.6,5.21,3.43,3.77,3.94,4.05,4.21,3.65,4.11,2.2,2.39,2.67,2.39,2.13,2.29,2.85,2.26,1.98,0.0,1.78,2.66,1.69,1.95,1.85,0.89,1.14,0.78,0.84,0.8,0.83,0.67,0.8,0.0,0.0,0.0,0.4,0.0,100.0
10/05/2021,4.76,5.68,4.8,4.22,4.34,5.81,5.23,3.32,3.73,3.92,4.09,4.22,3.66,4.0,2.15,2.24,2.69,2.39,2.14,2.28,3.06,2.26,1.95,0.0,1.76,2.65,1.67,1.97,1.86,0.89,1.12,0.81,0.84,0.78,0.84,0.66,0.78,0.0,0.32,0.0,0.0,0.13,100.02
10/06/2021,4.76,5.68,4.8,4.22,4.34,5.81,5.23,3.32,3.73,3.92,4.09,4.22,3.66,4.0,2.15,2.24,2.69,2.39,2.14,2.28,3.06,2.26,1.95,0.0,1.76,2.65,1.67,1.97,1.86,0.89,1.12,0.81,0.84,0.78,0.84,0.66,0.78,0.0,0.32,0.0,0.0,0.13,100.02
10/07/2021,4.77,5.65,4.83,4.17,4.34,5.9,5.18,3.4,3.73,3.89,4.11,4.29,3.62,3.97,2.15,2.27,2.66,2.38,2.14,2.27,3.05,2.26,1.94,0.0,1.75,2.63,1.65,1.98,1.88,0.89,1.1,0.8,0.84,0.79,0.86,0.66,0.79,0.0,0.32,0.0,0.0,0.11,100.02000000000001
