,CB,PGR,MET,AIG,ALL,PRU,TRV,AJG,AFL,HIG,CINF,MKL,ACGL,PFG,BRO,L,LNC,WRB,AIZ,Y,GL,ATH,AFG,VOYA,ORI,FAF,PRI,UNM,THG,SIGI,ERIE,KMPR,RLI,TRUP,AXS,BHF,KNSL,WTM,CNO,AGO,AEL,LMND,ARGO,MCY,PLMR,GNW,XTSLA,EHTH,ANAT,JRVR,CNA,HMN,AMSF,EIG,PRA,SAFT,AMBC,MILE,MBI,UFCS,NWLI,UVE,STFC,WFFUT,IXAU1,USD,OSCR,ROOT,SUM
07/30/2021,11.17,8.23,6.3,5.96,5.77,5.8,4.5,4.37,4.43,3.36,2.64,2.54,2.37,2.41,1.95,1.83,1.66,1.59,1.44,1.4,1.35,1.23,1.32,1.17,1.06,1.09,0.88,0.87,0.71,0.72,0.7,0.63,0.65,0.59,0.61,0.55,0.59,0.53,0.46,0.52,0.41,0.24,0.27,0.25,0.26,0.23,0.16,0.22,0.22,0.2,0.18,0.2,0.17,0.13,0.14,0.13,0.1,0.08,0.09,0.08,0.07,0.06,0.13,0.01,0.0,0.01,0.0,0.0,99.99
08/02/2021,10.97,8.17,6.32,5.98,5.79,5.82,4.45,4.31,4.55,3.41,2.67,2.51,2.35,2.41,1.94,1.82,1.69,1.56,1.44,1.39,1.35,1.23,1.33,1.19,1.06,1.11,0.89,0.86,0.73,0.73,0.7,0.63,0.66,0.6,0.61,0.56,0.6,0.53,0.46,0.53,0.42,0.24,0.27,0.25,0.27,0.23,0.16,0.22,0.22,0.21,0.18,0.2,0.17,0.14,0.14,0.13,0.1,0.09,0.09,0.08,0.07,0.06,0.13,0.01,0.0,0.02,0.0,0.0,100.01
08/03/2021,11.11,8.15,6.29,5.94,5.7,5.78,4.47,4.33,4.52,3.45,2.68,2.52,2.39,2.39,1.93,1.82,1.68,1.56,1.45,1.41,1.34,1.23,1.33,1.19,1.07,1.12,0.88,0.85,0.74,0.74,0.7,0.61,0.65,0.59,0.62,0.56,0.59,0.53,0.46,0.53,0.42,0.24,0.27,0.24,0.27,0.23,0.16,0.21,0.23,0.2,0.18,0.2,0.18,0.14,0.13,0.13,0.1,0.08,0.09,0.08,0.07,0.06,0.13,0.01,0.0,0.02,0.0,0.0,99.97
08/04/2021,11.11,8.15,6.29,5.94,5.7,5.78,4.47,4.33,4.52,3.45,2.68,2.52,2.39,2.39,1.93,1.82,1.68,1.56,1.45,1.41,1.34,1.23,1.33,1.19,1.07,1.12,0.88,0.85,0.74,0.74,0.7,0.61,0.65,0.59,0.62,0.56,0.59,0.53,0.46,0.53,0.42,0.24,0.27,0.24,0.27,0.23,0.16,0.21,0.23,0.2,0.18,0.2,0.18,0.14,0.13,0.13,0.1,0.08,0.09,0.08,0.07,0.06,0.13,0.01,0.0,0.02,0.0,0.0,99.97
08/05/2021,11.11,8.15,6.29,5.94,5.7,5.78,4.47,4.33,4.52,3.45,2.68,2.52,2.39,2.39,1.93,1.82,1.68,1.56,1.45,1.41,1.34,1.23,1.33,1.19,1.07,1.12,0.88,0.85,0.74,0.74,0.7,0.61,0.65,0.59,0.62,0.56,0.59,0.53,0.46,0.53,0.42,0.24,0.27,0.24,0.27,0.23,0.16,0.21,0.23,0.2,0.18,0.2,0.18,0.14,0.13,0.13,0.1,0.08,0.09,0.08,0.07,0.06,0.13,0.01,0.0,0.02,0.0,0.0,99.97
08/06/2021,11.28,8.21,6.3,5.95,5.69,5.85,4.48,4.27,4.53,3.5,2.68,2.5,2.39,2.4,1.91,1.81,1.67,1.53,1.44,1.39,1.32,1.25,1.33,1.21,1.06,1.1,0.87,0.84,0.73,0.73,0.69,0.57,0.65,0.59,0.62,0.55,0.57,0.52,0.45,0.53,0.42,0.24,0.28,0.24,0.27,0.23,0.19,0.2,0.23,0.2,0.18,0.19,0.17,0.14,0.13,0.13,0.1,0.08,0.1,0.08,0.07,0.06,0.13,0.01,0.0,0.0,0.0,0.0,100.03
08/10/2021,11.2,8.07,6.43,6.22,5.58,5.87,4.46,4.2,4.49,3.5,2.64,2.55,2.42,2.42,1.88,1.81,1.78,1.52,1.43,1.4,1.32,1.25,1.35,1.21,1.05,1.1,0.87,0.81,0.73,0.73,0.67,0.59,0.65,0.5,0.62,0.6,0.59,0.52,0.45,0.53,0.41,0.22,0.29,0.24,0.27,0.24,0.06,0.2,0.23,0.21,0.18,0.2,0.17,0.14,0.14,0.13,0.1,0.08,0.09,0.09,0.07,0.06,0.13,0.01,0.0,0.05,0.0,0.0,100.02
08/11/2021,11.2,8.07,6.43,6.22,5.58,5.87,4.46,4.2,4.49,3.5,2.64,2.55,2.42,2.42,1.88,1.81,1.78,1.52,1.43,1.4,1.32,1.25,1.35,1.21,1.05,1.1,0.87,0.81,0.73,0.73,0.67,0.59,0.65,0.5,0.62,0.6,0.59,0.52,0.45,0.53,0.41,0.22,0.29,0.24,0.27,0.24,0.06,0.2,0.23,0.21,0.18,0.2,0.17,0.14,0.14,0.13,0.1,0.08,0.09,0.09,0.07,0.06,0.13,0.01,0.0,0.05,0.0,0.0,100.02
08/12/2021,11.2,8.05,6.37,6.3,5.63,5.85,4.46,4.22,4.46,3.5,2.63,2.54,2.4,2.41,1.88,1.81,1.78,1.51,1.42,1.4,1.32,1.23,1.35,1.2,1.05,1.09,0.88,0.8,0.73,0.73,0.66,0.6,0.64,0.51,0.61,0.59,0.59,0.52,0.45,0.52,0.42,0.23,0.29,0.24,0.28,0.24,0.09,0.19,0.25,0.21,0.18,0.19,0.17,0.14,0.14,0.13,0.1,0.08,0.09,0.09,0.08,0.06,0.13,0.01,0.0,0.06,0.0,0.0,99.98
08/13/2021,11.26,7.93,6.46,6.41,5.65,5.87,4.45,4.2,4.47,3.48,2.63,2.52,2.4,2.42,1.87,1.81,1.79,1.5,1.43,1.39,1.32,1.2,1.35,1.21,1.05,1.08,0.87,0.81,0.73,0.73,0.65,0.61,0.63,0.49,0.62,0.58,0.59,0.51,0.45,0.53,0.42,0.22,0.29,0.23,0.28,0.24,0.09,0.19,0.26,0.21,0.18,0.19,0.17,0.14,0.15,0.13,0.1,0.06,0.09,0.09,0.08,0.06,0.13,0.01,0.0,0.06,0.0,0.0,100.02
08/16/2021,11.36,7.89,6.48,6.43,5.63,5.91,4.46,4.17,4.47,3.5,2.63,2.54,2.42,2.45,1.87,1.81,1.82,1.49,1.45,1.38,1.32,1.17,1.35,1.17,1.06,1.08,0.86,0.81,0.73,0.73,0.63,0.59,0.62,0.48,0.62,0.6,0.57,0.51,0.45,0.53,0.41,0.2,0.29,0.23,0.27,0.24,0.09,0.17,0.25,0.21,0.18,0.19,0.17,0.13,0.15,0.13,0.1,0.05,0.08,0.08,0.08,0.06,0.13,0.01,0.0,0.07,0.0,0.0,100.01
08/17/2021,11.43,7.82,6.47,6.52,5.62,5.92,4.46,4.14,4.47,3.5,2.62,2.53,2.43,2.44,1.88,1.8,1.82,1.51,1.44,1.38,1.32,1.18,1.34,1.18,1.06,1.08,0.86,0.8,0.73,0.72,0.62,0.58,0.62,0.47,0.62,0.6,0.56,0.5,0.45,0.53,0.41,0.19,0.28,0.23,0.27,0.24,0.1,0.16,0.25,0.21,0.17,0.19,0.17,0.13,0.15,0.14,0.1,0.06,0.09,0.09,0.08,0.06,0.13,0.01,0.0,0.06,0.0,0.0,99.99
08/19/2021,11.5,7.89,6.4,6.5,5.67,5.87,4.49,4.21,4.48,3.48,2.63,2.52,2.43,2.43,1.9,1.79,1.77,1.5,1.45,1.38,1.32,1.18,1.35,1.18,1.07,1.08,0.86,0.79,0.73,0.73,0.62,0.58,0.62,0.45,0.62,0.58,0.56,0.5,0.45,0.53,0.4,0.19,0.28,0.23,0.26,0.24,0.1,0.17,0.25,0.21,0.17,0.2,0.17,0.13,0.15,0.14,0.1,0.05,0.08,0.09,0.08,0.06,0.13,0.01,0.0,0.05,0.0,0.0,100.03000000000002
08/20/2021,11.58,7.8,6.38,6.46,5.62,5.85,4.54,4.19,4.47,3.48,2.66,2.51,2.44,2.42,1.91,1.79,1.75,1.52,1.46,1.39,1.32,1.16,1.36,1.18,1.07,1.09,0.87,0.78,0.74,0.74,0.63,0.59,0.63,0.43,0.63,0.59,0.58,0.5,0.45,0.52,0.4,0.18,0.28,0.23,0.25,0.23,0.09,0.17,0.25,0.21,0.17,0.2,0.17,0.13,0.15,0.14,0.09,0.05,0.08,0.09,0.08,0.06,0.13,0.01,0.0,0.09,0.0,0.0,100.01
08/23/2021,11.74,7.93,6.32,6.4,5.65,5.76,4.61,4.24,4.42,3.43,2.66,2.52,2.45,2.39,1.94,1.79,1.71,1.55,1.44,1.41,1.32,1.14,1.36,1.14,1.08,1.08,0.85,0.76,0.73,0.74,0.63,0.59,0.63,0.42,0.63,0.57,0.57,0.51,0.45,0.52,0.4,0.18,0.28,0.23,0.27,0.22,0.1,0.15,0.26,0.2,0.17,0.2,0.17,0.13,0.15,0.14,0.09,0.05,0.09,0.09,0.08,0.06,0.13,0.01,0.0,0.08,0.0,0.0,100.01000000000002
08/24/2021,11.69,7.97,6.29,6.42,5.63,5.74,4.61,4.24,4.41,3.42,2.67,2.53,2.46,2.38,1.96,1.78,1.71,1.55,1.45,1.4,1.31,1.13,1.37,1.13,1.08,1.09,0.86,0.76,0.73,0.74,0.64,0.6,0.64,0.44,0.62,0.58,0.58,0.51,0.45,0.53,0.4,0.18,0.28,0.23,0.27,0.22,0.11,0.15,0.25,0.21,0.17,0.2,0.17,0.13,0.16,0.14,0.09,0.05,0.09,0.09,0.08,0.06,0.13,0.01,0.0,0.07,0.0,0.0,100.04
08/25/2021,11.69,7.97,6.29,6.42,5.63,5.74,4.61,4.24,4.41,3.42,2.67,2.53,2.46,2.38,1.96,1.78,1.71,1.55,1.45,1.4,1.31,1.13,1.37,1.13,1.08,1.09,0.86,0.76,0.73,0.74,0.64,0.6,0.64,0.44,0.62,0.58,0.58,0.51,0.45,0.53,0.4,0.18,0.28,0.23,0.27,0.22,0.11,0.15,0.25,0.21,0.17,0.2,0.17,0.13,0.16,0.14,0.09,0.05,0.09,0.09,0.08,0.06,0.13,0.01,0.0,0.07,0.0,0.0,100.04
08/26/2021,11.59,7.91,6.33,6.46,5.71,5.72,4.56,4.22,4.42,3.44,2.66,2.49,2.45,2.4,1.95,1.79,1.74,1.54,1.45,1.38,1.31,1.15,1.37,1.13,1.08,1.09,0.86,0.77,0.73,0.73,0.62,0.6,0.64,0.47,0.62,0.58,0.57,0.51,0.46,0.52,0.4,0.19,0.28,0.23,0.27,0.23,0.11,0.15,0.25,0.21,0.17,0.2,0.17,0.13,0.16,0.13,0.09,0.05,0.08,0.09,0.08,0.06,0.13,0.01,0.0,0.13,0.0,0.0,100.02
08/27/2021,11.55,7.84,6.36,6.47,5.68,5.76,4.57,4.22,4.41,3.44,2.65,2.5,2.44,2.43,1.94,1.79,1.77,1.53,1.45,1.37,1.32,1.15,1.36,1.13,1.08,1.09,0.87,0.78,0.72,0.73,0.63,0.6,0.64,0.47,0.62,0.59,0.56,0.51,0.46,0.53,0.4,0.2,0.28,0.23,0.27,0.23,0.11,0.16,0.25,0.2,0.17,0.2,0.17,0.13,0.15,0.13,0.09,0.05,0.08,0.09,0.08,0.06,0.13,0.01,0.0,0.13,0.0,0.0,100.01
08/30/2021,11.55,7.85,6.41,6.46,5.68,5.79,4.57,4.22,4.41,3.47,2.65,2.51,2.41,2.44,1.95,1.8,1.78,1.52,1.46,1.35,1.31,1.17,1.35,1.14,1.08,1.11,0.86,0.79,0.72,0.72,0.63,0.6,0.62,0.44,0.6,0.6,0.55,0.51,0.46,0.53,0.39,0.19,0.27,0.23,0.28,0.23,0.1,0.14,0.25,0.2,0.17,0.2,0.16,0.13,0.16,0.13,0.1,0.04,0.08,0.09,0.08,0.06,0.13,0.01,0.0,0.14,0.0,0.0,100.03
08/31/2021,11.51,7.84,6.42,6.48,5.65,5.81,4.57,4.19,4.4,3.46,2.65,2.49,2.4,2.45,1.94,1.8,1.8,1.52,1.46,1.36,1.31,1.17,1.35,1.14,1.07,1.11,0.87,0.79,0.73,0.72,0.62,0.61,0.63,0.45,0.6,0.6,0.56,0.5,0.47,0.53,0.39,0.2,0.27,0.23,0.29,0.24,0.1,0.15,0.25,0.2,0.17,0.2,0.17,0.13,0.16,0.13,0.1,0.04,0.08,0.09,0.08,0.06,0.13,0.01,0.0,0.14,0.0,0.0,100.04
09/01/2021,11.51,7.84,6.42,6.48,5.65,5.81,4.57,4.19,4.4,3.46,2.65,2.49,2.4,2.45,1.94,1.8,1.8,1.52,1.46,1.36,1.31,1.17,1.35,1.14,1.07,1.11,0.87,0.79,0.73,0.72,0.62,0.61,0.63,0.45,0.6,0.6,0.56,0.5,0.47,0.53,0.39,0.2,0.27,0.23,0.29,0.24,0.1,0.15,0.25,0.2,0.17,0.2,0.17,0.13,0.16,0.13,0.1,0.04,0.08,0.09,0.08,0.06,0.13,0.01,0.0,0.14,0.0,0.0,100.04
09/02/2021,11.49,7.82,6.4,6.44,5.6,5.8,4.55,4.23,4.4,3.45,2.65,2.5,2.4,2.45,1.96,1.8,1.77,1.52,1.47,1.36,1.31,1.19,1.36,1.14,1.08,1.12,0.87,0.78,0.73,0.73,0.64,0.6,0.63,0.47,0.6,0.6,0.57,0.5,0.47,0.53,0.39,0.2,0.27,0.23,0.28,0.24,0.1,0.15,0.25,0.2,0.17,0.2,0.17,0.13,0.16,0.14,0.1,0.04,0.08,0.08,0.08,0.06,0.13,0.01,0.0,0.18,0.0,0.0,100.02
09/03/2021,11.49,7.82,6.4,6.44,5.6,5.8,4.55,4.23,4.4,3.45,2.65,2.5,2.4,2.45,1.96,1.8,1.77,1.52,1.47,1.36,1.31,1.19,1.36,1.14,1.08,1.12,0.87,0.78,0.73,0.73,0.64,0.6,0.63,0.47,0.6,0.6,0.57,0.5,0.47,0.53,0.39,0.2,0.27,0.23,0.28,0.24,0.1,0.15,0.25,0.2,0.17,0.2,0.17,0.13,0.16,0.14,0.1,0.04,0.08,0.08,0.08,0.06,0.13,0.01,0.0,0.18,0.0,0.0,100.02
09/06/2021,11.44,7.83,6.38,6.58,5.57,5.75,4.56,4.3,4.36,3.52,2.63,2.51,2.3,2.42,1.98,1.79,1.75,1.52,1.49,1.35,1.3,1.23,1.38,1.14,1.05,1.1,0.87,0.78,0.73,0.72,0.65,0.6,0.63,0.44,0.57,0.6,0.58,0.51,0.46,0.51,0.4,0.21,0.27,0.22,0.3,0.24,0.13,0.15,0.26,0.19,0.18,0.2,0.17,0.13,0.16,0.13,0.1,0.05,0.08,0.08,0.07,0.06,0.13,0.02,0.0,0.2,0.0,0.0,100.01
09/07/2021,11.5,7.85,6.35,6.59,5.59,5.76,4.55,4.3,4.36,3.51,2.62,2.5,2.3,2.41,2.0,1.77,1.75,1.51,1.49,1.34,1.3,1.25,1.38,1.13,1.04,1.09,0.87,0.78,0.72,0.72,0.65,0.6,0.63,0.45,0.57,0.6,0.57,0.51,0.45,0.5,0.4,0.2,0.27,0.23,0.29,0.24,0.13,0.15,0.25,0.19,0.17,0.2,0.17,0.13,0.16,0.13,0.09,0.05,0.08,0.08,0.07,0.06,0.13,0.02,0.0,0.2,0.0,0.0,99.95
09/08/2021,11.5,7.85,6.35,6.59,5.59,5.76,4.55,4.3,4.36,3.51,2.62,2.5,2.3,2.41,2.0,1.77,1.75,1.51,1.49,1.34,1.3,1.25,1.38,1.13,1.04,1.09,0.87,0.78,0.72,0.72,0.65,0.6,0.63,0.45,0.57,0.6,0.57,0.51,0.45,0.5,0.4,0.2,0.27,0.23,0.29,0.24,0.13,0.15,0.25,0.19,0.17,0.2,0.17,0.13,0.16,0.13,0.09,0.05,0.08,0.08,0.07,0.06,0.13,0.02,0.0,0.2,0.0,0.0,99.95
09/09/2021,11.53,7.87,6.37,6.61,5.6,5.77,4.56,4.31,4.37,3.52,2.63,2.5,2.31,2.42,2.0,1.78,1.75,1.51,1.49,1.34,1.3,1.25,1.38,1.14,1.04,1.09,0.87,0.79,0.73,0.73,0.66,0.6,0.63,0.45,0.57,0.61,0.57,0.51,0.45,0.51,0.4,0.2,0.27,0.23,0.29,0.24,0.13,0.15,0.26,0.19,0.18,0.2,0.17,0.13,0.16,0.13,0.1,0.05,0.08,0.08,0.07,0.06,0.13,0.02,0.0,0.2,0.0,0.0,100.24
09/10/2021,11.53,7.78,6.39,6.62,5.55,5.83,4.57,4.3,4.37,3.53,2.62,2.49,2.3,2.42,1.99,1.8,1.74,1.51,1.49,1.31,1.29,1.26,1.38,1.13,1.04,1.08,0.86,0.79,0.72,0.72,0.65,0.61,0.62,0.42,0.56,0.61,0.54,0.51,0.46,0.51,0.41,0.21,0.26,0.23,0.28,0.24,0.13,0.15,0.26,0.19,0.18,0.2,0.17,0.13,0.16,0.13,0.09,0.05,0.08,0.08,0.07,0.05,0.13,0.02,0.0,0.21,0.0,0.0,100.01
09/13/2021,11.49,7.7,6.41,6.62,5.58,5.81,4.57,4.35,4.36,3.58,2.61,2.51,2.33,2.42,2.0,1.79,1.74,1.5,1.5,1.32,1.29,1.26,1.36,1.14,1.06,1.08,0.86,0.79,0.72,0.71,0.64,0.59,0.62,0.45,0.57,0.59,0.53,0.5,0.45,0.51,0.38,0.2,0.26,0.23,0.28,0.24,0.09,0.15,0.25,0.19,0.17,0.2,0.17,0.13,0.15,0.13,0.09,0.05,0.08,0.07,0.07,0.06,0.13,0.02,0.0,0.27,0.0,0.0,99.96999999999998
09/14/2021,11.53,7.75,6.43,6.64,5.6,5.81,4.56,4.35,4.36,3.63,2.59,2.5,2.32,2.42,2.0,1.77,1.73,1.48,1.5,1.31,1.29,1.25,1.34,1.14,1.05,1.09,0.86,0.78,0.71,0.71,0.65,0.58,0.61,0.45,0.56,0.58,0.53,0.5,0.45,0.51,0.38,0.2,0.26,0.23,0.29,0.23,0.09,0.15,0.26,0.19,0.17,0.2,0.17,0.13,0.15,0.13,0.09,0.05,0.08,0.07,0.07,0.06,0.13,0.02,0.0,0.27,0.0,0.0,99.99
09/16/2021,11.59,7.73,6.46,6.65,5.61,5.83,4.58,4.3,4.35,3.66,2.59,2.5,2.35,2.43,1.96,1.76,1.74,1.48,1.48,1.29,1.29,1.27,1.33,1.13,1.04,1.09,0.86,0.79,0.71,0.7,0.65,0.59,0.61,0.42,0.56,0.58,0.52,0.49,0.46,0.51,0.38,0.19,0.26,0.23,0.28,0.24,0.09,0.15,0.26,0.19,0.17,0.19,0.16,0.13,0.16,0.13,0.09,0.05,0.07,0.08,0.07,0.06,0.13,0.02,0.0,0.27,0.0,0.0,99.99
09/17/2021,11.61,7.77,6.44,6.65,5.63,5.82,4.56,4.38,4.33,3.69,2.59,2.49,2.34,2.43,1.94,1.76,1.73,1.48,1.48,1.28,1.29,1.26,1.32,1.13,0.98,1.1,0.86,0.79,0.71,0.7,0.65,0.6,0.61,0.41,0.56,0.57,0.52,0.49,0.46,0.51,0.37,0.19,0.27,0.23,0.28,0.24,0.09,0.15,0.26,0.19,0.18,0.2,0.17,0.13,0.15,0.13,0.1,0.05,0.08,0.08,0.07,0.06,0.14,0.02,0.0,0.25,0.0,0.0,100.0
09/20/2021,11.55,7.71,6.56,6.61,5.58,5.79,4.55,4.5,4.34,3.7,2.59,2.46,2.32,2.44,1.98,1.76,1.75,1.49,1.45,1.27,1.28,1.29,1.35,1.12,0.97,1.1,0.87,0.78,0.7,0.69,0.66,0.59,0.6,0.41,0.55,0.57,0.51,0.49,0.46,0.52,0.36,0.19,0.27,0.23,0.28,0.24,0.17,0.15,0.26,0.18,0.18,0.19,0.16,0.13,0.15,0.13,0.1,0.05,0.08,0.08,0.07,0.05,0.14,0.02,0.0,0.27,0.0,0.0,100.04
09/21/2021,11.39,7.79,6.47,6.62,4.49,5.74,5.61,4.55,4.45,3.58,2.59,2.46,2.31,2.41,1.98,1.6,1.77,1.5,1.41,1.27,1.25,1.36,1.3,1.05,0.98,1.1,0.88,0.74,0.69,0.7,0.68,0.58,0.61,0.42,0.53,0.55,0.52,0.49,0.45,0.51,0.36,0.42,0.27,0.23,0.32,0.23,0.16,0.14,0.37,0.19,0.17,0.19,0.16,0.13,0.15,0.14,0.09,0.05,0.08,0.08,0.07,0.05,0.14,0.02,0.0,0.22,0.11,0.09,100.01
09/22/2021,11.39,7.79,6.47,6.62,4.49,5.74,5.61,4.55,4.45,3.58,2.59,2.46,2.31,2.41,1.98,1.6,1.77,1.5,1.41,1.27,1.25,1.36,1.3,1.05,0.98,1.1,0.88,0.74,0.69,0.7,0.68,0.58,0.61,0.42,0.53,0.55,0.52,0.49,0.45,0.51,0.36,0.42,0.27,0.23,0.32,0.23,0.16,0.14,0.37,0.19,0.17,0.19,0.16,0.13,0.15,0.14,0.09,0.05,0.08,0.08,0.07,0.05,0.14,0.02,0.0,0.22,0.11,0.09,100.01
