,MC.PA,SAN.PA,TTE.PA,OR.PA,SU.PA,AI.PA,AIR.PA,BNP.PA,KER.PA,DG.PA,EL.PA,CS.PA,SAF.PA,RI.PA,RMS.PA,BN.PA,DSYA.,SGO.PA,CAP.PA,LR.PA,ML.PA,VIV.PA,TEP.PA,STM.PA,WLN.PA,GLE.PA,ENGI.PA,ORA.PA,ACA.PA,VIE.PA,EDEN.PA,PUB.PA,ERF.PA,ALO.PA,DIM.PA,CA.PA,HO.PA,BVI.PA,ENX.PA,SEV.PA,AKE.PA,SW.PA,GFC.PA,EN.PA,FGR.PA,GET.PA,RNO.PA,FR.PA,AC.PA,UBI.PA,EDF.PA,RXL.PA,ORP.PA,ATO.PA,EO.PA,BOL.PA,SK.PA,FDJ.PA,AMUN.PA,RCO.PA,LI.PA,SOI.PA,BIM.PA,SCR.PA,COV.PA,RUI.PA,KN.PA,FTI,ADP.PA,RF.PA,MF.PA,IPN.PA,—,ICAD.PA,AM.PA,CNP.PA,DEC.PA,ILD.PA,NK.PA,TE.PA,CO.PA,POM.PA,NEOEN.PA,ALD,ALD.PA,NEOEN,DSY.PA,SUM
08/03/2021,10.51,5.79,5.6,5.71,4.53,4.16,3.98,3.47,3.43,2.75,2.8,2.6,2.42,2.41,2.45,2.25,1.89,1.71,1.75,1.53,1.49,1.31,1.28,1.37,1.2,1.19,1.19,1.1,0.86,0.88,0.74,0.74,0.74,0.65,0.69,0.58,0.56,0.49,0.45,0.46,0.44,0.39,0.43,0.43,0.4,0.38,0.38,0.36,0.34,0.32,0.33,0.33,0.33,0.24,0.27,0.29,0.25,0.25,0.27,0.28,0.24,0.26,0.25,0.24,0.25,0.2,0.0,0.18,0.18,0.22,0.2,0.19,0.12,0.15,0.13,0.13,0.11,0.1,0.1,0.09,0.08,0.09,0.06,0.06,0.0,0.0,0.0,100.05
08/04/2021,10.37,5.83,5.49,5.73,4.62,4.2,3.97,3.44,3.41,2.72,2.9,2.6,2.37,2.39,2.45,2.3,1.91,1.76,1.76,1.57,1.49,1.31,1.27,1.35,1.18,1.18,1.15,1.11,0.85,0.88,0.74,0.73,0.75,0.64,0.71,0.56,0.55,0.49,0.47,0.46,0.44,0.39,0.43,0.43,0.39,0.38,0.36,0.36,0.34,0.31,0.32,0.33,0.33,0.24,0.28,0.29,0.26,0.24,0.27,0.28,0.23,0.26,0.26,0.23,0.25,0.2,0.0,0.17,0.18,0.22,0.2,0.19,0.13,0.15,0.12,0.13,0.1,0.17,0.1,0.09,0.08,0.09,0.0,0.0,0.06,0.06,0.0,100.0
08/05/2021,10.48,5.77,5.44,5.78,4.6,4.12,3.97,3.37,3.47,2.71,2.96,2.68,2.37,2.37,2.47,2.33,1.91,1.75,1.77,1.55,1.49,1.3,1.27,1.35,1.19,1.18,1.15,1.11,0.84,0.88,0.75,0.73,0.75,0.63,0.71,0.57,0.54,0.48,0.46,0.46,0.44,0.39,0.43,0.43,0.39,0.38,0.37,0.36,0.33,0.31,0.33,0.33,0.32,0.24,0.27,0.28,0.25,0.24,0.28,0.28,0.23,0.27,0.26,0.22,0.25,0.19,0.0,0.17,0.18,0.22,0.2,0.19,0.13,0.15,0.12,0.13,0.1,0.17,0.09,0.08,0.08,0.09,0.0,0.0,0.06,0.06,0.0,100.0
08/06/2021,10.57,5.72,5.57,5.77,4.64,4.11,3.89,3.39,3.46,2.69,2.98,2.7,2.32,2.35,2.49,2.33,1.91,1.78,1.79,1.55,1.48,1.31,1.26,1.35,1.16,1.25,1.16,1.11,0.84,0.87,0.73,0.73,0.75,0.62,0.7,0.58,0.53,0.49,0.45,0.45,0.44,0.38,0.42,0.42,0.39,0.37,0.36,0.35,0.32,0.29,0.33,0.33,0.32,0.23,0.27,0.28,0.25,0.24,0.28,0.28,0.23,0.26,0.25,0.22,0.24,0.19,0.0,0.17,0.17,0.22,0.2,0.19,0.13,0.15,0.12,0.13,0.1,0.16,0.09,0.08,0.08,0.09,0.0,0.0,0.06,0.05,0.0,99.95999999999998
08/11/2021,10.45,5.63,5.53,5.77,4.68,4.1,3.91,3.51,3.44,2.68,2.94,2.74,2.35,2.34,2.48,2.26,1.92,1.82,1.78,1.54,1.5,1.32,1.25,1.37,1.16,1.28,1.16,1.1,0.86,0.85,0.73,0.73,0.82,0.63,0.69,0.57,0.53,0.49,0.45,0.45,0.44,0.38,0.42,0.43,0.39,0.38,0.38,0.37,0.32,0.29,0.33,0.32,0.31,0.25,0.27,0.29,0.24,0.23,0.28,0.27,0.24,0.26,0.25,0.22,0.25,0.19,0.0,0.16,0.18,0.23,0.2,0.19,0.13,0.15,0.12,0.13,0.1,0.16,0.09,0.09,0.08,0.09,0.0,0.0,0.06,0.05,0.0,100.02
08/13/2021,10.51,5.65,5.48,5.76,4.73,4.13,3.85,3.51,3.47,2.65,2.89,2.76,2.29,2.34,2.47,2.29,1.93,1.83,1.79,1.54,1.49,1.33,1.25,1.39,1.14,1.28,1.16,1.1,0.86,0.85,0.72,0.73,0.83,0.64,0.7,0.58,0.53,0.48,0.46,0.45,0.44,0.38,0.42,0.42,0.38,0.38,0.37,0.37,0.31,0.29,0.34,0.33,0.31,0.26,0.26,0.29,0.24,0.23,0.28,0.27,0.23,0.25,0.26,0.23,0.24,0.19,0.0,0.17,0.17,0.23,0.2,0.19,0.13,0.15,0.12,0.13,0.1,0.16,0.1,0.08,0.08,0.09,0.0,0.0,0.06,0.06,0.0,100.03000000000002
08/16/2021,10.59,5.66,5.54,5.79,4.78,4.1,3.82,3.5,3.45,2.69,2.88,2.78,2.28,2.3,2.46,2.29,1.92,1.82,1.78,1.55,1.49,1.34,1.25,1.38,1.11,1.27,1.17,1.09,0.85,0.85,0.72,0.73,0.82,0.63,0.69,0.59,0.52,0.48,0.46,0.44,0.44,0.38,0.41,0.43,0.39,0.38,0.37,0.37,0.31,0.29,0.33,0.33,0.3,0.25,0.26,0.29,0.24,0.23,0.28,0.26,0.23,0.25,0.25,0.23,0.24,0.19,0.0,0.16,0.17,0.23,0.2,0.19,0.13,0.15,0.12,0.13,0.1,0.16,0.09,0.08,0.08,0.09,0.0,0.0,0.06,0.06,0.0,99.99
08/18/2021,10.54,5.66,5.52,5.77,4.82,4.11,3.82,3.5,3.44,2.69,2.9,2.8,2.27,2.31,2.47,2.31,1.9,1.82,1.78,1.55,1.5,1.35,1.25,1.38,1.1,1.27,1.18,1.1,0.86,0.86,0.71,0.73,0.82,0.62,0.68,0.59,0.52,0.47,0.46,0.44,0.44,0.38,0.42,0.44,0.39,0.38,0.37,0.37,0.31,0.29,0.33,0.33,0.3,0.25,0.27,0.29,0.24,0.23,0.28,0.26,0.23,0.25,0.25,0.23,0.24,0.19,0.0,0.16,0.17,0.23,0.2,0.17,0.13,0.14,0.11,0.13,0.1,0.16,0.09,0.08,0.08,0.09,0.0,0.0,0.06,0.06,0.0,99.99
08/19/2021,10.39,5.74,5.49,5.75,4.86,4.14,3.82,3.49,3.3,2.7,2.88,2.81,2.25,2.32,2.45,2.34,1.9,1.83,1.79,1.57,1.51,1.37,1.26,1.39,1.1,1.26,1.19,1.1,0.85,0.87,0.71,0.74,0.84,0.64,0.69,0.6,0.52,0.48,0.46,0.45,0.44,0.37,0.42,0.44,0.38,0.38,0.36,0.37,0.31,0.29,0.34,0.33,0.31,0.25,0.31,0.29,0.24,0.23,0.28,0.26,0.23,0.25,0.26,0.23,0.25,0.19,0.0,0.16,0.17,0.23,0.2,0.17,0.13,0.14,0.11,0.13,0.1,0.16,0.09,0.08,0.08,0.09,0.0,0.0,0.06,0.06,0.0,100.02
08/20/2021,10.34,5.83,5.51,5.78,4.91,4.16,3.8,3.44,3.27,2.68,2.9,2.79,2.23,2.31,2.46,2.34,1.91,1.82,1.79,1.57,1.51,1.38,1.27,1.37,1.09,1.23,1.19,1.11,0.84,0.87,0.71,0.73,0.85,0.64,0.71,0.6,0.52,0.48,0.47,0.45,0.44,0.37,0.42,0.44,0.38,0.38,0.36,0.36,0.31,0.29,0.34,0.32,0.31,0.25,0.3,0.29,0.24,0.23,0.28,0.26,0.23,0.25,0.26,0.24,0.24,0.19,0.0,0.16,0.17,0.23,0.2,0.18,0.13,0.14,0.11,0.13,0.1,0.16,0.09,0.08,0.08,0.09,0.0,0.0,0.06,0.05,0.0,100.0
08/23/2021,9.44,6.05,5.44,5.78,5.02,4.34,3.78,3.47,2.94,2.76,2.91,2.84,2.24,2.29,2.32,2.37,1.97,1.82,1.84,1.6,1.53,1.43,1.31,1.4,1.13,1.23,1.25,1.15,0.85,0.91,0.73,0.73,0.88,0.67,0.73,0.62,0.52,0.49,0.5,0.46,0.44,0.38,0.42,0.46,0.39,0.39,0.36,0.36,0.32,0.3,0.36,0.32,0.31,0.25,0.31,0.3,0.25,0.23,0.28,0.25,0.23,0.25,0.27,0.25,0.25,0.19,0.0,0.15,0.18,0.23,0.2,0.18,0.13,0.15,0.11,0.13,0.1,0.17,0.09,0.08,0.08,0.09,0.0,0.0,0.06,0.06,0.0,100.05
08/25/2021,9.52,6.07,5.45,5.81,4.97,4.33,3.79,3.47,2.94,2.74,2.92,2.84,2.24,2.26,2.34,2.35,0.0,1.81,1.83,1.6,1.52,1.44,1.31,1.42,1.11,1.23,1.26,1.16,0.85,0.91,0.73,0.73,0.89,0.65,0.75,0.62,0.52,0.48,0.5,0.46,0.43,0.37,0.42,0.46,0.39,0.39,0.35,0.35,0.32,0.3,0.36,0.32,0.32,0.25,0.3,0.3,0.25,0.23,0.28,0.25,0.23,0.25,0.27,0.25,0.25,0.19,0.0,0.15,0.17,0.23,0.2,0.18,0.13,0.15,0.11,0.13,0.1,0.17,0.09,0.08,0.09,0.09,0.0,0.0,0.06,0.06,1.97,100.06000000000002
08/26/2021,9.7,5.95,5.49,5.81,4.93,4.28,3.8,3.48,3.0,2.74,2.93,2.84,2.21,2.27,2.39,2.33,0.0,1.82,1.82,1.58,1.51,1.43,1.31,1.41,1.12,1.24,1.25,1.15,0.85,0.9,0.72,0.73,0.88,0.65,0.75,0.61,0.51,0.48,0.49,0.45,0.43,0.37,0.42,0.46,0.39,0.38,0.35,0.35,0.32,0.3,0.36,0.32,0.32,0.25,0.3,0.3,0.24,0.23,0.27,0.25,0.23,0.26,0.27,0.25,0.24,0.19,0.0,0.15,0.17,0.23,0.2,0.18,0.13,0.14,0.11,0.13,0.1,0.16,0.09,0.08,0.08,0.09,0.0,0.0,0.06,0.06,1.97,99.99
08/27/2021,9.53,5.89,5.52,5.79,4.94,4.27,3.87,3.52,3.0,2.74,2.92,2.85,2.24,2.26,2.36,2.32,0.0,1.8,1.83,1.59,1.49,1.43,1.31,1.42,1.12,1.25,1.26,1.15,0.86,0.91,0.73,0.74,0.88,0.66,0.76,0.61,0.52,0.48,0.49,0.46,0.43,0.38,0.41,0.46,0.39,0.39,0.35,0.36,0.33,0.31,0.36,0.32,0.32,0.25,0.3,0.3,0.25,0.23,0.28,0.25,0.23,0.26,0.27,0.25,0.24,0.19,0.0,0.15,0.18,0.23,0.2,0.18,0.13,0.14,0.11,0.13,0.1,0.17,0.09,0.08,0.08,0.09,0.0,0.0,0.06,0.06,1.98,100.04
08/30/2021,9.48,5.88,5.54,5.8,4.92,4.27,3.92,3.55,3.01,2.75,2.91,2.83,2.28,2.26,2.34,2.28,0.0,1.82,1.83,1.59,1.49,1.47,1.32,1.42,1.11,1.26,1.22,1.14,0.87,0.9,0.72,0.76,0.88,0.66,0.74,0.6,0.52,0.49,0.49,0.46,0.44,0.37,0.41,0.47,0.4,0.39,0.35,0.35,0.32,0.31,0.36,0.32,0.32,0.25,0.3,0.31,0.24,0.23,0.28,0.25,0.23,0.26,0.27,0.25,0.24,0.19,0.0,0.16,0.17,0.23,0.2,0.17,0.13,0.14,0.11,0.13,0.1,0.16,0.09,0.08,0.08,0.09,0.0,0.0,0.06,0.06,1.97,100.02
09/01/2021,9.49,5.85,5.59,5.78,4.92,4.27,3.91,3.53,2.99,2.74,2.92,2.83,2.27,2.26,2.34,2.28,0.0,1.81,1.83,1.59,1.49,1.48,1.32,1.44,1.11,1.26,1.22,1.13,0.86,0.9,0.72,0.76,0.88,0.66,0.75,0.6,0.53,0.49,0.49,0.45,0.44,0.37,0.42,0.46,0.4,0.38,0.35,0.35,0.32,0.31,0.36,0.32,0.32,0.25,0.3,0.31,0.24,0.23,0.28,0.25,0.24,0.26,0.27,0.25,0.25,0.19,0.0,0.16,0.17,0.23,0.2,0.17,0.12,0.14,0.11,0.13,0.1,0.16,0.1,0.08,0.08,0.09,0.0,0.0,0.06,0.06,1.98,100.0
09/02/2021,9.5,5.84,5.58,5.83,4.93,4.3,3.9,3.5,2.99,2.72,2.92,2.81,2.26,2.26,2.34,2.27,0.0,1.79,1.82,1.59,1.49,1.5,1.33,1.46,1.11,1.24,1.22,1.13,0.86,0.9,0.72,0.76,0.89,0.66,0.76,0.6,0.52,0.49,0.49,0.45,0.44,0.37,0.42,0.46,0.4,0.38,0.35,0.35,0.32,0.31,0.36,0.33,0.33,0.25,0.3,0.31,0.24,0.23,0.28,0.25,0.23,0.27,0.27,0.24,0.25,0.19,0.0,0.16,0.17,0.23,0.2,0.18,0.12,0.14,0.11,0.13,0.11,0.16,0.1,0.08,0.08,0.09,0.0,0.0,0.06,0.06,1.98,100.02
09/03/2021,9.54,5.81,5.53,5.82,4.89,4.3,3.93,3.55,3.01,2.74,2.99,2.79,2.26,2.26,2.34,2.27,0.0,1.77,1.82,1.58,1.47,1.47,1.32,1.46,1.12,1.26,1.23,1.13,0.87,0.91,0.72,0.76,0.89,0.65,0.75,0.6,0.52,0.49,0.49,0.45,0.46,0.37,0.42,0.46,0.4,0.38,0.35,0.35,0.32,0.31,0.36,0.33,0.32,0.25,0.3,0.3,0.24,0.23,0.28,0.25,0.23,0.26,0.27,0.25,0.25,0.19,0.0,0.16,0.17,0.23,0.2,0.18,0.13,0.14,0.11,0.13,0.1,0.16,0.09,0.08,0.08,0.08,0.0,0.0,0.06,0.06,1.96,100.01
09/06/2021,9.72,5.78,5.49,5.8,4.93,4.24,3.92,3.57,3.07,2.77,3.0,2.75,2.24,2.34,2.36,2.21,0.0,1.76,1.81,1.57,1.46,1.47,1.32,1.45,1.1,1.26,1.21,1.11,0.87,0.92,0.71,0.77,0.9,0.62,0.76,0.56,0.52,0.48,0.5,0.45,0.45,0.37,0.41,0.46,0.41,0.38,0.34,0.34,0.32,0.32,0.34,0.32,0.32,0.26,0.28,0.31,0.24,0.24,0.28,0.25,0.23,0.26,0.28,0.24,0.24,0.19,0.0,0.16,0.17,0.23,0.2,0.18,0.12,0.14,0.11,0.13,0.11,0.16,0.1,0.08,0.08,0.08,0.0,0.0,0.06,0.06,1.97,99.99000000000001
