,QNBK.QA,IQCD.QA,QIBK.QA,MARK.QA,CBQK.QA,QEWS.QA,QFLS.QA,MPHC.QA,QGTS.QA,QIIK.QA,ORDS.QA,BRES.QA,DHBK.QA,QAMC.QA,QNNS.QA,QATI.QA,VFQS.QA,UDCD.QA,ERES.QA,MERS.QA,GWCS.QA,MCGS.QA,GISS.QA,AHCS.QA,QFBQ.QA,SIIS.QA,QNCD.QA,BLDN.QA,MRDS.QA,QIMD.QA,MCCS.QA,QIGD,XTSLA,QAR,HBCFT,MESU1,QIGD.QA,MESZ1,USD,SUM
08/04/2021,23.13,8.67,7.89,6.19,4.58,3.78,3.75,3.6,3.41,3.22,2.87,2.91,2.58,2.32,2.33,2.01,1.72,1.59,1.47,1.41,1.21,1.1,1.05,1.06,0.98,0.95,0.88,0.84,0.74,0.76,0.52,0.41,0.07,0.03,0.0,0.0,0.0,0.0,0.0,100.03
08/05/2021,23.13,8.67,7.89,6.19,4.58,3.78,3.75,3.6,3.41,3.22,2.87,2.91,2.58,2.32,2.33,2.01,1.72,1.59,1.47,1.41,1.21,1.1,1.05,1.06,0.98,0.95,0.88,0.84,0.74,0.76,0.52,0.41,0.07,0.03,0.0,0.0,0.0,0.0,0.0,100.03
08/06/2021,22.81,8.58,7.85,6.32,4.55,3.84,3.69,3.66,3.38,3.25,2.85,2.89,2.44,2.59,2.31,1.94,1.73,1.63,1.5,1.41,1.19,1.1,1.06,1.08,1.0,1.01,0.87,0.9,0.78,0.77,0.52,0.43,0.07,0.03,0.0,0.0,0.0,0.0,0.0,100.03
08/10/2021,22.91,8.54,7.8,6.28,4.61,3.86,3.66,3.69,3.35,3.26,2.81,2.9,2.42,2.59,2.29,1.94,1.74,1.61,1.55,1.4,1.18,1.09,1.05,1.1,1.01,1.05,0.86,0.91,0.78,0.75,0.53,0.44,0.07,0.03,0.0,0.0,0.0,0.0,0.0,100.06
08/11/2021,22.91,8.54,7.8,6.28,4.61,3.86,3.66,3.69,3.35,3.26,2.81,2.9,2.42,2.59,2.29,1.94,1.74,1.61,1.55,1.4,1.18,1.09,1.05,1.1,1.01,1.05,0.86,0.91,0.78,0.75,0.53,0.44,0.07,0.03,0.0,0.0,0.0,0.0,0.0,100.06
08/19/2021,23.59,8.44,7.77,6.15,4.63,3.82,3.66,3.64,3.32,3.22,2.77,2.88,2.45,2.5,2.29,1.94,1.71,1.61,1.49,1.37,1.15,1.09,1.14,1.08,1.0,1.03,0.85,0.9,0.75,0.76,0.54,0.44,0.02,0.03,0.0,0.0,0.0,0.0,0.0,100.03
08/20/2021,23.77,8.41,7.77,6.14,4.62,3.81,3.67,3.64,3.35,3.23,2.78,2.86,2.43,2.48,2.27,1.94,1.7,1.6,1.48,1.37,1.14,1.07,1.12,1.1,0.99,1.0,0.85,0.91,0.74,0.75,0.54,0.44,0.01,0.03,0.0,0.0,0.0,0.0,0.0,100.01
08/23/2021,23.72,8.27,8.03,6.25,4.78,3.77,3.67,3.55,3.31,3.23,2.76,2.85,2.42,2.45,2.26,1.93,1.7,1.62,1.46,1.36,1.15,1.07,1.1,1.08,0.97,1.01,0.85,0.89,0.73,0.75,0.53,0.44,0.01,0.03,0.0,0.0,0.0,0.0,0.0,100.0
08/24/2021,23.72,8.27,8.03,6.25,4.78,3.77,3.67,3.55,3.31,3.23,2.76,2.85,2.42,2.45,2.26,1.93,1.7,1.62,1.46,1.36,1.15,1.07,1.1,1.08,0.97,1.01,0.85,0.89,0.73,0.75,0.53,0.44,0.01,0.03,0.0,0.0,0.0,0.0,0.0,100.0
08/25/2021,23.72,8.27,8.03,6.25,4.78,3.77,3.67,3.55,3.31,3.23,2.76,2.85,2.42,2.45,2.26,1.93,1.7,1.62,1.46,1.36,1.15,1.07,1.1,1.08,0.97,1.01,0.85,0.89,0.73,0.75,0.53,0.44,0.01,0.03,0.0,0.0,0.0,0.0,0.0,100.0
08/30/2021,23.6,8.12,8.2,6.35,4.92,3.72,3.63,3.63,3.38,3.29,2.76,2.85,2.35,2.41,2.27,1.94,1.68,1.61,1.44,1.37,1.16,1.06,1.07,1.07,0.98,0.97,0.85,0.89,0.72,0.74,0.53,0.45,0.07,0.03,0.0,0.0,0.0,0.0,0.0,100.11
08/31/2021,23.6,8.12,8.2,6.35,4.92,3.72,3.63,3.63,3.38,3.29,2.76,2.85,2.35,2.41,2.27,1.94,1.68,1.61,1.44,1.37,1.16,1.06,1.07,1.07,0.98,0.97,0.85,0.89,0.72,0.74,0.53,0.45,0.02,0.03,0.0,0.0,0.0,0.0,0.0,100.06
09/01/2021,23.6,8.12,8.2,6.35,4.92,3.72,3.63,3.63,3.38,3.29,2.76,2.85,2.35,2.41,2.27,1.94,1.68,1.61,1.44,1.37,1.16,1.06,1.07,1.07,0.98,0.97,0.85,0.89,0.72,0.74,0.53,0.45,0.02,0.03,0.0,0.0,0.0,0.0,0.0,100.06
09/02/2021,23.55,8.24,8.13,6.34,4.87,3.71,3.63,3.63,3.37,3.27,2.75,2.85,2.39,2.43,2.24,1.92,1.68,1.62,1.46,1.36,1.16,1.05,1.07,1.07,0.98,1.0,0.85,0.9,0.74,0.74,0.54,0.45,0.02,0.03,0.0,0.0,0.0,0.0,0.0,100.04
09/10/2021,22.23,8.06,8.13,6.28,4.59,3.74,3.94,3.92,3.48,3.31,2.74,2.86,2.38,2.5,2.26,1.99,1.7,1.61,1.46,1.35,1.15,1.05,1.07,1.14,1.01,0.99,1.03,1.0,0.73,0.76,0.55,0.0,0.23,0.03,0.01,0.0,0.77,0.0,0.0,100.05
09/13/2021,22.22,8.16,8.1,6.21,4.59,3.7,3.93,3.92,3.46,3.3,2.74,2.84,2.39,2.6,2.25,1.99,1.71,1.61,1.45,1.35,1.15,1.03,1.09,1.14,1.0,1.0,1.04,1.0,0.73,0.76,0.55,0.0,0.23,0.03,0.01,0.0,0.76,0.0,0.0,100.04000000000002
09/14/2021,22.22,8.16,8.1,6.21,4.59,3.7,3.93,3.92,3.46,3.3,2.74,2.85,2.39,2.6,2.25,1.99,1.71,1.61,1.45,1.35,1.15,1.03,1.09,1.14,1.0,1.0,1.04,1.0,0.73,0.76,0.55,0.0,0.22,0.03,0.01,0.0,0.76,0.0,0.0,100.04
09/15/2021,22.22,8.16,8.1,6.21,4.59,3.7,3.93,3.92,3.46,3.3,2.74,2.85,2.39,2.6,2.25,1.99,1.71,1.61,1.45,1.35,1.15,1.03,1.09,1.14,1.0,1.0,1.04,1.0,0.73,0.76,0.55,0.0,0.22,0.03,0.01,0.0,0.76,0.0,0.0,100.04
09/16/2021,22.23,8.2,8.04,6.22,4.54,3.71,3.92,3.98,3.46,3.28,2.74,2.84,2.36,2.63,2.26,2.0,1.7,1.63,1.48,1.36,1.15,1.04,1.12,1.14,0.97,1.01,1.02,1.0,0.73,0.76,0.53,0.0,0.22,0.03,0.01,0.0,0.76,0.0,0.0,100.07
09/17/2021,22.14,8.25,8.03,6.18,4.54,3.68,3.91,4.12,3.48,3.28,2.72,2.83,2.35,2.72,2.22,1.98,1.69,1.63,1.47,1.35,1.14,1.01,1.12,1.14,0.96,1.0,1.02,1.0,0.73,0.76,0.55,0.0,0.13,0.03,0.01,0.0,0.77,0.0,0.03,99.97
09/20/2021,22.33,8.33,7.99,6.11,4.54,3.63,3.89,4.31,3.46,3.29,2.71,2.85,2.32,2.68,2.19,1.96,1.66,1.59,1.45,1.34,1.13,1.0,1.12,1.14,0.98,0.99,1.02,1.02,0.72,0.75,0.54,0.0,0.17,0.03,0.01,0.0,0.76,0.0,0.0,100.01
09/21/2021,22.33,8.33,7.99,6.11,4.54,3.63,3.89,4.31,3.46,3.29,2.71,2.85,2.32,2.68,2.19,1.96,1.66,1.59,1.45,1.34,1.13,1.0,1.12,1.14,0.98,0.99,1.02,1.02,0.72,0.75,0.54,0.0,0.17,0.03,0.01,0.0,0.76,0.0,0.0,100.01
09/22/2021,22.33,8.33,7.99,6.11,4.54,3.63,3.89,4.31,3.46,3.29,2.71,2.85,2.32,2.68,2.19,1.96,1.66,1.59,1.45,1.34,1.13,1.0,1.12,1.14,0.98,0.99,1.02,1.02,0.72,0.75,0.54,0.0,0.17,0.03,0.01,0.0,0.76,0.0,0.0,100.01
09/23/2021,22.02,8.39,7.92,6.12,4.51,3.67,3.9,4.57,3.44,3.27,2.74,2.85,2.33,2.66,2.21,1.96,1.67,1.6,1.45,1.35,1.14,1.01,1.09,1.15,1.01,0.99,1.02,1.01,0.72,0.77,0.54,0.0,0.17,0.03,0.01,0.0,0.76,0.0,0.0,100.05
09/24/2021,22.01,8.46,7.93,6.15,4.51,3.66,3.89,4.48,3.44,3.28,2.75,2.84,2.33,2.66,2.21,1.96,1.68,1.6,1.44,1.35,1.14,1.01,1.1,1.15,0.99,0.99,1.02,1.0,0.72,0.77,0.55,0.0,0.17,0.03,0.01,0.0,0.76,0.0,0.0,100.04
09/27/2021,22.04,8.75,7.88,6.1,4.5,3.66,3.88,4.34,3.45,3.27,2.76,2.82,2.33,2.76,2.2,1.93,1.67,1.59,1.43,1.34,1.14,1.01,1.08,1.17,0.98,0.97,1.01,1.0,0.71,0.77,0.53,0.0,0.17,0.03,0.01,0.0,0.76,0.0,0.0,100.04
09/28/2021,22.04,8.75,7.88,6.1,4.5,3.66,3.88,4.34,3.45,3.27,2.76,2.82,2.33,2.76,2.2,1.93,1.67,1.59,1.43,1.34,1.14,1.01,1.08,1.17,0.98,0.97,1.01,1.0,0.71,0.77,0.53,0.0,0.17,0.03,0.01,0.0,0.76,0.0,0.0,100.04
09/30/2021,21.81,8.9,7.9,6.06,4.51,3.69,3.84,4.42,3.45,3.24,2.78,2.81,2.32,2.82,2.18,1.92,1.69,1.59,1.43,1.33,1.13,1.0,1.1,1.16,0.98,0.97,1.01,0.99,0.71,0.77,0.54,0.0,0.17,0.03,0.01,0.0,0.76,0.0,0.0,100.02
10/01/2021,21.71,9.17,7.88,6.04,4.51,3.7,3.85,4.38,3.42,3.23,2.77,2.8,2.33,2.83,2.17,1.91,1.68,1.59,1.43,1.33,1.12,1.01,1.12,1.15,0.97,0.98,1.0,0.98,0.71,0.77,0.54,0.0,0.17,0.03,0.01,0.0,0.75,0.0,0.0,100.04000000000002
10/20/2021,22.04,9.38,7.64,6.05,4.39,3.56,3.74,4.54,3.4,3.13,2.7,2.78,2.36,2.99,2.16,1.92,1.67,1.56,1.43,1.27,1.1,0.99,1.17,1.12,0.94,0.97,1.0,0.97,0.73,0.77,0.6,0.0,0.12,0.03,0.01,0.0,0.75,0.0,-0.02,99.96000000000002
10/21/2021,22.09,9.36,7.67,6.11,4.41,3.55,3.76,4.57,3.38,3.13,2.69,2.76,2.4,2.89,2.15,1.89,1.67,1.57,1.42,1.27,1.09,0.98,1.18,1.13,0.93,0.98,0.99,0.96,0.72,0.77,0.64,0.0,0.12,0.03,0.01,0.0,0.74,0.0,-0.02,99.99
10/22/2021,22.24,9.3,7.63,6.09,4.4,3.56,3.77,4.57,3.38,3.13,2.67,2.75,2.38,2.93,2.14,1.89,1.66,1.58,1.4,1.27,1.09,1.0,1.23,1.12,0.93,0.97,0.99,0.95,0.71,0.77,0.65,0.0,0.12,0.03,0.01,0.0,0.74,0.0,-0.02,100.03000000000004
10/25/2021,22.13,9.46,7.61,6.29,4.38,3.52,3.73,4.46,3.53,3.12,2.65,2.75,2.36,2.85,2.14,1.88,1.65,1.59,1.36,1.27,1.07,1.01,1.28,1.14,0.93,0.94,0.99,0.94,0.69,0.76,0.65,0.0,0.13,0.03,0.0,0.0,0.72,0.0,-0.03,99.98
10/26/2021,22.13,9.46,7.61,6.29,4.38,3.52,3.73,4.46,3.53,3.12,2.65,2.75,2.36,2.85,2.14,1.88,1.65,1.59,1.36,1.27,1.07,1.01,1.28,1.14,0.93,0.94,0.99,0.94,0.69,0.76,0.65,0.0,0.13,0.03,0.0,0.0,0.72,0.0,-0.03,99.98
10/27/2021,22.13,9.46,7.61,6.29,4.38,3.52,3.73,4.46,3.53,3.12,2.65,2.75,2.36,2.85,2.14,1.88,1.65,1.59,1.36,1.27,1.07,1.01,1.28,1.14,0.93,0.94,0.99,0.94,0.69,0.76,0.65,0.0,0.13,0.03,0.0,0.0,0.72,0.0,-0.03,99.98
10/28/2021,21.98,9.46,7.59,6.23,4.46,3.53,3.75,4.44,3.59,3.12,2.66,2.75,2.38,2.89,2.15,1.9,1.64,1.59,1.37,1.26,1.07,1.0,1.26,1.18,0.92,0.95,0.99,0.94,0.68,0.78,0.64,0.0,0.13,0.03,0.0,0.0,0.72,0.0,-0.04,99.99
10/29/2021,22.08,9.33,7.63,6.17,4.47,3.53,3.77,4.42,3.53,3.12,2.68,2.76,2.35,2.88,2.17,1.91,1.63,1.58,1.38,1.27,1.09,1.0,1.29,1.2,0.92,0.95,1.0,0.95,0.69,0.78,0.63,0.0,0.13,0.03,0.0,0.0,0.72,0.0,-0.04,100.0
11/01/2021,22.57,9.33,7.71,6.25,4.37,3.52,3.79,4.48,3.48,3.15,2.56,2.74,2.31,2.74,2.16,1.86,1.62,1.55,1.36,1.26,1.05,0.99,1.24,1.19,0.93,0.94,0.99,0.94,0.68,0.78,0.63,0.0,0.12,0.03,0.0,0.0,0.71,0.0,-0.03,100.0
11/02/2021,22.57,9.34,7.71,6.25,4.37,3.52,3.79,4.48,3.48,3.15,2.56,2.74,2.31,2.74,2.16,1.86,1.62,1.55,1.36,1.26,1.05,0.99,1.24,1.19,0.93,0.94,0.99,0.94,0.68,0.78,0.63,0.0,0.12,0.03,0.0,0.0,0.71,0.0,-0.04,100.0
11/03/2021,22.57,9.34,7.71,6.25,4.37,3.52,3.79,4.48,3.48,3.15,2.56,2.74,2.31,2.74,2.16,1.86,1.62,1.55,1.36,1.26,1.05,0.99,1.24,1.19,0.93,0.94,0.99,0.94,0.68,0.78,0.63,0.0,0.12,0.03,0.0,0.0,0.71,0.0,-0.04,100.0
11/04/2021,22.56,9.37,7.67,6.25,4.55,3.56,3.75,4.35,3.47,3.13,2.59,2.72,2.3,2.74,2.18,1.87,1.62,1.53,1.36,1.25,1.05,1.0,1.26,1.22,0.93,0.94,1.0,0.91,0.68,0.78,0.62,0.0,0.12,0.03,0.0,0.0,0.68,0.0,-0.04,100.0
11/05/2021,22.65,9.25,7.65,6.3,4.53,3.53,3.74,4.36,3.48,3.13,2.57,2.74,2.27,2.78,2.17,1.88,1.61,1.53,1.36,1.24,1.03,0.98,1.31,1.25,0.93,0.93,0.99,0.91,0.69,0.76,0.63,0.0,0.12,0.03,0.0,0.0,0.68,0.0,-0.04,99.96999999999998
11/08/2021,22.72,9.3,7.51,6.46,4.52,3.52,3.74,4.34,3.5,3.1,2.53,2.74,2.29,2.73,2.15,1.86,1.61,1.58,1.37,1.22,1.02,0.98,1.34,1.26,0.91,0.94,0.99,0.91,0.69,0.76,0.62,0.0,0.12,0.03,0.0,0.0,0.69,0.0,-0.04,100.01
11/09/2021,22.72,9.3,7.51,6.46,4.52,3.52,3.74,4.34,3.5,3.1,2.53,2.74,2.29,2.73,2.15,1.86,1.61,1.58,1.37,1.22,1.02,0.98,1.34,1.26,0.91,0.94,0.99,0.91,0.69,0.76,0.62,0.0,0.12,0.03,0.0,0.0,0.69,0.0,-0.05,100.0
11/10/2021,22.72,9.3,7.51,6.46,4.52,3.52,3.74,4.34,3.5,3.1,2.53,2.74,2.29,2.73,2.15,1.86,1.61,1.58,1.37,1.22,1.02,0.98,1.34,1.26,0.91,0.94,0.99,0.91,0.69,0.76,0.62,0.0,0.12,0.03,0.0,0.0,0.69,0.0,-0.05,100.0
11/11/2021,22.8,9.15,7.53,6.41,4.53,3.52,3.76,4.29,3.48,3.1,2.53,2.77,2.35,2.82,2.13,1.86,1.61,1.59,1.37,1.22,1.05,0.98,1.31,1.24,0.92,0.94,0.99,0.9,0.68,0.75,0.62,0.0,0.12,0.03,0.0,0.0,0.68,0.0,-0.05,99.98000000000002
11/19/2021,22.76,9.24,7.54,6.3,4.66,3.51,3.75,4.26,3.49,3.1,2.56,2.75,2.46,2.82,2.1,1.86,1.64,1.57,1.37,1.21,1.02,1.0,1.3,1.21,0.92,0.92,1.0,0.89,0.67,0.75,0.61,0.0,0.08,0.03,0.0,0.0,0.68,0.0,-0.03,100.0
11/22/2021,22.81,9.2,7.55,6.28,4.65,3.51,3.76,4.26,3.47,3.08,2.56,2.74,2.46,2.85,2.11,1.85,1.65,1.56,1.35,1.21,1.03,0.99,1.29,1.21,0.93,0.92,1.0,0.89,0.67,0.76,0.62,0.0,0.08,0.03,0.0,0.0,0.7,0.0,-0.03,100.0
11/23/2021,22.81,9.2,7.55,6.28,4.65,3.51,3.76,4.26,3.47,3.08,2.56,2.74,2.46,2.85,2.11,1.85,1.65,1.56,1.35,1.21,1.03,0.99,1.29,1.21,0.93,0.92,1.0,0.89,0.67,0.76,0.62,0.0,0.08,0.03,0.0,0.0,0.7,0.0,-0.03,100.0
11/24/2021,22.83,9.16,7.5,6.32,4.67,3.51,3.77,4.26,3.5,3.08,2.57,2.75,2.45,2.84,2.11,1.84,1.65,1.56,1.35,1.22,1.02,0.99,1.29,1.2,0.92,0.92,1.0,0.89,0.67,0.76,0.61,0.0,0.08,0.03,0.0,0.0,0.7,0.0,-0.03,99.99
11/25/2021,22.72,9.06,7.59,6.28,4.73,3.54,3.8,4.19,3.54,3.1,2.59,2.76,2.44,2.82,2.14,1.87,1.65,1.55,1.34,1.25,1.03,0.99,1.26,1.2,0.92,0.9,1.01,0.89,0.67,0.77,0.61,0.0,0.08,0.03,0.0,0.0,0.7,0.0,-0.04,99.98
11/26/2021,22.76,9.13,7.6,6.2,4.76,3.55,3.77,4.16,3.54,3.1,2.6,2.75,2.43,2.83,2.15,1.86,1.64,1.55,1.35,1.24,1.04,0.99,1.27,1.2,0.93,0.91,1.0,0.9,0.68,0.76,0.62,0.0,0.07,0.03,0.0,0.0,0.69,0.0,-0.03,100.03
