,IVV,IDEV,IUSB,IEMG,IAGG,IJH,IJR,XTSLA,SGAFT,ESU1,USD,ESZ1,n/a,SUM
08/24/2021,42.43,25.64,16.82,8.24,2.99,2.61,1.18,0.1,0.01,0.0,0.0,0.0,0.0,100.02
08/25/2021,42.43,25.64,16.82,8.24,2.99,2.61,1.18,0.1,0.01,0.0,0.0,0.0,0.0,100.02
08/26/2021,42.46,25.7,16.69,8.3,2.96,2.62,1.19,0.1,0.01,0.0,0.0,0.0,0.0,100.03000000000002
08/27/2021,42.37,25.72,16.61,8.44,2.95,2.63,1.19,0.1,0.01,0.0,0.0,0.0,0.0,100.02
08/30/2021,42.38,25.69,16.65,8.41,2.95,2.63,1.19,0.1,0.01,0.0,0.0,0.0,0.0,100.01000000000002
08/31/2021,42.39,25.71,16.55,8.45,2.93,2.66,1.21,0.1,0.01,0.0,0.0,0.0,0.0,100.01
09/01/2021,42.39,25.71,16.55,8.45,2.93,2.66,1.21,0.1,0.01,0.0,0.0,0.0,0.0,100.01
09/02/2021,42.48,25.67,16.53,8.45,2.92,2.65,1.2,0.1,0.01,0.0,0.0,0.0,0.0,100.01000000000002
09/03/2021,42.43,25.65,16.52,8.56,2.92,2.64,1.2,0.1,0.01,0.0,0.0,0.0,0.0,100.03
09/06/2021,42.31,25.84,16.41,8.57,2.9,2.64,1.2,0.1,0.01,0.0,0.01,0.0,0.0,99.99000000000002
09/07/2021,42.26,25.93,16.37,8.61,2.89,2.63,1.2,0.1,0.01,0.0,0.01,0.0,0.0,100.01
09/08/2021,42.26,25.93,16.37,8.61,2.89,2.63,1.2,0.1,0.01,0.0,0.01,0.0,0.0,100.01
09/09/2021,42.26,25.94,16.37,8.61,2.89,2.63,1.2,0.1,0.01,0.0,0.01,0.0,0.0,100.02
09/10/2021,42.2,25.97,16.36,8.67,2.89,2.6,1.19,0.1,0.01,0.0,0.01,0.0,0.0,100.0
09/13/2021,42.2,25.89,16.52,8.58,2.91,2.6,1.18,0.11,0.01,0.0,0.0,0.0,0.0,100.0
09/14/2021,42.06,25.96,16.57,8.61,2.92,2.59,1.17,0.11,0.01,0.0,0.0,0.0,0.0,100.00000000000004
09/15/2021,42.06,25.96,16.57,8.61,2.92,2.59,1.17,0.11,0.01,0.0,0.0,0.0,0.0,100.00000000000004
09/16/2021,42.01,26.05,16.53,8.61,2.91,2.6,1.18,0.11,0.01,0.0,0.0,0.0,0.0,100.01
09/17/2021,41.96,26.03,16.64,8.58,2.93,2.58,1.17,0.11,0.01,0.0,0.0,0.0,0.0,100.01000000000002
09/20/2021,42.15,26.01,16.57,8.48,2.91,2.6,1.17,0.11,0.01,0.0,0.0,0.0,0.0,100.01
09/21/2021,42.08,25.9,16.68,8.51,2.94,2.6,1.18,0.11,0.01,0.0,0.0,0.0,0.0,100.01
09/22/2021,42.08,25.9,16.68,8.51,2.94,2.6,1.18,0.11,0.01,0.0,0.0,0.0,0.0,100.01
09/23/2021,41.98,25.79,16.96,8.41,2.98,2.6,1.18,0.11,0.01,0.0,0.0,0.0,0.0,100.02
09/24/2021,41.85,25.96,16.91,8.44,2.98,2.59,1.18,0.11,0.01,0.0,0.0,0.0,0.0,100.03
09/27/2021,42.11,25.99,16.59,8.48,2.92,2.62,1.2,0.11,0.01,0.0,0.0,0.0,0.0,100.03
09/28/2021,42.15,25.84,16.6,8.41,2.92,2.61,1.19,0.11,0.02,0.0,0.15,0.0,0.0,100.0
09/29/2021,42.15,25.84,16.6,8.41,2.92,2.61,1.19,0.11,0.02,0.0,0.15,0.0,0.0,100.0
09/30/2021,42.04,25.85,16.59,8.47,2.93,2.64,1.22,0.11,0.02,0.0,0.15,0.0,0.0,100.02
10/01/2021,41.91,25.69,16.8,8.5,2.97,2.64,1.22,0.1,0.02,0.0,0.16,0.0,0.0,100.00999999999998
10/04/2021,41.93,25.73,16.85,8.59,2.98,2.64,1.2,0.09,0.0,0.0,0.0,0.0,0.0,100.01
10/05/2021,41.93,25.73,16.85,8.59,2.98,2.64,1.2,0.09,0.0,0.0,0.0,0.0,0.0,100.01
10/06/2021,41.93,25.73,16.85,8.59,2.98,2.64,1.2,0.09,0.0,0.0,0.0,0.0,0.0,100.01
10/07/2021,41.93,25.73,16.85,8.59,2.98,2.64,1.2,0.09,0.0,0.0,0.0,0.0,0.0,100.01
10/08/2021,41.93,25.73,16.85,8.59,2.98,2.64,1.2,0.09,0.0,0.0,0.0,0.0,0.0,100.01
10/11/2021,41.93,25.73,16.85,8.59,2.98,2.64,1.2,0.09,0.0,0.0,0.0,0.0,0.0,100.01
10/12/2021,41.93,25.73,16.85,8.59,2.98,2.64,1.2,0.09,0.0,0.0,0.0,0.0,0.0,100.01
10/13/2021,41.93,25.73,16.85,8.59,2.98,2.64,1.2,0.09,0.0,0.0,0.0,0.0,0.0,100.01
10/19/2021,42.22,25.75,16.59,8.54,2.93,2.67,1.22,0.07,0.0,0.0,-0.01,0.0,0.0,99.98
10/20/2021,42.29,25.81,16.46,8.6,2.9,2.66,1.21,0.07,0.0,0.0,-0.01,0.0,0.0,99.99
10/21/2021,42.42,25.71,16.45,8.58,2.9,2.66,1.21,0.07,0.0,0.0,-0.01,0.0,0.0,99.99
10/22/2021,42.5,25.73,16.32,8.63,2.88,2.66,1.21,0.07,0.0,0.0,-0.01,0.0,0.0,99.99
10/25/2021,42.71,25.67,16.25,8.54,2.87,2.68,1.22,0.07,0.0,0.0,-0.01,0.0,0.0,100.0
10/26/2021,42.62,25.77,16.26,8.52,2.87,2.68,1.21,0.07,0.0,0.0,-0.01,0.0,0.0,99.99
10/27/2021,42.62,25.77,16.26,8.52,2.87,2.68,1.21,0.07,0.0,0.0,-0.01,0.0,0.0,99.99
10/28/2021,42.72,25.67,16.23,8.54,2.87,2.69,1.22,0.07,0.0,0.0,-0.01,0.0,0.0,100.0
10/29/2021,42.76,25.69,16.25,8.49,2.87,2.67,1.21,0.07,0.0,0.0,-0.01,0.0,0.0,100.0
11/01/2021,42.83,25.74,16.23,8.41,2.86,2.66,1.21,0.07,0.0,0.0,-0.01,0.0,0.0,100.0
11/02/2021,42.06,25.43,16.98,8.64,2.99,2.62,1.17,0.07,0.0,0.0,0.03,0.0,0.0,99.99
11/03/2021,42.06,25.43,16.98,8.64,2.99,2.62,1.17,0.07,0.0,0.0,0.03,0.0,0.0,99.99
11/04/2021,41.96,25.54,16.87,8.67,2.97,2.66,1.19,0.07,0.0,0.0,0.06,0.0,0.0,99.99
11/05/2021,42.11,25.44,16.89,8.59,2.98,2.67,1.19,0.11,0.01,0.0,0.01,0.0,0.0,100.0
11/08/2021,42.24,25.44,16.79,8.55,2.96,2.67,1.2,0.11,0.01,0.0,0.01,0.0,0.0,99.98000000000002
11/09/2021,42.24,25.42,16.8,8.52,2.97,2.68,1.22,0.11,0.01,0.0,0.01,0.0,0.0,99.98
11/10/2021,42.24,25.42,16.8,8.52,2.97,2.68,1.22,0.11,0.01,0.0,0.01,0.0,0.0,99.98
11/11/2021,42.25,25.41,16.76,8.59,2.96,2.68,1.22,0.13,0.01,0.0,0.0,0.0,0.0,100.01
11/12/2021,42.18,25.4,16.83,8.57,2.97,2.68,1.22,0.13,0.01,0.0,0.0,0.0,0.0,99.99
11/15/2021,42.13,25.31,16.8,8.73,2.98,2.69,1.23,0.13,0.01,0.0,0.0,0.0,0.0,100.01
11/16/2021,42.13,25.31,16.8,8.73,2.98,2.69,1.23,0.13,0.01,0.0,0.0,0.0,0.0,100.01
11/17/2021,42.22,25.35,16.71,8.71,2.97,2.69,1.22,0.13,0.01,0.0,0.0,0.0,0.0,100.01
11/18/2021,42.28,25.33,16.68,8.7,2.96,2.7,1.22,0.13,0.01,0.0,0.0,0.0,0.0,100.01
