,MC.PA,SAN.PA,TTE.PA,OR.PA,SU.PA,AI.PA,AIR.PA,BNP.PA,KER.PA,DG.PA,EL.PA,CS.PA,SAF.PA,BN.PA,RMS.PA,RI.PA,SGO.PA,DSY.PA,CAP.PA,LR.PA,ML.PA,STM.PA,ENGI.PA,TEP.PA,VIV.PA,GLE.PA,WLN.PA,ORA.PA,MT.AS,VIE.PA,ACA.PA,ERF.PA,EDEN.PA,PUB.PA,DIM.PA,ALO.PA,CA.PA,URW.AS,HO.PA,BVI.PA,FGR.PA,EN.PA,SW.PA,SEV.PA,RNO.PA,AKE.PA,GET.PA,GFC.PA,FR.PA,UBI.PA,ORP.PA,AC.PA,ATO.PA,EDF.PA,FDJ.PA,EO.PA,AMUN.PA,LI.PA,SK.PA,BOL.PA,RCO.PA,SCR.PA,COV.PA,BIM.PA,IPN.PA,ADP.PA,RF.PA,MF.PA,EUR,AM.PA,CNP.PA,ILD.PA,XTSLA,WFFUT,CFN1,EUR.1,DSYA.,CFQ1,-,CFU1,CFV1,UMG.AS,VIEDS.PA,CFX1,USD,CF10,SUM
08/03/2021,11.19,5.89,5.49,5.82,4.55,4.15,4.07,3.46,3.39,2.84,2.72,2.53,2.26,2.42,2.44,2.33,1.83,0.0,1.75,1.52,1.4,1.41,1.23,1.25,1.21,1.2,1.12,1.12,1.26,0.89,0.82,0.81,0.72,0.71,0.79,0.58,0.58,0.52,0.56,0.49,0.43,0.44,0.38,0.41,0.37,0.39,0.36,0.37,0.34,0.3,0.33,0.3,0.24,0.28,0.26,0.26,0.28,0.25,0.23,0.25,0.25,0.22,0.25,0.25,0.21,0.18,0.19,0.19,0.12,0.15,0.15,0.16,0.06,0.01,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02000000000002
08/04/2021,11.19,5.89,5.49,5.82,4.55,4.15,4.07,3.46,3.39,2.84,2.72,2.53,2.26,2.42,2.44,2.33,1.83,0.0,1.75,1.52,1.4,1.41,1.23,1.25,1.21,1.2,1.12,1.12,1.26,0.89,0.82,0.81,0.72,0.71,0.79,0.58,0.58,0.52,0.56,0.49,0.43,0.44,0.38,0.41,0.37,0.39,0.36,0.37,0.34,0.3,0.33,0.3,0.24,0.28,0.26,0.26,0.28,0.25,0.23,0.25,0.25,0.22,0.25,0.25,0.21,0.18,0.19,0.19,0.12,0.15,0.15,0.16,0.06,0.01,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02000000000002
08/05/2021,11.19,5.89,5.49,5.82,4.55,4.15,4.07,3.46,3.39,2.84,2.72,2.53,2.26,2.42,2.44,2.33,1.83,0.0,1.75,1.52,1.4,1.41,1.23,1.25,1.21,1.2,1.12,1.12,1.26,0.89,0.82,0.81,0.72,0.71,0.79,0.58,0.58,0.52,0.56,0.49,0.43,0.44,0.38,0.41,0.37,0.39,0.36,0.37,0.34,0.3,0.33,0.3,0.24,0.28,0.26,0.26,0.28,0.25,0.23,0.25,0.25,0.22,0.25,0.25,0.21,0.18,0.19,0.19,0.12,0.15,0.15,0.16,0.06,0.01,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02000000000002
08/06/2021,11.38,5.77,5.55,5.85,4.57,4.07,3.98,3.41,3.43,2.81,2.79,2.63,2.21,2.45,2.48,2.29,1.84,0.0,1.77,1.5,1.39,1.41,1.23,1.24,1.2,1.26,1.1,1.12,1.24,0.88,0.81,0.81,0.71,0.7,0.79,0.57,0.59,0.52,0.55,0.49,0.42,0.44,0.37,0.4,0.37,0.39,0.35,0.36,0.33,0.28,0.32,0.29,0.23,0.29,0.25,0.26,0.29,0.25,0.23,0.25,0.25,0.21,0.24,0.24,0.21,0.17,0.2,0.19,0.27,0.15,0.14,0.16,0.06,0.01,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.1
08/13/2021,11.32,5.7,5.46,5.83,4.66,4.08,3.94,3.53,3.44,2.77,2.71,2.68,2.18,2.4,2.45,2.27,1.89,0.0,1.77,1.49,1.4,1.44,1.24,1.23,1.22,1.29,1.08,1.11,1.27,0.86,0.83,0.88,0.7,0.71,0.79,0.58,0.59,0.54,0.54,0.48,0.42,0.44,0.37,0.39,0.38,0.39,0.36,0.36,0.34,0.27,0.31,0.28,0.26,0.3,0.25,0.25,0.29,0.25,0.22,0.25,0.24,0.22,0.24,0.24,0.2,0.17,0.2,0.19,0.24,0.15,0.15,0.16,0.07,0.02,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06999999999998
08/16/2021,11.4,5.7,5.52,5.87,4.7,4.05,3.91,3.52,3.43,2.8,2.7,2.71,2.16,2.41,2.45,2.23,1.89,0.0,1.76,1.5,1.4,1.44,1.24,1.22,1.24,1.28,1.05,1.1,1.26,0.87,0.82,0.88,0.7,0.7,0.77,0.57,0.6,0.54,0.54,0.48,0.42,0.45,0.37,0.39,0.37,0.39,0.35,0.35,0.34,0.28,0.31,0.28,0.25,0.29,0.25,0.25,0.28,0.25,0.22,0.25,0.23,0.23,0.24,0.24,0.2,0.17,0.2,0.19,0.24,0.14,0.14,0.15,0.02,0.02,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/17/2021,11.34,5.7,5.5,5.85,4.74,4.06,3.91,3.52,3.41,2.8,2.71,2.72,2.16,2.42,2.46,2.24,1.88,0.0,1.76,1.5,1.41,1.43,1.25,1.23,1.25,1.28,1.04,1.11,1.27,0.88,0.82,0.87,0.69,0.71,0.76,0.57,0.6,0.55,0.53,0.47,0.42,0.46,0.37,0.39,0.37,0.39,0.36,0.36,0.34,0.28,0.31,0.28,0.25,0.29,0.25,0.26,0.29,0.25,0.22,0.25,0.23,0.23,0.24,0.24,0.18,0.17,0.2,0.19,0.24,0.14,0.14,0.15,0.02,0.02,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/19/2021,11.19,5.79,5.47,5.82,4.79,4.09,3.91,3.51,3.27,2.81,2.7,2.73,2.13,2.46,2.43,2.25,1.89,0.0,1.77,1.51,1.42,1.45,1.26,1.24,1.26,1.27,1.04,1.11,1.25,0.88,0.82,0.89,0.69,0.71,0.77,0.58,0.61,0.54,0.54,0.48,0.42,0.46,0.37,0.39,0.37,0.39,0.35,0.36,0.34,0.27,0.31,0.28,0.25,0.3,0.25,0.29,0.29,0.25,0.22,0.25,0.23,0.23,0.24,0.25,0.18,0.17,0.2,0.19,0.24,0.14,0.14,0.15,0.03,0.02,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/20/2021,11.14,5.88,5.49,5.86,4.84,4.11,3.88,3.46,3.25,2.8,2.72,2.72,2.12,2.46,2.45,2.24,1.88,0.0,1.78,1.51,1.42,1.43,1.27,1.25,1.27,1.24,1.04,1.12,1.24,0.88,0.81,0.91,0.69,0.71,0.8,0.59,0.62,0.53,0.53,0.48,0.41,0.46,0.36,0.39,0.36,0.39,0.36,0.36,0.33,0.28,0.31,0.28,0.25,0.3,0.24,0.28,0.28,0.25,0.22,0.25,0.23,0.23,0.24,0.25,0.19,0.17,0.2,0.19,0.24,0.14,0.14,0.16,0.03,0.02,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/23/2021,10.18,6.11,5.43,5.86,4.95,4.3,3.87,3.49,2.92,2.89,2.73,2.77,2.13,2.49,2.31,2.23,1.88,0.0,1.82,1.55,1.44,1.46,1.33,1.29,1.31,1.25,1.07,1.16,1.19,0.93,0.82,0.95,0.71,0.7,0.82,0.61,0.63,0.55,0.54,0.49,0.42,0.48,0.37,0.41,0.36,0.39,0.37,0.36,0.33,0.29,0.32,0.29,0.25,0.31,0.25,0.3,0.28,0.25,0.22,0.26,0.23,0.24,0.25,0.26,0.19,0.18,0.21,0.19,0.23,0.14,0.14,0.16,0.03,0.02,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/24/2021,10.27,6.13,5.43,5.9,4.9,4.28,3.88,3.49,2.92,2.87,2.73,2.77,2.13,2.47,2.33,2.2,1.87,0.0,1.82,1.55,1.42,1.48,1.34,1.29,1.33,1.25,1.05,1.17,1.2,0.93,0.82,0.95,0.71,0.71,0.84,0.59,0.63,0.54,0.53,0.48,0.42,0.48,0.37,0.4,0.36,0.38,0.36,0.36,0.33,0.29,0.33,0.28,0.25,0.31,0.25,0.29,0.28,0.25,0.23,0.26,0.22,0.24,0.24,0.26,0.19,0.17,0.21,0.19,0.24,0.14,0.14,0.16,0.03,0.02,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/25/2021,10.27,6.13,5.43,5.9,4.9,4.28,3.88,3.49,2.92,2.87,2.73,2.77,2.13,2.47,2.33,2.2,1.87,1.89,1.82,1.55,1.42,1.48,1.34,1.29,1.33,1.25,1.05,1.17,1.2,0.93,0.82,0.95,0.71,0.71,0.84,0.59,0.63,0.54,0.53,0.48,0.42,0.48,0.37,0.4,0.36,0.38,0.36,0.36,0.33,0.29,0.33,0.28,0.25,0.31,0.25,0.29,0.28,0.25,0.23,0.26,0.22,0.24,0.24,0.26,0.19,0.17,0.21,0.19,0.24,0.14,0.14,0.16,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/30/2021,10.23,5.94,5.53,5.89,4.85,4.23,4.01,3.58,2.99,2.87,2.72,2.76,2.17,2.4,2.32,2.2,1.88,1.9,1.81,1.53,1.4,1.48,1.3,1.29,1.36,1.28,1.05,1.15,1.21,0.91,0.84,0.94,0.7,0.73,0.84,0.6,0.61,0.54,0.54,0.49,0.43,0.49,0.37,0.4,0.35,0.39,0.36,0.35,0.33,0.29,0.33,0.29,0.25,0.31,0.24,0.28,0.29,0.26,0.22,0.27,0.22,0.24,0.24,0.26,0.19,0.17,0.2,0.19,0.22,0.14,0.15,0.16,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
08/31/2021,10.23,5.91,5.58,5.86,4.85,4.22,4.0,3.56,2.97,2.86,2.73,2.75,2.16,2.4,2.32,2.2,1.88,1.9,1.81,1.54,1.4,1.5,1.3,1.3,1.36,1.28,1.05,1.14,1.24,0.91,0.83,0.94,0.7,0.73,0.85,0.61,0.61,0.55,0.54,0.49,0.43,0.48,0.36,0.4,0.35,0.39,0.36,0.36,0.33,0.3,0.33,0.29,0.25,0.31,0.24,0.29,0.28,0.26,0.22,0.27,0.22,0.24,0.25,0.26,0.19,0.17,0.21,0.19,0.22,0.14,0.15,0.16,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/01/2021,10.23,5.91,5.58,5.86,4.85,4.22,4.0,3.56,2.97,2.86,2.73,2.75,2.16,2.4,2.32,2.2,1.88,1.9,1.81,1.54,1.4,1.5,1.3,1.3,1.36,1.28,1.05,1.14,1.24,0.91,0.83,0.94,0.7,0.73,0.85,0.61,0.61,0.55,0.54,0.49,0.43,0.48,0.36,0.4,0.35,0.39,0.36,0.36,0.33,0.3,0.33,0.29,0.25,0.31,0.24,0.29,0.28,0.26,0.22,0.27,0.22,0.24,0.25,0.26,0.19,0.17,0.21,0.19,0.22,0.14,0.15,0.16,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/02/2021,10.25,5.89,5.56,5.91,4.86,4.26,3.99,3.52,2.98,2.84,2.74,2.74,2.15,2.39,2.33,2.2,1.85,1.9,1.81,1.54,1.4,1.53,1.3,1.31,1.38,1.26,1.05,1.14,1.24,0.91,0.83,0.95,0.7,0.73,0.86,0.6,0.61,0.55,0.54,0.49,0.43,0.48,0.36,0.4,0.35,0.39,0.36,0.36,0.32,0.29,0.33,0.29,0.25,0.31,0.25,0.29,0.29,0.26,0.22,0.27,0.22,0.24,0.25,0.26,0.19,0.17,0.2,0.19,0.22,0.14,0.15,0.16,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
09/03/2021,10.27,5.87,5.51,5.9,4.81,4.25,4.02,3.57,2.98,2.86,2.8,2.72,2.15,2.39,2.33,2.2,1.83,1.89,1.8,1.53,1.37,1.52,1.31,1.3,1.36,1.28,1.05,1.13,1.2,0.94,0.84,0.95,0.7,0.73,0.84,0.68,0.61,0.55,0.54,0.49,0.44,0.48,0.37,0.41,0.36,0.41,0.35,0.36,0.33,0.3,0.32,0.29,0.26,0.31,0.25,0.28,0.29,0.25,0.22,0.26,0.22,0.24,0.25,0.25,0.19,0.17,0.2,0.19,0.22,0.14,0.15,0.16,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
09/06/2021,10.4,5.8,5.44,5.85,4.82,4.16,3.98,3.57,3.02,2.87,2.79,2.66,2.12,2.31,2.33,2.26,1.8,1.88,1.78,1.51,1.35,1.5,1.28,1.28,1.35,1.27,1.03,1.11,1.19,0.95,0.83,0.96,0.68,0.73,0.85,0.64,0.57,0.52,0.53,0.48,0.45,0.48,0.36,0.4,0.34,0.4,0.36,0.35,0.32,0.3,0.32,0.29,0.26,0.3,0.25,0.27,0.28,0.25,0.22,0.26,0.23,0.24,0.24,0.26,0.18,0.17,0.2,0.19,1.15,0.14,0.14,0.15,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.27
09/14/2021,10.81,5.45,5.37,5.9,4.84,4.16,3.96,3.49,3.06,2.75,2.86,2.64,2.1,2.28,2.42,2.32,1.82,1.89,1.79,1.53,1.36,1.54,1.26,1.3,1.38,1.26,0.99,1.1,1.18,0.93,0.82,0.99,0.68,0.73,0.89,0.59,0.55,0.49,0.52,0.49,0.44,0.48,0.37,0.41,0.33,0.42,0.35,0.33,0.3,0.31,0.32,0.28,0.26,0.29,0.25,0.26,0.28,0.23,0.22,0.26,0.23,0.24,0.23,0.27,0.17,0.17,0.2,0.19,1.1,0.13,0.14,0.16,0.1,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.29
09/15/2021,10.81,5.45,5.37,5.9,4.84,4.16,3.96,3.49,3.06,2.75,2.86,2.64,2.1,2.28,2.42,2.32,1.82,1.89,1.79,1.53,1.36,1.54,1.26,1.3,1.38,1.26,0.99,1.1,1.18,0.93,0.82,0.99,0.68,0.73,0.89,0.59,0.55,0.49,0.52,0.49,0.44,0.48,0.37,0.41,0.33,0.42,0.35,0.33,0.3,0.31,0.32,0.28,0.26,0.29,0.25,0.26,0.28,0.23,0.22,0.26,0.23,0.24,0.23,0.27,0.17,0.17,0.2,0.19,1.1,0.13,0.14,0.16,0.1,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.29
09/17/2021,10.54,5.45,5.55,5.9,4.89,4.15,3.9,3.52,2.9,2.78,2.85,2.64,2.08,2.3,2.36,2.33,1.82,1.91,1.81,1.53,1.36,1.59,1.29,1.3,1.36,1.25,0.99,1.1,1.16,0.94,0.81,0.97,0.68,0.74,0.88,0.59,0.54,0.49,0.52,0.49,0.44,0.49,0.37,0.41,0.34,0.42,0.36,0.34,0.31,0.31,0.32,0.29,0.27,0.3,0.25,0.27,0.27,0.23,0.22,0.26,0.23,0.25,0.23,0.27,0.18,0.17,0.2,0.19,1.24,0.14,0.14,0.16,0.02,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.23
09/24/2021,10.61,5.61,5.72,5.81,4.8,4.12,4.01,3.47,2.83,2.82,2.95,2.63,2.24,2.34,2.44,2.4,1.85,2.03,1.87,1.51,1.32,1.59,1.29,1.33,0.45,1.19,0.95,1.11,1.06,0.89,0.79,1.02,0.7,0.75,0.89,0.6,0.56,0.49,0.52,0.5,0.44,0.49,0.37,0.41,0.32,0.41,0.36,0.34,0.29,0.3,0.33,0.3,0.27,0.29,0.26,0.25,0.27,0.24,0.21,0.28,0.22,0.23,0.24,0.28,0.19,0.19,0.2,0.21,0.28,0.14,0.13,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.03,0.0,0.0,0.0,100.06999999999998
09/27/2021,10.76,5.57,5.87,5.79,4.85,4.08,4.08,3.62,2.9,2.82,2.94,2.68,2.26,2.31,2.47,2.38,1.82,1.99,1.86,1.53,1.34,1.61,1.27,1.31,0.46,1.25,0.96,1.1,1.11,0.9,0.82,0.97,0.7,0.76,0.88,0.6,0.57,0.49,0.52,0.49,0.44,0.49,0.38,0.41,0.34,0.42,0.36,0.33,0.32,0.3,0.31,0.3,0.26,0.3,0.26,0.28,0.27,0.24,0.21,0.27,0.23,0.23,0.23,0.27,0.18,0.18,0.2,0.2,0.99,0.14,0.14,0.16,0.21,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,100.58
10/20/2021,10.98,5.66,6.61,5.55,4.62,4.04,4.03,3.86,2.98,2.87,2.8,2.75,2.36,2.24,2.43,2.46,1.85,1.82,1.79,1.48,1.35,1.48,1.27,1.24,0.47,1.39,0.97,1.13,1.18,1.06,0.89,0.86,0.71,0.79,0.77,0.59,0.58,0.48,0.53,0.48,0.44,0.46,0.4,0.41,0.38,0.42,0.35,0.33,0.35,0.25,0.27,0.33,0.27,0.35,0.24,0.3,0.28,0.24,0.2,0.27,0.24,0.22,0.23,0.25,0.19,0.2,0.2,0.19,0.05,0.14,0.15,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,0.0,100.01
10/21/2021,10.82,5.62,6.69,5.54,4.6,4.06,4.0,3.91,2.94,2.87,2.86,2.77,2.33,2.25,2.41,2.47,1.84,1.84,1.8,1.49,1.35,1.5,1.27,1.24,0.48,1.39,0.97,1.13,1.19,1.06,0.9,0.88,0.72,0.79,0.78,0.6,0.58,0.46,0.52,0.48,0.44,0.46,0.39,0.42,0.37,0.42,0.35,0.33,0.34,0.25,0.27,0.32,0.27,0.35,0.25,0.3,0.28,0.23,0.2,0.27,0.24,0.22,0.23,0.25,0.19,0.2,0.19,0.19,0.05,0.14,0.15,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.65,0.0,99.96
10/22/2021,10.75,5.62,6.71,5.48,4.62,4.06,3.97,3.92,2.92,2.89,2.87,2.78,2.27,2.18,2.43,2.46,1.85,1.85,1.82,1.51,1.35,1.52,1.29,1.25,0.48,1.39,0.98,1.13,1.19,1.09,0.9,0.89,0.73,0.79,0.78,0.6,0.57,0.47,0.52,0.48,0.45,0.47,0.39,0.42,0.37,0.42,0.35,0.33,0.34,0.26,0.28,0.31,0.26,0.36,0.25,0.3,0.28,0.24,0.2,0.28,0.23,0.23,0.23,0.26,0.19,0.21,0.19,0.19,0.05,0.14,0.15,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.65,0.0,99.99
