,AMT,EQIX,PSA,PLD,AVB,WY,EQR,SGRO.L,DRE,ELS,823.HK,REXR,EGP,COR,TRNO,PCH,PSB,GMT.NZ,BWP.AX,INA.AX,CHCT,AIV,KLCC.KL,HBRN.IR,ARF.AX,CQE.AX,UHT,HMC.AX,IGBREIT.KL,FTREIT.BK,WHART/F.BK,IHR.L,AXREIT.KL,IMPACT.BK,M1GU.SI,PSB.1,UKCM.L,CPT,FR,NTST,AEWU.L,n/a,CCI,LXI.L,CREI.L,WHART.F.BK,MAA,SUI,PEAK,ME8U.SI,SUM
07/23/2021,12.28,11.92,11.88,11.96,5.06,4.65,5.0,5.0,4.92,4.97,4.94,2.9,2.53,2.17,1.71,1.28,1.12,0.67,0.55,0.47,0.41,0.38,0.34,0.37,0.33,0.31,0.29,0.27,0.22,0.23,0.21,0.2,0.16,0.14,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,12.01,11.84,11.83,12.14,4.94,4.82,4.94,4.98,4.94,5.0,4.9,3.03,2.6,2.21,1.75,1.28,1.14,0.67,0.54,0.45,0.42,0.37,0.34,0.37,0.33,0.3,0.28,0.27,0.22,0.22,0.2,0.21,0.15,0.13,0.09,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/03/2021,12.01,11.84,11.83,12.14,4.94,4.82,4.94,4.98,4.94,5.0,4.9,3.03,2.6,2.21,1.75,1.28,1.14,0.67,0.54,0.45,0.42,0.37,0.34,0.37,0.33,0.3,0.28,0.27,0.22,0.22,0.2,0.21,0.15,0.13,0.09,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/04/2021,12.01,11.84,11.83,12.14,4.94,4.82,4.94,4.98,4.94,5.0,4.9,3.03,2.6,2.21,1.75,1.28,1.14,0.67,0.54,0.45,0.42,0.37,0.34,0.37,0.33,0.3,0.28,0.27,0.22,0.22,0.2,0.21,0.15,0.13,0.09,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/05/2021,12.01,11.84,11.83,12.14,4.94,4.82,4.94,4.98,4.94,5.0,4.9,3.03,2.6,2.21,1.75,1.28,1.14,0.67,0.54,0.45,0.42,0.37,0.34,0.37,0.33,0.3,0.28,0.27,0.22,0.22,0.2,0.21,0.15,0.13,0.09,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/10/2021,0.0,12.55,12.03,12.27,8.46,4.8,4.79,4.73,4.93,4.96,4.56,3.06,2.64,2.42,1.77,1.32,1.17,0.75,0.54,0.52,0.41,0.4,0.37,0.0,0.41,0.35,0.27,0.37,0.24,0.23,0.21,0.21,0.18,0.14,0.1,0.0,0.0,4.89,2.6,0.24,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/13/2021,0.0,12.52,12.12,12.3,8.53,4.68,4.81,4.64,4.94,5.02,4.51,3.06,2.63,2.44,1.76,1.3,1.19,0.74,0.54,0.51,0.41,0.4,0.37,0.0,0.4,0.34,0.26,0.36,0.24,0.23,0.21,0.21,0.18,0.14,0.1,0.0,0.0,4.96,2.6,0.24,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/14/2021,0.0,12.37,12.14,12.21,8.54,4.71,4.82,4.8,4.86,4.99,4.59,3.05,2.61,2.43,1.76,1.29,1.19,0.75,0.55,0.52,0.41,0.39,0.37,0.0,0.41,0.34,0.27,0.37,0.24,0.23,0.21,0.21,0.19,0.14,0.1,0.0,0.0,4.98,2.6,0.24,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/15/2021,0.0,12.33,12.21,12.22,8.52,4.73,4.8,4.81,4.85,4.97,4.65,3.01,2.6,2.41,1.74,1.31,1.16,0.75,0.55,0.53,0.4,0.39,0.38,0.0,0.41,0.35,0.28,0.39,0.24,0.23,0.21,0.22,0.19,0.14,0.1,0.0,0.0,5.0,2.59,0.24,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
09/17/2021,0.0,12.29,12.16,12.17,8.55,4.72,4.85,4.83,4.84,4.95,4.61,3.04,2.62,2.4,1.74,1.3,1.19,0.77,0.55,0.52,0.41,0.39,0.37,0.0,0.41,0.35,0.28,0.39,0.24,0.22,0.21,0.22,0.19,0.14,0.1,0.0,0.0,5.03,2.61,0.24,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/20/2021,0.0,12.34,12.09,12.2,8.58,4.78,4.84,4.77,4.84,4.92,4.51,3.03,2.61,2.43,1.75,1.31,1.2,0.77,0.55,0.53,0.41,0.39,0.37,0.0,0.41,0.34,0.28,0.41,0.25,0.23,0.21,0.22,0.19,0.14,0.1,0.0,0.0,5.05,2.62,0.24,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999995
10/11/2021,0.0,11.18,10.83,12.02,5.14,5.02,5.21,4.78,5.02,3.96,4.79,2.31,2.04,1.79,1.33,1.0,0.96,0.51,0.41,0.4,0.3,0.31,0.18,0.0,0.31,0.25,0.21,0.29,0.15,0.16,0.0,0.16,0.12,0.1,0.0,0.0,0.0,4.4,2.01,0.27,0.06,0.01,11.32,0.38,0.15,0.15,0.0,0.0,0.0,0.0,99.98999999999998
10/12/2021,0.0,11.18,10.83,12.02,5.14,5.02,5.21,4.78,5.02,3.96,4.79,2.31,2.04,1.79,1.33,1.0,0.96,0.51,0.41,0.4,0.3,0.31,0.18,0.0,0.31,0.25,0.21,0.29,0.15,0.16,0.0,0.16,0.12,0.1,0.0,0.0,0.0,4.4,2.01,0.27,0.06,0.01,11.32,0.38,0.15,0.15,0.0,0.0,0.0,0.0,99.98999999999998
10/13/2021,0.0,11.18,10.83,12.02,5.14,5.02,5.21,4.78,5.02,3.96,4.79,2.31,2.04,1.79,1.33,1.0,0.96,0.51,0.41,0.4,0.3,0.31,0.18,0.0,0.31,0.25,0.21,0.29,0.15,0.16,0.0,0.16,0.12,0.1,0.0,0.0,0.0,4.4,2.01,0.27,0.06,0.01,11.32,0.38,0.15,0.15,0.0,0.0,0.0,0.0,99.98999999999998
10/14/2021,0.0,11.18,10.83,12.02,5.14,5.02,5.21,4.78,5.02,3.96,4.79,2.31,2.04,1.79,1.33,1.0,0.96,0.51,0.41,0.4,0.3,0.31,0.18,0.0,0.31,0.25,0.21,0.29,0.15,0.16,0.0,0.16,0.12,0.1,0.0,0.0,0.0,4.4,2.01,0.27,0.06,0.01,11.32,0.38,0.15,0.15,0.0,0.0,0.0,0.0,99.98999999999998
10/15/2021,0.0,10.99,10.9,12.04,5.12,5.23,5.18,4.77,5.03,4.04,4.88,2.31,2.03,1.77,1.33,1.01,0.97,0.51,0.42,0.4,0.3,0.31,0.18,0.0,0.31,0.25,0.21,0.29,0.15,0.16,0.0,0.16,0.12,0.1,0.0,0.0,0.0,4.39,2.0,0.27,0.06,0.01,11.1,0.39,0.16,0.16,0.0,0.0,0.0,0.0,100.01
10/18/2021,0.0,10.92,11.18,12.2,5.1,5.12,5.13,4.76,5.08,4.04,4.8,2.33,2.03,1.73,1.34,1.03,0.97,0.49,0.41,0.4,0.31,0.31,0.18,0.0,0.31,0.25,0.21,0.29,0.15,0.16,0.0,0.16,0.12,0.11,0.0,0.0,0.0,4.44,2.03,0.26,0.06,0.01,10.9,0.38,0.16,0.15,0.0,0.0,0.0,0.0,100.01
10/19/2021,0.0,10.87,11.33,12.21,5.12,5.07,5.14,4.81,5.08,4.01,4.74,2.33,2.04,1.74,1.34,1.02,0.97,0.49,0.42,0.4,0.31,0.31,0.17,0.0,0.31,0.25,0.21,0.28,0.14,0.16,0.0,0.15,0.11,0.11,0.0,0.0,0.0,4.44,2.03,0.26,0.06,0.01,10.86,0.38,0.16,0.15,0.0,0.0,0.0,0.0,99.99
10/20/2021,0.0,11.04,11.12,12.33,5.09,5.04,5.1,4.93,5.11,3.98,4.83,2.34,2.05,1.74,1.34,1.03,0.97,0.51,0.42,0.4,0.31,0.31,0.15,0.0,0.3,0.25,0.21,0.28,0.12,0.16,0.0,0.16,0.1,0.1,0.0,0.0,0.0,4.39,2.04,0.26,0.06,0.01,10.72,0.39,0.16,0.15,0.0,0.0,0.0,0.0,100.0
10/22/2021,0.0,11.84,8.77,12.62,4.83,4.83,4.74,4.07,3.83,2.7,3.45,1.57,1.38,1.15,0.9,0.69,0.66,0.35,0.26,0.29,0.21,0.21,0.17,0.0,0.22,0.18,0.13,0.21,0.14,0.14,0.0,0.11,0.11,0.06,0.0,0.0,0.0,2.95,1.37,0.18,0.05,0.01,11.48,0.27,0.11,0.12,4.2,4.18,3.54,0.75,100.03
10/25/2021,0.0,11.88,8.68,12.82,4.86,4.83,4.74,3.94,3.85,2.72,3.38,1.58,1.4,1.18,0.89,0.68,0.66,0.35,0.26,0.29,0.2,0.21,0.17,0.0,0.21,0.18,0.13,0.21,0.14,0.14,0.0,0.11,0.11,0.06,0.0,0.0,0.0,2.94,1.38,0.18,0.05,0.01,11.45,0.27,0.11,0.11,4.19,4.2,3.53,0.74,100.02
