,AMZN,GOOG,NVDA,FB,MSFT,V,NOW,ZI,NET,CRWD,SNOW,NFLX,PYPL,ASML,ISRG,LSCC,SQ,SE,EW,ADI,APTV,AMAT,DHR,MDT,NXPI,TRMB,ADBE,DIS,MRVL,ATVI,PLAN,WDAY,UBER,GH,EXAS,ZS,MQ,TMO,TTWO,CRNC,UPST,SUM
01/11/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
01/12/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
01/13/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
01/14/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
01/17/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
01/18/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
01/19/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
01/20/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
01/21/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
01/24/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
01/25/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
01/26/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
01/27/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
01/28/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
01/31/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
02/01/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
02/02/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
02/03/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
02/04/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
02/07/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
02/08/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
02/09/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
02/10/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
02/11/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
02/14/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
02/15/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
02/16/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
02/17/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
02/18/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
02/21/2022,9.25,7.29,5.13,4.71,4.61,4.15,3.75,3.56,3.32,3.31,3.09,3.07,2.9,2.82,2.8,2.66,2.33,2.32,2.32,2.31,2.3,2.17,2.16,2.03,1.73,1.57,1.54,1.48,1.4,1.31,1.3,1.07,1.07,0.89,0.8,0.77,0.68,0.0,0.0,0.0,0.0,99.96999999999998
04/07/2022,9.21,6.79,6.99,4.49,4.74,3.08,3.76,3.58,2.79,1.56,3.33,2.9,2.13,2.82,3.1,3.05,1.89,1.62,2.95,1.94,3.2,3.11,2.19,0.0,0.0,0.0,1.4,0.0,2.98,1.35,1.03,1.61,2.08,0.0,1.36,1.2,0.0,3.57,1.09,0.72,0.4,100.01
04/22/2022,9.21,6.79,6.99,4.49,4.74,3.08,3.76,3.58,2.79,1.56,3.33,2.9,2.13,2.82,3.1,3.05,1.89,1.62,2.95,1.94,3.2,3.11,2.19,0.0,0.0,0.0,1.4,0.0,2.98,1.35,1.03,1.61,2.08,0.0,1.36,1.2,0.0,3.57,1.09,0.72,0.4,100.01
04/27/2022,9.21,6.79,6.99,4.49,4.74,3.08,3.76,3.58,2.79,1.56,3.33,2.9,2.13,2.82,3.1,3.05,1.89,1.62,2.95,1.94,3.2,3.11,2.19,0.0,0.0,0.0,1.4,0.0,2.98,1.35,1.03,1.61,2.08,0.0,1.36,1.2,0.0,3.57,1.09,0.72,0.4,100.01
06/09/2022,10.25,4.35,7.2,3.44,7.22,3.65,3.74,4.3,3.5,3.42,3.7,2.09,1.8,1.84,3.44,2.8,3.22,0.0,3.46,1.83,2.69,3.44,2.67,0.0,0.0,0.0,0.0,0.0,3.07,0.0,0.0,0.0,2.42,0.0,1.68,2.67,0.0,3.87,2.25,0.0,0.0,100.01
