,2SPY  210930C00002700,2QQQ  210930C00278120,Cash&Other,2SPY  210930C00373770,2QQQ  210930C00310390,2SPY  220930C00003470,2QQQ  220930C00357980,2SPY  220930C00467290,2QQQ  220930C00389780,SUM
09/29/2021,107.77,28.04,-0.12,-17.15,-18.54,0.0,0.0,0.0,0.0,100.0
09/30/2021,107.19,27.05,0.13,-16.78,-17.59,0.0,0.0,0.0,0.0,100.0
10/01/2021,105.84,24.46,-0.12,-15.05,-15.13,0.0,0.0,0.0,0.0,100.0
10/04/2021,0.0,0.0,1.76,0.0,0.0,96.77,9.33,-3.03,-4.9,99.93
10/05/2021,0.0,0.0,0.74,0.0,0.0,98.2,9.7,-3.52,-5.12,100.0
10/06/2021,0.0,0.0,0.74,0.0,0.0,98.2,9.7,-3.52,-5.12,100.0
10/07/2021,0.0,0.0,0.75,0.0,0.0,98.44,8.8,-3.34,-4.66,99.99
10/08/2021,0.0,0.0,0.74,0.0,0.0,98.48,9.31,-3.56,-4.97,100.0
10/11/2021,0.0,0.0,0.73,0.0,0.0,98.6,9.7,-3.75,-5.28,100.0
10/12/2021,0.0,0.0,0.6,0.0,0.0,98.67,9.77,-3.81,-5.24,99.99
10/13/2021,0.0,0.0,0.6,0.0,0.0,98.67,9.77,-3.81,-5.24,99.99
10/14/2021,0.0,0.0,0.89,0.0,0.0,98.44,9.1,-3.49,-4.96,99.98
10/15/2021,0.0,0.0,0.91,0.0,0.0,98.12,8.8,-3.26,-4.56,100.01
10/18/2021,0.0,0.0,0.88,0.0,0.0,98.49,10.06,-3.96,-5.48,99.99
10/19/2021,0.0,0.0,0.88,0.0,0.0,98.78,10.3,-4.32,-5.64,100.0
10/20/2021,0.0,0.0,0.88,0.0,0.0,98.78,10.3,-4.32,-5.64,100.0
10/21/2021,0.0,0.0,0.87,0.0,0.0,98.79,11.12,-4.49,-6.3,99.99000000000002
10/22/2021,0.0,0.0,0.86,0.0,0.0,98.99,11.45,-4.79,-6.52,99.99
10/25/2021,0.0,0.0,0.85,0.0,0.0,99.19,11.48,-4.98,-6.54,100.0
10/26/2021,0.0,0.0,0.85,0.0,0.0,99.39,11.08,-5.01,-6.31,100.0
10/27/2021,0.0,0.0,0.85,0.0,0.0,99.39,11.08,-5.01,-6.31,100.0
10/28/2021,0.0,0.0,0.84,0.0,0.0,99.38,11.79,-5.23,-6.78,100.0
10/29/2021,0.0,0.0,0.84,0.0,0.0,99.49,11.88,-5.32,-6.9,99.98999999999998
11/01/2021,0.0,0.0,0.83,0.0,0.0,99.6,12.8,-5.58,-7.66,99.99
11/02/2021,0.0,0.0,0.83,0.0,0.0,99.67,13.44,-5.77,-8.17,100.0
11/03/2021,0.0,0.0,0.83,0.0,0.0,99.67,13.44,-5.77,-8.17,100.0
11/04/2021,0.0,0.0,0.82,0.0,0.0,99.75,13.48,-5.88,-8.17,100.0
11/05/2021,0.0,0.0,0.82,0.0,0.0,99.93,13.74,-6.02,-8.47,100.0
11/08/2021,0.0,0.0,0.8,0.0,0.0,100.29,15.51,-6.66,-9.95,99.99000000000001
