,PGR,PFE,CAH,PRU,XOM,VZ,IBM,WBA,DOW,MMM,PM,LYB,GILD,DUK,MO,SO,IP,LUMN,NEE,K,EIX,KMI,PFG,UNM,AMCR,ED,FE,NWL,ETR,OKE,STX,IPG,ORI,R,WMB,AFG,CFG,KEY,PPL,XRX,BEN,RF,HBAN,SPG,MCY,WU,LEG,FLO,IRM,NAVI,VTR,PNW,OGE,MSM,FHN,CMA,HRB,NLOK,JHG,TNL,SR,PBCT,NYCB,O,NFG,FGXXX,FHI,VLY,UMPQ,FNB,ETRN,CMP,MPW,ALE,NWE,UBSI,KIM,VNO,FULT,OHI,AM,ACC,FRT,STOR,HIW,NNN,LSI,OFC,COR,WRI,SRC,DOC,UE,ABBV,T,COST,KHC,GIS,D,CSX,VLO,NI,HR,WING,KD WI,ONL,LMT,MRK,KMB,AEP,NEM,CVX,HBI,EVRG,SWX,PEAK,HPP,SLG,SUM
07/23/2021,4.86,4.88,4.66,4.39,4.17,4.7,4.45,4.05,3.94,3.63,3.17,2.78,2.86,2.72,2.25,2.32,2.1,1.95,2.0,1.55,1.47,1.39,1.37,1.28,1.31,1.34,1.16,1.04,1.09,0.96,1.02,0.92,0.88,0.83,0.84,0.89,0.72,0.71,0.75,0.69,0.64,0.64,0.53,0.46,0.47,0.5,0.44,0.48,0.43,0.42,0.41,0.39,0.35,0.33,0.29,0.29,0.3,0.27,0.27,0.21,0.23,0.2,0.18,0.18,0.16,0.14,0.15,0.15,0.15,0.13,0.13,0.16,0.14,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.09,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.05,0.05,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/26/2021,4.72,4.87,4.76,4.54,4.25,4.6,4.45,4.05,3.98,3.6,3.05,2.86,2.8,2.64,2.23,2.26,2.08,1.94,1.93,1.48,1.44,1.41,1.43,1.34,1.29,1.29,1.14,1.06,1.06,1.0,0.98,1.01,0.89,0.84,0.84,0.91,0.75,0.72,0.73,0.72,0.66,0.66,0.55,0.49,0.47,0.5,0.44,0.46,0.43,0.43,0.42,0.38,0.34,0.33,0.3,0.3,0.3,0.26,0.27,0.22,0.22,0.2,0.18,0.18,0.16,0.13,0.16,0.15,0.15,0.14,0.13,0.16,0.14,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.09,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.05,0.05,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/27/2021,4.72,4.87,4.76,4.54,4.25,4.6,4.45,4.05,3.98,3.6,3.05,2.86,2.8,2.64,2.23,2.26,2.08,1.94,1.93,1.48,1.44,1.41,1.43,1.34,1.29,1.29,1.14,1.06,1.06,1.0,0.98,1.01,0.89,0.84,0.84,0.91,0.75,0.72,0.73,0.72,0.66,0.66,0.55,0.49,0.47,0.5,0.44,0.46,0.43,0.43,0.42,0.38,0.34,0.33,0.3,0.3,0.3,0.26,0.27,0.22,0.22,0.2,0.18,0.18,0.16,0.13,0.16,0.15,0.15,0.14,0.13,0.16,0.14,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.09,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.05,0.05,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/28/2021,4.75,4.95,4.8,4.46,4.19,4.59,4.45,4.03,4.0,3.59,3.11,2.84,2.82,2.67,2.23,2.3,2.06,1.9,1.96,1.48,1.44,1.37,1.41,1.32,1.29,1.32,1.16,1.07,1.08,0.99,1.01,1.02,0.89,0.86,0.83,0.88,0.74,0.71,0.74,0.71,0.64,0.66,0.54,0.48,0.47,0.5,0.44,0.46,0.43,0.43,0.41,0.38,0.35,0.32,0.29,0.3,0.31,0.26,0.27,0.22,0.22,0.19,0.18,0.18,0.16,0.14,0.15,0.15,0.15,0.13,0.13,0.16,0.14,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.09,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.05,0.05,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/29/2021,4.71,4.93,4.75,4.48,4.27,4.54,4.46,4.06,4.09,3.58,3.1,2.87,2.79,2.65,2.22,2.28,2.06,1.93,1.94,1.47,1.41,1.4,1.41,1.33,1.3,1.3,1.16,1.06,1.08,1.0,1.01,1.02,0.89,0.85,0.84,0.88,0.75,0.72,0.74,0.71,0.65,0.66,0.54,0.49,0.47,0.5,0.44,0.46,0.43,0.43,0.41,0.38,0.34,0.32,0.29,0.3,0.3,0.25,0.27,0.22,0.22,0.2,0.18,0.18,0.16,0.14,0.15,0.15,0.15,0.13,0.14,0.16,0.14,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.05,0.05,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/30/2021,4.71,4.93,4.75,4.48,4.27,4.54,4.46,4.06,4.09,3.58,3.1,2.87,2.79,2.65,2.22,2.28,2.06,1.93,1.94,1.47,1.41,1.4,1.41,1.33,1.3,1.3,1.16,1.06,1.08,1.0,1.01,1.02,0.89,0.85,0.84,0.88,0.75,0.72,0.74,0.71,0.65,0.66,0.54,0.49,0.47,0.5,0.44,0.46,0.43,0.43,0.41,0.38,0.34,0.32,0.29,0.3,0.3,0.25,0.27,0.22,0.22,0.2,0.18,0.18,0.16,0.14,0.15,0.15,0.15,0.13,0.14,0.16,0.14,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.05,0.05,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/02/2021,4.7,5.11,4.8,4.47,4.24,4.53,4.42,4.05,4.08,3.52,3.1,2.88,2.84,2.68,2.22,2.28,2.06,1.89,1.96,1.46,1.44,1.39,1.4,1.32,1.31,1.31,1.14,1.04,1.08,0.99,1.01,1.01,0.88,0.86,0.83,0.87,0.73,0.72,0.74,0.74,0.64,0.66,0.54,0.48,0.46,0.5,0.43,0.45,0.42,0.41,0.41,0.38,0.35,0.33,0.29,0.3,0.3,0.25,0.26,0.2,0.22,0.2,0.19,0.18,0.16,0.14,0.15,0.15,0.16,0.13,0.13,0.16,0.14,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.09,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.05,0.05,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/03/2021,4.7,5.11,4.8,4.47,4.24,4.53,4.42,4.05,4.08,3.52,3.1,2.88,2.84,2.68,2.22,2.28,2.06,1.89,1.96,1.46,1.44,1.39,1.4,1.32,1.31,1.31,1.14,1.04,1.08,0.99,1.01,1.01,0.88,0.86,0.83,0.87,0.73,0.72,0.74,0.74,0.64,0.66,0.54,0.48,0.46,0.5,0.43,0.45,0.42,0.41,0.41,0.38,0.35,0.33,0.29,0.3,0.3,0.25,0.26,0.2,0.22,0.2,0.19,0.18,0.16,0.14,0.15,0.15,0.16,0.13,0.13,0.16,0.14,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.09,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.05,0.05,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/04/2021,4.7,5.11,4.8,4.47,4.24,4.53,4.42,4.05,4.08,3.52,3.1,2.88,2.84,2.68,2.22,2.28,2.06,1.89,1.96,1.46,1.44,1.39,1.4,1.32,1.31,1.31,1.14,1.04,1.08,0.99,1.01,1.01,0.88,0.86,0.83,0.87,0.73,0.72,0.74,0.74,0.64,0.66,0.54,0.48,0.46,0.5,0.43,0.45,0.42,0.41,0.41,0.38,0.35,0.33,0.29,0.3,0.3,0.25,0.26,0.2,0.22,0.2,0.19,0.18,0.16,0.14,0.15,0.15,0.16,0.13,0.13,0.16,0.14,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.09,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.05,0.05,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/05/2021,4.7,5.11,4.8,4.47,4.24,4.53,4.42,4.05,4.08,3.52,3.1,2.88,2.84,2.68,2.22,2.28,2.06,1.89,1.96,1.46,1.44,1.39,1.4,1.32,1.31,1.31,1.14,1.04,1.08,0.99,1.01,1.01,0.88,0.86,0.83,0.87,0.73,0.72,0.74,0.74,0.64,0.66,0.54,0.48,0.46,0.5,0.43,0.45,0.42,0.41,0.41,0.38,0.35,0.33,0.29,0.3,0.3,0.25,0.26,0.2,0.22,0.2,0.19,0.18,0.16,0.14,0.15,0.15,0.16,0.13,0.13,0.16,0.14,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.09,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.05,0.05,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/06/2021,4.76,5.32,4.75,4.49,4.2,4.49,4.45,4.04,4.06,3.53,3.11,2.89,2.8,2.68,2.2,2.27,2.05,1.88,1.98,1.46,1.39,1.36,1.4,1.28,1.3,1.31,1.14,0.96,1.07,0.94,1.05,1.02,0.88,0.91,0.81,0.88,0.72,0.73,0.73,0.73,0.66,0.66,0.55,0.49,0.46,0.48,0.44,0.44,0.42,0.43,0.4,0.36,0.35,0.32,0.29,0.3,0.3,0.24,0.27,0.19,0.23,0.2,0.19,0.18,0.16,0.24,0.15,0.15,0.16,0.13,0.13,0.16,0.14,0.13,0.13,0.12,0.12,0.1,0.1,0.09,0.09,0.1,0.08,0.08,0.08,0.07,0.08,0.07,0.07,0.05,0.05,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/09/2021,4.78,5.35,4.1,4.57,4.2,4.54,4.49,4.06,4.05,3.54,3.14,2.84,2.83,2.76,2.22,2.33,2.04,1.77,2.04,1.46,1.41,1.34,1.44,1.22,1.33,1.34,1.15,0.98,1.12,0.97,1.07,1.05,0.9,0.9,0.83,0.92,0.73,0.74,0.75,0.72,0.68,0.67,0.56,0.52,0.45,0.48,0.44,0.44,0.44,0.44,0.41,0.36,0.35,0.32,0.3,0.31,0.31,0.24,0.28,0.19,0.23,0.2,0.19,0.18,0.17,0.03,0.15,0.15,0.16,0.14,0.14,0.16,0.14,0.13,0.13,0.12,0.17,0.1,0.1,0.1,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.0,0.06,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/10/2021,4.78,5.35,4.1,4.57,4.2,4.54,4.49,4.06,4.05,3.54,3.14,2.84,2.83,2.76,2.22,2.33,2.04,1.77,2.04,1.46,1.41,1.34,1.44,1.22,1.33,1.34,1.15,0.98,1.12,0.97,1.07,1.05,0.9,0.9,0.83,0.92,0.73,0.74,0.75,0.72,0.68,0.67,0.56,0.52,0.45,0.48,0.44,0.44,0.44,0.44,0.41,0.36,0.35,0.32,0.3,0.31,0.31,0.24,0.28,0.19,0.23,0.2,0.19,0.18,0.17,0.03,0.15,0.15,0.16,0.14,0.14,0.16,0.14,0.13,0.13,0.12,0.17,0.1,0.1,0.1,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.0,0.06,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/11/2021,4.78,5.35,4.1,4.57,4.2,4.54,4.49,4.06,4.05,3.54,3.14,2.84,2.83,2.76,2.22,2.33,2.04,1.77,2.04,1.46,1.41,1.34,1.44,1.22,1.33,1.34,1.15,0.98,1.12,0.97,1.07,1.05,0.9,0.9,0.83,0.92,0.73,0.74,0.75,0.72,0.68,0.67,0.56,0.52,0.45,0.48,0.44,0.44,0.44,0.44,0.41,0.36,0.35,0.32,0.3,0.31,0.31,0.24,0.28,0.19,0.23,0.2,0.19,0.18,0.17,0.03,0.15,0.15,0.16,0.14,0.14,0.16,0.14,0.13,0.13,0.12,0.17,0.1,0.1,0.1,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.0,0.06,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/13/2021,4.74,5.61,4.06,4.66,4.19,4.47,4.36,4.12,4.12,3.5,3.1,2.99,2.78,2.68,2.22,2.3,2.08,1.77,2.0,1.47,1.4,1.33,1.46,1.27,1.33,1.33,1.12,0.98,1.12,0.97,1.08,1.05,0.9,0.88,0.81,0.92,0.74,0.75,0.74,0.72,0.71,0.68,0.57,0.5,0.45,0.48,0.43,0.43,0.44,0.45,0.38,0.36,0.35,0.31,0.3,0.32,0.31,0.24,0.28,0.19,0.22,0.2,0.2,0.18,0.16,0.03,0.16,0.16,0.16,0.14,0.14,0.16,0.13,0.13,0.13,0.12,0.17,0.1,0.1,0.09,0.08,0.1,0.08,0.08,0.08,0.07,0.08,0.06,0.07,0.0,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/16/2021,4.73,5.45,4.11,4.7,4.1,4.44,4.38,4.16,4.14,3.51,3.07,3.0,2.82,2.63,2.2,2.3,2.07,1.78,2.05,1.47,1.42,1.33,1.48,1.28,1.33,1.33,1.13,0.97,1.11,0.97,1.04,1.06,0.91,0.91,0.8,0.92,0.75,0.76,0.74,0.72,0.71,0.69,0.58,0.5,0.44,0.47,0.44,0.43,0.45,0.45,0.38,0.35,0.36,0.32,0.3,0.33,0.31,0.25,0.28,0.2,0.22,0.2,0.2,0.18,0.16,0.04,0.16,0.15,0.16,0.14,0.14,0.16,0.13,0.13,0.13,0.12,0.17,0.1,0.1,0.09,0.08,0.1,0.08,0.08,0.07,0.07,0.08,0.06,0.07,0.0,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/17/2021,4.73,5.45,4.11,4.7,4.1,4.44,4.38,4.16,4.14,3.51,3.07,3.0,2.82,2.63,2.2,2.3,2.07,1.78,2.05,1.47,1.42,1.33,1.48,1.28,1.33,1.33,1.13,0.97,1.11,0.97,1.04,1.06,0.91,0.91,0.8,0.92,0.75,0.76,0.74,0.72,0.71,0.69,0.58,0.5,0.44,0.47,0.44,0.43,0.45,0.45,0.38,0.35,0.36,0.32,0.3,0.33,0.31,0.25,0.28,0.2,0.22,0.2,0.2,0.18,0.16,0.04,0.16,0.15,0.16,0.14,0.14,0.16,0.13,0.13,0.13,0.12,0.17,0.1,0.1,0.09,0.08,0.1,0.08,0.08,0.07,0.07,0.08,0.06,0.07,0.0,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
