,NEM,ABX.TO,n/a,FNV.TO,WPM.TO,NCM.AX,AEM.TO,KL.TO,EDG.,AU,NST.AX,K.TO,RGLD,POLY.L,EVN.AX,PAAS.TO,EDV.TO,BTO.TO,YRI.TO,SSRM,AGI.TO,PVG.TO,601899.SS,FRES.L,HAM.,EQX,OR.TO,CG.TO,BVN.,ELD.TO,PRU.AX,IMG.TO,CEY.L,CDE,WDO.TO,KNT.TO,DPM.TO,SLR.AX,SSL.TO,RRL.AX,OGC.NE,NGD.TO,1818.HK,GOR.AX,DEG.AX,RMS.AX,600547.SS,TXG.TO,WAF.AX,SBM.AX,POG.L,LUG.TO,WGX.AX,GGD.TO,AR.TO,SUM
01/25/2022,14.13,11.15,10.06,8.14,5.91,4.9,4.04,3.43,3.05,2.72,2.66,2.29,2.2,1.77,1.76,1.63,1.35,1.23,1.32,1.15,0.89,0.86,0.83,0.69,0.7,0.63,0.58,0.54,0.64,0.55,0.46,0.41,0.47,0.43,0.43,0.41,0.38,0.37,0.38,0.38,0.32,0.37,0.36,0.31,0.37,0.3,0.27,0.28,0.28,0.24,0.19,0.2,0.21,0.21,0.18,100.01
01/26/2022,14.31,11.1,9.82,8.09,5.93,4.92,4.02,3.41,3.13,2.73,2.73,2.29,2.22,1.76,1.77,1.6,1.33,1.21,1.31,1.17,0.89,0.88,0.86,0.68,0.71,0.62,0.58,0.55,0.65,0.54,0.46,0.4,0.47,0.43,0.43,0.4,0.37,0.38,0.38,0.38,0.32,0.36,0.37,0.32,0.36,0.31,0.29,0.28,0.28,0.24,0.19,0.19,0.21,0.2,0.18,100.01
01/27/2022,14.31,11.1,9.82,8.09,5.93,4.92,4.02,3.41,3.13,2.73,2.73,2.29,2.22,1.76,1.77,1.6,1.33,1.21,1.31,1.17,0.89,0.88,0.86,0.68,0.71,0.62,0.58,0.55,0.65,0.54,0.46,0.4,0.47,0.43,0.43,0.4,0.37,0.38,0.38,0.38,0.32,0.36,0.37,0.32,0.36,0.31,0.29,0.28,0.28,0.24,0.19,0.19,0.21,0.2,0.18,100.01
01/28/2022,14.31,11.1,9.82,8.09,5.93,4.92,4.02,3.41,3.13,2.73,2.73,2.29,2.22,1.76,1.77,1.6,1.33,1.21,1.31,1.17,0.89,0.88,0.86,0.68,0.71,0.62,0.58,0.55,0.65,0.54,0.46,0.4,0.47,0.43,0.43,0.4,0.37,0.38,0.38,0.38,0.32,0.36,0.37,0.32,0.36,0.31,0.29,0.28,0.28,0.24,0.19,0.19,0.21,0.2,0.18,100.01
01/31/2022,14.31,11.1,9.82,8.09,5.93,4.92,4.02,3.41,3.13,2.73,2.73,2.29,2.22,1.76,1.77,1.6,1.33,1.21,1.31,1.17,0.89,0.88,0.86,0.68,0.71,0.62,0.58,0.55,0.65,0.54,0.46,0.4,0.47,0.43,0.43,0.4,0.37,0.38,0.38,0.38,0.32,0.36,0.37,0.32,0.36,0.31,0.29,0.28,0.28,0.24,0.19,0.19,0.21,0.2,0.18,100.01
02/01/2022,14.31,11.1,9.82,8.09,5.93,4.92,4.02,3.41,3.13,2.73,2.73,2.29,2.22,1.76,1.77,1.6,1.33,1.21,1.31,1.17,0.89,0.88,0.86,0.68,0.71,0.62,0.58,0.55,0.65,0.54,0.46,0.4,0.47,0.43,0.43,0.4,0.37,0.38,0.38,0.38,0.32,0.36,0.37,0.32,0.36,0.31,0.29,0.28,0.28,0.24,0.19,0.19,0.21,0.2,0.18,100.01
02/02/2022,14.31,11.1,9.82,8.09,5.93,4.92,4.02,3.41,3.13,2.73,2.73,2.29,2.22,1.76,1.77,1.6,1.33,1.21,1.31,1.17,0.89,0.88,0.86,0.68,0.71,0.62,0.58,0.55,0.65,0.54,0.46,0.4,0.47,0.43,0.43,0.4,0.37,0.38,0.38,0.38,0.32,0.36,0.37,0.32,0.36,0.31,0.29,0.28,0.28,0.24,0.19,0.19,0.21,0.2,0.18,100.01
02/03/2022,14.31,11.1,9.82,8.09,5.93,4.92,4.02,3.41,3.13,2.73,2.73,2.29,2.22,1.76,1.77,1.6,1.33,1.21,1.31,1.17,0.89,0.88,0.86,0.68,0.71,0.62,0.58,0.55,0.65,0.54,0.46,0.4,0.47,0.43,0.43,0.4,0.37,0.38,0.38,0.38,0.32,0.36,0.37,0.32,0.36,0.31,0.29,0.28,0.28,0.24,0.19,0.19,0.21,0.2,0.18,100.01
02/10/2022,14.94,11.69,8.89,8.79,6.18,4.5,4.04,3.45,3.2,2.72,2.39,2.33,2.36,1.57,1.6,1.59,1.46,1.31,1.33,1.2,0.93,0.87,0.45,0.53,0.67,0.57,0.6,0.59,0.64,0.58,0.47,0.43,0.48,0.42,0.43,0.42,0.39,0.32,0.4,0.34,0.35,0.39,0.35,0.29,0.32,0.28,0.14,0.3,0.25,0.23,0.18,0.21,0.2,0.22,0.19,99.97
02/11/2022,14.94,11.69,8.89,8.79,6.18,4.5,4.04,3.45,3.2,2.72,2.39,2.33,2.36,1.57,1.6,1.59,1.46,1.31,1.33,1.2,0.93,0.87,0.45,0.53,0.67,0.57,0.6,0.59,0.64,0.58,0.47,0.43,0.48,0.42,0.43,0.42,0.39,0.32,0.4,0.34,0.35,0.39,0.35,0.29,0.32,0.28,0.14,0.3,0.25,0.23,0.18,0.21,0.2,0.22,0.19,99.97
02/14/2022,14.21,11.47,9.65,8.67,6.01,4.61,7.16,0.0,3.21,2.7,2.49,2.28,2.28,1.69,1.67,1.58,1.46,1.31,1.31,1.17,0.89,0.85,0.97,0.53,0.65,0.55,0.61,0.59,0.67,0.57,0.48,0.42,0.47,0.42,0.44,0.41,0.38,0.34,0.39,0.35,0.33,0.39,0.37,0.3,0.32,0.29,0.29,0.31,0.26,0.25,0.2,0.2,0.22,0.21,0.19,100.04
02/15/2022,14.21,11.47,9.65,8.67,6.01,4.61,7.16,0.0,3.21,2.7,2.49,2.28,2.28,1.69,1.67,1.58,1.46,1.31,1.31,1.17,0.89,0.85,0.97,0.53,0.65,0.55,0.61,0.59,0.67,0.57,0.48,0.42,0.47,0.42,0.44,0.41,0.38,0.34,0.39,0.35,0.33,0.39,0.37,0.3,0.32,0.29,0.29,0.31,0.26,0.25,0.2,0.2,0.22,0.21,0.19,100.04
02/16/2022,14.39,11.79,9.49,8.74,6.06,4.38,7.24,0.0,3.24,2.74,2.33,2.29,2.33,1.59,1.57,1.61,1.44,1.33,1.36,1.2,0.91,0.84,0.92,0.5,0.66,0.57,0.61,0.58,0.67,0.59,0.43,0.44,0.45,0.42,0.45,0.42,0.38,0.31,0.4,0.33,0.34,0.41,0.35,0.28,0.29,0.26,0.27,0.31,0.24,0.24,0.18,0.2,0.2,0.22,0.19,99.98
02/17/2022,14.39,11.79,9.49,8.74,6.06,4.38,7.24,0.0,3.24,2.74,2.33,2.29,2.33,1.59,1.57,1.61,1.44,1.33,1.36,1.2,0.91,0.84,0.92,0.5,0.66,0.57,0.61,0.58,0.67,0.59,0.43,0.44,0.45,0.42,0.45,0.42,0.38,0.31,0.4,0.33,0.34,0.41,0.35,0.28,0.29,0.26,0.27,0.31,0.24,0.24,0.18,0.2,0.2,0.22,0.19,99.98
02/18/2022,14.05,11.62,10.03,8.52,5.95,4.47,7.41,0.0,3.3,2.78,2.44,2.26,2.32,1.59,1.65,1.59,1.39,1.31,1.34,1.18,0.89,0.83,0.9,0.51,0.61,0.55,0.61,0.57,0.67,0.59,0.45,0.45,0.43,0.43,0.46,0.41,0.36,0.34,0.39,0.35,0.33,0.4,0.36,0.28,0.3,0.27,0.28,0.31,0.24,0.24,0.19,0.2,0.21,0.21,0.17,99.98999999999998
02/21/2022,13.89,12.05,11.32,8.34,5.79,4.2,7.43,0.0,3.31,2.71,2.36,2.12,2.33,1.55,1.59,1.51,1.38,1.29,1.35,1.15,0.86,0.78,0.86,0.51,0.65,0.55,0.57,0.56,0.66,0.59,0.43,0.45,0.42,0.34,0.44,0.42,0.37,0.33,0.39,0.33,0.33,0.4,0.34,0.27,0.28,0.25,0.26,0.31,0.23,0.23,0.18,0.19,0.2,0.21,0.17,100.03
