,FTNT,MRVL,NVDA,MPWR,2454.TW,DDOG,NOKIA.HE,2330.TW,MSFT,TWLO,ANET,SWKS,DLR,FFIV,EQIX,ADI,STM.PA,AVGO,QRVO,IFX.DE,AKAM,VMW,INTC,XLNX,MU,CONE,JNPR,005930.KS,QCOM,6981.T,ERIC B.ST,DBX,DD,000660.KS,DISH,COR,CREE,TDC,CIEN,6976.T,PSTG,NEWR,2327.TW,LITE,CCOI,3105,MTSI,MP1.AX,XTSLA,USD,TWD,SUM
09/01/2021,5.26,3.54,3.63,3.34,2.99,3.1,3.02,3.0,2.92,2.73,2.8,2.55,2.57,2.5,2.54,2.43,2.51,2.5,2.44,2.45,2.23,2.15,2.21,2.3,2.15,2.0,2.08,1.93,1.94,1.88,1.99,1.86,1.69,1.65,1.43,1.36,1.26,1.2,1.13,1.01,1.08,0.88,0.8,0.87,0.64,0.54,0.36,0.34,0.12,0.13,0.0,100.03
09/02/2021,5.26,3.54,3.63,3.34,2.99,3.1,3.02,3.0,2.92,2.73,2.8,2.55,2.57,2.5,2.54,2.43,2.51,2.5,2.44,2.45,2.23,2.15,2.21,2.3,2.15,2.0,2.08,1.93,1.94,1.88,1.99,1.86,1.69,1.65,1.43,1.36,1.26,1.2,1.13,1.01,1.08,0.88,0.8,0.87,0.64,0.54,0.36,0.34,0.12,0.13,0.0,100.03
09/03/2021,5.21,3.51,3.57,3.32,3.01,3.15,2.95,3.08,2.92,2.68,2.76,2.53,2.61,2.46,2.58,2.36,2.53,2.49,2.39,2.44,2.24,2.15,2.21,2.28,2.13,2.04,2.03,1.99,1.95,1.92,1.96,1.88,1.65,1.7,1.43,1.4,1.22,1.21,1.12,1.05,1.15,0.88,0.8,0.87,0.65,0.55,0.35,0.35,0.12,0.14,0.0,99.97
09/06/2021,5.15,3.49,3.54,3.32,3.09,3.11,2.99,3.02,2.89,2.67,2.69,2.51,2.65,2.44,2.65,2.34,2.54,2.44,2.35,2.5,2.22,2.09,2.17,2.24,2.12,2.09,2.04,1.96,1.91,1.99,1.99,1.89,1.64,1.68,1.49,1.44,1.24,1.24,1.14,1.11,1.16,0.88,0.79,0.88,0.67,0.56,0.36,0.35,0.11,0.14,0.0,99.97
09/07/2021,5.23,3.48,3.6,3.33,3.04,3.12,2.96,3.08,2.88,2.72,2.68,2.5,2.64,2.43,2.67,2.33,2.53,2.46,2.33,2.48,2.22,2.07,2.16,2.26,2.11,2.12,2.01,1.97,1.9,2.0,1.97,1.9,1.59,1.69,1.48,1.44,1.22,1.24,1.11,1.12,1.17,0.89,0.79,0.88,0.66,0.58,0.36,0.35,0.23,0.02,0.0,100.0
09/08/2021,5.23,3.48,3.6,3.33,3.04,3.12,2.96,3.08,2.88,2.72,2.68,2.5,2.64,2.43,2.67,2.33,2.53,2.46,2.33,2.48,2.22,2.07,2.16,2.26,2.11,2.12,2.01,1.97,1.9,2.0,1.97,1.9,1.59,1.69,1.48,1.44,1.22,1.24,1.11,1.12,1.17,0.89,0.79,0.88,0.66,0.58,0.36,0.35,0.23,0.02,0.0,100.0
09/09/2021,5.23,3.48,3.59,3.33,2.97,3.12,2.95,3.14,2.88,2.72,2.67,2.49,2.64,2.43,2.66,2.32,2.54,2.46,2.33,2.5,2.22,2.07,2.16,2.25,2.11,2.11,2.01,1.99,1.9,2.03,1.96,1.9,1.59,1.68,1.47,1.44,1.22,1.24,1.11,1.17,1.17,0.89,0.8,0.88,0.66,0.59,0.36,0.35,0.23,0.02,0.0,100.03
09/10/2021,5.16,3.49,3.59,3.32,3.01,3.12,2.97,3.11,2.89,2.68,2.66,2.49,2.63,2.43,2.68,2.35,2.56,2.47,2.31,2.49,2.21,2.09,2.18,2.25,2.12,2.09,1.97,1.97,1.9,2.15,1.98,1.86,1.58,1.66,1.48,1.43,1.22,1.23,1.09,1.18,1.16,0.88,0.79,0.87,0.66,0.56,0.37,0.37,0.23,0.02,0.0,99.96
09/13/2021,5.16,3.53,3.55,3.29,3.02,3.24,2.96,3.11,2.89,2.66,2.68,2.46,2.52,2.47,2.62,2.46,2.54,2.48,2.29,2.5,2.25,2.11,2.19,2.26,2.12,2.06,1.98,1.95,1.89,2.14,1.98,1.91,1.58,1.64,1.45,1.42,1.24,1.25,1.1,1.18,1.18,0.87,0.8,0.89,0.65,0.55,0.36,0.34,0.23,0.02,0.0,100.02
09/14/2021,5.16,3.53,3.6,3.34,3.11,3.16,2.94,3.14,2.88,2.58,2.63,2.46,2.49,2.47,2.59,2.48,2.59,2.51,2.3,2.55,2.23,2.05,2.21,2.28,2.14,2.06,1.96,1.95,1.91,2.19,1.98,1.88,1.58,1.67,1.41,1.4,1.25,1.13,1.07,1.23,1.19,0.85,0.81,0.86,0.64,0.56,0.37,0.35,0.23,0.02,0.0,99.97
09/15/2021,5.16,3.53,3.6,3.34,3.11,3.16,2.94,3.14,2.88,2.58,2.63,2.46,2.49,2.47,2.59,2.48,2.59,2.51,2.3,2.55,2.23,2.05,2.21,2.28,2.14,2.06,1.96,1.95,1.91,2.19,1.98,1.88,1.58,1.67,1.41,1.4,1.25,1.13,1.07,1.23,1.19,0.85,0.81,0.86,0.64,0.56,0.37,0.35,0.23,0.02,0.0,99.97
