,3690.HK,D05.SI,BABA,DNB.OL,FERG.L,BAER.SW,JD,NTB,DANSKE.CO,SU.PA,1299.HK,005930.KS,8035.T,EDU,081660.KS,NPN.JO,BIDU,HOLI,IQ,TAL,SLGN,ROG.SW,NOAH,BNR.DE,NVSN.MX,TCOM,SLGN.1,1024.HK,DIDI,300888.SZ,PRX.AS,2318.HK,MTRO.L,n/a,TECK,SUM
07/27/2021,6.28,6.1,5.75,4.32,5.61,5.48,5.11,5.01,5.03,5.45,5.1,4.98,4.35,1.92,3.84,3.93,2.56,2.96,2.11,0.78,0.0,1.99,1.64,1.7,1.55,0.69,0.0,0.02,1.12,0.25,1.63,2.74,0.0,0.0,0.0,100.0
07/28/2021,6.28,6.1,5.75,4.32,5.61,5.48,5.11,5.01,5.03,5.45,5.1,4.98,4.35,1.92,3.84,3.93,2.56,2.96,2.11,0.78,0.0,1.99,1.64,1.7,1.55,0.69,0.0,0.02,1.12,0.25,1.63,2.74,0.0,0.0,0.0,100.0
07/29/2021,5.75,6.34,5.56,4.53,5.82,5.71,4.87,5.26,5.48,5.7,5.21,5.08,4.47,0.93,3.95,3.82,2.51,2.96,2.12,0.44,0.0,2.07,1.62,1.79,1.6,0.67,0.0,0.02,1.17,0.26,1.56,2.71,0.0,0.0,0.0,99.98000000000002
07/30/2021,4.9,6.53,5.59,4.53,5.99,5.8,4.94,5.33,5.57,5.84,5.19,5.27,4.68,0.77,4.11,3.67,2.52,3.0,2.16,0.0,0.0,2.15,1.54,1.85,1.66,0.71,0.0,0.02,1.21,0.27,1.5,2.69,0.0,0.0,0.0,99.98999999999998
08/02/2021,5.56,6.44,5.71,4.14,5.75,5.82,5.28,5.17,5.42,5.67,5.16,5.11,4.51,0.16,3.97,4.02,3.1,2.93,2.2,0.0,0.0,2.11,1.57,1.78,1.62,0.73,0.0,0.02,0.72,0.26,2.38,2.7,0.0,0.0,0.0,100.01
08/03/2021,5.56,6.44,5.71,4.14,5.75,5.82,5.28,5.17,5.42,5.67,5.16,5.11,4.51,0.16,3.97,4.02,3.1,2.93,2.2,0.0,0.0,2.11,1.57,1.78,1.62,0.73,0.0,0.02,0.72,0.26,2.38,2.7,0.0,0.0,0.0,100.01
08/04/2021,5.56,6.44,5.71,4.14,5.75,5.82,5.28,5.17,5.42,5.67,5.16,5.11,4.51,0.16,3.97,4.02,3.1,2.93,2.2,0.0,0.0,2.11,1.57,1.78,1.62,0.73,0.0,0.02,0.72,0.26,2.38,2.7,0.0,0.0,0.0,100.01
08/05/2021,5.56,6.44,5.71,4.14,5.75,5.82,5.28,5.17,5.42,5.67,5.16,5.11,4.51,0.16,3.97,4.02,3.1,2.93,2.2,0.0,0.0,2.11,1.57,1.78,1.62,0.73,0.0,0.02,0.72,0.26,2.38,2.7,0.0,0.0,0.0,100.01
08/06/2021,5.1,6.34,5.66,4.05,5.7,5.79,5.11,5.07,5.3,5.82,5.15,5.22,4.59,0.0,3.97,3.69,3.02,3.84,2.16,0.0,0.0,2.12,1.61,1.78,1.61,0.64,0.0,0.02,0.73,0.25,2.18,3.46,0.0,0.0,0.0,99.98
08/13/2021,5.63,6.46,5.48,4.05,5.52,5.76,5.11,5.04,5.23,5.81,5.05,5.02,4.49,0.0,4.09,3.97,2.98,3.69,2.0,0.0,0.0,2.1,1.65,1.74,1.57,0.63,0.0,0.01,0.65,0.26,2.33,3.7,0.0,0.0,0.0,100.02
08/16/2021,5.63,6.44,5.42,4.14,5.67,5.82,5.07,5.17,5.36,5.98,5.01,4.82,4.36,0.0,4.11,3.84,2.9,3.71,1.8,0.0,0.0,2.14,1.69,1.76,1.59,0.62,0.0,0.01,0.63,0.27,2.36,3.67,0.0,0.0,0.0,99.99
08/17/2021,5.58,6.43,5.36,4.2,5.73,5.96,5.05,5.22,5.44,6.1,5.11,4.65,4.33,0.0,4.03,3.85,2.78,3.65,1.81,0.0,0.0,2.17,1.67,1.78,1.62,0.65,0.0,0.01,0.6,0.28,2.31,3.64,0.0,0.0,0.0,100.01
08/18/2021,5.58,6.43,5.36,4.2,5.73,5.96,5.05,5.22,5.44,6.1,5.11,4.65,4.33,0.0,4.03,3.85,2.78,3.65,1.81,0.0,0.0,2.17,1.67,1.78,1.62,0.65,0.0,0.01,0.6,0.28,2.31,3.64,0.0,0.0,0.0,100.01
08/19/2021,5.36,6.44,5.25,4.22,5.75,6.01,4.87,5.26,5.45,6.17,5.23,4.7,4.44,0.0,4.08,1.76,2.71,3.71,1.73,0.0,0.0,2.21,1.65,1.8,1.65,0.65,0.0,0.01,0.59,0.28,4.27,3.76,0.0,0.0,0.0,100.01000000000002
09/06/2021,6.04,6.27,4.86,4.24,5.88,5.97,5.76,4.96,5.16,6.16,5.07,4.75,4.63,0.0,3.32,1.77,2.95,3.72,1.88,0.0,0.0,2.15,1.61,1.78,1.58,0.81,0.0,0.01,0.63,0.27,4.52,3.28,0.0,0.0,0.0,100.03
09/07/2021,5.84,6.29,4.82,4.26,5.88,5.89,5.74,5.01,5.11,6.15,5.08,4.81,4.74,0.0,3.4,1.77,2.96,3.73,1.89,0.0,0.0,2.15,1.66,1.77,1.57,0.81,0.0,0.01,0.65,0.0,4.48,3.27,0.27,0.0,0.0,100.01
09/08/2021,5.84,6.29,4.82,4.26,5.88,5.89,5.74,5.01,5.11,6.15,5.08,4.81,4.74,0.0,3.4,1.77,2.96,3.73,1.89,0.0,0.0,2.15,1.66,1.77,1.57,0.81,0.0,0.01,0.65,0.0,4.48,3.27,0.27,0.0,0.0,100.01
09/09/2021,5.84,6.29,4.82,4.26,5.88,5.89,5.74,5.01,5.11,6.15,5.08,4.81,4.74,0.0,3.4,1.77,2.96,3.73,1.89,0.0,0.0,2.15,1.66,1.77,1.57,0.81,0.0,0.01,0.65,0.0,4.48,3.27,0.27,0.0,0.0,100.01
09/10/2021,6.05,6.24,4.89,4.22,5.81,5.88,5.9,4.87,5.03,6.07,5.13,4.71,4.81,0.0,3.33,1.83,2.99,3.73,1.91,0.0,0.0,2.09,1.65,1.76,1.51,0.82,0.0,0.02,0.68,0.0,4.56,3.27,0.25,0.0,0.0,100.01
09/13/2021,5.96,6.35,4.76,4.29,5.89,5.98,5.81,4.9,5.12,6.08,5.15,4.71,5.07,0.0,3.33,1.7,2.99,3.77,1.87,0.0,0.0,2.05,1.65,1.78,1.49,0.83,0.0,0.02,0.65,0.0,4.32,3.24,0.27,0.0,0.0,100.03
09/14/2021,6.2,6.37,4.77,4.25,5.86,5.9,5.81,4.86,5.02,6.1,5.24,4.7,5.29,0.0,3.3,1.66,2.99,3.73,1.83,0.0,0.0,2.02,1.64,1.78,1.47,0.8,0.0,0.02,0.61,0.0,4.27,3.25,0.26,0.0,0.0,100.0
09/15/2021,6.2,6.37,4.77,4.25,5.86,5.9,5.81,4.86,5.02,6.1,5.24,4.7,5.29,0.0,3.3,1.66,2.99,3.73,1.83,0.0,0.0,2.02,1.64,1.78,1.47,0.8,0.0,0.02,0.61,0.0,4.27,3.25,0.26,0.0,0.0,100.0
09/16/2021,5.93,6.35,4.7,4.28,5.91,5.96,5.79,4.89,5.11,6.13,5.19,4.74,5.37,0.0,3.34,1.66,2.98,3.97,1.77,0.0,0.0,2.0,1.64,1.77,1.47,0.76,0.0,0.02,0.62,0.0,4.15,3.21,0.26,0.0,0.0,99.97
09/17/2021,5.91,6.4,4.59,4.28,5.91,6.0,5.67,4.83,5.06,6.22,5.2,4.82,5.46,0.0,3.44,1.66,2.96,4.01,1.73,0.0,0.0,2.05,1.57,1.8,1.48,0.74,0.0,0.02,0.61,0.0,4.15,3.15,0.26,0.0,0.0,99.98
09/20/2021,5.68,6.42,4.53,4.33,6.03,6.02,5.69,4.95,5.07,6.38,4.95,4.84,5.43,0.0,3.51,1.64,2.97,4.08,1.73,0.0,0.0,2.05,1.51,1.79,1.48,0.76,0.0,0.02,0.6,0.0,4.11,3.18,0.27,0.0,0.0,100.02
09/21/2021,5.89,6.45,4.65,4.27,5.92,5.94,5.74,4.97,5.09,6.21,4.96,4.91,5.5,0.0,3.45,1.65,3.03,4.11,1.7,0.0,0.0,2.03,1.54,1.76,1.47,0.77,0.0,0.02,0.61,0.0,4.05,3.03,0.27,0.0,0.0,99.98999999999998
09/22/2021,5.89,6.45,4.65,4.27,5.92,5.94,5.74,4.97,5.09,6.21,4.96,4.91,5.5,0.0,3.45,1.65,3.03,4.11,1.7,0.0,0.0,2.03,1.54,1.76,1.47,0.77,0.0,0.02,0.61,0.0,4.05,3.03,0.27,0.0,0.0,99.98999999999998
09/23/2021,5.89,6.45,4.65,4.27,5.92,5.94,5.74,4.97,5.09,6.21,4.96,4.91,5.5,0.0,3.45,1.65,3.03,4.11,1.7,0.0,0.0,2.03,1.54,1.76,1.47,0.77,0.0,0.02,0.61,0.0,4.05,3.03,0.27,0.0,0.0,99.98999999999998
09/24/2021,5.78,6.47,4.48,4.33,5.99,5.78,5.57,4.98,5.06,6.17,5.12,5.03,5.54,0.0,3.54,1.68,3.0,4.23,1.65,0.0,0.0,2.08,1.47,1.78,1.5,0.77,0.0,0.02,0.57,0.0,4.12,2.99,0.26,0.02,0.0,99.98
09/28/2021,6.05,6.31,4.27,4.51,6.0,5.89,5.53,5.22,5.23,6.14,4.92,4.96,5.43,0.0,3.46,1.7,2.96,4.14,1.57,0.0,0.0,2.06,1.54,1.75,1.48,0.78,0.0,0.01,0.59,0.0,4.17,3.04,0.28,0.0,0.0,99.99
09/29/2021,6.05,6.31,4.27,4.51,6.0,5.89,5.53,5.22,5.23,6.14,4.92,4.96,5.43,0.0,3.46,1.7,2.96,4.14,1.57,0.0,0.0,2.06,1.54,1.75,1.48,0.78,0.0,0.01,0.59,0.0,4.17,3.04,0.28,0.0,0.0,99.99
09/30/2021,6.05,6.31,4.27,4.51,6.0,5.89,5.53,5.22,5.23,6.14,4.92,4.96,5.43,0.0,3.46,1.7,2.96,4.14,1.57,0.0,0.0,2.06,1.54,1.75,1.48,0.78,0.0,0.01,0.59,0.0,4.17,3.04,0.28,0.0,0.0,99.99
10/01/2021,6.08,6.37,4.37,4.53,5.92,5.94,5.65,5.34,5.33,5.98,4.88,4.93,5.35,0.0,3.36,1.69,2.93,4.02,1.6,0.0,0.0,2.01,1.53,1.73,1.46,0.8,0.0,0.01,0.61,0.0,4.11,3.05,0.28,0.0,0.16,100.02
10/04/2021,6.25,6.5,4.39,4.6,4.84,6.04,5.42,5.64,5.3,5.94,5.12,4.98,5.1,0.0,3.34,1.75,2.9,4.28,1.54,0.0,0.0,2.04,1.52,1.71,1.5,0.81,0.0,0.02,0.59,0.0,4.14,3.09,0.28,0.0,0.36,99.99
10/05/2021,6.16,6.6,4.31,4.77,4.83,6.05,5.31,5.77,5.25,5.89,5.12,4.96,5.0,0.0,3.29,1.73,2.91,4.34,1.56,0.0,0.0,2.11,1.53,1.71,1.49,0.85,0.0,0.01,0.57,0.0,4.08,3.02,0.3,0.0,0.48,100.0
10/06/2021,6.16,6.6,4.31,4.77,4.83,6.05,5.31,5.77,5.25,5.89,5.12,4.96,5.0,0.0,3.29,1.73,2.91,4.34,1.56,0.0,0.0,2.11,1.53,1.71,1.49,0.85,0.0,0.01,0.57,0.0,4.08,3.02,0.3,0.0,0.48,100.0
10/07/2021,5.94,6.68,4.23,4.88,4.89,6.08,5.35,5.82,5.35,5.9,5.15,5.02,4.75,0.0,3.31,1.74,2.85,4.39,1.48,0.0,0.0,2.18,1.51,1.75,1.52,0.84,0.0,0.01,0.56,0.0,4.04,2.96,0.31,0.0,0.52,100.01
10/08/2021,6.01,6.61,4.28,4.87,4.92,6.05,5.44,5.88,5.29,5.89,5.2,4.94,4.73,0.0,3.27,1.75,2.88,4.36,1.5,0.0,0.0,2.12,1.52,1.75,1.48,0.86,0.0,0.01,0.56,0.0,4.07,2.91,0.3,0.0,0.51,99.96
10/11/2021,6.17,6.49,4.57,4.82,4.78,6.05,5.67,5.8,5.23,5.76,5.11,4.75,4.53,0.0,3.14,1.77,2.94,4.24,1.6,0.0,0.0,2.13,1.53,1.71,1.46,0.84,0.0,0.02,0.58,0.0,4.22,3.14,0.32,0.0,0.62,99.98999999999998
10/12/2021,6.25,6.45,4.69,4.81,4.78,6.04,5.8,5.74,5.14,5.63,5.05,4.69,4.62,0.0,3.08,1.73,3.02,4.17,1.71,0.0,0.0,2.15,1.5,1.7,1.46,0.84,0.0,0.01,0.6,0.0,4.16,3.2,0.31,0.0,0.63,99.96
10/13/2021,6.25,6.45,4.69,4.81,4.78,6.04,5.8,5.74,5.14,5.63,5.05,4.69,4.62,0.0,3.08,1.73,3.02,4.17,1.71,0.0,0.0,2.15,1.5,1.7,1.46,0.84,0.0,0.01,0.6,0.0,4.16,3.2,0.31,0.0,0.63,99.96
