,MARA,SQ,COIN,HUT.TO,MSTR,SI,HIVE.V,VYGR.CN,RIOT,BITF.V,GLXY.TO,TSM,CAN,NB2.DE,BTBT,ARB.L,EBON,863.HK,CS.ST,EQOS,DMGI.V,1611.HK,BIGG.CN,FTFT,ADE.DE,n/a,CIFR,VOYG.TO,BTCM,CLSK,GBOX,BKKT,SUM
10/11/2021,7.72,7.93,8.19,4.7,7.24,8.48,4.59,0.0,5.55,4.17,4.31,0.0,3.73,3.57,3.32,4.35,1.88,1.68,1.51,0.96,1.16,0.93,0.0,0.0,0.0,-0.03,1.98,3.75,3.89,3.32,1.13,0.0,100.01
10/12/2021,7.9,7.98,8.19,4.9,7.69,8.56,4.4,0.0,5.43,4.17,4.31,0.0,3.56,3.7,3.39,4.03,1.74,1.8,1.4,0.83,1.14,0.9,0.0,0.0,0.0,-0.03,1.6,3.8,3.84,3.57,1.21,0.0,100.01
10/13/2021,7.9,7.98,8.19,4.9,7.69,8.56,4.4,0.0,5.43,4.17,4.31,0.0,3.56,3.7,3.39,4.03,1.74,1.8,1.4,0.83,1.14,0.9,0.0,0.0,0.0,-0.03,1.6,3.8,3.84,3.57,1.21,0.0,100.01
10/14/2021,7.9,7.98,8.19,4.9,7.69,8.56,4.4,0.0,5.43,4.17,4.31,0.0,3.56,3.7,3.39,4.03,1.74,1.8,1.4,0.83,1.14,0.9,0.0,0.0,0.0,-0.03,1.6,3.8,3.84,3.57,1.21,0.0,100.01
10/15/2021,8.45,7.65,8.33,4.94,7.81,8.28,4.61,0.0,5.72,4.2,4.23,0.0,3.75,3.65,3.49,3.74,1.68,1.75,1.42,0.83,1.12,0.87,0.0,0.0,0.0,-0.03,1.22,3.74,3.89,3.56,1.12,0.0,100.02
10/18/2021,8.75,8.11,8.14,5.07,7.87,8.25,4.32,0.0,5.39,4.08,3.97,0.0,3.61,4.09,3.29,3.89,1.73,1.74,1.42,0.85,1.12,0.9,0.0,0.0,0.0,0.07,1.12,3.56,3.82,3.78,1.06,0.0,100.0
10/19/2021,9.24,7.88,8.76,5.42,7.69,7.93,4.46,0.0,5.54,4.13,3.76,0.0,3.49,3.34,3.17,3.96,1.8,1.7,1.47,0.88,1.05,0.89,0.0,0.0,0.0,0.14,1.34,3.41,3.78,3.72,1.07,0.0,100.02
10/20/2021,9.24,7.88,8.76,5.42,7.69,7.93,4.46,0.0,5.54,4.13,3.76,0.0,3.49,3.34,3.17,3.96,1.8,1.7,1.47,0.88,1.05,0.89,0.0,0.0,0.0,0.14,1.34,3.41,3.78,3.72,1.07,0.0,100.02
10/21/2021,9.54,7.83,8.98,5.21,7.44,7.72,4.69,0.0,5.81,4.22,3.57,0.0,3.47,3.29,3.04,4.09,1.75,1.72,1.45,0.87,1.05,0.87,0.0,0.0,0.0,0.1,1.48,3.29,3.71,3.76,1.06,0.0,100.01
10/22/2021,9.88,7.8,9.24,5.15,7.22,6.6,5.03,0.0,5.94,4.23,3.67,0.0,3.84,3.27,3.11,4.12,1.75,1.61,1.39,0.91,1.07,0.88,0.0,0.0,0.0,0.07,1.38,3.36,3.67,3.81,1.01,0.0,100.01
10/25/2021,9.31,7.49,9.11,5.08,7.21,6.81,5.25,0.0,5.8,4.14,3.74,0.0,4.33,3.31,3.1,4.05,1.86,1.5,1.38,0.92,1.01,0.87,0.0,0.0,0.0,0.07,1.55,3.5,3.74,3.86,1.0,0.0,99.99
10/26/2021,9.16,7.98,8.91,4.94,7.18,7.02,5.1,0.0,5.57,4.01,4.0,0.0,4.43,3.24,2.96,4.27,1.85,1.58,1.36,0.88,0.98,0.92,0.0,0.0,0.0,0.07,1.51,3.65,3.45,3.96,1.03,0.0,100.01
10/27/2021,9.16,7.98,8.91,4.94,7.18,7.02,5.1,0.0,5.57,4.01,4.0,0.0,4.43,3.24,2.96,4.27,1.85,1.58,1.36,0.88,0.98,0.92,0.0,0.0,0.0,0.07,1.51,3.65,3.45,3.96,1.03,0.0,100.01
10/28/2021,9.16,7.98,8.91,4.94,7.18,7.02,5.1,0.0,5.57,4.01,4.0,0.0,4.43,3.24,2.96,4.27,1.85,1.58,1.36,0.88,0.98,0.92,0.0,0.0,0.0,0.07,1.51,3.65,3.45,3.96,1.03,0.0,100.01
10/29/2021,9.6,7.7,9.44,5.38,7.1,7.1,5.16,0.0,5.47,3.85,4.38,0.0,4.6,3.07,2.63,3.93,1.77,1.52,1.34,0.98,0.94,0.82,0.0,0.0,0.0,0.07,1.59,3.23,3.3,4.04,0.99,0.0,99.99999999999996
11/01/2021,8.65,7.51,9.04,5.31,6.68,7.09,4.76,0.0,4.97,3.68,5.52,0.0,4.3,3.2,2.79,4.34,1.8,1.49,1.24,1.03,0.88,0.75,0.0,0.0,0.0,0.69,1.34,4.75,2.98,4.22,1.0,0.0,100.01
11/02/2021,8.8,7.17,8.88,5.72,6.53,6.94,4.48,0.0,4.82,3.49,5.19,0.0,4.09,3.16,3.87,4.15,1.76,1.61,1.12,1.49,0.84,0.74,0.0,0.0,0.0,0.67,1.34,4.94,2.9,4.25,1.02,0.0,99.97
11/03/2021,8.8,7.17,8.88,5.72,6.53,6.94,4.48,0.0,4.82,3.49,5.19,0.0,4.09,3.16,3.87,4.15,1.76,1.61,1.12,1.49,0.84,0.74,0.0,0.0,0.0,0.67,1.34,4.94,2.9,4.25,1.02,0.0,99.97
11/04/2021,8.8,7.17,8.88,5.72,6.53,6.94,4.48,0.0,4.82,3.49,5.19,0.0,4.09,3.16,3.87,4.15,1.76,1.61,1.12,1.49,0.84,0.74,0.0,0.0,0.0,0.67,1.34,4.94,2.9,4.25,1.02,0.0,99.97
11/05/2021,8.4,6.46,8.26,5.66,6.04,7.57,4.32,0.0,4.47,3.41,4.61,0.0,3.84,2.74,3.02,4.17,1.6,1.41,1.02,1.18,0.73,0.64,0.0,0.0,0.0,0.63,1.51,4.28,2.68,4.09,0.94,6.32,100.0
11/08/2021,9.12,5.88,8.07,5.56,6.16,8.06,4.7,0.0,4.89,4.14,4.89,0.0,3.74,2.66,2.79,3.71,1.49,1.36,1.2,1.05,0.67,0.58,0.0,0.0,0.0,0.84,1.22,4.7,2.47,3.89,0.86,5.3,100.0
11/09/2021,9.14,5.69,7.96,5.54,6.2,8.1,4.76,0.0,4.74,4.22,5.23,0.0,3.54,2.85,2.71,3.68,1.44,1.38,1.3,1.09,0.71,0.59,0.0,0.0,0.0,0.85,1.29,4.68,2.42,3.65,0.86,5.38,100.0
11/10/2021,9.14,5.69,7.96,5.54,6.2,8.1,4.76,0.0,4.74,4.22,5.23,0.0,3.54,2.85,2.71,3.68,1.44,1.38,1.3,1.09,0.71,0.59,0.0,0.0,0.0,0.85,1.29,4.68,2.42,3.65,0.86,5.38,100.0
11/11/2021,9.14,5.69,7.96,5.54,6.2,8.1,4.76,0.0,4.74,4.22,5.23,0.0,3.54,2.85,2.71,3.68,1.44,1.38,1.3,1.09,0.71,0.59,0.0,0.0,0.0,0.85,1.29,4.68,2.42,3.65,0.86,5.38,100.0
11/12/2021,10.11,5.32,7.84,5.7,6.27,7.67,4.91,0.0,5.18,4.43,5.2,0.0,3.92,2.76,2.69,3.74,1.46,1.29,1.28,0.98,0.79,0.56,0.0,0.0,0.0,-0.01,1.26,4.94,2.36,3.73,0.79,4.81,99.98
11/15/2021,10.11,5.32,7.84,5.7,6.27,7.67,4.91,0.0,5.18,4.43,5.2,0.0,3.92,2.76,2.69,3.74,1.46,1.29,1.28,0.98,0.79,0.56,0.0,0.0,0.0,-0.01,1.26,4.94,2.36,3.73,0.79,4.81,99.98
11/16/2021,10.11,5.32,7.84,5.7,6.27,7.67,4.91,0.0,5.18,4.43,5.2,0.0,3.92,2.76,2.69,3.74,1.46,1.29,1.28,0.98,0.79,0.56,0.0,0.0,0.0,-0.01,1.26,4.94,2.36,3.73,0.79,4.81,99.98
11/17/2021,10.11,5.32,7.84,5.7,6.27,7.67,4.91,0.0,5.18,4.43,5.2,0.0,3.92,2.76,2.69,3.74,1.46,1.29,1.28,0.98,0.79,0.56,0.0,0.0,0.0,-0.01,1.26,4.94,2.36,3.73,0.79,4.81,99.98
11/18/2021,10.11,5.32,7.84,5.7,6.27,7.67,4.91,0.0,5.18,4.43,5.2,0.0,3.92,2.76,2.69,3.74,1.46,1.29,1.28,0.98,0.79,0.56,0.0,0.0,0.0,-0.01,1.26,4.94,2.36,3.73,0.79,4.81,99.98
11/25/2021,7.96,5.68,8.36,5.31,6.01,8.23,4.69,0.0,5.65,4.84,4.96,0.0,4.07,4.72,2.62,4.25,1.25,1.3,1.27,0.91,0.91,0.6,0.0,0.0,0.0,-0.02,1.35,5.58,2.22,3.52,0.62,3.15,100.01
11/26/2021,8.2,5.54,8.23,5.32,5.94,8.32,4.77,0.0,5.98,5.12,4.99,0.0,4.0,4.58,2.55,4.29,1.22,1.27,1.18,0.85,0.9,0.59,0.0,0.0,0.0,-0.02,1.27,5.5,2.23,3.5,0.62,3.06,100.0
11/29/2021,8.16,5.62,8.03,5.2,5.92,8.77,4.64,0.0,6.06,4.95,4.84,0.0,3.94,4.59,2.52,4.58,1.26,1.25,1.18,0.89,0.9,0.58,0.0,0.0,0.0,-0.02,1.23,5.48,2.18,3.51,0.65,3.1,100.01
11/30/2021,8.09,5.84,8.23,5.35,5.91,8.72,4.58,0.0,6.04,4.75,4.91,0.0,3.97,4.55,2.45,4.59,1.21,1.27,1.22,0.87,0.93,0.62,0.0,0.0,0.0,-0.02,1.25,5.28,2.23,3.54,0.66,2.96,100.0
12/01/2021,8.09,5.84,8.23,5.35,5.91,8.72,4.58,0.0,6.04,4.75,4.91,0.0,3.97,4.55,2.45,4.59,1.21,1.27,1.22,0.87,0.93,0.62,0.0,0.0,0.0,-0.02,1.25,5.28,2.23,3.54,0.66,2.96,100.0
12/02/2021,8.09,5.84,8.23,5.35,5.91,8.72,4.58,0.0,6.04,4.75,4.91,0.0,3.97,4.55,2.45,4.59,1.21,1.27,1.22,0.87,0.93,0.62,0.0,0.0,0.0,-0.02,1.25,5.28,2.23,3.54,0.66,2.96,100.0
12/06/2021,8.37,5.48,8.01,4.77,6.32,8.71,4.4,0.0,5.91,4.97,4.27,0.0,4.11,5.58,2.65,4.48,1.18,1.34,1.28,0.87,0.86,0.59,0.0,0.0,0.0,-0.02,1.31,5.32,2.46,3.4,0.61,2.75,99.98
12/07/2021,8.37,5.48,8.01,4.77,6.32,8.71,4.4,0.0,5.91,4.97,4.27,0.0,4.11,5.58,2.65,4.48,1.18,1.34,1.28,0.87,0.86,0.59,0.0,0.0,0.0,-0.02,1.31,5.32,2.46,3.4,0.61,2.75,99.98
12/08/2021,8.37,5.48,8.01,4.77,6.32,8.71,4.4,0.0,5.91,4.97,4.27,0.0,4.11,5.58,2.65,4.48,1.18,1.34,1.28,0.87,0.86,0.59,0.0,0.0,0.0,-0.02,1.31,5.32,2.46,3.4,0.61,2.75,99.98
12/09/2021,8.37,5.48,8.01,4.77,6.32,8.71,4.4,0.0,5.91,4.97,4.27,0.0,4.11,5.58,2.65,4.48,1.18,1.34,1.28,0.87,0.86,0.59,0.0,0.0,0.0,-0.02,1.31,5.32,2.46,3.4,0.61,2.75,99.98
12/10/2021,8.37,5.48,8.01,4.77,6.32,8.71,4.4,0.0,5.91,4.97,4.27,0.0,4.11,5.58,2.65,4.48,1.18,1.34,1.28,0.87,0.86,0.59,0.0,0.0,0.0,-0.02,1.31,5.32,2.46,3.4,0.61,2.75,99.98
12/13/2021,8.37,5.48,8.01,4.77,6.32,8.71,4.4,0.0,5.91,4.97,4.27,0.0,4.11,5.58,2.65,4.48,1.18,1.34,1.28,0.87,0.86,0.59,0.0,0.0,0.0,-0.02,1.31,5.32,2.46,3.4,0.61,2.75,99.98
12/14/2021,8.37,5.48,8.01,4.77,6.32,8.71,4.4,0.0,5.91,4.97,4.27,0.0,4.11,5.58,2.65,4.48,1.18,1.34,1.28,0.87,0.86,0.59,0.0,0.0,0.0,-0.02,1.31,5.32,2.46,3.4,0.61,2.75,99.98
12/15/2021,8.37,5.48,8.01,4.77,6.32,8.71,4.4,0.0,5.91,4.97,4.27,0.0,4.11,5.58,2.65,4.48,1.18,1.34,1.28,0.87,0.86,0.59,0.0,0.0,0.0,-0.02,1.31,5.32,2.46,3.4,0.61,2.75,99.97999999999999
