,SPY,SPDW,SPEM,SPIB,SPLB,SPIP,SPSM,JNK,SPEU,SPTL,PDBC,GWX,SPAB,XLK,MDY,DGL,XLB,GVMXX,SPDR S&P Emerging Markets Small Cap ETF,RWR,XLI,RWX,EBND,XLE,U.S. Dollar,EWX,SPDR® Dow Jones International RelEst ETF,State Street Instl US Govt MMkt Premier,n/a,XLP,XLC,WIP,IBND,XLF,SUM
07/23/2021,21.03,15.27,6.01,5.1,5.14,5.17,5.87,1.51,3.92,3.23,2.93,2.96,8.18,2.02,1.96,0.0,0.0,1.81,1.02,1.03,2.01,0.98,1.01,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/26/2021,21.07,15.39,6.01,5.06,5.1,5.13,5.8,1.51,3.96,3.19,3.0,2.99,8.11,2.04,1.94,0.0,0.0,1.79,1.02,1.02,2.01,0.98,1.01,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/27/2021,21.22,15.43,5.91,5.04,5.07,5.13,5.82,1.5,3.99,3.16,3.0,2.99,8.07,2.05,1.95,0.0,0.0,1.79,0.0,1.02,2.01,0.0,1.0,1.85,0.0,1.01,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/28/2021,21.22,15.43,5.91,5.04,5.07,5.13,5.82,1.5,3.99,3.16,3.0,2.99,8.07,2.05,1.95,0.0,0.0,0.0,0.0,1.02,2.01,0.0,1.0,1.85,0.0,1.01,0.98,1.79,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/29/2021,21.25,15.42,5.8,5.03,5.06,5.15,5.87,1.5,4.0,3.15,3.02,3.0,8.06,2.05,1.95,0.0,0.0,1.79,1.0,1.02,2.0,0.98,1.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/30/2021,21.23,15.41,5.7,5.05,5.11,5.17,5.84,1.51,4.01,3.2,3.02,3.0,8.1,2.04,1.95,0.0,0.0,1.79,0.0,1.03,2.0,0.0,1.01,1.88,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
08/02/2021,22.92,16.54,6.04,5.05,5.11,5.03,6.01,1.5,4.02,3.03,3.03,3.01,5.02,2.03,1.96,0.0,0.0,1.79,0.0,1.02,1.99,0.0,1.01,1.89,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/03/2021,22.88,16.57,6.03,5.01,5.05,4.99,6.05,1.5,4.02,3.0,3.06,3.01,4.98,2.03,1.97,0.0,0.0,1.94,1.0,1.02,1.99,0.99,1.01,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,22.83,16.51,6.01,5.03,5.07,5.01,6.04,1.5,4.02,3.02,3.05,3.0,5.01,2.03,1.97,0.0,0.0,2.02,1.0,1.02,2.0,0.99,1.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,22.79,16.59,6.06,5.03,5.08,4.99,6.01,1.49,4.02,3.04,3.01,3.01,5.01,2.02,1.96,0.0,0.0,2.02,1.0,1.02,1.98,0.99,1.0,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/06/2021,22.85,16.61,6.04,5.01,5.07,4.97,6.03,1.48,4.04,3.03,2.99,3.01,4.99,2.03,1.96,0.0,0.0,2.01,1.0,1.02,2.0,0.99,1.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
08/10/2021,22.96,16.63,6.01,4.99,4.98,4.94,6.09,1.48,4.04,2.98,2.96,3.0,4.96,2.04,1.97,0.0,0.0,2.1,0.0,1.02,1.99,0.99,0.0,1.87,0.0,0.99,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,99.97999999999998
08/16/2021,24.54,16.01,4.98,4.97,4.97,4.98,6.54,1.49,2.51,2.96,3.05,3.01,4.97,1.99,2.01,0.0,0.0,2.03,0.0,0.0,0.0,1.99,1.0,0.0,0.0,0.99,0.0,0.0,0.99,2.01,2.0,0.0,0.0,0.0,99.98999999999997
08/17/2021,24.52,16.04,4.96,4.97,5.01,4.98,6.48,1.49,2.52,3.0,3.03,3.0,4.97,1.99,2.0,0.0,0.0,2.03,0.0,0.99,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.98,2.02,2.0,0.0,0.0,0.0,99.98
08/18/2021,24.52,16.04,4.96,4.97,5.01,4.98,6.48,1.49,2.52,3.0,3.03,3.0,4.97,1.99,2.0,0.0,0.0,2.03,0.0,0.99,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.98,2.02,2.0,0.0,0.0,0.0,99.98
08/24/2021,24.68,15.82,4.83,5.03,5.1,5.02,6.42,1.51,2.5,3.07,2.88,2.93,5.05,2.03,1.98,0.0,0.0,2.12,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.97,2.05,2.01,0.0,0.0,0.0,100.0
09/07/2021,24.61,16.07,5.04,4.91,4.94,4.9,6.5,1.48,2.49,2.96,3.03,3.07,4.91,2.02,2.0,0.0,0.0,2.03,0.0,1.02,0.0,1.99,0.99,0.0,0.0,1.0,0.0,0.0,0.0,2.01,2.03,0.0,0.0,0.0,100.0
09/08/2021,24.61,16.07,5.04,4.91,4.94,4.9,6.5,1.48,2.49,2.96,3.03,3.07,4.91,2.02,2.0,0.0,0.0,2.03,0.0,1.02,0.0,1.99,0.99,0.0,0.0,1.0,0.0,0.0,0.0,2.01,2.03,0.0,0.0,0.0,100.0
09/09/2021,24.61,16.07,5.04,4.91,4.94,4.9,6.5,1.48,2.49,2.96,3.03,3.07,4.91,2.02,2.0,0.0,0.0,2.03,0.0,1.02,0.0,1.99,0.99,0.0,0.0,1.0,0.0,0.0,0.0,2.01,2.03,0.0,0.0,0.0,100.0
09/10/2021,24.61,16.1,5.1,4.92,4.93,4.9,6.46,1.48,2.49,2.94,3.01,3.07,4.92,2.03,1.98,0.0,0.0,2.04,0.0,1.01,0.0,1.98,0.99,0.0,0.0,1.0,0.0,0.0,0.0,1.99,2.04,0.0,0.0,0.0,99.99
09/13/2021,24.54,16.0,5.04,4.95,5.02,4.96,6.41,1.49,2.46,3.0,3.02,3.06,4.95,2.02,1.98,0.0,0.0,2.12,0.0,0.99,0.0,1.96,0.99,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.02,0.0,0.0,0.0,99.98
09/14/2021,24.46,16.03,5.07,4.97,5.02,4.97,6.37,1.5,2.46,2.99,3.07,3.06,4.97,2.01,1.96,0.0,0.0,2.14,0.0,0.98,0.0,1.96,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.02,0.0,0.0,0.0,100.01
09/15/2021,24.42,16.03,5.03,5.02,5.0,5.01,6.46,0.5,2.5,3.99,3.05,3.01,5.01,1.99,1.99,0.0,1.01,2.01,0.0,0.99,0.0,1.99,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,100.01000000000002
09/16/2021,24.38,16.09,5.02,5.0,5.0,4.99,6.48,0.5,2.51,3.99,3.06,3.02,5.0,1.98,1.99,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.01,0.0,0.0,0.0,1.0,1.99,0.0,0.0,0.0,100.01
09/17/2021,24.32,16.07,4.99,5.02,5.04,5.01,6.42,0.5,2.51,4.05,3.07,3.02,5.03,1.99,1.98,0.0,0.99,1.88,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.01,0.0,0.0,0.13,1.0,1.98,0.0,0.0,0.0,100.01000000000002
09/20/2021,24.44,16.07,4.94,5.0,5.02,4.99,6.46,0.5,2.5,4.01,3.1,3.02,5.0,2.0,1.99,0.0,0.99,1.87,0.0,1.0,0.0,1.99,1.0,0.0,0.0,1.0,0.0,0.0,0.12,0.99,1.99,0.0,0.0,0.0,99.99
09/21/2021,24.33,16.01,4.95,5.04,5.04,5.02,6.51,0.51,2.49,4.02,3.1,3.03,5.04,1.99,1.99,0.0,0.98,2.01,0.0,0.99,0.0,1.98,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.98,0.0,0.0,0.0,100.01
09/22/2021,24.33,16.01,4.95,5.04,5.04,5.02,6.51,0.51,2.49,4.02,3.1,3.03,5.04,1.99,1.99,0.0,0.98,1.88,0.0,0.99,0.0,1.98,1.0,0.0,0.0,1.0,0.0,0.0,0.12,1.0,1.98,0.0,0.0,0.0,100.0
09/23/2021,24.24,15.9,4.89,5.11,5.13,5.09,6.45,0.51,2.46,4.13,3.1,3.0,5.12,1.97,1.98,0.0,0.97,1.91,0.0,0.99,0.0,1.96,1.01,0.0,0.0,0.99,0.0,0.0,0.13,0.99,1.96,0.0,0.0,0.0,99.99
09/24/2021,24.18,16.01,4.92,5.1,5.12,5.08,6.44,0.51,2.48,4.11,3.09,3.01,5.11,1.97,1.98,0.0,0.96,1.93,0.0,0.99,0.0,1.98,1.01,0.0,0.0,0.99,0.0,0.0,0.08,0.99,1.95,0.0,0.0,0.0,99.99
09/27/2021,24.35,16.07,4.94,5.02,5.02,4.98,6.56,0.5,2.5,3.99,3.14,3.01,5.01,2.0,2.0,0.0,0.97,2.05,0.0,0.99,0.0,1.98,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.98,1.94,0.0,0.0,0.0,99.99
09/28/2021,24.56,16.03,4.92,5.05,5.04,5.0,6.59,0.51,2.49,3.98,3.18,3.01,5.04,2.01,2.01,0.0,0.98,1.71,0.0,0.98,0.0,1.96,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.99,1.97,0.0,0.0,0.0,100.0
09/29/2021,24.56,16.03,4.92,5.05,5.04,5.0,6.59,0.51,2.49,3.98,3.18,3.01,5.04,2.01,2.01,0.0,0.98,1.71,0.0,0.98,0.0,1.96,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.99,1.97,0.0,0.0,0.0,100.0
09/30/2021,21.65,15.83,5.13,5.15,5.13,5.15,6.81,1.54,1.53,4.07,3.16,3.07,6.68,2.04,2.08,0.0,1.04,1.75,0.0,1.01,0.0,2.04,1.02,0.0,0.0,1.02,0.0,0.0,0.0,1.03,2.08,0.0,0.0,0.0,100.01000000000002
10/01/2021,21.65,15.83,5.13,5.15,5.13,5.15,6.81,1.54,1.53,4.07,3.16,3.07,6.68,2.04,2.08,0.0,1.04,1.75,0.0,1.01,0.0,2.04,1.02,0.0,0.0,1.02,0.0,0.0,0.0,1.03,2.08,0.0,0.0,0.0,100.01000000000002
10/04/2021,20.83,15.27,5.04,5.09,4.97,5.1,6.58,1.53,1.47,3.99,3.13,2.96,6.61,1.95,2.0,0.0,1.0,4.51,0.0,0.99,0.0,1.96,1.01,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.01,0.0,0.0,0.0,100.0
10/05/2021,21.0,15.26,5.02,5.09,5.0,5.08,6.68,1.52,1.47,4.0,3.16,2.96,6.59,1.98,2.02,0.0,1.01,4.14,0.0,1.0,0.0,1.96,1.01,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.03,0.0,0.0,0.0,99.98
10/06/2021,21.0,15.26,5.02,5.09,5.0,5.08,6.68,1.52,1.47,4.0,3.16,2.96,6.59,1.98,2.02,0.0,1.01,4.14,0.0,1.0,0.0,1.96,1.01,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.03,0.0,0.0,0.0,99.98
10/07/2021,20.88,15.22,4.98,5.12,5.02,5.12,6.7,1.52,1.48,4.02,3.23,2.94,6.63,1.94,2.03,0.0,1.01,4.17,0.0,1.01,0.0,1.97,1.01,0.0,0.0,0.99,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,99.99
10/08/2021,20.93,15.18,4.99,5.07,4.95,5.09,6.67,1.51,1.47,3.95,3.25,2.92,6.57,1.96,2.01,0.0,1.02,4.49,0.0,1.0,0.0,1.95,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.02,0.0,0.0,0.0,100.0
10/11/2021,21.12,15.14,5.01,5.1,4.98,5.11,6.65,1.52,1.47,3.99,3.21,2.91,6.6,1.98,2.02,0.0,1.02,4.16,0.0,1.01,0.0,1.95,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.01,2.03,0.0,0.0,0.0,99.99
10/12/2021,21.18,15.21,5.09,5.05,4.89,5.08,6.69,1.51,1.48,3.91,3.24,2.92,6.54,1.98,2.03,0.0,1.02,4.2,0.0,1.01,0.0,1.94,0.99,0.0,0.0,1.01,0.0,0.0,0.0,1.01,2.02,0.0,0.0,0.0,100.0
10/13/2021,21.18,15.21,5.09,5.05,4.89,5.08,6.69,1.51,1.48,3.91,3.24,2.92,6.54,1.98,2.03,0.0,1.02,4.2,0.0,1.01,0.0,1.94,0.99,0.0,0.0,1.01,0.0,0.0,0.0,1.01,2.02,0.0,0.0,0.0,100.0
10/14/2021,21.09,15.21,5.1,5.06,4.9,5.1,6.67,1.51,1.47,3.91,3.28,2.93,6.56,1.98,2.02,0.0,1.02,4.22,0.0,1.01,0.0,1.95,0.99,0.0,0.0,1.01,0.0,0.0,0.0,1.02,2.0,0.0,0.0,0.0,100.01
10/15/2021,17.95,15.49,4.98,5.01,5.05,5.01,6.52,0.0,4.52,4.06,2.99,3.0,6.52,1.99,2.01,0.0,0.0,2.91,0.0,1.01,0.0,2.01,1.0,1.0,0.0,1.01,0.0,0.0,-0.05,2.0,0.0,2.02,1.0,0.99,100.0
10/18/2021,18.03,15.59,4.98,4.94,5.05,4.97,6.49,0.0,4.57,4.05,2.99,3.02,6.44,2.01,2.02,0.0,0.0,2.78,0.0,1.02,0.0,2.02,0.99,0.99,0.0,1.0,0.0,0.0,0.05,1.99,0.0,2.02,0.99,0.99,99.99
10/19/2021,18.1,15.66,5.02,4.91,5.02,4.94,6.44,0.0,4.58,4.01,3.01,3.03,6.41,2.02,2.02,0.0,0.0,2.83,0.0,1.01,0.0,2.03,0.99,1.0,0.0,1.0,0.0,0.0,0.0,1.98,0.0,2.01,0.99,1.0,100.01
10/20/2021,18.1,15.66,5.02,4.91,5.02,4.94,6.44,0.0,4.58,4.01,3.01,3.03,6.41,2.02,2.02,0.0,0.0,2.83,0.0,1.01,0.0,2.03,0.99,1.0,0.0,1.0,0.0,0.0,0.0,1.98,0.0,2.01,0.99,1.0,100.01
10/21/2021,18.16,15.61,5.01,4.91,5.02,4.93,6.46,0.0,4.56,4.03,2.99,3.03,6.41,2.04,2.02,0.0,0.0,2.83,0.0,1.02,0.0,2.02,0.99,1.0,0.0,1.0,0.0,0.0,0.0,1.97,0.0,2.01,0.98,1.0,100.0
10/22/2021,18.24,15.67,5.05,4.89,4.96,4.9,6.45,0.0,4.58,3.96,2.98,3.05,6.36,2.05,2.02,0.0,0.0,2.82,0.0,1.01,0.0,2.03,0.99,1.01,0.0,1.01,0.0,0.0,0.0,1.97,0.0,2.01,0.98,1.01,100.0
10/25/2021,18.36,15.63,5.02,4.87,4.93,4.92,6.5,0.0,4.59,3.93,2.97,3.03,6.35,2.06,2.04,0.0,0.0,2.83,0.0,1.03,0.0,2.02,0.98,0.99,0.0,1.0,0.0,0.0,-0.02,1.97,0.0,2.0,0.98,1.01,99.99
10/26/2021,18.36,15.63,5.01,4.87,4.93,4.92,6.5,0.0,4.59,3.93,2.97,3.03,6.35,2.05,2.04,0.0,0.0,2.83,0.0,1.03,0.0,2.02,0.98,0.99,0.0,1.0,0.0,0.0,0.0,1.97,0.0,2.0,0.98,1.01,99.99
10/27/2021,18.3,15.67,4.98,4.87,4.95,4.92,6.49,0.0,4.6,3.97,2.97,3.02,6.35,2.04,2.04,0.0,0.0,2.81,0.0,1.03,0.0,2.03,0.98,1.0,0.0,0.99,0.0,0.0,0.0,1.99,0.0,2.01,0.98,1.02,100.01
10/28/2021,18.35,15.63,5.0,4.86,4.93,4.92,6.53,0.0,4.57,3.95,2.98,3.03,6.34,2.05,2.05,0.0,0.0,2.8,0.0,1.03,0.0,2.02,0.98,1.01,0.0,0.99,0.0,0.0,0.0,1.98,0.0,2.01,0.98,1.02,100.01
10/29/2021,18.36,15.63,4.96,4.86,4.97,4.94,6.47,0.0,4.59,3.98,2.98,3.03,6.34,2.05,2.03,0.0,0.0,2.8,0.0,1.03,0.0,2.01,0.98,1.02,0.0,0.99,0.0,0.0,0.0,1.98,0.0,2.01,0.98,1.02,100.01
11/01/2021,18.41,15.67,4.92,4.85,5.0,4.9,6.44,0.0,4.61,4.02,2.93,3.02,6.34,2.06,2.03,0.0,0.0,2.8,0.0,1.04,0.0,2.03,0.97,0.99,0.0,0.98,0.0,0.0,-0.01,1.97,0.0,2.01,0.98,1.01,99.96999999999998
11/02/2021,18.49,15.59,4.87,4.86,5.01,4.9,6.45,0.0,4.59,4.04,2.92,3.01,6.36,2.08,2.03,0.0,0.0,2.88,0.0,1.03,0.0,2.01,0.97,0.99,0.0,0.98,0.0,0.0,0.0,1.98,0.0,1.98,0.97,1.01,100.0
11/03/2021,18.49,15.59,4.87,4.86,5.01,4.9,6.45,0.0,4.59,4.04,2.92,3.01,6.36,2.08,2.03,0.0,0.0,2.88,0.0,1.03,0.0,2.01,0.97,0.99,0.0,0.98,0.0,0.0,0.0,1.98,0.0,1.98,0.97,1.01,100.0
11/04/2021,18.44,15.69,4.89,4.83,4.96,4.85,6.57,0.0,4.61,3.99,2.93,3.03,6.31,2.07,2.07,0.0,0.0,2.86,0.0,1.03,0.0,2.0,0.96,1.0,0.0,0.99,0.0,0.0,0.0,1.97,0.0,1.97,0.97,1.01,100.0
11/05/2021,18.5,15.63,4.84,4.84,4.99,4.87,6.56,0.0,4.6,4.0,2.93,3.01,6.32,2.08,2.07,0.0,0.0,2.86,0.0,1.04,0.0,2.0,0.96,0.99,0.0,0.98,0.0,0.0,0.0,1.98,0.0,1.97,0.97,1.01,100.0
11/08/2021,18.59,15.64,4.83,4.82,4.97,4.87,6.65,0.0,4.61,3.98,2.83,3.01,6.3,2.11,2.07,0.0,0.0,2.84,0.0,1.03,0.0,2.01,0.96,0.98,0.0,0.98,0.0,0.0,0.0,1.99,0.0,1.96,0.97,0.99,99.99
11/09/2021,18.54,15.57,4.8,4.8,5.0,4.86,6.75,0.0,4.58,4.01,2.85,2.99,6.29,2.11,2.08,0.0,0.0,2.87,0.0,1.03,0.0,2.01,0.96,0.99,0.0,0.98,0.0,0.0,0.0,1.99,0.0,1.97,0.96,0.99,99.98
11/10/2021,18.54,15.57,4.8,4.8,5.0,4.86,6.75,0.0,4.58,4.01,2.85,2.99,6.29,2.11,2.08,0.0,0.0,2.87,0.0,1.03,0.0,2.01,0.96,0.99,0.0,0.98,0.0,0.0,0.0,1.99,0.0,1.97,0.96,0.99,99.98
11/11/2021,18.54,15.57,4.84,4.79,4.98,4.87,6.75,0.0,4.58,4.0,2.87,3.0,6.26,2.12,2.08,0.0,0.0,2.88,0.0,1.03,0.0,2.02,0.96,0.99,0.0,0.99,0.0,0.0,0.0,1.97,0.0,1.97,0.96,0.99,100.01
11/12/2021,16.43,15.46,3.98,5.01,5.02,5.04,5.47,6.05,6.03,4.05,3.02,2.99,3.48,1.99,2.0,0.0,1.02,2.02,0.0,1.0,0.0,1.99,1.0,1.01,0.0,1.0,0.0,0.0,-2.05,1.98,0.0,2.01,1.0,2.0,100.0
11/15/2021,16.43,15.44,4.06,5.01,4.97,5.05,5.49,6.05,6.02,4.0,3.03,2.98,3.48,1.98,2.01,0.0,1.03,2.92,0.0,1.01,0.0,1.97,1.0,0.99,0.0,1.02,0.0,0.0,-0.96,0.0,0.0,1.99,0.99,2.01,99.96999999999998
11/16/2021,16.43,15.44,4.06,5.01,4.97,5.05,5.49,6.05,6.02,4.0,3.03,2.98,3.48,1.98,2.01,0.0,1.03,2.92,0.0,1.01,0.0,1.97,1.0,0.99,0.0,1.02,0.0,0.0,-0.96,0.0,0.0,1.99,0.99,2.01,99.96999999999998
11/17/2021,16.5,15.49,4.06,5.0,4.94,5.04,5.48,6.03,6.02,3.98,3.02,3.0,3.47,2.0,2.01,0.0,1.04,1.96,0.0,1.01,0.0,1.97,1.0,0.98,0.0,1.02,0.0,0.0,0.0,0.0,0.0,1.99,0.99,2.01,100.01
11/18/2021,16.54,15.5,4.06,5.0,4.89,5.05,5.49,6.04,6.01,3.93,3.03,2.99,3.47,2.0,2.01,0.0,1.04,1.96,0.0,1.02,0.0,1.97,1.0,1.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,1.99,0.98,2.02,100.01
11/19/2021,16.61,15.47,4.06,5.0,4.88,5.04,5.51,6.04,6.0,3.93,3.03,2.98,3.47,2.02,2.02,0.0,1.03,1.96,0.0,1.01,0.0,1.97,0.99,1.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,1.98,0.98,2.01,100.0
11/22/2021,16.61,15.44,4.05,5.02,4.92,5.06,5.45,6.05,6.02,3.96,3.01,2.98,3.48,2.02,2.01,0.0,1.03,1.95,0.0,1.02,0.0,1.97,1.0,0.98,0.0,1.02,0.0,0.0,0.0,0.0,0.0,1.98,0.98,2.0,100.01
11/23/2021,16.61,15.44,4.05,5.02,4.92,5.06,5.45,6.05,6.02,3.96,3.01,2.98,3.48,2.02,2.01,0.0,1.03,1.95,0.0,1.02,0.0,1.97,1.0,0.98,0.0,1.02,0.0,0.0,0.0,0.0,0.0,1.98,0.98,2.0,100.01
11/24/2021,16.69,15.4,4.01,5.04,4.99,5.08,5.4,6.06,5.97,4.03,2.98,2.96,3.5,2.07,2.0,0.0,1.03,1.93,0.0,1.02,0.0,1.98,0.99,0.94,0.0,1.01,0.0,0.0,0.0,0.0,0.0,1.99,0.99,1.97,100.03
11/25/2021,16.69,15.4,4.01,5.04,4.99,5.08,5.4,6.06,5.97,4.03,2.98,2.96,3.5,2.07,2.0,0.0,1.03,1.93,0.0,1.02,0.0,1.98,0.99,0.94,0.0,1.01,0.0,0.0,0.0,0.0,0.0,1.99,0.99,1.97,100.03
11/26/2021,16.76,15.37,3.98,5.03,4.9,5.04,5.47,6.06,5.93,3.95,3.07,2.94,3.49,2.05,2.01,0.0,1.03,1.93,0.0,1.03,0.0,1.98,0.98,0.99,0.0,1.01,0.0,0.0,0.0,0.0,0.0,1.96,0.98,2.04,99.98
11/29/2021,16.8,15.28,3.98,5.03,4.94,5.05,5.45,6.05,5.89,4.01,3.06,2.92,3.5,2.06,2.01,0.0,1.03,1.93,0.0,1.04,0.0,1.98,0.98,1.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,1.97,0.98,2.04,99.99
12/02/2021,16.7,15.12,3.93,5.13,5.09,5.17,5.33,6.11,5.84,4.17,2.93,2.89,3.58,2.04,1.98,0.0,1.03,1.96,0.0,1.02,0.0,1.98,1.0,0.98,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.01,1.0,2.0,99.99
12/06/2021,16.64,15.15,3.99,5.13,5.13,5.16,5.27,6.15,5.87,4.22,2.85,2.88,3.58,2.07,1.95,0.0,1.01,1.95,0.0,1.02,0.0,1.96,1.0,0.98,0.0,1.01,0.0,0.0,0.0,0.0,0.0,2.0,1.01,2.0,99.98
12/07/2021,16.64,15.15,3.99,5.13,5.13,5.16,5.27,6.15,5.87,4.22,2.85,2.88,3.58,2.07,1.95,0.0,1.01,1.95,0.0,1.02,0.0,1.96,1.0,0.98,0.0,1.01,0.0,0.0,0.0,0.0,0.0,2.0,1.01,2.0,99.98
12/08/2021,16.64,15.15,3.99,5.13,5.13,5.16,5.27,6.15,5.87,4.22,2.85,2.88,3.58,2.07,1.95,0.0,1.01,1.95,0.0,1.02,0.0,1.96,1.0,0.98,0.0,1.01,0.0,0.0,0.0,0.0,0.0,2.0,1.01,2.0,99.98
12/09/2021,16.64,15.15,3.99,5.13,5.13,5.16,5.27,6.15,5.87,4.22,2.85,2.88,3.58,2.07,1.95,0.0,1.01,1.95,0.0,1.02,0.0,1.96,1.0,0.98,0.0,1.01,0.0,0.0,0.0,0.0,0.0,2.0,1.01,2.0,99.98
12/10/2021,16.64,15.15,3.99,5.13,5.13,5.16,5.27,6.15,5.87,4.22,2.85,2.88,3.58,2.07,1.95,0.0,1.01,1.95,0.0,1.02,0.0,1.96,1.0,0.98,0.0,1.01,0.0,0.0,0.0,0.0,0.0,2.0,1.01,2.0,99.98
