,ENB.TO,EPD,TRP CN,ET,KMI,OKE,LNG,IPL.TO,PPL.TO,WMB,TRGP,PAGP,KEY.TO,MPLX,MMP,AM,ETRN,MIC,GEI.TO,ENLC,WES,TELL,PSXP,NS,SHLX,CEQP,HESM,RTLR,GEL,HEP,Cash Equivalent,ENBL,BPMP,OMP,ALTM,PBFX,NGL,TRP.TO,Cash,State Street Instl Trs Pls MMkt Premier,8174.T,TPIXX,n/a,XLE,SUM
07/28/2021,10.6,8.86,0.0,5.91,5.47,5.24,5.17,5.21,5.16,4.95,4.96,4.57,4.27,2.8,2.72,2.66,2.48,2.17,1.99,1.11,1.1,0.86,0.7,0.43,0.42,0.43,0.41,0.32,0.29,0.25,0.0,0.2,0.18,0.15,0.14,0.11,0.07,7.5,0.12,0.02,0.02,0.0,0.0,0.0,100.01999999999998
07/29/2021,10.44,8.88,7.42,5.82,5.52,5.24,5.17,5.06,5.29,4.95,4.98,4.59,4.35,2.8,2.76,2.7,2.54,2.13,1.98,1.15,1.13,0.86,0.7,0.43,0.43,0.43,0.41,0.31,0.29,0.25,0.15,0.2,0.18,0.15,0.14,0.11,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,10.6,8.87,7.53,5.74,5.57,5.22,5.2,5.13,5.32,4.95,4.89,4.5,4.35,2.78,2.78,2.55,2.52,2.16,1.99,1.15,1.09,0.81,0.71,0.43,0.43,0.42,0.41,0.31,0.28,0.25,0.22,0.2,0.18,0.15,0.14,0.11,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000004
08/02/2021,10.64,8.44,7.47,5.78,5.53,5.23,5.26,5.09,5.37,4.91,4.91,4.4,4.38,2.83,2.74,2.53,2.5,2.14,1.98,1.13,1.11,0.93,0.7,0.44,0.44,0.44,0.45,0.31,0.29,0.25,0.54,0.2,0.17,0.16,0.14,0.11,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,9.76,8.7,0.0,5.74,5.68,4.81,5.27,4.61,4.88,5.09,5.17,5.2,4.5,2.98,2.94,2.5,2.77,2.12,2.37,1.05,1.06,0.97,0.78,0.49,0.48,0.4,0.34,0.36,0.27,0.26,0.0,0.2,0.18,0.0,0.0,0.14,0.08,7.65,0.0,0.0,0.0,0.07,0.0,0.0,99.87
08/04/2021,9.76,8.7,0.0,5.74,5.68,4.81,5.27,4.61,4.88,5.09,5.17,5.2,4.5,2.98,2.94,2.5,2.77,2.12,2.37,1.05,1.06,0.97,0.78,0.49,0.48,0.4,0.34,0.36,0.27,0.26,0.0,0.2,0.18,0.0,0.0,0.14,0.08,7.65,0.0,0.0,0.0,0.07,0.0,0.0,99.87
08/05/2021,10.75,8.43,7.53,5.74,5.47,5.1,5.25,5.18,5.43,4.92,4.85,4.38,4.44,2.82,2.76,2.47,2.5,2.19,2.01,1.08,1.07,0.84,0.69,0.42,0.43,0.43,0.46,0.31,0.29,0.24,0.7,0.19,0.17,0.15,0.14,0.11,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/06/2021,10.72,8.42,7.5,5.71,5.48,5.07,5.29,5.13,5.38,4.92,4.89,4.44,4.41,2.84,2.8,2.48,2.52,2.17,2.03,1.07,1.05,0.83,0.68,0.43,0.42,0.43,0.46,0.31,0.29,0.23,0.78,0.19,0.17,0.15,0.14,0.11,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/09/2021,10.87,8.37,7.6,5.43,5.41,5.22,5.34,5.21,5.4,4.98,4.99,4.36,4.3,2.79,2.72,2.46,2.58,2.19,2.0,1.06,1.04,0.72,0.67,0.4,0.4,0.41,0.46,0.32,0.25,0.21,0.0,0.19,0.17,0.16,0.14,0.11,0.06,0.0,0.0,0.0,0.0,0.0,1.01,0.0,100.0
08/10/2021,10.87,8.51,7.58,5.51,5.43,5.24,5.25,5.18,5.31,4.96,5.03,4.4,4.27,2.77,2.7,2.46,2.6,2.19,1.97,1.05,1.03,0.72,0.67,0.4,0.41,0.4,0.44,0.32,0.24,0.21,0.0,0.19,0.17,0.16,0.14,0.11,0.06,0.0,0.0,0.0,0.0,0.0,1.05,0.0,100.0
08/11/2021,10.87,8.51,7.58,5.51,5.43,5.24,5.25,5.18,5.31,4.96,5.03,4.4,4.27,2.77,2.7,2.46,2.6,2.19,1.97,1.05,1.03,0.72,0.67,0.4,0.41,0.4,0.44,0.32,0.24,0.21,0.0,0.19,0.17,0.16,0.14,0.11,0.06,0.0,0.0,0.0,0.0,0.0,1.05,0.0,100.0
08/13/2021,10.84,8.55,7.47,5.54,5.41,5.21,5.4,5.14,5.29,4.91,5.17,4.4,4.13,2.82,2.75,2.46,2.59,2.18,1.95,1.08,1.05,0.72,0.68,0.4,0.41,0.41,0.45,0.34,0.24,0.21,0.0,0.19,0.16,0.16,0.15,0.11,0.05,0.0,0.0,0.0,0.0,0.0,0.98,0.0,100.0
08/16/2021,10.81,8.66,7.51,5.8,5.5,5.34,5.49,5.2,5.37,4.97,5.22,4.55,4.2,2.91,2.85,2.51,2.68,2.21,2.02,1.12,1.11,0.72,0.71,0.42,0.41,0.42,0.45,0.34,0.25,0.22,0.0,0.19,0.16,0.16,0.15,0.11,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.79
08/18/2021,10.89,8.63,7.55,5.72,5.52,5.29,5.47,5.25,5.41,4.97,5.21,4.56,4.21,2.88,2.88,2.49,2.68,2.22,2.02,1.09,1.11,0.69,0.72,0.42,0.41,0.41,0.44,0.33,0.24,0.23,0.0,0.19,0.16,0.15,0.15,0.11,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.75
08/19/2021,11.01,8.68,7.64,5.78,5.51,5.27,5.39,5.28,5.42,4.98,5.16,4.47,4.16,2.9,2.92,2.48,2.63,2.24,2.02,1.07,1.11,0.67,0.72,0.43,0.41,0.41,0.44,0.32,0.24,0.22,0.0,0.19,0.17,0.15,0.15,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.79
08/20/2021,10.94,8.66,7.62,5.7,5.46,5.26,5.49,5.3,5.39,4.99,5.22,4.49,4.15,2.91,2.92,2.51,2.65,2.25,2.02,1.07,1.11,0.69,0.71,0.42,0.4,0.42,0.44,0.33,0.24,0.22,0.0,0.19,0.17,0.15,0.15,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.79
08/23/2021,10.86,8.54,7.53,5.64,5.33,5.2,5.46,5.37,5.26,5.01,5.11,4.34,4.07,2.92,2.92,2.47,2.67,2.31,1.99,1.03,1.08,0.66,0.71,0.44,0.41,0.42,0.45,0.34,0.23,0.23,0.0,0.19,0.17,0.15,0.15,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.19,0.0,100.0
08/24/2021,10.92,8.58,7.48,5.63,5.31,5.28,5.44,5.31,5.21,5.0,5.15,4.33,4.03,2.94,2.93,2.51,2.66,2.3,1.99,1.05,1.1,0.66,0.7,0.44,0.4,0.42,0.44,0.33,0.24,0.22,0.0,0.19,0.17,0.15,0.15,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.19,0.0,100.0
08/25/2021,10.92,8.58,7.48,5.63,5.31,5.28,5.44,5.31,5.21,5.0,5.15,4.33,4.03,2.94,2.93,2.51,2.66,2.3,1.99,1.05,1.1,0.66,0.7,0.44,0.4,0.42,0.44,0.33,0.24,0.22,0.0,0.19,0.17,0.15,0.15,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.19,0.0,100.0
08/26/2021,10.93,8.52,7.46,5.62,5.3,5.32,5.47,5.3,5.24,4.98,5.19,4.34,4.07,2.9,2.87,2.49,2.67,2.25,2.0,1.08,1.08,0.7,0.7,0.44,0.4,0.42,0.45,0.33,0.23,0.22,0.0,0.19,0.17,0.15,0.15,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.22,0.0,100.0
08/27/2021,10.9,8.5,7.41,5.64,5.31,5.37,5.49,5.28,5.23,4.96,5.24,4.34,4.07,2.85,2.87,2.48,2.71,2.25,1.99,1.09,1.08,0.71,0.7,0.43,0.39,0.41,0.45,0.33,0.24,0.22,0.0,0.19,0.17,0.15,0.15,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.25,0.0,100.0
08/31/2021,10.84,8.51,7.37,5.65,5.26,5.37,5.57,5.17,5.15,4.88,5.3,4.26,4.08,2.86,2.91,2.61,2.8,2.22,2.0,1.11,1.11,0.71,0.69,0.44,0.41,0.42,0.46,0.34,0.24,0.23,0.0,0.19,0.17,0.15,0.14,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.23,0.0,100.0
09/01/2021,10.84,8.51,7.37,5.65,5.26,5.37,5.57,5.17,5.15,4.88,5.3,4.26,4.08,2.86,2.91,2.61,2.8,2.22,2.0,1.11,1.11,0.71,0.69,0.44,0.41,0.42,0.46,0.34,0.24,0.23,0.0,0.19,0.17,0.15,0.14,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.23,0.0,100.0
09/02/2021,10.94,8.5,7.46,5.58,5.22,5.33,5.57,5.21,5.17,4.9,5.23,4.17,4.11,2.88,2.93,2.59,2.81,2.23,2.02,1.08,1.11,0.71,0.69,0.44,0.41,0.41,0.46,0.34,0.23,0.23,0.0,0.19,0.17,0.15,0.14,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.23,0.0,100.0
09/03/2021,10.94,8.53,7.47,5.6,5.22,5.3,5.5,5.23,5.1,4.95,5.22,4.23,4.08,2.87,2.94,2.61,2.73,2.25,2.02,1.09,1.11,0.78,0.69,0.43,0.4,0.41,0.46,0.34,0.23,0.23,0.0,0.19,0.17,0.15,0.14,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.23,0.0,100.0
09/06/2021,10.85,8.58,7.43,5.7,5.16,5.27,5.52,5.14,5.12,4.93,5.25,4.32,4.01,2.92,2.92,2.66,2.85,2.21,2.01,1.15,1.13,0.76,0.69,0.44,0.4,0.42,0.46,0.35,0.24,0.23,0.0,0.19,0.17,0.15,0.14,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.07,0.0,100.0
09/07/2021,10.91,8.57,7.46,5.69,5.14,5.26,5.53,5.14,5.11,4.91,5.25,4.32,4.02,2.93,2.92,2.68,2.84,2.2,2.01,1.14,1.12,0.74,0.69,0.43,0.39,0.42,0.47,0.34,0.23,0.23,0.0,0.19,0.17,0.15,0.14,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.1,0.0,100.0
09/08/2021,10.91,8.57,7.46,5.69,5.14,5.26,5.53,5.14,5.11,4.91,5.25,4.32,4.02,2.93,2.92,2.68,2.84,2.2,2.01,1.14,1.12,0.74,0.69,0.43,0.39,0.42,0.47,0.34,0.23,0.23,0.0,0.19,0.17,0.15,0.14,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.1,0.0,100.0
09/09/2021,10.91,8.57,7.46,5.69,5.14,5.26,5.53,5.14,5.11,4.91,5.25,4.32,4.02,2.93,2.92,2.68,2.84,2.2,2.01,1.14,1.12,0.74,0.69,0.43,0.39,0.42,0.47,0.34,0.23,0.23,0.0,0.19,0.17,0.15,0.14,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.1,0.0,100.0
09/10/2021,10.97,8.56,7.5,5.64,5.12,5.23,5.56,5.13,5.1,4.87,5.21,4.34,4.04,2.92,2.89,2.7,2.84,2.22,2.01,1.15,1.11,0.76,0.68,0.43,0.4,0.42,0.47,0.35,0.23,0.23,0.0,0.19,0.17,0.15,0.14,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.11,0.0,100.0
09/13/2021,11.09,8.47,7.55,5.57,5.1,5.26,5.46,5.19,5.13,4.81,5.19,4.34,4.07,2.89,2.86,2.69,2.82,2.22,2.05,1.17,1.13,0.74,0.69,0.43,0.39,0.42,0.48,0.35,0.23,0.23,0.0,0.19,0.17,0.15,0.14,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.17,0.0,100.0
09/14/2021,11.05,8.46,7.57,5.58,5.12,5.29,5.51,5.17,5.13,4.86,5.16,4.34,4.1,2.86,2.83,2.72,2.81,2.23,2.04,1.22,1.12,0.7,0.68,0.42,0.38,0.42,0.47,0.34,0.23,0.23,0.0,0.19,0.17,0.14,0.14,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.16,0.0,100.0
09/15/2021,11.05,8.46,7.57,5.58,5.12,5.29,5.51,5.17,5.13,4.86,5.16,4.34,4.1,2.86,2.83,2.72,2.81,2.23,2.04,1.22,1.12,0.7,0.68,0.42,0.38,0.42,0.47,0.34,0.23,0.23,0.0,0.19,0.17,0.14,0.14,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.16,0.0,100.0
09/16/2021,10.93,8.37,7.65,5.5,5.07,5.28,5.58,5.09,5.13,4.87,5.21,4.38,4.2,2.86,2.79,2.72,2.88,2.2,2.02,1.26,1.1,0.77,0.68,0.41,0.38,0.43,0.47,0.34,0.24,0.22,0.0,0.19,0.17,0.14,0.14,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.17,0.0,100.0
09/17/2021,10.92,8.42,7.62,5.52,5.07,5.29,5.48,5.12,5.16,4.9,5.18,4.43,4.26,2.82,2.8,2.7,2.86,2.22,2.03,1.26,1.1,0.75,0.67,0.41,0.37,0.43,0.46,0.35,0.24,0.22,0.0,0.19,0.17,0.15,0.14,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.13,0.0,100.0
09/20/2021,10.83,8.26,7.53,5.34,5.04,5.45,5.52,5.03,5.18,4.95,5.33,4.41,4.28,2.8,2.73,2.74,2.94,2.19,2.04,1.31,1.13,0.79,0.66,0.41,0.38,0.43,0.47,0.37,0.25,0.22,0.0,0.18,0.16,0.14,0.14,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.21,0.0,100.0
09/21/2021,9.78,8.15,8.03,5.3,5.18,5.19,4.9,4.86,5.04,5.17,5.05,4.96,4.22,3.24,3.15,2.64,2.88,2.17,1.99,1.64,1.21,0.84,0.76,0.45,0.43,0.48,0.45,0.35,0.28,0.25,0.0,0.21,0.19,0.09,0.14,0.12,0.08,0.0,0.0,0.0,0.0,0.0,0.13,0.0,100.0
09/22/2021,9.78,8.15,8.03,5.3,5.18,5.19,4.9,4.86,5.04,5.17,5.05,4.96,4.22,3.24,3.15,2.64,2.88,2.17,1.99,1.64,1.21,0.84,0.76,0.45,0.43,0.48,0.45,0.35,0.28,0.25,0.0,0.21,0.19,0.09,0.14,0.12,0.08,0.0,0.0,0.0,0.0,0.0,0.13,0.0,100.0
09/23/2021,9.81,8.15,8.02,5.22,5.22,5.12,4.93,4.97,5.06,5.24,5.08,4.93,4.19,3.23,3.13,2.66,2.84,2.22,1.98,1.58,1.19,0.8,0.75,0.45,0.43,0.48,0.45,0.34,0.27,0.25,0.0,0.2,0.19,0.09,0.14,0.12,0.08,0.0,0.0,0.0,0.0,0.0,0.19,0.0,100.0
09/24/2021,9.86,8.15,8.04,5.26,5.23,5.12,5.05,4.94,5.08,5.16,5.13,4.89,4.13,3.23,3.14,2.62,2.8,2.22,1.97,1.59,1.18,0.8,0.75,0.45,0.42,0.47,0.46,0.34,0.28,0.25,0.0,0.2,0.19,0.09,0.14,0.11,0.08,0.0,0.0,0.0,0.0,0.0,0.18,0.0,100.0
09/27/2021,9.69,7.98,7.9,5.43,5.26,5.31,5.19,4.82,4.95,5.11,5.23,5.08,4.05,3.2,3.05,2.63,2.87,2.14,1.94,1.61,1.21,0.86,0.76,0.47,0.44,0.47,0.46,0.34,0.29,0.26,0.0,0.21,0.19,0.09,0.14,0.12,0.08,0.0,0.0,0.0,0.0,0.0,0.17,0.0,100.0
09/28/2021,9.7,7.82,7.98,5.31,5.27,5.32,5.24,4.82,4.96,5.1,5.23,5.12,4.07,3.2,3.01,2.62,2.95,2.15,1.95,1.62,1.2,0.9,0.76,0.46,0.43,0.46,0.47,0.34,0.28,0.25,0.0,0.21,0.19,0.09,0.14,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.17,0.0,100.00000000000004
09/29/2021,9.7,7.82,7.98,5.31,5.27,5.32,5.24,4.82,4.96,5.1,5.23,5.12,4.07,3.2,3.01,2.62,2.95,2.15,1.95,1.62,1.2,0.9,0.76,0.46,0.43,0.46,0.47,0.34,0.28,0.25,0.0,0.21,0.19,0.09,0.14,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.17,0.0,100.00000000000004
09/30/2021,9.56,7.78,7.92,5.39,5.3,5.33,5.2,4.73,4.92,5.12,5.34,5.2,3.96,3.17,3.03,2.65,2.98,2.1,1.93,1.67,1.24,0.98,0.75,0.46,0.44,0.47,0.48,0.34,0.3,0.25,0.0,0.21,0.18,0.09,0.14,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.18,0.0,100.0
10/01/2021,9.53,7.84,7.68,5.38,5.32,5.33,5.3,4.75,4.93,5.17,5.37,5.13,3.99,3.17,3.03,2.66,2.97,2.12,1.9,1.66,1.23,0.96,0.74,0.45,0.43,0.48,0.47,0.33,0.3,0.24,0.0,0.21,0.19,0.09,0.13,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.31,0.0,100.0
10/04/2021,9.55,7.82,7.66,5.43,5.29,5.32,5.36,4.78,4.95,5.17,5.38,5.13,3.98,3.14,2.94,2.65,2.96,2.14,1.92,1.62,1.23,0.94,0.75,0.45,0.43,0.48,0.48,0.34,0.32,0.24,0.0,0.21,0.19,0.1,0.14,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.3,0.0,100.0
10/05/2021,9.47,7.77,7.64,5.46,5.28,5.38,5.35,4.72,4.94,5.19,5.48,5.1,4.05,3.15,2.91,2.68,2.98,2.11,1.9,1.64,1.24,0.95,0.76,0.46,0.42,0.47,0.47,0.34,0.32,0.25,0.0,0.21,0.19,0.1,0.15,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.26,0.0,100.0
10/06/2021,9.47,7.77,7.64,5.46,5.28,5.38,5.35,4.72,4.94,5.19,5.48,5.1,4.05,3.15,2.91,2.68,2.98,2.11,1.9,1.64,1.24,0.95,0.76,0.46,0.42,0.47,0.47,0.34,0.32,0.25,0.0,0.21,0.19,0.1,0.15,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.26,0.0,100.0
10/07/2021,9.41,7.93,7.59,5.55,5.2,5.35,5.45,4.66,4.9,5.28,5.53,5.03,3.97,3.15,2.9,2.68,3.0,2.07,1.88,1.66,1.27,0.9,0.77,0.46,0.41,0.47,0.47,0.34,0.33,0.25,0.0,0.22,0.18,0.1,0.15,0.12,0.08,0.0,0.0,0.0,0.0,0.0,0.29,0.0,100.0
10/08/2021,9.37,8.11,7.55,5.44,5.21,5.37,5.36,4.68,4.86,5.28,5.55,5.05,3.95,3.13,2.9,2.7,3.02,2.08,1.88,1.68,1.27,0.9,0.78,0.46,0.4,0.48,0.48,0.34,0.34,0.25,0.0,0.21,0.19,0.1,0.15,0.12,0.08,0.0,0.0,0.0,0.0,0.0,0.28,0.0,100.0
10/11/2021,9.52,8.12,7.61,5.32,5.21,5.42,5.34,4.69,4.89,5.35,5.56,5.04,3.9,3.15,2.91,2.69,3.04,2.09,1.88,1.67,1.22,0.82,0.78,0.45,0.41,0.46,0.42,0.33,0.34,0.25,0.0,0.21,0.18,0.1,0.16,0.12,0.08,0.0,0.0,0.0,0.0,0.0,0.27,0.0,100.0
10/12/2021,9.5,8.14,7.6,5.4,5.3,5.42,5.24,4.65,4.93,5.4,5.52,5.07,3.85,3.14,2.93,2.67,3.02,0.19,1.85,1.71,1.23,0.79,0.77,0.46,0.4,0.46,0.42,0.34,0.35,0.25,0.0,0.21,0.18,0.1,0.16,0.12,0.08,0.0,0.0,0.0,0.0,0.0,2.15,0.0,100.0
10/13/2021,9.5,8.14,7.6,5.4,5.3,5.42,5.24,4.65,4.93,5.4,5.52,5.07,3.85,3.14,2.93,2.67,3.02,0.19,1.85,1.71,1.23,0.79,0.77,0.46,0.4,0.46,0.42,0.34,0.35,0.25,0.0,0.21,0.18,0.1,0.16,0.12,0.08,0.0,0.0,0.0,0.0,0.0,2.15,0.0,100.0
10/14/2021,9.64,8.26,7.7,5.48,5.46,5.53,5.43,4.72,5.0,5.55,5.64,5.21,3.9,3.25,3.0,2.71,3.07,0.19,1.88,1.78,1.27,0.83,0.78,0.46,0.41,0.47,0.43,0.34,0.36,0.26,0.0,0.21,0.18,0.1,0.16,0.13,0.08,0.0,0.0,0.0,0.0,0.0,0.13,0.0,100.0
10/15/2021,9.67,8.35,7.86,5.41,5.47,5.57,5.43,4.68,4.99,5.55,5.67,5.17,3.82,3.2,2.96,2.69,3.07,0.19,1.83,1.78,1.3,0.82,0.78,0.47,0.4,0.47,0.43,0.34,0.36,0.26,0.0,0.21,0.18,0.1,0.16,0.13,0.08,0.0,0.0,0.0,0.0,0.0,0.15,0.0,100.0
10/18/2021,9.62,8.2,7.88,5.31,5.48,5.58,5.48,4.61,5.04,5.51,5.69,5.2,3.97,3.21,2.92,2.65,3.09,0.18,1.88,1.83,1.29,0.85,0.78,0.46,0.41,0.48,0.43,0.35,0.35,0.26,0.0,0.21,0.18,0.1,0.16,0.13,0.09,0.0,0.0,0.0,0.0,0.0,0.14,0.0,100.0
10/19/2021,9.55,8.19,7.98,5.3,5.46,5.58,5.67,4.57,5.03,5.5,5.69,5.22,3.92,3.21,2.94,2.69,3.06,0.18,1.86,1.82,1.29,0.85,0.78,0.45,0.4,0.47,0.43,0.35,0.34,0.25,0.0,0.2,0.18,0.1,0.17,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.11,0.0,100.0
10/21/2021,9.55,8.28,7.97,5.32,5.45,5.58,5.71,4.56,4.96,5.44,5.75,5.25,3.85,3.17,3.01,2.69,3.08,0.18,1.82,1.83,1.27,0.84,0.77,0.45,0.4,0.47,0.42,0.36,0.33,0.25,0.0,0.21,0.17,0.1,0.17,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.13,0.0,100.0
10/22/2021,9.59,8.24,8.08,5.32,5.44,5.57,5.54,4.56,4.95,5.38,5.73,5.27,3.84,3.18,3.03,2.69,3.08,0.18,1.92,1.85,1.27,0.83,0.78,0.45,0.41,0.47,0.42,0.35,0.32,0.25,0.0,0.21,0.18,0.1,0.16,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.15,0.0,100.0
