,2382.HK,1810.HK,968.HK,268.HK,992.HK,GDS,2018.HK,3888.HK,285.HK,601012 C1,148.HK,002475 C2,1347.HK,DQ,2013.HK,763 HK,1888.HK,696.HK,603501 C1,8083.HK,000725 C2,600703 C1,002241 C2,002230 C2,300433 C2,VNET,KC,909.HK,600570 C1,000063 C2,API,600588 C1,300450 C2,002371 C2,300782 C2,600745 C1,603986 C1,002236 C2,300408 C2,6865 HK,OCFT,002129 C2,300454 C2,CD,002049 C2,002179 C2,601138 C1,002841 C2,603806 C1,600460 C1,000050 C2,300496 C2,000938 C2,002180 C2,300628 C2,600584 C1,600845 C1,002384 C2,002414 C2,300316 C2,002153 C2,601360 C1,002600 C2,300661 C2,002065 C2,600183 C1,603160 C1,002916 C2,002456 C2,002465 C2,002185 C2,002459 C2,000066 C2,300223 C2,000977 C2,300724 C2,002152 C2,300136 C2,002506 C2,002156 C2,000021 C2,000547 C2,002938 C2,600536 C1,601231 C1,300308 C2,603712 C1,002463 C2,002373 C2,688008 C1,688002 C1,600498 C1,601865 C1,300296 C2,000988 C2,002151 C2,300773 C2,300383 C2,002138 C2,688009 C1,300088 C2,603267 C1,300212 C2,CASH,n/a,354.HK,688111,688126 C1,603290 C1,688012 C1,688111 C1,SUM
07/23/2021,10.56,9.23,5.19,4.76,4.13,3.84,2.91,2.77,2.47,2.86,2.33,2.07,1.82,1.86,1.31,1.96,1.48,1.28,1.5,1.13,1.5,1.43,1.3,1.17,0.98,0.82,0.93,0.95,0.95,1.06,0.74,0.83,0.91,0.86,0.62,0.65,0.65,0.74,0.73,0.73,0.5,0.72,0.6,0.49,0.54,0.49,0.41,0.42,0.44,0.37,0.39,0.31,0.42,0.37,0.37,0.32,0.34,0.34,0.32,0.35,0.3,0.32,0.25,0.33,0.28,0.28,0.28,0.29,0.25,0.25,0.19,0.26,0.22,0.26,0.23,0.23,0.14,0.15,0.15,0.14,0.13,0.15,0.15,0.14,0.12,0.12,0.12,0.11,0.12,0.1,0.12,0.12,0.11,0.12,0.11,0.1,0.1,0.11,0.1,0.09,0.09,0.1,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/26/2021,10.87,8.86,5.27,4.74,4.12,3.65,2.86,2.66,2.42,2.91,2.24,1.93,1.91,1.86,1.35,2.03,1.45,1.27,1.43,1.24,1.45,1.68,1.15,1.25,0.95,0.83,0.94,0.94,0.94,1.04,0.7,0.92,0.93,1.0,0.6,0.61,0.69,0.72,0.74,0.74,0.49,0.72,0.61,0.49,0.55,0.47,0.41,0.45,0.48,0.41,0.39,0.31,0.41,0.36,0.36,0.3,0.34,0.33,0.31,0.36,0.3,0.31,0.25,0.37,0.27,0.28,0.27,0.3,0.24,0.25,0.19,0.29,0.22,0.29,0.22,0.23,0.13,0.12,0.16,0.14,0.13,0.15,0.15,0.14,0.11,0.12,0.13,0.11,0.11,0.11,0.12,0.12,0.12,0.13,0.12,0.1,0.1,0.11,0.1,0.09,0.09,0.1,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/27/2021,10.87,8.86,5.27,4.74,4.12,3.65,2.86,2.66,2.42,2.91,2.24,1.93,1.91,1.86,1.35,2.03,1.45,1.27,1.43,1.24,1.45,1.68,1.15,1.25,0.95,0.83,0.94,0.94,0.94,1.04,0.7,0.92,0.93,1.0,0.6,0.61,0.69,0.72,0.74,0.74,0.49,0.72,0.61,0.49,0.55,0.47,0.41,0.45,0.48,0.41,0.39,0.31,0.41,0.36,0.36,0.3,0.34,0.33,0.31,0.36,0.3,0.31,0.25,0.37,0.27,0.28,0.27,0.3,0.24,0.25,0.19,0.29,0.22,0.29,0.22,0.23,0.13,0.12,0.16,0.14,0.13,0.15,0.15,0.14,0.11,0.12,0.13,0.11,0.11,0.11,0.12,0.12,0.12,0.13,0.12,0.1,0.1,0.11,0.1,0.09,0.09,0.1,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/29/2021,11.09,8.99,5.34,4.68,3.97,3.02,2.93,2.47,2.34,2.96,2.35,2.0,2.07,1.67,1.2,2.05,1.47,1.24,1.45,1.13,1.49,1.8,1.26,1.28,0.97,0.77,0.89,0.83,0.93,1.1,0.61,0.94,0.95,1.04,0.63,0.62,0.78,0.73,0.78,0.78,0.44,0.84,0.61,0.47,0.6,0.0,0.42,0.43,0.5,0.46,0.4,0.29,0.43,0.4,0.38,0.32,0.36,0.34,0.36,0.41,0.3,0.31,0.25,0.38,0.27,0.29,0.28,0.31,0.23,0.26,0.2,0.3,0.23,0.35,0.22,0.28,0.13,0.12,0.18,0.14,0.14,0.16,0.15,0.14,0.12,0.12,0.14,0.11,0.12,0.12,0.14,0.13,0.13,0.13,0.13,0.11,0.09,0.1,0.1,0.09,0.09,0.11,0.08,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/30/2021,11.56,8.83,5.3,4.24,3.97,2.91,2.92,2.31,2.32,2.91,2.37,2.01,2.13,1.66,1.1,2.14,1.44,1.25,1.57,1.02,1.55,1.75,1.26,1.23,1.01,0.73,0.89,0.69,0.88,1.16,0.64,1.0,0.97,1.09,0.66,0.69,0.83,0.73,0.77,0.72,0.44,0.78,0.6,0.45,0.61,0.0,0.43,0.41,0.47,0.46,0.41,0.31,0.45,0.4,0.39,0.34,0.4,0.35,0.36,0.42,0.31,0.32,0.26,0.39,0.28,0.33,0.3,0.33,0.24,0.27,0.21,0.3,0.24,0.38,0.23,0.26,0.13,0.13,0.18,0.15,0.15,0.17,0.16,0.15,0.12,0.14,0.15,0.13,0.12,0.12,0.13,0.13,0.12,0.13,0.13,0.12,0.1,0.11,0.1,0.09,0.1,0.11,0.08,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97999999999998
08/02/2021,11.3,8.77,5.15,4.8,3.89,3.09,2.85,2.52,2.36,2.93,2.31,1.88,2.23,1.71,1.27,2.1,1.46,1.26,1.53,1.16,1.41,1.86,1.19,1.18,0.95,0.81,0.95,0.84,0.83,1.11,0.69,0.95,1.01,1.09,0.62,0.7,0.81,0.69,0.75,0.72,0.42,0.82,0.55,0.46,0.62,0.0,0.39,0.4,0.49,0.46,0.38,0.29,0.41,0.39,0.38,0.32,0.42,0.34,0.34,0.44,0.28,0.3,0.24,0.43,0.26,0.33,0.29,0.3,0.22,0.26,0.19,0.31,0.23,0.4,0.22,0.27,0.12,0.12,0.16,0.14,0.14,0.16,0.15,0.14,0.11,0.14,0.14,0.12,0.11,0.12,0.13,0.13,0.12,0.12,0.13,0.11,0.09,0.11,0.1,0.09,0.09,0.11,0.07,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/03/2021,11.3,8.77,5.15,4.8,3.89,3.09,2.85,2.52,2.36,2.93,2.31,1.88,2.23,1.71,1.27,2.1,1.46,1.26,1.53,1.16,1.41,1.86,1.19,1.18,0.95,0.81,0.95,0.84,0.83,1.11,0.69,0.95,1.01,1.09,0.62,0.7,0.81,0.69,0.75,0.72,0.42,0.82,0.55,0.46,0.62,0.0,0.39,0.4,0.49,0.46,0.38,0.29,0.41,0.39,0.38,0.32,0.42,0.34,0.34,0.44,0.28,0.3,0.24,0.43,0.26,0.33,0.29,0.3,0.22,0.26,0.19,0.31,0.23,0.4,0.22,0.27,0.12,0.12,0.16,0.14,0.14,0.16,0.15,0.14,0.11,0.14,0.14,0.12,0.11,0.12,0.13,0.13,0.12,0.12,0.13,0.11,0.09,0.11,0.1,0.09,0.09,0.11,0.07,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/04/2021,11.26,8.59,5.33,4.62,3.84,3.09,2.81,2.51,2.29,2.81,2.28,1.81,2.33,1.71,1.26,2.17,1.43,1.25,1.47,1.19,1.41,1.83,1.19,1.16,0.96,0.81,0.95,0.79,0.87,1.15,0.69,0.93,1.1,1.19,0.59,0.76,0.87,0.7,0.74,0.75,0.41,0.83,0.54,0.46,0.62,0.0,0.4,0.41,0.54,0.46,0.38,0.32,0.4,0.4,0.37,0.33,0.38,0.34,0.34,0.43,0.28,0.3,0.24,0.48,0.26,0.33,0.3,0.31,0.22,0.27,0.2,0.32,0.24,0.4,0.22,0.28,0.13,0.12,0.17,0.14,0.15,0.16,0.15,0.14,0.11,0.15,0.15,0.12,0.11,0.12,0.13,0.13,0.12,0.12,0.13,0.11,0.09,0.12,0.1,0.09,0.1,0.11,0.07,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/05/2021,10.92,8.61,5.49,4.54,3.96,3.09,2.8,2.5,2.29,2.79,2.32,1.85,2.33,1.73,1.22,2.33,1.43,1.22,1.43,1.19,1.43,1.74,1.18,1.18,0.95,0.82,1.0,0.77,0.85,1.19,0.69,1.01,1.12,1.1,0.57,0.77,0.82,0.7,0.74,0.85,0.41,0.8,0.55,0.45,0.62,0.0,0.42,0.4,0.51,0.44,0.38,0.31,0.42,0.4,0.37,0.33,0.39,0.34,0.35,0.45,0.28,0.3,0.24,0.44,0.26,0.35,0.31,0.31,0.22,0.27,0.2,0.32,0.25,0.35,0.23,0.27,0.13,0.12,0.16,0.14,0.14,0.17,0.15,0.15,0.12,0.15,0.15,0.12,0.12,0.12,0.13,0.13,0.13,0.12,0.13,0.11,0.09,0.11,0.1,0.09,0.1,0.11,0.07,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/06/2021,10.9,8.72,5.99,4.86,3.94,2.96,2.8,2.49,2.28,2.77,2.28,1.9,2.23,1.74,1.22,2.3,1.36,1.23,1.43,1.32,1.42,1.75,1.18,1.17,0.95,0.81,0.95,0.79,0.85,1.17,0.66,1.07,1.1,0.99,0.57,0.73,0.74,0.7,0.7,0.79,0.39,0.76,0.57,0.45,0.58,0.0,0.42,0.4,0.46,0.4,0.38,0.31,0.43,0.42,0.37,0.31,0.41,0.33,0.34,0.44,0.28,0.31,0.24,0.43,0.26,0.34,0.3,0.3,0.22,0.28,0.19,0.3,0.25,0.31,0.23,0.25,0.13,0.13,0.16,0.13,0.14,0.17,0.15,0.15,0.12,0.15,0.15,0.12,0.12,0.11,0.13,0.13,0.12,0.12,0.13,0.11,0.09,0.11,0.1,0.09,0.1,0.1,0.07,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
08/10/2021,11.61,8.66,5.96,4.54,3.73,2.95,2.84,2.36,2.31,2.96,2.17,1.98,2.43,1.64,1.17,2.34,1.33,1.15,1.52,1.23,1.39,1.82,1.27,1.11,1.0,0.78,0.9,0.82,0.81,1.16,0.63,1.01,1.09,1.03,0.6,0.73,0.73,0.67,0.7,0.88,0.28,0.8,0.54,0.42,0.63,0.0,0.41,0.39,0.53,0.42,0.38,0.3,0.4,0.41,0.36,0.31,0.38,0.32,0.37,0.43,0.27,0.3,0.23,0.47,0.25,0.34,0.29,0.28,0.22,0.27,0.18,0.33,0.26,0.33,0.22,0.27,0.12,0.12,0.15,0.13,0.13,0.17,0.15,0.14,0.11,0.14,0.15,0.12,0.11,0.1,0.12,0.13,0.14,0.12,0.13,0.11,0.09,0.11,0.1,0.08,0.09,0.1,0.08,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/11/2021,11.19,8.78,5.84,4.49,3.82,3.06,2.85,2.4,2.29,2.95,2.17,1.96,2.55,1.65,1.17,2.31,1.32,1.18,1.48,1.19,1.39,1.78,1.28,1.11,1.0,0.83,0.9,0.83,0.8,1.15,0.61,1.0,1.13,1.02,0.59,0.78,0.73,0.68,0.72,0.87,0.27,0.8,0.54,0.43,0.62,0.0,0.41,0.39,0.54,0.42,0.39,0.3,0.44,0.41,0.34,0.32,0.38,0.32,0.37,0.44,0.26,0.3,0.23,0.45,0.25,0.34,0.29,0.27,0.22,0.27,0.19,0.33,0.26,0.33,0.24,0.28,0.12,0.12,0.16,0.14,0.14,0.18,0.15,0.14,0.11,0.14,0.15,0.12,0.11,0.1,0.12,0.13,0.14,0.12,0.13,0.12,0.09,0.11,0.1,0.08,0.09,0.11,0.08,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,99.95
08/13/2021,10.39,9.18,5.66,4.69,3.9,3.05,2.85,2.57,2.34,2.81,2.16,2.02,2.34,1.73,1.28,2.37,1.38,1.23,1.33,1.23,1.42,1.74,1.26,1.12,0.99,0.87,0.96,0.86,0.83,1.16,0.63,1.06,1.1,0.97,0.6,0.75,0.68,0.69,0.7,0.83,0.26,0.82,0.56,0.44,0.64,0.0,0.43,0.41,0.56,0.39,0.39,0.29,0.45,0.4,0.35,0.31,0.39,0.32,0.39,0.41,0.27,0.3,0.23,0.42,0.26,0.34,0.29,0.27,0.23,0.28,0.19,0.36,0.26,0.32,0.25,0.26,0.12,0.12,0.18,0.13,0.14,0.19,0.14,0.14,0.12,0.15,0.17,0.12,0.12,0.11,0.13,0.13,0.14,0.12,0.13,0.12,0.09,0.11,0.1,0.08,0.09,0.11,0.1,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/16/2021,10.62,8.9,5.49,4.82,4.3,3.16,2.82,2.61,2.35,2.82,2.13,2.06,2.26,1.63,1.28,2.24,1.37,1.24,1.34,1.07,1.44,1.76,1.35,1.11,0.96,0.89,0.92,0.85,0.82,1.08,0.63,1.04,1.11,1.02,0.62,0.77,0.71,0.68,0.76,0.74,0.25,0.81,0.56,0.42,0.63,0.0,0.42,0.41,0.53,0.41,0.4,0.3,0.43,0.41,0.35,0.31,0.39,0.33,0.37,0.44,0.27,0.31,0.25,0.45,0.26,0.33,0.29,0.27,0.23,0.28,0.19,0.33,0.25,0.34,0.23,0.25,0.13,0.12,0.18,0.13,0.14,0.18,0.15,0.14,0.12,0.15,0.16,0.12,0.12,0.11,0.13,0.13,0.13,0.12,0.14,0.12,0.09,0.11,0.1,0.09,0.1,0.11,0.1,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/18/2021,10.87,8.82,5.58,4.87,4.29,3.11,2.87,2.63,2.39,2.81,2.18,1.97,2.11,1.52,1.26,2.19,1.39,1.29,1.34,1.1,1.45,1.74,1.32,1.1,0.96,0.9,0.92,0.86,0.82,1.07,0.64,1.01,1.17,0.98,0.62,0.75,0.66,0.69,0.72,0.74,0.26,0.8,0.58,0.42,0.64,0.0,0.43,0.43,0.54,0.41,0.4,0.29,0.4,0.42,0.35,0.3,0.38,0.33,0.37,0.43,0.27,0.31,0.25,0.44,0.27,0.33,0.29,0.27,0.24,0.28,0.18,0.33,0.25,0.33,0.24,0.26,0.13,0.13,0.18,0.13,0.14,0.19,0.15,0.14,0.12,0.15,0.17,0.12,0.13,0.11,0.13,0.13,0.13,0.12,0.14,0.12,0.09,0.11,0.1,0.09,0.1,0.11,0.1,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/19/2021,10.76,8.74,5.33,4.76,4.52,3.05,2.88,2.61,2.36,2.87,2.23,1.97,2.19,1.49,1.24,2.24,1.38,1.3,1.34,0.99,1.47,1.77,1.3,1.1,0.98,0.88,0.88,0.84,0.83,1.09,0.63,1.04,1.12,0.99,0.63,0.77,0.68,0.71,0.72,0.71,0.23,0.8,0.6,0.42,0.64,0.0,0.45,0.45,0.54,0.43,0.43,0.28,0.41,0.41,0.37,0.31,0.39,0.34,0.38,0.43,0.27,0.32,0.25,0.48,0.27,0.33,0.29,0.27,0.24,0.28,0.19,0.31,0.25,0.35,0.24,0.28,0.13,0.13,0.18,0.13,0.14,0.18,0.16,0.14,0.12,0.15,0.17,0.12,0.13,0.11,0.13,0.13,0.13,0.13,0.14,0.12,0.1,0.11,0.1,0.09,0.1,0.12,0.09,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/20/2021,11.06,8.81,5.36,4.78,4.59,2.97,2.89,2.6,2.28,2.94,2.13,1.96,2.17,1.49,1.32,2.23,1.4,1.34,1.35,0.96,1.47,1.7,1.31,1.08,0.97,0.81,0.92,0.82,0.84,1.1,0.63,1.01,1.11,0.95,0.63,0.78,0.65,0.71,0.7,0.72,0.25,0.81,0.61,0.4,0.63,0.0,0.45,0.45,0.55,0.4,0.42,0.29,0.41,0.4,0.36,0.3,0.39,0.34,0.38,0.43,0.27,0.32,0.25,0.45,0.27,0.34,0.29,0.26,0.24,0.28,0.18,0.3,0.25,0.34,0.23,0.29,0.13,0.13,0.19,0.13,0.14,0.18,0.15,0.14,0.12,0.15,0.17,0.12,0.13,0.11,0.13,0.13,0.12,0.12,0.13,0.12,0.1,0.12,0.1,0.09,0.1,0.11,0.09,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,100.03
