,MSFT,AMZN,FB,BKNG,QCOM,AMAT,GOOGL,APO,NVDA,PANW,AAPL,BGNE,V,ATVI,PYPL,IQV,FTCH,OXY,URI,ISRG,STNE,USFD,RNG,FCX,BABA,PENN,KURA,SQ,DOCU,SHOP,SE,EA,APA,MDB,RETA,UNH,ZS,SUM
07/26/2021,12.48,10.93,5.53,5.08,5.06,4.68,4.71,4.15,4.05,4.52,4.51,4.05,3.95,3.69,3.47,2.84,2.61,2.13,2.39,2.21,1.81,1.84,1.29,1.17,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/27/2021,12.51,10.81,5.79,5.08,5.08,4.74,4.8,4.15,4.12,4.37,4.44,0.0,3.92,2.43,3.47,2.77,2.54,2.15,2.41,2.18,1.81,0.0,1.62,2.08,0.83,2.96,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/28/2021,12.51,10.81,5.79,5.08,5.08,4.74,4.8,4.15,4.12,4.37,4.44,0.0,3.92,2.43,3.47,2.77,2.54,2.15,2.41,2.18,1.81,0.0,1.62,2.08,0.83,2.96,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/29/2021,12.51,10.81,5.79,5.08,5.08,4.74,4.8,4.15,4.12,4.37,4.44,0.0,3.92,2.43,3.47,2.77,2.54,2.15,2.41,2.18,1.81,0.0,1.62,2.08,0.83,2.96,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/30/2021,12.51,10.81,5.79,5.08,5.08,4.74,4.8,4.15,4.12,4.37,4.44,0.0,3.92,2.43,3.47,2.77,2.54,2.15,2.41,2.18,1.81,0.0,1.62,2.08,0.83,2.96,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/02/2021,12.51,10.81,5.79,5.08,5.08,4.74,4.8,4.15,4.12,4.37,4.44,0.0,3.92,2.43,3.47,2.77,2.54,2.15,2.41,2.18,1.81,0.0,1.62,2.08,0.83,2.96,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/03/2021,12.53,10.02,5.68,5.12,5.35,4.88,4.95,4.18,4.18,4.43,4.44,0.0,3.95,2.26,3.16,2.8,2.73,2.15,2.49,2.26,1.82,0.0,1.59,2.29,0.8,2.93,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/04/2021,12.53,10.02,5.68,5.12,5.35,4.88,4.95,4.18,4.18,4.43,4.44,0.0,3.95,2.26,3.16,2.8,2.73,2.15,2.49,2.26,1.82,0.0,1.59,2.29,0.8,2.93,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/05/2021,12.56,10.06,5.62,5.12,5.33,4.97,4.96,4.22,4.25,4.45,4.44,0.0,3.85,2.24,3.11,2.8,2.74,2.13,2.47,2.27,1.82,0.0,1.61,2.21,0.83,2.92,3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/09/2021,12.66,10.1,5.75,5.16,5.21,4.93,4.97,4.32,4.4,4.45,4.44,0.0,3.82,2.16,3.2,2.79,2.55,2.15,2.45,2.31,1.76,0.0,1.48,2.14,0.82,3.08,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/10/2021,12.7,10.05,5.78,5.12,5.21,4.97,4.97,4.37,4.36,4.28,4.43,0.0,3.86,2.22,3.2,2.81,2.53,2.17,2.5,2.34,1.75,0.0,1.47,2.21,0.81,3.07,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/11/2021,12.7,10.05,5.78,5.12,5.21,4.97,4.97,4.37,4.36,4.28,4.43,0.0,3.86,2.22,3.2,2.81,2.53,2.17,2.5,2.34,1.75,0.0,1.47,2.21,0.81,3.07,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/13/2021,12.69,10.07,5.8,5.21,5.24,4.85,5.06,4.3,4.31,4.21,4.46,0.0,3.84,2.26,3.17,2.82,2.52,2.18,2.59,2.28,1.74,0.0,1.54,2.31,0.81,3.02,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/16/2021,12.84,10.02,5.82,5.19,5.29,4.54,5.07,4.21,4.3,4.12,4.56,0.0,3.74,2.32,3.17,2.81,2.5,2.23,2.75,2.29,1.72,0.0,1.51,2.32,0.79,3.16,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/17/2021,12.99,10.0,5.83,5.22,5.35,4.57,5.1,4.25,4.36,4.18,4.57,0.0,3.75,2.28,3.18,2.83,2.42,2.14,2.69,2.3,1.66,0.0,1.52,2.31,0.78,3.06,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/18/2021,12.99,10.0,5.83,5.22,5.35,4.57,5.1,4.25,4.36,4.18,4.57,0.0,3.75,2.28,3.18,2.83,2.42,2.14,2.69,2.3,1.66,0.0,1.52,2.31,0.78,3.06,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/19/2021,13.11,10.05,5.91,5.06,5.35,4.65,5.14,4.27,4.33,4.15,4.65,0.0,3.81,2.29,3.22,2.92,2.34,2.07,2.69,2.34,0.0,0.0,1.47,2.24,0.76,2.94,2.61,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/20/2021,13.22,10.01,5.86,5.09,5.29,4.61,5.15,4.25,4.28,4.16,4.68,0.0,3.85,2.31,3.19,2.98,2.39,2.04,2.68,2.42,0.0,0.0,1.49,2.14,0.73,2.9,2.65,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/23/2021,13.58,9.99,5.89,5.08,5.22,4.69,5.18,4.14,4.42,4.19,4.64,0.0,3.86,2.34,3.23,3.02,2.16,1.9,2.61,2.5,0.0,0.0,1.55,2.03,0.69,2.9,2.57,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/24/2021,13.78,9.92,5.9,5.02,5.22,4.57,5.2,4.12,4.6,4.2,4.64,0.0,3.81,2.3,3.22,2.97,2.17,1.86,2.57,2.45,0.0,0.0,1.54,2.03,0.67,2.98,2.62,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/25/2021,13.78,9.92,5.9,5.02,5.22,4.57,5.2,4.12,4.6,4.2,4.64,0.0,3.81,2.3,3.22,2.97,2.17,1.86,2.57,2.45,0.0,0.0,1.54,2.03,0.67,2.98,2.62,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/26/2021,13.51,9.91,5.84,5.06,5.19,4.62,5.18,4.11,4.75,4.16,4.59,0.0,3.78,2.24,3.2,2.9,2.24,1.95,2.58,2.4,0.0,0.0,1.53,2.07,0.67,3.03,2.83,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/27/2021,13.22,8.92,5.78,5.21,5.12,4.55,5.15,4.07,4.64,4.87,4.52,0.0,3.72,1.47,3.18,2.49,3.09,2.41,2.58,2.37,0.0,0.0,1.53,2.23,0.7,3.61,2.91,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/30/2021,13.1,8.84,5.79,5.24,5.06,4.57,5.14,4.08,4.7,4.89,4.45,0.0,3.67,1.45,3.14,2.49,3.07,2.41,2.61,2.34,0.0,0.0,1.5,2.21,0.69,3.9,3.06,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/31/2021,12.86,8.88,5.79,5.29,5.04,4.65,5.16,4.07,4.74,4.99,4.41,0.0,3.63,1.46,3.11,2.47,2.97,2.49,2.62,2.3,0.0,0.0,1.49,2.28,0.64,4.04,3.01,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/01/2021,12.86,8.88,5.79,5.29,5.04,4.65,5.16,4.07,4.74,4.99,4.41,0.0,3.63,1.46,3.11,2.47,2.97,2.49,2.62,2.3,0.0,0.0,1.49,2.28,0.64,4.04,3.01,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/02/2021,12.96,9.02,5.89,5.19,5.05,4.6,5.15,4.06,4.72,4.94,4.52,0.0,3.59,1.43,3.21,2.48,2.94,2.44,2.6,2.34,0.0,0.0,1.48,2.27,0.65,3.92,2.95,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/03/2021,12.89,9.16,5.87,5.25,5.08,4.58,5.16,4.13,4.66,4.96,4.48,0.0,3.56,1.45,3.21,2.46,2.96,2.48,2.59,2.33,0.0,0.0,1.46,2.26,0.67,3.9,2.87,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/06/2021,12.82,9.11,5.79,5.23,5.01,4.54,5.09,4.21,4.65,4.97,4.52,0.0,3.47,1.43,3.17,2.51,3.06,2.56,2.59,2.36,0.0,0.0,1.47,2.24,0.69,3.95,2.97,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/07/2021,12.76,9.1,5.78,5.22,4.97,4.56,5.08,4.23,4.72,5.0,4.52,0.0,0.0,1.42,3.19,2.48,3.05,2.48,2.56,2.35,0.0,0.0,0.0,2.22,0.0,3.89,2.93,1.6,2.37,1.98,1.55,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/08/2021,12.76,9.1,5.78,5.22,4.97,4.56,5.08,4.23,4.72,5.0,4.52,0.0,0.0,1.42,3.19,2.48,3.05,2.48,2.56,2.35,0.0,0.0,0.0,2.22,0.0,3.89,2.93,1.6,2.37,1.98,1.55,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/09/2021,12.76,9.1,5.78,5.22,4.97,4.56,5.08,4.23,4.72,5.0,4.52,0.0,0.0,1.42,3.19,2.48,3.05,2.48,2.56,2.35,0.0,0.0,0.0,2.22,0.0,3.89,2.93,1.6,2.37,1.98,1.55,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/10/2021,12.72,9.18,5.87,5.29,4.94,4.59,5.1,4.24,4.68,4.94,4.59,0.0,0.0,1.37,3.24,2.49,2.93,2.46,2.52,2.36,0.0,0.0,0.0,2.24,0.0,4.04,2.93,1.58,2.23,1.96,1.54,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/13/2021,12.85,9.32,5.85,5.3,4.95,4.53,5.13,4.24,4.66,5.02,4.59,0.0,0.0,1.42,3.18,2.49,2.89,2.41,2.5,2.4,0.0,0.0,0.0,2.14,0.0,3.98,3.04,1.53,2.17,1.9,1.52,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/14/2021,12.73,9.22,5.9,5.3,4.98,4.67,5.06,4.22,4.72,5.1,4.43,0.0,0.0,1.41,3.19,2.49,3.01,2.43,2.53,2.28,0.0,0.0,0.0,2.22,0.0,3.87,3.24,1.5,2.15,1.92,1.45,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
09/15/2021,12.73,9.22,5.9,5.3,4.98,4.67,5.06,4.22,4.72,5.1,4.43,0.0,0.0,1.41,3.19,2.49,3.01,2.43,2.53,2.28,0.0,0.0,0.0,2.22,0.0,3.87,3.24,1.5,2.15,1.92,1.45,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
09/16/2021,12.77,9.18,5.86,5.33,5.0,4.75,5.11,4.31,4.64,5.16,4.44,0.0,0.0,1.39,3.14,2.44,3.04,2.59,2.54,2.29,0.0,0.0,0.0,2.2,0.0,3.76,3.12,1.49,2.1,1.91,1.44,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/17/2021,12.93,9.19,5.88,5.36,4.94,4.79,5.13,4.25,4.68,5.27,4.41,0.0,0.0,1.38,3.17,2.47,2.93,2.56,2.46,2.32,0.0,0.0,0.0,2.18,0.0,3.64,3.11,1.49,2.08,1.88,1.49,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/20/2021,13.03,9.2,5.77,5.35,4.8,4.88,5.12,4.33,4.63,5.22,4.39,0.0,0.0,1.4,3.15,2.45,2.84,2.64,2.54,2.29,0.0,0.0,0.0,2.13,0.0,3.66,3.14,1.53,2.13,1.89,1.52,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/21/2021,12.96,9.25,5.71,5.37,4.69,4.83,5.08,4.39,4.62,5.19,4.36,0.0,0.0,1.42,3.11,2.46,2.91,2.63,2.54,2.32,0.0,0.0,0.0,2.08,0.0,3.63,3.3,1.55,2.17,1.93,1.52,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/22/2021,12.96,9.25,5.71,5.37,4.69,4.83,5.08,4.39,4.62,5.19,4.36,0.0,0.0,1.42,3.11,2.46,2.91,2.63,2.54,2.32,0.0,0.0,0.0,2.08,0.0,3.63,3.3,1.55,2.17,1.93,1.52,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/23/2021,13.06,9.2,5.72,5.55,4.78,4.77,5.14,4.19,4.57,5.31,4.38,0.0,0.0,1.39,3.12,2.49,2.87,2.56,2.52,2.33,0.0,0.0,0.0,2.01,0.0,3.66,3.24,1.56,2.17,1.91,1.51,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/24/2021,13.11,9.18,5.76,5.52,4.75,4.77,5.16,4.25,4.61,5.3,4.41,0.0,0.0,1.34,3.12,2.53,2.85,2.56,2.53,2.33,0.0,0.0,0.0,1.97,0.0,3.51,3.28,1.57,2.17,1.92,1.52,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/27/2021,12.92,9.1,5.41,5.7,4.69,4.83,5.08,4.27,4.73,5.25,4.38,0.0,0.0,1.33,3.14,2.51,2.93,2.73,2.64,2.33,0.0,0.0,0.0,2.01,0.0,3.67,3.19,1.61,2.13,1.91,1.53,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/28/2021,12.88,9.1,5.5,5.73,4.67,4.84,5.11,4.34,4.63,5.32,4.37,0.0,0.0,1.34,3.12,2.5,2.94,2.73,2.64,2.32,0.0,0.0,0.0,2.02,0.0,3.67,3.17,1.58,2.11,1.87,1.52,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/29/2021,12.88,9.1,5.5,5.73,4.67,4.84,5.11,4.34,4.63,5.32,4.37,0.0,0.0,1.34,3.12,2.5,2.94,2.73,2.64,2.32,0.0,0.0,0.0,2.02,0.0,3.67,3.17,1.58,2.11,1.87,1.52,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/30/2021,12.69,9.08,5.53,5.71,4.67,4.88,5.08,4.39,4.56,5.29,4.33,0.0,0.0,1.34,3.07,2.38,2.92,2.94,2.71,2.26,0.0,0.0,0.0,2.13,0.0,3.76,3.3,1.56,2.05,1.87,1.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/01/2021,12.63,9.13,5.5,5.79,4.7,4.7,5.05,4.42,4.5,5.35,4.37,0.0,0.0,1.4,3.04,2.39,2.87,3.01,2.78,2.29,0.0,0.0,0.0,2.17,0.0,3.79,3.22,1.52,2.08,1.83,1.46,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/05/2021,12.84,9.01,5.52,5.83,4.64,4.55,5.06,4.44,4.49,5.45,4.38,0.0,0.0,1.44,3.06,2.38,2.76,3.13,2.74,2.32,0.0,0.0,0.0,2.12,0.0,3.93,3.09,1.49,2.06,1.8,1.47,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/06/2021,12.84,9.01,5.52,5.83,4.64,4.55,5.06,4.44,4.49,5.45,4.38,0.0,0.0,1.44,3.06,2.38,2.76,3.13,2.74,2.32,0.0,0.0,0.0,2.12,0.0,3.93,3.09,1.49,2.06,1.8,1.47,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/07/2021,12.91,8.99,5.39,5.99,4.69,4.53,5.09,4.33,4.39,5.4,4.39,0.0,0.0,1.45,3.03,2.42,2.77,3.28,2.74,2.29,0.0,0.0,0.0,2.17,0.0,3.86,3.15,1.45,2.03,1.8,1.5,0.0,0.0,0.0,0.0,0.0,0.0,100.04
10/08/2021,13.01,8.96,5.43,5.85,4.66,4.57,5.11,4.48,4.49,5.4,4.39,0.0,0.0,1.43,3.05,2.39,2.68,3.34,2.73,2.31,0.0,0.0,0.0,2.11,0.0,3.68,3.07,1.49,2.08,1.78,1.5,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/11/2021,13.02,9.01,5.27,5.83,4.58,4.48,5.13,4.54,4.54,5.5,4.37,0.0,0.0,1.41,3.03,2.39,2.69,3.24,2.68,2.32,0.0,0.0,0.0,2.2,0.0,3.73,3.05,1.54,2.13,1.86,1.48,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
10/12/2021,13.07,9.0,5.3,5.86,4.55,4.44,5.17,4.68,4.5,5.51,4.38,0.0,0.0,1.42,3.0,2.38,2.75,3.37,2.61,2.26,0.0,0.0,0.0,2.2,0.0,3.65,3.02,1.48,2.1,1.84,1.48,0.0,0.0,0.0,0.0,0.0,0.0,100.02
10/13/2021,13.07,9.0,5.3,5.86,4.55,4.44,5.17,4.68,4.5,5.51,4.38,0.0,0.0,1.42,3.0,2.38,2.75,3.37,2.61,2.26,0.0,0.0,0.0,2.2,0.0,3.65,3.02,1.48,2.1,1.84,1.48,0.0,0.0,0.0,0.0,0.0,0.0,100.02
10/14/2021,13.12,8.94,5.26,5.88,4.52,4.51,5.17,4.72,4.5,5.62,4.4,0.0,0.0,1.4,2.96,2.38,2.62,3.37,2.63,2.25,0.0,0.0,0.0,2.28,0.0,3.62,3.02,1.45,2.1,1.82,1.46,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/15/2021,13.1,8.97,5.25,5.89,4.46,4.5,5.09,4.76,4.51,5.7,4.37,0.0,0.0,1.38,2.98,2.37,2.62,3.34,2.64,2.25,0.0,0.0,0.0,2.25,0.0,3.73,3.0,1.49,2.05,1.82,1.5,0.0,0.0,0.0,0.0,0.0,0.0,100.02
10/18/2021,13.19,8.88,5.19,5.81,4.55,4.56,5.14,4.78,4.62,5.53,4.33,0.0,0.0,1.37,3.02,2.39,2.69,3.15,2.64,2.24,0.0,0.0,0.0,2.35,0.0,3.72,2.89,1.51,2.05,1.84,1.56,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/19/2021,13.15,9.11,5.09,5.86,4.57,4.51,5.1,4.71,4.61,5.54,4.33,0.0,0.0,1.36,3.02,2.39,2.71,3.1,2.6,2.23,0.0,0.0,0.0,2.43,0.0,3.78,2.84,1.51,2.03,1.85,1.59,0.0,0.0,0.0,0.0,0.0,0.0,100.02
10/20/2021,13.15,9.11,5.09,5.86,4.57,4.51,5.1,4.71,4.61,5.54,4.33,0.0,0.0,1.36,3.02,2.39,2.71,3.1,2.6,2.23,0.0,0.0,0.0,2.43,0.0,3.78,2.84,1.51,2.03,1.85,1.59,0.0,0.0,0.0,0.0,0.0,0.0,100.02
10/21/2021,13.15,9.11,5.2,5.72,4.52,4.52,5.1,4.72,4.64,5.56,4.34,0.0,0.0,1.35,3.01,2.36,2.82,3.19,2.58,2.21,0.0,0.0,0.0,2.4,0.0,3.72,2.73,1.51,2.08,1.88,1.58,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/22/2021,13.08,7.32,5.23,5.58,4.56,4.53,5.07,4.78,4.61,5.48,4.36,0.0,0.0,0.0,3.0,2.35,2.82,3.16,2.58,2.22,0.0,0.0,0.0,2.39,0.0,3.88,2.74,1.51,2.09,1.89,2.55,2.22,0.0,0.0,0.0,0.0,0.0,100.0
10/25/2021,13.17,7.29,5.25,5.46,4.57,4.48,5.02,5.05,4.69,5.43,4.38,0.0,0.0,0.0,2.68,2.4,2.96,3.14,2.66,2.23,0.0,0.0,0.0,2.36,0.0,3.68,2.69,1.58,2.14,1.91,2.52,2.28,0.0,0.0,0.0,0.0,0.0,100.02
10/26/2021,13.27,7.17,5.05,5.49,4.58,4.63,4.93,4.97,4.75,5.45,4.41,0.0,0.0,0.0,2.69,2.5,2.85,3.29,2.72,2.28,0.0,0.0,0.0,2.35,0.0,3.6,2.74,1.52,2.13,1.84,2.49,2.31,0.0,0.0,0.0,0.0,0.0,100.01
10/27/2021,13.27,7.17,5.05,5.49,4.58,4.63,4.93,4.97,4.75,5.45,4.41,0.0,0.0,0.0,2.69,2.5,2.85,3.29,2.72,2.28,0.0,0.0,0.0,2.35,0.0,3.6,2.74,1.52,2.13,1.84,2.49,2.31,0.0,0.0,0.0,0.0,0.0,100.01
10/28/2021,13.17,7.11,5.09,5.51,4.57,4.6,4.9,4.97,4.83,5.36,4.39,0.0,0.0,0.0,2.75,2.5,2.87,3.4,2.69,2.28,0.0,0.0,0.0,2.44,0.0,3.57,2.7,1.57,2.14,1.83,2.44,2.32,0.0,0.0,0.0,0.0,0.0,100.0
10/29/2021,13.27,7.23,4.89,5.58,4.58,4.48,4.97,4.96,5.15,5.25,4.41,0.0,0.0,0.0,2.71,2.49,2.78,3.42,2.63,2.32,0.0,0.0,0.0,2.41,0.0,3.57,2.67,1.58,2.16,1.75,2.4,2.33,0.0,0.0,0.0,0.0,0.0,99.99
11/01/2021,13.71,7.29,4.85,5.49,4.58,4.56,5.14,4.81,5.14,5.31,4.46,0.0,0.0,0.0,2.61,2.47,2.75,3.23,2.67,2.33,0.0,0.0,0.0,2.34,0.0,3.47,2.6,1.55,2.1,1.85,2.44,2.27,0.0,0.0,0.0,0.0,0.0,100.02
11/02/2021,13.98,7.12,4.94,5.45,4.55,4.57,5.21,4.72,5.25,5.41,4.37,0.0,0.0,0.0,2.55,2.5,2.74,3.2,2.75,2.36,0.0,0.0,0.0,2.31,0.0,3.4,2.52,1.51,2.12,1.86,2.37,2.26,0.0,0.0,0.0,0.0,0.0,100.02
11/03/2021,13.98,7.12,4.94,5.45,4.55,4.57,5.21,4.72,5.25,5.41,4.37,0.0,0.0,0.0,2.55,2.5,2.74,3.2,2.75,2.36,0.0,0.0,0.0,2.31,0.0,3.4,2.52,1.51,2.12,1.86,2.37,2.26,0.0,0.0,0.0,0.0,0.0,100.02
11/04/2021,13.98,7.12,4.94,5.45,4.55,4.57,5.21,4.72,5.25,5.41,4.37,0.0,0.0,0.0,2.55,2.5,2.74,3.2,2.75,2.36,0.0,0.0,0.0,2.31,0.0,3.4,2.52,1.51,2.12,1.86,2.37,2.26,0.0,0.0,0.0,0.0,0.0,100.02
11/05/2021,13.94,6.94,4.97,5.49,4.59,4.69,5.08,4.65,5.39,5.36,4.34,0.0,0.0,0.0,2.5,2.45,2.7,3.25,2.78,2.34,0.0,0.0,0.0,2.34,0.0,3.44,2.62,1.46,2.13,1.86,2.47,2.24,0.0,0.0,0.0,0.0,0.0,100.02
11/08/2021,13.9,7.05,5.0,5.42,4.68,4.71,5.09,4.72,5.4,5.24,4.36,0.0,0.0,0.0,2.5,2.41,2.7,3.18,2.73,2.34,0.0,0.0,0.0,2.31,0.0,3.41,2.78,1.47,2.13,1.87,2.41,2.22,0.0,0.0,0.0,0.0,0.0,100.03
11/09/2021,13.72,7.19,5.04,5.71,5.4,4.96,5.07,4.57,5.92,5.08,4.27,0.0,0.0,0.0,2.4,2.29,2.53,3.08,2.75,2.31,0.0,0.0,0.0,2.2,0.0,2.84,2.91,1.36,1.97,1.87,2.39,2.18,0.0,0.0,0.0,0.0,0.0,100.01
