,4NDX  210930C06850840,4NDX  210930P13701670,4NDX  210930P11418060,4NDX  210930P06850840,Cash&Other,4NDX  210930P09705350,4NDX  210930C13701670,4NDX  210930C13238100,2QQQ  220930C00002860,2QQQ  220930P00357530,2QQQ  220930C00395640,2QQQ  220930P00303900,SUM
08/05/2021,123.83,1.2,0.26,-0.03,-0.28,-0.09,-10.86,-14.02,0.0,0.0,0.0,0.0,100.01
08/06/2021,124.84,1.05,0.23,-0.04,-0.28,-0.09,-11.26,-14.46,0.0,0.0,0.0,0.0,99.99
08/10/2021,125.53,0.87,0.2,-0.02,-0.37,-0.07,-11.43,-14.71,0.0,0.0,0.0,0.0,100.0
08/11/2021,125.53,0.87,0.2,-0.02,-0.37,-0.07,-11.43,-14.71,0.0,0.0,0.0,0.0,100.0
08/13/2021,124.75,0.84,0.17,-0.01,-0.38,-0.07,-11.03,-14.28,0.0,0.0,0.0,0.0,99.99
08/16/2021,125.18,0.74,0.14,-0.01,-0.38,-0.05,-11.17,-14.45,0.0,0.0,0.0,0.0,100.0
08/17/2021,126.03,0.65,0.12,-0.01,-0.47,-0.05,-11.48,-14.79,0.0,0.0,0.0,0.0,100.0
08/18/2021,126.03,0.65,0.12,-0.01,-0.47,-0.05,-11.48,-14.79,0.0,0.0,0.0,0.0,100.0
08/19/2021,126.14,0.64,0.13,-0.01,-0.47,-0.05,-11.53,-14.85,0.0,0.0,0.0,0.0,100.0
08/20/2021,123.94,0.83,0.15,-0.01,-0.48,-0.06,-10.56,-13.82,0.0,0.0,0.0,0.0,99.99
08/23/2021,123.51,0.98,0.19,-0.02,-0.49,-0.07,-10.45,-13.67,0.0,0.0,0.0,0.0,99.98000000000002
08/24/2021,125.76,0.72,0.13,-0.05,-0.58,-0.06,-11.31,-14.61,0.0,0.0,0.0,0.0,100.0
08/25/2021,125.76,0.72,0.13,-0.05,-0.58,-0.06,-11.31,-14.61,0.0,0.0,0.0,0.0,100.0
08/26/2021,129.05,0.48,0.1,-0.01,-0.58,-0.03,-12.81,-16.2,0.0,0.0,0.0,0.0,100.0
08/27/2021,129.9,0.45,0.1,-0.07,-0.78,-0.06,-13.07,-16.47,0.0,0.0,0.0,0.0,100.0
08/30/2021,128.59,0.51,0.1,-0.02,-0.78,-0.04,-12.49,-15.88,0.0,0.0,0.0,0.0,99.99
08/31/2021,130.74,0.33,0.07,-0.01,-0.79,-0.02,-13.44,-16.89,0.0,0.0,0.0,0.0,99.99000000000002
09/01/2021,130.74,0.33,0.07,-0.01,-0.79,-0.02,-13.44,-16.89,0.0,0.0,0.0,0.0,99.99000000000002
09/02/2021,133.5,0.27,0.05,-0.01,-0.79,-0.02,-14.77,-18.23,0.0,0.0,0.0,0.0,100.0
09/03/2021,133.6,0.27,0.05,-0.01,-0.9,-0.02,-14.77,-18.23,0.0,0.0,0.0,0.0,99.99
09/06/2021,133.36,0.26,0.05,-0.01,-0.91,-0.02,-14.64,-18.11,0.0,0.0,0.0,0.0,99.98
09/07/2021,134.37,0.25,0.04,-0.01,-0.91,-0.02,-15.13,-18.6,0.0,0.0,0.0,0.0,99.99
09/08/2021,134.37,0.25,0.04,-0.01,-0.91,-0.02,-15.13,-18.6,0.0,0.0,0.0,0.0,99.99
09/09/2021,134.37,0.25,0.04,-0.01,-0.91,-0.02,-15.13,-18.6,0.0,0.0,0.0,0.0,99.99
09/10/2021,134.47,0.22,0.04,-0.01,-0.91,-0.02,-15.15,-18.63,0.0,0.0,0.0,0.0,100.01
09/13/2021,132.92,0.21,0.04,0.0,-0.92,-0.02,-14.39,-17.85,0.0,0.0,0.0,0.0,99.98999999999998
09/14/2021,131.42,0.28,0.05,-0.01,-0.92,-0.02,-13.68,-17.14,0.0,0.0,0.0,0.0,99.97999999999998
09/15/2021,131.42,0.28,0.05,-0.01,-0.92,-0.02,-13.68,-17.14,0.0,0.0,0.0,0.0,99.97999999999998
09/16/2021,131.24,0.19,0.03,0.0,-0.93,-0.01,-13.53,-17.0,0.0,0.0,0.0,0.0,99.99
09/17/2021,130.7,0.18,0.02,0.0,-0.93,-0.01,-13.24,-16.73,0.0,0.0,0.0,0.0,99.99
09/20/2021,132.14,0.1,0.01,0.0,-0.93,0.0,-13.92,-17.41,0.0,0.0,0.0,0.0,99.98999999999998
09/21/2021,129.09,0.13,0.05,0.0,-0.94,0.0,-12.42,-15.91,0.0,0.0,0.0,0.0,100.0
09/22/2021,129.09,0.13,0.05,0.0,-0.94,0.0,-12.42,-15.91,0.0,0.0,0.0,0.0,100.0
09/23/2021,124.43,0.26,0.02,0.0,-0.94,0.0,-10.17,-13.6,0.0,0.0,0.0,0.0,100.0
09/24/2021,124.31,0.17,0.01,0.0,-0.94,0.0,-10.05,-13.51,0.0,0.0,0.0,0.0,99.99
09/27/2021,129.21,0.03,0.0,0.0,-0.95,0.0,-12.39,-15.91,0.0,0.0,0.0,0.0,99.99
09/28/2021,129.3,0.02,0.0,0.0,-0.95,0.0,-12.42,-15.95,0.0,0.0,0.0,0.0,100.00000000000004
09/29/2021,129.3,0.02,0.0,0.0,-0.95,0.0,-12.42,-15.95,0.0,0.0,0.0,0.0,100.00000000000004
09/30/2021,127.29,0.01,0.01,0.0,-0.95,0.0,-11.41,-14.94,0.0,0.0,0.0,0.0,100.01000000000002
10/01/2021,120.08,0.04,0.0,0.0,-0.36,0.0,-8.14,-11.63,0.0,0.0,0.0,0.0,99.99
10/04/2021,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,97.59,9.52,-4.24,-4.6,99.96
10/05/2021,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,98.87,9.28,-4.48,-4.43,100.0
10/06/2021,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,98.87,9.28,-4.48,-4.43,100.0
10/07/2021,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,98.08,10.29,-4.05,-5.08,100.0
10/08/2021,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,98.51,9.66,-4.26,-4.71,100.0
10/11/2021,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,98.79,9.32,-4.45,-4.46,100.0
10/12/2021,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,99.31,8.98,-4.68,-4.39,100.0
10/13/2021,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,99.31,8.98,-4.68,-4.39,100.0
10/14/2021,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,98.82,9.22,-4.36,-4.47,99.99
10/15/2021,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,98.32,9.45,-3.98,-4.57,100.0
10/18/2021,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,99.92,7.82,-4.85,-3.66,99.99000000000002
