,LYB,PFG,ABBV,HRB,HPQ,PFE,ENB.TO,NYCB,GEF/B,VLO,BEN,OMC,IP,CSCO,T,STX,PBCT,TotalEnergies SE ADR,WBA,HBI,IBM,DOW,OKE,LMT,FHN,JNJ,MSM,NWE,XRX,ETR,CMP,FGXXX,TTE,n/a,PLLDA.AX,SLVM WI,GEF.B,SLVM,NWL,KD WI,SUM
07/23/2021,4.96,4.97,5.15,4.89,4.35,4.76,4.43,4.39,4.05,3.46,3.7,3.64,3.59,3.74,3.58,3.26,2.79,0.0,2.61,2.49,2.45,2.45,2.34,2.45,2.15,2.38,1.88,1.76,1.49,1.6,1.26,0.33,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,4.99,5.12,5.1,4.95,4.49,4.81,4.36,4.38,4.06,3.44,3.74,3.45,3.54,3.73,3.51,3.18,2.73,0.0,2.64,2.57,2.48,2.43,2.34,2.47,2.17,2.39,1.88,1.73,1.56,1.54,1.24,0.36,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/27/2021,4.99,5.12,5.1,4.95,4.49,4.81,4.36,4.38,4.06,3.44,3.74,3.45,3.54,3.73,3.51,3.18,2.73,0.0,2.64,2.57,2.48,2.43,2.34,2.47,2.17,2.39,1.88,1.73,1.56,1.54,1.24,0.36,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/28/2021,4.97,5.05,5.16,5.06,4.44,4.89,4.38,4.32,4.08,3.38,3.67,3.38,3.52,3.83,3.55,3.29,2.64,0.0,2.63,2.57,2.49,2.44,2.32,2.47,2.12,2.42,1.86,1.76,1.54,1.57,1.24,0.36,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/29/2021,5.02,5.04,5.09,4.98,4.44,4.86,4.35,4.33,4.12,3.45,3.71,3.4,3.51,3.81,3.52,3.29,2.69,0.0,2.65,2.59,2.49,2.5,2.34,2.36,2.11,2.4,1.86,1.73,1.54,1.57,1.22,0.36,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/30/2021,5.02,5.04,5.09,4.98,4.44,4.86,4.35,4.33,4.12,3.45,3.71,3.4,3.51,3.81,3.52,3.29,2.69,0.0,2.65,2.59,2.49,2.5,2.34,2.36,2.11,2.4,1.86,1.73,1.54,1.57,1.22,0.36,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/02/2021,5.01,4.99,5.09,4.94,4.41,5.02,4.37,4.65,4.15,3.51,3.6,3.35,3.49,3.73,3.47,3.28,2.71,0.0,2.62,2.53,2.45,2.47,2.3,2.38,2.1,2.39,1.88,1.74,1.58,1.57,1.17,0.39,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,5.01,4.99,5.09,4.94,4.41,5.02,4.37,4.65,4.15,3.51,3.6,3.35,3.49,3.73,3.47,3.28,2.71,0.0,2.62,2.53,2.45,2.47,2.3,2.38,2.1,2.39,1.88,1.74,1.58,1.57,1.17,0.39,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,5.01,4.99,5.09,4.94,4.41,5.02,4.37,4.65,4.15,3.51,3.6,3.35,3.49,3.73,3.47,3.28,2.71,0.0,2.62,2.53,2.45,2.47,2.3,2.38,2.1,2.39,1.88,1.74,1.58,1.57,1.17,0.39,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,5.01,4.99,5.09,4.94,4.41,5.02,4.37,4.65,4.15,3.51,3.6,3.35,3.49,3.73,3.47,3.28,2.71,0.0,2.62,2.53,2.45,2.47,2.3,2.38,2.1,2.39,1.88,1.74,1.58,1.57,1.17,0.39,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/06/2021,5.01,4.97,4.93,4.94,4.52,5.21,4.33,4.62,4.17,3.56,3.74,3.31,3.46,3.79,3.45,3.38,2.68,0.0,2.61,2.58,2.46,2.46,2.19,2.33,2.09,2.39,1.85,1.69,1.56,1.54,1.19,0.3,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/09/2021,4.86,5.05,4.91,5.06,4.5,5.17,4.36,4.64,4.17,3.41,3.8,3.37,3.4,3.78,3.44,3.42,2.67,0.0,2.59,2.71,2.45,2.42,2.24,2.28,2.1,2.39,1.81,1.71,1.51,1.59,1.18,0.31,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/10/2021,4.86,5.05,4.91,5.06,4.5,5.17,4.36,4.64,4.17,3.41,3.8,3.37,3.4,3.78,3.44,3.42,2.67,0.0,2.59,2.71,2.45,2.42,2.24,2.28,2.1,2.39,1.81,1.71,1.51,1.59,1.18,0.31,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/11/2021,4.86,5.05,4.91,5.06,4.5,5.17,4.36,4.64,4.17,3.41,3.8,3.37,3.4,3.78,3.44,3.42,2.67,0.0,2.59,2.71,2.45,2.42,2.24,2.28,2.1,2.39,1.81,1.71,1.51,1.59,1.18,0.31,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/13/2021,5.1,5.11,4.79,4.97,4.48,5.41,4.3,4.65,4.11,3.4,3.93,3.35,3.46,3.69,3.39,3.42,2.72,0.0,2.62,2.75,2.38,2.46,2.21,2.25,2.11,2.34,1.76,1.66,1.51,1.59,1.17,0.3,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/16/2021,5.12,5.17,4.78,5.03,4.53,5.25,4.19,4.72,4.21,3.38,3.94,3.37,3.44,3.7,3.35,3.31,2.72,0.0,2.64,2.79,2.38,2.47,2.22,2.21,2.13,2.34,1.77,1.65,1.5,1.57,1.17,0.3,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/17/2021,5.12,5.17,4.78,5.03,4.53,5.25,4.19,4.72,4.21,3.38,3.94,3.37,3.44,3.7,3.35,3.31,2.72,0.0,2.64,2.79,2.38,2.47,2.22,2.21,2.13,2.34,1.77,1.65,1.5,1.57,1.17,0.3,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/18/2021,5.14,5.18,4.84,5.04,4.34,5.42,4.21,4.71,4.19,3.35,3.91,3.36,3.41,3.72,3.38,3.31,2.7,0.0,2.65,2.76,2.4,2.46,2.19,2.21,2.13,2.36,1.76,1.68,1.49,1.6,1.17,0.3,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/19/2021,5.14,5.18,4.84,5.04,4.34,5.42,4.21,4.71,4.19,3.35,3.91,3.36,3.41,3.72,3.38,3.31,2.7,0.0,2.65,2.76,2.4,2.46,2.19,2.21,2.13,2.36,1.76,1.68,1.49,1.6,1.17,0.3,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/20/2021,5.06,5.15,4.91,5.05,4.41,5.46,4.21,4.71,4.2,3.26,3.89,3.37,3.43,3.71,3.38,3.32,2.67,0.0,2.64,2.73,2.4,2.45,2.16,2.22,2.12,2.38,1.74,1.69,1.49,1.6,1.15,0.41,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/23/2021,4.92,5.16,5.06,5.13,4.3,5.63,4.14,4.66,4.2,3.14,3.77,3.27,3.46,3.9,3.41,3.33,2.67,0.0,2.64,2.6,2.39,2.42,2.12,2.25,2.11,2.47,1.77,1.75,1.44,1.68,1.14,0.5,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/24/2021,4.92,5.16,5.06,5.13,4.3,5.63,4.14,4.66,4.2,3.14,3.77,3.27,3.46,3.9,3.41,3.33,2.67,0.0,2.64,2.6,2.39,2.42,2.12,2.25,2.11,2.47,1.77,1.75,1.44,1.68,1.14,0.5,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/25/2021,4.92,5.15,5.05,5.12,4.33,5.58,4.16,4.71,4.17,3.11,3.8,3.27,3.47,3.93,3.39,3.36,2.67,0.0,2.66,2.63,2.38,2.41,2.15,2.25,2.12,2.47,1.75,1.75,1.44,1.71,1.13,0.37,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/26/2021,4.92,5.15,5.05,5.12,4.33,5.58,4.16,4.71,4.17,3.11,3.8,3.27,3.47,3.93,3.39,3.36,2.67,0.0,2.66,2.63,2.38,2.41,2.15,2.25,2.12,2.47,1.75,1.75,1.44,1.71,1.13,0.0,2.58,0.37,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/27/2021,4.96,5.17,5.02,5.05,4.33,5.65,4.22,4.69,4.13,3.23,3.81,3.28,3.41,3.91,3.34,3.4,2.67,0.0,2.64,2.64,2.37,2.43,2.2,2.23,2.12,2.41,1.75,1.72,1.43,1.68,1.14,0.37,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/30/2021,5.03,5.23,5.07,5.03,4.42,5.37,4.25,4.66,4.11,3.36,3.89,3.24,3.46,3.96,3.29,3.15,2.73,0.0,2.61,2.62,2.36,2.5,2.22,2.26,2.17,2.36,1.75,1.7,1.42,1.68,1.12,0.37,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/31/2021,5.03,5.23,5.07,5.03,4.42,5.37,4.25,4.66,4.11,3.36,3.89,3.24,3.46,3.96,3.29,3.15,2.73,0.0,2.61,2.62,2.36,2.5,2.22,2.26,2.17,2.36,1.75,1.7,1.42,1.68,1.12,0.0,2.61,0.37,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/01/2021,5.05,5.28,4.98,5.08,4.34,5.22,4.25,4.69,4.18,3.4,3.93,3.27,3.47,3.9,3.26,3.17,2.75,0.0,2.62,2.64,2.34,2.54,2.25,2.24,2.19,2.33,1.76,1.7,1.43,1.63,1.14,0.36,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/02/2021,5.05,5.28,4.98,5.08,4.34,5.22,4.25,4.69,4.18,3.4,3.93,3.27,3.47,3.9,3.26,3.17,2.75,0.0,2.62,2.64,2.34,2.54,2.25,2.24,2.19,2.33,1.76,1.7,1.43,1.63,1.14,0.36,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/03/2021,5.03,5.24,5.05,5.08,4.49,5.27,4.28,4.66,4.14,3.36,3.9,3.24,3.45,3.93,3.29,3.21,2.71,0.0,2.64,2.57,2.35,2.5,2.23,2.25,2.15,2.35,1.76,1.7,1.41,1.6,1.14,0.0,2.65,0.36,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/06/2021,4.85,5.17,4.73,5.22,4.44,5.22,4.3,4.72,4.23,3.27,3.9,3.31,3.5,3.95,3.31,3.24,2.73,0.0,2.74,2.64,2.36,2.45,2.2,2.23,2.15,2.36,1.73,1.73,1.42,1.66,1.15,0.4,2.64,0.0,0.06,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/07/2021,4.78,5.15,4.67,5.16,4.45,5.25,4.29,4.7,4.36,3.3,3.88,3.32,3.49,3.94,3.33,3.29,2.71,0.0,2.8,2.63,2.35,2.43,2.23,2.21,2.09,2.35,1.72,1.72,1.46,1.66,1.16,0.45,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/08/2021,4.78,5.15,4.67,5.16,4.45,5.25,4.29,4.7,4.36,3.3,3.88,3.32,3.49,3.94,3.33,3.29,2.71,0.0,2.8,2.63,2.35,2.43,2.23,2.21,2.09,2.35,1.72,1.72,1.46,1.66,1.16,0.45,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/09/2021,4.72,5.14,4.67,5.14,4.51,5.27,4.33,4.7,4.59,3.29,3.84,3.31,3.48,3.95,3.33,3.33,2.71,0.0,2.78,2.6,2.35,2.42,2.23,2.21,2.09,2.37,1.71,1.73,1.42,1.65,1.17,0.3,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/10/2021,4.73,5.15,4.62,5.15,4.38,5.33,4.38,4.75,4.37,3.38,3.8,3.32,3.45,3.96,3.36,3.29,2.74,0.0,2.8,2.61,2.36,2.44,2.23,2.2,2.1,2.36,1.71,1.74,1.39,1.67,1.18,0.4,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/13/2021,4.64,5.15,4.7,5.29,4.33,5.33,4.45,4.7,4.37,3.3,3.82,3.32,3.45,3.97,3.39,3.17,2.73,0.0,2.82,2.59,2.38,2.41,2.24,2.22,2.06,2.36,1.72,1.78,1.36,1.71,1.17,0.45,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/14/2021,4.62,5.2,4.59,5.11,4.36,5.3,4.44,4.76,4.37,3.31,3.85,3.31,3.48,3.98,3.39,3.3,2.74,0.0,2.8,2.63,2.38,2.4,2.25,2.22,2.08,2.32,1.72,1.77,1.37,1.69,1.16,0.45,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/15/2021,4.72,5.21,4.6,5.05,4.35,5.29,4.44,4.79,4.38,3.32,3.87,3.31,3.49,3.96,3.38,3.19,2.73,0.0,2.76,2.63,2.38,2.43,2.27,2.21,2.07,2.32,1.71,1.73,1.35,1.69,1.18,0.53,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/16/2021,4.72,5.21,4.6,5.05,4.35,5.29,4.44,4.79,4.38,3.32,3.87,3.31,3.49,3.96,3.38,3.19,2.73,0.0,2.76,2.63,2.38,2.43,2.27,2.21,2.07,2.32,1.71,1.73,1.35,1.69,1.18,0.53,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/17/2021,4.75,5.24,4.59,5.01,4.37,5.12,4.43,4.9,4.37,3.43,3.89,3.32,3.47,3.94,3.39,3.16,2.73,0.0,2.72,2.66,2.38,2.41,2.29,2.19,2.1,2.29,1.69,1.71,1.34,1.69,1.19,0.53,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/20/2021,4.74,5.23,4.58,4.99,4.28,5.12,4.43,4.91,4.53,3.43,3.9,3.37,3.41,3.88,3.38,3.16,2.71,0.0,2.76,2.65,2.35,2.38,2.38,2.17,2.07,2.27,1.69,1.69,1.34,1.68,1.19,0.55,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/21/2021,4.73,5.23,4.62,5.05,4.32,5.12,4.43,4.87,4.31,3.4,3.89,3.36,3.43,3.89,3.41,3.2,2.73,0.0,2.77,2.69,2.35,2.37,2.39,2.17,2.07,2.28,1.68,1.67,1.35,1.68,1.18,0.56,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/22/2021,4.73,5.23,4.62,5.05,4.32,5.12,4.43,4.87,4.31,3.4,3.89,3.36,3.43,3.89,3.41,3.2,2.73,0.0,2.77,2.69,2.35,2.37,2.39,2.17,2.07,2.28,1.68,1.67,1.35,1.68,1.18,0.56,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/23/2021,4.73,5.23,4.62,5.05,4.32,5.12,4.43,4.87,4.31,3.4,3.89,3.36,3.43,3.89,3.41,3.2,2.73,0.0,2.77,2.69,2.35,2.37,2.39,2.17,2.07,2.28,1.68,1.67,1.35,1.68,1.18,0.56,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/24/2021,4.68,5.08,4.73,5.22,4.28,5.22,4.49,4.96,4.38,3.4,3.76,3.36,3.39,3.88,3.44,3.18,2.73,0.0,2.75,2.65,2.37,2.29,2.37,2.2,2.06,2.35,1.73,1.68,1.34,1.67,1.1,0.45,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/27/2021,4.7,5.09,4.65,5.23,4.35,5.17,4.47,4.89,4.4,3.47,3.83,3.39,3.4,3.85,3.41,3.2,2.76,0.0,2.72,2.64,2.37,2.29,2.41,2.22,2.1,2.31,1.73,1.65,1.34,1.62,1.12,0.44,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
09/28/2021,4.73,5.14,4.61,5.17,4.34,5.11,4.46,4.89,4.4,3.51,3.87,3.42,3.41,3.87,3.37,3.22,2.83,0.0,2.7,2.61,2.37,2.3,2.48,2.19,2.15,2.29,1.71,1.6,1.34,1.54,1.09,0.43,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/29/2021,4.71,5.15,4.59,5.18,4.32,5.07,4.45,4.9,4.36,3.53,3.9,3.44,3.39,3.87,3.36,3.26,2.85,0.0,2.69,2.61,2.38,2.27,2.48,2.23,2.17,2.28,1.71,1.61,1.34,1.51,1.11,0.43,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/30/2021,4.71,5.15,4.59,5.18,4.32,5.07,4.45,4.9,4.36,3.53,3.9,3.44,3.39,3.87,3.36,3.26,2.85,0.0,2.69,2.61,2.38,2.27,2.48,2.23,2.17,2.28,1.71,1.61,1.34,1.51,1.11,0.43,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/01/2021,4.71,5.15,4.59,5.18,4.32,5.07,4.45,4.9,4.36,3.53,3.9,3.44,3.39,3.87,3.36,3.26,2.85,0.0,2.69,2.61,2.38,2.27,2.48,2.23,2.17,2.28,1.71,1.61,1.34,1.51,1.11,0.43,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/04/2021,4.81,5.19,4.64,5.08,4.2,4.99,4.39,4.96,4.51,3.64,3.73,3.36,3.38,3.76,3.37,3.12,3.03,0.0,2.69,2.57,2.39,2.34,2.52,2.22,2.23,2.26,1.72,1.6,1.31,1.5,1.12,0.49,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/05/2021,4.78,5.18,4.66,5.11,4.27,5.0,4.45,5.0,4.49,3.71,3.69,3.36,3.35,3.74,3.37,3.15,3.0,0.0,2.64,2.42,2.42,2.32,2.52,2.21,2.22,2.25,1.71,1.58,1.31,1.5,1.14,0.5,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/06/2021,4.81,5.2,4.64,5.13,2.8,4.92,4.41,5.13,4.44,3.81,3.68,3.38,3.15,3.73,3.34,3.17,3.01,0.0,2.58,3.87,2.46,2.32,2.54,2.2,2.23,2.21,1.71,1.58,1.35,1.48,1.16,0.51,2.91,0.0,0.0,0.18,0.0,0.0,0.0,0.0,100.04
10/07/2021,4.75,5.16,4.63,5.17,2.8,4.86,4.45,5.16,4.48,3.88,3.61,3.37,3.18,3.67,3.35,3.16,3.03,0.0,2.57,3.86,2.47,2.31,2.57,2.19,2.23,2.19,1.73,1.6,1.33,1.51,1.16,0.49,2.95,0.0,0.0,0.15,0.0,0.0,0.0,0.0,100.02
10/08/2021,4.75,5.16,4.63,5.17,2.8,4.86,4.45,5.16,0.0,3.88,3.61,3.37,3.18,3.67,3.35,3.16,3.03,0.0,2.57,3.86,2.47,2.31,2.57,2.19,2.23,2.19,1.73,1.6,1.33,1.51,1.16,0.49,2.95,0.0,0.0,0.15,4.48,0.0,0.0,0.0,100.02
10/11/2021,4.86,5.32,4.66,5.05,2.77,4.84,4.44,5.13,0.0,3.88,3.68,3.4,3.17,3.68,3.29,3.04,3.0,0.0,2.61,3.74,2.4,2.29,2.57,2.2,2.19,2.19,1.74,1.6,1.34,1.52,1.16,0.5,2.97,0.0,0.0,0.14,4.62,0.0,0.0,0.0,99.99
10/12/2021,4.86,5.32,4.66,5.05,2.77,4.84,4.44,5.13,0.0,3.88,3.68,3.4,3.17,3.68,3.29,3.04,3.0,0.0,2.61,3.74,2.4,2.29,2.57,2.2,2.19,2.19,1.74,1.6,1.34,1.52,1.16,0.5,2.97,0.0,0.0,0.14,4.62,0.0,0.0,0.0,99.99
10/13/2021,4.86,5.32,4.66,5.05,2.77,4.84,4.44,5.13,0.0,3.88,3.68,3.4,3.17,3.68,3.29,3.04,3.0,0.0,2.61,3.74,2.4,2.29,2.57,2.2,2.19,2.19,1.74,1.6,1.34,1.52,1.16,0.5,2.97,0.0,0.0,0.14,4.62,0.0,0.0,0.0,99.99
10/14/2021,4.86,5.32,4.66,5.05,2.77,4.84,4.44,5.13,0.0,3.88,3.68,3.4,3.17,3.68,3.29,3.04,3.0,0.0,2.61,3.74,2.4,2.29,2.57,2.2,2.19,2.19,1.74,1.6,1.34,1.52,1.16,0.5,2.97,0.0,0.0,0.14,4.62,0.0,0.0,0.0,99.99
10/15/2021,4.85,5.36,4.66,5.02,2.74,4.78,4.52,5.2,0.0,4.0,3.63,3.41,3.27,3.69,3.18,3.04,2.98,0.0,2.6,3.59,2.43,2.29,2.63,2.24,2.21,2.19,1.74,1.55,1.32,1.52,1.19,0.52,3.04,0.0,0.0,0.0,4.6,0.0,0.0,0.0,99.99
10/18/2021,4.82,5.3,4.61,4.94,2.64,4.73,4.63,5.27,0.0,4.04,3.53,3.38,3.26,3.69,3.1,2.98,2.95,0.0,2.6,3.66,2.41,2.25,2.7,2.28,2.21,2.18,1.74,1.57,1.3,1.52,1.26,0.72,3.04,0.0,0.0,0.0,4.68,0.0,0.0,0.0,99.99
10/19/2021,4.85,5.33,4.56,4.9,2.7,4.69,4.61,5.24,0.0,4.03,3.62,3.43,3.24,3.7,3.1,3.05,2.94,0.0,2.75,3.75,2.42,2.29,2.71,2.25,2.22,2.16,1.76,1.55,1.29,1.51,1.27,0.71,3.03,0.0,0.0,0.0,4.35,0.0,0.0,0.0,100.01
10/20/2021,4.85,5.33,4.56,4.9,2.7,4.69,4.61,5.24,0.0,4.03,3.62,3.43,3.24,3.7,3.1,3.05,2.94,0.0,2.75,3.75,2.42,2.29,2.71,2.25,2.22,2.16,1.76,1.55,1.29,1.51,1.27,0.71,3.03,0.0,0.0,0.0,4.35,0.0,0.0,0.0,100.01
10/21/2021,4.9,5.37,4.59,4.91,2.78,4.69,4.63,5.23,0.0,4.02,3.62,3.45,3.11,3.69,3.12,3.04,2.95,0.0,2.66,3.69,2.45,2.31,2.75,2.28,2.22,2.19,1.75,1.53,1.3,1.5,1.28,0.61,3.08,0.0,0.0,0.0,4.32,0.0,0.0,0.0,100.02
10/22/2021,4.88,5.39,4.51,4.87,2.84,4.75,4.66,5.32,0.0,4.09,3.6,3.44,3.03,3.72,3.1,3.0,2.96,0.0,2.61,3.65,2.4,2.31,2.74,2.31,2.25,2.22,1.78,1.54,1.29,1.5,1.26,0.61,3.11,0.0,0.0,0.0,4.24,0.0,0.0,0.0,99.98
10/25/2021,4.77,5.38,4.55,4.91,3.0,4.83,4.61,5.31,0.0,4.18,3.63,3.25,3.09,3.71,3.12,3.04,3.11,0.0,2.67,3.68,2.17,2.31,2.7,2.32,2.23,2.21,1.7,1.52,1.32,1.52,1.19,0.61,3.07,0.0,0.0,0.0,4.28,0.0,0.0,0.0,99.99
10/26/2021,4.77,5.38,4.55,4.91,3.0,4.83,4.61,5.31,0.0,4.18,3.63,3.25,3.09,3.71,3.12,3.04,3.11,0.0,2.67,3.68,2.17,2.31,2.7,2.32,2.23,2.21,1.7,1.52,1.32,1.52,1.19,0.61,3.07,0.0,0.0,0.0,4.28,0.0,0.0,0.0,99.99
10/27/2021,4.77,5.38,4.55,4.91,3.0,4.83,4.61,5.31,0.0,4.18,3.63,3.25,3.09,3.71,3.12,3.04,3.11,0.0,2.67,3.68,2.17,2.31,2.7,2.32,2.23,2.21,1.7,1.52,1.32,1.52,1.19,0.61,3.07,0.0,0.0,0.0,4.28,0.0,0.0,0.0,99.99
10/28/2021,4.8,5.41,4.57,4.87,2.99,4.86,4.64,5.28,0.0,4.12,3.69,3.18,3.08,3.66,3.08,3.22,3.11,0.0,2.66,3.67,2.16,2.28,2.72,2.33,2.25,2.21,1.69,1.53,1.31,1.53,1.2,0.61,3.04,0.0,0.0,0.0,4.26,0.0,0.0,0.0,100.01
