,NTLA,ALNY,1548.HK,CDNA,A,CRSP,BMRN,SRPT,NTRA,QGEN,PACB,NVTA,BPMC,ARWR,EDIT,RARE,NSTG,VCYT,RCKT,DRNA,SRNE,MYGN,ILMN,BLUE,GILD,VRTX,ALLO,LMNX,RGNX,SGMO,4974.T,QURE,CLLS,DTIL,ZIOP,PRQR,WVE,ADVM,FIXX,VYGR,CASH,n/a,FRGXX,TSVTV,BNTX,MRNA,CRBU,TSVT,SUM
08/05/2021,6.6,5.11,5.14,4.22,4.68,3.72,3.97,4.04,4.09,4.47,3.83,3.18,3.69,3.69,2.95,2.9,2.94,3.11,2.28,2.65,2.33,2.42,2.51,1.81,2.18,1.91,1.7,0.0,1.24,1.22,1.25,1.17,0.59,0.47,0.47,0.29,0.27,0.22,0.28,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/06/2021,6.65,5.09,5.66,4.17,4.66,3.66,3.94,4.03,4.0,4.4,3.67,3.18,3.61,3.59,2.96,2.98,2.95,3.12,2.21,2.63,2.26,2.74,2.51,1.76,2.21,1.91,1.64,0.0,1.23,1.2,1.23,1.18,0.59,0.46,0.46,0.31,0.27,0.22,0.27,0.19,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/10/2021,7.45,5.2,5.28,4.04,4.43,3.79,3.73,4.31,4.07,4.16,4.01,3.24,3.55,3.45,3.61,3.02,2.76,3.16,2.07,2.54,2.21,2.6,2.45,1.7,2.07,1.83,1.67,0.0,1.16,1.17,1.22,1.18,0.56,0.47,0.44,0.3,0.28,0.21,0.27,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/11/2021,7.67,5.32,5.3,3.96,4.52,3.94,3.8,4.45,4.05,4.2,3.76,3.16,3.84,3.33,3.74,3.01,2.76,3.15,2.04,1.86,2.22,2.56,2.4,1.67,2.08,1.84,1.67,0.0,1.15,1.17,1.24,1.17,0.59,0.47,0.44,0.32,0.28,0.22,0.28,0.19,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/13/2021,7.31,5.79,5.66,3.84,4.65,3.99,3.82,4.54,3.74,4.25,3.65,2.93,3.89,3.22,4.21,3.2,2.61,3.0,1.99,1.55,2.39,2.52,2.5,1.37,2.15,1.84,1.61,0.0,1.18,1.24,1.3,1.16,0.59,0.48,0.38,0.32,0.26,0.23,0.28,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/16/2021,7.6,5.66,4.87,3.65,4.74,4.04,3.79,4.64,3.65,4.24,3.68,3.06,3.93,3.18,4.55,3.26,2.67,2.95,1.87,1.46,2.52,2.58,2.55,1.3,2.22,1.84,1.57,0.0,1.19,1.26,1.32,1.16,0.55,0.55,0.37,0.35,0.3,0.23,0.29,0.17,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/18/2021,7.48,5.62,5.18,3.57,4.85,3.84,3.83,4.68,3.66,4.31,3.6,2.92,3.99,3.27,4.43,3.31,2.66,2.85,1.85,1.47,2.51,2.56,2.62,1.3,2.26,1.87,1.61,0.0,1.21,1.26,1.33,1.18,0.54,0.48,0.36,0.34,0.31,0.22,0.3,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/19/2021,7.45,5.71,5.26,3.69,5.01,3.76,3.89,4.55,3.72,4.44,3.52,2.9,3.98,3.33,4.3,3.19,2.57,2.77,1.88,1.49,2.41,2.65,2.7,1.3,2.32,1.86,1.61,0.0,1.22,1.22,1.34,1.17,0.55,0.46,0.35,0.31,0.29,0.21,0.28,0.17,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/20/2021,7.47,5.79,5.15,3.62,4.95,3.69,3.94,4.61,3.67,4.43,3.38,2.92,4.02,3.31,4.36,3.2,2.53,2.71,1.95,1.49,2.39,2.65,2.68,1.33,2.35,1.93,1.68,0.0,1.23,1.23,1.31,1.18,0.54,0.45,0.35,0.32,0.31,0.22,0.29,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/23/2021,7.24,5.89,5.31,3.79,5.33,3.69,3.98,4.53,3.91,4.64,3.29,2.84,4.05,3.3,4.29,2.91,2.55,2.72,1.77,1.47,2.39,2.76,2.49,1.27,2.38,1.96,1.65,0.0,1.17,1.18,1.38,1.12,0.54,0.46,0.31,0.32,0.29,0.2,0.27,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/24/2021,7.24,5.89,5.31,3.79,5.33,3.69,3.98,4.53,3.91,4.64,3.29,2.84,4.05,3.3,4.29,2.91,2.55,2.72,1.77,1.47,2.39,2.76,2.49,1.27,2.38,1.96,1.65,0.0,1.17,1.18,1.38,1.12,0.54,0.46,0.31,0.32,0.29,0.2,0.27,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/25/2021,7.35,5.79,4.7,3.84,5.24,3.63,3.92,4.51,4.01,4.61,3.5,2.94,4.05,3.31,4.36,2.93,2.57,2.81,1.78,1.51,2.37,2.79,2.53,1.26,2.36,1.92,1.8,0.0,1.17,1.2,1.38,1.11,0.55,0.46,0.32,0.3,0.3,0.21,0.27,0.18,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/26/2021,7.51,5.61,5.15,3.8,5.11,3.74,3.8,4.24,3.96,4.49,3.49,3.03,4.01,3.32,4.56,2.99,2.55,2.8,1.84,1.47,2.45,2.71,2.4,1.25,2.28,1.88,1.78,0.0,1.21,1.23,1.37,1.12,0.58,0.47,0.34,0.32,0.29,0.22,0.29,0.18,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/27/2021,7.58,5.61,5.44,3.86,5.04,3.71,3.82,4.4,4.04,4.42,3.51,3.0,3.88,3.3,4.44,3.03,2.65,2.87,1.78,1.43,2.45,2.66,2.36,1.21,2.23,1.86,1.77,0.0,1.19,1.2,1.34,1.1,0.56,0.47,0.32,0.33,0.28,0.21,0.29,0.18,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/30/2021,7.26,5.66,5.32,3.85,5.16,3.6,3.93,4.48,4.07,4.5,3.41,3.03,3.82,3.39,4.41,3.14,2.59,3.05,1.83,1.4,2.45,2.56,2.34,1.23,2.22,1.86,1.74,0.0,1.18,1.19,1.36,1.12,0.57,0.51,0.33,0.33,0.27,0.21,0.29,0.18,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/31/2021,7.26,5.66,5.32,3.85,5.16,3.6,3.93,4.48,4.07,4.5,3.41,3.03,3.82,3.39,4.41,3.14,2.59,3.05,1.83,1.4,2.45,2.56,2.34,1.23,2.22,1.86,1.74,0.0,1.18,1.19,1.36,1.12,0.57,0.51,0.33,0.33,0.27,0.21,0.29,0.18,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/01/2021,7.33,5.56,5.18,3.88,5.04,3.57,4.06,4.39,4.08,4.45,3.5,3.08,3.77,3.4,4.41,3.2,2.6,3.2,1.91,1.41,2.42,2.63,2.25,1.21,2.16,1.83,1.75,0.0,1.18,1.2,1.33,1.13,0.59,0.52,0.34,0.33,0.28,0.21,0.3,0.17,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/02/2021,7.08,5.57,5.23,3.93,5.15,3.49,4.06,4.25,4.15,4.51,3.55,3.11,3.79,3.45,4.17,3.27,2.64,3.28,1.99,1.43,2.35,2.67,2.22,1.2,2.19,1.83,1.73,0.0,1.17,1.19,1.35,1.11,0.58,0.54,0.32,0.33,0.28,0.21,0.29,0.18,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/03/2021,7.35,5.49,5.16,3.56,5.09,3.6,4.09,4.35,4.09,4.47,3.64,3.16,3.75,3.45,4.27,3.27,2.63,3.22,2.01,1.4,2.38,2.66,2.21,1.22,2.2,1.83,1.7,0.0,1.19,1.19,1.34,1.11,0.59,0.57,0.32,0.34,0.29,0.22,0.3,0.19,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/06/2021,7.68,5.26,4.78,3.61,4.97,3.53,3.98,4.27,4.11,4.39,3.52,3.19,3.82,3.42,4.73,3.33,2.64,3.42,2.07,1.4,2.34,2.58,2.19,1.19,2.11,1.75,1.79,0.0,1.23,1.19,1.32,1.16,0.61,0.62,0.33,0.35,0.29,0.22,0.31,0.2,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/08/2021,7.87,5.23,4.86,3.56,5.06,3.42,4.01,4.37,4.16,4.42,3.53,3.24,3.82,3.38,4.46,3.39,2.68,3.34,2.05,1.41,2.25,2.6,2.2,1.17,2.12,1.76,1.77,0.0,1.25,1.17,1.34,1.16,0.61,0.59,0.31,0.34,0.28,0.2,0.3,0.18,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/09/2021,7.87,5.23,4.86,3.56,5.06,3.42,4.01,4.37,4.16,4.42,3.53,3.24,3.82,3.38,4.46,3.39,2.68,3.34,2.05,1.41,2.25,2.6,2.2,1.17,2.12,1.76,1.77,0.0,1.25,1.17,1.34,1.16,0.61,0.59,0.31,0.34,0.28,0.2,0.3,0.18,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/10/2021,7.42,5.1,5.06,3.54,5.12,3.45,3.75,4.35,4.2,4.5,3.49,3.36,3.82,3.35,4.46,3.45,2.66,3.4,2.05,1.4,2.2,2.61,2.22,1.15,2.14,1.74,1.8,0.0,1.25,1.19,1.35,1.33,0.61,0.6,0.42,0.35,0.28,0.21,0.3,0.19,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/13/2021,7.38,5.18,5.02,3.39,5.15,3.51,3.9,4.5,4.15,4.46,3.49,3.39,3.8,3.37,4.34,3.45,2.68,3.31,2.03,1.5,2.12,2.54,2.23,1.22,2.14,1.72,1.81,0.0,1.24,1.19,1.34,1.37,0.61,0.59,0.37,0.39,0.28,0.21,0.31,0.19,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/14/2021,7.38,5.18,5.02,3.39,5.15,3.51,3.9,4.5,4.15,4.46,3.49,3.39,3.8,3.37,4.34,3.45,2.68,3.31,2.03,1.5,2.12,2.54,2.23,1.22,2.14,1.72,1.81,0.0,1.24,1.19,1.34,1.37,0.61,0.59,0.37,0.39,0.28,0.21,0.31,0.19,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/15/2021,7.41,5.2,4.78,3.4,5.17,3.5,3.81,4.52,4.18,4.47,3.49,3.34,3.99,3.31,4.47,3.48,2.72,3.28,2.09,1.49,2.11,2.49,2.23,1.2,2.16,1.73,1.78,0.0,1.22,1.16,1.37,1.36,0.59,0.58,0.37,0.42,0.28,0.2,0.32,0.19,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/16/2021,7.22,5.17,4.61,3.18,5.1,3.47,3.87,4.66,4.24,4.37,3.38,3.27,4.09,3.39,4.33,3.49,2.6,3.3,2.14,1.48,2.17,2.48,2.24,1.25,2.18,1.78,1.81,0.0,1.63,1.16,1.41,1.38,0.6,0.59,0.36,0.44,0.29,0.21,0.32,0.19,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/17/2021,7.27,5.28,4.79,3.26,5.16,3.45,3.82,4.62,4.27,4.44,3.37,3.27,4.15,3.32,4.22,3.34,2.61,3.24,2.07,1.48,2.14,2.44,2.24,1.21,2.2,1.78,1.83,0.0,1.73,1.13,1.43,1.44,0.59,0.57,0.33,0.41,0.26,0.2,0.32,0.19,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/20/2021,7.21,5.31,4.61,3.35,5.15,3.46,3.8,4.89,4.26,4.44,3.28,3.25,4.24,3.35,4.2,3.35,2.53,3.21,2.03,1.49,2.19,2.48,2.23,1.21,2.21,1.75,1.79,0.0,1.68,1.13,1.44,1.45,0.57,0.58,0.34,0.43,0.26,0.2,0.33,0.18,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/21/2021,7.21,5.31,4.61,3.35,5.15,3.46,3.8,4.89,4.26,4.44,3.28,3.25,4.24,3.35,4.2,3.35,2.53,3.21,2.03,1.49,2.19,2.48,2.23,1.21,2.21,1.75,1.79,0.0,1.68,1.13,1.44,1.45,0.57,0.58,0.34,0.43,0.26,0.2,0.33,0.18,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/22/2021,7.18,5.17,4.69,3.29,5.03,3.57,3.76,4.8,4.35,4.34,3.41,3.35,4.25,3.33,4.24,3.33,2.6,3.42,2.01,1.47,2.17,2.5,2.16,1.22,2.16,1.72,1.81,0.0,1.65,1.14,1.4,1.41,0.59,0.58,0.35,0.43,0.26,0.21,0.35,0.18,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/23/2021,7.0,5.15,4.75,3.19,5.12,3.45,3.87,4.92,4.26,4.52,3.35,3.38,4.35,3.31,4.03,3.38,2.56,3.32,1.96,1.46,2.17,2.55,2.18,1.24,2.21,1.75,1.83,0.0,1.65,1.14,1.46,1.45,0.57,0.58,0.36,0.4,0.27,0.21,0.35,0.17,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/24/2021,6.92,5.13,4.7,3.19,5.08,3.45,3.88,5.0,4.37,4.49,3.26,3.46,4.42,3.28,4.03,3.34,2.5,3.37,1.96,1.44,2.16,2.58,2.15,1.23,2.22,1.74,1.85,0.0,1.66,1.17,1.41,1.5,0.57,0.58,0.37,0.4,0.27,0.21,0.35,0.17,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/27/2021,7.14,5.12,4.51,3.26,5.03,3.51,3.87,5.07,4.28,4.41,3.21,3.45,4.42,3.34,4.19,3.33,2.34,3.5,1.95,1.44,2.15,2.59,2.11,1.25,2.18,1.7,1.98,0.0,1.61,1.18,1.36,1.39,0.57,0.61,0.41,0.4,0.28,0.21,0.36,0.17,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/28/2021,7.14,5.12,4.51,3.26,5.03,3.51,3.87,5.07,4.28,4.41,3.21,3.45,4.42,3.34,4.19,3.33,2.34,3.5,1.95,1.44,2.15,2.59,2.11,1.25,2.18,1.7,1.98,0.0,1.61,1.18,1.36,1.39,0.57,0.61,0.41,0.4,0.28,0.21,0.36,0.17,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/29/2021,7.04,5.27,4.59,3.22,5.16,3.46,3.94,5.21,4.2,4.47,3.06,3.3,4.42,3.47,4.07,3.34,2.32,3.38,1.94,1.49,2.13,2.55,2.16,1.27,2.22,1.73,1.89,0.0,1.61,1.18,1.42,1.34,0.57,0.59,0.41,0.41,0.3,0.21,0.37,0.17,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/30/2021,7.02,5.48,4.59,3.12,5.01,3.51,3.96,5.27,4.13,4.38,3.15,3.33,4.44,3.5,4.04,3.13,2.29,3.31,2.01,1.47,2.23,2.51,2.14,1.34,2.21,1.74,1.91,0.0,1.67,1.22,1.39,1.33,0.58,0.59,0.43,0.4,0.3,0.22,0.37,0.18,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,100.02
10/01/2021,6.89,5.21,4.85,3.1,5.0,3.48,4.04,5.53,4.0,4.46,3.12,3.28,4.5,3.37,3.81,3.19,2.27,3.35,1.96,1.47,2.16,2.54,2.14,1.41,2.29,1.79,1.95,0.0,1.73,1.22,1.41,1.34,0.58,0.58,0.39,0.44,0.27,0.22,0.36,0.18,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/04/2021,6.67,5.59,4.54,3.34,4.96,3.5,4.08,5.6,4.18,4.5,3.22,3.29,4.49,3.49,3.0,3.33,2.36,3.38,1.91,1.49,2.19,2.61,2.13,1.39,2.3,1.8,1.99,0.0,1.67,1.17,1.43,1.34,0.56,0.57,0.38,0.46,0.25,0.21,0.35,0.16,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/05/2021,6.67,5.59,4.54,3.34,4.96,3.5,4.08,5.6,4.18,4.5,3.22,3.29,4.49,3.49,3.0,3.33,2.36,3.38,1.91,1.49,2.19,2.61,2.13,1.39,2.3,1.8,1.99,0.0,1.67,1.17,1.43,1.34,0.56,0.57,0.38,0.46,0.25,0.21,0.35,0.16,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/06/2021,6.68,5.72,4.55,3.52,4.92,3.49,4.08,5.83,4.22,4.45,3.27,3.33,4.45,3.51,2.92,3.25,2.35,3.4,1.92,1.5,1.96,2.58,2.08,1.39,2.26,1.79,1.91,0.0,1.61,1.21,1.43,1.34,0.57,0.58,0.39,0.45,0.24,0.21,0.35,0.16,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/07/2021,6.56,6.01,4.55,3.48,4.99,3.33,4.16,5.96,4.27,4.59,3.2,3.19,4.45,3.59,2.83,3.27,2.32,3.27,1.93,1.54,1.9,2.6,2.08,1.39,2.31,1.83,1.96,0.0,1.34,1.19,1.46,1.35,0.57,0.56,0.39,0.46,0.25,0.24,0.33,0.16,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/08/2021,6.66,6.06,4.69,3.56,4.97,3.31,4.17,5.94,4.3,4.58,3.27,3.16,4.33,3.46,2.88,3.32,2.31,3.33,1.93,1.52,1.9,2.63,2.1,1.37,2.29,1.81,1.95,0.0,1.27,1.19,1.38,1.35,0.58,0.57,0.41,0.44,0.24,0.22,0.31,0.16,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,100.04
10/11/2021,6.82,6.11,4.76,3.56,4.98,3.28,4.14,5.86,4.45,4.53,3.28,3.13,4.38,3.35,2.9,3.21,2.32,3.25,1.91,1.5,1.93,2.6,2.16,1.4,2.28,1.82,1.93,0.0,1.32,1.17,1.31,1.33,0.55,0.56,0.39,0.42,0.24,0.2,0.3,0.24,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/12/2021,6.82,6.11,4.76,3.56,4.98,3.28,4.14,5.86,4.45,4.53,3.28,3.13,4.38,3.35,2.9,3.21,2.32,3.25,1.91,1.5,1.93,2.6,2.16,1.4,2.28,1.82,1.93,0.0,1.32,1.17,1.31,1.33,0.55,0.56,0.39,0.42,0.24,0.2,0.3,0.24,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/13/2021,6.31,6.34,4.57,3.47,5.05,3.24,4.32,6.33,4.5,4.67,3.3,3.18,4.59,3.54,2.73,3.17,2.18,3.18,1.94,1.55,1.96,2.62,2.27,1.46,2.35,1.87,1.07,0.0,1.33,1.2,1.36,1.34,0.43,0.53,0.38,0.45,0.24,0.21,0.3,0.36,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/14/2021,6.6,6.38,4.65,3.55,4.98,3.32,4.33,5.83,4.42,4.66,3.19,3.19,4.54,3.54,2.82,3.15,2.17,3.19,1.92,1.54,1.95,2.66,2.24,1.52,2.36,1.88,1.1,0.0,1.42,1.2,1.37,1.34,0.43,0.52,0.39,0.45,0.25,0.21,0.31,0.31,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/15/2021,6.62,6.26,4.76,3.6,4.84,3.33,4.31,5.98,4.24,4.62,3.19,3.19,4.48,3.67,2.85,3.18,2.21,3.27,1.93,1.58,1.95,2.65,2.21,1.54,2.3,1.86,1.08,0.0,1.49,1.18,1.33,1.33,0.43,0.52,0.39,0.45,0.25,0.22,0.31,0.3,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,100.01
