,SAIA,CIVI,PDCE,TNDM,PIPR,MTSI,WTFC,EVR,AIT,SHOO,AVNT,SHYF,SLAB,THC,BANR,FOXF,BECN,LSCC,RRX,PACW,ACHC,STAG,WK,NOG,HUBG,AZEK,PZZA,EGP,PNFP,SPXC,AIMC,ELF,AXNX,MTH,BKH,CYBR,MLKN,FUL,AEIS,OMCL,SR,HQY,VBTX,EVRI,MGPI,ICFI,OPCH,RM,ILPT,HOMB,ATRC,VRRM,n/a,TTMI,CVLT,ESTA,BLFS,SEM,PFBC,ABCB,ASGN,ASAN,MGNI,URBN,EB,TXRH,ESE,BDN,LPSN,AMN,NTRA,ZD,INN,LADR,NDLS,KTB,TENB,COOK,PCRX,BAND,BIGC,TCMD,AA,BBIO,NTLA,BPMC,HALO,ARNA,IOVA,FATE,ARWR,CCSI,ASTE,SNCY,SGRY,BIRD,SUM
12/16/2021,2.14,1.72,1.71,1.71,1.69,1.63,1.52,1.48,1.48,1.47,1.46,1.44,1.43,1.43,1.41,1.39,1.39,1.35,1.33,1.33,1.3,1.29,1.28,1.27,1.26,1.23,1.22,1.22,1.21,1.21,1.21,1.2,1.2,1.2,1.19,1.16,1.16,1.16,1.15,1.15,1.12,1.12,1.12,1.12,1.12,1.1,1.09,1.07,1.07,1.07,1.06,1.05,1.04,1.04,1.03,1.03,1.02,1.02,1.02,1.01,0.99,0.98,0.97,0.94,0.9,0.9,0.88,0.88,0.86,0.86,0.85,0.85,0.83,0.82,0.81,0.81,0.8,0.78,0.72,0.68,0.68,0.66,0.65,0.49,0.48,0.47,0.44,0.41,0.41,0.4,0.24,0.18,0.1,0.0,0.0,0.0,100.0
12/17/2021,2.14,1.72,1.71,1.71,1.69,1.63,1.52,1.48,1.48,1.47,1.46,1.44,1.43,1.43,1.41,1.39,1.39,1.35,1.33,1.33,1.3,1.29,1.28,1.27,1.26,1.23,1.22,1.22,1.21,1.21,1.21,1.2,1.2,1.2,1.19,1.16,1.16,1.16,1.15,1.15,1.12,1.12,1.12,1.12,1.12,1.1,1.09,1.07,1.07,1.07,1.06,1.05,1.04,1.04,1.03,1.03,1.02,1.02,1.02,1.01,0.99,0.98,0.97,0.94,0.9,0.9,0.88,0.88,0.86,0.86,0.85,0.85,0.83,0.82,0.81,0.81,0.8,0.78,0.72,0.68,0.68,0.66,0.65,0.49,0.48,0.47,0.44,0.41,0.41,0.4,0.24,0.18,0.1,0.0,0.0,0.0,100.0
12/20/2021,2.14,1.72,1.71,1.71,1.69,1.63,1.52,1.48,1.48,1.47,1.46,1.44,1.43,1.43,1.41,1.39,1.39,1.35,1.33,1.33,1.3,1.29,1.28,1.27,1.26,1.23,1.22,1.22,1.21,1.21,1.21,1.2,1.2,1.2,1.19,1.16,1.16,1.16,1.15,1.15,1.12,1.12,1.12,1.12,1.12,1.1,1.09,1.07,1.07,1.07,1.06,1.05,1.04,1.04,1.03,1.03,1.02,1.02,1.02,1.01,0.99,0.98,0.97,0.94,0.9,0.9,0.88,0.88,0.86,0.86,0.85,0.85,0.83,0.82,0.81,0.81,0.8,0.78,0.72,0.68,0.68,0.66,0.65,0.49,0.48,0.47,0.44,0.41,0.41,0.4,0.24,0.18,0.1,0.0,0.0,0.0,100.0
12/21/2021,1.59,1.65,1.27,1.14,1.79,1.77,1.41,1.43,1.34,1.63,1.57,1.56,1.57,1.36,1.47,1.6,1.38,1.56,1.54,1.14,1.25,1.36,1.26,1.41,1.0,1.56,1.27,1.32,1.26,1.28,1.34,1.28,0.77,1.39,1.28,1.17,1.29,1.26,1.08,1.29,1.13,0.98,1.14,1.02,1.43,1.12,1.06,0.99,0.89,1.13,1.06,1.07,0.27,1.14,1.11,0.86,0.78,0.87,1.07,0.99,1.34,0.57,0.84,1.04,0.76,1.14,1.17,0.9,0.78,0.0,0.72,0.67,0.78,0.82,0.73,0.87,1.1,0.56,0.95,0.8,0.7,0.39,0.7,0.42,0.44,0.49,0.4,0.41,0.33,0.43,0.28,0.0,0.0,1.16,0.73,0.2,99.92
12/22/2021,1.59,1.65,1.27,1.14,1.79,1.77,1.41,1.43,1.34,1.63,1.57,1.56,1.57,1.36,1.47,1.6,1.38,1.56,1.54,1.14,1.25,1.36,1.26,1.41,1.0,1.56,1.27,1.32,1.26,1.28,1.34,1.28,0.77,1.39,1.28,1.17,1.29,1.26,1.08,1.29,1.13,0.98,1.14,1.02,1.43,1.12,1.06,0.99,0.89,1.13,1.06,1.07,0.27,1.14,1.11,0.86,0.78,0.87,1.07,0.99,1.34,0.57,0.84,1.04,0.76,1.14,1.17,0.9,0.78,0.0,0.72,0.67,0.78,0.82,0.73,0.87,1.1,0.56,0.95,0.8,0.7,0.39,0.7,0.42,0.44,0.49,0.4,0.41,0.33,0.43,0.28,0.0,0.0,1.16,0.73,0.2,99.92
12/23/2021,1.59,1.65,1.27,1.14,1.79,1.77,1.41,1.43,1.34,1.63,1.57,1.56,1.57,1.36,1.47,1.6,1.38,1.56,1.54,1.14,1.25,1.36,1.26,1.41,1.0,1.56,1.27,1.32,1.26,1.28,1.34,1.28,0.77,1.39,1.28,1.17,1.29,1.26,1.08,1.29,1.13,0.98,1.14,1.02,1.43,1.12,1.06,0.99,0.89,1.13,1.06,1.07,0.27,1.14,1.11,0.86,0.78,0.87,1.07,0.99,1.34,0.57,0.84,1.04,0.76,1.14,1.17,0.9,0.78,0.0,0.72,0.67,0.78,0.82,0.73,0.87,1.1,0.56,0.95,0.8,0.7,0.39,0.7,0.42,0.44,0.49,0.4,0.41,0.33,0.43,0.28,0.0,0.0,1.16,0.73,0.2,99.92
12/24/2021,1.59,1.65,1.27,1.14,1.79,1.77,1.41,1.43,1.34,1.63,1.57,1.56,1.57,1.36,1.47,1.6,1.38,1.56,1.54,1.14,1.25,1.36,1.26,1.41,1.0,1.56,1.27,1.32,1.26,1.28,1.34,1.28,0.77,1.39,1.28,1.17,1.29,1.26,1.08,1.29,1.13,0.98,1.14,1.02,1.43,1.12,1.06,0.99,0.89,1.13,1.06,1.07,0.27,1.14,1.11,0.86,0.78,0.87,1.07,0.99,1.34,0.57,0.84,1.04,0.76,1.14,1.17,0.9,0.78,0.0,0.72,0.67,0.78,0.82,0.73,0.87,1.1,0.56,0.95,0.8,0.7,0.39,0.7,0.42,0.44,0.49,0.4,0.41,0.33,0.43,0.28,0.0,0.0,1.16,0.73,0.2,99.92
12/27/2021,1.59,1.65,1.27,1.14,1.79,1.77,1.41,1.43,1.34,1.63,1.57,1.56,1.57,1.36,1.47,1.6,1.38,1.56,1.54,1.14,1.25,1.36,1.26,1.41,1.0,1.56,1.27,1.32,1.26,1.28,1.34,1.28,0.77,1.39,1.28,1.17,1.29,1.26,1.08,1.29,1.13,0.98,1.14,1.02,1.43,1.12,1.06,0.99,0.89,1.13,1.06,1.07,0.27,1.14,1.11,0.86,0.78,0.87,1.07,0.99,1.34,0.57,0.84,1.04,0.76,1.14,1.17,0.9,0.78,0.0,0.72,0.67,0.78,0.82,0.73,0.87,1.1,0.56,0.95,0.8,0.7,0.39,0.7,0.42,0.44,0.49,0.4,0.41,0.33,0.43,0.28,0.0,0.0,1.16,0.73,0.2,99.92
12/28/2021,1.59,1.65,1.27,1.14,1.79,1.77,1.41,1.43,1.34,1.63,1.57,1.56,1.57,1.36,1.47,1.6,1.38,1.56,1.54,1.14,1.25,1.36,1.26,1.41,1.0,1.56,1.27,1.32,1.26,1.28,1.34,1.28,0.77,1.39,1.28,1.17,1.29,1.26,1.08,1.29,1.13,0.98,1.14,1.02,1.43,1.12,1.06,0.99,0.89,1.13,1.06,1.07,0.27,1.14,1.11,0.86,0.78,0.87,1.07,0.99,1.34,0.57,0.84,1.04,0.76,1.14,1.17,0.9,0.78,0.0,0.72,0.67,0.78,0.82,0.73,0.87,1.1,0.56,0.95,0.8,0.7,0.39,0.7,0.42,0.44,0.49,0.4,0.41,0.33,0.43,0.28,0.0,0.0,1.16,0.73,0.2,99.92
12/29/2021,1.59,1.65,1.27,1.14,1.79,1.77,1.41,1.43,1.34,1.63,1.57,1.56,1.57,1.36,1.47,1.6,1.38,1.56,1.54,1.14,1.25,1.36,1.26,1.41,1.0,1.56,1.27,1.32,1.26,1.28,1.34,1.28,0.77,1.39,1.28,1.17,1.29,1.26,1.08,1.29,1.13,0.98,1.14,1.02,1.43,1.12,1.06,0.99,0.89,1.13,1.06,1.07,0.27,1.14,1.11,0.86,0.78,0.87,1.07,0.99,1.34,0.57,0.84,1.04,0.76,1.14,1.17,0.9,0.78,0.0,0.72,0.67,0.78,0.82,0.73,0.87,1.1,0.56,0.95,0.8,0.7,0.39,0.7,0.42,0.44,0.49,0.4,0.41,0.33,0.43,0.28,0.0,0.0,1.16,0.73,0.2,99.92
12/30/2021,1.59,1.65,1.27,1.14,1.79,1.77,1.41,1.43,1.34,1.63,1.57,1.56,1.57,1.36,1.47,1.6,1.38,1.56,1.54,1.14,1.25,1.36,1.26,1.41,1.0,1.56,1.27,1.32,1.26,1.28,1.34,1.28,0.77,1.39,1.28,1.17,1.29,1.26,1.08,1.29,1.13,0.98,1.14,1.02,1.43,1.12,1.06,0.99,0.89,1.13,1.06,1.07,0.27,1.14,1.11,0.86,0.78,0.87,1.07,0.99,1.34,0.57,0.84,1.04,0.76,1.14,1.17,0.9,0.78,0.0,0.72,0.67,0.78,0.82,0.73,0.87,1.1,0.56,0.95,0.8,0.7,0.39,0.7,0.42,0.44,0.49,0.4,0.41,0.33,0.43,0.28,0.0,0.0,1.16,0.73,0.2,99.92
12/31/2021,1.59,1.65,1.27,1.14,1.79,1.77,1.41,1.43,1.34,1.63,1.57,1.56,1.57,1.36,1.47,1.6,1.38,1.56,1.54,1.14,1.25,1.36,1.26,1.41,1.0,1.56,1.27,1.32,1.26,1.28,1.34,1.28,0.77,1.39,1.28,1.17,1.29,1.26,1.08,1.29,1.13,0.98,1.14,1.02,1.43,1.12,1.06,0.99,0.89,1.13,1.06,1.07,0.27,1.14,1.11,0.86,0.78,0.87,1.07,0.99,1.34,0.57,0.84,1.04,0.76,1.14,1.17,0.9,0.78,0.0,0.72,0.67,0.78,0.82,0.73,0.87,1.1,0.56,0.95,0.8,0.7,0.39,0.7,0.42,0.44,0.49,0.4,0.41,0.33,0.43,0.28,0.0,0.0,1.16,0.73,0.2,99.92
01/03/2022,1.59,1.65,1.27,1.14,1.79,1.77,1.41,1.43,1.34,1.63,1.57,1.56,1.57,1.36,1.47,1.6,1.38,1.56,1.54,1.14,1.25,1.36,1.26,1.41,1.0,1.56,1.27,1.32,1.26,1.28,1.34,1.28,0.77,1.39,1.28,1.17,1.29,1.26,1.08,1.29,1.13,0.98,1.14,1.02,1.43,1.12,1.06,0.99,0.89,1.13,1.06,1.07,0.27,1.14,1.11,0.86,0.78,0.87,1.07,0.99,1.34,0.57,0.84,1.04,0.76,1.14,1.17,0.9,0.78,0.0,0.72,0.67,0.78,0.82,0.73,0.87,1.1,0.56,0.95,0.8,0.7,0.39,0.7,0.42,0.44,0.49,0.4,0.41,0.33,0.43,0.28,0.0,0.0,1.16,0.73,0.2,99.92
01/03/2022,1.59,1.65,1.27,1.14,1.79,1.77,1.41,1.43,1.34,1.63,1.57,1.56,1.57,1.36,1.47,1.6,1.38,1.56,1.54,1.14,1.25,1.36,1.26,1.41,1.0,1.56,1.27,1.32,1.26,1.28,1.34,1.28,0.77,1.39,1.28,1.17,1.29,1.26,1.08,1.29,1.13,0.98,1.14,1.02,1.43,1.12,1.06,0.99,0.89,1.13,1.06,1.07,0.27,1.14,1.11,0.86,0.78,0.87,1.07,0.99,1.34,0.57,0.84,1.04,0.76,1.14,1.17,0.9,0.78,0.0,0.72,0.67,0.78,0.82,0.73,0.87,1.1,0.56,0.95,0.8,0.7,0.39,0.7,0.42,0.44,0.49,0.4,0.41,0.33,0.43,0.28,0.0,0.0,1.16,0.73,0.2,99.92
01/03/2022,1.59,1.65,1.27,1.14,1.79,1.77,1.41,1.43,1.34,1.63,1.57,1.56,1.57,1.36,1.47,1.6,1.38,1.56,1.54,1.14,1.25,1.36,1.26,1.41,1.0,1.56,1.27,1.32,1.26,1.28,1.34,1.28,0.77,1.39,1.28,1.17,1.29,1.26,1.08,1.29,1.13,0.98,1.14,1.02,1.43,1.12,1.06,0.99,0.89,1.13,1.06,1.07,0.27,1.14,1.11,0.86,0.78,0.87,1.07,0.99,1.34,0.57,0.84,1.04,0.76,1.14,1.17,0.9,0.78,0.0,0.72,0.67,0.78,0.82,0.73,0.87,1.1,0.56,0.95,0.8,0.7,0.39,0.7,0.42,0.44,0.49,0.4,0.41,0.33,0.43,0.28,0.0,0.0,1.16,0.73,0.2,99.92
01/04/2022,1.59,1.65,1.27,1.14,1.79,1.77,1.41,1.43,1.34,1.63,1.57,1.56,1.57,1.36,1.47,1.6,1.38,1.56,1.54,1.14,1.25,1.36,1.26,1.41,1.0,1.56,1.27,1.32,1.26,1.28,1.34,1.28,0.77,1.39,1.28,1.17,1.29,1.26,1.08,1.29,1.13,0.98,1.14,1.02,1.43,1.12,1.06,0.99,0.89,1.13,1.06,1.07,0.27,1.14,1.11,0.86,0.78,0.87,1.07,0.99,1.34,0.57,0.84,1.04,0.76,1.14,1.17,0.9,0.78,0.0,0.72,0.67,0.78,0.82,0.73,0.87,1.1,0.56,0.95,0.8,0.7,0.39,0.7,0.42,0.44,0.49,0.4,0.41,0.33,0.43,0.28,0.0,0.0,1.16,0.73,0.2,99.92
01/05/2022,1.59,1.65,1.27,1.14,1.79,1.77,1.41,1.43,1.34,1.63,1.57,1.56,1.57,1.36,1.47,1.6,1.38,1.56,1.54,1.14,1.25,1.36,1.26,1.41,1.0,1.56,1.27,1.32,1.26,1.28,1.34,1.28,0.77,1.39,1.28,1.17,1.29,1.26,1.08,1.29,1.13,0.98,1.14,1.02,1.43,1.12,1.06,0.99,0.89,1.13,1.06,1.07,0.27,1.14,1.11,0.86,0.78,0.87,1.07,0.99,1.34,0.57,0.84,1.04,0.76,1.14,1.17,0.9,0.78,0.0,0.72,0.67,0.78,0.82,0.73,0.87,1.1,0.56,0.95,0.8,0.7,0.39,0.7,0.42,0.44,0.49,0.4,0.41,0.33,0.43,0.28,0.0,0.0,1.16,0.73,0.2,99.92
01/06/2022,1.59,1.65,1.27,1.14,1.79,1.77,1.41,1.43,1.34,1.63,1.57,1.56,1.57,1.36,1.47,1.6,1.38,1.56,1.54,1.14,1.25,1.36,1.26,1.41,1.0,1.56,1.27,1.32,1.26,1.28,1.34,1.28,0.77,1.39,1.28,1.17,1.29,1.26,1.08,1.29,1.13,0.98,1.14,1.02,1.43,1.12,1.06,0.99,0.89,1.13,1.06,1.07,0.27,1.14,1.11,0.86,0.78,0.87,1.07,0.99,1.34,0.57,0.84,1.04,0.76,1.14,1.17,0.9,0.78,0.0,0.72,0.67,0.78,0.82,0.73,0.87,1.1,0.56,0.95,0.8,0.7,0.39,0.7,0.42,0.44,0.49,0.4,0.41,0.33,0.43,0.28,0.0,0.0,1.16,0.73,0.2,99.92
01/07/2022,1.59,1.65,1.27,1.14,1.79,1.77,1.41,1.43,1.34,1.63,1.57,1.56,1.57,1.36,1.47,1.6,1.38,1.56,1.54,1.14,1.25,1.36,1.26,1.41,1.0,1.56,1.27,1.32,1.26,1.28,1.34,1.28,0.77,1.39,1.28,1.17,1.29,1.26,1.08,1.29,1.13,0.98,1.14,1.02,1.43,1.12,1.06,0.99,0.89,1.13,1.06,1.07,0.27,1.14,1.11,0.86,0.78,0.87,1.07,0.99,1.34,0.57,0.84,1.04,0.76,1.14,1.17,0.9,0.78,0.0,0.72,0.67,0.78,0.82,0.73,0.87,1.1,0.56,0.95,0.8,0.7,0.39,0.7,0.42,0.44,0.49,0.4,0.41,0.33,0.43,0.28,0.0,0.0,1.16,0.73,0.2,99.92
01/10/2022,1.59,1.65,1.27,1.14,1.79,1.77,1.41,1.43,1.34,1.63,1.57,1.56,1.57,1.36,1.47,1.6,1.38,1.56,1.54,1.14,1.25,1.36,1.26,1.41,1.0,1.56,1.27,1.32,1.26,1.28,1.34,1.28,0.77,1.39,1.28,1.17,1.29,1.26,1.08,1.29,1.13,0.98,1.14,1.02,1.43,1.12,1.06,0.99,0.89,1.13,1.06,1.07,0.27,1.14,1.11,0.86,0.78,0.87,1.07,0.99,1.34,0.57,0.84,1.04,0.76,1.14,1.17,0.9,0.78,0.0,0.72,0.67,0.78,0.82,0.73,0.87,1.1,0.56,0.95,0.8,0.7,0.39,0.7,0.42,0.44,0.49,0.4,0.41,0.33,0.43,0.28,0.0,0.0,1.16,0.73,0.2,99.92
01/11/2022,1.59,1.65,1.27,1.14,1.79,1.77,1.41,1.43,1.34,1.63,1.57,1.56,1.57,1.36,1.47,1.6,1.38,1.56,1.54,1.14,1.25,1.36,1.26,1.41,1.0,1.56,1.27,1.32,1.26,1.28,1.34,1.28,0.77,1.39,1.28,1.17,1.29,1.26,1.08,1.29,1.13,0.98,1.14,1.02,1.43,1.12,1.06,0.99,0.89,1.13,1.06,1.07,0.27,1.14,1.11,0.86,0.78,0.87,1.07,0.99,1.34,0.57,0.84,1.04,0.76,1.14,1.17,0.9,0.78,0.0,0.72,0.67,0.78,0.82,0.73,0.87,1.1,0.56,0.95,0.8,0.7,0.39,0.7,0.42,0.44,0.49,0.4,0.41,0.33,0.43,0.28,0.0,0.0,1.16,0.73,0.2,99.92
01/12/2022,1.59,1.65,1.27,1.14,1.79,1.77,1.41,1.43,1.34,1.63,1.57,1.56,1.57,1.36,1.47,1.6,1.38,1.56,1.54,1.14,1.25,1.36,1.26,1.41,1.0,1.56,1.27,1.32,1.26,1.28,1.34,1.28,0.77,1.39,1.28,1.17,1.29,1.26,1.08,1.29,1.13,0.98,1.14,1.02,1.43,1.12,1.06,0.99,0.89,1.13,1.06,1.07,0.27,1.14,1.11,0.86,0.78,0.87,1.07,0.99,1.34,0.57,0.84,1.04,0.76,1.14,1.17,0.9,0.78,0.0,0.72,0.67,0.78,0.82,0.73,0.87,1.1,0.56,0.95,0.8,0.7,0.39,0.7,0.42,0.44,0.49,0.4,0.41,0.33,0.43,0.28,0.0,0.0,1.16,0.73,0.2,99.92
01/13/2022,1.59,1.65,1.27,1.14,1.79,1.77,1.41,1.43,1.34,1.63,1.57,1.56,1.57,1.36,1.47,1.6,1.38,1.56,1.54,1.14,1.25,1.36,1.26,1.41,1.0,1.56,1.27,1.32,1.26,1.28,1.34,1.28,0.77,1.39,1.28,1.17,1.29,1.26,1.08,1.29,1.13,0.98,1.14,1.02,1.43,1.12,1.06,0.99,0.89,1.13,1.06,1.07,0.27,1.14,1.11,0.86,0.78,0.87,1.07,0.99,1.34,0.57,0.84,1.04,0.76,1.14,1.17,0.9,0.78,0.0,0.72,0.67,0.78,0.82,0.73,0.87,1.1,0.56,0.95,0.8,0.7,0.39,0.7,0.42,0.44,0.49,0.4,0.41,0.33,0.43,0.28,0.0,0.0,1.16,0.73,0.2,99.92
