,UWL.AX,LBTYA,CHTR,AMT,CABO,LUMN,ATUS,CCI,SBAC,MEGACPO.MX,CMCSA,CCOI,SWCH,788.HK,UNIT,CONE,EQIX,CNSL,WOW,COR,DLR,TOWR.JK,SLC.AX,FGXXX,4423.T,DIF.F.BK,CJLU.SI,1686.HK,NXT.AX,GDS,CNU.NZ,INW.MI,LILAK,CLNX.MC,QBR.B.TO,NOS.LS,TIMECOM.KL,TNET.BR,CCA.TO,VNET,TBIG.JK,n/a,SUM
12/02/2021,6.29,6.66,6.45,5.47,6.06,5.38,5.08,4.82,4.33,3.46,3.23,3.26,3.2,2.98,2.72,2.91,2.61,2.56,2.41,2.48,2.3,1.78,0.88,0.86,0.78,0.8,0.73,0.72,0.7,0.72,0.72,0.76,0.64,0.7,0.68,0.69,0.69,0.68,0.64,0.47,0.73,0.0,100.03
12/06/2021,6.32,6.53,6.38,5.54,5.98,5.26,5.05,4.87,4.37,3.53,3.25,3.26,3.27,2.94,2.75,2.9,2.69,2.49,2.46,2.48,2.35,1.81,0.87,0.86,0.75,0.78,0.73,0.72,0.71,0.71,0.72,0.76,0.63,0.7,0.68,0.69,0.7,0.67,0.63,0.44,0.76,0.0,99.99
12/07/2021,6.32,6.53,6.38,5.54,5.98,5.26,5.05,4.87,4.37,3.53,3.25,3.26,3.27,2.94,2.75,2.9,2.69,2.49,2.46,2.48,2.35,1.81,0.87,0.86,0.75,0.78,0.73,0.72,0.71,0.71,0.72,0.76,0.63,0.7,0.68,0.69,0.7,0.67,0.63,0.44,0.76,0.0,99.99
12/08/2021,6.32,6.53,6.38,5.54,5.98,5.26,5.05,4.87,4.37,3.53,3.25,3.26,3.27,2.94,2.75,2.9,2.69,2.49,2.46,2.48,2.35,1.81,0.87,0.86,0.75,0.78,0.73,0.72,0.71,0.71,0.72,0.76,0.63,0.7,0.68,0.69,0.7,0.67,0.63,0.44,0.76,0.0,99.99
12/09/2021,6.32,6.53,6.38,5.54,5.98,5.26,5.05,4.87,4.37,3.53,3.25,3.26,3.27,2.94,2.75,2.9,2.69,2.49,2.46,2.48,2.35,1.81,0.87,0.86,0.75,0.78,0.73,0.72,0.71,0.71,0.72,0.76,0.63,0.7,0.68,0.69,0.7,0.67,0.63,0.44,0.76,0.0,99.99
12/10/2021,6.32,6.53,6.38,5.54,5.98,5.26,5.05,4.87,4.37,3.53,3.25,3.26,3.27,2.94,2.75,2.9,2.69,2.49,2.46,2.48,2.35,1.81,0.87,0.86,0.75,0.78,0.73,0.72,0.71,0.71,0.72,0.76,0.63,0.7,0.68,0.69,0.7,0.67,0.63,0.44,0.76,0.0,99.99
12/13/2021,6.32,6.53,6.38,5.54,5.98,5.26,5.05,4.87,4.37,3.53,3.25,3.26,3.27,2.94,2.75,2.9,2.69,2.49,2.46,2.48,2.35,1.81,0.87,0.86,0.75,0.78,0.73,0.72,0.71,0.71,0.72,0.76,0.63,0.7,0.68,0.69,0.7,0.67,0.63,0.44,0.76,0.0,99.99
12/14/2021,6.32,6.53,6.38,5.54,5.98,5.26,5.05,4.87,4.37,3.53,3.25,3.26,3.27,2.94,2.75,2.9,2.69,2.49,2.46,2.48,2.35,1.81,0.87,0.86,0.75,0.78,0.73,0.72,0.71,0.71,0.72,0.76,0.63,0.7,0.68,0.69,0.7,0.67,0.63,0.44,0.76,0.0,99.99
12/15/2021,6.32,6.53,6.38,5.54,5.98,5.26,5.05,4.87,4.37,3.53,3.25,3.26,3.27,2.94,2.75,2.9,2.69,2.49,2.46,2.48,2.35,1.81,0.87,0.86,0.75,0.78,0.73,0.72,0.71,0.71,0.72,0.76,0.63,0.7,0.68,0.69,0.7,0.67,0.63,0.44,0.76,0.0,99.99
12/16/2021,6.32,6.53,6.38,5.54,5.98,5.26,5.05,4.87,4.37,3.53,3.25,3.26,3.27,2.94,2.75,2.9,2.69,2.49,2.46,2.48,2.35,1.81,0.87,0.86,0.75,0.78,0.73,0.72,0.71,0.71,0.72,0.76,0.63,0.7,0.68,0.69,0.7,0.67,0.63,0.44,0.76,0.0,99.99
12/17/2021,6.32,6.53,6.38,5.54,5.98,5.26,5.05,4.87,4.37,3.53,3.25,3.26,3.27,2.94,2.75,2.9,2.69,2.49,2.46,2.48,2.35,1.81,0.87,0.86,0.75,0.78,0.73,0.72,0.71,0.71,0.72,0.76,0.63,0.7,0.68,0.69,0.7,0.67,0.63,0.44,0.76,0.0,99.99
12/20/2021,6.32,6.53,6.38,5.54,5.98,5.26,5.05,4.87,4.37,3.53,3.25,3.26,3.27,2.94,2.75,2.9,2.69,2.49,2.46,2.48,2.35,1.81,0.87,0.86,0.75,0.78,0.73,0.72,0.71,0.71,0.72,0.76,0.63,0.7,0.68,0.69,0.7,0.67,0.63,0.44,0.76,0.0,99.99
12/22/2021,7.21,6.53,6.16,5.88,5.5,5.05,4.88,5.28,4.54,4.19,3.07,3.1,3.23,2.64,2.6,2.93,2.69,2.65,2.6,2.46,2.42,1.7,0.89,0.24,0.76,0.8,0.73,0.74,0.73,0.58,0.75,0.77,0.6,0.69,0.65,0.69,0.69,0.66,0.62,0.36,0.77,0.0,100.03
12/23/2021,6.66,6.49,6.35,5.89,5.79,5.14,4.87,5.35,4.62,4.23,3.06,3.1,3.27,2.63,2.6,2.95,2.71,2.45,2.65,2.47,2.42,1.73,0.85,0.24,0.75,0.79,0.73,0.74,0.73,0.57,0.76,0.77,0.59,0.64,0.64,0.69,0.69,0.66,0.62,0.35,0.76,0.0,100.0
12/24/2021,6.66,6.49,6.35,5.89,5.79,5.14,4.87,5.35,4.62,4.23,3.06,3.1,3.27,2.63,2.6,2.95,2.71,2.45,2.65,2.47,2.42,1.73,0.85,0.24,0.75,0.79,0.73,0.74,0.73,0.57,0.76,0.77,0.59,0.64,0.64,0.69,0.69,0.66,0.62,0.35,0.76,0.0,100.0
12/29/2021,6.78,6.62,6.24,5.78,5.79,5.18,5.06,5.18,4.53,4.22,3.11,3.12,3.39,2.46,2.66,2.9,2.64,2.54,2.68,2.42,2.35,1.69,0.86,0.26,0.73,0.78,0.73,0.75,0.75,0.59,0.77,0.76,0.63,0.64,0.65,0.67,0.68,0.66,0.62,0.38,0.75,0.0,100.0
12/30/2021,6.9,6.57,6.22,5.87,5.77,5.13,5.0,5.27,4.59,4.27,3.1,3.08,3.37,2.44,2.66,2.88,2.67,2.51,2.69,2.39,2.38,1.73,0.86,0.26,0.7,0.77,0.72,0.74,0.75,0.57,0.76,0.75,0.62,0.65,0.64,0.68,0.69,0.66,0.63,0.36,0.72,-0.01,100.01
12/31/2021,6.88,6.63,6.24,5.92,5.77,5.1,5.06,5.3,4.6,4.34,3.1,3.06,3.35,2.43,2.72,2.88,2.67,2.45,2.68,2.4,2.4,1.7,0.86,0.01,0.72,0.78,0.71,0.74,0.75,0.56,0.76,0.76,0.62,0.66,0.64,0.68,0.69,0.67,0.62,0.36,0.72,0.0,99.99
01/03/2022,6.95,6.47,6.23,5.95,5.82,5.06,5.13,5.32,4.63,4.29,3.09,3.07,3.33,2.42,2.78,2.87,2.69,2.42,2.67,0.0,2.4,1.66,0.87,2.4,0.71,0.77,0.72,0.75,0.76,0.58,0.76,0.77,0.62,0.66,0.65,0.67,0.71,0.66,0.62,0.37,0.71,0.0,100.01
01/03/2022,6.95,6.47,6.23,5.95,5.82,5.06,5.13,5.32,4.63,4.29,3.09,3.07,3.33,2.42,2.78,2.87,2.69,2.42,2.67,0.0,2.4,1.66,0.87,2.4,0.71,0.77,0.72,0.75,0.76,0.58,0.76,0.77,0.62,0.66,0.65,0.67,0.71,0.66,0.62,0.37,0.71,0.0,100.01
01/03/2022,6.95,6.47,6.23,5.95,5.82,5.06,5.13,5.32,4.63,4.29,3.09,3.07,3.33,2.42,2.78,2.87,2.69,2.42,2.67,0.0,2.4,1.66,0.87,2.4,0.71,0.77,0.72,0.75,0.76,0.58,0.76,0.77,0.62,0.66,0.65,0.67,0.71,0.66,0.62,0.37,0.71,0.0,100.01
01/04/2022,6.95,6.47,6.23,5.95,5.82,5.06,5.13,5.32,4.63,4.29,3.09,3.07,3.33,2.42,2.78,2.87,2.69,2.42,2.67,0.0,2.4,1.66,0.87,2.4,0.71,0.77,0.72,0.75,0.76,0.58,0.76,0.77,0.62,0.66,0.65,0.67,0.71,0.66,0.62,0.37,0.71,0.0,100.01
01/05/2022,6.95,6.47,6.23,5.95,5.82,5.06,5.13,5.32,4.63,4.29,3.09,3.07,3.33,2.42,2.78,2.87,2.69,2.42,2.67,0.0,2.4,1.66,0.87,2.4,0.71,0.77,0.72,0.75,0.76,0.58,0.76,0.77,0.62,0.66,0.65,0.67,0.71,0.66,0.62,0.37,0.71,0.0,100.01
01/06/2022,6.95,6.47,6.23,5.95,5.82,5.06,5.13,5.32,4.63,4.29,3.09,3.07,3.33,2.42,2.78,2.87,2.69,2.42,2.67,0.0,2.4,1.66,0.87,2.4,0.71,0.77,0.72,0.75,0.76,0.58,0.76,0.77,0.62,0.66,0.65,0.67,0.71,0.66,0.62,0.37,0.71,0.0,100.01
01/12/2022,7.08,6.77,6.16,5.79,5.8,5.82,5.29,5.29,4.41,4.41,3.28,3.06,3.27,2.82,2.76,3.02,2.56,2.58,2.75,0.0,2.34,1.69,0.9,0.28,0.7,0.82,0.75,0.76,0.73,0.57,0.8,0.77,0.67,0.62,0.71,0.73,0.73,0.73,0.68,0.38,0.72,0.0,100.0
01/13/2022,7.11,6.76,6.15,5.78,5.71,5.81,5.36,5.22,4.37,4.39,3.33,3.06,3.37,2.84,2.74,3.04,2.55,2.55,2.74,0.0,2.33,1.69,0.89,0.28,0.71,0.83,0.76,0.77,0.72,0.6,0.8,0.76,0.64,0.59,0.73,0.72,0.73,0.75,0.69,0.4,0.73,0.0,100.0
01/14/2022,7.11,6.76,6.15,5.78,5.71,5.81,5.36,5.22,4.37,4.39,3.33,3.06,3.37,2.84,2.74,3.04,2.55,2.55,2.74,0.0,2.33,1.69,0.89,0.28,0.71,0.83,0.76,0.77,0.72,0.6,0.8,0.76,0.64,0.59,0.73,0.72,0.73,0.75,0.69,0.4,0.73,0.0,100.0
01/17/2022,7.12,7.02,6.36,5.65,5.54,5.28,5.35,5.19,4.32,4.54,3.42,2.93,3.28,2.85,2.72,3.08,2.52,2.52,2.77,0.0,2.33,1.71,0.95,0.28,0.74,0.86,0.77,0.79,0.74,0.58,0.81,0.76,0.65,0.62,0.77,0.75,0.76,0.78,0.69,0.4,0.77,0.0,99.97
01/18/2022,7.12,7.02,6.36,5.65,5.54,5.28,5.35,5.19,4.32,4.54,3.42,2.93,3.28,2.85,2.72,3.08,2.52,2.52,2.77,0.0,2.33,1.71,0.95,0.28,0.74,0.86,0.77,0.79,0.74,0.58,0.81,0.76,0.65,0.62,0.77,0.75,0.76,0.78,0.69,0.4,0.77,0.0,99.97
01/19/2022,7.12,7.02,6.36,5.65,5.54,5.28,5.35,5.19,4.32,4.54,3.42,2.93,3.28,2.85,2.72,3.08,2.52,2.52,2.77,0.0,2.33,1.71,0.95,0.28,0.74,0.86,0.77,0.79,0.74,0.58,0.81,0.76,0.65,0.62,0.77,0.75,0.76,0.78,0.69,0.4,0.77,0.0,99.97
01/20/2022,7.12,7.02,6.36,5.65,5.54,5.28,5.35,5.19,4.32,4.54,3.42,2.93,3.28,2.85,2.72,3.08,2.52,2.52,2.77,0.0,2.33,1.71,0.95,0.28,0.74,0.86,0.77,0.79,0.74,0.58,0.81,0.76,0.65,0.62,0.77,0.75,0.76,0.78,0.69,0.4,0.77,0.0,99.97
01/21/2022,7.08,7.04,6.11,5.65,5.65,5.32,5.06,5.2,4.3,4.75,3.41,2.88,3.25,2.94,2.79,3.13,2.55,2.52,2.7,0.0,2.35,1.71,0.95,0.33,0.71,0.88,0.78,0.81,0.72,0.59,0.84,0.75,0.64,0.61,0.78,0.75,0.77,0.8,0.69,0.42,0.78,0.0,99.99
01/24/2022,6.98,7.05,6.12,5.65,5.74,5.34,5.31,5.2,4.25,4.57,3.44,2.87,3.28,2.98,2.74,3.15,2.52,2.48,2.65,0.0,2.35,1.69,0.96,0.33,0.7,0.88,0.79,0.8,0.71,0.59,0.83,0.77,0.63,0.62,0.78,0.76,0.74,0.8,0.71,0.42,0.79,0.0,99.97
01/25/2022,6.81,7.05,6.08,5.62,5.66,5.36,5.2,5.2,4.23,4.72,3.46,2.87,3.27,3.07,2.7,3.17,2.54,2.47,2.61,0.0,2.37,1.72,0.96,0.34,0.7,0.9,0.8,0.81,0.71,0.62,0.83,0.79,0.63,0.64,0.78,0.78,0.75,0.8,0.72,0.44,0.81,0.0,99.99
01/26/2022,6.51,6.95,6.14,5.68,5.67,5.43,4.96,5.29,4.23,4.72,3.48,2.89,3.28,3.09,2.74,3.21,2.55,2.5,2.64,0.0,2.4,1.81,0.96,0.34,0.71,0.92,0.8,0.81,0.68,0.6,0.83,0.79,0.62,0.64,0.78,0.8,0.77,0.82,0.71,0.4,0.83,0.0,99.98
01/27/2022,6.51,6.95,6.14,5.68,5.67,5.43,4.96,5.29,4.23,4.72,3.48,2.89,3.28,3.09,2.74,3.21,2.55,2.5,2.64,0.0,2.4,1.81,0.96,0.34,0.71,0.92,0.8,0.81,0.68,0.6,0.83,0.79,0.62,0.64,0.78,0.8,0.77,0.82,0.71,0.4,0.83,0.0,99.98
01/28/2022,6.51,6.95,6.14,5.68,5.67,5.43,4.96,5.29,4.23,4.72,3.48,2.89,3.28,3.09,2.74,3.21,2.55,2.5,2.64,0.0,2.4,1.81,0.96,0.34,0.71,0.92,0.8,0.81,0.68,0.6,0.83,0.79,0.62,0.64,0.78,0.8,0.77,0.82,0.71,0.4,0.83,0.0,99.97999999999999
