,PBH,MRK,ABBV,UTHR,JNJ,LLY,Alkermes Plc,ZTS,CTLT,HZNP,GILD,JAZZ,CAH,BMY,PFE,ELAN,ENDP,PRGO,BMRN,IONS,HTD.,ZGNX,ESPR,VRTX,PCRX,BPMC,TXMD,OCUL,TNXP,US Dollar,ALKS,CORT,Us Dollars,n/a,SUM
08/20/2021,9.06,7.9,8.04,8.34,8.07,5.19,0.0,4.45,4.38,4.38,4.2,2.94,3.57,3.99,4.95,3.35,2.45,1.45,0.88,0.93,0.0,0.71,0.64,0.85,0.85,0.92,0.57,0.62,0.5,0.0,4.88,0.84,0.0,0.1,100.0
08/23/2021,8.98,7.99,8.05,8.35,8.15,5.23,0.0,4.51,4.45,4.35,4.19,2.85,3.53,4.03,4.87,3.38,2.34,1.41,0.88,0.92,0.0,0.68,0.6,0.85,0.81,0.91,0.57,0.6,0.52,0.0,5.08,0.85,0.0,0.1,100.03
08/24/2021,9.02,8.01,8.11,8.49,8.19,5.24,0.0,4.53,4.55,4.43,4.23,2.9,3.54,4.07,4.86,3.38,1.4,1.45,0.88,0.95,0.0,0.71,0.6,0.85,0.84,0.93,0.57,0.62,0.51,0.0,5.16,0.86,0.0,0.1,99.98
08/25/2021,9.02,8.01,8.11,8.49,8.19,5.24,0.0,4.53,4.55,4.43,4.23,2.9,3.54,4.07,4.86,3.38,1.4,1.45,0.88,0.95,0.0,0.71,0.6,0.85,0.84,0.93,0.57,0.62,0.51,0.0,5.16,0.86,0.0,0.1,99.98
08/26/2021,8.27,8.11,7.88,7.64,7.71,4.55,0.0,4.17,4.08,4.04,4.12,3.95,4.03,4.02,4.0,3.82,3.16,1.66,1.0,0.99,0.0,0.91,0.99,0.9,0.93,0.89,0.91,0.9,0.87,0.0,4.28,0.94,0.0,0.0,99.72
08/27/2021,8.84,7.88,8.14,8.51,7.97,5.06,0.0,4.46,4.63,4.55,4.2,2.95,3.55,4.01,4.81,3.45,1.73,1.44,0.9,0.97,0.0,0.73,0.62,0.86,0.87,0.94,0.61,0.64,0.54,0.0,5.15,0.88,0.0,0.1,99.99
08/30/2021,8.72,7.82,8.25,8.58,7.94,5.07,0.0,4.48,4.82,4.58,4.19,2.89,3.55,3.95,4.74,3.53,1.59,1.42,0.93,0.95,0.0,0.74,0.6,0.86,0.86,0.92,0.61,0.66,0.54,0.0,5.22,0.89,0.0,0.1,100.0
08/31/2021,8.79,7.76,8.16,8.77,7.89,5.02,0.0,4.45,4.78,4.56,4.16,2.89,3.56,3.91,4.65,3.57,1.53,1.41,0.98,0.96,0.0,0.75,0.62,0.87,0.89,0.93,0.6,0.68,0.54,0.0,5.3,0.9,0.0,0.1,99.98
09/01/2021,8.79,7.76,8.16,8.77,7.89,5.02,0.0,4.45,4.78,4.56,4.16,2.89,3.56,3.91,4.65,3.57,1.53,1.41,0.98,0.96,0.0,0.75,0.62,0.87,0.89,0.93,0.6,0.68,0.54,0.0,5.3,0.9,0.0,0.1,99.98
09/02/2021,8.82,7.76,8.2,8.75,7.9,5.05,0.0,4.48,4.78,4.56,4.19,2.84,3.53,3.93,4.65,3.58,1.51,1.43,0.97,0.95,0.0,0.75,0.58,0.86,0.88,0.93,0.6,0.67,0.53,0.0,5.33,0.9,0.0,0.1,100.01
09/03/2021,8.84,7.72,8.2,8.88,7.86,4.97,0.0,4.45,4.78,4.53,4.23,2.84,3.6,3.91,4.57,3.56,1.5,1.44,0.98,0.96,0.0,0.76,0.59,0.86,0.88,0.92,0.59,0.65,0.54,0.0,5.3,0.89,0.0,0.21,100.01000000000002
09/06/2021,8.89,7.79,7.59,8.76,7.93,4.98,0.0,4.54,5.11,4.61,4.2,2.92,3.66,3.86,4.64,3.6,1.4,1.45,0.99,0.98,0.0,0.76,0.59,0.86,0.88,0.97,0.64,0.69,0.56,0.0,5.13,0.9,0.0,0.1,99.98
09/07/2021,8.87,7.83,7.59,8.73,7.96,5.0,0.0,4.57,5.15,4.62,4.19,2.96,3.68,3.84,4.65,3.65,1.41,1.48,0.99,0.96,0.0,0.76,0.57,0.86,0.85,0.97,0.59,0.68,0.54,0.0,5.07,0.9,0.0,0.1,100.02
09/08/2021,8.87,7.83,7.59,8.73,7.96,5.0,0.0,4.57,5.15,4.62,4.19,2.96,3.68,3.84,4.65,3.65,1.41,1.48,0.99,0.96,0.0,0.76,0.57,0.86,0.85,0.97,0.59,0.68,0.54,0.0,5.07,0.9,0.0,0.1,100.02
09/09/2021,8.87,7.83,7.59,8.73,7.96,5.0,0.0,4.57,5.15,4.62,4.19,2.96,3.68,3.84,4.65,3.65,1.41,1.48,0.99,0.96,0.0,0.76,0.57,0.86,0.85,0.97,0.59,0.68,0.54,0.0,5.07,0.9,0.0,0.1,100.02
09/10/2021,8.72,7.81,7.52,8.73,7.94,4.98,0.0,4.59,5.25,4.64,4.2,2.96,3.74,3.87,4.71,3.69,1.45,1.49,0.92,0.92,0.0,0.77,0.55,0.84,0.85,0.96,0.58,0.66,0.54,0.0,5.11,0.91,0.0,0.11,100.01
09/13/2021,8.63,7.68,7.48,8.95,7.84,4.74,0.0,4.6,5.31,4.62,4.22,2.98,3.75,3.82,4.69,3.68,1.41,1.6,0.96,0.9,0.0,0.8,0.56,0.83,0.86,0.96,0.59,0.71,0.53,0.0,5.25,0.91,0.0,0.14,100.0
09/14/2021,8.47,7.64,7.44,8.93,7.79,4.74,0.0,4.63,5.19,4.64,4.24,2.98,3.72,3.79,4.65,3.66,1.88,1.58,0.93,0.9,0.0,0.79,0.55,0.84,0.84,1.0,0.59,0.69,0.52,0.0,5.32,0.9,0.0,0.14,99.98
09/15/2021,8.47,7.64,7.44,8.93,7.79,4.74,0.0,4.63,5.19,4.64,4.24,2.98,3.72,3.79,4.65,3.66,1.88,1.58,0.93,0.9,0.0,0.79,0.55,0.84,0.84,1.0,0.59,0.69,0.52,0.0,5.32,0.9,0.0,0.14,99.98
09/16/2021,8.48,7.64,7.52,8.93,7.76,4.72,0.0,4.6,5.16,4.54,4.26,3.0,3.74,3.79,4.56,3.66,1.86,1.63,0.94,0.9,0.0,0.8,0.53,0.85,0.85,1.01,0.6,0.69,0.52,0.0,5.4,0.9,0.0,0.16,99.99999999999996
09/17/2021,8.55,7.58,7.5,8.95,7.77,4.65,0.0,4.6,5.26,4.62,4.25,3.02,3.71,3.77,4.6,3.65,1.81,1.68,0.92,0.91,0.0,0.78,0.54,0.84,0.84,1.02,0.56,0.69,0.49,0.0,5.38,0.89,0.0,0.16,99.99
09/20/2021,8.54,7.58,7.64,8.83,7.81,4.63,0.0,4.59,5.27,4.71,4.31,2.96,3.76,3.73,4.59,3.61,1.85,1.62,0.93,0.92,0.0,0.78,0.57,0.84,0.85,1.06,0.55,0.66,0.5,0.0,5.26,0.89,0.0,0.16,100.0
09/21/2021,8.51,7.57,7.63,8.63,7.81,4.62,0.0,4.51,5.21,4.8,4.34,3.0,3.76,3.74,4.54,3.61,1.93,1.61,0.94,0.94,0.0,0.81,0.59,0.85,0.87,1.09,0.54,0.68,0.49,0.0,5.33,0.89,0.0,0.16,100.0
09/22/2021,8.51,7.57,7.63,8.63,7.81,4.62,0.0,4.51,5.21,4.8,4.34,3.0,3.76,3.74,4.54,3.61,1.93,1.61,0.94,0.94,0.0,0.81,0.59,0.85,0.87,1.09,0.54,0.68,0.49,0.0,5.33,0.89,0.0,0.16,100.0
09/23/2021,7.68,7.82,7.14,3.88,7.94,3.76,0.0,4.08,4.37,4.19,4.09,1.61,4.12,3.8,8.05,1.57,1.97,1.74,3.86,1.5,0.0,1.67,1.57,1.52,1.54,1.85,1.39,1.56,0.0,0.0,3.98,1.58,0.0,0.18,100.01
09/24/2021,7.72,7.77,7.14,3.85,7.92,3.71,0.0,4.09,4.35,4.23,4.11,1.6,4.05,3.76,7.94,1.55,1.97,1.7,3.87,1.49,0.0,1.76,1.62,1.51,1.57,1.88,1.46,1.61,0.0,0.0,4.04,1.55,0.0,0.18,100.0
09/27/2021,7.77,7.69,6.98,3.79,7.74,3.65,0.0,4.07,4.39,4.12,4.0,1.63,3.98,3.69,7.8,1.55,2.35,1.66,3.83,1.49,0.0,1.69,1.48,1.47,1.56,1.87,1.43,1.64,0.0,0.0,4.15,1.53,0.0,1.02,100.02
09/28/2021,7.94,7.78,6.98,3.7,7.74,3.66,0.0,4.08,4.42,4.16,3.99,1.64,3.98,3.67,7.78,1.56,2.27,1.68,3.81,1.45,0.0,1.67,1.42,1.46,1.56,1.83,1.45,1.59,0.0,0.0,4.19,1.52,0.0,1.02,100.0
09/29/2021,7.94,7.78,6.98,3.7,7.74,3.66,0.0,4.08,4.42,4.16,3.99,1.64,3.98,3.67,7.78,1.56,2.27,1.68,3.81,1.45,0.0,1.67,1.42,1.46,1.56,1.83,1.45,1.59,0.0,0.0,4.19,1.52,0.0,1.02,100.0
09/30/2021,7.82,7.77,7.04,3.71,7.7,3.58,0.0,3.95,4.27,4.16,3.95,1.63,4.01,3.66,7.73,1.57,2.38,1.69,3.82,1.44,0.0,1.7,1.52,1.47,1.59,1.83,1.5,1.64,0.0,0.0,4.19,1.55,0.0,1.12,99.99
10/01/2021,7.92,7.85,7.09,3.61,7.77,3.54,0.0,3.89,4.22,4.09,3.97,1.63,4.03,3.7,7.72,1.58,2.42,1.71,3.78,1.4,0.0,1.68,1.57,1.47,1.55,1.8,1.53,1.61,0.0,0.0,4.24,1.52,0.0,1.13,100.02
10/04/2021,8.16,8.13,7.2,3.59,7.79,3.74,0.0,3.96,4.26,4.23,4.01,1.62,3.93,3.7,7.8,1.56,2.31,1.89,3.83,1.38,0.0,1.68,1.51,1.48,1.54,1.8,1.53,1.55,0.0,0.0,4.12,1.51,0.0,0.19,100.0
10/05/2021,8.0,8.74,7.23,3.59,7.68,3.68,0.0,3.97,4.19,4.21,3.9,1.6,3.95,3.69,7.72,1.56,2.43,1.93,3.8,1.37,0.0,1.71,1.49,1.46,1.56,1.77,1.51,1.59,0.0,0.0,4.09,1.51,0.0,0.05,99.98
10/06/2021,8.0,8.74,7.23,3.59,7.68,3.68,0.0,3.97,4.19,4.21,3.9,1.6,3.95,3.69,7.72,1.56,2.43,1.93,3.8,1.37,0.0,1.71,1.49,1.46,1.56,1.77,1.51,1.59,0.0,0.0,4.09,1.51,0.0,0.05,99.98
10/07/2021,8.0,8.74,7.23,3.59,7.68,3.68,0.0,3.97,4.19,4.21,3.9,1.6,3.95,3.69,7.72,1.56,2.43,1.93,3.8,1.37,0.0,1.71,1.49,1.46,1.56,1.77,1.51,1.59,0.0,0.0,4.09,1.51,0.0,0.05,99.98
10/08/2021,8.17,9.0,7.27,3.61,7.69,3.64,0.0,3.96,4.14,4.31,3.88,1.58,3.94,3.68,7.7,1.57,2.46,1.92,3.77,1.33,0.0,1.74,1.48,1.45,1.37,1.72,1.46,1.52,0.0,0.0,4.08,1.5,0.0,0.05,99.99
10/11/2021,8.29,8.72,7.29,3.72,7.71,3.68,0.0,3.99,4.14,4.37,3.87,1.7,3.87,3.69,7.61,1.6,2.42,1.94,3.86,1.37,0.0,1.76,1.28,1.48,1.35,1.69,1.43,1.53,0.0,0.0,4.16,1.5,0.0,0.0,100.02
10/12/2021,8.34,8.62,7.33,3.75,7.67,3.73,0.0,3.99,4.12,4.34,3.86,1.67,3.83,3.53,7.6,1.6,2.87,1.81,3.81,1.38,0.0,1.71,1.27,1.44,1.31,1.73,1.4,1.49,0.0,0.0,4.18,1.54,0.0,0.06,99.98
10/13/2021,8.34,8.62,7.33,3.75,7.67,3.73,0.0,3.99,4.12,4.34,3.86,1.67,3.83,3.53,7.6,1.6,2.87,1.81,3.81,1.38,0.0,1.71,1.27,1.44,1.31,1.73,1.4,1.49,0.0,0.0,4.18,1.54,0.0,0.06,99.98
10/14/2021,8.29,8.55,7.28,3.71,7.64,3.73,0.0,3.99,4.07,4.32,3.86,1.68,3.83,3.54,7.53,1.59,2.97,1.79,3.82,1.4,0.0,1.73,1.26,1.45,1.38,1.71,1.4,1.72,0.0,0.0,4.13,1.58,0.0,0.06,100.01000000000002
10/15/2021,8.32,8.53,7.18,3.66,7.54,3.73,0.0,3.99,4.08,4.34,3.83,1.66,3.79,3.53,7.52,1.56,2.95,1.78,3.86,1.39,0.0,1.72,1.28,1.46,1.42,1.72,1.47,1.85,0.0,0.0,4.18,1.62,0.0,0.06,100.02
10/18/2021,8.38,8.38,7.19,3.6,7.63,3.78,0.0,4.04,4.08,4.31,3.86,1.68,3.82,3.56,7.47,1.57,2.92,1.8,3.8,1.4,0.0,1.72,1.15,1.47,1.47,1.76,1.51,1.75,0.0,0.0,4.21,1.61,0.0,0.06,99.98000000000002
10/19/2021,8.42,8.39,7.23,3.6,7.7,3.81,0.0,4.09,4.08,4.29,3.84,1.73,3.82,3.61,7.45,1.58,2.95,1.77,3.73,1.43,0.0,1.72,1.14,1.47,1.45,1.74,1.47,1.72,0.0,0.0,4.19,1.53,0.0,0.06,100.01000000000002
10/20/2021,8.42,8.39,7.23,3.6,7.7,3.81,0.0,4.09,4.08,4.29,3.84,1.73,3.82,3.61,7.45,1.58,2.95,1.77,3.73,1.43,0.0,1.72,1.14,1.47,1.45,1.74,1.47,1.72,0.0,0.0,4.19,1.53,0.0,0.06,100.01000000000002
10/21/2021,8.53,8.36,7.18,3.59,7.73,3.87,0.0,4.14,4.18,4.37,3.79,1.75,3.79,3.56,7.5,1.57,2.97,1.79,3.67,1.25,0.0,1.68,1.11,1.48,1.47,1.74,1.52,1.79,0.0,0.0,4.05,1.46,0.0,0.1,99.98999999999998
10/22/2021,8.35,8.48,7.07,3.57,7.8,3.86,0.0,4.12,4.21,4.3,3.79,1.76,3.82,3.55,7.52,1.58,2.97,1.8,3.63,1.27,0.0,1.68,1.18,1.49,1.43,1.77,1.58,1.76,0.0,0.0,4.09,1.49,0.0,0.1,100.02
10/25/2021,8.41,8.58,7.08,3.66,7.73,3.86,0.0,4.12,4.13,4.3,3.75,1.77,3.83,3.55,7.59,1.61,2.97,1.79,3.65,1.23,0.0,1.67,1.16,1.48,1.43,1.75,1.59,1.72,0.0,0.0,4.03,1.46,0.0,0.1,100.0
10/26/2021,8.47,8.63,7.16,3.65,7.76,3.87,0.0,4.18,4.17,4.42,3.79,1.77,3.87,3.53,7.69,1.63,3.2,1.79,3.59,1.23,0.0,1.69,1.08,1.47,1.43,1.76,1.55,1.05,0.0,0.0,4.05,1.41,0.0,0.1,99.99
10/27/2021,8.47,8.63,7.16,3.65,7.76,3.87,0.0,4.18,4.17,4.42,3.79,1.77,3.87,3.53,7.69,1.63,3.2,1.79,3.59,1.23,0.0,1.69,1.08,1.47,1.43,1.76,1.55,1.05,0.0,0.0,4.05,1.41,0.0,0.1,99.99
10/28/2021,8.47,8.63,7.16,3.65,7.76,3.87,0.0,4.18,4.17,4.42,3.79,1.77,3.87,3.53,7.69,1.63,3.2,1.79,3.59,1.23,0.0,1.69,1.08,1.47,1.43,1.76,1.55,1.05,0.0,0.0,4.05,1.41,0.0,0.1,99.99
10/29/2021,8.54,8.66,7.1,3.64,7.76,3.88,0.0,4.23,4.11,4.39,3.81,1.74,3.8,3.54,7.67,1.63,3.3,1.76,3.57,1.21,0.0,1.72,0.96,1.48,1.43,1.76,1.54,1.12,0.0,0.0,4.16,1.37,0.0,0.1,99.98
11/01/2021,8.51,9.16,7.16,3.65,7.68,4.01,0.0,4.25,4.24,4.45,3.78,1.63,3.71,3.49,7.65,1.58,2.95,1.74,3.79,1.26,0.0,1.64,1.09,1.45,1.4,1.94,1.53,1.04,0.0,0.0,3.78,1.33,0.0,0.1,99.99
11/02/2021,8.45,9.22,7.41,3.59,7.61,3.99,0.0,4.27,4.27,4.48,3.6,1.6,3.68,3.53,7.68,1.56,2.94,1.75,3.8,1.27,0.0,1.64,1.09,1.46,1.4,1.91,1.45,1.0,0.0,0.0,3.92,1.34,0.0,0.1,100.01
11/03/2021,8.45,9.22,7.41,3.59,7.61,3.99,0.0,4.27,4.27,4.48,3.6,1.6,3.68,3.53,7.68,1.56,2.94,1.75,3.8,1.27,0.0,1.64,1.09,1.46,1.4,1.91,1.45,1.0,0.0,0.0,3.92,1.34,0.0,0.1,100.01
11/04/2021,8.45,9.22,7.41,3.59,7.61,3.99,0.0,4.27,4.27,4.48,3.6,1.6,3.68,3.53,7.68,1.56,2.94,1.75,3.8,1.27,0.0,1.64,1.09,1.46,1.4,1.91,1.45,1.0,0.0,0.0,3.92,1.34,0.0,0.1,100.01
11/05/2021,8.36,9.17,7.4,3.55,7.6,3.95,0.0,4.12,4.15,4.32,3.6,1.6,3.7,3.49,7.84,1.48,3.45,1.76,3.92,1.29,0.0,1.6,1.23,1.41,1.41,1.85,1.47,1.04,0.0,0.0,3.78,1.32,0.0,0.13,99.99
11/08/2021,8.48,9.26,7.38,3.7,7.5,4.14,0.0,4.2,3.9,4.05,3.6,1.57,3.7,3.5,7.51,1.52,3.33,1.74,3.91,1.35,0.0,1.65,1.25,1.5,1.47,1.87,1.49,1.02,0.0,0.0,3.83,1.46,0.0,0.13,100.00999999999998
11/09/2021,8.59,8.28,7.34,3.69,7.39,4.02,0.0,4.15,3.67,4.01,3.57,1.57,3.7,3.48,8.27,1.57,4.14,1.74,3.9,1.3,0.0,1.65,1.22,1.48,1.5,1.88,1.47,1.01,0.0,0.0,3.8,1.49,0.0,0.13,100.01
11/10/2021,8.59,8.28,7.34,3.69,7.39,4.02,0.0,4.15,3.67,4.01,3.57,1.57,3.7,3.48,8.27,1.57,4.14,1.74,3.9,1.3,0.0,1.65,1.22,1.48,1.5,1.88,1.47,1.01,0.0,0.0,3.8,1.49,0.0,0.13,100.01
11/11/2021,8.59,8.28,7.34,3.69,7.39,4.02,0.0,4.15,3.67,4.01,3.57,1.57,3.7,3.48,8.27,1.57,4.14,1.74,3.9,1.3,0.0,1.65,1.22,1.48,1.5,1.88,1.47,1.01,0.0,0.0,3.8,1.49,0.0,0.13,100.01
11/12/2021,8.6,8.46,7.29,3.65,7.4,4.0,0.0,4.25,3.78,3.93,3.58,1.55,3.71,3.51,8.1,1.53,4.48,1.79,3.88,1.32,0.0,1.67,1.17,1.47,1.53,1.9,1.46,1.12,0.0,0.0,3.13,1.67,0.0,0.08,100.01
11/15/2021,8.54,8.59,7.36,3.72,7.49,4.04,0.0,4.18,3.74,3.95,3.65,1.6,3.78,3.5,8.39,1.53,4.39,1.59,3.82,1.29,0.0,1.62,1.13,1.45,1.5,1.89,1.39,1.06,0.0,0.0,3.12,1.62,0.0,0.08,100.01
11/16/2021,8.59,8.56,7.35,3.72,7.49,3.95,0.0,4.17,3.86,3.99,3.64,1.63,3.85,3.49,8.49,1.52,4.53,1.63,3.81,1.27,0.0,1.61,1.04,1.44,1.48,1.89,1.22,1.02,0.0,0.0,3.02,1.66,0.0,0.08,100.0
