,WIX,NICE.TA,CHKP,LUMI.TA,TEVA,POLI.TA,FVRR,KRNT,DSCT.TA,CYBR,ICL.TA,MZTF.TA,ESLT.TA,TSEM,AZRG.TA,NVMI,INMD,BEZQ.TA,SAE.TA,ALHE.TA,NNDM,ENLT.TA,MVNE.TA,FIBI.TA,CGNT,PHOE.TA,MLSR.TA,SKBN.TA,STRS.TA,AMOT.TA,GVYM.TA,RDWR,BIG.TA,CLIS.TA,ILCO.TA,HARL.TA,PZOL.TA,ARPT.TA,ELTR.TA,DANE.TA,NNOX,SPEN.TA,CAMT,MTRN.TA,RIT1.TA,MTRX.TA,AUDC,ASHG.TA,FOX.TA,FORTY.TA,OPCE.TA,ENRG.TA,KEN,SPNS,ISCD.TA,HLAN.TA,MGOR.TA,TARO,DLEA.TA,CGEN,FIBIH.TA,PTNR.TA,ONE.TA,ECP.TA,RMLI.TA,DLEKG.TA,SMT.TA,FTAL.TA,ELCO.TA,EQTL.TA,MGDL.TA,MMHD.TA,GZT.TA,ITRN,ISCN.TA,AFPR.TA,DIMRI.TA,MGIC,ORL.TA,BLSR.TA,NGMS,CEL.TA,DELT.TA,ISRS.TA,ARAD.TA,TDRN.TA,CSTE,ASPF.TA,AZRM.TA,YHNF.TA,GILT,URGN,BCNV.TA,IDIN.TA,MLTM.TA,DORL.TA,ELWS.TA,ILS,PTBL.TA,PRSK.TA,NFTA.TA,XTSLA,SGAFT,EUR,MEDN.TA,VGU1,ARKO,USD,CEL,1916565D,VGZ1,1916510D.TA,TRLT.TA,SUM
07/30/2021,8.64,9.09,7.22,5.8,5.11,4.69,3.44,2.91,2.87,2.88,2.6,2.23,1.79,1.41,1.69,1.4,1.41,1.13,1.09,1.03,0.81,1.03,0.95,0.91,0.85,0.76,0.8,0.7,0.75,0.7,0.68,0.66,0.72,0.64,0.63,0.57,0.6,0.6,0.6,0.57,0.48,0.54,0.5,0.5,0.5,0.48,0.43,0.46,0.46,0.41,0.41,0.43,0.4,0.38,0.4,0.4,0.4,0.35,0.33,0.27,0.32,0.31,0.31,0.3,0.3,0.26,0.29,0.28,0.29,0.27,0.24,0.26,0.26,0.24,0.24,0.27,0.25,0.26,0.22,0.2,0.16,0.17,0.19,0.18,0.18,0.19,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.13,0.13,0.12,0.05,0.12,0.11,0.08,0.05,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
08/02/2021,8.63,8.97,7.21,5.69,5.44,4.63,3.53,2.97,2.8,2.84,2.62,2.17,1.79,1.42,1.73,1.38,1.47,1.13,1.09,1.03,0.82,1.05,0.94,0.89,0.88,0.76,0.8,0.68,0.74,0.69,0.67,0.68,0.71,0.62,0.63,0.57,0.59,0.59,0.59,0.55,0.49,0.54,0.52,0.48,0.5,0.48,0.44,0.44,0.45,0.41,0.41,0.44,0.42,0.38,0.4,0.38,0.39,0.34,0.33,0.29,0.32,0.31,0.31,0.3,0.3,0.27,0.29,0.27,0.29,0.27,0.24,0.26,0.26,0.24,0.24,0.27,0.25,0.24,0.21,0.2,0.15,0.17,0.19,0.18,0.18,0.18,0.16,0.17,0.16,0.17,0.16,0.15,0.14,0.14,0.13,0.13,0.12,0.05,0.12,0.1,0.08,0.05,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/03/2021,8.5,9.01,7.3,5.71,5.42,4.65,3.43,2.95,2.81,2.81,2.63,2.18,1.8,1.43,1.74,1.38,1.44,1.14,1.09,1.03,0.81,1.05,0.94,0.9,0.87,0.77,0.81,0.69,0.74,0.7,0.67,0.68,0.72,0.62,0.63,0.57,0.59,0.6,0.6,0.56,0.48,0.54,0.52,0.49,0.5,0.48,0.44,0.45,0.46,0.42,0.41,0.44,0.42,0.39,0.4,0.38,0.39,0.35,0.33,0.29,0.32,0.31,0.31,0.3,0.3,0.27,0.29,0.28,0.29,0.27,0.24,0.26,0.26,0.25,0.24,0.27,0.25,0.24,0.22,0.21,0.16,0.0,0.2,0.18,0.18,0.18,0.16,0.17,0.16,0.17,0.17,0.15,0.14,0.14,0.13,0.13,0.12,0.05,0.12,0.1,0.08,0.05,0.01,0.02,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,100.07
08/04/2021,8.5,9.01,7.3,5.71,5.42,4.65,3.43,2.95,2.81,2.81,2.63,2.18,1.8,1.43,1.74,1.38,1.44,1.14,1.09,1.03,0.81,1.05,0.94,0.9,0.87,0.77,0.81,0.69,0.74,0.7,0.67,0.68,0.72,0.62,0.63,0.57,0.59,0.6,0.6,0.56,0.48,0.54,0.52,0.49,0.5,0.48,0.44,0.45,0.46,0.42,0.41,0.44,0.42,0.39,0.4,0.38,0.39,0.35,0.33,0.29,0.32,0.31,0.31,0.3,0.3,0.27,0.29,0.28,0.29,0.27,0.24,0.26,0.26,0.25,0.24,0.27,0.25,0.24,0.22,0.21,0.16,0.17,0.2,0.18,0.18,0.18,0.16,0.17,0.16,0.17,0.17,0.15,0.14,0.14,0.13,0.13,0.12,0.05,0.12,0.1,0.08,0.05,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
08/05/2021,8.5,9.01,7.3,5.71,5.42,4.65,3.43,2.95,2.81,2.81,2.63,2.18,1.8,1.43,1.74,1.38,1.44,1.14,1.09,1.03,0.81,1.05,0.94,0.9,0.87,0.77,0.81,0.69,0.74,0.7,0.67,0.68,0.72,0.62,0.63,0.57,0.59,0.6,0.6,0.56,0.48,0.54,0.52,0.49,0.5,0.48,0.44,0.45,0.46,0.42,0.41,0.44,0.42,0.39,0.4,0.38,0.39,0.35,0.33,0.29,0.32,0.31,0.31,0.3,0.3,0.27,0.29,0.28,0.29,0.27,0.24,0.26,0.26,0.25,0.24,0.27,0.25,0.24,0.22,0.21,0.16,0.17,0.2,0.18,0.18,0.18,0.16,0.17,0.16,0.17,0.17,0.15,0.14,0.14,0.13,0.13,0.12,0.05,0.12,0.1,0.08,0.05,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
08/06/2021,8.39,8.82,7.29,5.88,5.56,4.76,3.16,2.86,2.85,2.82,2.63,2.25,1.79,1.55,1.7,1.39,1.46,1.13,1.1,1.02,0.79,1.04,0.95,0.9,0.93,0.79,0.78,0.7,0.75,0.69,0.69,0.69,0.71,0.63,0.63,0.58,0.59,0.6,0.6,0.54,0.49,0.56,0.52,0.5,0.5,0.47,0.43,0.44,0.45,0.41,0.4,0.44,0.44,0.38,0.4,0.39,0.4,0.35,0.33,0.28,0.33,0.3,0.3,0.29,0.3,0.26,0.28,0.25,0.29,0.28,0.25,0.26,0.26,0.24,0.23,0.26,0.25,0.24,0.21,0.2,0.16,0.17,0.2,0.18,0.18,0.18,0.18,0.17,0.16,0.17,0.16,0.16,0.14,0.14,0.13,0.13,0.11,0.05,0.12,0.1,0.08,0.05,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/10/2021,7.8,8.89,7.31,5.9,5.75,4.84,2.37,2.97,2.93,2.82,2.63,2.29,1.82,1.56,1.71,1.43,1.51,1.15,1.12,1.05,0.81,1.04,0.97,0.91,0.94,0.79,0.8,0.72,0.76,0.71,0.71,0.7,0.7,0.63,0.62,0.58,0.54,0.63,0.61,0.54,0.52,0.58,0.56,0.49,0.51,0.49,0.44,0.44,0.46,0.44,0.41,0.44,0.46,0.44,0.41,0.4,0.39,0.36,0.34,0.29,0.34,0.33,0.31,0.31,0.31,0.26,0.29,0.24,0.3,0.29,0.26,0.26,0.27,0.25,0.23,0.27,0.25,0.25,0.21,0.2,0.17,0.18,0.21,0.18,0.18,0.18,0.17,0.16,0.15,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.05,0.12,0.1,0.08,0.05,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/11/2021,7.8,8.89,7.31,5.9,5.75,4.84,2.37,2.97,2.93,2.82,2.63,2.29,1.82,1.56,1.71,1.43,1.51,1.15,1.12,1.05,0.81,1.04,0.97,0.91,0.94,0.79,0.8,0.72,0.76,0.71,0.71,0.7,0.7,0.63,0.62,0.58,0.54,0.63,0.61,0.54,0.52,0.58,0.56,0.49,0.51,0.49,0.44,0.44,0.46,0.44,0.41,0.44,0.46,0.44,0.41,0.4,0.39,0.36,0.34,0.29,0.34,0.33,0.31,0.31,0.31,0.26,0.29,0.24,0.3,0.29,0.26,0.26,0.27,0.25,0.23,0.27,0.25,0.25,0.21,0.2,0.17,0.18,0.21,0.18,0.18,0.18,0.17,0.16,0.15,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.05,0.12,0.1,0.08,0.05,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/13/2021,7.56,8.8,7.23,6.11,5.8,4.87,2.43,2.97,3.02,2.75,2.69,2.32,1.81,1.55,1.77,1.47,1.42,1.14,1.11,1.04,0.85,1.02,0.96,0.93,0.95,0.79,0.81,0.74,0.75,0.71,0.7,0.69,0.71,0.61,0.63,0.58,0.51,0.63,0.6,0.56,0.45,0.56,0.57,0.49,0.51,0.48,0.44,0.43,0.46,0.44,0.4,0.44,0.46,0.44,0.41,0.41,0.39,0.35,0.35,0.28,0.34,0.32,0.32,0.31,0.31,0.25,0.29,0.24,0.3,0.28,0.25,0.27,0.26,0.24,0.22,0.27,0.24,0.25,0.21,0.2,0.18,0.18,0.22,0.18,0.18,0.19,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.15,0.13,0.12,0.12,0.11,0.12,0.1,0.08,0.05,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/16/2021,6.15,8.74,7.23,6.27,5.77,5.02,2.44,2.81,3.09,2.98,2.72,2.37,2.0,1.56,1.75,1.43,1.45,1.21,1.19,1.05,0.83,1.01,0.99,0.95,0.95,0.85,0.81,0.75,0.79,0.72,0.7,0.69,0.72,0.65,0.64,0.62,0.53,0.64,0.62,0.57,0.49,0.59,0.56,0.5,0.51,0.48,0.45,0.44,0.48,0.45,0.4,0.44,0.47,0.44,0.43,0.41,0.4,0.35,0.36,0.28,0.35,0.32,0.32,0.31,0.32,0.25,0.29,0.24,0.3,0.29,0.27,0.29,0.26,0.25,0.23,0.28,0.25,0.27,0.22,0.21,0.16,0.18,0.24,0.18,0.18,0.2,0.18,0.17,0.16,0.18,0.16,0.16,0.15,0.15,0.13,0.12,0.12,0.11,0.12,0.1,0.08,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/17/2021,6.01,8.75,7.3,6.27,5.67,5.02,2.43,2.84,3.09,3.21,2.72,2.37,2.01,1.56,1.75,1.43,1.42,1.21,1.19,1.05,0.76,1.01,0.99,0.95,0.96,0.85,0.81,0.75,0.79,0.72,0.7,0.71,0.72,0.66,0.64,0.62,0.53,0.64,0.62,0.57,0.47,0.59,0.56,0.5,0.51,0.48,0.45,0.44,0.48,0.45,0.4,0.44,0.47,0.44,0.43,0.41,0.4,0.35,0.36,0.28,0.35,0.32,0.32,0.31,0.32,0.26,0.29,0.24,0.3,0.29,0.27,0.29,0.26,0.24,0.23,0.28,0.25,0.27,0.22,0.21,0.15,0.18,0.24,0.18,0.18,0.2,0.18,0.17,0.16,0.18,0.16,0.15,0.15,0.15,0.13,0.12,0.12,0.11,0.12,0.1,0.08,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/23/2021,6.33,8.83,7.36,6.41,5.31,5.08,2.28,2.82,3.19,3.16,2.58,2.48,2.03,1.45,1.92,1.38,1.5,1.27,1.15,1.08,0.71,1.01,1.03,1.0,0.93,0.83,0.85,0.75,0.77,0.73,0.71,0.71,0.73,0.66,0.6,0.61,0.48,0.64,0.61,0.54,0.37,0.58,0.53,0.51,0.52,0.46,0.45,0.45,0.48,0.45,0.4,0.43,0.48,0.44,0.45,0.4,0.41,0.34,0.35,0.25,0.37,0.33,0.31,0.32,0.33,0.25,0.29,0.24,0.3,0.28,0.27,0.29,0.25,0.25,0.24,0.28,0.26,0.27,0.2,0.2,0.13,0.17,0.22,0.18,0.18,0.19,0.17,0.16,0.17,0.18,0.16,0.15,0.15,0.15,0.12,0.12,0.12,0.11,0.12,0.11,0.08,0.06,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/24/2021,6.14,8.84,7.34,6.41,5.25,5.08,2.32,2.91,3.19,3.14,2.58,2.49,2.03,1.45,1.92,1.38,1.54,1.27,1.15,1.08,0.74,1.01,1.03,1.0,0.95,0.83,0.86,0.75,0.77,0.73,0.71,0.71,0.73,0.66,0.6,0.61,0.48,0.64,0.61,0.55,0.39,0.58,0.53,0.51,0.52,0.46,0.45,0.45,0.48,0.45,0.4,0.43,0.48,0.44,0.45,0.4,0.41,0.34,0.35,0.27,0.37,0.33,0.31,0.32,0.33,0.25,0.29,0.24,0.3,0.28,0.27,0.3,0.25,0.25,0.24,0.28,0.26,0.27,0.2,0.2,0.13,0.17,0.22,0.18,0.18,0.19,0.17,0.16,0.17,0.18,0.16,0.15,0.15,0.15,0.12,0.12,0.12,0.11,0.13,0.11,0.08,0.06,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
08/25/2021,6.14,8.84,7.34,6.41,5.25,5.08,2.32,2.91,3.19,3.14,2.58,2.49,2.03,1.45,1.92,1.38,1.54,1.27,1.15,1.08,0.74,1.01,1.03,1.0,0.95,0.83,0.86,0.75,0.77,0.73,0.71,0.71,0.73,0.66,0.6,0.61,0.48,0.64,0.61,0.55,0.39,0.58,0.53,0.51,0.52,0.46,0.45,0.45,0.48,0.45,0.4,0.43,0.48,0.44,0.45,0.4,0.41,0.34,0.35,0.27,0.37,0.33,0.31,0.32,0.33,0.25,0.29,0.24,0.3,0.28,0.27,0.3,0.25,0.25,0.24,0.28,0.26,0.27,0.2,0.2,0.13,0.17,0.22,0.18,0.18,0.19,0.17,0.16,0.17,0.18,0.16,0.15,0.15,0.15,0.12,0.12,0.12,0.11,0.13,0.11,0.08,0.06,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
08/26/2021,6.07,9.01,7.21,6.41,5.31,5.06,2.29,2.95,3.2,3.13,2.53,2.47,2.01,1.48,1.93,1.37,1.54,1.29,1.15,1.08,0.76,0.99,1.05,1.01,0.94,0.83,0.86,0.74,0.77,0.72,0.72,0.71,0.73,0.66,0.59,0.6,0.49,0.64,0.6,0.54,0.39,0.58,0.54,0.52,0.52,0.46,0.45,0.44,0.47,0.45,0.4,0.43,0.5,0.44,0.44,0.41,0.41,0.35,0.35,0.28,0.37,0.32,0.32,0.32,0.32,0.25,0.3,0.26,0.29,0.28,0.27,0.29,0.25,0.25,0.24,0.28,0.26,0.27,0.2,0.21,0.13,0.17,0.23,0.18,0.17,0.19,0.17,0.15,0.17,0.18,0.16,0.15,0.15,0.16,0.13,0.11,0.12,0.11,0.12,0.11,0.08,0.06,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/27/2021,6.34,9.05,7.2,6.36,5.28,5.05,2.36,2.92,3.16,3.19,2.47,2.39,1.96,1.48,1.88,1.36,1.56,1.26,1.14,1.08,0.77,1.0,1.03,1.01,0.92,0.83,0.85,0.74,0.76,0.72,0.71,0.71,0.73,0.66,0.58,0.61,0.49,0.64,0.6,0.54,0.41,0.57,0.55,0.51,0.52,0.46,0.44,0.44,0.49,0.46,0.39,0.43,0.49,0.44,0.44,0.42,0.41,0.33,0.35,0.28,0.37,0.32,0.31,0.32,0.32,0.26,0.29,0.28,0.29,0.29,0.27,0.29,0.25,0.25,0.24,0.29,0.26,0.28,0.2,0.21,0.13,0.18,0.23,0.18,0.18,0.2,0.16,0.15,0.17,0.18,0.16,0.15,0.15,0.15,0.13,0.11,0.11,0.14,0.12,0.11,0.08,0.06,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
