,NPI.TO,VWS.CO,ORSTED.CO,916.HK,002531 C2,601615 C1,300443 C2,002080 C2,INE.TO,2208 HK,603218 C1,NDX1.DE,112610.KS,TPIC,TENERGY.AT,9958.TW,GUR.SW,AERI3.SA,EOLU B.ST,IEA,018000.KQ,658.HK,CADLR.OL,AOW.OL,297090.KQ,n/a,002531.SZ,601615.SS,300443.SZ,002080.SZ,2208.HK,603218.SS,SUM
11/01/2021,10.37,11.67,9.7,9.96,6.77,6.11,6.0,5.34,4.01,4.76,4.46,4.06,3.3,3.03,1.79,1.54,1.42,0.89,0.98,0.98,0.84,0.78,0.6,0.39,0.21,0.03,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/02/2021,10.37,11.67,9.7,9.96,6.77,6.11,6.0,5.34,4.01,4.76,4.46,4.06,3.3,3.03,1.79,1.54,1.42,0.89,0.98,0.98,0.84,0.78,0.6,0.39,0.21,0.03,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/03/2021,10.35,11.63,9.53,10.12,6.86,6.22,6.04,5.3,4.03,4.77,4.42,3.91,3.34,3.07,1.76,1.54,1.37,0.9,0.98,0.98,0.84,0.8,0.61,0.38,0.21,0.03,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/04/2021,10.5,11.61,9.77,9.89,6.94,5.99,6.04,5.31,4.14,4.68,4.4,3.88,3.25,3.23,1.74,1.56,1.37,0.9,0.99,0.99,0.83,0.77,0.61,0.39,0.21,0.03,0.0,0.0,0.0,0.0,0.0,0.0,100.02
11/05/2021,10.5,11.21,9.81,9.83,6.84,6.45,6.0,5.17,4.12,4.84,4.61,3.76,3.36,3.06,1.77,1.53,1.4,0.91,0.97,0.99,0.83,0.79,0.61,0.39,0.22,0.03,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/08/2021,10.81,9.59,9.7,10.41,0.0,0.0,0.0,0.0,4.3,0.0,0.0,3.51,3.51,3.05,1.85,1.61,1.47,0.96,0.99,1.06,0.85,0.8,0.65,0.4,0.22,0.04,6.78,6.64,5.92,5.32,5.0,4.56,100.0
11/09/2021,10.38,9.31,9.29,10.51,7.2,7.05,6.46,5.52,4.12,5.38,4.75,3.38,2.97,3.03,1.81,1.53,1.45,0.93,0.93,1.03,0.82,0.89,0.63,0.39,0.19,0.02,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
11/10/2021,10.55,9.07,9.51,10.31,7.31,7.08,6.81,5.07,4.22,5.31,4.75,3.41,2.99,2.79,1.82,1.56,1.45,0.99,0.98,1.08,0.82,0.87,0.64,0.39,0.19,0.02,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/11/2021,10.42,9.7,9.57,9.67,6.99,7.09,6.65,5.07,4.22,5.1,4.81,3.64,3.15,2.93,1.94,1.61,1.45,0.95,0.97,1.12,0.83,0.83,0.65,0.42,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/12/2021,10.53,9.73,9.57,9.91,6.98,6.99,6.65,4.93,4.26,5.13,4.78,3.64,3.22,2.47,2.03,1.63,1.46,0.95,0.97,1.12,0.84,0.91,0.67,0.43,0.19,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,99.98
