,2SPY  210930C00002690,2IWM  210930C00149790,2QQQ  210930C00278110,Cash&Other,2SPY  210930C00358800,2QQQ  210930C00297960,2IWM  210930C00160490,2SPY  220930C00003460,2QQQ  220930C00357970,2IWM  220930C00218750,2SPY  220930C00452910,2QQQ  220930C00377790,2IWM  220930C00230870,SUM
09/09/2021,110.91,43.05,30.85,0.09,-23.32,-24.94,-36.64,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/10/2021,110.75,42.0,30.86,0.11,-22.62,-25.01,-36.1,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000004
09/13/2021,110.42,40.68,30.31,0.1,-22.4,-24.36,-34.76,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/14/2021,109.62,39.88,29.56,0.1,-21.68,-23.53,-33.95,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/15/2021,109.62,39.88,29.56,0.1,-21.68,-23.53,-33.95,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/16/2021,109.39,40.54,29.36,0.1,-21.86,-23.43,-34.11,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000002
09/17/2021,108.77,38.78,29.06,0.1,-21.22,-23.12,-32.37,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/20/2021,109.37,39.91,29.76,0.09,-21.8,-23.83,-33.51,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/21/2021,108.55,39.79,28.36,0.09,-20.45,-22.46,-33.88,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/22/2021,108.55,39.79,28.36,0.09,-20.45,-22.46,-33.88,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/23/2021,106.76,36.88,26.11,0.08,-18.66,-20.22,-30.96,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/24/2021,106.63,37.05,26.23,0.08,-18.54,-20.33,-31.14,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/27/2021,109.31,41.2,28.39,-0.06,-20.96,-22.49,-35.44,0.0,0.0,0.0,0.0,0.0,0.0,99.94999999999996
09/28/2021,109.29,40.66,28.4,-0.03,-21.1,-22.48,-34.75,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/29/2021,109.29,40.66,28.4,-0.03,-21.1,-22.48,-34.75,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/30/2021,108.69,42.33,27.44,0.2,-20.72,-21.54,-36.42,0.0,0.0,0.0,0.0,0.0,0.0,99.97999999999998
10/01/2021,106.58,39.69,24.35,0.2,-18.61,-18.44,-33.78,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
10/04/2021,0.0,0.0,0.0,1.53,0.0,0.0,0.0,96.95,9.34,9.32,-4.49,-6.33,-6.45,99.87000000000002
10/05/2021,0.0,0.0,0.0,0.76,0.0,0.0,0.0,98.12,9.69,10.26,-5.1,-6.6,-7.12,100.01000000000002
10/06/2021,0.0,0.0,0.0,0.76,0.0,0.0,0.0,98.12,9.69,10.26,-5.1,-6.6,-7.12,100.01000000000002
10/07/2021,0.0,0.0,0.0,0.96,0.0,0.0,0.0,98.4,8.8,10.14,-4.85,-6.03,-7.41,100.01
10/08/2021,0.0,0.0,0.0,0.95,0.0,0.0,0.0,98.51,9.32,9.88,-5.12,-6.42,-7.12,100.0
10/11/2021,0.0,0.0,0.0,0.95,0.0,0.0,0.0,98.73,9.72,9.6,-5.36,-6.78,-6.85,100.01
10/12/2021,0.0,0.0,0.0,0.93,0.0,0.0,0.0,98.78,9.74,9.58,-5.45,-6.76,-6.83,99.99
10/13/2021,0.0,0.0,0.0,0.93,0.0,0.0,0.0,98.78,9.74,9.58,-5.45,-6.76,-6.83,99.99
10/14/2021,0.0,0.0,0.0,0.93,0.0,0.0,0.0,98.46,9.19,9.38,-5.13,-6.34,-6.49,100.0
10/15/2021,0.0,0.0,0.0,0.79,0.0,0.0,0.0,99.0,8.84,9.42,-4.9,-6.22,-6.93,100.0
10/18/2021,0.0,0.0,0.0,0.77,0.0,0.0,0.0,99.04,10.09,10.35,-5.7,-7.04,-7.51,100.0
10/19/2021,0.0,0.0,0.0,0.76,0.0,0.0,0.0,99.59,10.36,10.23,-6.13,-7.36,-7.45,100.0
10/20/2021,0.0,0.0,0.0,0.76,0.0,0.0,0.0,99.59,10.36,10.23,-6.13,-7.36,-7.45,100.0
10/21/2021,0.0,0.0,0.0,0.76,0.0,0.0,0.0,99.36,11.16,10.17,-6.37,-7.97,-7.11,100.0
10/22/2021,0.0,0.0,0.0,0.75,0.0,0.0,0.0,99.76,11.51,10.34,-6.75,-8.3,-7.31,100.0
10/25/2021,0.0,0.0,0.0,0.74,0.0,0.0,0.0,99.79,11.52,11.07,-6.9,-8.37,-7.84,100.00999999999998
10/26/2021,0.0,0.0,0.0,0.74,0.0,0.0,0.0,100.12,11.13,10.59,-7.0,-8.03,-7.56,99.99
10/27/2021,0.0,0.0,0.0,0.74,0.0,0.0,0.0,100.12,11.13,10.59,-7.0,-8.03,-7.56,99.99
10/28/2021,0.0,0.0,0.0,0.73,0.0,0.0,0.0,100.15,11.85,11.07,-7.22,-8.55,-8.04,99.99
10/29/2021,0.0,0.0,0.0,0.73,0.0,0.0,0.0,100.46,11.96,10.75,-7.38,-8.79,-7.74,99.99
11/01/2021,0.0,0.0,0.0,0.72,0.0,0.0,0.0,100.7,12.91,10.56,-7.69,-9.53,-7.68,99.99
11/02/2021,0.0,0.0,0.0,0.72,0.0,0.0,0.0,100.66,13.54,10.5,-7.91,-10.08,-7.43,100.0
11/03/2021,0.0,0.0,0.0,0.72,0.0,0.0,0.0,100.66,13.54,10.5,-7.91,-10.08,-7.43,99.99999999999999
