,United States Treasury Bills 0.01%,WCOG.L,USFR,n/a,B 0 09/16/21,B 0 12/16/21,CMBR 0 12.16.21,B 0 12.16.21,B 0 03.17.22,SUM
12/30/2021,0.0,25.0,4.62,0.0,0.0,0.0,0.0,0.0,70.38,100.0
12/31/2021,0.0,24.78,4.63,0.0,0.0,0.0,0.0,0.0,70.59,100.0
01/03/2022,0.0,23.47,4.71,0.0,0.0,0.0,0.0,0.0,71.82,100.0
01/03/2022,0.0,23.47,4.71,0.0,0.0,0.0,0.0,0.0,71.82,100.0
01/03/2022,0.0,23.47,4.71,0.0,0.0,0.0,0.0,0.0,71.82,100.0
01/04/2022,0.0,23.47,4.71,0.0,0.0,0.0,0.0,0.0,71.82,100.0
01/05/2022,0.0,23.47,4.71,0.0,0.0,0.0,0.0,0.0,71.82,100.0
01/06/2022,0.0,23.47,4.71,0.0,0.0,0.0,0.0,0.0,71.82,100.0
01/07/2022,0.0,22.12,4.85,0.0,0.0,0.0,0.0,0.0,73.03,100.0
01/10/2022,0.0,21.84,4.86,0.0,0.0,0.0,0.0,0.0,73.3,100.0
01/11/2022,0.0,22.08,4.85,0.0,0.0,0.0,0.0,0.0,73.07,100.0
01/12/2022,0.0,22.08,4.85,0.0,0.0,0.0,0.0,0.0,73.07,99.99999999999999
