,FERG.L,GEBN.SW,AWK,ECL,XYL,IEX,PNR,VIE.PA,WTRG,AOS,SEV.PA,UU.L,SVT.L,TTEK,PNN.L,RXN,FI-N.SW,AALB.AS,6005.T,6370.T,270.HK,WTS,AQUA,FELE,RWC.AX,AWR,BMI,CWT,PRMW.TO,SAJA.,SUN.SW,2128.HK,MWA,371.HK,LNN,SJW,UPONOR.HE,MSEX,MEG,855.HK,YORW,9551.T,6368.T,FGXXX,Japanese Yen,688101.SS,n/a,688001.SS,688226.SS,MEDX.SW,RBC,ZWS,RRX,SUM
07/30/2021,7.6,7.89,7.75,7.57,6.32,4.84,3.89,3.9,3.89,3.38,3.39,3.52,3.27,2.52,1.73,2.28,2.29,2.11,1.79,1.92,1.42,1.43,1.39,1.12,1.12,1.12,1.03,1.07,0.97,0.83,0.9,0.7,0.83,0.68,0.61,0.63,0.61,0.6,0.25,0.22,0.22,0.2,0.12,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/02/2021,7.51,7.98,7.92,7.54,6.23,4.69,4.02,4.0,3.95,3.35,3.39,3.56,3.3,2.53,1.75,2.26,2.32,2.05,1.74,1.84,1.38,1.42,1.38,1.09,1.13,1.13,1.02,1.08,0.95,0.86,0.9,0.7,0.82,0.65,0.61,0.63,0.64,0.61,0.25,0.22,0.22,0.2,0.12,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/03/2021,7.51,7.98,7.92,7.54,6.23,4.69,4.02,4.0,3.95,3.35,3.39,3.56,3.3,2.53,1.75,2.26,2.32,2.05,1.74,1.84,1.38,1.42,1.38,1.09,1.13,1.13,1.02,1.08,0.95,0.86,0.9,0.7,0.82,0.65,0.61,0.63,0.64,0.61,0.25,0.22,0.22,0.2,0.12,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/04/2021,7.51,7.98,7.92,7.54,6.23,4.69,4.02,4.0,3.95,3.35,3.39,3.56,3.3,2.53,1.75,2.26,2.32,2.05,1.74,1.84,1.38,1.42,1.38,1.09,1.13,1.13,1.02,1.08,0.95,0.86,0.9,0.7,0.82,0.65,0.61,0.63,0.64,0.61,0.25,0.22,0.22,0.2,0.12,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/05/2021,7.38,7.97,7.81,7.51,6.3,4.78,4.11,4.03,3.86,3.35,3.35,3.58,3.31,2.55,1.76,2.37,2.33,2.06,1.72,1.8,1.4,1.45,1.37,1.09,1.12,1.12,1.03,1.09,0.93,0.81,0.89,0.72,0.82,0.65,0.61,0.63,0.6,0.62,0.26,0.22,0.22,0.19,0.13,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/06/2021,7.32,7.91,7.95,7.37,6.33,4.76,4.23,3.99,3.85,3.37,3.32,3.53,3.29,2.52,1.75,2.37,2.32,2.07,1.76,1.69,1.41,1.47,1.43,1.09,1.14,1.12,1.02,1.1,0.91,0.82,0.88,0.75,0.82,0.66,0.62,0.63,0.6,0.64,0.25,0.22,0.22,0.19,0.12,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/10/2021,7.36,7.98,8.1,7.28,6.27,4.7,4.18,3.92,3.94,3.33,3.27,3.49,3.26,2.54,1.74,2.38,2.33,2.08,1.73,1.73,1.4,1.5,1.48,1.09,1.13,1.14,1.01,1.12,0.93,0.78,0.88,0.71,0.84,0.65,0.63,0.64,0.6,0.66,0.24,0.22,0.22,0.18,0.12,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/11/2021,7.36,7.98,8.1,7.28,6.27,4.7,4.18,3.92,3.94,3.33,3.27,3.49,3.26,2.54,1.74,2.38,2.33,2.08,1.73,1.73,1.4,1.5,1.48,1.09,1.13,1.14,1.01,1.12,0.93,0.78,0.88,0.71,0.84,0.65,0.63,0.64,0.6,0.66,0.24,0.22,0.22,0.18,0.12,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/13/2021,7.23,7.92,7.96,7.34,6.39,4.71,4.26,3.9,3.84,3.37,3.26,3.49,3.27,2.6,1.73,2.47,2.31,2.06,1.73,1.68,1.42,1.54,1.52,1.09,1.13,1.12,1.02,1.1,0.95,0.79,0.88,0.71,0.83,0.66,0.66,0.63,0.59,0.64,0.25,0.23,0.22,0.18,0.12,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/16/2021,7.3,7.96,7.96,7.3,6.42,4.67,4.32,3.92,3.73,3.32,3.24,3.48,3.27,2.64,1.74,2.49,2.31,2.06,1.74,1.66,1.4,1.54,1.56,1.08,1.12,1.13,1.04,1.1,0.94,0.77,0.89,0.7,0.84,0.67,0.65,0.61,0.59,0.63,0.24,0.23,0.22,0.17,0.12,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/17/2021,7.3,7.96,7.96,7.3,6.42,4.67,4.32,3.92,3.73,3.32,3.24,3.48,3.27,2.64,1.74,2.49,2.31,2.06,1.74,1.66,1.4,1.54,1.56,1.08,1.12,1.13,1.04,1.1,0.94,0.77,0.89,0.7,0.84,0.67,0.65,0.61,0.59,0.63,0.24,0.23,0.22,0.17,0.12,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/18/2021,7.3,7.95,7.98,7.32,6.4,4.59,4.31,3.98,3.76,3.33,3.23,3.52,3.3,2.6,1.75,2.49,2.33,2.06,1.78,1.69,1.36,1.53,1.56,1.08,1.12,1.13,1.03,1.11,0.94,0.74,0.9,0.7,0.83,0.69,0.64,0.61,0.58,0.65,0.23,0.24,0.22,0.17,0.13,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/20/2021,7.17,7.97,8.16,7.37,6.47,4.62,4.31,3.96,3.8,3.31,3.24,3.51,3.34,2.56,1.76,2.44,2.35,2.04,1.69,1.64,1.36,1.55,1.56,1.08,1.15,1.15,1.03,1.12,0.94,0.73,0.89,0.65,0.83,0.67,0.62,0.62,0.59,0.64,0.22,0.24,0.22,0.17,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/23/2021,7.15,7.86,8.26,7.42,6.46,4.6,4.32,4.07,3.79,3.32,3.26,3.48,3.28,2.53,1.74,2.47,2.32,2.0,1.68,1.64,1.38,1.54,1.59,1.08,1.17,1.16,1.03,1.12,0.94,0.72,0.89,0.63,0.83,0.69,0.61,0.63,0.59,0.64,0.21,0.25,0.23,0.17,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/24/2021,7.15,7.86,8.26,7.42,6.46,4.6,4.32,4.07,3.79,3.32,3.26,3.48,3.28,2.53,1.74,2.47,2.32,2.0,1.68,1.64,1.38,1.54,1.59,1.08,1.17,1.16,1.03,1.12,0.94,0.72,0.89,0.63,0.83,0.69,0.61,0.63,0.59,0.64,0.21,0.25,0.23,0.17,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/25/2021,7.16,7.92,8.31,7.42,6.48,4.58,4.32,4.07,3.79,3.33,3.25,3.48,3.26,2.53,1.74,2.46,2.3,2.0,1.7,1.62,1.31,1.56,1.59,1.09,1.15,1.17,1.05,1.12,0.93,0.8,0.89,0.59,0.84,0.65,0.62,0.63,0.58,0.65,0.22,0.23,0.23,0.17,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/26/2021,7.2,7.97,8.16,7.38,6.46,4.56,4.28,4.06,3.71,3.31,3.23,3.45,3.24,2.57,1.68,2.46,2.3,2.04,1.73,1.67,1.36,1.55,1.58,1.09,1.14,1.15,1.06,1.1,0.95,0.78,0.9,0.63,0.85,0.69,0.62,0.62,0.59,0.64,0.23,0.24,0.23,0.17,0.13,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/27/2021,7.17,7.9,8.09,7.38,6.55,4.62,4.29,4.09,3.73,3.34,3.24,3.45,3.23,2.55,1.68,2.48,2.31,2.0,1.74,1.7,1.34,1.55,1.59,1.09,1.1,1.13,1.06,1.09,0.94,0.8,0.9,0.66,0.85,0.7,0.61,0.62,0.59,0.64,0.23,0.26,0.23,0.17,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
08/30/2021,7.21,7.91,8.13,7.42,6.58,4.65,4.2,4.04,3.74,3.34,3.24,3.38,3.16,2.59,1.66,2.51,2.29,2.03,1.76,1.71,1.36,1.56,1.56,1.09,1.11,1.14,1.04,1.09,0.96,0.8,0.89,0.66,0.87,0.71,0.62,0.62,0.59,0.64,0.23,0.27,0.22,0.17,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/31/2021,7.21,7.91,8.13,7.42,6.58,4.65,4.2,4.04,3.74,3.34,3.24,3.38,3.16,2.59,1.66,2.51,2.29,2.03,1.76,1.71,1.36,1.56,1.56,1.09,1.11,1.14,1.04,1.09,0.96,0.8,0.89,0.66,0.87,0.71,0.62,0.62,0.59,0.64,0.23,0.27,0.22,0.17,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/01/2021,7.2,7.96,8.05,7.44,6.57,4.62,4.16,4.02,3.72,3.35,3.23,3.37,3.16,2.63,1.65,2.53,2.32,2.04,1.71,1.68,1.35,1.59,1.61,1.11,1.1,1.14,1.06,1.09,0.97,0.83,0.9,0.65,0.89,0.68,0.62,0.61,0.59,0.64,0.23,0.28,0.23,0.17,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/02/2021,7.2,7.96,8.05,7.44,6.57,4.62,4.16,4.02,3.72,3.35,3.23,3.37,3.16,2.63,1.65,2.53,2.32,2.04,1.71,1.68,1.35,1.59,1.61,1.11,1.1,1.14,1.06,1.09,0.97,0.83,0.9,0.65,0.89,0.68,0.62,0.61,0.59,0.64,0.23,0.28,0.23,0.17,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/03/2021,7.16,7.88,8.11,7.42,6.61,4.61,4.17,4.03,3.79,3.36,3.22,3.35,3.14,2.64,1.64,2.5,2.3,2.05,1.73,1.7,1.33,1.59,1.6,1.11,1.09,1.16,1.06,1.09,0.96,0.82,0.89,0.66,0.89,0.71,0.61,0.62,0.59,0.65,0.23,0.28,0.23,0.17,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/09/2021,7.39,7.73,8.12,7.31,6.56,4.48,4.15,4.12,3.71,3.33,3.2,3.35,3.16,2.76,1.65,2.54,2.3,2.09,1.7,1.76,1.42,1.55,1.55,1.09,1.13,1.16,1.03,1.09,0.95,0.79,0.89,0.67,0.86,0.73,0.59,0.61,0.58,0.66,0.24,0.3,0.23,0.17,0.14,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/10/2021,7.45,7.78,8.11,7.42,6.53,4.4,4.1,4.1,3.69,3.29,3.2,3.35,3.16,2.7,1.63,2.55,2.31,2.1,1.77,1.79,1.37,1.57,1.53,1.07,1.13,1.15,1.02,1.1,0.95,0.79,0.9,0.68,0.85,0.74,0.59,0.61,0.6,0.66,0.25,0.29,0.23,0.17,0.14,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/13/2021,7.33,7.66,8.3,7.48,6.48,4.42,4.12,4.08,3.8,3.29,3.2,3.34,3.19,2.71,1.64,2.55,2.26,2.02,1.78,1.83,1.39,1.58,1.53,1.08,1.12,1.18,1.02,1.11,0.94,0.73,0.88,0.66,0.85,0.74,0.58,0.62,0.57,0.67,0.24,0.29,0.23,0.17,0.14,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/14/2021,7.41,7.76,8.28,7.44,6.45,4.42,4.09,4.05,3.79,3.25,3.21,3.35,3.19,2.73,1.63,2.54,2.3,2.05,1.76,1.84,1.38,1.59,1.54,1.08,1.08,1.16,1.0,1.09,0.93,0.75,0.89,0.64,0.85,0.73,0.58,0.61,0.58,0.67,0.27,0.29,0.23,0.17,0.14,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/15/2021,7.44,7.77,8.2,7.43,6.51,4.43,4.13,4.03,3.68,3.23,3.22,3.35,3.19,2.72,1.64,2.55,2.3,2.04,1.81,1.92,1.37,1.61,1.54,1.08,1.11,1.14,1.01,1.06,0.93,0.75,0.88,0.67,0.84,0.72,0.58,0.6,0.58,0.66,0.27,0.31,0.22,0.18,0.15,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/16/2021,7.44,7.77,8.2,7.43,6.51,4.43,4.13,4.03,3.68,3.23,3.22,3.35,3.19,2.72,1.64,2.55,2.3,2.04,1.81,1.92,1.37,1.61,1.54,1.08,1.11,1.14,1.01,1.06,0.93,0.75,0.88,0.67,0.84,0.72,0.58,0.6,0.58,0.66,0.27,0.31,0.22,0.18,0.15,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/17/2021,7.52,7.79,8.16,7.41,6.45,4.39,4.11,4.07,3.65,3.22,3.23,3.4,3.21,2.76,1.65,2.6,2.32,2.04,1.79,1.87,1.36,1.63,1.55,1.05,1.1,1.12,1.01,1.05,0.94,0.78,0.88,0.65,0.85,0.73,0.57,0.59,0.58,0.65,0.27,0.3,0.2,0.18,0.15,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02000000000002
09/20/2021,7.43,7.7,8.19,7.39,6.53,4.49,4.21,4.09,3.62,3.17,3.24,3.39,3.23,2.71,1.65,2.6,2.3,2.01,1.81,1.99,1.34,1.64,1.54,1.09,1.09,1.11,1.02,1.04,0.93,0.78,0.87,0.57,0.87,0.71,0.57,0.59,0.53,0.64,0.28,0.31,0.2,0.18,0.15,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/21/2021,7.56,7.72,8.14,7.42,6.49,4.49,4.21,4.12,3.59,3.1,3.24,3.42,3.27,2.74,1.66,2.58,2.3,2.0,1.83,2.0,1.32,1.62,1.53,1.07,1.08,1.1,1.03,1.02,0.93,0.78,0.87,0.58,0.86,0.7,0.56,0.58,0.53,0.64,0.29,0.31,0.2,0.18,0.15,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/22/2021,7.56,7.72,8.14,7.42,6.49,4.49,4.21,4.12,3.59,3.1,3.24,3.42,3.27,2.74,1.66,2.58,2.3,2.0,1.83,2.0,1.32,1.62,1.53,1.07,1.08,1.1,1.03,1.02,0.93,0.78,0.87,0.58,0.86,0.7,0.56,0.58,0.53,0.64,0.29,0.31,0.2,0.18,0.15,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/23/2021,7.56,7.72,8.14,7.42,6.49,4.49,4.21,4.12,3.59,3.1,3.24,3.42,3.27,2.74,1.66,2.58,2.3,2.0,1.83,2.0,1.32,1.62,1.53,1.07,1.08,1.1,1.03,1.02,0.93,0.78,0.87,0.58,0.86,0.7,0.56,0.58,0.53,0.64,0.29,0.31,0.2,0.18,0.15,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/07/2021,7.77,7.21,7.35,7.51,6.2,4.12,4.02,5.1,3.91,3.06,3.55,3.38,3.21,3.05,1.62,2.9,2.23,2.0,1.63,1.89,1.36,1.73,1.69,1.17,1.07,1.2,1.11,1.13,0.97,0.0,0.58,0.57,0.91,0.75,0.63,0.69,0.5,0.68,0.33,0.34,0.21,0.18,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,99.97
10/08/2021,7.77,7.21,7.35,7.51,6.2,4.12,4.02,5.1,3.91,3.06,3.55,3.38,3.21,3.05,1.62,2.9,2.23,2.0,1.63,1.89,1.36,1.73,1.69,1.17,1.07,1.2,1.11,1.13,0.97,0.0,0.58,0.57,0.91,0.75,0.63,0.69,0.5,0.68,0.33,0.34,0.21,0.18,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,99.97
10/11/2021,7.93,7.32,7.57,7.74,6.42,4.23,4.11,5.07,3.95,3.23,3.56,3.43,3.27,3.12,1.64,1.53,2.23,2.01,1.57,1.84,1.38,1.8,1.71,1.2,1.03,1.24,1.11,1.16,0.95,0.0,0.58,0.56,0.92,0.83,0.64,0.69,0.49,0.69,0.32,0.38,0.21,0.17,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
10/12/2021,7.9,7.36,7.43,7.67,6.37,4.23,4.07,5.04,3.92,3.24,3.53,3.41,3.24,3.2,1.63,1.65,2.24,2.03,1.57,1.81,1.39,1.81,1.72,1.21,1.05,1.23,1.13,1.15,0.96,0.0,0.6,0.57,0.92,0.85,0.64,0.69,0.5,0.68,0.33,0.38,0.21,0.17,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/13/2021,7.9,7.36,7.43,7.67,6.37,4.23,4.07,5.04,3.92,3.24,3.53,3.41,3.24,3.2,1.63,1.65,2.24,2.03,1.57,1.81,1.39,1.81,1.72,1.21,1.05,1.23,1.13,1.15,0.96,0.0,0.6,0.57,0.92,0.85,0.64,0.69,0.5,0.68,0.33,0.38,0.21,0.17,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/14/2021,7.9,7.36,7.43,7.67,6.37,4.23,4.07,5.04,3.92,3.24,3.53,3.41,3.24,3.2,1.63,1.65,2.24,2.03,1.57,1.81,1.39,1.81,1.72,1.21,1.05,1.23,1.13,1.15,0.96,0.0,0.6,0.57,0.92,0.85,0.64,0.69,0.5,0.68,0.33,0.38,0.21,0.17,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/21/2021,8.04,7.49,7.27,7.67,6.45,4.18,4.03,5.08,3.86,3.26,3.52,3.41,3.22,3.24,1.63,0.0,2.3,2.04,1.6,1.93,1.36,1.83,1.72,1.21,1.07,1.21,1.08,1.12,0.92,0.0,0.63,0.56,0.94,0.75,0.63,0.67,0.52,0.67,0.33,0.32,0.22,0.17,0.14,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,99.98000000000002
10/22/2021,8.04,7.5,7.31,7.65,6.43,4.21,4.02,5.19,3.86,3.23,3.5,3.4,3.22,3.23,1.62,0.0,2.3,1.99,1.6,1.92,1.35,1.83,1.73,1.21,1.08,1.21,1.08,1.11,0.93,0.0,0.64,0.59,0.93,0.76,0.64,0.67,0.52,0.66,0.32,0.33,0.22,0.17,0.14,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,100.0
10/25/2021,8.1,7.51,7.32,7.63,6.44,4.22,4.04,5.26,3.85,3.27,3.48,3.42,3.22,3.2,1.62,0.0,2.26,1.96,1.58,1.92,1.33,1.83,1.73,1.21,1.07,1.21,1.09,1.11,0.92,0.0,0.63,0.58,0.91,0.74,0.62,0.67,0.53,0.66,0.33,0.32,0.22,0.17,0.14,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,99.99
10/26/2021,8.1,7.46,7.3,7.69,6.51,4.26,4.13,5.19,3.8,3.27,3.48,3.41,3.22,3.25,1.62,0.0,2.21,1.94,1.54,1.91,1.34,1.86,1.78,1.24,1.09,1.2,1.09,1.09,0.91,0.0,0.62,0.57,0.93,0.74,0.57,0.67,0.53,0.67,0.33,0.32,0.22,0.17,0.14,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,100.03
10/27/2021,8.1,7.46,7.3,7.69,6.51,4.26,4.13,5.19,3.8,3.27,3.48,3.41,3.22,3.25,1.62,0.0,2.21,1.94,1.54,1.91,1.34,1.86,1.78,1.24,1.09,1.2,1.09,1.09,0.91,0.0,0.62,0.57,0.93,0.74,0.57,0.67,0.53,0.67,0.33,0.32,0.22,0.17,0.14,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,100.03
10/28/2021,8.11,7.48,7.35,7.61,6.51,4.25,4.13,5.26,3.8,3.25,3.47,3.41,3.22,3.26,1.62,0.0,2.19,1.94,1.54,1.9,1.33,1.86,1.78,1.22,1.09,1.2,1.08,1.09,0.91,0.0,0.62,0.59,0.92,0.73,0.56,0.67,0.53,0.67,0.34,0.31,0.22,0.16,0.14,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,100.0
10/29/2021,8.06,7.46,7.32,7.62,6.53,4.25,4.2,5.2,3.81,3.26,3.46,3.4,3.22,3.3,1.61,0.0,2.18,1.93,1.56,1.83,1.32,1.86,1.82,1.22,1.09,1.21,1.08,1.1,0.92,0.0,0.62,0.59,0.92,0.73,0.57,0.68,0.53,0.68,0.34,0.31,0.22,0.16,0.14,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,99.99
11/01/2021,8.25,7.51,7.27,7.63,6.5,4.29,4.02,5.21,3.79,3.14,3.46,3.5,3.3,3.31,1.66,0.0,2.23,1.94,1.6,1.88,1.28,1.83,1.75,1.19,1.15,1.21,1.06,1.1,0.91,0.0,0.63,0.56,0.91,0.71,0.55,0.67,0.53,0.67,0.34,0.31,0.22,0.16,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,100.05
11/02/2021,8.17,7.5,7.25,7.52,6.56,4.24,4.0,5.27,3.8,3.41,3.43,3.5,3.31,3.37,1.65,0.0,2.21,1.92,1.54,1.87,1.27,1.85,1.76,1.18,1.2,1.21,1.05,1.11,0.9,0.0,0.61,0.54,0.91,0.68,0.55,0.66,0.46,0.67,0.34,0.31,0.22,0.17,0.15,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,100.02
11/03/2021,8.13,7.42,7.23,7.58,6.55,4.24,4.0,5.14,3.78,3.53,3.4,3.48,3.26,3.42,1.61,0.0,2.23,1.91,1.55,1.89,1.3,1.88,1.8,1.2,1.21,1.21,1.05,1.11,0.9,0.0,0.61,0.54,0.92,0.69,0.56,0.64,0.47,0.68,0.35,0.31,0.22,0.17,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,100.01
