,IEFA,SPY,SHY,XLK,IEMG,XLV,XLY,XLC,XLF,IJR,HYLB,AGG,XLI,MDY,GWX,TIP,XLP,FGXXX,XLRE,XLE,XLB,Utilities Select Sector SPDR® ETF,First American Government Obligs X,XLU,Energy Select Sector SPDR® ETF,n/a,TLT,SUM
10/29/2021,12.06,17.26,12.05,9.78,1.02,4.63,4.88,3.73,4.04,6.02,2.89,5.75,2.89,3.06,1.01,1.94,2.2,0.71,0.8,0.78,0.73,0.0,0.0,0.8,0.0,0.0,0.96,99.99
11/01/2021,12.09,17.28,12.1,9.84,1.01,4.64,4.91,3.71,3.99,5.87,2.9,5.81,2.86,3.01,1.01,1.97,2.2,0.71,0.8,0.77,0.72,0.0,0.0,0.8,0.0,0.0,0.99,99.98999999999998
11/02/2021,12.12,17.31,12.01,9.86,1.0,4.64,4.94,3.69,4.01,5.94,2.88,5.76,2.87,3.03,1.01,1.94,2.2,0.7,0.81,0.77,0.73,0.0,0.0,0.8,0.0,0.0,0.98,100.0
11/03/2021,12.04,17.34,12.01,9.9,0.99,4.68,4.95,3.7,3.99,5.93,2.88,5.75,2.87,3.03,1.01,1.93,2.19,0.76,0.8,0.76,0.72,0.0,0.0,0.8,0.0,0.0,0.98,100.01
11/04/2021,12.04,17.34,12.01,9.9,0.99,4.68,4.95,3.7,3.99,5.93,2.88,5.75,2.87,3.03,1.01,1.93,2.19,0.76,0.8,0.76,0.72,0.0,0.0,0.8,0.0,0.0,0.98,100.01
11/05/2021,12.11,17.3,11.95,9.84,0.99,4.66,5.02,3.69,3.98,6.04,2.85,5.72,2.86,3.08,1.01,1.91,2.19,0.76,0.8,0.77,0.72,0.0,0.0,0.8,0.0,0.0,0.97,100.02
11/08/2021,12.04,17.38,11.85,10.04,0.98,4.63,5.09,3.68,3.91,6.09,2.84,5.68,2.85,3.08,1.0,1.91,2.2,0.75,0.79,0.75,0.73,0.0,0.0,0.78,0.0,0.0,0.96,100.01
11/09/2021,12.04,17.38,11.85,10.04,0.98,4.63,5.09,3.68,3.91,6.09,2.84,5.68,2.85,3.08,1.0,1.91,2.2,0.75,0.79,0.75,0.73,0.0,0.0,0.78,0.0,0.0,0.96,100.01
11/10/2021,12.04,17.38,11.85,10.04,0.98,4.63,5.09,3.68,3.91,6.09,2.84,5.68,2.85,3.08,1.0,1.91,2.2,0.75,0.79,0.75,0.73,0.0,0.0,0.78,0.0,0.0,0.96,100.01
11/11/2021,12.0,17.36,11.8,10.05,0.97,4.56,5.1,3.69,3.9,6.19,2.84,5.68,2.87,3.09,1.0,1.91,2.2,0.75,0.79,0.76,0.73,0.0,0.0,0.79,0.0,0.0,0.97,100.0
11/12/2021,12.01,17.38,11.79,10.11,0.98,4.59,5.03,3.68,3.92,6.19,2.84,5.67,2.88,3.09,1.0,1.91,2.19,0.7,0.79,0.77,0.74,0.0,0.0,0.78,0.0,0.0,0.97,100.01
11/15/2021,11.97,17.33,11.87,10.03,1.0,4.61,4.95,3.65,3.93,6.21,2.85,5.68,2.88,3.11,0.99,1.94,2.22,0.72,0.79,0.76,0.75,0.0,0.0,0.79,0.0,0.0,0.97,100.0
11/16/2021,11.97,17.33,11.87,10.03,1.0,4.61,4.95,3.65,3.93,6.21,2.85,5.68,2.88,3.11,0.99,1.94,2.22,0.72,0.79,0.76,0.75,0.0,0.0,0.79,0.0,0.0,0.97,100.0
11/17/2021,11.97,17.33,11.87,10.03,1.0,4.61,4.95,3.65,3.93,6.21,2.85,5.68,2.88,3.11,0.99,1.94,2.22,0.72,0.79,0.76,0.75,0.0,0.0,0.79,0.0,0.0,0.97,100.0
11/18/2021,11.97,17.33,11.87,10.03,1.0,4.61,4.95,3.65,3.93,6.21,2.85,5.68,2.88,3.11,0.99,1.94,2.22,0.72,0.79,0.76,0.75,0.0,0.0,0.79,0.0,0.0,0.97,100.0
11/19/2021,11.97,17.4,11.83,10.1,0.99,4.59,4.94,3.7,3.93,6.18,2.83,5.64,2.9,3.11,1.0,1.93,2.22,0.71,0.8,0.76,0.75,0.0,0.0,0.79,0.0,0.0,0.95,100.02
11/22/2021,11.91,17.43,11.8,10.19,0.99,4.6,5.01,3.67,3.92,6.18,2.83,5.62,2.89,3.11,0.99,1.92,2.2,0.71,0.79,0.76,0.75,0.0,0.0,0.79,0.0,0.0,0.95,100.01
11/23/2021,11.91,17.43,11.8,10.19,0.99,4.6,5.01,3.67,3.92,6.18,2.83,5.62,2.89,3.11,0.99,1.92,2.2,0.71,0.79,0.76,0.75,0.0,0.0,0.79,0.0,0.0,0.95,100.01
11/24/2021,11.85,17.48,11.84,10.37,0.98,4.59,5.13,3.63,3.82,6.05,2.83,5.67,2.87,3.08,0.98,1.93,2.19,0.72,0.79,0.72,0.74,0.0,0.0,0.79,0.0,0.0,0.97,100.02
11/25/2021,11.85,17.48,11.84,10.37,0.98,4.59,5.13,3.63,3.82,6.05,2.83,5.67,2.87,3.08,0.98,1.93,2.19,0.72,0.79,0.72,0.74,0.0,0.0,0.79,0.0,0.0,0.97,100.02
11/26/2021,11.81,17.48,11.86,10.28,0.97,4.59,5.13,3.59,3.89,6.11,2.82,5.66,2.88,3.09,0.97,1.92,2.21,0.72,0.79,0.73,0.74,0.0,0.0,0.8,0.0,0.0,0.96,100.0
11/29/2021,11.7,17.54,11.85,10.32,0.97,4.59,5.11,3.58,3.94,6.09,2.82,5.65,2.88,3.08,0.97,1.92,2.22,0.72,0.81,0.76,0.74,0.0,0.0,0.8,0.0,0.0,0.96,100.01999999999998
11/30/2021,11.7,17.54,11.85,10.32,0.97,4.59,5.11,3.58,3.94,6.09,2.82,5.65,2.88,3.08,0.97,1.92,2.22,0.72,0.81,0.76,0.74,0.0,0.0,0.8,0.0,0.0,0.96,100.01999999999998
12/01/2021,11.6,17.46,12.09,10.25,0.95,4.65,5.06,3.58,3.88,5.97,2.85,5.79,2.85,3.04,0.96,1.96,2.23,0.73,0.8,0.74,0.74,0.0,0.0,0.8,0.0,0.0,1.0,99.97999999999998
12/02/2021,11.6,17.46,12.09,10.25,0.95,4.65,5.06,3.58,3.88,5.97,2.85,5.79,2.85,3.04,0.96,1.96,2.23,0.73,0.8,0.74,0.74,0.0,0.0,0.8,0.0,0.0,1.0,99.97999999999998
12/06/2021,11.66,17.39,12.26,10.43,0.97,4.63,5.05,3.47,3.81,5.82,2.89,5.88,2.79,2.96,0.96,1.98,2.2,0.74,0.8,0.73,0.73,0.0,0.0,0.8,0.0,0.0,1.03,99.98
12/07/2021,11.66,17.39,12.26,10.43,0.97,4.63,5.05,3.47,3.81,5.82,2.89,5.88,2.79,2.96,0.96,1.98,2.2,0.74,0.8,0.73,0.73,0.0,0.0,0.8,0.0,0.0,1.03,99.98
12/08/2021,11.66,17.39,12.26,10.43,0.97,4.63,5.05,3.47,3.81,5.82,2.89,5.88,2.79,2.96,0.96,1.98,2.2,0.74,0.8,0.73,0.73,0.0,0.0,0.8,0.0,0.0,1.03,99.98
12/09/2021,11.66,17.39,12.26,10.43,0.97,4.63,5.05,3.47,3.81,5.82,2.89,5.88,2.79,2.96,0.96,1.98,2.2,0.74,0.8,0.73,0.73,0.0,0.0,0.8,0.0,0.0,1.03,99.98
12/10/2021,11.66,17.39,12.26,10.43,0.97,4.63,5.05,3.47,3.81,5.82,2.89,5.88,2.79,2.96,0.96,1.98,2.2,0.74,0.8,0.73,0.73,0.0,0.0,0.8,0.0,0.0,1.03,99.98
12/13/2021,11.66,17.39,12.26,10.43,0.97,4.63,5.05,3.47,3.81,5.82,2.89,5.88,2.79,2.96,0.96,1.98,2.2,0.74,0.8,0.73,0.73,0.0,0.0,0.8,0.0,0.0,1.03,99.98
12/14/2021,11.66,17.39,12.26,10.43,0.97,4.63,5.05,3.47,3.81,5.82,2.89,5.88,2.79,2.96,0.96,1.98,2.2,0.74,0.8,0.73,0.73,0.0,0.0,0.8,0.0,0.0,1.03,99.98
12/15/2021,11.66,17.39,12.26,10.43,0.97,4.63,5.05,3.47,3.81,5.82,2.89,5.88,2.79,2.96,0.96,1.98,2.2,0.74,0.8,0.73,0.73,0.0,0.0,0.8,0.0,0.0,1.03,99.98
12/16/2021,11.66,17.39,12.26,10.43,0.97,4.63,5.05,3.47,3.81,5.82,2.89,5.88,2.79,2.96,0.96,1.98,2.2,0.74,0.8,0.73,0.73,0.0,0.0,0.8,0.0,0.0,1.03,99.98
12/17/2021,11.66,17.39,12.26,10.43,0.97,4.63,5.05,3.47,3.81,5.82,2.89,5.88,2.79,2.96,0.96,1.98,2.2,0.74,0.8,0.73,0.73,0.0,0.0,0.8,0.0,0.0,1.03,99.97999999999999
