,VCLT,VCSH,Vanguard Interm-Term Corp Bd ETF,Vanguard Long-Term Corporate Bd ETF,VCIT,4338.SR,Vanguard Cmt Funds-Vanguard Market Liquidity Fund,n/a,4340.SR,SUM
08/05/2021,37.53,33.13,0.0,0.0,29.34,0.0,0.0,0.0,0.0,100.0
08/06/2021,37.53,33.13,0.0,0.0,29.34,0.0,0.0,0.0,0.0,100.0
08/09/2021,37.53,33.13,0.0,0.0,29.34,0.0,0.0,0.0,0.0,100.0
08/10/2021,37.53,33.13,0.0,0.0,29.34,0.0,0.0,0.0,0.0,100.0
08/11/2021,37.53,33.13,0.0,0.0,29.34,0.0,0.0,0.0,0.0,100.0
08/13/2021,37.53,33.13,0.0,0.0,29.34,0.0,0.0,0.0,0.0,100.0
08/16/2021,37.53,33.13,0.0,0.0,29.34,0.0,0.0,0.0,0.0,100.0
08/17/2021,37.53,33.13,0.0,0.0,29.34,0.0,0.0,0.0,0.0,100.0
08/18/2021,37.53,33.13,0.0,0.0,29.34,0.0,0.0,0.0,0.0,100.0
08/19/2021,37.53,33.13,0.0,0.0,29.34,0.0,0.0,0.0,0.0,100.0
08/20/2021,37.53,33.13,0.0,0.0,29.34,0.0,0.0,0.0,0.0,100.0
08/23/2021,37.53,33.13,0.0,0.0,29.34,0.0,0.0,0.0,0.0,100.0
08/24/2021,37.53,33.13,0.0,0.0,29.34,0.0,0.0,0.0,0.0,100.0
08/25/2021,37.53,33.13,0.0,0.0,29.34,0.0,0.0,0.0,0.0,100.0
08/26/2021,37.53,33.13,0.0,0.0,29.34,0.0,0.0,0.0,0.0,100.0
08/27/2021,37.53,33.13,0.0,0.0,29.34,0.0,0.0,0.0,0.0,100.0
08/30/2021,37.53,33.13,0.0,0.0,29.34,0.0,0.0,0.0,0.0,100.0
08/31/2021,37.53,33.13,0.0,0.0,29.34,0.0,0.0,0.0,0.0,100.0
09/01/2021,37.53,33.13,0.0,0.0,29.34,0.0,0.0,0.0,0.0,100.0
09/02/2021,0.0,32.55,0.0,0.0,28.57,0.0,0.0,38.87,0.0,99.98999999999998
09/03/2021,0.0,32.55,0.0,0.0,28.57,0.0,0.0,38.87,0.0,99.98999999999998
09/06/2021,0.0,32.55,0.0,0.0,28.57,0.0,0.0,38.87,0.0,99.98999999999998
09/07/2021,38.87,32.55,0.0,0.0,28.57,0.0,0.0,0.0,0.0,99.98999999999998
09/08/2021,38.87,32.55,0.0,0.0,28.57,0.0,0.0,0.0,0.0,99.98999999999998
09/09/2021,38.87,32.55,0.0,0.0,28.57,0.0,0.0,0.0,0.0,99.98999999999998
09/10/2021,38.87,32.55,0.0,0.0,28.57,0.0,0.0,0.0,0.0,99.98999999999998
09/13/2021,38.87,32.55,0.0,0.0,28.57,0.0,0.0,0.0,0.0,99.98999999999998
09/14/2021,38.87,32.55,0.0,0.0,28.57,0.0,0.0,0.0,0.0,99.98999999999998
09/15/2021,38.87,32.55,0.0,0.0,28.57,0.0,0.0,0.0,0.0,99.98999999999998
09/16/2021,38.87,32.55,0.0,0.0,28.57,0.0,0.0,0.0,0.0,99.98999999999998
09/17/2021,38.87,32.55,0.0,0.0,28.57,0.0,0.0,0.0,0.0,99.98999999999998
09/20/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
09/21/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
09/22/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
09/23/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
09/24/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
09/27/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
09/28/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
09/29/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
09/30/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
10/01/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
10/04/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
10/05/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
10/06/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
10/07/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
10/08/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
10/11/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
10/12/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
10/13/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
10/14/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
10/15/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
10/18/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
10/19/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
10/20/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
10/21/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
10/22/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
10/25/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
10/26/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
10/27/2021,38.94,32.66,0.0,0.0,28.4,0.0,0.0,0.0,0.0,100.0
10/28/2021,38.84,32.93,0.0,0.0,28.23,0.0,0.0,0.0,0.0,100.0
10/29/2021,38.84,32.93,0.0,0.0,28.23,0.0,0.0,0.0,0.0,100.0
11/01/2021,38.84,32.93,0.0,0.0,28.23,0.0,0.0,0.0,0.0,100.0
11/02/2021,38.84,32.93,0.0,0.0,28.23,0.0,0.0,0.0,0.0,100.0
11/03/2021,38.82,32.62,0.0,0.0,28.55,0.0,0.0,0.0,0.0,99.99
11/04/2021,38.82,32.62,0.0,0.0,28.55,0.0,0.0,0.0,0.0,99.99
11/05/2021,38.82,32.62,0.0,0.0,28.55,0.0,0.0,0.0,0.0,99.99
11/08/2021,38.82,32.62,0.0,0.0,28.55,0.0,0.0,0.0,0.0,99.99
11/09/2021,38.82,32.62,0.0,0.0,28.55,0.0,0.0,0.0,0.0,99.99
11/10/2021,38.82,32.62,0.0,0.0,28.55,0.0,0.0,0.0,0.0,99.99
11/11/2021,38.82,32.62,0.0,0.0,28.55,0.0,0.0,0.0,0.0,99.99
11/12/2021,38.82,32.62,0.0,0.0,28.55,0.0,0.0,0.0,0.0,99.99
11/15/2021,38.82,32.62,0.0,0.0,28.55,0.0,0.0,0.0,0.0,99.99
11/16/2021,38.82,32.62,0.0,0.0,28.55,0.0,0.0,0.0,0.0,99.99
11/17/2021,38.82,32.62,0.0,0.0,28.55,0.0,0.0,0.0,0.0,99.99
11/18/2021,38.82,32.62,0.0,0.0,28.55,0.0,0.0,0.0,0.0,99.99
12/24/2021,39.46,32.76,0.0,0.0,27.77,0.0,0.0,0.01,0.0,100.0
12/27/2021,39.47,32.76,0.0,0.0,27.78,0.0,0.0,0.0,0.0,100.01
12/28/2021,39.47,32.76,0.0,0.0,27.78,0.0,0.0,0.0,0.0,100.01
12/29/2021,39.47,32.76,0.0,0.0,27.78,0.0,0.0,0.0,0.0,100.01
12/30/2021,39.47,32.76,0.0,0.0,27.78,0.0,0.0,0.0,0.0,100.01
12/31/2021,39.47,32.76,0.0,0.0,27.78,0.0,0.0,0.0,0.0,100.01
01/03/2022,39.47,32.76,0.0,0.0,27.78,0.0,0.0,0.0,0.0,100.01
01/03/2022,39.47,32.76,0.0,0.0,27.78,0.0,0.0,0.0,0.0,100.01
01/03/2022,39.47,32.76,0.0,0.0,27.78,0.0,0.0,0.0,0.0,100.01
01/04/2022,39.47,32.76,0.0,0.0,27.78,0.0,0.0,0.0,0.0,100.01
01/05/2022,39.47,32.76,0.0,0.0,27.78,0.0,0.0,0.0,0.0,100.01
01/06/2022,39.47,32.76,0.0,0.0,27.78,0.0,0.0,0.0,0.0,100.01
01/07/2022,39.47,32.76,0.0,0.0,27.78,0.0,0.0,0.0,0.0,100.00999999999999
