,MSFT,AAPL,JNJ,MA,AMZN,V,ADBE,GOOG,LLY,COST,GOOGL,WMT,HD,ACN,AMGN,INTU,TGT,VZ,CHTR,PEP,MRK,ZTS,ZM,REGN,FB,PSA,NEE,AWK,ABT,EXPD,ABBV,HSY,ORLY,TRV,SPGI,WDFC,ODFL,CHKP,TTEK,WEC,CCOI,CHE,NEM,WRB,JBHT,Y,CHRW,ICLR,SFM,SYK,RGLD,LSTR,SAIA,TEAM,AEM.TO,UPS,ICE,AON,WM,CB,CRL,TYL,ECL,PGR,NDAQ,KR,CABO,IDA,WCN.TO,RSG,VRSK,QGEN,HELE,MKL,AY,CLX,ELS,IRDM,PNW,CCI,AJG,XEL,AEP,PNM,GLOB,EHC,WERN,VG,KO,BRK.B,ED,PG,T,CMS,OLLI,SBAC,JPM,LBTYK,ROP,EQIX,EXR,TSLA,NWL,Cash,UTHR,CACC,UNH,DUK,PM,CME,OGN,United States Treasury Bills 0%,B 0 07/15/21,E-mini S&P 500 Future Sept 21,B 0 01/27/22,XIB 0 01/27/22,n/a,688101.SS,688001.SS,688226.SS,SUM
07/23/2021,6.14,4.66,4.31,3.52,3.32,2.88,2.76,2.49,2.39,2.16,2.05,2.06,1.79,1.77,1.71,1.54,1.49,1.37,1.2,1.28,1.15,1.1,0.93,0.96,0.87,0.92,0.88,0.87,0.82,0.8,0.79,0.81,0.79,0.77,0.75,0.75,0.74,0.78,0.74,0.78,0.74,0.7,0.69,0.7,0.69,0.69,0.71,0.71,0.71,0.65,0.66,0.65,0.61,0.66,0.63,0.64,0.63,0.6,0.64,0.61,0.61,0.62,0.59,0.56,0.58,0.61,0.55,0.59,0.56,0.55,0.56,0.52,0.5,0.51,0.5,0.54,0.54,0.49,0.52,0.51,0.48,0.5,0.48,0.46,0.46,0.43,0.43,0.41,0.41,0.38,0.39,0.35,0.3,0.31,0.27,0.24,0.19,0.19,0.17,0.17,0.09,0.08,0.07,0.09,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,99.99
07/26/2021,6.24,4.73,4.32,3.62,3.34,2.88,2.81,2.53,2.39,2.14,2.08,2.03,1.8,1.77,1.67,1.59,1.5,1.35,1.2,1.26,1.12,1.1,0.93,0.95,0.89,0.91,0.86,0.84,0.8,0.8,0.79,0.78,0.8,0.74,0.76,0.68,0.74,0.8,0.76,0.75,0.72,0.7,0.68,0.7,0.7,0.68,0.69,0.68,0.67,0.67,0.66,0.63,0.62,0.66,0.62,0.63,0.63,0.6,0.63,0.63,0.62,0.63,0.59,0.54,0.59,0.58,0.55,0.58,0.56,0.55,0.56,0.54,0.49,0.52,0.52,0.52,0.55,0.53,0.51,0.48,0.49,0.49,0.46,0.45,0.48,0.43,0.42,0.42,0.41,0.39,0.38,0.34,0.3,0.3,0.27,0.23,0.19,0.19,0.17,0.17,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,99.99
07/27/2021,6.24,4.73,4.32,3.62,3.34,2.88,2.81,2.53,2.39,2.14,2.08,2.03,1.8,1.77,1.67,1.59,1.5,1.35,1.2,1.26,1.12,1.1,0.93,0.95,0.89,0.91,0.86,0.84,0.8,0.8,0.79,0.78,0.8,0.74,0.76,0.68,0.74,0.8,0.76,0.75,0.72,0.7,0.68,0.7,0.7,0.68,0.69,0.68,0.67,0.67,0.66,0.63,0.62,0.66,0.62,0.63,0.63,0.6,0.63,0.63,0.62,0.63,0.59,0.54,0.59,0.58,0.55,0.58,0.56,0.55,0.56,0.54,0.49,0.52,0.52,0.52,0.55,0.53,0.51,0.48,0.49,0.49,0.46,0.45,0.48,0.43,0.42,0.42,0.41,0.39,0.38,0.34,0.3,0.3,0.27,0.23,0.19,0.19,0.17,0.17,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,99.99
07/28/2021,6.24,4.72,4.31,3.68,3.32,2.9,2.79,2.58,2.41,2.14,2.13,2.02,1.81,1.77,1.67,1.59,1.5,1.33,1.2,1.26,1.12,1.1,0.92,0.94,0.93,0.91,0.86,0.85,0.81,0.8,0.79,0.78,0.8,0.73,0.75,0.69,0.74,0.79,0.77,0.75,0.72,0.69,0.67,0.69,0.71,0.67,0.69,0.7,0.66,0.67,0.66,0.63,0.63,0.66,0.6,0.62,0.63,0.59,0.63,0.62,0.62,0.62,0.59,0.54,0.59,0.57,0.56,0.58,0.56,0.54,0.55,0.54,0.5,0.51,0.52,0.52,0.55,0.52,0.51,0.48,0.49,0.49,0.46,0.44,0.49,0.43,0.42,0.42,0.41,0.38,0.38,0.34,0.3,0.3,0.27,0.23,0.19,0.19,0.17,0.17,0.08,0.07,0.08,0.09,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.02
07/29/2021,6.23,4.73,4.31,3.68,3.36,2.91,2.76,2.61,2.41,2.14,2.14,2.02,1.8,1.77,1.65,1.59,1.5,1.33,1.2,1.26,1.12,1.09,0.95,0.92,0.94,0.91,0.85,0.84,0.8,0.79,0.78,0.78,0.8,0.74,0.74,0.7,0.74,0.76,0.77,0.76,0.72,0.69,0.67,0.69,0.7,0.67,0.69,0.69,0.66,0.67,0.66,0.64,0.63,0.65,0.62,0.61,0.62,0.64,0.63,0.62,0.61,0.62,0.59,0.54,0.59,0.57,0.55,0.58,0.55,0.54,0.55,0.54,0.5,0.51,0.51,0.52,0.55,0.52,0.51,0.48,0.48,0.49,0.47,0.44,0.48,0.43,0.42,0.41,0.41,0.38,0.38,0.34,0.3,0.3,0.27,0.23,0.19,0.19,0.17,0.17,0.08,0.08,0.08,0.09,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,99.98
07/30/2021,6.18,4.67,4.34,3.66,3.3,2.93,2.76,2.57,2.41,2.15,2.11,2.03,1.78,1.78,1.65,1.58,1.49,1.35,1.2,1.26,1.13,1.09,0.94,0.93,0.93,0.91,0.87,0.86,0.8,0.78,0.79,0.79,0.8,0.74,0.74,0.7,0.74,0.77,0.76,0.78,0.72,0.7,0.68,0.69,0.7,0.68,0.68,0.72,0.66,0.69,0.67,0.64,0.63,0.65,0.62,0.57,0.63,0.66,0.63,0.63,0.61,0.62,0.6,0.55,0.59,0.57,0.55,0.59,0.56,0.54,0.55,0.54,0.49,0.51,0.52,0.52,0.56,0.51,0.52,0.48,0.48,0.5,0.48,0.44,0.48,0.44,0.42,0.41,0.41,0.39,0.39,0.34,0.3,0.31,0.26,0.23,0.19,0.19,0.17,0.17,0.09,0.07,0.08,0.09,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,100.03
08/02/2021,6.19,4.63,4.34,3.6,3.31,2.89,2.78,2.56,2.45,2.15,2.18,2.02,1.78,1.76,1.65,1.58,1.49,1.34,1.19,1.26,1.14,1.1,0.95,0.94,0.94,0.91,0.87,0.87,0.81,0.77,0.79,0.78,0.79,0.73,0.74,0.71,0.74,0.78,0.78,0.76,0.73,0.66,0.69,0.67,0.7,0.67,0.66,0.74,0.67,0.69,0.67,0.64,0.63,0.66,0.63,0.57,0.63,0.67,0.63,0.62,0.63,0.63,0.59,0.55,0.59,0.58,0.55,0.59,0.56,0.54,0.55,0.54,0.5,0.5,0.53,0.51,0.56,0.52,0.52,0.48,0.47,0.49,0.48,0.44,0.5,0.44,0.42,0.42,0.41,0.38,0.38,0.34,0.3,0.3,0.26,0.23,0.19,0.19,0.17,0.17,0.09,0.07,0.07,0.09,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.02
08/03/2021,6.19,4.63,4.34,3.6,3.31,2.89,2.78,2.56,2.45,2.15,2.18,2.02,1.78,1.76,1.65,1.58,1.49,1.34,1.19,1.26,1.14,1.1,0.95,0.94,0.94,0.91,0.87,0.87,0.81,0.77,0.79,0.78,0.79,0.73,0.74,0.71,0.74,0.78,0.78,0.76,0.73,0.66,0.69,0.67,0.7,0.67,0.66,0.74,0.67,0.69,0.67,0.64,0.63,0.66,0.63,0.57,0.63,0.67,0.63,0.62,0.63,0.63,0.59,0.55,0.59,0.58,0.55,0.59,0.56,0.54,0.55,0.54,0.5,0.5,0.53,0.51,0.56,0.52,0.52,0.48,0.47,0.49,0.48,0.44,0.5,0.44,0.42,0.42,0.41,0.38,0.38,0.34,0.3,0.3,0.26,0.23,0.19,0.19,0.17,0.17,0.09,0.07,0.07,0.09,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.02
08/04/2021,6.19,4.63,4.34,3.6,3.31,2.89,2.78,2.56,2.45,2.15,2.18,2.02,1.78,1.76,1.65,1.58,1.49,1.34,1.19,1.26,1.14,1.1,0.95,0.94,0.94,0.91,0.87,0.87,0.81,0.77,0.79,0.78,0.79,0.73,0.74,0.71,0.74,0.78,0.78,0.76,0.73,0.66,0.69,0.67,0.7,0.67,0.66,0.74,0.67,0.69,0.67,0.64,0.63,0.66,0.63,0.57,0.63,0.67,0.63,0.62,0.63,0.63,0.59,0.55,0.59,0.58,0.55,0.59,0.56,0.54,0.55,0.54,0.5,0.5,0.53,0.51,0.56,0.52,0.52,0.48,0.47,0.49,0.48,0.44,0.5,0.44,0.42,0.42,0.41,0.38,0.38,0.34,0.3,0.3,0.26,0.23,0.19,0.19,0.17,0.17,0.09,0.07,0.07,0.09,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.02
08/05/2021,6.19,4.63,4.34,3.6,3.31,2.89,2.78,2.56,2.45,2.15,2.18,2.02,1.78,1.76,1.65,1.58,1.49,1.34,1.19,1.26,1.14,1.1,0.95,0.94,0.94,0.91,0.87,0.87,0.81,0.77,0.79,0.78,0.79,0.73,0.74,0.71,0.74,0.78,0.78,0.76,0.73,0.66,0.69,0.67,0.7,0.67,0.66,0.74,0.67,0.69,0.67,0.64,0.63,0.66,0.63,0.57,0.63,0.67,0.63,0.62,0.63,0.63,0.59,0.55,0.59,0.58,0.55,0.59,0.56,0.54,0.55,0.54,0.5,0.5,0.53,0.51,0.56,0.52,0.52,0.48,0.47,0.49,0.48,0.44,0.5,0.44,0.42,0.42,0.41,0.38,0.38,0.34,0.3,0.3,0.26,0.23,0.19,0.19,0.17,0.17,0.09,0.07,0.07,0.09,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.02
08/06/2021,6.16,4.66,4.36,3.43,3.04,2.75,2.75,2.54,2.52,2.19,2.16,2.03,1.8,1.76,1.64,1.59,1.5,1.33,1.26,1.25,1.1,1.1,0.95,0.93,0.88,0.89,0.88,0.88,0.81,0.77,0.77,0.78,0.79,0.74,0.78,0.72,0.78,0.8,0.79,0.76,0.73,0.68,0.69,0.67,0.72,0.67,0.68,0.78,0.65,0.68,0.68,0.65,0.71,0.8,0.64,0.57,0.61,0.67,0.64,0.63,0.64,0.61,0.59,0.55,0.59,0.61,0.55,0.59,0.57,0.56,0.55,0.55,0.5,0.5,0.53,0.46,0.56,0.53,0.48,0.48,0.47,0.49,0.48,0.44,0.49,0.45,0.43,0.42,0.41,0.38,0.38,0.35,0.3,0.3,0.27,0.24,0.19,0.2,0.17,0.16,0.09,0.08,0.07,0.11,0.07,0.08,0.06,0.06,0.05,0.05,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,99.97
08/25/2021,6.44,4.63,4.42,3.27,2.85,2.65,2.83,2.55,2.64,2.28,2.16,2.11,1.76,1.82,1.48,1.61,1.43,1.3,1.28,1.24,1.12,1.1,0.84,1.04,0.89,0.92,0.94,0.92,0.83,0.74,0.78,0.77,0.77,0.78,0.77,0.66,0.79,0.77,0.78,0.77,0.66,0.66,0.61,0.69,0.72,0.7,0.65,0.78,0.66,0.66,0.6,0.64,0.75,0.83,0.56,0.56,0.6,0.7,0.65,0.68,0.65,0.58,0.59,0.55,0.59,0.66,0.58,0.6,0.56,0.56,0.57,0.55,0.5,0.52,0.5,0.47,0.55,0.5,0.47,0.48,0.48,0.5,0.48,0.44,0.6,0.41,0.43,0.37,0.4,0.38,0.39,0.35,0.29,0.31,0.24,0.24,0.19,0.19,0.16,0.16,0.09,0.08,0.07,0.0,0.08,0.09,0.06,0.06,0.05,0.04,0.05,0.0,0.0,0.0,0.02,0.0,0.13,0.0,0.0,0.0,99.95
08/26/2021,6.43,4.66,4.37,3.31,2.9,2.67,2.87,2.59,2.6,2.26,2.19,2.09,1.75,1.81,1.49,1.63,1.42,1.3,1.29,1.24,1.11,1.09,0.85,1.05,0.89,0.91,0.92,0.9,0.83,0.74,0.78,0.77,0.76,0.78,0.77,0.66,0.79,0.77,0.8,0.75,0.66,0.66,0.63,0.69,0.72,0.69,0.65,0.77,0.65,0.66,0.62,0.66,0.76,0.84,0.58,0.55,0.6,0.7,0.64,0.67,0.65,0.58,0.59,0.55,0.59,0.66,0.57,0.58,0.55,0.56,0.57,0.55,0.5,0.52,0.5,0.46,0.54,0.51,0.47,0.48,0.48,0.48,0.48,0.44,0.61,0.41,0.44,0.38,0.4,0.38,0.38,0.34,0.29,0.3,0.24,0.24,0.19,0.2,0.16,0.16,0.09,0.08,0.07,0.0,0.08,0.09,0.06,0.06,0.05,0.05,0.05,0.0,0.0,0.0,0.02,0.0,0.13,0.01,0.0,0.0,100.01
08/27/2021,6.41,4.67,4.32,3.33,2.95,2.68,2.88,2.62,2.56,2.25,2.22,2.08,1.74,1.81,1.49,1.64,1.42,1.29,1.28,1.22,1.11,1.09,0.85,1.05,0.9,0.9,0.92,0.9,0.83,0.74,0.78,0.76,0.76,0.78,0.77,0.67,0.8,0.78,0.79,0.75,0.66,0.66,0.63,0.69,0.72,0.69,0.65,0.78,0.64,0.68,0.62,0.67,0.76,0.85,0.58,0.56,0.6,0.7,0.64,0.67,0.66,0.58,0.59,0.55,0.59,0.64,0.57,0.58,0.55,0.56,0.57,0.56,0.5,0.52,0.5,0.46,0.54,0.5,0.46,0.47,0.48,0.48,0.47,0.44,0.63,0.41,0.44,0.38,0.4,0.39,0.38,0.34,0.29,0.3,0.24,0.24,0.19,0.2,0.16,0.16,0.09,0.08,0.07,0.0,0.08,0.09,0.06,0.06,0.05,0.05,0.05,0.0,0.0,0.0,0.02,0.0,0.14,0.01,0.0,0.0,100.06000000000002
08/30/2021,6.37,4.63,4.3,3.27,2.97,2.65,2.87,2.63,2.56,2.25,2.23,2.07,1.73,1.83,1.47,1.64,1.41,1.29,1.3,1.22,1.1,1.09,0.86,1.05,0.9,0.9,0.92,0.91,0.83,0.74,0.79,0.76,0.77,0.78,0.77,0.67,0.81,0.78,0.81,0.75,0.67,0.67,0.62,0.68,0.73,0.68,0.66,0.8,0.65,0.68,0.61,0.68,0.71,0.84,0.56,0.56,0.6,0.71,0.65,0.67,0.67,0.59,0.6,0.55,0.6,0.64,0.58,0.57,0.56,0.57,0.57,0.57,0.51,0.52,0.5,0.46,0.54,0.49,0.46,0.46,0.48,0.48,0.48,0.45,0.64,0.41,0.44,0.38,0.4,0.39,0.38,0.34,0.28,0.3,0.22,0.24,0.2,0.2,0.16,0.16,0.09,0.08,0.07,0.0,0.08,0.09,0.06,0.06,0.05,0.04,0.05,0.0,0.0,0.0,0.02,0.0,0.14,0.01,0.0,0.0,99.99
08/31/2021,6.37,4.63,4.3,3.27,2.97,2.65,2.87,2.63,2.56,2.25,2.23,2.07,1.73,1.83,1.47,1.64,1.41,1.29,1.3,1.22,1.1,1.09,0.86,1.05,0.9,0.9,0.92,0.91,0.83,0.74,0.79,0.76,0.77,0.78,0.77,0.67,0.81,0.78,0.81,0.75,0.67,0.67,0.62,0.68,0.73,0.68,0.66,0.8,0.65,0.68,0.61,0.68,0.71,0.84,0.56,0.56,0.6,0.71,0.65,0.67,0.67,0.59,0.6,0.55,0.6,0.64,0.58,0.57,0.56,0.57,0.57,0.57,0.51,0.52,0.5,0.46,0.54,0.49,0.46,0.46,0.48,0.48,0.48,0.45,0.64,0.41,0.44,0.38,0.4,0.39,0.38,0.34,0.28,0.3,0.22,0.24,0.2,0.2,0.16,0.16,0.09,0.08,0.07,0.0,0.08,0.09,0.06,0.06,0.05,0.04,0.05,0.0,0.0,0.0,0.02,0.0,0.14,0.01,0.0,0.0,99.99
