,NVDA,SE,NTES,ATVI,EA,7974.T,ZNGA,EMBRAC B.ST,TTWO,BILI,036570.KS,9697.T,9766.T,293490.KQ,UBI.PA,3659.T,9684.T,SF.ST,251270.KS,KWS.L,263750.KQ,2432.T,DOYU,3765.T,078340.KQ,799.HK,HUYA,GRVY,112040.KQ,HEAR,067000.KQ,069080.KQ,095660.KQ,6180 TT,041140.KQ,3083 TT,3903.T,3932.T,3656.T,CASH,EGLX,CRSR,n/a,EMBRACB SS,SUM
07/23/2021,9.11,7.78,6.78,6.35,6.39,5.43,5.11,4.65,4.09,4.31,3.96,3.82,3.71,3.79,2.99,3.1,2.46,1.75,1.79,1.65,1.76,1.19,1.02,1.0,0.65,0.69,0.59,0.48,0.47,0.43,0.4,0.35,0.34,0.31,0.28,0.26,0.27,0.22,0.22,0.04,0.0,0.0,0.0,0.0,99.99
07/26/2021,9.41,8.02,6.62,6.16,6.32,5.31,4.95,4.77,4.04,4.1,3.77,3.81,3.7,4.45,3.07,3.05,2.49,1.8,1.73,1.78,1.63,1.16,0.98,0.99,0.64,0.69,0.57,0.48,0.47,0.43,0.38,0.34,0.33,0.3,0.27,0.26,0.27,0.22,0.22,0.03,0.0,0.0,0.0,0.0,100.01
07/27/2021,9.41,8.02,6.62,6.16,6.32,5.31,4.95,4.77,4.04,4.1,3.77,3.81,3.7,4.45,3.07,3.05,2.49,1.8,1.73,1.78,1.63,1.16,0.98,0.99,0.64,0.69,0.57,0.48,0.47,0.43,0.38,0.34,0.33,0.3,0.27,0.26,0.27,0.22,0.22,0.03,0.0,0.0,0.0,0.0,100.01
07/29/2021,9.51,8.12,5.39,6.3,6.62,5.46,5.09,4.83,4.19,3.39,3.99,3.94,3.88,4.31,3.06,3.17,2.57,1.82,1.76,1.86,1.65,1.21,0.92,1.03,0.65,0.65,0.55,0.47,0.47,0.44,0.4,0.35,0.34,0.31,0.28,0.26,0.28,0.23,0.23,0.03,0.0,0.0,0.0,0.0,100.01
07/30/2021,9.61,7.71,5.41,5.96,6.57,5.6,5.06,4.93,4.11,3.25,3.98,4.09,4.0,4.46,3.06,3.25,2.65,1.83,1.78,1.91,1.69,1.23,0.87,1.06,0.66,0.61,0.51,0.48,0.47,0.44,0.42,0.35,0.34,0.31,0.29,0.27,0.29,0.23,0.23,0.03,0.0,0.0,0.0,0.0,100.0
08/02/2021,9.65,7.96,6.06,5.82,6.51,5.35,5.0,4.89,4.1,3.45,4.09,3.96,3.87,4.26,3.0,3.15,2.64,1.85,1.8,2.2,1.65,1.2,0.91,0.89,0.64,0.65,0.53,0.35,0.47,0.45,0.4,0.34,0.32,0.31,0.28,0.25,0.28,0.22,0.23,-0.16,0.17,0.0,0.0,0.0,99.99
08/03/2021,9.65,7.96,6.06,5.82,6.51,5.35,5.0,4.89,4.1,3.45,4.09,3.96,3.87,4.26,3.0,3.15,2.64,1.85,1.8,2.2,1.65,1.2,0.91,0.89,0.64,0.65,0.53,0.35,0.47,0.45,0.4,0.34,0.32,0.31,0.28,0.25,0.28,0.22,0.23,-0.16,0.17,0.0,0.0,0.0,99.99
08/04/2021,6.63,6.37,5.63,5.62,6.21,5.59,4.53,4.64,4.71,3.63,4.5,3.94,4.5,1.95,3.99,4.5,3.35,2.01,2.27,2.57,1.57,1.33,1.13,0.77,0.71,0.75,0.94,0.29,0.38,0.42,0.27,0.37,0.27,0.3,0.27,0.26,0.3,0.28,0.3,0.82,0.26,0.88,0.0,0.0,100.01
08/05/2021,6.63,6.4,5.71,5.49,6.13,5.64,4.45,4.62,4.64,3.79,4.44,4.11,4.57,1.87,4.34,4.51,3.84,2.03,2.21,2.54,1.6,1.33,1.14,0.78,0.7,0.74,0.94,0.3,0.39,0.41,0.26,0.37,0.27,0.3,0.27,0.16,0.29,0.28,0.3,0.05,0.31,0.87,0.0,0.0,100.02
08/06/2021,6.89,6.67,5.24,5.49,6.16,5.79,4.53,4.59,4.44,3.65,4.53,4.16,4.64,1.87,4.26,4.38,4.02,1.93,2.26,2.62,1.54,1.33,1.08,0.81,0.71,0.72,0.89,0.31,0.36,0.41,0.27,0.36,0.28,0.31,0.27,0.11,0.3,0.29,0.31,0.03,0.37,0.84,0.0,0.0,100.02
08/10/2021,7.22,7.22,4.97,5.56,6.08,5.77,4.51,4.24,4.38,3.51,4.62,4.13,4.56,1.91,4.26,4.37,3.97,1.85,2.31,2.56,1.59,1.31,1.05,0.8,0.75,0.71,0.87,0.32,0.37,0.4,0.28,0.38,0.3,0.31,0.29,0.08,0.29,0.27,0.3,0.0,0.44,0.88,0.01,0.0,100.0
08/11/2021,7.22,7.29,5.0,5.78,6.13,5.39,3.74,4.08,4.48,3.48,4.8,4.1,4.93,1.92,4.24,4.42,4.4,1.8,2.39,2.56,1.62,1.32,1.05,0.82,0.77,0.7,0.82,0.32,0.37,0.4,0.29,0.39,0.31,0.32,0.29,0.07,0.29,0.27,0.29,0.0,0.43,0.89,-0.18,0.0,100.0
08/12/2021,7.13,7.32,5.26,5.66,6.07,5.34,3.76,4.1,4.5,3.6,4.67,4.07,4.89,1.88,4.24,4.38,4.36,1.88,2.3,2.55,1.55,1.31,1.08,0.81,0.75,0.7,0.85,0.31,0.36,0.41,0.27,0.39,0.39,0.31,0.28,0.06,0.29,0.27,0.28,0.0,0.46,0.89,0.03,0.0,100.01
08/13/2021,7.09,7.17,5.27,5.84,6.19,5.23,3.79,4.01,4.54,3.56,4.67,4.06,4.85,1.92,4.25,4.45,4.3,1.83,2.31,2.56,1.57,1.34,1.08,0.81,0.75,0.71,0.84,0.31,0.36,0.4,0.28,0.38,0.39,0.31,0.28,0.05,0.31,0.27,0.31,0.0,0.43,0.89,0.04,0.0,100.0
08/16/2021,7.05,7.36,5.28,5.96,6.24,5.38,3.83,4.04,4.53,3.53,4.55,4.02,4.94,1.78,4.34,4.58,4.22,1.7,2.23,2.55,1.49,1.32,1.01,0.81,0.71,0.7,0.79,0.31,0.43,0.39,0.27,0.36,0.43,0.31,0.29,0.02,0.3,0.27,0.3,0.0,0.42,0.87,0.06,0.0,99.97
08/18/2021,7.18,7.41,5.17,5.9,6.26,5.43,3.88,4.11,4.55,3.29,4.43,4.01,5.05,1.74,4.4,4.74,4.29,1.74,2.14,2.57,1.39,1.34,1.02,0.82,0.68,0.7,0.77,0.3,0.44,0.38,0.26,0.35,0.41,0.31,0.28,0.02,0.31,0.28,0.3,0.0,0.42,0.85,0.06,0.0,99.98
08/19/2021,7.2,7.11,4.99,5.98,6.41,5.49,3.87,4.05,4.62,3.13,4.49,4.04,5.19,1.77,4.36,4.65,4.44,1.75,2.17,2.61,1.41,1.35,0.92,0.89,0.69,0.7,0.74,0.29,0.45,0.38,0.26,0.36,0.42,0.31,0.29,0.0,0.31,0.28,0.31,0.0,0.41,0.86,0.08,0.0,100.03
08/20/2021,7.01,7.54,4.89,5.94,6.45,5.48,3.9,4.13,4.7,3.05,4.37,3.89,5.23,1.75,4.39,4.56,4.45,1.79,2.12,2.63,1.36,1.34,1.02,0.9,0.66,0.67,0.74,0.28,0.53,0.37,0.25,0.35,0.42,0.31,0.27,0.0,0.31,0.28,0.3,0.0,0.42,0.86,0.09,0.0,100.0
08/23/2021,7.11,7.83,4.59,5.91,6.41,5.41,3.97,4.15,4.66,2.89,4.82,3.92,5.07,1.73,4.41,4.43,4.43,1.76,2.14,2.7,1.48,1.33,0.96,0.86,0.66,0.69,0.74,0.27,0.51,0.39,0.25,0.35,0.41,0.3,0.27,0.0,0.31,0.28,0.3,0.0,0.4,0.82,0.09,0.0,100.01000000000002
08/24/2021,7.11,7.83,4.59,5.91,6.41,5.41,3.97,4.15,4.66,2.89,4.82,3.92,5.07,1.73,4.41,4.43,4.43,1.76,2.14,2.7,1.48,1.33,0.96,0.86,0.66,0.69,0.74,0.27,0.51,0.39,0.25,0.35,0.41,0.3,0.27,0.0,0.31,0.28,0.3,0.0,0.4,0.82,0.09,0.0,100.01000000000002
08/25/2021,7.46,7.53,4.68,5.86,6.37,5.47,4.02,4.27,4.61,2.98,4.64,3.92,5.04,1.75,4.39,4.41,4.43,1.77,2.1,2.69,1.55,1.28,0.98,0.86,0.64,0.67,0.75,0.28,0.51,0.39,0.24,0.33,0.39,0.3,0.26,0.0,0.31,0.28,0.3,0.0,0.39,0.83,0.09,0.0,100.02
08/26/2021,7.69,7.49,4.82,5.7,6.35,5.37,4.05,4.25,4.57,3.07,4.55,3.98,5.14,1.67,4.33,4.36,4.43,1.79,2.13,2.68,1.55,1.28,1.03,0.86,0.64,0.67,0.75,0.3,0.52,0.38,0.23,0.33,0.33,0.3,0.25,0.0,0.31,0.28,0.3,0.0,0.38,0.82,0.08,0.0,100.01
08/27/2021,7.5,7.29,5.17,5.57,6.23,5.35,4.01,4.24,4.51,3.37,4.63,3.98,5.17,1.66,4.39,4.22,4.33,1.76,2.16,2.72,1.54,1.26,1.1,0.86,0.65,0.68,0.81,0.29,0.51,0.39,0.24,0.34,0.33,0.29,0.26,0.0,0.31,0.28,0.29,0.0,0.37,0.84,0.08,0.0,99.98
08/30/2021,7.65,7.57,5.13,5.57,6.22,5.3,4.01,4.13,4.4,3.35,3.89,4.0,5.24,1.88,4.42,4.27,4.38,1.76,2.08,2.72,1.87,1.27,1.11,0.87,0.65,0.67,0.8,0.28,0.48,0.38,0.24,0.34,0.32,0.28,0.26,0.0,0.33,0.28,0.3,0.0,0.37,0.84,0.09,0.0,100.0
08/31/2021,7.65,7.57,5.13,5.57,6.22,5.3,4.01,4.13,4.4,3.35,3.89,4.0,5.24,1.88,4.42,4.27,4.38,1.76,2.08,2.72,1.87,1.27,1.11,0.87,0.65,0.67,0.8,0.28,0.48,0.38,0.24,0.34,0.32,0.28,0.26,0.0,0.33,0.28,0.3,0.0,0.37,0.84,0.09,0.0,100.0
09/01/2021,7.85,7.56,5.21,5.66,6.29,5.23,4.12,4.15,4.43,3.26,3.62,4.03,5.23,1.78,4.47,4.16,4.44,1.77,2.1,2.75,1.9,1.25,1.09,0.83,0.65,0.66,0.78,0.3,0.43,0.39,0.24,0.34,0.31,0.29,0.26,0.0,0.32,0.28,0.29,0.0,0.35,0.85,0.09,0.0,100.01
09/02/2021,7.84,7.78,5.02,5.54,6.27,5.28,4.05,4.08,4.36,3.2,3.56,4.1,5.26,1.8,4.4,4.22,4.37,1.72,2.05,2.74,2.17,1.28,1.1,0.84,0.65,0.65,0.74,0.3,0.53,0.4,0.24,0.35,0.32,0.29,0.26,0.0,0.33,0.28,0.3,0.0,0.36,0.87,0.09,0.0,99.99
09/03/2021,7.63,7.83,5.38,5.55,6.28,5.25,3.98,4.07,4.39,3.41,3.59,4.03,5.21,1.77,4.41,4.03,4.24,1.76,2.1,2.71,1.99,1.25,1.21,0.82,0.64,0.64,0.79,0.31,0.64,0.39,0.26,0.34,0.3,0.28,0.26,0.0,0.33,0.28,0.3,0.0,0.36,0.88,0.09,0.0,99.98
09/06/2021,7.55,7.76,5.18,5.42,6.22,5.37,3.93,4.26,4.36,3.52,3.4,4.18,5.05,1.72,4.54,4.3,4.19,1.88,2.03,2.81,1.83,1.28,1.18,0.81,0.64,0.68,0.82,0.31,0.72,0.39,0.26,0.35,0.31,0.28,0.26,0.0,0.33,0.27,0.31,0.0,0.37,0.87,0.09,0.0,100.03
09/08/2021,7.63,8.01,5.03,5.36,6.21,5.29,3.88,4.26,4.28,3.58,3.32,4.18,5.13,1.72,4.48,4.31,4.17,1.91,2.02,2.83,1.84,1.27,1.17,0.82,0.63,0.66,0.81,0.32,0.87,0.38,0.25,0.34,0.31,0.28,0.26,0.0,0.32,0.27,0.3,0.0,0.35,0.85,0.09,0.0,99.99
09/09/2021,7.63,8.01,5.03,5.36,6.21,5.29,3.88,4.26,4.28,3.58,3.32,4.18,5.13,1.72,4.48,4.31,4.17,1.91,2.02,2.83,1.84,1.27,1.17,0.82,0.63,0.66,0.81,0.32,0.87,0.38,0.25,0.34,0.31,0.28,0.26,0.0,0.32,0.27,0.3,0.0,0.35,0.85,0.09,0.0,99.99
09/10/2021,7.53,7.92,5.16,5.16,6.13,5.38,3.8,4.15,4.22,3.78,3.27,4.2,5.36,1.65,4.47,4.47,4.31,1.91,1.99,2.79,1.74,1.3,1.18,0.85,0.63,0.68,0.82,0.32,0.84,0.38,0.24,0.34,0.29,0.27,0.25,0.0,0.36,0.27,0.31,0.0,0.34,0.86,0.08,0.0,100.0
09/13/2021,7.61,7.52,4.94,5.3,6.2,5.44,3.75,4.09,4.3,3.59,3.32,4.42,5.41,1.59,4.57,4.52,4.43,1.85,1.99,2.82,1.78,1.33,1.11,0.86,0.62,0.7,0.73,0.32,0.82,0.39,0.26,0.34,0.29,0.27,0.24,0.0,0.36,0.29,0.31,0.0,0.34,0.89,0.08,0.0,99.99
09/14/2021,7.61,7.52,4.94,5.3,6.2,5.44,3.75,4.09,4.3,3.59,3.32,4.42,5.41,1.59,4.57,4.52,4.43,1.85,1.99,2.82,1.78,1.33,1.11,0.86,0.62,0.7,0.73,0.32,0.82,0.39,0.26,0.34,0.29,0.27,0.24,0.0,0.36,0.29,0.31,0.0,0.34,0.89,0.08,0.0,99.99
09/15/2021,7.67,7.54,4.88,5.38,6.29,5.5,3.96,4.07,4.2,3.56,3.28,4.53,5.39,1.6,4.62,4.13,4.52,1.92,1.98,2.83,1.72,1.35,1.04,0.85,0.63,0.69,0.74,0.32,0.78,0.39,0.25,0.36,0.28,0.27,0.24,0.0,0.35,0.29,0.3,0.0,0.33,0.89,0.09,0.0,100.01
09/16/2021,7.64,7.56,4.92,5.36,6.33,5.55,3.79,3.97,4.21,3.47,3.21,4.55,5.42,1.56,4.59,4.17,4.59,2.05,1.97,2.81,1.71,1.41,1.04,0.9,0.62,0.69,0.75,0.32,0.79,0.41,0.24,0.36,0.28,0.28,0.24,0.0,0.35,0.29,0.31,0.0,0.33,0.9,0.09,0.0,100.03
09/17/2021,7.65,7.8,4.71,5.3,6.35,5.45,3.72,4.01,4.18,3.42,3.26,4.62,5.27,1.58,4.63,4.13,4.56,2.1,2.02,2.83,1.75,1.4,1.0,0.89,0.64,0.68,0.69,0.31,1.0,0.42,0.24,0.37,0.28,0.27,0.24,0.0,0.33,0.29,0.3,0.0,0.32,0.9,0.09,0.0,100.0
09/20/2021,7.79,8.16,4.79,5.5,6.05,5.37,3.69,4.07,4.25,3.18,3.26,4.55,5.32,1.58,4.65,3.86,4.51,2.09,2.02,2.82,1.76,1.35,1.0,0.86,0.64,0.68,0.69,0.31,1.1,0.43,0.24,0.36,0.28,0.27,0.24,0.0,0.32,0.28,0.29,0.0,0.33,0.92,0.09,0.0,99.95
09/21/2021,7.79,8.16,4.79,5.5,6.05,5.37,3.69,4.07,4.25,3.18,3.26,4.55,5.32,1.58,4.65,3.86,4.51,2.09,2.02,2.82,1.76,1.35,1.0,0.86,0.64,0.68,0.69,0.31,1.1,0.43,0.24,0.36,0.28,0.27,0.24,0.0,0.32,0.28,0.29,0.0,0.33,0.92,0.09,0.0,99.95
09/22/2021,7.69,8.1,4.72,5.53,5.97,5.47,3.71,3.98,4.25,3.26,3.25,4.58,5.35,1.6,4.69,3.8,4.54,2.08,2.02,2.77,1.77,1.34,1.04,0.86,0.65,0.71,0.7,0.31,1.18,0.43,0.25,0.35,0.31,0.28,0.24,0.0,0.33,0.29,0.29,0.0,0.32,0.91,0.09,0.0,100.01
09/23/2021,7.57,8.03,4.65,5.41,5.92,5.61,3.66,3.98,4.26,3.13,3.34,4.7,5.49,1.65,4.58,3.9,4.66,2.05,2.08,2.72,1.82,1.38,0.96,0.88,0.67,0.7,0.67,0.29,1.21,0.43,0.26,0.36,0.32,0.28,0.25,0.0,0.34,0.3,0.3,0.0,0.31,0.88,0.02,0.0,100.02
09/24/2021,7.72,8.13,4.71,5.25,5.84,5.61,3.67,3.85,4.23,3.2,3.38,4.71,5.48,1.67,4.61,3.76,4.53,2.05,2.11,2.83,1.85,1.37,0.99,0.87,0.68,0.71,0.67,0.3,1.23,0.43,0.26,0.36,0.32,0.29,0.25,0.0,0.33,0.3,0.3,0.0,0.31,0.87,0.0,0.0,100.03
09/27/2021,8.09,8.37,4.75,5.31,5.84,5.57,3.63,4.03,4.21,3.34,3.31,4.48,5.3,1.57,4.71,3.65,4.38,2.01,2.05,2.83,1.81,1.36,1.06,0.83,0.65,0.71,0.67,0.31,1.1,0.43,0.27,0.35,0.33,0.28,0.24,0.0,0.31,0.29,0.29,0.0,0.33,0.89,0.08,0.0,100.02
09/28/2021,8.09,8.37,4.75,5.31,5.84,5.57,3.63,4.03,4.21,3.34,3.31,4.48,5.3,1.57,4.71,3.65,4.38,2.01,2.05,2.83,1.81,1.36,1.06,0.83,0.65,0.71,0.67,0.31,1.1,0.43,0.27,0.35,0.33,0.28,0.24,0.0,0.31,0.29,0.29,0.0,0.33,0.89,0.08,0.0,100.02
09/29/2021,7.91,8.29,4.72,5.34,5.91,5.58,3.62,4.0,4.22,3.17,3.36,4.59,5.51,1.55,4.68,3.79,4.39,1.98,2.03,2.75,1.92,1.4,1.0,0.83,0.65,0.71,0.64,0.3,1.07,0.43,0.28,0.36,0.31,0.29,0.24,0.0,0.32,0.29,0.3,0.0,0.32,0.9,0.08,0.0,100.03
09/30/2021,7.83,8.25,4.92,5.37,6.05,5.65,3.6,3.88,4.29,3.22,3.31,4.57,5.59,1.57,4.61,3.88,4.29,1.92,2.02,2.74,1.82,1.42,1.01,0.83,0.66,0.69,0.66,0.3,0.95,0.44,0.28,0.36,0.29,0.29,0.26,0.0,0.32,0.29,0.3,0.0,0.32,0.9,0.08,0.0,100.03
10/04/2021,7.62,7.96,5.09,5.63,6.64,5.73,3.66,0.0,4.53,3.04,3.47,4.33,5.58,1.52,4.5,3.85,4.19,1.81,2.03,2.67,1.8,1.42,1.0,0.83,0.65,0.68,0.66,0.3,1.0,0.41,0.27,0.34,0.26,0.29,0.24,0.0,0.32,0.29,0.31,0.0,0.32,0.85,0.17,3.74,100.0
10/05/2021,7.62,7.96,5.09,5.63,6.64,5.73,3.66,0.0,4.53,3.04,3.47,4.33,5.58,1.52,4.5,3.85,4.19,1.81,2.03,2.67,1.8,1.42,1.0,0.83,0.65,0.68,0.66,0.3,1.0,0.41,0.27,0.34,0.26,0.29,0.24,0.0,0.32,0.29,0.31,0.0,0.32,0.85,0.17,3.74,100.0
10/06/2021,7.72,8.07,5.05,5.78,6.78,5.32,3.68,0.0,4.71,3.01,3.45,4.32,5.2,1.51,4.59,3.81,4.13,1.82,1.99,2.67,1.92,1.43,0.96,0.84,0.64,0.69,0.64,0.31,1.17,0.42,0.26,0.33,0.25,0.29,0.24,0.0,0.32,0.3,0.31,0.0,0.33,0.88,0.18,3.7,100.02000000000001
