,NIO,BABA,JD,BIDU,PDD,BILI,XPEV,NTES,TCOM,BEKE,LI,ZTO,EDU,ZLAB,VIPS,TAL,HTHT,GDS,IQ,QFIN,WB,ATHM,DQ,YY,JOBS,KC,VNET,CSIQ,API,IMAB,MOMO,TIGR,JKS,LU,DADA,BZUN,LX,NOAH,CD,NIU,OCFT,EH,BNR,CAN,HOLI,UXIN,NTP,SOHU,LKCO,MNSO,SNP.L,YSG,AGPXX,SY,FANH,KNDI,QD,GTH,EBON,ZEPP,CBAT,PTR,YI,SOL,BTNB,BTBT,VIOT,BTCM,WIMI,QTT,SGOC,NVVE,LFC,NISN,FTFT,XNET,WNW,HUIZ,Cash/Receivables/Payables,SPI,KXIN,LIZI,CAAS,JG,QLI,GRCL,PETZ,LITB,HLG,TEDU,OCG,YQ,COE,DUO,METX,CSCW,GLG,NCTY,ZKIN,RCON,Sino Clean Energy Inc,6368.T,China Petroleum & Chemical Corp ADR,PetroChina Co Ltd ADR,China Life Insurance Co Ltd ADR repr Class H,Securities Lending - Bnym,n/a,BPAC11.SA,SNP,NEGG,TME,PPGH,SLCR,CNTB,AGMH,JWEL,MOXC,ADAG,JFU,CNEY,BLCT,CLV.,INVALID,TROO,SUM
07/26/2021,10.26,8.61,8.83,7.83,7.23,4.36,4.06,4.11,2.94,3.15,3.37,2.84,2.26,2.49,2.37,2.12,1.91,1.92,1.12,0.9,1.16,0.91,0.99,0.84,0.78,0.72,0.58,0.6,0.51,0.63,0.54,0.46,0.61,0.42,0.49,0.44,0.32,0.35,0.34,0.32,0.27,0.22,0.24,0.19,0.25,0.22,0.25,0.22,0.14,0.15,0.15,0.12,0.21,0.12,0.13,0.11,0.1,0.12,0.08,0.1,0.09,0.08,0.08,0.07,0.08,0.06,0.06,0.04,0.06,0.07,0.24,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.0,0.03,0.07,0.03,0.03,0.03,0.04,0.04,0.05,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97999999999998
07/27/2021,10.71,9.07,9.19,8.27,7.33,4.18,4.2,4.13,3.06,3.06,3.39,3.02,1.13,2.54,2.45,0.68,2.03,1.87,1.14,0.9,1.22,0.96,0.95,0.86,0.85,0.73,0.55,0.65,0.44,0.65,0.56,0.47,0.63,0.42,0.51,0.4,0.31,0.37,0.36,0.34,0.28,0.22,0.26,0.2,0.27,0.22,0.27,0.23,0.14,0.16,0.16,0.12,0.23,0.12,0.14,0.11,0.1,0.12,0.08,0.1,0.09,0.09,0.08,0.08,0.08,0.06,0.06,0.05,0.06,0.07,0.23,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.0,0.04,0.08,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/28/2021,10.71,9.07,9.19,8.27,7.33,4.18,4.2,4.13,3.06,3.06,3.39,3.02,1.13,2.54,2.45,0.68,2.03,1.87,1.14,0.9,1.22,0.96,0.95,0.86,0.85,0.73,0.55,0.65,0.44,0.65,0.56,0.47,0.63,0.42,0.51,0.4,0.31,0.37,0.36,0.34,0.28,0.22,0.26,0.2,0.27,0.22,0.27,0.23,0.14,0.16,0.16,0.12,0.23,0.12,0.14,0.11,0.1,0.12,0.08,0.1,0.09,0.09,0.08,0.08,0.08,0.06,0.06,0.05,0.06,0.07,0.23,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.0,0.04,0.08,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/29/2021,11.3,9.06,9.03,8.36,7.18,4.13,4.49,3.83,3.06,2.38,3.7,3.09,0.81,2.39,2.54,0.53,1.91,1.75,1.18,0.93,1.25,0.96,0.97,0.92,0.89,0.76,0.59,0.68,0.5,0.6,0.57,0.5,0.64,0.45,0.49,0.39,0.32,0.38,0.36,0.35,0.28,0.24,0.22,0.24,0.28,0.24,0.27,0.25,0.15,0.17,0.17,0.13,0.24,0.13,0.14,0.12,0.11,0.11,0.1,0.11,0.1,0.09,0.08,0.08,0.09,0.13,0.07,0.06,0.07,0.07,0.24,0.07,0.06,0.06,0.06,0.05,0.04,0.04,0.0,0.04,0.08,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.01,0.01,0.02,0.01,0.02,0.02,0.03,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,10.87,9.28,9.34,8.58,6.79,4.12,4.03,4.0,3.31,2.49,3.36,3.18,0.96,2.23,2.56,0.71,1.99,1.7,1.23,0.91,1.21,0.98,0.98,0.98,0.89,0.76,0.57,0.72,0.52,0.61,0.59,0.46,0.58,0.46,0.47,0.41,0.32,0.37,0.35,0.32,0.28,0.23,0.21,0.23,0.28,0.24,0.28,0.24,0.15,0.15,0.18,0.13,0.26,0.12,0.14,0.12,0.11,0.1,0.09,0.11,0.1,0.1,0.08,0.09,0.1,0.09,0.06,0.05,0.06,0.06,0.33,0.07,0.07,0.06,0.05,0.05,0.04,0.04,0.0,0.04,0.08,0.04,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/02/2021,10.83,9.06,9.54,8.35,7.24,4.09,4.07,4.2,3.25,2.19,3.58,3.11,0.89,2.4,2.51,0.69,2.08,1.78,1.19,0.8,1.2,0.93,0.99,0.89,0.82,0.8,0.63,0.71,0.56,0.7,0.6,0.47,0.61,0.43,0.48,0.4,0.31,0.36,0.35,0.32,0.26,0.23,0.24,0.24,0.27,0.27,0.24,0.23,0.14,0.16,0.17,0.13,0.23,0.12,0.13,0.12,0.11,0.1,0.09,0.11,0.09,0.09,0.07,0.09,0.09,0.11,0.06,0.05,0.06,0.07,0.24,0.06,0.06,0.06,0.05,0.05,0.04,0.03,0.0,0.04,0.08,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/03/2021,11.34,8.94,9.4,8.19,7.19,3.92,4.33,4.25,3.04,2.08,3.9,3.04,0.87,2.55,2.49,0.72,2.02,1.78,1.17,0.77,1.21,0.87,0.99,0.87,0.82,0.8,0.62,0.7,0.56,0.72,0.58,0.46,0.62,0.43,0.49,0.39,0.29,0.36,0.35,0.33,0.26,0.24,0.23,0.25,0.27,0.26,0.23,0.23,0.14,0.16,0.16,0.13,0.24,0.12,0.13,0.12,0.11,0.1,0.09,0.11,0.09,0.09,0.07,0.09,0.09,0.13,0.06,0.06,0.06,0.07,0.24,0.06,0.06,0.06,0.05,0.05,0.04,0.03,0.0,0.04,0.08,0.03,0.04,0.03,0.04,0.05,0.04,0.03,0.03,0.02,0.03,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
08/04/2021,11.34,8.94,9.4,8.19,7.19,3.92,4.33,4.25,3.04,2.08,3.9,3.04,0.87,2.55,2.49,0.72,2.02,1.78,1.17,0.77,1.21,0.87,0.99,0.87,0.82,0.8,0.62,0.7,0.56,0.72,0.58,0.46,0.62,0.43,0.49,0.39,0.29,0.36,0.35,0.33,0.26,0.24,0.23,0.25,0.27,0.26,0.23,0.23,0.14,0.16,0.16,0.13,0.24,0.12,0.13,0.12,0.11,0.1,0.09,0.11,0.09,0.09,0.07,0.09,0.09,0.13,0.06,0.06,0.06,0.07,0.24,0.06,0.06,0.06,0.05,0.05,0.04,0.03,0.0,0.04,0.08,0.03,0.04,0.03,0.04,0.05,0.04,0.03,0.03,0.02,0.03,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
08/05/2021,11.42,9.0,9.3,8.17,7.05,4.06,4.55,4.29,2.99,2.06,3.86,3.0,0.86,2.51,2.48,0.68,1.94,1.77,1.18,0.76,1.21,0.89,1.0,0.85,0.8,0.84,0.63,0.68,0.56,0.73,0.59,0.49,0.62,0.42,0.48,0.39,0.29,0.37,0.35,0.33,0.25,0.25,0.23,0.27,0.27,0.28,0.23,0.23,0.14,0.16,0.16,0.14,0.23,0.13,0.13,0.11,0.1,0.1,0.09,0.11,0.09,0.09,0.08,0.08,0.09,0.14,0.06,0.06,0.06,0.07,0.24,0.06,0.06,0.06,0.05,0.05,0.04,0.03,0.0,0.04,0.08,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.09
08/09/2021,11.68,9.21,9.46,8.36,7.03,3.71,4.61,3.68,2.92,1.89,3.69,3.12,0.87,2.67,2.64,0.71,2.01,1.77,1.16,0.76,1.22,0.85,0.99,0.82,0.8,0.79,0.62,0.7,0.53,0.72,0.59,0.49,0.65,0.41,0.47,0.38,0.28,0.38,0.34,0.32,0.18,0.23,0.24,0.3,0.34,0.26,0.26,0.23,0.14,0.15,0.17,0.13,0.23,0.13,0.14,0.11,0.1,0.1,0.1,0.12,0.09,0.09,0.08,0.08,0.09,0.22,0.06,0.06,0.06,0.07,0.22,0.06,0.06,0.06,0.05,0.05,0.04,0.03,0.0,0.04,0.07,0.03,0.04,0.03,0.04,0.04,0.04,0.02,0.03,0.01,0.03,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/10/2021,11.4,9.22,9.45,8.41,7.03,3.69,4.51,3.71,2.96,1.8,3.63,3.21,0.87,2.69,2.65,0.71,2.06,1.84,1.14,0.74,1.22,0.83,1.0,0.82,0.81,0.79,0.67,0.71,0.52,0.68,0.59,0.51,0.65,0.42,0.47,0.38,0.28,0.39,0.34,0.31,0.17,0.23,0.24,0.33,0.35,0.25,0.25,0.23,0.14,0.15,0.17,0.14,0.23,0.12,0.14,0.11,0.11,0.1,0.11,0.12,0.09,0.09,0.08,0.09,0.09,0.25,0.06,0.07,0.06,0.07,0.22,0.07,0.06,0.06,0.06,0.05,0.04,0.03,0.0,0.04,0.14,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/11/2021,11.4,9.22,9.45,8.4,7.03,3.69,4.51,3.71,2.96,1.79,3.63,3.21,0.87,2.69,2.65,0.71,2.06,1.84,1.14,0.74,1.22,0.83,1.0,0.82,0.81,0.79,0.67,0.71,0.52,0.68,0.59,0.51,0.65,0.42,0.47,0.38,0.28,0.39,0.34,0.31,0.17,0.23,0.24,0.33,0.35,0.25,0.25,0.23,0.14,0.15,0.17,0.14,0.23,0.12,0.14,0.11,0.11,0.1,0.11,0.12,0.09,0.09,0.08,0.09,0.09,0.25,0.06,0.07,0.06,0.07,0.22,0.07,0.06,0.06,0.06,0.05,0.04,0.03,0.0,0.04,0.14,0.03,0.04,0.03,0.04,0.04,0.04,0.02,0.03,0.01,0.03,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/13/2021,11.27,9.0,9.55,8.3,7.22,3.69,4.54,3.81,2.9,1.99,3.56,3.13,0.89,2.65,2.62,0.75,2.0,1.79,1.12,0.76,1.2,0.81,1.02,0.84,0.78,0.82,0.68,0.73,0.52,0.73,0.6,0.51,0.69,0.46,0.49,0.37,0.28,0.39,0.35,0.31,0.17,0.24,0.23,0.34,0.35,0.26,0.28,0.25,0.13,0.15,0.17,0.13,0.22,0.13,0.15,0.12,0.1,0.1,0.11,0.11,0.1,0.09,0.08,0.09,0.09,0.22,0.06,0.09,0.07,0.07,0.2,0.07,0.06,0.06,0.06,0.05,0.04,0.03,0.0,0.04,0.13,0.03,0.04,0.03,0.04,0.04,0.04,0.02,0.03,0.02,0.03,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
08/16/2021,11.16,9.09,9.68,8.25,7.1,3.79,4.53,3.96,2.91,1.92,3.64,3.18,0.84,2.73,2.58,0.69,2.01,1.88,1.03,0.73,1.21,0.8,0.98,0.78,0.8,0.8,0.71,0.75,0.53,0.68,0.6,0.5,0.64,0.48,0.52,0.36,0.28,0.41,0.34,0.3,0.16,0.23,0.23,0.34,0.36,0.25,0.28,0.26,0.13,0.14,0.17,0.13,0.23,0.12,0.14,0.12,0.1,0.1,0.11,0.11,0.09,0.1,0.08,0.09,0.09,0.21,0.06,0.09,0.06,0.07,0.17,0.07,0.06,0.06,0.06,0.05,0.04,0.03,0.0,0.04,0.14,0.03,0.04,0.03,0.05,0.04,0.04,0.03,0.03,0.02,0.03,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
08/19/2021,10.86,9.27,9.79,8.11,7.15,3.52,4.44,3.93,3.22,1.85,3.57,3.28,0.84,2.85,2.57,0.68,2.19,1.87,1.05,0.68,1.2,0.81,0.92,0.78,0.89,0.8,0.72,0.71,0.54,0.72,0.62,0.47,0.56,0.51,0.48,0.36,0.28,0.42,0.34,0.31,0.15,0.23,0.23,0.34,0.37,0.24,0.3,0.26,0.13,0.14,0.19,0.13,0.26,0.12,0.15,0.12,0.1,0.1,0.1,0.11,0.09,0.1,0.08,0.09,0.09,0.2,0.06,0.08,0.06,0.06,0.15,0.06,0.07,0.06,0.06,0.05,0.04,0.02,0.0,0.04,0.13,0.03,0.04,0.03,0.05,0.05,0.04,0.03,0.03,0.02,0.03,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
