,RELIANCE.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HDFC.NS,TCS.NS,KOTAKBANK.NS,HINDUNILVR.NS,AXISBANK.NS,XTSLA,LT.NS,ITC.NS,SBIN.NS,BAJFINANCE.NS,ASIANPAINT.NS,BHARTIARTL.NS,HCLTECH.NS,MARUTI.NS,TATASTEEL.NS,ULTRACEMCO.NS,WIPRO.NS,M&M.NS,TITAN.NS,BJFIN.NS,SUNPHARMA.NS,DRREDDY.NS,JSWSTEEL.NS,TECHM.NS,NESTLEIND.NS,INDUSINDBK.NS,POWERGRID.NS,DIVISLAB.NS,GRASIM.NS,TATAMOTORS.NS,HDFCLIFE.NS,HINDALCO.NS,NTPC.NS,BAJAJ-AUTO.NS,ADANIPORTS.NS,CIPLA.NS,TATACONSUM.NS,SBILIFE.NS,ONGC.NS,UPL.NS,BPCL.NS,BRITANNIA.NS,HEROMOTOCO.NS,EICHERMOT.NS,SHREECEM.NS,COALINDIA.NS,IOC.NS,INR,YESBANK.NS,WFFUT,BRITIN,IHN1,IHQ1,USD,-,1906272D,INDUSINDBK,BAJAJFINSV.NS,IHV1,1915213D,IHX1,SUM
09/15/2021,10.41,9.08,8.32,6.62,6.77,5.21,3.54,3.33,2.7,3.51,2.68,2.47,2.2,2.62,2.0,2.15,1.73,1.2,1.5,1.22,1.3,0.95,1.13,0.0,1.11,0.79,0.88,1.18,0.97,0.8,0.79,0.86,0.81,0.71,0.81,0.9,0.72,0.64,0.73,0.64,0.7,0.69,0.59,0.55,0.61,0.64,0.48,0.52,0.54,0.41,0.38,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,103.53
09/16/2021,10.19,9.01,8.33,6.5,6.83,5.29,3.58,3.31,2.69,3.52,2.68,2.49,2.2,2.63,2.02,2.18,1.74,1.21,1.52,1.22,1.32,0.95,1.13,0.0,1.12,0.8,0.89,1.18,0.97,0.79,0.79,0.86,0.81,0.72,0.81,0.93,0.73,0.64,0.73,0.64,0.7,0.68,0.6,0.55,0.62,0.64,0.48,0.52,0.54,0.43,0.38,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,103.54
09/17/2021,10.16,8.96,8.29,6.49,6.74,5.34,3.63,3.27,2.71,3.37,2.72,2.51,2.2,2.61,2.01,2.17,1.78,1.21,1.5,1.2,1.32,0.95,1.14,0.0,1.12,0.79,0.89,1.19,0.96,0.82,0.79,0.86,0.82,0.73,0.81,0.93,0.73,0.65,0.74,0.64,0.7,0.68,0.6,0.55,0.61,0.64,0.49,0.52,0.54,0.43,0.39,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,103.34
09/20/2021,10.27,8.9,8.26,6.58,6.63,5.29,3.65,3.23,2.7,3.41,2.72,2.64,2.32,2.57,1.97,2.22,1.79,1.2,1.47,1.17,1.29,0.95,1.15,0.0,1.1,0.78,0.87,1.18,0.93,0.89,0.81,0.86,0.79,0.73,0.82,0.93,0.77,0.65,0.74,0.63,0.69,0.68,0.62,0.54,0.54,0.63,0.5,0.52,0.53,0.45,0.39,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0,103.42
09/21/2021,10.16,9.07,8.24,6.55,6.69,5.21,3.87,3.19,2.73,3.42,2.72,2.65,2.28,2.59,1.96,2.26,1.8,1.22,1.42,1.17,1.29,0.95,1.15,0.0,1.09,0.78,0.87,1.18,0.95,0.89,0.81,0.86,0.79,0.73,0.81,0.91,0.77,0.66,0.74,0.63,0.69,0.69,0.61,0.54,0.54,0.63,0.5,0.53,0.53,0.43,0.39,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,103.62
09/22/2021,10.16,9.07,8.24,6.55,6.69,5.21,3.87,3.19,2.73,3.42,2.72,2.65,2.28,2.59,1.96,2.26,1.8,1.22,1.42,1.17,1.29,0.95,1.15,0.0,1.09,0.78,0.87,1.18,0.95,0.89,0.81,0.86,0.79,0.73,0.81,0.91,0.77,0.66,0.74,0.63,0.69,0.69,0.61,0.54,0.54,0.63,0.5,0.53,0.53,0.43,0.39,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,103.62
09/27/2021,10.41,8.86,8.35,6.42,6.57,5.18,3.84,3.21,2.7,3.33,2.76,2.74,2.23,2.71,1.93,2.22,1.86,1.18,1.33,1.14,1.29,0.94,1.13,0.0,1.07,0.75,0.85,1.22,0.92,0.91,0.79,0.86,0.79,0.74,0.78,0.91,0.78,0.64,0.72,0.64,0.66,0.69,0.65,0.52,0.51,0.62,0.48,0.52,0.52,0.46,0.39,0.09,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,103.3
09/28/2021,10.38,9.04,8.46,6.47,6.62,5.19,3.85,3.17,2.66,3.53,2.76,2.7,2.19,2.68,2.01,2.26,1.91,1.2,1.29,1.12,1.29,0.96,1.13,0.0,1.07,0.75,0.82,1.21,0.92,0.91,0.78,0.84,0.81,0.74,0.78,0.9,0.76,0.64,0.71,0.64,0.65,0.69,0.64,0.51,0.5,0.62,0.48,0.53,0.51,0.45,0.38,0.09,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,103.69
09/30/2021,10.56,9.17,8.25,6.54,6.62,5.14,3.86,3.13,2.65,3.54,2.72,2.7,2.22,2.68,2.0,2.21,1.82,1.27,1.29,1.14,1.25,1.0,1.13,0.0,1.06,0.75,0.81,1.17,0.91,0.9,0.78,0.81,0.82,0.77,0.77,0.91,0.78,0.66,0.71,0.63,0.65,0.69,0.66,0.52,0.51,0.61,0.49,0.52,0.51,0.45,0.39,0.09,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.04,0.0,103.71
10/28/2021,10.67,9.19,8.03,7.4,6.63,4.59,4.0,2.78,2.76,3.81,2.73,2.59,2.46,2.58,1.67,2.07,1.6,1.22,1.28,1.05,1.25,1.08,1.26,0.0,1.11,0.72,0.85,1.2,0.85,0.9,0.83,0.81,0.83,1.09,0.81,0.88,0.87,0.62,0.7,0.58,0.6,0.63,0.75,0.49,0.52,0.54,0.44,0.45,0.46,0.46,0.42,0.07,0.04,0.01,0.0,0.0,0.0,-3.6,0.0,0.0,0.0,1.39,0.0,0.0,0.0,100.02
