,9988.HK,2382.HK,1810.HK,700.HK,3690.HK,9618.HK,6618.HK,6690.HK,268.HK,992.HK,1024.HK,241.HK,9999.HK,2018.HK,3888.HK,772.HK,285.HK,522.HK,6060.HK,909.HK,9888.HK,1833.HK,1347.HK,780.HK,9626.HK,2013.HK,9698.HK,n/a,1797.HK,2268.HK,2518.HK,CLVB.,9961.HK,SUM
09/10/2021,8.31,8.17,8.27,8.4,8.39,8.43,4.48,3.77,3.71,3.33,8.86,3.33,2.44,1.8,1.59,1.68,1.63,1.55,1.46,1.34,1.54,1.07,1.41,1.22,1.53,1.33,0.65,-0.08,0.0,0.0,0.11,0.3,0.0,100.02
09/15/2021,8.38,7.88,7.69,8.15,8.63,8.41,4.45,3.84,3.58,3.35,8.65,3.43,2.3,1.78,1.6,1.81,1.61,1.61,1.45,1.32,1.6,1.14,1.67,1.31,1.62,1.42,0.69,0.05,0.0,0.0,0.17,0.39,0.0,99.98
09/17/2021,8.22,8.02,7.65,8.14,8.44,8.4,4.56,3.83,3.61,3.29,9.1,3.34,2.29,1.82,1.63,1.82,1.59,1.64,1.45,1.24,1.59,1.12,1.71,1.26,1.6,1.38,0.68,0.05,0.0,0.0,0.17,0.38,0.0,100.02
09/20/2021,8.26,8.26,7.95,8.1,8.36,8.3,4.51,3.76,3.6,3.49,8.87,3.12,2.3,1.86,1.64,1.81,1.55,1.7,1.44,1.18,1.63,1.13,1.64,1.29,1.59,1.36,0.7,0.05,0.0,0.0,0.17,0.36,0.0,99.98
09/21/2021,8.21,8.14,7.85,8.14,8.4,8.35,4.64,3.75,3.57,3.53,9.14,3.1,2.38,1.85,1.61,1.8,1.54,1.68,1.41,1.13,1.66,1.12,1.58,1.27,1.56,1.36,0.69,0.05,0.0,0.0,0.16,0.36,0.0,100.03
09/22/2021,8.21,8.14,7.85,8.14,8.4,8.35,4.64,3.75,3.57,3.53,9.14,3.1,2.38,1.85,1.61,1.8,1.54,1.68,1.41,1.13,1.66,1.12,1.58,1.27,1.56,1.36,0.69,0.05,0.0,0.0,0.16,0.36,0.0,100.03
09/23/2021,8.21,8.14,7.85,8.14,8.4,8.35,4.64,3.75,3.57,3.53,9.14,3.1,2.38,1.85,1.61,1.8,1.54,1.68,1.41,1.13,1.66,1.12,1.58,1.27,1.56,1.36,0.69,0.05,0.0,0.0,0.16,0.36,0.0,100.03
09/24/2021,8.03,7.93,7.98,8.1,8.31,8.24,5.0,3.75,3.57,3.53,9.25,3.23,2.25,1.8,1.64,1.77,1.53,1.71,1.39,1.18,1.64,1.12,1.57,1.33,1.5,1.37,0.67,0.05,0.0,0.0,0.16,0.37,0.0,99.97
09/27/2021,8.03,7.93,7.98,8.1,8.31,8.24,5.0,3.75,3.57,3.53,9.25,3.23,2.25,1.8,1.64,1.77,1.53,1.71,1.39,1.18,1.64,1.12,1.57,1.33,1.5,1.37,0.67,0.05,0.0,0.0,0.16,0.37,0.0,99.97
09/28/2021,7.93,7.85,7.69,8.25,8.65,8.31,4.86,3.61,3.64,3.56,9.14,3.32,2.27,1.78,1.64,1.76,1.46,1.71,1.39,1.19,1.65,1.12,1.65,1.36,1.54,1.39,0.7,0.05,0.0,0.0,0.16,0.38,0.0,100.01
10/04/2021,5.4,5.2,5.19,8.63,8.72,8.62,5.14,4.05,4.18,4.2,5.34,3.42,2.64,1.94,1.84,1.86,1.57,1.83,1.53,1.34,1.8,1.22,1.8,1.57,1.55,1.48,1.22,0.07,0.0,0.0,3.42,3.21,0.0,99.98
10/05/2021,4.56,4.75,4.64,7.88,7.91,7.64,4.67,3.86,3.91,3.77,4.69,3.21,2.42,1.78,1.74,1.7,1.41,1.65,1.42,1.29,1.62,1.11,1.65,1.44,1.38,1.39,1.14,9.21,0.0,0.0,3.2,2.97,0.0,100.01
10/06/2021,4.56,4.75,4.64,7.88,7.91,7.64,4.67,3.86,3.91,3.77,4.69,3.21,2.42,1.78,1.74,1.7,1.41,1.65,1.42,1.29,1.62,1.11,1.65,1.44,1.38,1.39,1.14,9.21,0.0,0.0,3.2,2.97,0.0,100.01
10/08/2021,4.11,4.16,4.11,5.98,6.04,5.73,3.46,2.87,2.99,3.17,4.22,2.28,1.79,1.33,1.28,1.2,1.07,1.28,1.07,1.03,1.23,0.85,1.23,1.15,1.03,1.09,0.73,30.16,0.0,0.0,1.71,1.65,0.0,100.0
10/11/2021,5.61,5.52,5.6,7.97,7.95,7.77,4.35,4.03,3.93,4.35,5.64,3.03,2.47,1.75,1.67,1.67,1.43,1.7,1.41,1.3,1.65,1.1,1.61,1.55,1.38,1.44,0.99,6.58,0.0,0.0,2.25,2.3,0.0,99.99999999999996
10/12/2021,5.61,5.52,5.6,7.97,7.95,7.77,4.35,4.03,3.93,4.35,5.64,3.03,2.47,1.75,1.67,1.67,1.43,1.7,1.41,1.3,1.65,1.1,1.61,1.55,1.38,1.44,0.99,6.58,0.0,0.0,2.25,2.3,0.0,99.99999999999996
10/13/2021,6.03,5.53,5.47,8.16,8.44,7.98,4.43,3.81,3.81,3.93,5.63,3.14,2.65,1.49,1.74,1.57,1.34,1.59,1.38,1.33,1.67,1.15,1.57,1.45,1.45,1.44,1.04,6.24,0.0,0.0,2.33,2.19,0.0,99.98
10/14/2021,6.03,5.53,5.47,8.16,8.44,7.98,4.43,3.81,3.81,3.93,5.63,3.14,2.65,1.49,1.74,1.57,1.34,1.59,1.38,1.33,1.67,1.15,1.57,1.45,1.45,1.44,1.04,6.24,0.0,0.0,2.33,2.19,0.0,99.98
10/15/2021,6.26,5.34,5.46,8.19,8.87,8.21,4.49,3.67,3.78,3.36,5.57,3.01,2.72,1.48,1.75,1.56,1.32,1.5,1.37,1.39,1.71,1.15,1.52,1.47,1.45,1.51,1.0,6.24,0.0,0.0,2.42,0.0,2.25,100.02
10/18/2021,6.26,5.34,5.46,8.19,8.87,8.21,4.49,3.67,3.78,3.36,5.57,3.01,2.72,1.48,1.75,1.56,1.32,1.5,1.37,1.39,1.71,1.15,1.52,1.47,1.45,1.51,1.0,6.24,0.0,0.0,2.42,0.0,2.25,100.02
10/19/2021,6.26,5.34,5.46,8.19,8.87,8.21,4.49,3.67,3.78,3.36,5.57,3.01,2.72,1.48,1.75,1.56,1.32,1.5,1.37,1.39,1.71,1.15,1.52,1.47,1.45,1.51,1.0,6.24,0.0,0.0,2.42,0.0,2.25,100.02
10/20/2021,6.26,5.34,5.46,8.19,8.87,8.21,4.49,3.67,3.78,3.36,5.57,3.01,2.72,1.48,1.75,1.56,1.32,1.5,1.37,1.39,1.71,1.15,1.52,1.47,1.45,1.51,1.0,6.24,0.0,0.0,2.42,0.0,2.25,100.02
10/21/2021,6.21,5.48,5.42,8.27,9.09,8.42,4.37,3.72,3.91,3.38,5.44,2.87,2.68,1.5,1.76,1.6,1.25,1.54,1.27,1.38,1.8,1.13,1.57,1.39,1.41,1.5,0.99,6.13,0.0,0.0,2.33,0.0,2.22,100.03
10/22/2021,6.12,5.57,5.57,8.09,9.02,8.34,4.33,3.7,3.88,3.43,5.8,2.94,2.68,1.5,1.77,1.57,1.34,1.54,1.31,1.36,1.77,1.11,1.54,1.32,1.54,1.54,0.99,5.97,0.0,0.0,2.3,0.0,2.08,100.02
10/25/2021,8.03,6.67,6.85,8.02,8.9,8.15,4.49,3.41,3.65,3.16,7.68,3.08,2.53,1.38,1.69,1.5,1.22,1.43,1.22,1.26,1.71,1.08,1.43,1.21,1.61,1.42,0.98,5.5,0.0,0.0,0.32,0.0,0.43,100.01
10/26/2021,8.43,6.94,7.17,8.45,9.28,8.54,4.64,3.58,3.89,3.35,8.4,3.27,2.68,1.45,1.81,1.52,1.23,1.5,1.29,1.34,1.8,1.12,1.51,1.33,1.71,1.5,1.03,0.44,0.0,0.0,0.33,0.0,0.45,99.98
10/27/2021,8.43,6.94,7.17,8.45,9.28,8.54,4.64,3.58,3.89,3.35,8.4,3.27,2.68,1.45,1.81,1.52,1.23,1.5,1.29,1.34,1.8,1.12,1.51,1.33,1.71,1.5,1.03,0.44,0.0,0.0,0.33,0.0,0.45,99.98
10/28/2021,8.43,6.94,7.17,8.45,9.28,8.54,4.64,3.58,3.89,3.35,8.4,3.27,2.68,1.45,1.81,1.52,1.23,1.5,1.29,1.34,1.8,1.12,1.51,1.33,1.71,1.5,1.03,0.44,0.0,0.0,0.33,0.0,0.45,99.98
10/29/2021,8.31,7.01,7.1,8.32,9.1,8.37,4.54,3.76,3.85,3.39,9.25,3.15,2.74,1.49,1.77,1.5,1.32,1.46,1.3,1.34,1.74,1.09,1.48,1.24,1.72,1.51,1.01,0.43,0.0,0.0,0.31,0.0,0.43,100.03000000000002
11/01/2021,8.24,7.2,7.22,8.41,8.93,8.44,4.48,3.84,3.79,3.6,9.45,2.76,2.75,1.55,1.76,1.46,1.29,1.49,1.27,1.28,1.73,1.0,1.49,1.24,1.64,1.5,1.0,0.46,0.0,0.0,0.3,0.0,0.44,100.00999999999998
11/02/2021,8.27,7.32,7.2,8.42,9.04,8.43,4.41,3.95,3.73,3.61,9.31,2.72,2.77,1.55,1.75,1.46,1.28,1.5,1.25,1.26,1.73,0.96,1.5,1.27,1.64,1.49,1.01,0.46,0.0,0.0,0.28,0.0,0.44,100.00999999999998
11/03/2021,8.25,7.43,7.12,8.4,9.06,8.47,4.33,4.01,3.7,3.69,9.39,2.66,2.75,1.56,1.81,1.46,1.16,1.54,1.25,1.22,1.73,0.83,1.54,1.31,1.64,1.47,1.04,0.46,0.0,0.0,0.28,0.0,0.44,100.0
11/04/2021,8.25,7.43,7.12,8.4,9.06,8.47,4.33,4.01,3.7,3.69,9.39,2.66,2.75,1.56,1.81,1.46,1.16,1.54,1.25,1.22,1.73,0.83,1.54,1.31,1.64,1.47,1.04,0.46,0.0,0.0,0.28,0.0,0.44,100.0
11/05/2021,8.2,7.57,7.2,8.33,9.13,8.49,4.44,3.98,3.71,3.75,9.21,2.48,2.77,1.57,1.84,1.45,1.25,1.57,1.25,1.19,1.71,0.75,1.55,1.28,1.65,1.47,1.02,0.47,0.0,0.0,0.27,0.0,0.45,100.0
11/08/2021,8.42,7.56,6.95,8.43,9.65,8.87,4.47,3.82,3.7,3.64,8.8,2.43,2.88,1.47,1.8,1.45,1.22,1.5,1.22,1.15,1.74,0.67,1.74,1.25,1.76,1.26,1.02,0.41,0.0,0.0,0.28,0.0,0.45,100.01
11/09/2021,8.42,7.56,6.95,8.43,9.65,8.87,4.47,3.82,3.7,3.64,8.8,2.43,2.88,1.47,1.8,1.45,1.22,1.5,1.22,1.15,1.74,0.67,1.74,1.25,1.76,1.26,1.02,0.41,0.0,0.0,0.28,0.0,0.45,100.01
11/10/2021,8.42,7.56,6.95,8.43,9.65,8.87,4.47,3.82,3.7,3.64,8.8,2.43,2.88,1.47,1.8,1.45,1.22,1.5,1.22,1.15,1.74,0.67,1.74,1.25,1.76,1.26,1.02,0.41,0.0,0.0,0.28,0.0,0.45,100.01
11/11/2021,8.23,7.53,7.01,8.37,9.42,8.62,4.58,3.92,3.74,3.64,8.76,2.51,2.98,1.51,1.81,1.47,1.3,1.56,1.2,1.12,1.72,0.68,1.82,1.34,1.73,1.23,1.03,0.42,0.0,0.0,0.27,0.0,0.49,100.01
11/12/2021,8.23,7.53,7.01,8.37,9.42,8.62,4.58,3.92,3.74,3.64,8.76,2.51,2.98,1.51,1.81,1.47,1.3,1.56,1.2,1.12,1.72,0.68,1.82,1.34,1.73,1.23,1.03,0.42,0.0,0.0,0.27,0.0,0.49,100.01
11/15/2021,8.2,7.36,6.99,8.35,9.37,8.48,4.84,3.9,3.79,3.59,8.61,2.57,2.95,1.51,1.82,1.5,1.35,1.58,1.21,1.13,1.74,0.7,1.89,1.36,1.76,1.25,1.03,0.42,0.0,0.0,0.27,0.0,0.5,100.02
11/16/2021,8.2,7.36,6.99,8.35,9.37,8.48,4.84,3.9,3.79,3.59,8.61,2.57,2.95,1.51,1.82,1.5,1.35,1.58,1.21,1.13,1.74,0.7,1.89,1.36,1.76,1.25,1.03,0.42,0.0,0.0,0.27,0.0,0.5,100.02
11/17/2021,8.2,7.36,6.99,8.35,9.37,8.48,4.84,3.9,3.79,3.59,8.61,2.57,2.95,1.51,1.82,1.5,1.35,1.58,1.21,1.13,1.74,0.7,1.89,1.36,1.76,1.25,1.03,0.42,0.0,0.0,0.27,0.0,0.5,100.02
11/18/2021,8.24,7.38,6.93,8.52,9.41,8.48,4.77,3.85,3.72,3.58,8.54,2.61,3.01,1.47,1.84,1.48,1.32,1.56,1.18,1.21,1.74,0.73,1.86,1.32,1.78,1.27,1.04,0.41,0.0,0.0,0.26,0.0,0.48,99.99000000000002
